"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"57","49","        Value added","W139RC1",592.7,598.7,603.7,609.6,614.7,620.7,626.5,633,639.9,646.5,653.5,661.2,667.6,675.4,684.5,693.6,704,715.2,727,738.5,748.2,758.1,768.4,780.1,794.1,808.3,822.5,833.8,841.8,852.6,865.7,878.3,894.1,906.3,914.7,921.9,930.3,941.2,952,965.8,978.9,991.5,1004.8,1015.7,1027.5,1041.9,1059,1076.9,1093.8,1109.3,1122,1139,1154.4,1167.7,1181.1,1189.7,1196,1204.3
"58","50","          Compensation of general government employees","B251RC1",530.6,535.6,539.9,544.8,549.1,554.5,559.4,565.2,571.1,576.7,583,589.5,595.2,602.3,610.1,618.1,627.4,637.1,647.7,657.6,665.9,674,682.9,693.3,706,719.2,732.4,742.6,749.5,759.2,771.3,783.1,797.6,809.1,816.7,823.3,830.2,838.6,846,856.8,868.4,878.6,888.8,897.6,907.9,919,933.7,948,961,974.4,984.9,999.5,1012.3,1023.2,1033.6,1038.6,1042.8,1051.1
"59","51","          Consumption of general government fixed capital \2\","B986RC1",62.1,63,63.9,64.8,65.6,66.2,67,67.8,68.8,69.8,70.5,71.7,72.4,73.2,74.4,75.6,76.6,78.1,79.3,80.8,82.3,84.1,85.5,86.8,88.1,89.2,90.1,91.3,92.3,93.4,94.4,95.2,96.5,97.2,98,98.7,100.1,102.6,105.9,109,110.4,112.9,116,118.2,119.6,122.9,125.3,128.9,132.8,135,137.1,139.6,142.1,144.5,147.5,151.1,153.2,153.3
"60","52","        Intermediate goods and services purchased \3\","W140RC1",269.9,275.2,277.7,280.4,284.3,288.8,291.7,297.5,303.4,305.7,310.8,318.6,322.8,329.6,336.2,342.6,351,360.7,369.3,378.2,388.7,394.6,403.2,413.7,425.9,432.5,435,436.5,444.6,452.9,457.3,461.7,469.2,461.2,463,464.8,474.2,480.3,487.3,499.2,505.4,512.8,527.2,543.1,544.5,555.5,561.5,563.3,575.8,592.2,601.3,620.8,640.1,661.6,675.1,629.2,607.3,607
"61","53","          Durable goods","B989RC1",15.2,15.5,15.7,16,15.9,15.9,16,16.2,16.7,16.8,17.1,17.3,17.9,18.3,18.8,19.1,19.5,19.7,19.9,20.4,20.6,20.8,21.2,21.5,21.8,22.3,22.4,22.4,22.5,22.4,22.2,22,21.7,21.7,21.6,21.6,21.8,21.9,21.9,22,22.1,22.2,22.3,22.4,22.6,22.8,23,23.3,23.6,23.9,24.1,24.3,24.5,24.7,25,25.4,25.5,25.6
"62","54","          Nondurable goods","B337RC1",82.4,84.8,85.1,85.7,88,90.3,90.6,93.4,94.4,93.1,93.8,95.9,95,96.2,97,98.2,100.1,105.2,109.9,113.6,119.9,122.4,126.4,130.4,132.4,134.7,133.4,129.2,130.5,134.6,136.1,139.5,147.9,139.7,141.1,143,149,152.5,155.9,164.2,167.7,171.1,180.4,188.6,187.4,194.6,195.7,190.2,196.2,205.8,209.5,224.6,239.1,255.6,262.4,214.9,194.9,198
"63","55","          Services","A988RC1",172.2,174.9,176.9,178.7,180.4,182.6,185,187.9,192.3,195.8,199.9,205.3,209.9,215,220.4,225.2,231.4,235.9,239.6,244.2,248.1,251.3,255.6,261.8,271.7,275.6,279.2,284.8,291.6,296,299,300.2,299.6,299.8,300.2,300.3,303.4,305.9,309.5,313,315.6,319.5,324.5,332,334.5,338.1,342.8,349.8,356,362.4,367.7,371.9,376.5,381.3,387.7,389,387,383.4
"64","56","      Less: Own-account investment \4\","W144RC1",10.5,10.7,10.6,10.7,10.8,11,10.9,11.2,12.5,12.3,12,12,11.9,12.5,13,13,13.3,13.3,13.3,14.2,14.8,14.4,15.1,15.1,16,17,16.7,16.9,17.1,16.9,17,17.1,17,16.9,17.4,17.5,17.6,18.2,18.3,18.4,18.6,19,19.2,19.8,19.8,20.6,20.8,20.9,21.6,22.1,22.5,23,23.2,24,24.2,23.8,23.5,23.9
"65","57","            Sales to other sectors","W145RC1",161.5,163.9,166.1,168.6,170.3,171.9,173.9,176.5,179.2,181.8,184.4,187.2,188.9,190.9,192.7,195,197.7,200.3,202.8,206.6,211.8,215.5,220.3,225.3,231.1,234.7,238.1,241.2,243.2,245.6,248.7,251.8,254.8,258.1,261.8,265.8,270.1,274.1,277,280.3,283.8,286.9,289.9,294.2,297.8,302.1,307.1,311.7,316.8,322.1,327.2,334.3,342,347,351.6,353.4,355.5,358.2
"66","58","              Tuition and related educational charges","B1065C1",30.6,31,31.4,31.9,32.3,32.7,33.3,33.9,34.5,35.2,35.8,36.4,37,37.7,38.3,38.9,39.6,40.3,41,41.7,42.6,43.4,44.2,44.8,45.3,45.9,46.5,47.1,47.9,48.8,49.9,51,52.1,53.1,54.1,55,55.7,56.5,57.2,58.1,59.5,60.6,61.7,62.9,64,65.2,66.5,67.7,68.9,70.1,71.3,73,74.8,75.9,76.8,77.1,78.1,79.3
"67","59","              Health and hospital charges","B1066C1",83.5,84.7,85.5,86.3,86.1,86.2,86.7,87.4,88.2,89.2,90.4,91.8,92.4,93.2,93.8,94.5,95.2,96.1,97.2,98.5,100.2,102.5,105.3,108.1,112.3,115.4,117.7,119.3,119.5,120.2,121.2,122.2,123,124,125.4,127,129.1,130.8,131.6,132.1,131.7,131.9,132.2,133.4,135.1,136.7,138.8,140.5,142.6,144.7,146.9,150.3,153.8,156.3,158.4,159.4,160.4,161.4
"68","60","              Other sales","W146RC1",47.3,48.3,49.2,50.4,51.9,53,54,55.2,56.5,57.4,58.3,59.1,59.5,60,60.7,61.6,63,63.9,64.7,66.4,69.1,69.7,70.8,72.3,73.5,73.3,73.9,74.7,75.8,76.5,77.6,78.6,79.7,81,82.4,83.8,85.3,86.9,88.3,90.1,92.6,94.4,96,97.8,98.7,100.2,101.8,103.5,105.4,107.3,109,111.1,113.4,114.7,116.3,117,116.9,117.4
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
