"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"56","48","      Gross output of general government","W138RA3",80.098,80.521,80.86,81.279,81.307,82.089,82.378,82.902,83.495,84.097,84.867,85.706,86.582,87.515,88.384,89.046,89.824,90.505,91.209,91.968,92.454,93.027,93.637,94.338,95.437,96.504,97.444,98.41,99.192,99.715,100.017,99.977,99.686,99.504,99.351,99.27,99.471,99.609,99.624,99.772,99.845,99.9,100.107,100.148,100.202,100.467,100.917,101.52,102.007,102.599,102.944,103.239,103.613,103.748,103.943,103.973,103.865,103.886
"57","49","        Value added","W139RA3",85.236,85.549,85.812,86.231,86.119,87.084,87.257,87.679,88.054,88.46,88.991,89.53,90.011,90.522,90.947,91.179,91.461,91.822,92.377,92.985,93.5,93.928,94.315,94.701,95.278,96.015,96.748,97.362,97.777,98.258,98.584,98.633,98.868,98.912,98.884,98.903,99.048,99.282,99.367,99.6,99.786,99.885,100.186,100.143,100.347,100.583,101.061,101.539,101.986,102.524,102.755,103.162,103.694,103.996,104.276,104.298,104.202,104.324
"58","50","          Compensation of general government employees","B251RA3",87.809,88.076,88.285,88.672,88.451,89.463,89.561,89.943,90.274,90.625,91.115,91.607,92.026,92.477,92.829,92.959,93.145,93.421,93.919,94.477,94.926,95.28,95.591,95.903,96.436,97.15,97.862,98.442,98.8,99.237,99.502,99.46,99.631,99.588,99.466,99.397,99.421,99.565,99.559,99.737,99.877,99.914,100.172,100.037,100.177,100.349,100.794,101.237,101.643,102.152,102.312,102.672,103.171,103.414,103.633,103.56,103.355,103.387
"59","51","          Consumption of general government fixed capital \2\","B986RA3",66.831,67.438,68.048,68.662,69.273,69.909,70.567,71.254,71.91,72.667,73.467,74.308,75.199,76.098,77.016,77.947,78.879,79.828,80.781,81.735,82.704,83.646,84.572,85.481,86.37,87.275,88.157,89.013,89.842,90.646,91.423,92.17,92.888,93.603,94.313,95.023,96.124,97.075,97.873,98.535,99.08,99.665,100.294,100.961,101.658,102.377,103.108,103.852,104.608,105.367,106.127,106.889,107.655,108.401,109.134,109.852,110.552,111.327
"60","52","        Intermediate goods and services purchased \3\","W140RA3",70.623,71.245,71.72,72.141,72.422,72.869,73.368,74.075,75.059,76.016,77.218,78.604,80.202,81.913,83.611,85.077,86.795,88.082,89.068,90.115,90.545,91.389,92.42,93.713,95.797,97.488,98.828,100.482,101.989,102.591,102.843,102.625,101.296,100.666,100.263,99.983,100.294,100.244,100.122,100.103,99.958,99.93,99.956,100.155,99.927,100.248,100.644,101.484,102.047,102.74,103.295,103.379,103.462,103.297,103.34,103.382,103.251,103.076
"61","53","          Durable goods","B989RA3",63.146,64.056,64.884,65.734,65.541,65.706,66.457,67.365,69.278,70.302,71.546,72.571,75.377,77.953,80.434,81.898,83.81,85.374,86.823,88.74,90.275,91.447,93.375,94.508,97.085,99.154,100.352,100.973,101.314,100.898,100.578,100.187,99.276,99.051,99.025,98.95,99.41,99.607,99.721,99.595,99.643,99.919,100.057,100.381,100.664,101.304,101.845,102.648,103.82,104.6,105.396,105.806,105.992,106.199,106.327,106.823,106.682,106.838
"62","54","          Nondurable goods","B337RA3",70.264,70.951,71.496,71.991,72.311,72.806,73.35,74.037,74.936,75.891,76.971,78.274,79.72,81.251,82.877,84.414,86.168,87.478,88.529,89.574,89.967,90.842,92.141,93.538,95.606,97.308,98.777,99.984,101.209,101.692,101.78,101.497,100.298,99.753,99.518,99.397,99.861,99.902,99.967,99.954,99.859,99.95,100.042,100.149,100.21,100.582,101.01,101.601,102.43,102.987,103.478,103.787,103.895,103.939,103.951,104.293,104.164,104.122
"63","55","          Services","A988RA3",71.495,72.057,72.462,72.803,73.112,73.563,74.015,74.712,75.65,76.602,77.858,79.316,80.874,82.588,84.248,85.681,87.366,88.619,89.536,90.509,90.866,91.668,92.494,93.749,95.803,97.461,98.752,100.697,102.427,103.165,103.538,103.364,101.942,101.241,100.729,100.357,100.581,100.468,100.234,100.219,100.033,99.92,99.902,100.145,99.72,99.991,100.359,101.339,101.716,102.479,103.056,102.988,103.053,102.732,102.793,102.621,102.489,102.228
"64","56","      Less: Own-account investment \4\","W144RA3",73.784,74.836,73.75,74.224,74.47,75.184,74.451,76.04,84.432,83.078,80.749,80,79.805,83.527,86.119,85.612,86.904,86.125,85.173,89.646,92.914,89.795,92.925,92.072,96.835,102.352,100.121,100.769,101.553,99.952,99.484,98.985,97.082,95.94,98.434,97.913,97.942,99.908,99.395,99.114,98.495,100.12,99.827,101.559,100.664,103.853,103.703,103.755,106.19,107.554,108.428,109.763,109.491,111.847,111.583,110.179,108.78,110.095
"65","57","            Sales to other sectors","W145RA3",78.63,79.144,79.65,80.092,80.353,80.57,80.957,81.595,82.417,83.043,83.993,85.047,85.52,85.972,86.479,86.876,87.253,87.956,88.655,89.605,90.895,92.101,93.269,94.673,96.313,97.338,98.058,98.635,98.664,98.819,98.899,98.905,98.76,98.789,98.873,99.036,99.448,99.621,99.741,99.86,99.916,99.916,99.987,100.181,100.317,100.645,101.021,101.535,101.982,102.716,103.485,104.16,105.383,105.777,105.991,105.86,105.833,105.936
"66","58","              Tuition and related educational charges","B1065A3",91.45,91.262,91.059,91.307,91.202,91.177,91.56,92.208,92.716,93.329,93.848,94.613,95.091,95.763,96.493,97.343,97.873,98.46,99.354,100.335,101.427,101.915,102.909,103.328,103.221,103.194,102.825,102.533,102.558,102.702,103.139,103.662,103.963,103.886,102.557,101.846,100.766,100.267,99.497,99.095,99.722,99.676,99.972,100.63,100.619,100.763,101.019,101.159,101.469,101.822,102.238,102.901,103.747,103.712,103.497,102.574,102.471,102.369
"67","59","              Health and hospital charges","B1066A3",84.582,85.296,85.81,85.843,85.112,84.855,84.923,85.215,85.834,86.367,87.384,88.817,89.16,89.45,89.794,90.143,90.174,90.733,91.372,92.225,93.258,94.801,96.107,98.167,101.363,103.236,104.527,105.342,104.866,104.534,103.881,103.117,102.477,101.992,102.044,102.218,102.537,102.738,102.573,102.264,100.877,100.219,99.634,99.27,99.565,99.688,100.045,100.621,101.295,102.11,102.99,103.864,105.754,106.651,107.378,107.622,107.514,107.407
"68","60","              Other sales","W146RA3",63.775,64.336,65.147,66.211,67.952,68.906,69.71,70.79,72.014,72.759,73.819,74.505,75.142,75.696,76.301,76.533,77.278,78.217,78.889,79.942,81.645,82.766,83.832,84.876,85.381,85.841,86.377,87.101,87.803,88.611,89.472,90.224,90.492,91.279,92.226,92.891,94.334,94.879,95.95,96.995,98.704,99.65,100.489,101.157,101.166,101.899,102.377,103.053,103.278,104.156,105.006,105.416,105.981,105.981,105.791,105.697,105.828,106.362
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
