"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"54","46","  Other private services","B909RL1",13.2,6.1,14.5,2.8,17.2,8.9,0.5,15.6,-2.1,7.5,19.2,11.6,4.7,23.4,6.8,8,39.4,13.7,9.4,3.1,21.9,6.8,9.9,13.6,8.9,15.3,3.9,0.5,15.9,-11,16.4,23.7,0.2,-2.8,9.6,33.4,11.4,4.8,-0.7,43.8,-18.5,16.5,13.8,21,55.1,9,-1,15,12.8,6.4,20.4,-0.1,2.3,6.6,5.7,-3.1,-7.7,1.5
"55","47","  Other","B910RL1",24.6,-24.1,5.4,-3.2,8.6,2,10.3,-1.1,1.2,8.3,11,-6.5,5.6,-3.7,27.3,-6.9,-9.7,-4.3,24,-11.4,11.1,9.1,8.7,-1,5.1,3.2,1.7,0.8,2.9,-7.9,-2.9,2.7,2,-4.9,6,8.6,14.7,6.7,4.2,-4.3,4.6,-13,4.2,-0.2,-3.8,0.1,1,-0.2,4,-4.2,6,-2.9,-5,-8.1,3.2,43.5,2.9,3.3
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","A332RL1",15.1,10.8,18.5,10,7.9,10.8,9.8,23.9,21.4,25.1,15.6,-1.2,3.8,-10.5,2.6,18.9,-6.5,3.5,16.4,15.4,12.4,17.5,14.7,-4.9,-6.7,-21.6,-24,-13.2,-2.9,17.4,3.7,-11.5,-2.2,3.9,7.4,27.4,9.2,9.4,5.9,3,11.1,15.3,6,19.4,14.2,6,0.2,14.9,5,6,15.2,14.6,-0.7,13.4,-0.6,-30.3,-44.2,-16.9
"58","49","  Exports of nondurable goods","A339RL1",-1.1,-1,11.7,-3,10.3,-8.1,3.1,22.6,0.6,8.9,4.6,5,-5.1,-5.5,-3.9,12.3,-10.3,7.4,6.9,9.8,1.2,2.3,27.7,-8.2,-1.1,-3.5,-9.8,2.7,6,8.9,-2.4,-3.5,10.7,-8.3,9,4.1,1.2,1.4,3.4,14.4,2.6,10.5,-15,-3.8,26.8,10.9,0.2,9.4,-1.4,6.9,13.8,8.1,14.7,15.5,-3.7,-15.7,-20.3,6.1
"59","50","  Exports of agricultural goods \2\","B181RL1",8.3,-5.7,7.7,-22.1,25,-25.2,-0.5,28.4,-12.4,3.6,10.1,12.8,-2.1,-17.4,-15,46.2,-33.7,30.1,29.4,-16.2,15.5,2.4,35.4,-21.6,8.5,8.4,-3.1,9.4,-4.4,-1.2,-17.1,-10.6,17.7,1.5,21,-12.8,-21.2,-19.6,19.9,43.3,-12,6.8,-11,15.2,23.1,13.4,-5.9,-4.6,-3.3,26.4,39.2,-3.3,8.2,4.1,-8.6,-0.6,-17.8,10.9
"60","51","  Exports of nonagricultural goods","A182RL1",9.7,8.3,17.2,9.2,6.9,8.4,8.6,23,17.7,21.6,12.4,-0.5,1.4,-8.4,2.2,14.8,-5.1,2.8,12.5,16.5,8.8,14,16.9,-4.6,-6.1,-18.6,-21.4,-10.3,0.1,16.2,3.6,-9,0.5,-0.3,6.7,23,9.4,9.4,4,3.9,10.3,14.4,-0.2,11.5,17.4,7,0.7,14.7,3.5,4.8,12.8,14,3.7,15.2,-1.1,-27.6,-38.6,-11.3
"61","52","  Imports of durable goods","A333RL1",8.6,8,-0.1,7.8,15.8,12.7,15.6,8.6,25.2,18.1,15.6,9.9,18.5,10.5,3.4,22.3,10.2,20,17.9,14.3,18.8,14.9,14.1,-0.3,-12.7,-19.4,-8.7,-4.6,14.6,18.9,6.1,1.7,-3.9,8,1.1,26.1,8.2,24,9.7,12.4,2.9,7.9,5,13.1,17.1,2.1,2.8,5.7,3.3,-4.7,6,0.4,-4.6,-3.4,-8.5,-29.8,-52.2,-14.9
"62","53","  Imports of nondurable goods","A340RL1",6.5,0.9,2.8,-1.8,13.4,6.1,11.6,12.8,6.3,12.1,14.8,8.2,10,8.2,7.4,1.9,14.2,4.1,14,4.9,11.8,10,16.6,1.1,8.1,-6.5,-4.9,-1.3,-3.2,16.9,10.4,11.9,-5.2,15.6,2.5,-2.1,12.8,10.2,1.9,8.3,4.5,0.2,-0.7,10.6,-7.8,9.4,9.5,-13.3,7.7,4.9,-1.4,-9.2,-1.7,-5.9,2.3,-5.5,-22.4,-17.3
"63","54","  Imports of nonpetroleum goods","A187RL1",8.8,7.6,-0.9,4.7,15.2,10.6,15,10.1,20.3,18.3,16.2,8.6,16.3,10.3,4.5,16.2,11.7,16.2,17.8,13.4,15,15.3,15.7,-1.1,-8.6,-14.7,-6.4,-5.2,10.7,19,8.5,3.3,-3,7.9,1.3,18.7,7.4,22.9,7.1,9.4,5.4,6,3.2,11.2,12.4,5,2.4,4.1,5.8,-3.5,4.1,-2.2,-3.9,-3.2,-5.5,-26,-44.9,-13.3
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
