"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"22","3","  Goods \1\","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","673,516.0","680,510.0","703,885.0","730,856.0","749,526.0","777,073.0","810,853.0","799,917.0","788,930.0","749,776.0","704,452.0","681,747.0","679,476.0","706,271.0","715,597.0","699,904.0","709,046.0","710,600.0","723,499.0","764,181.0","787,089.0","811,313.0","824,123.0","845,401.0","871,626.0","906,012.0","907,353.0","939,352.0","985,093.0","1,016,461.0","1,030,628.0","1,065,376.0","1,105,367.0","1,138,345.0","1,179,276.0","1,225,140.0","1,279,114.0","1,363,717.0","1,374,525.0","1,172,584.0","1,013,468.0","1,011,276.0","1,074,835.0","1,159,094.0","1,208,685.0","1,259,667.0","1,288,938.0","1,353,807.0","1,430,980.0","1,473,538.0","1,496,610.0","1,496,436.0"
"23","4","    Durable","A332RC1","20,458.0","23,998.0","24,532.0","25,754.0","26,268.0","27,988.0","27,216.0","27,002.0","27,730.0","27,798.0","28,204.0","26,460.0","29,992.0","29,738.0","31,188.0","33,244.0","36,880.0","40,318.0","42,434.0","45,816.0","50,752.0","55,828.0","57,168.0","62,096.0","62,032.0","63,770.0","63,488.0","65,934.0","66,432.0","68,220.0","69,740.0","71,784.0","70,400.0","72,770.0","73,126.0","71,870.0","74,295.0","84,168.0","85,944.0","96,634.0","101,232.0","104,205.0","107,732.0","118,903.0","131,038.0","133,568.0","130,792.0","137,904.0","138,689.0","145,706.0","138,049.0","138,017.0","129,312.0","130,373.0","124,681.0","114,333.0","116,282.0","118,988.0","118,748.0","127,526.0","127,766.0","130,908.0","133,423.0","137,409.0","136,568.0","139,949.0","135,423.0","137,047.0","137,373.0","143,053.0","141,210.0","148,834.0","148,481.0","156,718.0","165,155.0","181,391.0","195,327.0","206,759.0","209,645.0","223,386.0","229,616.0","240,014.0","243,585.0","246,001.0","259,274.0","261,130.0","264,385.0","263,102.0","269,321.0","282,020.0","287,849.0","289,927.0","296,557.0","293,822.0","303,092.0","308,579.0","306,929.0","311,670.0","310,895.0","326,388.0","331,009.0","342,113.0","359,024.0","366,313.0","379,690.0","387,595.0","401,194.0","407,600.0","411,276.0","416,090.0","420,161.0","437,039.0","457,124.0","481,639.0","497,726.0","492,789.0","494,194.0","478,032.0","477,230.0","496,756.0","487,189.0","490,345.0","507,840.0","527,696.0","542,839.0","566,421.0","587,649.0","580,026.0","570,271.0","535,909.0","498,614.0","479,692.0","475,964.0","494,613.0","499,499.0","484,114.0","481,844.0","486,701.0","494,469.0","526,326.0","541,090.0","557,506.0","568,978.0","577,238.0","596,057.0","618,284.0","627,196.0","657,895.0","685,651.0","703,271.0","709,408.0","738,044.0","753,110.0","770,977.0","791,344.0","810,899.0","825,818.0","864,982.0","866,201.0","760,468.0","651,384.0","630,595.0","673,782.0","731,300.0","754,962.0","797,239.0","814,255.0","836,430.0","869,123.0","892,951.0","916,986.0","912,535.0"
"24","5","    Nondurable","A339RC1","11,182.0","15,950.0","14,952.0","16,218.0","16,756.0","17,040.0","17,548.0","18,362.0","18,138.0","17,926.0","20,244.0","15,728.0","19,704.0","19,130.0","20,636.0","23,544.0","27,480.0","30,618.0","33,182.0","38,968.0","42,300.0","44,784.0","44,080.0","46,916.0","50,004.0","42,174.0","43,660.0","47,454.0","47,084.0","48,048.0","49,244.0","50,528.0","50,928.0","53,406.0","53,006.0","49,102.0","50,732.0","61,935.0","63,327.0","64,560.0","65,760.0","71,519.0","80,307.0","86,511.0","86,785.0","90,624.0","96,104.0","96,303.0","103,503.0","96,295.0","96,127.0","100,000.0","95,539.0","95,579.0","86,917.0","83,271.0","84,427.0","83,806.0","88,649.0","90,754.0","90,501.0","93,722.0","94,942.0","93,826.0","89,097.0","83,552.0","81,972.0","85,361.0","83,151.0","79,987.0","83,293.0","87,103.0","85,839.0","91,932.0","99,013.0","101,658.0","109,258.0","114,676.0","122,002.0","122,086.0","125,188.0","134,764.0","128,786.0","129,454.0","131,430.0","133,455.0","133,788.0","139,980.0","145,159.0","139,269.0","138,073.0","142,635.0","144,373.0","147,743.0","149,646.0","147,988.0","145,261.0","146,790.0","143,468.0","148,328.0","146,583.0","154,316.0","165,013.0","175,876.0","182,532.0","188,024.0","194,397.0","192,078.0","196,890.0","195,853.0","195,283.0","200,730.0","201,143.0","205,407.0","206,937.0","208,003.0","200,256.0","194,802.0","189,521.0","192,642.0","186,327.0","190,165.0","196,045.0","203,160.0","206,687.0","210,652.0","223,204.0","219,891.0","218,659.0","213,867.0","205,838.0","202,055.0","203,512.0","211,658.0","216,098.0","215,790.0","227,202.0","223,899.0","229,030.0","237,855.0","245,999.0","253,807.0","255,145.0","268,163.0","275,569.0","287,728.0","280,157.0","281,457.0","299,442.0","313,190.0","321,220.0","327,332.0","352,257.0","367,368.0","387,932.0","414,241.0","453,296.0","498,735.0","508,324.0","412,116.0","362,084.0","380,681.0","401,053.0","427,794.0","453,723.0","462,428.0","474,683.0","517,377.0","561,857.0","580,587.0","579,624.0","583,901.0"
"25","6","  Services \1\","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","79,740.0","79,627.0","78,166.0","81,578.0","91,453.0","91,156.0","95,653.0","99,066.0","102,342.0","106,339.0","107,412.0","108,776.0","113,766.0","117,500.0","121,014.0","120,116.0","129,204.0","131,071.0","135,787.0","139,092.0","146,899.0","151,810.0","157,537.0","165,699.0","160,245.0","171,055.0","176,240.0","184,546.0","186,391.0","186,330.0","188,664.0","186,651.0","192,797.0","195,818.0","197,019.0","196,974.0","203,574.0","209,857.0","213,038.0","216,075.0","218,471.0","222,122.0","234,878.0","238,937.0","239,456.0","247,047.0","244,266.0","266,571.0","260,862.0","267,954.0","270,005.0","268,087.0","269,305.0","274,999.0","269,248.0","278,459.0","285,156.0","290,714.0","294,934.0","297,681.0","303,310.0","312,152.0","308,226.0","311,896.0","308,142.0","306,777.0","292,696.0","278,374.0","293,955.0","299,662.0","304,965.0","312,272.0","303,497.0","300,969.0","317,867.0","334,463.0","351,696.0","359,492.0","361,288.0","380,497.0","390,729.0","392,443.0","400,804.0","411,912.0","428,911.0","439,550.0","445,328.0","472,779.0","470,162.0","480,791.0","510,993.0","536,708.0","540,222.0","559,105.0","559,270.0","538,553.0","508,688.0","509,503.0","515,470.0","539,857.0","540,822.0","554,170.0","571,637.0","581,489.0","593,151.0","611,744.0","622,636.0","625,128.0"
"26","7","Income receipts","B645RC1","11,084.0","11,534.0","12,060.0","12,438.0","12,872.0","13,175.0","13,024.0","12,261.0","13,285.0","14,074.0","13,952.0","14,733.0","15,192.0","15,746.0","16,684.0","17,490.0","20,281.0","22,422.0","25,233.0","26,228.0","29,670.0","30,328.0","30,462.0","28,820.0","26,925.0","26,529.0","28,088.0","30,554.0","31,384.0","32,254.0","32,554.0","33,260.0","35,780.0","36,953.0","38,130.0","37,937.0","42,472.0","42,584.0","46,239.0","53,712.0","57,618.0","64,106.0","73,413.0","78,147.0","83,574.0","79,623.0","74,869.0","78,302.0","85,740.0","89,746.0","95,908.0","96,702.0","98,324.0","107,183.0","101,450.0","97,016.0","93,804.0","98,792.0","105,241.0","109,690.0","114,835.0","123,208.0","127,291.0","122,125.0","112,284.0","114,212.0","109,814.0","113,455.0","116,190.0","111,816.0","108,870.0","107,112.0","111,985.0","120,923.0","125,398.0","132,948.0","145,006.0","145,990.0","152,944.0","162,549.0","170,858.0","179,185.0","178,155.0","180,480.0","183,374.0","184,186.0","184,405.0","202,075.0","186,553.0","167,761.0","161,296.0","156,954.0","154,587.0","156,840.0","148,648.0","147,113.0","151,606.0","154,042.0","157,002.0","158,205.0","164,969.0","175,679.0","190,527.0","205,209.0","220,722.0","231,132.0","229,288.0","235,926.0","239,931.0","238,659.0","245,178.0","259,556.0","269,638.0","282,445.0","285,542.0","280,383.0","289,315.0","292,647.0","281,564.0","281,378.0","293,204.0","309,079.0","328,591.0","346,995.0","361,509.0","384,021.0","377,389.0","399,085.0","358,903.0","335,566.0","308,080.0","289,551.0","297,681.0","311,643.0","327,876.0","316,822.0","331,367.0","342,604.0","354,685.0","384,613.0","418,176.0","434,395.0","456,278.0","485,423.0","535,537.0","551,302.0","582,428.0","622,881.0","659,009.0","716,419.0","741,603.0","767,175.0","797,640.0","862,578.0","905,589.0","918,002.0","905,574.0","899,317.0","875,292.0","744,205.0","624,564.0","621,173.0","636,851.0","676,541.0","674,038.0","699,022.0","708,934.0","729,409.0","752,115.0","803,221.0","792,207.0","....."
"27","8","  Wage and salary receipts","B4188C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","876.0","892.0","920.0","944.0","984.0","992.0","1,000.0","1,000.0","996.0","988.0","996.0","1,000.0","996.0","996.0","1,024.0","1,052.0","1,128.0","1,168.0","1,168.0","1,224.0","1,272.0","1,276.0","1,300.0","1,312.0","1,720.0","1,752.0","1,824.0","1,888.0","1,740.0","1,784.0","1,848.0","1,908.0","1,860.0","1,900.0","1,972.0","2,040.0","2,172.0","2,176.0","2,188.0","2,180.0","2,176.0","2,176.0","2,188.0","2,184.0","2,268.0","2,264.0","2,276.0","2,272.0","2,360.0","2,400.0","2,464.0","2,524.0","2,780.0","2,788.0","2,696.0","2,728.0","2,888.0","2,756.0","2,872.0","2,824.0","2,996.0","2,820.0","2,884.0","2,816.0","2,904.0","2,764.0","2,792.0","2,784.0","2,748.0","2,700.0","2,860.0","2,944.0","2,768.0","2,688.0","2,864.0","2,968.0","2,820.0","2,900.0","2,908.0","2,932.0","2,892.0","2,908.0","2,852.0","2,880.0","2,924.0","2,948.0","2,980.0","3,028.0","5,192.0","5,196.0","5,192.0","5,144.0","5,152.0","5,172.0","5,192.0","5,188.0","5,268.0","5,284.0","5,288.0","5,268.0","5,416.0","5,408.0","5,424.0","....."
"28","9","  Income receipts on assets","W160RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115,319.0","110,924.0","107,949.0","106,172.0","111,006.0","119,929.0","124,396.0","131,948.0","144,003.0","145,002.0","151,948.0","161,548.0","169,867.0","178,191.0","177,134.0","179,427.0","182,250.0","183,019.0","183,235.0","200,852.0","185,271.0","166,486.0","159,997.0","155,642.0","152,867.0","155,091.0","146,824.0","145,234.0","149,870.0","152,258.0","155,158.0","156,298.0","163,110.0","173,777.0","188,555.0","203,170.0","218,551.0","228,960.0","227,100.0","233,749.0","237,756.0","236,486.0","242,993.0","257,373.0","267,369.0","280,179.0","283,268.0","278,116.0","286,953.0","290,250.0","279,097.0","278,856.0","290,425.0","306,292.0","325,894.0","344,266.0","358,622.0","381,264.0","374,516.0","396,262.0","355,907.0","332,747.0","305,194.0","286,736.0","294,776.0","308,881.0","325,087.0","314,039.0","328,619.0","339,903.0","351,828.0","381,664.0","415,414.0","431,706.0","453,408.0","482,450.0","532,718.0","548,403.0","579,518.0","619,950.0","656,116.0","713,514.0","738,749.0","764,289.0","794,714.0","859,630.0","902,611.0","914,975.0","900,383.0","894,120.0","870,095.0","739,068.0","619,411.0","616,004.0","631,664.0","671,359.0","668,768.0","693,733.0","703,646.0","724,134.0","746,694.0","797,806.0","786,779.0","....."
"29","10","    Interest","A2067C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64,947.0","61,216.0","60,645.0","58,684.0","57,974.0","60,889.0","63,716.0","69,008.0","75,959.0","71,890.0","80,608.0","87,724.0","95,491.0","102,423.0","101,494.0","103,171.0","101,766.0","101,439.0","104,499.0","117,976.0","102,887.0","91,418.0","88,449.0","82,686.0","74,367.0","71,699.0","68,544.0","72,094.0","63,642.0","64,778.0","64,442.0","64,930.0","67,778.0","73,629.0","79,691.0","89,414.0","97,255.0","99,708.0","100,704.0","101,237.0","102,976.0","101,558.0","104,569.0","108,069.0","114,109.0","120,747.0","122,544.0","129,548.0","136,537.0","137,566.0","139,453.0","134,456.0","129,670.0","135,063.0","142,623.0","152,296.0","161,098.0","177,528.0","178,284.0","183,830.0","164,692.0","146,461.0","129,140.0","109,971.0","103,099.0","106,595.0","107,852.0","107,622.0","99,242.0","103,710.0","101,714.0","100,682.0","100,737.0","108,558.0","120,684.0","140,309.0","159,468.0","173,833.0","195,255.0","215,812.0","245,542.0","277,508.0","297,558.0","314,272.0","328,891.0","360,967.0","374,183.0","365,511.0","300,844.0","275,170.0","269,394.0","230,735.0","164,112.0","149,540.0","135,650.0","127,525.0","123,261.0","127,844.0","128,101.0","132,514.0","134,806.0","136,890.0","136,419.0","....."
"30","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","26,852.0","23,344.0","31,712.0","29,584.0","25,148.0","28,564.0","29,860.0","28,076.0","46,836.0","50,008.0","33,964.0","49,704.0","45,152.0","42,320.0","44,760.0","59,280.0","43,184.0","46,104.0","43,564.0","41,780.0","43,256.0","40,728.0","41,120.0","40,680.0","47,592.0","46,108.0","45,556.0","39,476.0","39,092.0","40,780.0","39,432.0","38,564.0","59,768.0","53,308.0","62,304.0","63,228.0","58,520.0","61,268.0","57,488.0","56,960.0","63,952.0","69,856.0","70,276.0","72,212.0","73,928.0","82,896.0","80,676.0","82,460.0","82,180.0","78,692.0","88,856.0","83,260.0","104,168.0","87,700.0","97,492.0","81,276.0","80,920.0","86,800.0","79,984.0","97,632.0","92,708.0","88,356.0","81,772.0","86,768.0","86,388.0","85,044.0","104,064.0","95,820.0","109,332.0","94,200.0","93,296.0","107,224.0","125,885.0","141,961.0","130,342.0","144,382.0","194,956.0","233,596.0","452,748.0","572,060.0","176,752.0","200,552.0","176,000.0","190,755.0","202,047.0","266,675.0","246,544.0","280,656.0","347,773.0","299,253.0","288,287.0","330,153.0","241,627.0","202,602.0","219,932.0","215,394.0","200,396.0","228,241.0","223,967.0","210,868.0","248,124.0","259,912.0","313,544.0","....."
"31","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,520.0","26,364.0","15,592.0","17,904.0","27,884.0","30,476.0","30,820.0","34,864.0","21,208.0","23,104.0","37,376.0","24,120.0","29,224.0","33,448.0","30,880.0","16,976.0","37,300.0","35,476.0","35,172.0","41,096.0","39,128.0","34,340.0","30,428.0","32,276.0","30,908.0","37,284.0","32,724.0","33,664.0","47,136.0","46,700.0","51,284.0","52,804.0","35,564.0","46,840.0","46,560.0","50,528.0","62,776.0","67,984.0","68,908.0","75,552.0","70,828.0","65,072.0","68,148.0","77,092.0","79,332.0","76,536.0","80,048.0","66,108.0","68,236.0","73,992.0","50,788.0","61,140.0","56,587.0","83,529.0","85,779.0","110,694.0","116,604.0","116,936.0","116,248.0","114,800.0","98,507.0","97,930.0","94,282.0","89,997.0","105,289.0","117,242.0","113,171.0","110,597.0","120,045.0","141,993.0","156,818.0","173,758.0","188,792.0","181,187.0","202,382.0","197,759.0","178,294.0","140,974.0","-68,485.0","-167,922.0","233,822.0","235,454.0","265,191.0","259,262.0","263,776.0","231,988.0","281,884.0","268,808.0","251,766.0","319,697.0","312,414.0","178,180.0","213,672.0","263,862.0","276,082.0","328,440.0","345,111.0","337,648.0","351,578.0","380,752.0","363,764.0","401,004.0","336,816.0","....."
"32","13","    Current payments to the rest of the world","W163RC1","53,453.0","64,804.0","63,948.0","66,183.0","65,994.0","68,538.0","69,807.0","70,934.0","72,019.0","77,106.0","79,690.0","77,836.0","88,862.0","87,651.0","91,736.0","96,401.0","102,035.0","108,937.0","110,334.0","118,491.0","129,861.0","154,333.0","156,791.0","161,013.0","150,405.0","141,902.0","143,797.0","151,462.0","161,820.0","169,881.0","181,923.0","185,510.0","199,156.0","207,701.0","208,312.0","214,681.0","232,081.0","241,655.0","248,927.0","260,389.0","271,097.0","287,712.0","305,258.0","334,399.0","362,749.0","347,166.0","331,384.0","364,112.0","389,538.0","398,029.0","391,172.0","396,805.0","390,874.0","384,473.0","395,121.0","379,542.0","372,401.0","398,944.0","431,331.0","453,046.0","486,345.0","513,332.0","523,472.0","534,150.0","507,113.0","528,712.0","526,657.0","552,614.0","556,494.0","567,884.0","579,259.0","592,425.0","599,598.0","630,303.0","651,036.0","681,796.0","690,235.0","694,895.0","712,072.0","747,769.0","761,571.0","778,622.0","767,987.0","782,522.0","811,037.0","803,466.0","822,505.0","825,189.0","714,717.0","745,359.0","776,512.0","790,878.0","803,725.0","824,152.0","842,779.0","858,779.0","853,145.0","882,016.0","884,961.0","937,316.0","938,230.0","990,264.0","1,048,443.0","1,101,153.0","1,119,837.0","1,147,492.0","1,158,793.0","1,158,807.0","1,189,619.0","1,206,104.0","1,237,513.0","1,277,323.0","1,319,933.0","1,338,563.0","1,382,254.0","1,412,251.0","1,417,147.0","1,435,754.0","1,441,378.0","1,484,248.0","1,495,569.0","1,559,302.0","1,640,470.0","1,707,398.0","1,799,972.0","1,864,197.0","1,926,084.0","1,946,177.0","1,878,868.0","1,777,549.0","1,717,941.0","1,595,220.0","1,677,608.0","1,771,475.0","1,805,617.0","1,817,726.0","1,877,202.0","1,872,492.0","1,909,678.0","1,982,494.0","2,093,299.0","2,219,690.0","2,274,108.0","2,426,449.0","2,492,473.0","2,553,644.0","2,625,264.0","2,803,154.0","2,862,576.0","2,983,459.0","3,070,884.0","3,045,015.0","3,167,145.0","3,248,553.0","3,277,844.0","3,301,103.0","3,434,180.0","3,528,786.0","3,504,993.0","3,059,487.0","2,529,088.0","2,479,618.0","2,617,741.0","2,774,605.0","2,905,418.0","2,995,047.0","3,057,409.0","3,129,439.0","3,269,742.0","3,381,475.0","3,353,691.0","....."
"33","14","Imports of goods and services","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,634.0","1,222,164.0","1,281,731.0","1,331,030.0","1,410,729.0","1,453,618.0","1,515,028.0","1,521,788.0","1,492,477.0","1,420,306.0","1,364,177.0","1,317,886.0","1,348,315.0","1,424,011.0","1,456,411.0","1,492,062.0","1,516,098.0","1,515,854.0","1,540,848.0","1,607,778.0","1,685,063.0","1,776,886.0","1,821,318.0","1,912,397.0","1,939,792.0","1,988,650.0","2,042,133.0","2,140,587.0","2,189,806.0","2,237,425.0","2,281,680.0","2,252,470.0","2,300,400.0","2,348,878.0","2,393,688.0","2,456,105.0","2,561,615.0","2,668,872.0","2,690,647.0","2,304,802.0","1,905,683.0","1,859,057.0","1,997,009.0","2,136,502.0","2,245,349.0","2,345,025.0","2,400,888.0","2,435,532.0","2,595,425.0","2,682,392.0","2,681,572.0","2,703,641.0"
"34","15","  Goods \1\","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","975,465.0","1,020,788.0","1,073,898.0","1,120,600.0","1,188,886.0","1,227,631.0","1,280,514.0","1,288,969.0","1,261,591.0","1,184,758.0","1,139,469.0","1,100,895.0","1,119,147.0","1,192,432.0","1,219,243.0","1,244,677.0","1,268,003.0","1,271,007.0","1,281,611.0","1,336,409.0","1,401,087.0","1,483,001.0","1,521,380.0","1,601,183.0","1,628,851.0","1,671,680.0","1,719,991.0","1,811,398.0","1,842,891.0","1,884,311.0","1,925,044.0","1,887,467.0","1,938,784.0","1,977,973.0","2,012,720.0","2,073,508.0","2,162,251.0","2,261,884.0","2,269,971.0","1,891,285.0","1,521,715.0","1,478,230.0","1,608,380.0","1,740,675.0","1,844,049.0","1,939,697.0","1,982,659.0","2,022,819.0","2,176,165.0","2,257,336.0","2,251,900.0","2,272,671.0"
