"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"34","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","76,310.0","77,556.0","78,201.0","77,974.0","77,623.0","77,126.0","79,215.0","79,946.0","81,113.0","83,733.0","85,323.0","88,555.0","88,732.0","92,155.0","96,540.0","106,703.0","105,928.0","111,696.0","114,392.0","122,492.0","116,246.0","109,257.0","113,329.0","115,101.0","113,478.0","115,488.0","122,520.0","126,948.0","127,605.0","130,029.0","133,812.0","137,516.0","140,531.0","141,933.0","143,626.0","158,023.0","158,399.0","168,112.0","171,329.0","172,174.0","179,150.0","179,269.0","182,508.0","183,511.0","168,537.0","162,232.0","175,776.0","187,326.0","190,128.0","177,902.0","184,231.0","174,199.0","167,607.0","173,047.0","174,447.0","184,232.0","187,965.0","188,172.0","188,426.0","198,039.0","224,220.0","234,945.0","237,081.0","236,036.0","248,246.0","244,635.0","244,627.0","246,901.0","249,506.0","257,189.0","271,473.0","272,087.0","282,666.0","289,711.0","297,187.0","307,425.0","327,530.0","333,759.0","342,960.0","335,107.0","356,950.0","348,373.0","347,809.0","353,169.0","360,571.0","364,256.0","369,188.0","366,560.0","357,845.0","365,161.0","367,735.0","378,378.0","396,424.0","410,410.0","420,928.0","431,920.0","435,806.0","450,119.0","446,990.0","465,548.0","476,686.0","481,839.0","485,755.0","496,139.0","500,446.0","506,258.0","519,983.0","537,412.0","560,245.0","586,523.0","588,601.0","599,361.0","619,628.0","619,381.0","632,838.0","641,087.0","663,642.0","677,038.0","692,871.0","716,572.0","729,610.0","738,877.0","750,646.0","768,077.0","783,717.0","819,361.0","826,658.0","840,095.0","867,442.0","871,609.0","878,082.0","865,764.0","880,547.0","884,155.0","893,274.0","903,194.0","889,617.0","919,132.0","945,769.0","968,067.0","1,002,098.0","1,029,752.0","1,040,052.0","1,063,122.0","1,046,818.0","1,053,967.0","1,082,572.0","1,095,770.0","1,126,917.0","1,133,217.0","1,131,160.0","1,140,560.0","1,103,021.0","1,090,029.0","1,079,269.0","1,089,127.0","1,113,654.0","1,127,197.0","1,104,000.0","1,046,699.0","960,205.0","926,875.0","929,349.0","948,477.0","981,683.0","1,025,551.0","1,056,966.0","1,081,512.0","1,095,625.0","1,105,352.0"
"35","16","    Rental income of persons with capital consumption adjustment","A048RC1","20,789.0","20,855.0","20,996.0","20,944.0","20,905.0","20,635.0","21,241.0","21,516.0","21,460.0","22,033.0","22,397.0","22,842.0","23,454.0","20,500.0","24,326.0","24,293.0","24,194.0","24,131.0","23,149.0","24,141.0","24,365.0","23,752.0","24,144.0","23,932.0","23,737.0","23,509.0","23,339.0","22,884.0","22,645.0","21,717.0","21,934.0","22,043.0","20,899.0","19,888.0","18,972.0","18,740.0","20,402.0","19,773.0","21,421.0","21,940.0","23,422.0","21,079.0","21,237.0","24,834.0","28,585.0","24,084.0","25,004.0","36,304.0","36,230.0","35,115.0","35,653.0","38,839.0","39,513.0","36,165.0","37,991.0","38,532.0","37,621.0","37,803.0","38,157.0","39,081.0","38,121.0","36,742.0","40,435.0","44,821.0","42,916.0","41,737.0","42,249.0","40,500.0","36,776.0","35,576.0","32,539.0","30,417.0","31,550.0","30,477.0","35,340.0","39,367.0","38,405.0","36,915.0","38,777.0","46,828.0","44,199.0","43,505.0","41,126.0","40,827.0","43,283.0","48,217.0","53,322.0","54,392.0","56,118.0","58,088.0","62,711.0","69,406.0","71,597.0","81,281.0","89,297.0","96,302.0","105,461.0","113,510.0","115,353.0","122,031.0","133,109.0","141,622.0","148,533.0","148,391.0","150,967.0","153,013.0","152,773.0","161,513.0","166,742.0","168,411.0","172,105.0","174,501.0","174,946.0","175,883.0","176,422.0","178,942.0","182,739.0","188,604.0","195,685.0","198,843.0","202,990.0","206,939.0","209,157.0","213,537.0","214,577.0","212,122.0","213,310.0","221,093.0","225,294.0","230,569.0","239,533.0","234,088.0","229,194.0","231,732.0","212,674.0","201,350.0","209,726.0","204,189.0","186,154.0","216,584.0","204,249.0","197,080.0","196,803.0","195,400.0","190,671.0","181,501.0","168,362.0","172,306.0","161,326.0","153,170.0","140,341.0","131,245.0","122,438.0","139,822.0","146,823.0","165,902.0","188,881.0","218,495.0","243,530.0","275,562.0","278,847.0","299,721.0","319,257.0","325,915.0","344,105.0","349,086.0","352,759.0","354,826.0","384,968.0","396,974.0"
"36","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","93,118.0","89,925.0","86,863.0","81,598.0","73,370.0","77,039.0","77,321.0","73,894.0","85,272.0","86,597.0","88,995.0","92,012.0","97,376.0","98,763.0","102,193.0","109,232.0","113,520.0","108,784.0","106,789.0","109,334.0","99,583.0","99,198.0","97,055.0","94,793.0","97,896.0","111,152.0","130,446.0","135,223.0","148,847.0","143,760.0","144,471.0","143,150.0","151,112.0","172,276.0","186,418.0","181,113.0","170,048.0","200,538.0","202,613.0","209,033.0","198,311.0","195,262.0","187,230.0","182,168.0","176,256.0","149,488.0","157,729.0","180,333.0","190,839.0","189,661.0","207,882.0","185,974.0","165,649.0","177,991.0","178,971.0","169,923.0","192,288.0","221,793.0","238,331.0","246,677.0","276,918.0","286,751.0","278,759.0","285,734.0","290,049.0","287,441.0","310,223.0","290,046.0","282,535.0","276,636.0","268,170.0","271,266.0","282,017.0","314,656.0","341,953.0","340,694.0","352,400.0","363,628.0","371,166.0","391,341.0","367,424.0","359,884.0","361,999.0","344,426.0","353,878.0","377,235.0","355,994.0","346,335.0","378,221.0","381,129.0","383,213.0","380,660.0","412,492.0","423,073.0","409,264.0","447,718.0","426,525.0","460,690.0","463,348.0","516,531.0","515,392.0","532,723.0","563,916.0","589,008.0","586,072.0","605,450.0","650,710.0","650,721.0","682,563.0","697,958.0","703,447.0","714,152.0","752,334.0","765,772.0","802,479.0","788,524.0","709,067.0","705,514.0","724,048.0","700,007.0","745,788.0","742,821.0","729,849.0","720,569.0","709,412.0","693,223.0","670,193.0","621,565.0","622,729.0","641,262.0","618,414.0","575,455.0","671,583.0","706,019.0","713,202.0","766,417.0","768,347.0","791,117.0","829,566.0","859,099.0","974,042.0","1,029,610.0","1,076,991.0","1,086,973.0","1,173,986.0","1,195,696.0","1,201,742.0","1,295,151.0","1,343,979.0","1,342,431.0","1,404,053.0","1,315,417.0","1,227,491.0","1,252,831.0","1,127,107.0","1,031,621.0","941,864.0","915,045.0","889,187.0","621,100.0","815,173.0","917,682.0","1,076,269.0","1,197,257.0","1,355,259.0","1,395,190.0","1,437,815.0","1,484,544.0","1,465,662.0","1,495,809.0"
"37","18","      Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,706.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,326.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,140.0","170,091.0","162,123.0","193,783.0","174,537.0","183,616.0","201,134.0","213,278.0","217,570.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,217.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,539.0","226,974.0","247,224.0","269,329.0","277,629.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,673.0","475,079.0","496,587.0","460,730.0","474,149.0","467,929.0","431,019.0","408,764.0","355,204.0","344,054.0","312,514.0","224,343.0","208,834.0","244,780.0","301,577.0","334,363.0","409,685.0","399,567.0","430,309.0","404,724.0","422,318.0","419,288.0"
"38","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","51,658.0","49,497.0","47,723.0","42,718.0","38,902.0","42,387.0","41,597.0","39,710.0","47,448.0","48,029.0","51,079.0","53,660.0","57,008.0","58,103.0","60,241.0","62,848.0","63,784.0","58,576.0","58,197.0","57,978.0","49,839.0","47,042.0","39,731.0","42,877.0","54,104.0","64,364.0","73,238.0","76,427.0","82,227.0","78,580.0","79,579.0","78,690.0","82,308.0","97,892.0","109,670.0","103,285.0","97,552.0","113,922.0","115,185.0","116,141.0","108,203.0","104,330.0","96,646.0","93,728.0","79,240.0","72,264.0","74,569.0","88,973.0","99,723.0","107,013.0","121,730.0","108,534.0","99,913.0","109,547.0","110,367.0","106,711.0","128,120.0","142,557.0","150,063.0","155,757.0","173,034.0","183,863.0","187,687.0","193,454.0","191,361.0","190,469.0","207,959.0","190,346.0","175,955.0","170,300.0","160,866.0","152,786.0","163,311.0","181,862.0","204,045.0","208,338.0","223,069.0","226,997.0","224,514.0","237,435.0","209,070.0","214,855.0","221,577.0","203,959.0","214,552.0","232,360.0","206,167.0","198,666.0","236,584.0","244,350.0","245,777.0","242,149.0","264,289.0","273,322.0","265,235.0","294,949.0","268,385.0","290,599.0","301,225.0","322,748.0","340,855.0","349,107.0","362,782.0","375,730.0","368,502.0","390,666.0","429,045.0","433,390.0","460,975.0","464,575.0","469,668.0","477,028.0","514,117.0","522,830.0","547,408.0","543,069.0","460,555.0","460,025.0","471,831.0","452,761.0","489,561.0","488,741.0","470,685.0","454,902.0","435,111.0","420,104.0","415,496.0","363,314.0","398,240.0","424,623.0","423,377.0","398,438.0","492,324.0","520,062.0","519,479.0","556,012.0","536,808.0","564,143.0","582,342.0","589,770.0","696,413.0","731,413.0","756,564.0","758,851.0","768,894.0","800,054.0","798,684.0","849,404.0","883,306.0","867,352.0","907,466.0","854,687.0","753,342.0","784,902.0","696,088.0","622,857.0","586,660.0","570,991.0","576,673.0","396,757.0","606,339.0","672,902.0","774,692.0","862,894.0","945,574.0","995,623.0","1,007,506.0","1,079,820.0","1,043,344.0","1,076,521.0"
"39","20","        Net dividends","A449RC1","20,244.0","20,428.0","20,204.0","20,736.0","20,060.0","20,528.0","20,216.0","20,680.0","21,248.0","19,728.0","21,284.0","19,088.0","22,224.0","22,080.0","21,976.0","21,488.0","21,980.0","22,996.0","23,860.0","23,592.0","22,304.0","25,180.0","24,032.0","22,300.0","26,736.0","26,008.0","25,860.0","27,012.0","26,004.0","30,112.0","31,392.0","32,712.0","31,752.0","32,476.0","34,060.0","36,472.0","37,256.0","36,456.0","41,384.0","43,340.0","42,324.0","42,320.0","39,592.0","41,680.0","40,932.0","54,376.0","45,376.0","48,604.0","53,548.0","57,116.0","60,588.0","61,992.0","66,240.0","53,792.0","59,440.0","65,844.0","70,996.0","68,596.0","71,468.0","74,216.0","78,000.0","78,496.0","79,452.0","78,112.0","81,160.0","90,500.0","84,148.0","87,028.0","85,744.0","92,056.0","85,940.0","89,448.0","93,896.0","92,356.0","93,760.0","102,416.0","85,784.0","93,392.0","112,080.0","100,844.0","126,156.0","126,376.0","130,772.0","122,192.0","145,728.0","141,156.0","143,200.0","146,268.0","149,984.0","157,580.0","156,868.0","160,992.0","152,954.0","157,652.0","159,133.0","170,231.0","176,781.0","177,522.0","181,752.0","193,337.0","189,769.0","200,287.0","195,801.0","204,369.0","209,621.0","211,236.0","229,851.0","235,820.0","243,638.0","249,571.0","263,372.0","272,744.0","273,374.0","275,671.0","285,007.0","301,929.0","304,761.0","313,164.0","307,328.0","311,483.0","297,303.0","297,951.0","279,134.0","308,412.0","334,865.0","355,374.0","366,644.0","336,941.0","326,335.0","309,900.0","341,588.0","342,401.0","346,011.0","356,567.0","338,341.0","363,789.0","333,548.0","423,578.0","394,508.0","419,430.0","451,251.0","447,412.0","456,155.0","597,251.0","434,501.0","373,648.0","232,740.0","144,946.0","542,279.0","565,735.0","648,641.0","750,854.0","635,347.0","648,214.0","670,335.0","644,997.0","609,282.0","619,476.0","609,190.0","587,426.0","571,725.0","536,917.0","446,419.0","510,592.0","581,650.0","590,372.0","629,330.0","659,813.0","644,188.0","660,296.0"
"40","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","31,414.0","29,069.0","27,519.0","21,982.0","18,842.0","21,859.0","21,381.0","19,030.0","26,200.0","28,301.0","29,795.0","34,572.0","34,784.0","36,023.0","38,265.0","41,360.0","41,804.0","35,580.0","34,337.0","34,386.0","27,535.0","21,862.0","15,699.0","20,577.0","27,368.0","38,356.0","47,378.0","49,415.0","56,223.0","48,468.0","48,187.0","45,978.0","50,556.0","65,416.0","75,610.0","66,813.0","60,296.0","77,466.0","73,801.0","72,801.0","65,879.0","62,010.0","57,054.0","52,048.0","38,308.0","17,888.0","29,193.0","40,369.0","46,175.0","49,897.0","61,142.0","46,542.0","33,673.0","55,755.0","50,927.0","40,867.0","57,124.0","73,961.0","78,595.0","81,541.0","95,034.0","105,367.0","108,235.0","115,342.0","110,201.0","99,969.0","123,811.0","103,318.0","90,211.0","78,244.0","74,926.0","63,338.0","69,415.0","89,506.0","110,285.0","105,922.0","137,285.0","133,605.0","112,434.0","136,591.0","82,914.0","88,479.0","90,805.0","81,767.0","68,824.0","91,204.0","62,967.0","52,398.0","86,600.0","86,770.0","88,909.0","81,157.0","111,335.0","115,670.0","106,102.0","124,718.0","91,604.0","113,077.0","119,473.0","129,411.0","151,086.0","148,820.0","166,981.0","171,361.0","158,881.0","179,430.0","199,194.0","197,570.0","217,337.0","215,004.0","206,296.0","204,284.0","240,743.0","247,159.0","262,401.0","241,140.0","155,794.0","146,861.0","164,503.0","141,278.0","192,258.0","190,790.0","191,551.0","146,490.0","100,246.0","64,730.0","48,852.0","26,373.0","71,905.0","114,723.0","81,789.0","56,037.0","146,313.0","163,495.0","181,138.0","192,223.0","203,260.0","140,565.0","187,834.0","170,340.0","245,162.0","284,001.0","300,409.0","161,600.0","334,393.0","426,406.0","565,944.0","704,458.0","341,027.0","301,617.0","258,825.0","103,833.0","117,995.0","136,688.0","25,753.0","-22,140.0","-22,622.0","-48,485.0","-32,517.0","-190,669.0","34,614.0","135,985.0","328,273.0","352,302.0","363,924.0","405,251.0","378,176.0","420,007.0","399,156.0","416,225.0"
"41","22","  Current surplus of government enterprises \1\","A108RC1","938.0","951.0","1,038.0","1,153.0","498.0","-309.0","-72.0","-247.0","-560.0","16.0","-255.0","-161.0","-36.0","361.0","539.0","1,043.0","133.0","-271.0","-488.0","-843.0","-708.0","-190.0","-1,066.0","-1,752.0","-2,797.0","-3,036.0","-3,558.0","-3,575.0","-1,650.0","-1,802.0","-1,802.0","-1,955.0","-2,258.0","-2,462.0","-2,996.0","-3,032.0","-2,951.0","-2,478.0","-1,613.0","-1,763.0","-2,108.0","-2,557.0","-3,194.0","-3,669.0","-4,075.0","-4,607.0","-5,488.0","-6,203.0","-6,527.0","-4,926.0","-6,552.0","-4,299.0","-4,176.0","-4,220.0","-5,224.0","-4,301.0","-3,723.0","-3,208.0","-3,498.0","-2,292.0","-2,118.0","-1,906.0","-2,062.0","-1,558.0","-652.0","876.0","1,022.0","1,006.0","1,024.0","1,019.0","762.0","711.0","485.0","206.0","-85.0","21.0","-654.0","3,327.0","3,551.0","4,066.0","4,516.0","5,012.0","5,127.0","5,065.0","2,951.0","1,510.0","1,111.0","693.0","3,316.0","5,946.0","6,177.0","7,251.0","7,649.0","8,228.0","8,907.0","8,143.0","7,572.0","9,350.0","8,831.0","8,972.0","9,657.0","9,789.0","9,550.0","9,404.0","13,191.0","12,995.0","13,089.0","13,244.0","13,901.0","14,041.0","14,600.0","14,875.0","13,932.0","14,693.0","13,985.0","13,805.0","12,933.0","13,504.0","13,747.0","12,993.0","15,050.0","14,711.0","14,242.0","12,383.0","12,504.0","11,034.0","7,706.0","5,332.0","4,364.0","3,011.0","7,886.0","928.0","4,270.0","4,374.0","9,097.0","7,639.0","9,383.0","7,885.0","6,336.0","4,276.0","3,654.0","1,851.0","318.0","-855.0","-1,785.0","-3,144.0","-4,501.0","-4,535.0","-2,412.0","-3,827.0","-4,665.0","-5,956.0","-10,090.0","-11,034.0","-11,216.0","-14,768.0","-15,211.0","-15,873.0","-16,082.0","-16,754.0","-16,752.0","-15,297.0","-13,953.0","-13,567.0","-14,692.0","-15,485.0","-15,957.0","-16,524.0","-15,596.0","-14,521.0"
"42","23","Consumption of fixed capital","A262RC1","95,638.0","97,984.0","100,280.0","102,865.0","105,583.0","107,787.0","109,400.0","110,484.0","113,832.0","116,721.0","119,200.0","121,338.0","123,463.0","125,590.0","128,245.0","131,308.0","134,587.0","138,431.0","142,690.0","147,418.0","153,076.0","159,734.0","167,229.0","174,704.0","182,051.0","188,136.0","193,424.0","197,901.0","201,430.0","205,492.0","210,169.0","215,591.0","222,056.0","228,402.0","234,796.0","241,849.0","249,175.0","257,043.0","265,419.0","274,019.0","283,300.0","293,431.0","304,035.0","314,842.0","325,966.0","337,935.0","349,940.0","362,498.0","375,340.0","387,650.0","399,487.0","410,895.0","422,066.0","431,283.0","438,194.0","442,624.0","445,145.0","448,411.0","452,997.0","457,869.0","464,027.0","470,608.0","477,536.0","485,218.0","493,282.0","501,085.0","509,493.0","517,912.0","525,896.0","534,543.0","542,745.0","550,716.0","558,391.0","566,203.0","575,146.0","584,631.0","595,460.0","605,919.0","616,165.0","626,511.0","636,413.0","646,370.0","656,459.0","666,566.0","676,820.0","686,555.0","696,149.0","705,288.0","713,812.0","721,317.0","728,265.0","734,050.0","738,710.0","743,194.0","746,337.0","749,164.0","761,961.0","773,262.0","783,612.0","793,221.0","802,227.0","812,732.0","824,258.0","837,452.0","851,372.0","864,119.0","875,666.0","886,684.0","896,201.0","906,288.0","917,700.0","929,879.0","943,540.0","957,118.0","970,271.0","984,293.0","997,302.0","1,011,941.0","1,027,928.0","1,045,014.0","1,063,156.0","1,083,175.0","1,104,164.0","1,127,062.0","1,151,597.0","1,174,413.0","1,195,845.0","1,215,441.0","1,233,455.0","1,249,951.0","1,264,395.0","1,277,081.0","1,288,286.0","1,299,451.0","1,310,504.0","1,321,674.0","1,333,152.0","1,345,860.0","1,360,414.0","1,376,782.0","1,396,670.0","1,419,536.0","1,444,406.0","1,470,447.0","1,495,671.0","1,524,171.0","1,556,030.0","1,589,628.0","1,617,994.0","1,648,178.0","1,675,221.0","1,701,318.0","1,733,930.0","1,757,645.0","1,778,207.0","1,800,262.0","1,817,437.0","1,842,734.0","1,869,621.0","1,886,516.0","1,885,184.0","1,868,350.0","1,854,099.0","1,857,054.0","1,858,602.0","1,866,868.0","1,878,153.0","1,896,136.0","1,914,284.0","1,939,920.0"
"43","24","  Private","A024RC1","71,580.0","73,436.0","75,420.0","77,524.0","79,752.0","81,425.0","82,538.0","83,093.0","85,967.0","88,541.0","90,816.0","92,788.0","94,462.0","96,431.0","98,699.0","101,260.0","104,120.0","107,398.0","111,099.0","115,219.0","119,760.0","124,806.0","130,357.0","136,417.0","142,981.0","148,593.0","153,257.0","156,965.0","159,730.0","163,160.0","167,259.0","172,027.0","177,465.0","183,114.0","188,971.0","195,042.0","201,318.0","208,088.0","215,347.0","223,095.0","231,335.0","239,882.0","248,736.0","257,895.0","267,363.0","277,120.0","287,169.0","297,508.0","308,139.0","318,437.0","328,397.0","338,023.0","347,317.0","354,681.0","360,121.0","363,633.0","365,218.0","367,572.0","370,697.0","374,589.0","379,255.0","384,407.0","390,041.0","396,161.0","402,770.0","409,414.0","416,097.0","422,815.0","429,573.0","436,074.0","442,314.0","448,291.0","454,016.0","460,493.0","467,725.0","475,706.0","484,447.0","493,010.0","501,395.0","509,604.0","517,631.0","525,631.0","533,604.0","541,550.0","549,467.0","557,013.0","564,190.0","570,994.0","577,428.0","583,206.0","588,320.0","592,778.0","596,576.0","599,425.0","601,324.0","602,275.0","612,656.0","622,298.0","631,205.0","639,373.0","646,801.0","655,432.0","665,270.0","676,309.0","688,557.0","699,880.0","710,281.0","719,758.0","728,311.0","737,750.0","748,071.0","759,276.0","771,361.0","783,535.0","795,797.0","808,147.0","820,584.0","833,951.0","848,252.0","863,481.0","879,643.0","897,145.0","915,989.0","936,171.0","957,694.0","977,956.0","996,961.0","1,014,701.0","1,031,187.0","1,045,943.0","1,058,972.0","1,070,270.0","1,079,847.0","1,089,352.0","1,098,786.0","1,108,147.0","1,117,442.0","1,128,553.0","1,141,490.0","1,156,247.0","1,172,825.0","1,190,676.0","1,209,799.0","1,230,196.0","1,251,865.0","1,276,112.0","1,302,934.0","1,332,329.0","1,357,425.0","1,381,050.0","1,403,199.0","1,423,879.0","1,449,582.0","1,468,596.0","1,484,822.0","1,501,780.0","1,514,989.0","1,534,601.0","1,555,546.0","1,566,524.0","1,562,591.0","1,545,189.0","1,530,528.0","1,531,439.0","1,529,603.0","1,534,369.0","1,542,620.0","1,557,030.0","1,570,471.0","1,590,517.0"
"44","25","  Government","A264RC1","24,058.0","24,548.0","24,860.0","25,341.0","25,831.0","26,362.0","26,862.0","27,391.0","27,865.0","28,180.0","28,384.0","28,550.0","29,001.0","29,159.0","29,546.0","30,048.0","30,467.0","31,033.0","31,591.0","32,199.0","33,316.0","34,928.0","36,872.0","38,287.0","39,070.0","39,543.0","40,167.0","40,936.0","41,700.0","42,332.0","42,910.0","43,564.0","44,591.0","45,288.0","45,825.0","46,807.0","47,857.0","48,955.0","50,072.0","50,924.0","51,965.0","53,549.0","55,299.0","56,947.0","58,603.0","60,815.0","62,771.0","64,990.0","67,201.0","69,213.0","71,090.0","72,872.0","74,749.0","76,602.0","78,073.0","78,991.0","79,927.0","80,839.0","82,300.0","83,280.0","84,772.0","86,201.0","87,495.0","89,057.0","90,512.0","91,671.0","93,396.0","95,097.0","96,323.0","98,469.0","100,431.0","102,425.0","104,375.0","105,710.0","107,421.0","108,925.0","111,013.0","112,909.0","114,770.0","116,907.0","118,782.0","120,739.0","122,855.0","125,016.0","127,353.0","129,542.0","131,959.0","134,294.0","136,384.0","138,111.0","139,945.0","141,272.0","142,134.0","143,769.0","145,013.0","146,889.0","149,305.0","150,964.0","152,407.0","153,848.0","155,426.0","157,300.0","158,988.0","161,143.0","162,815.0","164,239.0","165,385.0","166,926.0","167,890.0","168,538.0","169,629.0","170,603.0","172,179.0","173,583.0","174,474.0","176,146.0","176,718.0","177,990.0","179,676.0","181,533.0","183,513.0","186,030.0","188,175.0","190,891.0","193,903.0","196,457.0","198,884.0","200,740.0","202,268.0","204,008.0","205,423.0","206,811.0","208,439.0","210,099.0","211,718.0","213,527.0","215,710.0","217,307.0","218,924.0","220,535.0","223,845.0","228,860.0","234,607.0","240,251.0","243,806.0","248,059.0","253,096.0","257,299.0","260,569.0","267,128.0","272,022.0","277,439.0","284,348.0","289,049.0","293,385.0","298,482.0","302,448.0","308,133.0","314,075.0","319,992.0","322,593.0","323,161.0","323,571.0","325,615.0","328,999.0","332,499.0","335,533.0","339,106.0","343,813.0","349,403.0"
"45",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
