"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"66","47","State and local consumption expenditures \1\","A991RC1","75,858.0","78,443.0","81,155.0","83,939.0","87,263.0","90,031.0","93,046.0","95,801.0","99,006.0","101,620.0","104,170.0","106,081.0","109,149.0","111,606.0","114,600.0","117,246.0","120,668.0","124,197.0","127,706.0","131,383.0","135,977.0","140,925.0","146,275.0","151,771.0","157,796.0","163,546.0","167,895.0","171,142.0","174,500.0","177,762.0","180,946.0","184,626.0","189,157.0","193,300.0","198,177.0","202,849.0","207,202.0","210,689.0","215,189.0","219,603.0","225,507.0","229,166.0","236,322.0","242,360.0","249,303.0","255,762.0","261,623.0","267,043.0","274,448.0","279,924.0","284,931.0","290,068.0","296,627.0","302,624.0","307,384.0","312,784.0","318,367.0","322,108.0","326,044.0","329,802.0","337,238.0","343,941.0","351,296.0","358,204.0","367,274.0","376,016.0","386,824.0","396,910.0","406,710.0","413,428.0","420,744.0","431,441.0","434,342.0","439,129.0","442,794.0","449,359.0","459,630.0","467,474.0","474,305.0","482,681.0","491,335.0","500,186.0","507,711.0","518,579.0","531,908.0","540,344.0","551,613.0","564,077.0","569,004.0","573,925.0","580,352.0","586,626.0","593,665.0","602,655.0","611,229.0","617,293.0","625,266.0","631,058.0","637,121.0","643,157.0","654,557.0","663,304.0","673,407.0","681,400.0","690,605.0","699,237.0","704,728.0","710,569.0","717,933.0","726,641.0","733,337.0","742,858.0","751,556.0","758,156.0","767,833.0","780,615.0","789,593.0","801,550.0","815,025.0","828,226.0","843,980.0","862,341.0","880,238.0","895,874.0","910,185.0","922,648.0","936,181.0","953,451.0","972,838.0","989,174.0","1,002,629.0","1,012,277.0","1,026,073.0","1,043,011.0","1,057,262.0","1,071,181.0","1,091,522.0","1,092,535.0","1,098,419.0","1,103,550.0","1,116,781.0","1,129,136.0","1,144,043.0","1,166,310.0","1,181,976.0","1,198,394.0","1,222,915.0","1,244,832.0","1,254,453.0","1,274,649.0","1,292,668.0","1,307,583.0","1,337,783.0","1,360,557.0","1,376,178.0","1,400,959.0","1,428,414.0","1,455,080.0","1,475,595.0","1,437,826.0","1,417,123.0","1,424,583.0","1,427,631.0","1,432,713.0","1,443,082.0","1,441,777.0","1,438,915.0","1,450,097.0","1,471,663.0","1,483,051.0"
"67","48","      Gross output of general government","W138RC1","87,434.0","90,297.0","93,338.0","96,408.0","100,035.0","103,152.0","106,659.0","109,764.0","113,513.0","116,598.0","119,486.0","121,893.0","125,313.0","128,275.0","131,624.0","134,864.0","138,733.0","142,684.0","146,649.0","150,869.0","155,980.0","161,476.0","167,288.0","173,124.0","179,765.0","185,873.0","190,939.0","194,892.0","198,701.0","202,864.0","206,869.0","210,958.0","215,944.0","220,839.0","226,400.0","231,654.0","236,651.0","241,525.0","247,366.0","253,272.0","259,957.0","264,945.0","273,201.0","280,400.0","288,313.0","295,670.0","303,034.0","310,301.0","319,291.0","326,138.0","332,860.0","339,905.0","347,825.0","355,291.0","361,548.0","368,522.0","375,645.0","381,043.0","386,634.0","391,569.0","399,700.0","407,547.0","416,337.0","424,782.0","435,449.0","445,951.0","458,080.0","469,987.0","481,335.0","489,824.0","498,899.0","511,061.0","515,098.0","521,436.0","526,643.0","534,597.0","546,896.0","557,186.0","566,160.0","577,002.0","588,783.0","600,430.0","610,628.0","624,217.0","639,977.0","650,649.0","664,892.0","680,578.0","688,912.0","696,759.0","706,515.0","716,573.0","727,295.0","739,556.0","751,408.0","761,129.0","773,294.0","782,174.0","791,035.0","799,807.0","813,635.0","824,837.0","838,387.0","849,488.0","862,522.0","873,862.0","881,453.0","889,935.0","899,016.0","909,514.0","918,173.0","930,533.0","943,259.0","952,267.0","964,295.0","979,807.0","990,440.0","1,005,008.0","1,020,699.0","1,036,202.0","1,054,967.0","1,075,946.0","1,096,365.0","1,116,645.0","1,136,860.0","1,152,606.0","1,171,601.0","1,193,814.0","1,219,985.0","1,240,863.0","1,257,517.0","1,270,313.0","1,286,348.0","1,305,544.0","1,322,992.0","1,340,025.0","1,363,328.0","1,367,494.0","1,377,650.0","1,386,785.0","1,404,502.0","1,421,441.0","1,439,320.0","1,465,058.0","1,484,296.0","1,504,323.0","1,532,018.0","1,558,806.0","1,571,988.0","1,597,381.0","1,620,518.0","1,640,146.0","1,676,203.0","1,704,088.0","1,724,665.0","1,756,593.0","1,785,964.0","1,815,105.0","1,839,658.0","1,805,153.0","1,789,230.0","1,801,731.0","1,809,667.0","1,820,599.0","1,836,385.0","1,840,809.0","1,841,425.0","1,854,283.0","1,881,014.0","1,897,082.0"
"68","49","        Value added","W139RC1","66,826.0","68,882.0","71,078.0","73,304.0","75,970.0","78,471.0","80,748.0","82,793.0","85,572.0","87,720.0","89,821.0","91,448.0","94,084.0","96,438.0","99,176.0","101,771.0","105,028.0","108,097.0","110,785.0","113,328.0","116,442.0","119,823.0","123,512.0","127,246.0","131,448.0","135,785.0","139,296.0","142,068.0","145,358.0","148,386.0","151,061.0","153,804.0","157,078.0","160,385.0","164,485.0","168,436.0","172,305.0","175,384.0","179,693.0","183,720.0","188,890.0","191,811.0","197,731.0","203,050.0","208,672.0","214,534.0","220,293.0","225,721.0","231,359.0","235,610.0","239,851.0","244,862.0","250,773.0","255,796.0","259,839.0","264,556.0","268,882.0","272,715.0","275,900.0","278,968.0","284,353.0","289,790.0","296,134.0","302,008.0","308,881.0","314,597.0","322,314.0","327,869.0","333,089.0","339,492.0","345,977.0","356,258.0","359,806.0","365,653.0","369,929.0","377,549.0","385,968.0","392,573.0","398,263.0","406,583.0","413,225.0","420,827.0","429,848.0","439,226.0","450,312.0","459,463.0","469,061.0","476,589.0","483,582.0","489,961.0","495,596.0","501,943.0","509,476.0","516,786.0","523,763.0","529,699.0","536,470.0","542,683.0","549,500.0","555,248.0","563,124.0","571,286.0","578,892.0","585,655.0","592,670.0","598,680.0","603,741.0","609,561.0","614,741.0","620,688.0","626,487.0","632,985.0","639,858.0","646,520.0","653,541.0","661,226.0","667,613.0","675,433.0","684,522.0","693,634.0","703,984.0","715,208.0","727,025.0","738,450.0","748,172.0","758,052.0","768,416.0","780,068.0","794,073.0","808,343.0","822,537.0","833,842.0","841,798.0","852,620.0","865,662.0","878,291.0","894,109.0","906,306.0","914,681.0","921,936.0","930,338.0","941,177.0","951,992.0","965,820.0","978,859.0","991,501.0","1,004,825.0","1,015,746.0","1,027,478.0","1,041,863.0","1,059,003.0","1,076,886.0","1,097,907.0","1,109,782.0","1,124,628.0","1,141,889.0","1,159,279.0","1,171,674.0","1,188,036.0","1,202,179.0","1,204,566.0","1,211,645.0","1,213,260.0","1,214,172.0","1,216,971.0","1,219,753.0","1,219,576.0","1,221,787.0","1,225,165.0","1,229,190.0"
"69","50","          Compensation of general government employees","B251RC1","59,742.0","61,530.0","63,582.0","65,542.0","67,967.0","70,179.0","72,187.0","73,899.0","76,453.0","78,393.0","80,341.0","81,757.0","84,205.0","86,409.0","88,917.0","91,241.0","94,208.0","96,959.0","99,333.0","101,436.0","103,801.0","106,186.0","108,895.0","111,898.0","115,720.0","119,919.0","123,315.0","125,902.0","128,978.0","131,816.0","134,402.0","136,988.0","139,933.0","142,995.0","146,836.0","150,496.0","154,053.0","156,736.0","160,632.0","164,235.0","168,856.0","171,107.0","176,323.0","180,898.0","185,699.0","190,682.0","195,492.0","199,991.0","204,697.0","208,116.0","211,663.0","215,904.0","221,152.0","225,584.0","229,212.0","233,696.0","237,872.0","241,656.0","244,712.0","247,612.0","252,776.0","257,948.0","263,984.0","269,556.0","275,948.0","281,208.0","288,404.0","293,388.0","298,048.0","303,736.0","309,492.0","318,924.0","321,824.0","326,980.0","330,592.0","337,632.0","345,352.0","351,424.0","356,476.0","364,132.0","370,044.0","376,848.0","385,104.0","393,604.0","403,740.0","411,980.0","420,536.0","427,228.0","433,480.0","439,072.0","444,116.0","449,932.0","457,048.0","463,676.0","470,140.0","475,392.0","481,292.0","486,732.0","492,872.0","497,944.0","504,960.0","512,336.0","518,884.0","524,712.0","530,592.0","535,644.0","539,872.0","544,796.0","549,136.0","554,496.0","559,448.0","565,172.0","571,092.0","576,744.0","582,996.0","589,492.0","595,204.0","602,260.0","610,108.0","618,072.0","627,352.0","637,120.0","647,732.0","657,648.0","665,864.0","673,980.0","682,880.0","693,264.0","705,984.0","719,184.0","732,412.0","742,588.0","749,488.0","759,184.0","771,272.0","783,088.0","797,560.0","809,084.0","816,708.0","823,268.0","830,192.0","838,576.0","846,044.0","856,840.0","868,440.0","878,564.0","888,792.0","897,556.0","907,880.0","918,960.0","933,700.0","947,972.0","964,679.0","974,083.0","986,587.0","1,001,259.0","1,017,297.0","1,027,253.0","1,040,681.0","1,051,233.0","1,051,847.0","1,059,071.0","1,061,235.0","1,061,727.0","1,063,399.0","1,064,927.0","1,063,687.0","1,064,815.0","1,066,460.0","1,068,100.0"
"70","51","          Consumption of general government fixed capital \2\","B986RC1","7,084.0","7,352.0","7,496.0","7,762.0","8,003.0","8,292.0","8,561.0","8,894.0","9,119.0","9,327.0","9,480.0","9,691.0","9,879.0","10,029.0","10,259.0","10,530.0","10,820.0","11,138.0","11,452.0","11,892.0","12,641.0","13,637.0","14,617.0","15,348.0","15,728.0","15,866.0","15,981.0","16,166.0","16,380.0","16,570.0","16,659.0","16,816.0","17,145.0","17,390.0","17,649.0","17,940.0","18,252.0","18,648.0","19,061.0","19,485.0","20,034.0","20,704.0","21,408.0","22,152.0","22,973.0","23,852.0","24,801.0","25,730.0","26,662.0","27,494.0","28,188.0","28,958.0","29,621.0","30,212.0","30,627.0","30,860.0","31,010.0","31,059.0","31,188.0","31,356.0","31,577.0","31,842.0","32,150.0","32,452.0","32,933.0","33,389.0","33,910.0","34,481.0","35,041.0","35,756.0","36,485.0","37,334.0","37,982.0","38,673.0","39,337.0","39,917.0","40,616.0","41,149.0","41,787.0","42,451.0","43,181.0","43,979.0","44,744.0","45,622.0","46,572.0","47,483.0","48,525.0","49,361.0","50,102.0","50,889.0","51,480.0","52,011.0","52,428.0","53,110.0","53,623.0","54,307.0","55,178.0","55,951.0","56,628.0","57,304.0","58,164.0","58,950.0","60,008.0","60,943.0","62,078.0","63,036.0","63,869.0","64,765.0","65,605.0","66,192.0","67,039.0","67,813.0","68,766.0","69,776.0","70,545.0","71,734.0","72,409.0","73,173.0","74,414.0","75,562.0","76,632.0","78,088.0","79,293.0","80,802.0","82,308.0","84,072.0","85,536.0","86,804.0","88,089.0","89,159.0","90,125.0","91,254.0","92,310.0","93,436.0","94,390.0","95,203.0","96,549.0","97,222.0","97,973.0","98,668.0","100,146.0","102,601.0","105,948.0","108,980.0","110,419.0","112,937.0","116,033.0","118,190.0","119,598.0","122,903.0","125,303.0","128,914.0","133,228.0","135,699.0","138,041.0","140,630.0","141,982.0","144,421.0","147,355.0","150,946.0","152,719.0","152,574.0","152,025.0","152,445.0","153,572.0","154,826.0","155,889.0","156,972.0","158,705.0","161,090.0"
"71","52","        Intermediate goods and services purchased \3\","W140RC1","20,608.0","21,415.0","22,260.0","23,104.0","24,065.0","24,681.0","25,911.0","26,971.0","27,941.0","28,878.0","29,665.0","30,445.0","31,229.0","31,837.0","32,448.0","33,093.0","33,705.0","34,587.0","35,864.0","37,541.0","39,538.0","41,653.0","43,776.0","45,878.0","48,317.0","50,088.0","51,643.0","52,824.0","53,343.0","54,478.0","55,808.0","57,154.0","58,866.0","60,454.0","61,915.0","63,218.0","64,346.0","66,141.0","67,673.0","69,552.0","71,067.0","73,134.0","75,470.0","77,350.0","79,641.0","81,136.0","82,741.0","84,580.0","87,932.0","90,528.0","93,009.0","95,043.0","97,052.0","99,495.0","101,709.0","103,966.0","106,763.0","108,328.0","110,734.0","112,601.0","115,347.0","117,757.0","120,203.0","122,774.0","126,568.0","131,354.0","135,766.0","142,118.0","148,246.0","150,332.0","152,922.0","154,803.0","155,292.0","155,783.0","156,714.0","157,048.0","160,928.0","164,613.0","167,897.0","170,419.0","175,558.0","179,603.0","180,780.0","184,991.0","189,665.0","191,186.0","195,831.0","203,989.0","205,330.0","206,798.0","210,919.0","214,630.0","217,819.0","222,770.0","227,645.0","231,430.0","236,824.0","239,491.0","241,535.0","244,559.0","250,511.0","253,551.0","259,495.0","263,833.0","269,852.0","275,182.0","277,712.0","280,374.0","284,275.0","288,826.0","291,686.0","297,548.0","303,401.0","305,747.0","310,754.0","318,581.0","322,827.0","329,575.0","336,176.0","342,567.0","350,983.0","360,738.0","369,340.0","378,195.0","388,688.0","394,553.0","403,185.0","413,746.0","425,912.0","432,520.0","434,980.0","436,471.0","444,550.0","452,924.0","457,330.0","461,734.0","469,218.0","461,188.0","462,969.0","464,849.0","474,164.0","480,264.0","487,327.0","499,239.0","505,436.0","512,822.0","527,193.0","543,060.0","544,510.0","555,518.0","561,515.0","563,260.0","578,296.0","594,306.0","600,036.0","614,704.0","626,685.0","643,431.0","651,623.0","602,973.0","584,664.0","590,086.0","596,407.0","606,426.0","619,413.0","621,055.0","621,849.0","632,496.0","655,848.0","667,891.0"
"72","53","          Durable goods","B989RC1","1,207.0","1,257.0","1,314.0","1,375.0","1,441.0","1,514.0","1,597.0","1,670.0","1,757.0","1,840.0","1,914.0","2,006.0","2,081.0","2,165.0","2,218.0","2,285.0","2,340.0","2,412.0","2,504.0","2,610.0","2,726.0","2,842.0","2,953.0","3,047.0","3,171.0","3,256.0","3,357.0","3,448.0","3,496.0","3,595.0","3,705.0","3,786.0","3,888.0","3,993.0","4,071.0","4,118.0","4,180.0","4,331.0","4,469.0","4,609.0","4,689.0","4,822.0","4,947.0","5,056.0","5,130.0","5,238.0","5,382.0","5,572.0","5,798.0","5,996.0","6,167.0","6,345.0","6,491.0","6,617.0","6,721.0","6,857.0","7,009.0","7,097.0","7,240.0","7,380.0","7,548.0","7,716.0","7,896.0","8,036.0","8,117.0","8,288.0","8,475.0","8,685.0","8,933.0","9,165.0","9,370.0","9,527.0","9,606.0","9,729.0","9,899.0","10,063.0","10,197.0","10,365.0","10,522.0","10,724.0","11,028.0","11,256.0","11,470.0","11,692.0","11,798.0","11,920.0","12,056.0","12,193.0","12,440.0","12,644.0","12,827.0","13,016.0","13,135.0","13,240.0","13,357.0","13,419.0","13,599.0","13,690.0","13,783.0","13,890.0","14,136.0","14,309.0","14,557.0","14,807.0","15,198.0","15,465.0","15,708.0","15,959.0","15,871.0","15,869.0","16,024.0","16,231.0","16,656.0","16,830.0","17,052.0","17,304.0","17,851.0","18,347.0","18,809.0","19,134.0","19,478.0","19,710.0","19,936.0","20,370.0","20,625.0","20,845.0","21,224.0","21,525.0","21,831.0","22,267.0","22,399.0","22,428.0","22,460.0","22,355.0","22,183.0","22,018.0","21,740.0","21,659.0","21,628.0","21,611.0","21,772.0","21,872.0","21,928.0","22,025.0","22,123.0","22,221.0","22,302.0","22,430.0","22,611.0","22,839.0","23,036.0","23,313.0","23,634.0","23,847.0","24,046.0","24,152.0","24,085.0","24,080.0","24,265.0","24,533.0","24,707.0","24,624.0","24,455.0","24,410.0","24,358.0","24,529.0","24,553.0","24,566.0","24,547.0","24,617.0"
"73","54","          Nondurable goods","B337RC1","7,470.0","7,711.0","7,972.0","8,230.0","8,559.0","8,749.0","9,165.0","9,514.0","9,863.0","10,125.0","10,326.0","10,526.0","10,709.0","10,855.0","11,016.0","11,219.0","11,597.0","12,043.0","12,622.0","13,343.0","14,188.0","15,062.0","15,935.0","16,810.0","17,773.0","18,556.0","19,281.0","19,881.0","20,305.0","20,919.0","21,634.0","22,368.0","23,235.0","23,989.0","24,572.0","24,986.0","25,310.0","25,992.0","26,510.0","27,357.0","28,217.0","29,394.0","30,796.0","31,759.0","33,020.0","33,472.0","33,955.0","34,611.0","36,502.0","37,190.0","37,390.0","37,655.0","37,787.0","38,141.0","38,685.0","39,001.0","39,128.0","39,532.0","40,434.0","40,753.0","41,957.0","42,512.0","43,062.0","43,516.0","43,961.0","45,204.0","45,798.0","47,546.0","46,579.0","44,954.0","45,099.0","45,930.0","47,434.0","48,743.0","50,295.0","50,583.0","50,532.0","51,754.0","52,313.0","52,706.0","55,783.0","57,974.0","57,728.0","59,419.0","61,754.0","60,962.0","63,721.0","68,860.0","66,502.0","65,067.0","65,794.0","66,772.0","66,604.0","68,706.0","70,288.0","70,741.0","72,281.0","73,092.0","72,386.0","73,134.0","74,923.0","75,932.0","78,851.0","80,077.0","82,433.0","84,804.0","85,091.0","85,705.0","87,961.0","90,317.0","90,613.0","93,416.0","94,402.0","93,142.0","93,816.0","95,931.0","95,039.0","96,212.0","97,016.0","98,203.0","100,084.0","105,164.0","109,854.0","113,623.0","119,938.0","122,401.0","126,364.0","130,396.0","132,358.0","134,680.0","133,372.0","129,208.0","130,465.0","134,588.0","136,147.0","139,489.0","147,903.0","139,685.0","141,109.0","142,981.0","148,991.0","152,537.0","155,881.0","164,200.0","167,733.0","171,078.0","180,355.0","188,609.0","187,350.0","194,597.0","195,655.0","190,167.0","197,671.0","208,350.0","210,660.0","223,142.0","234,186.0","249,112.0","253,106.0","204,951.0","186,100.0","190,612.0","197,259.0","204,379.0","214,355.0","213,707.0","212,657.0","223,326.0","242,388.0","252,139.0"
"74","55","          Services","A988RC1","11,930.0","12,447.0","12,975.0","13,499.0","14,064.0","14,418.0","15,149.0","15,787.0","16,322.0","16,914.0","17,425.0","17,913.0","18,439.0","18,817.0","19,215.0","19,589.0","19,767.0","20,132.0","20,738.0","21,588.0","22,624.0","23,749.0","24,887.0","26,022.0","27,373.0","28,276.0","29,005.0","29,495.0","29,543.0","29,964.0","30,469.0","31,000.0","31,743.0","32,472.0","33,272.0","34,114.0","34,857.0","35,818.0","36,694.0","37,586.0","38,160.0","38,918.0","39,728.0","40,535.0","41,492.0","42,426.0","43,404.0","44,397.0","45,632.0","47,343.0","49,452.0","51,043.0","52,774.0","54,736.0","56,303.0","58,107.0","60,626.0","61,699.0","63,059.0","64,467.0","65,841.0","67,529.0","69,245.0","71,221.0","74,491.0","77,862.0","81,493.0","85,887.0","92,734.0","96,214.0","98,454.0","99,346.0","98,252.0","97,311.0","96,520.0","96,402.0","100,199.0","102,494.0","105,062.0","106,990.0","108,747.0","110,373.0","111,582.0","113,880.0","116,113.0","118,303.0","120,054.0","122,935.0","126,388.0","129,087.0","132,299.0","134,842.0","138,081.0","140,824.0","144,000.0","147,270.0","150,944.0","152,708.0","155,366.0","157,535.0","161,453.0","163,310.0","166,086.0","168,949.0","172,221.0","174,913.0","176,912.0","178,709.0","180,443.0","182,639.0","185,049.0","187,902.0","192,343.0","195,776.0","199,885.0","205,346.0","209,937.0","215,017.0","220,351.0","225,231.0","231,421.0","235,864.0","239,550.0","244,202.0","248,124.0","251,306.0","255,597.0","261,825.0","271,722.0","275,573.0","279,209.0","284,835.0","291,625.0","295,981.0","299,000.0","300,227.0","299,575.0","299,844.0","300,232.0","300,258.0","303,402.0","305,855.0","309,518.0","313,014.0","315,580.0","319,523.0","324,536.0","332,021.0","334,549.0","338,082.0","342,824.0","349,780.0","356,990.0","362,109.0","365,331.0","367,409.0","368,414.0","370,240.0","374,252.0","373,489.0","373,857.0","374,850.0","374,694.0","377,637.0","380,701.0","382,819.0","384,639.0","384,604.0","388,914.0","391,135.0"
"75","56","      Less: Own-account investment \4\","W144RC1","1,375.0","1,396.0","1,455.0","1,470.0","1,477.0","1,499.0","1,617.0","1,551.0","1,625.0","1,661.0","1,582.0","1,676.0","1,636.0","1,728.0","1,628.0","1,728.0","1,724.0","1,691.0","1,715.0","1,834.0","1,968.0","2,108.0","2,141.0","2,039.0","2,225.0","2,057.0","2,148.0","2,166.0","1,888.0","2,059.0","2,214.0","2,015.0","1,971.0","2,098.0","2,072.0","1,879.0","1,733.0","2,171.0","2,512.0","2,888.0","2,486.0","2,830.0","3,073.0","3,247.0","3,322.0","3,295.0","3,285.0","3,462.0","3,420.0","3,484.0","3,460.0","3,612.0","3,570.0","3,770.0","3,768.0","3,872.0","3,677.0","3,807.0","4,132.0","4,204.0","4,158.0","4,427.0","4,877.0","5,018.0","4,896.0","5,139.0","5,310.0","5,487.0","5,322.0","5,681.0","5,991.0","5,982.0","5,967.0","5,925.0","6,242.0","6,254.0","6,328.0","6,645.0","6,714.0","7,025.0","7,287.0","7,670.0","7,959.0","8,332.0","8,553.0","8,435.0","8,487.0","8,877.0","9,056.0","9,241.0","9,401.0","9,594.0","9,787.0","9,580.0","9,393.0","9,344.0","9,424.0","9,783.0","9,842.0","9,879.0","9,721.0","9,941.0","10,358.0","10,492.0","10,457.0","10,715.0","10,617.0","10,727.0","10,830.0","10,957.0","10,892.0","11,189.0","12,489.0","12,320.0","12,018.0","11,961.0","11,945.0","12,545.0","12,994.0","12,992.0","13,288.0","13,333.0","13,325.0","14,162.0","14,846.0","14,447.0","15,081.0","15,082.0","16,002.0","17,037.0","16,746.0","16,867.0","17,068.0","16,939.0","17,005.0","17,092.0","17,015.0","16,877.0","17,445.0","17,455.0","17,630.0","18,164.0","18,251.0","18,427.0","18,552.0","19,048.0","19,202.0","19,758.0","19,765.0","20,601.0","20,757.0","20,905.0","21,221.0","21,465.0","21,680.0","22,194.0","22,354.0","22,860.0","23,193.0","23,224.0","23,322.0","23,362.0","22,837.0","21,898.0","21,173.0","21,575.0","21,786.0","21,256.0","20,548.0","20,225.0"
"76","57","            Sales to other sectors","W145RC1","10,201.0","10,458.0","10,728.0","10,999.0","11,295.0","11,622.0","11,996.0","12,412.0","12,882.0","13,317.0","13,734.0","14,136.0","14,528.0","14,941.0","15,396.0","15,890.0","16,341.0","16,796.0","17,228.0","17,652.0","18,035.0","18,443.0","18,872.0","19,314.0","19,744.0","20,270.0","20,896.0","21,584.0","22,313.0","23,043.0","23,709.0","24,317.0","24,816.0","25,441.0","26,151.0","26,926.0","27,716.0","28,665.0","29,665.0","30,781.0","31,964.0","32,949.0","33,806.0","34,793.0","35,688.0","36,613.0","38,126.0","39,796.0","41,423.0","42,730.0","44,469.0","46,225.0","47,628.0","48,897.0","50,396.0","51,866.0","53,601.0","55,128.0","56,458.0","57,563.0","58,304.0","59,179.0","60,164.0","61,560.0","63,279.0","64,796.0","65,946.0","67,590.0","69,303.0","70,715.0","72,164.0","73,638.0","74,789.0","76,382.0","77,607.0","78,984.0","80,938.0","83,067.0","85,141.0","87,296.0","90,161.0","92,574.0","94,958.0","97,306.0","99,516.0","101,870.0","104,792.0","107,624.0","110,852.0","113,593.0","116,762.0","120,353.0","123,843.0","127,321.0","130,786.0","134,492.0","138,604.0","141,333.0","144,072.0","146,771.0","149,357.0","151,592.0","154,622.0","157,596.0","161,460.0","163,910.0","166,108.0","168,639.0","170,253.0","171,916.0","173,944.0","176,486.0","179,214.0","181,791.0","184,444.0","187,231.0","188,902.0","190,913.0","192,680.0","194,984.0","197,699.0","200,272.0","202,802.0","206,610.0","211,828.0","215,510.0","220,339.0","225,281.0","231,145.0","234,653.0","238,142.0","241,169.0","243,206.0","245,594.0","248,726.0","251,752.0","254,791.0","258,082.0","261,785.0","265,781.0","270,090.0","274,141.0","277,026.0","280,321.0","283,767.0","286,881.0","289,901.0","294,216.0","297,770.0","302,131.0","307,093.0","311,658.0","317,199.0","322,066.0","326,807.0","333,440.0","335,197.0","337,165.0","340,871.0","344,103.0","348,785.0","353,786.0","359,199.0","365,988.0","372,129.0","377,457.0","380,723.0","382,931.0","388,804.0","393,806.0"
"77","58","              Tuition and related educational charges","B1065C1","1,795.0","1,870.0","1,962.0","2,071.0","2,210.0","2,337.0","2,463.0","2,589.0","2,723.0","2,833.0","2,927.0","3,006.0","3,086.0","3,164.0","3,256.0","3,363.0","3,508.0","3,615.0","3,709.0","3,790.0","3,859.0","3,926.0","3,994.0","4,062.0","4,126.0","4,207.0","4,299.0","4,402.0","4,518.0","4,637.0","4,762.0","4,888.0","5,021.0","5,150.0","5,281.0","5,413.0","5,470.0","5,661.0","5,860.0","6,083.0","6,118.0","6,311.0","6,477.0","6,668.0","6,861.0","7,040.0","7,334.0","7,659.0","7,844.0","8,093.0","8,424.0","8,762.0","8,981.0","9,216.0","9,495.0","9,776.0","10,243.0","10,528.0","10,805.0","11,065.0","11,337.0","11,584.0","11,832.0","12,111.0","12,376.0","12,639.0","12,862.0","13,142.0","13,453.0","13,737.0","14,017.0","14,317.0","14,515.0","14,846.0","15,152.0","15,478.0","15,917.0","16,388.0","16,836.0","17,263.0","17,752.0","18,192.0","18,651.0","19,095.0","19,525.0","19,998.0","20,595.0","21,138.0","21,752.0","22,327.0","22,991.0","23,728.0","24,526.0","25,241.0","25,874.0","26,488.0","26,972.0","27,261.0","27,607.0","28,033.0","28,621.0","29,069.0","29,618.0","30,109.0","30,633.0","30,985.0","31,366.0","31,877.0","32,292.0","32,722.0","33,269.0","33,902.0","34,544.0","35,184.0","35,785.0","36,402.0","37,022.0","37,684.0","38,260.0","38,891.0","39,584.0","40,261.0","40,950.0","41,681.0","42,562.0","43,379.0","44,213.0","44,828.0","45,290.0","45,934.0","46,520.0","47,127.0","47,896.0","48,827.0","49,915.0","51,018.0","52,121.0","53,081.0","54,052.0","54,989.0","55,677.0","56,452.0","57,162.0","58,114.0","59,480.0","60,590.0","61,653.0","62,936.0","64,000.0","65,202.0","66,517.0","67,668.0","69,016.0","70,192.0","71,308.0","72,904.0","74,025.0","75,219.0","76,585.0","77,854.0","79,292.0","80,744.0","82,358.0","84,283.0","86,078.0","87,545.0","88,554.0","89,133.0","91,237.0","92,852.0"
