"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"34","15","      Equipment and software","A873RC1","11,724.0","9,192.0","10,100.0","8,408.0","10,376.0","9,672.0","9,236.0","9,724.0","6,404.0","5,728.0","6,296.0","4,280.0","5,260.0","6,880.0","4,584.0","5,992.0","7,992.0","7,276.0","5,468.0","5,756.0","7,572.0","8,384.0","9,608.0","9,992.0","9,524.0","8,220.0","12,320.0","12,780.0","12,828.0","11,964.0","13,980.0","13,836.0","14,564.0","14,912.0","14,316.0","13,644.0","13,648.0","14,804.0","15,304.0","17,412.0","16,824.0","17,448.0","20,976.0","20,256.0","21,424.0","20,964.0","19,576.0","22,488.0","22,640.0","25,360.0","27,176.0","27,724.0","27,100.0","32,052.0","30,680.0","33,336.0","33,316.0","35,916.0","38,172.0","41,036.0","42,076.0","42,928.0","41,456.0","48,572.0","46,592.0","50,532.0","54,728.0","53,296.0","50,240.0","54,016.0","62,028.0","58,300.0","56,700.0","59,552.0","61,432.0","57,344.0","53,908.0","53,448.0","53,924.0","54,400.0","55,180.0","55,152.0","59,812.0","55,212.0","57,248.0","59,408.0","60,492.0","62,152.0","58,712.0","61,300.0","59,748.0","55,352.0","55,324.0","56,816.0","58,040.0","55,164.0","50,868.0","50,644.0","48,140.0","50,928.0","44,324.0","47,428.0","51,148.0","45,896.0","45,812.0","46,848.0","43,736.0","44,108.0","49,188.0","47,012.0","44,824.0","40,424.0","37,092.0","37,528.0","40,968.0","41,260.0","36,892.0","38,928.0","42,652.0","41,204.0","38,740.0","42,660.0","45,336.0","44,424.0","43,924.0","43,492.0","43,916.0","43,916.0","43,228.0","45,636.0","47,012.0","46,548.0","46,680.0","51,056.0","53,928.0","53,116.0","52,396.0","55,128.0","56,328.0","57,924.0","58,448.0","60,940.0","65,468.0","64,868.0","63,484.0","67,100.0","68,908.0","67,540.0","69,700.0","74,804.0","71,812.0","75,352.0","72,860.0","76,524.0","78,520.0","79,580.0","81,580.0","90,732.0","95,028.0","96,152.0","88,864.0","95,032.0","96,544.0","93,508.0","95,996.0","99,264.0","100,220.0","103,728.0","92,564.0","92,952.0"
"35","16","  Nondefense","A825RC1","23,252.0","23,652.0","24,564.0","23,692.0","24,964.0","26,088.0","26,016.0","26,168.0","26,764.0","29,056.0","30,644.0","29,836.0","32,032.0","32,824.0","32,800.0","33,128.0","34,096.0","34,044.0","34,396.0","34,732.0","36,812.0","36,180.0","40,024.0","42,900.0","43,300.0","44,600.0","45,332.0","47,300.0","47,676.0","47,844.0","48,312.0","50,632.0","51,856.0","53,560.0","54,824.0","57,812.0","57,772.0","59,764.0","60,680.0","63,452.0","63,912.0","64,488.0","65,636.0","67,476.0","71,160.0","77,936.0","75,828.0","78,108.0","81,680.0","84,864.0","83,628.0","85,620.0","84,876.0","82,384.0","83,764.0","88,472.0","91,580.0","93,324.0","101,732.0","82,412.0","85,320.0","94,520.0","95,056.0","96,092.0","99,816.0","101,620.0","102,652.0","102,188.0","102,988.0","105,376.0","109,568.0","112,628.0","110,832.0","109,296.0","105,136.0","112,968.0","105,712.0","105,168.0","105,316.0","111,200.0","115,428.0","119,272.0","120,256.0","122,436.0","129,804.0","133,440.0","135,432.0","135,752.0","140,040.0","143,184.0","144,048.0","146,516.0","153,636.0","153,788.0","155,704.0","161,368.0","162,056.0","160,964.0","162,312.0","162,556.0","163,456.0","162,476.0","164,492.0","168,788.0","171,360.0","169,672.0","170,736.0","168,108.0","172,512.0","172,084.0","170,988.0","173,076.0","179,744.0","181,572.0","182,168.0","180,988.0","185,548.0","187,472.0","179,524.0","187,228.0","190,228.0","191,388.0","193,888.0","199,652.0","201,868.0","206,276.0","206,648.0","205,328.0","210,616.0","219,024.0","220,712.0","224,588.0","237,468.0","242,460.0","244,952.0","246,852.0","258,812.0","254,896.0","262,152.0","258,296.0","269,200.0","274,244.0","273,736.0","278,252.0","283,480.0","281,148.0","287,988.0","296,396.0","312,972.0","306,192.0","308,880.0","299,296.0","306,408.0","311,724.0","317,376.0","320,660.0","336,708.0","341,264.0","342,148.0","349,044.0","357,672.0","365,680.0","368,616.0","379,216.0","391,640.0","406,488.0","406,152.0","410,304.0","410,884.0","406,492.0"
"36","17","    Consumption expenditures","A542RC1","19,584.0","19,964.0","20,968.0","20,168.0","21,432.0","22,340.0","22,212.0","22,232.0","22,824.0","24,920.0","26,256.0","25,536.0","27,548.0","28,212.0","28,276.0","28,620.0","29,176.0","29,216.0","29,536.0","29,764.0","31,972.0","30,368.0","34,584.0","36,776.0","36,824.0","38,324.0","38,964.0","40,496.0","40,728.0","40,476.0","40,968.0","43,256.0","44,492.0","45,780.0","46,348.0","49,516.0","48,912.0","50,200.0","50,156.0","53,256.0","54,016.0","54,376.0","54,772.0","57,372.0","59,660.0","66,068.0","63,448.0","65,888.0","68,872.0","72,032.0","70,524.0","72,392.0","72,172.0","69,448.0","71,132.0","75,780.0","77,184.0","79,076.0","86,804.0","67,868.0","70,012.0","78,724.0","79,460.0","80,052.0","82,980.0","85,368.0","85,292.0","84,988.0","85,468.0","88,288.0","92,452.0","94,372.0","92,392.0","89,576.0","85,572.0","93,024.0","87,440.0","86,776.0","86,448.0","92,460.0","96,104.0","98,952.0","99,776.0","101,500.0","106,868.0","110,484.0","112,912.0","113,772.0","116,968.0","118,588.0","119,124.0","119,764.0","126,488.0","127,168.0","129,040.0","132,964.0","132,568.0","132,288.0","134,204.0","135,760.0","138,792.0","138,648.0","139,756.0","142,380.0","144,000.0","143,348.0","143,828.0","141,468.0","143,768.0","142,752.0","141,660.0","145,284.0","151,176.0","152,896.0","153,444.0","154,560.0","155,048.0","156,244.0","148,896.0","156,920.0","158,680.0","158,096.0","160,988.0","163,600.0","170,448.0","175,244.0","175,552.0","175,436.0","180,352.0","188,396.0","190,328.0","193,488.0","204,464.0","209,568.0","211,576.0","213,708.0","226,072.0","220,904.0","228,252.0","225,072.0","236,240.0","239,984.0","239,944.0","244,516.0","249,416.0","247,052.0","251,148.0","256,388.0","272,060.0","267,208.0","269,436.0","259,776.0","266,984.0","271,400.0","276,204.0","279,592.0","294,424.0","297,808.0","297,704.0","303,904.0","313,276.0","321,656.0","323,208.0","331,864.0","342,912.0","354,392.0","353,576.0","356,852.0","358,060.0","353,804.0"
"37","18","    Gross investment","A798RC1","3,668.0","3,688.0","3,596.0","3,524.0","3,532.0","3,748.0","3,804.0","3,936.0","3,940.0","4,136.0","4,388.0","4,300.0","4,484.0","4,612.0","4,524.0","4,508.0","4,920.0","4,828.0","4,860.0","4,968.0","4,840.0","5,812.0","5,440.0","6,124.0","6,476.0","6,276.0","6,368.0","6,804.0","6,948.0","7,368.0","7,344.0","7,376.0","7,364.0","7,780.0","8,476.0","8,296.0","8,860.0","9,564.0","10,524.0","10,196.0","9,896.0","10,112.0","10,864.0","10,104.0","11,500.0","11,868.0","12,380.0","12,220.0","12,808.0","12,832.0","13,104.0","13,228.0","12,704.0","12,936.0","12,632.0","12,692.0","14,396.0","14,248.0","14,928.0","14,544.0","15,308.0","15,796.0","15,596.0","16,040.0","16,836.0","16,252.0","17,360.0","17,200.0","17,520.0","17,088.0","17,116.0","18,256.0","18,440.0","19,720.0","19,564.0","19,944.0","18,272.0","18,392.0","18,868.0","18,740.0","19,324.0","20,320.0","20,480.0","20,936.0","22,936.0","22,956.0","22,520.0","21,980.0","23,072.0","24,596.0","24,924.0","26,752.0","27,148.0","26,620.0","26,664.0","28,404.0","29,488.0","28,676.0","28,108.0","26,796.0","24,664.0","23,828.0","24,736.0","26,408.0","27,360.0","26,324.0","26,908.0","26,640.0","28,744.0","29,332.0","29,328.0","27,792.0","28,568.0","28,676.0","28,724.0","26,428.0","30,500.0","31,228.0","30,628.0","30,308.0","31,548.0","33,292.0","32,900.0","36,052.0","31,420.0","31,032.0","31,096.0","29,892.0","30,264.0","30,628.0","30,384.0","31,100.0","33,004.0","32,892.0","33,376.0","33,144.0","32,740.0","33,992.0","33,900.0","33,224.0","32,960.0","34,260.0","33,792.0","33,736.0","34,064.0","34,096.0","36,840.0","40,008.0","40,912.0","38,984.0","39,444.0","39,520.0","39,424.0","40,324.0","41,172.0","41,068.0","42,284.0","43,456.0","44,444.0","45,140.0","44,396.0","44,024.0","45,408.0","47,352.0","48,728.0","52,096.0","52,576.0","53,452.0","52,824.0","52,688.0"
"38","19","      Structures","A830RC1","1,920.0","1,916.0","1,896.0","1,824.0","1,848.0","2,024.0","2,124.0","2,232.0","2,288.0","2,412.0","2,600.0","2,536.0","2,708.0","2,744.0","2,692.0","2,696.0","3,120.0","2,956.0","3,144.0","3,208.0","3,028.0","3,520.0","3,268.0","3,784.0","4,016.0","3,964.0","4,028.0","4,284.0","4,392.0","4,724.0","4,612.0","4,608.0","4,540.0","4,852.0","5,412.0","5,188.0","5,404.0","5,984.0","6,776.0","6,380.0","5,940.0","6,132.0","6,596.0","6,344.0","6,856.0","7,016.0","7,196.0","7,228.0","7,824.0","7,696.0","7,620.0","7,764.0","7,136.0","6,812.0","6,684.0","6,504.0","6,584.0","6,620.0","7,152.0","6,580.0","6,784.0","7,256.0","6,900.0","7,196.0","7,040.0","7,068.0","7,832.0","7,436.0","8,148.0","7,956.0","7,856.0","8,060.0","8,732.0","9,356.0","9,252.0","8,784.0","6,948.0","6,824.0","7,168.0","6,452.0","6,388.0","6,652.0","7,012.0","7,480.0","8,168.0","8,124.0","8,108.0","7,568.0","7,736.0","9,060.0","9,088.0","10,788.0","10,308.0","10,192.0","9,660.0","11,008.0","11,536.0","10,904.0","11,312.0","11,212.0","9,896.0","9,412.0","9,740.0","11,800.0","11,320.0","10,684.0","10,996.0","10,184.0","11,300.0","12,052.0","11,552.0","10,120.0","10,392.0","10,120.0","10,620.0","8,504.0","10,760.0","10,560.0","11,092.0","10,632.0","10,964.0","10,576.0","10,500.0","10,864.0","9,204.0","8,556.0","8,072.0","7,276.0","7,636.0","7,748.0","8,320.0","8,860.0","9,748.0","9,772.0","9,960.0","10,304.0","10,200.0","10,600.0","10,572.0","9,908.0","9,532.0","9,784.0","9,264.0","7,680.0","7,824.0","7,300.0","8,320.0","9,624.0","8,636.0","9,248.0","9,292.0","10,844.0","10,444.0","10,916.0","11,692.0","11,324.0","10,492.0","10,896.0","11,684.0","12,476.0","12,128.0","11,548.0","12,472.0","13,552.0","14,176.0","17,036.0","16,744.0","17,128.0","16,436.0","16,132.0"
"39","20","      Equipment and software","B880RC1","1,748.0","1,772.0","1,700.0","1,700.0","1,684.0","1,724.0","1,680.0","1,704.0","1,652.0","1,724.0","1,788.0","1,764.0","1,776.0","1,868.0","1,832.0","1,812.0","1,800.0","1,872.0","1,716.0","1,760.0","1,812.0","2,292.0","2,172.0","2,340.0","2,460.0","2,312.0","2,340.0","2,520.0","2,556.0","2,644.0","2,732.0","2,768.0","2,824.0","2,928.0","3,064.0","3,108.0","3,456.0","3,580.0","3,748.0","3,816.0","3,956.0","3,980.0","4,268.0","3,760.0","4,644.0","4,852.0","5,184.0","4,992.0","4,984.0","5,136.0","5,484.0","5,464.0","5,568.0","6,124.0","5,948.0","6,188.0","7,812.0","7,628.0","7,776.0","7,964.0","8,524.0","8,540.0","8,696.0","8,844.0","9,796.0","9,184.0","9,528.0","9,764.0","9,372.0","9,132.0","9,260.0","10,196.0","9,708.0","10,364.0","10,312.0","11,160.0","11,324.0","11,568.0","11,700.0","12,288.0","12,936.0","13,668.0","13,468.0","13,456.0","14,768.0","14,832.0","14,412.0","14,412.0","15,336.0","15,536.0","15,836.0","15,964.0","16,840.0","16,428.0","17,004.0","17,396.0","17,952.0","17,772.0","16,796.0","15,584.0","14,768.0","14,416.0","14,996.0","14,608.0","16,040.0","15,640.0","15,912.0","16,456.0","17,444.0","17,280.0","17,776.0","17,672.0","18,176.0","18,556.0","18,104.0","17,924.0","19,740.0","20,668.0","19,536.0","19,676.0","20,584.0","22,716.0","22,400.0","25,188.0","22,216.0","22,476.0","23,024.0","22,616.0","22,628.0","22,880.0","22,064.0","22,240.0","23,256.0","23,120.0","23,416.0","22,840.0","22,540.0","23,392.0","23,328.0","23,316.0","23,428.0","24,476.0","24,528.0","26,056.0","26,240.0","26,796.0","28,520.0","30,384.0","32,276.0","29,736.0","30,152.0","28,676.0","28,980.0","29,408.0","29,480.0","29,744.0","31,792.0","32,560.0","32,760.0","32,664.0","32,268.0","32,476.0","32,936.0","33,800.0","34,552.0","35,060.0","35,832.0","36,324.0","36,388.0","36,556.0"
"40","21","State and local","A829RC1","104,405.0","107,398.0","109,504.0","111,295.0","114,872.0","117,958.0","122,744.0","125,563.0","128,730.0","131,803.0","133,844.0","136,756.0","139,939.0","141,281.0","144,765.0","149,178.0","153,350.0","156,765.0","160,796.0","165,911.0","172,827.0","180,951.0","187,117.0","192,600.0","202,226.0","204,929.0","210,651.0","216,927.0","222,760.0","222,307.0","222,973.0","225,150.0","231,544.0","237,021.0","240,791.0","245,276.0","248,978.0","260,557.0","267,448.0","273,619.0","275,538.0","284,615.0","295,490.0","305,046.0","315,115.0","319,795.0","323,958.0","330,747.0","343,593.0","343,779.0","346,999.0","354,826.0","359,861.0","366,764.0","372,371.0","379,732.0","383,850.0","387,006.0","393,975.0","397,285.0","408,045.0","417,447.0","428,365.0","436,723.0","447,591.0","460,749.0","473,190.0","483,031.0","497,464.0","506,175.0","515,529.0","524,399.0","530,850.0","535,985.0","541,976.0","550,610.0","561,765.0","574,047.0","580,790.0","592,703.0","601,400.0","613,582.0","623,164.0","638,494.0","657,847.0","665,401.0","678,038.0","695,601.0","698,892.0","704,532.0","713,178.0","721,515.0","733,113.0","738,375.0","743,051.0","747,663.0","755,841.0","767,407.0","774,183.0","781,855.0","790,988.0","803,728.0","820,230.0","829,900.0","841,541.0","854,558.0","858,700.0","866,212.0","872,793.0","886,161.0","898,948.0","917,979.0","933,747.0","938,969.0","945,559.0","955,625.0","963,064.0","983,929.0","1,008,565.0","1,024,571.0","1,044,566.0","1,064,485.0","1,085,735.0","1,110,590.0","1,133,203.0","1,143,730.0","1,160,599.0","1,181,965.0","1,206,738.0","1,238,184.0","1,234,246.0","1,259,757.0","1,278,876.0","1,294,073.0","1,310,608.0","1,327,266.0","1,348,395.0","1,347,836.0","1,362,336.0","1,365,718.0","1,379,410.0","1,399,172.0","1,415,313.0","1,438,806.0","1,454,563.0","1,477,338.0","1,506,020.0","1,536,409.0","1,546,054.0","1,580,244.0","1,601,153.0","1,619,371.0","1,660,349.0","1,687,270.0","1,706,373.0","1,737,616.0","1,769,291.0","1,803,689.0","1,829,221.0","1,789,936.0","1,770,110.0","1,779,713.0","1,777,342.0","1,772,116.0","1,772,567.0","1,780,108.0","1,781,206.0","1,785,962.0","1,794,440.0","1,801,192.0"
"41","22","  Consumption expenditures","A991RC1","75,858.0","78,443.0","81,155.0","83,939.0","87,263.0","90,031.0","93,046.0","95,801.0","99,006.0","101,620.0","104,170.0","106,081.0","109,149.0","111,606.0","114,600.0","117,246.0","120,668.0","124,197.0","127,706.0","131,383.0","135,977.0","140,925.0","146,275.0","151,771.0","157,796.0","163,546.0","167,895.0","171,142.0","174,500.0","177,762.0","180,946.0","184,626.0","189,157.0","193,300.0","198,177.0","202,849.0","207,202.0","210,689.0","215,189.0","219,603.0","225,507.0","229,166.0","236,322.0","242,360.0","249,303.0","255,762.0","261,623.0","267,043.0","274,448.0","279,924.0","284,931.0","290,068.0","296,627.0","302,624.0","307,384.0","312,784.0","318,367.0","322,108.0","326,044.0","329,802.0","337,238.0","343,941.0","351,296.0","358,204.0","367,274.0","376,016.0","386,824.0","396,910.0","406,710.0","413,428.0","420,744.0","431,441.0","434,342.0","439,129.0","442,794.0","449,359.0","459,630.0","467,474.0","474,305.0","482,681.0","491,335.0","500,186.0","507,711.0","518,579.0","531,908.0","540,344.0","551,613.0","564,077.0","569,004.0","573,925.0","580,352.0","586,626.0","593,665.0","602,655.0","611,229.0","617,293.0","625,266.0","631,058.0","637,121.0","643,157.0","654,557.0","663,304.0","673,407.0","681,400.0","690,605.0","699,237.0","704,728.0","710,569.0","717,933.0","726,641.0","733,337.0","742,858.0","751,556.0","758,156.0","767,833.0","780,615.0","789,593.0","801,550.0","815,025.0","828,226.0","843,980.0","862,341.0","880,238.0","895,874.0","910,185.0","922,648.0","936,181.0","953,451.0","972,838.0","989,174.0","1,002,629.0","1,012,277.0","1,026,073.0","1,043,011.0","1,057,262.0","1,071,181.0","1,091,522.0","1,092,535.0","1,098,419.0","1,103,550.0","1,116,781.0","1,129,136.0","1,144,043.0","1,166,310.0","1,181,976.0","1,198,394.0","1,222,915.0","1,244,832.0","1,254,453.0","1,274,649.0","1,292,668.0","1,307,583.0","1,337,783.0","1,360,557.0","1,376,178.0","1,400,959.0","1,428,414.0","1,455,080.0","1,475,595.0","1,437,826.0","1,417,123.0","1,424,583.0","1,427,631.0","1,432,713.0","1,443,082.0","1,441,777.0","1,438,915.0","1,450,097.0","1,471,663.0","1,483,051.0"
"42","23","  Gross investment","A799RC1","28,547.0","28,955.0","28,349.0","27,356.0","27,609.0","27,927.0","29,698.0","29,762.0","29,724.0","30,183.0","29,674.0","30,675.0","30,790.0","29,675.0","30,165.0","31,932.0","32,682.0","32,568.0","33,090.0","34,528.0","36,850.0","40,026.0","40,842.0","40,829.0","44,430.0","41,383.0","42,756.0","45,785.0","48,260.0","44,545.0","42,027.0","40,524.0","42,387.0","43,721.0","42,614.0","42,427.0","41,776.0","49,868.0","52,259.0","54,016.0","50,031.0","55,449.0","59,168.0","62,686.0","65,812.0","64,033.0","62,335.0","63,704.0","69,145.0","63,855.0","62,068.0","64,758.0","63,234.0","64,140.0","64,987.0","66,948.0","65,483.0","64,898.0","67,931.0","67,483.0","70,807.0","73,506.0","77,069.0","78,519.0","80,317.0","84,733.0","86,366.0","86,121.0","90,754.0","92,747.0","94,785.0","92,958.0","96,508.0","96,856.0","99,182.0","101,251.0","102,135.0","106,573.0","106,485.0","110,022.0","110,065.0","113,396.0","115,453.0","119,915.0","125,939.0","125,057.0","126,425.0","131,524.0","129,888.0","130,607.0","132,826.0","134,889.0","139,448.0","135,720.0","131,822.0","130,370.0","130,575.0","136,349.0","137,061.0","138,698.0","136,431.0","140,425.0","146,823.0","148,500.0","150,936.0","155,322.0","153,972.0","155,643.0","154,860.0","159,520.0","165,611.0","175,121.0","182,190.0","180,813.0","177,725.0","175,010.0","173,471.0","182,379.0","193,540.0","196,345.0","200,586.0","202,144.0","205,497.0","214,716.0","223,017.0","221,082.0","224,418.0","228,513.0","233,900.0","249,011.0","231,617.0","247,479.0","252,803.0","251,062.0","253,347.0","256,085.0","256,873.0","255,301.0","263,917.0","262,168.0","262,629.0","270,035.0","271,270.0","272,496.0","272,587.0","278,943.0","283,105.0","291,577.0","291,601.0","305,595.0","308,485.0","311,788.0","322,566.0","326,713.0","330,195.0","336,657.0","340,876.0","348,608.0","353,626.0","352,110.0","352,987.0","355,131.0","349,711.0","339,403.0","329,485.0","338,331.0","342,291.0","335,865.0","322,777.0","318,142.0"
"43","24","    Structures","A842RC1","25,927.0","26,267.0","25,591.0","24,531.0","24,684.0","25,018.0","26,713.0","26,741.0","26,692.0","27,120.0","26,549.0","27,451.0","27,410.0","26,197.0","26,571.0","28,246.0","28,859.0","28,593.0","28,936.0","30,160.0","32,255.0","35,222.0","35,839.0","35,644.0","39,110.0","35,963.0","37,256.0","40,215.0","42,676.0","38,880.0","36,299.0","34,737.0","36,641.0","37,915.0","36,708.0","36,380.0","35,516.0","43,368.0","45,493.0","47,007.0","42,664.0","47,768.0","51,246.0","54,482.0","57,267.0","55,195.0","53,264.0","54,506.0","59,873.0","54,418.0","52,498.0","54,895.0","53,083.0","53,706.0","54,252.0","55,939.0","53,983.0","52,958.0","55,448.0","54,499.0","57,229.0","59,381.0","62,323.0","63,211.0","64,286.0","68,108.0","69,296.0","68,522.0","72,734.0","74,257.0","76,045.0","73,792.0","77,269.0","77,363.0","79,424.0","81,228.0","81,804.0","85,573.0","84,609.0","87,186.0","85,849.0","87,930.0","88,853.0","92,276.0","97,722.0","96,472.0","97,575.0","102,387.0","100,990.0","101,865.0","104,116.0","105,749.0","109,966.0","105,720.0","101,500.0","99,742.0","99,915.0","105,551.0","105,609.0","106,873.0","103,207.0","106,378.0","112,048.0","113,207.0","114,975.0","118,623.0","117,076.0","118,350.0","117,938.0","122,746.0","128,707.0","137,961.0","144,032.0","141,863.0","137,836.0","134,388.0","131,881.0","139,851.0","150,293.0","152,223.0","155,659.0","156,164.0","158,961.0","167,928.0","175,727.0","172,862.0","175,842.0","179,470.0","184,904.0","200,457.0","183,704.0","200,228.0","204,898.0","203,465.0","205,786.0","209,227.0","209,553.0","208,089.0","215,808.0","213,554.0","214,388.0","221,577.0","222,265.0","222,726.0","222,901.0","228,455.0","231,913.0","239,763.0","238,427.0","251,303.0","253,587.0","256,331.0","264,062.0","266,646.0","268,665.0","274,045.0","277,104.0","284,265.0","289,080.0","289,388.0","289,423.0","290,659.0","284,923.0","272,976.0","263,668.0","272,776.0","276,564.0","270,048.0","256,816.0","250,635.0"
"44","25","    Equipment and software","B881RC1","2,620.0","2,688.0","2,758.0","2,825.0","2,925.0","2,909.0","2,985.0","3,021.0","3,032.0","3,063.0","3,125.0","3,224.0","3,380.0","3,478.0","3,594.0","3,686.0","3,823.0","3,975.0","4,154.0","4,368.0","4,595.0","4,804.0","5,003.0","5,185.0","5,320.0","5,420.0","5,500.0","5,570.0","5,584.0","5,665.0","5,728.0","5,787.0","5,746.0","5,806.0","5,906.0","6,047.0","6,260.0","6,500.0","6,766.0","7,009.0","7,367.0","7,681.0","7,922.0","8,204.0","8,545.0","8,838.0","9,071.0","9,198.0","9,272.0","9,437.0","9,570.0","9,863.0","10,151.0","10,434.0","10,735.0","11,009.0","11,500.0","11,940.0","12,483.0","12,984.0","13,578.0","14,125.0","14,746.0","15,308.0","16,031.0","16,625.0","17,070.0","17,599.0","18,020.0","18,490.0","18,740.0","19,166.0","19,239.0","19,493.0","19,758.0","20,023.0","20,331.0","21,000.0","21,876.0","22,836.0","24,216.0","25,466.0","26,600.0","27,639.0","28,217.0","28,585.0","28,850.0","29,137.0","28,898.0","28,742.0","28,710.0","29,140.0","29,482.0","30,000.0","30,322.0","30,628.0","30,660.0","30,798.0","31,452.0","31,825.0","33,224.0","34,047.0","34,775.0","35,293.0","35,961.0","36,699.0","36,896.0","37,293.0","36,922.0","36,774.0","36,904.0","37,160.0","38,158.0","38,950.0","39,889.0","40,622.0","41,590.0","42,528.0","43,248.0","44,122.0","44,927.0","45,980.0","46,536.0","46,788.0","47,290.0","48,220.0","48,577.0","49,044.0","48,996.0","48,554.0","47,913.0","47,252.0","47,905.0","47,597.0","47,561.0","46,858.0","47,320.0","47,212.0","48,108.0","48,615.0","48,241.0","48,458.0","49,005.0","49,770.0","49,686.0","50,488.0","51,192.0","51,814.0","53,174.0","54,292.0","54,898.0","55,457.0","58,504.0","60,068.0","61,530.0","62,612.0","63,773.0","64,344.0","64,547.0","62,722.0","63,564.0","64,472.0","64,788.0","66,426.0","65,817.0","65,555.0","65,726.0","65,817.0","65,961.0","67,507.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
