"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"120","102","Health","G161051","10,140.0","12,013.0","14,058.0","15,894.0","18,032.0","21,175.0","25,074.0","26,913.0","29,818.0","32,674.0","35,770.0","40,796.0","45,999.0","49,288.0","52,602.0","56,491.0","61,592.0","66,697.0","72,635.0","80,064.0","89,608.0","105,213.0","129,412.0","147,822.0","159,635.0","169,720.0","179,127.0","187,531.0","190,379.0","197,668.0","216,774.0","233,265.0","262,160.0","291,379.0","308,955.0","337,071.0","362,193.0","358,783.0","393,036.0"
"121","103","Recreation and culture","G161061","1,253.0","1,386.0","1,544.0","1,705.0","1,926.0","2,224.0","2,555.0","2,725.0","2,973.0","3,451.0","3,816.0","4,167.0","4,546.0","5,022.0","5,446.0","5,862.0","6,618.0","7,132.0","7,368.0","7,877.0","8,681.0","9,507.0","10,184.0","10,731.0","10,970.0","11,776.0","12,384.0","12,800.0","13,405.0","14,158.0","15,234.0","16,442.0","17,951.0","19,487.0","20,024.0","20,692.0","22,257.0","24,153.0","25,856.0"
"122","104","Education","G161071","41,228.0","47,592.0","53,573.0","59,049.0","65,002.0","72,568.0","83,558.0","92,188.0","99,994.0","107,551.0","118,272.0","129,519.0","140,682.0","151,005.0","159,672.0","172,725.0","187,633.0","202,986.0","216,955.0","231,494.0","248,748.0","269,481.0","283,240.0","294,264.0","309,992.0","326,741.0","345,622.0","361,335.0","378,637.0","398,689.0","423,749.0","455,575.0","487,051.0","504,930.0","536,386.0","561,875.0","592,302.0","628,442.0","670,787.0"
"123","105","  Elementary and secondary","G161081","32,378.0","37,107.0","41,440.0","45,560.0","50,132.0","55,289.0","62,904.0","69,194.0","74,950.0","80,537.0","88,676.0","96,813.0","104,456.0","111,986.0","119,341.0","129,886.0","140,432.0","152,570.0","164,331.0","175,107.0","187,935.0","203,681.0","215,317.0","225,619.0","236,047.0","247,466.0","262,550.0","275,725.0","290,235.0","305,278.0","325,263.0","348,672.0","369,288.0","388,283.0","417,169.0","435,662.0","458,082.0","486,110.0","516,651.0"
"124","106","  Higher","G161091","6,413.0","7,599.0","8,733.0","9,681.0","10,762.0","12,571.0","15,175.0","17,022.0","18,628.0","20,058.0","22,129.0","24,619.0","27,551.0","29,872.0","31,000.0","32,841.0","36,069.0","38,370.0","39,802.0","42,763.0","45,926.0","49,587.0","51,022.0","51,008.0","55,123.0","58,820.0","60,690.0","62,258.0","64,425.0","67,927.0","71,169.0","77,020.0","85,126.0","82,399.0","82,677.0","86,973.0","92,124.0","97,110.0","106,088.0"
"125","107","  Libraries and other","W694RC1","2,437.0","2,886.0","3,399.0","3,808.0","4,108.0","4,708.0","5,480.0","5,973.0","6,416.0","6,956.0","7,467.0","8,087.0","8,675.0","9,148.0","9,331.0","9,998.0","11,131.0","12,045.0","12,822.0","13,624.0","14,887.0","16,213.0","16,901.0","17,637.0","18,822.0","20,455.0","22,382.0","23,352.0","23,977.0","25,484.0","27,317.0","29,883.0","32,637.0","34,248.0","36,540.0","39,240.0","42,096.0","45,222.0","48,048.0"
"126","108","    Libraries","G161101","557.0","627.0","688.0","756.0","835.0","935.0","1,055.0","1,133.0","1,212.0","1,357.0","1,488.0","1,638.0","1,803.0","2,005.0","2,134.0","2,335.0","2,599.0","2,829.0","3,014.0","3,248.0","3,482.0","3,758.0","4,028.0","4,210.0","4,296.0","4,562.0","4,816.0","5,130.0","5,464.0","5,723.0","6,107.0","6,525.0","6,953.0","7,293.0","7,704.0","8,163.0","8,706.0","9,153.0","9,813.0"
"127","109","    Other","G161111","1,880.0","2,259.0","2,711.0","3,052.0","3,272.0","3,773.0","4,424.0","4,840.0","5,204.0","5,599.0","5,978.0","6,448.0","6,872.0","7,143.0","7,197.0","7,663.0","8,532.0","9,216.0","9,808.0","10,376.0","11,405.0","12,455.0","12,873.0","13,427.0","14,526.0","15,893.0","17,566.0","18,222.0","18,513.0","19,761.0","21,210.0","23,358.0","25,684.0","26,955.0","28,836.0","31,077.0","33,390.0","36,069.0","38,235.0"
"128","110","Income security","G161121","10,281.0","12,632.0","14,976.0","16,648.0","17,969.0","17,756.0","20,705.0","22,914.0","25,009.0","26,380.0","28,460.0","32,884.0","35,723.0","37,637.0","41,298.0","43,959.0","47,146.0","50,564.0","53,397.0","57,237.0","61,476.0","68,749.0","75,780.0","81,424.0","84,738.0","88,689.0","90,189.0","89,099.0","90,160.0","93,975.0","99,642.0","105,995.0","113,862.0","121,944.0","126,908.0","129,744.0","134,788.0","136,664.0","141,538.0"
"129","111","  Disability","G161131","983.0","1,044.0","1,100.0","1,232.0","1,386.0","1,526.0","1,652.0","1,896.0","2,164.0","2,421.0","2,802.0","3,103.0","3,544.0","4,074.0","4,428.0","4,898.0","5,408.0","6,022.0","7,047.0","7,970.0","8,840.0","10,395.0","11,892.0","13,033.0","13,115.0","13,006.0","13,048.0","13,340.0","13,341.0","13,205.0","13,409.0","14,106.0","15,684.0","18,297.0","20,485.0","21,339.0","21,778.0","21,942.0","22,030.0"
"130","112","  Welfare and social services","G161141","9,299.0","11,588.0","13,876.0","15,416.0","16,584.0","16,230.0","19,054.0","21,018.0","22,845.0","23,959.0","25,657.0","29,780.0","32,179.0","33,563.0","36,870.0","39,061.0","41,738.0","44,542.0","46,350.0","49,267.0","52,636.0","58,354.0","63,888.0","68,391.0","71,623.0","75,683.0","77,141.0","75,759.0","76,819.0","80,770.0","86,233.0","91,889.0","98,178.0","103,647.0","106,423.0","108,405.0","113,010.0","114,722.0","119,508.0"
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1. Equals federal government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Prior to 1960, federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","payments, which is shown net of federal interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","3. Equals unallocable state and local government expenditures, less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","shown in table 3.1; includes federal government revenue sharing grants to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","6. Consists primarily of federal government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","with 1972 and ending with 1987, less ""wage accruals less disbusements"" shown in table 3.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","7. Equals unallocable state and local government expenditures less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","shown in table 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","8. Consists of current expenditures for sanitation.  Beginning with 2007, includes housing subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","related to Hurricanes Katrina and Rita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
