"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"33","14","    Personal interest income","A064RC1","56,552.0","58,905.0","61,057.0","63,072.0","65,135.0","67,668.0","71,148.0","72,847.0","74,431.0","75,393.0","76,535.0","77,419.0","79,083.0","81,141.0","83,978.0","86,893.0","88,861.0","91,867.0","97,249.0","101,153.0","105,197.0","110,678.0","115,597.0","121,265.0","126,149.0","127,210.0","130,317.0","133,329.0","134,310.0","138,273.0","140,940.0","144,385.0","147,607.0","157,116.0","164,886.0","172,725.0","176,731.0","181,194.0","185,703.0","192,567.0","201,704.0","210,108.0","219,763.0","237,639.0","262,328.0","270,395.0","271,420.0","294,602.0","309,619.0","333,022.0","369,694.0","380,860.0","397,196.0","415,344.0","415,278.0","415,341.0","425,566.0","432,483.0","455,135.0","472,017.0","481,226.0","505,266.0","536,158.0","546,301.0","550,780.0","556,859.0","549,433.0","566,144.0","584,585.0","590,130.0","590,324.0","588,601.0","589,650.0","593,577.0","607,700.0","623,669.0","623,754.0","624,156.0","640,338.0","660,932.0","699,061.0","716,308.0","724,152.0","728,463.0","738,353.0","749,619.0","757,940.0","761,876.0","752,042.0","751,167.0","748,516.0","741,211.0","731,465.0","726,325.0","717,530.0","713,316.0","713,815.0","704,749.0","690,790.0","683,078.0","684,679.0","699,453.0","722,675.0","743,986.0","748,892.0","750,255.0","751,625.0","756,900.0","762,020.0","775,871.0","791,015.0","808,575.0","816,138.0","826,702.0","840,517.0","859,723.0","895,506.0","923,316.0","934,619.0","923,943.0","895,749.0","906,691.0","911,603.0","929,517.0","969,125.0","984,988.0","992,861.0","989,702.0","987,376.0","985,051.0","973,619.0","959,846.0","931,295.0","917,875.0","901,260.0","897,022.0","898,189.0","898,055.0","885,707.0","877,168.0","855,577.0","850,321.0","857,968.0","876,966.0","927,772.0","970,577.0","1,003,104.0","1,046,491.0","1,067,199.0","1,128,735.0","1,156,840.0","1,157,150.0","1,205,385.0","1,248,539.0","1,291,599.0","1,315,041.0","1,372,018.0","1,402,652.0","1,420,025.0","1,333,291.0","1,194,939.0","1,129,651.0","1,073,055.0","1,037,980.0","1,026,101.0","1,014,120.0","983,919.0","989,559.0","1,004,743.0","1,017,211.0"
"34","15","    Personal dividend income","B703RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,372.0","29,280.0","30,376.0","31,492.0","32,516.0","33,276.0","33,536.0","33,420.0","32,896.0","32,644.0","32,812.0","33,336.0","36,120.0","38,068.0","39,880.0","41,816.0","42,632.0","43,896.0","45,584.0","46,780.0","48,216.0","49,392.0","51,708.0","53,596.0","55,348.0","56,860.0","57,956.0","59,584.0","61,692.0","64,188.0","64,564.0","65,448.0","68,572.0","72,564.0","75,772.0","77,612.0","77,544.0","76,368.0","76,980.0","79,348.0","80,876.0","81,924.0","84,164.0","86,188.0","88,424.0","90,688.0","90,892.0","92,568.0","95,260.0","96,848.0","98,160.0","99,316.0","103,092.0","106,220.0","107,340.0","107,468.0","108,692.0","109,688.0","113,152.0","117,068.0","121,548.0","126,244.0","132,624.0","138,556.0","147,856.0","155,536.0","160,880.0","166,916.0","169,900.0","169,656.0","169,752.0","165,988.0","175,216.0","180,176.0","182,968.0","183,000.0","184,058.0","186,481.0","188,773.0","190,936.0","193,340.0","197,755.0","204,551.0","213,730.0","224,529.0","233,328.0","239,367.0","242,644.0","244,078.0","248,029.0","255,417.0","266,240.0","279,709.0","292,077.0","302,553.0","311,137.0","318,196.0","325,467.0","333,315.0","341,742.0","349,855.0","353,440.0","351,612.0","344,369.0","333,766.0","329,557.0","333,796.0","346,482.0","365,158.0","378,153.0","383,008.0","379,725.0","370,467.0","365,510.0","367,017.0","374,990.0","387,775.0","397,522.0","402,578.0","402,944.0","401,009.0","408,124.0","426,678.0","456,673.0","494,447.0","522,617.0","537,523.0","638,548.0","531,908.0","536,500.0","557,308.0","594,332.0","643,892.0","688,509.0","724,502.0","751,872.0","753,812.0","801,822.0","807,093.0","804,799.0","832,943.0","800,444.0","777,466.0","722,750.0","656,586.0","577,804.0","562,642.0","597,983.0","667,224.0","710,424.0","739,443.0","753,898.0","772,451.0","786,357.0"
"35","16","  Personal current transfer receipts","A577RC1","60,444.0","61,536.0","62,896.0","64,340.0","66,104.0","76,080.0","76,348.0","80,120.0","82,024.0","89,584.0","89,568.0","91,256.0","94,348.0","94,896.0","96,040.0","106,396.0","109,056.0","111,452.0","113,296.0","116,468.0","121,876.0","129,888.0","137,120.0","144,292.0","155,904.0","171,544.0","174,824.0","177,640.0","181,404.0","179,668.0","186,368.0","188,456.0","190,604.0","191,060.0","196,204.0","198,980.0","203,092.0","204,876.0","213,640.0","216,944.0","222,476.0","227,140.0","242,744.0","248,888.0","258,748.0","263,896.0","295,908.0","299,332.0","305,860.0","309,320.0","327,856.0","330,440.0","335,664.0","344,896.0","361,512.0","377,256.0","380,180.0","386,356.0","381,936.0","386,492.0","393,388.0","397,760.0","400,496.0","408,884.0","419,568.0","422,148.0","427,464.0","430,412.0","442,648.0","448,485.0","455,488.0","457,244.0","462,606.0","467,564.0","468,649.0","471,628.0","488,928.0","492,526.0","498,610.0","505,771.0","529,807.0","537,163.0","546,237.0","557,200.0","577,532.0","588,503.0","598,044.0","615,549.0","639,362.0","659,124.0","668,502.0","696,478.0","724,729.0","743,320.0","755,327.0","759,688.0","779,400.0","783,821.0","797,727.0","802,120.0","815,576.0","820,288.0","824,309.0","845,405.0","869,445.0","878,953.0","885,880.0","881,509.0","910,910.0","931,258.0","926,658.0","927,479.0","944,560.0","944,327.0","950,505.0","957,393.0","968,692.0","975,075.0","978,514.0","989,387.0","1,009,962.0","1,013,246.0","1,026,335.0","1,036,795.0","1,052,429.0","1,079,426.0","1,093,717.0","1,106,478.0","1,149,972.0","1,182,604.0","1,188,161.0","1,231,687.0","1,257,681.0","1,280,383.0","1,288,632.0","1,301,876.0","1,318,124.0","1,333,694.0","1,355,593.0","1,359,585.0","1,392,457.0","1,411,031.0","1,418,500.0","1,440,080.0","1,481,323.0","1,506,419.0","1,516,743.0","1,529,829.0","1,569,014.0","1,597,879.0","1,620,716.0","1,632,402.0","1,701,627.0","1,698,577.0","1,719,784.0","1,753,846.0","1,798,920.0","1,936,087.0","1,872,190.0","1,909,742.0","2,029,755.0","2,167,672.0","2,170,067.0","2,184,915.0","2,242,143.0","2,252,097.0","2,289,369.0","2,341,150.0","2,328,065.0","2,347,956.0"
"36","17","    Government social benefits to persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,356.0","172,688.0","179,712.0","182,364.0","185,136.0","186,056.0","191,344.0","193,952.0","197,448.0","198,700.0","206,892.0","209,660.0","214,624.0","218,948.0","234,348.0","240,428.0","250,572.0","255,568.0","287,196.0","290,028.0","295,504.0","298,348.0","316,372.0","318,552.0","323,632.0","332,600.0","349,032.0","364,520.0","367,400.0","373,184.0","367,956.0","371,240.0","375,780.0","378,512.0","379,928.0","387,400.0","397,620.0","400,000.0","405,132.0","407,800.0","419,308.0","425,028.0","432,480.0","435,256.0","441,332.0","447,004.0","448,920.0","452,280.0","469,328.0","472,416.0","477,848.0","483,860.0","506,536.0","514,032.0","523,044.0","534,112.0","554,252.0","565,560.0","576,172.0","594,872.0","620,208.0","641,192.0","651,476.0","680,048.0","708,228.0","726,860.0","739,056.0","743,772.0","764,280.0","769,460.0","784,056.0","789,056.0","802,768.0","807,500.0","811,060.0","831,232.0","853,432.0","861,112.0","866,236.0","860,096.0","888,112.0","907,732.0","903,416.0","905,532.0","924,840.0","925,600.0","931,552.0","937,008.0","945,848.0","949,988.0","951,400.0","960,452.0","978,780.0","980,416.0","991,528.0","999,724.0","1,012,608.0","1,037,964.0","1,050,416.0","1,061,328.0","1,103,280.0","1,134,596.0","1,140,724.0","1,186,752.0","1,216,896.0","1,244,320.0","1,256,856.0","1,273,724.0","1,289,316.0","1,306,848.0","1,330,864.0","1,337,164.0","1,374,868.0","1,394,816.0","1,402,408.0","1,422,208.0","1,457,548.0","1,479,968.0","1,489,412.0","1,504,040.0","1,547,340.0","1,578,032.0","1,600,072.0","1,609,076.0","1,674,918.0","1,669,021.0","1,687,826.0","1,719,920.0","1,762,104.0","1,899,484.0","1,835,496.0","1,872,652.0","1,991,964.0","2,129,440.0","2,131,652.0","2,146,576.0","2,204,140.0","2,214,128.0","2,251,444.0","2,301,892.0","2,288,610.0","2,308,563.0"
"37","18","      Social security \1\","W823RC1","25,956.0","26,280.0","26,548.0","26,744.0","27,088.0","34,148.0","31,952.0","32,332.0","32,820.0","38,700.0","37,216.0","37,732.0","38,284.0","38,748.0","39,284.0","47,476.0","49,096.0","50,332.0","51,216.0","52,016.0","52,464.0","56,916.0","59,804.0","61,244.0","62,000.0","62,888.0","69,012.0","69,680.0","70,960.0","71,416.0","76,996.0","78,632.0","79,228.0","80,364.0","86,256.0","87,108.0","87,776.0","87,912.0","94,276.0","95,556.0","96,528.0","97,848.0","107,624.0","108,324.0","109,348.0","109,988.0","126,932.0","128,076.0","130,716.0","131,096.0","146,284.0","146,480.0","146,772.0","147,528.0","157,636.0","162,896.0","162,144.0","164,008.0","163,980.0","167,572.0","170,936.0","172,680.0","172,444.0","176,048.0","181,540.0","181,976.0","185,252.0","184,332.0","191,100.0","192,104.0","195,880.0","195,440.0","198,912.0","201,652.0","201,436.0","201,980.0","213,484.0","213,536.0","214,156.0","214,488.0","225,904.0","226,768.0","227,804.0","229,044.0","241,024.0","243,792.0","244,712.0","247,012.0","261,292.0","263,620.0","265,076.0","266,828.0","278,568.0","281,744.0","282,848.0","283,944.0","295,568.0","297,064.0","298,552.0","300,556.0","308,800.0","311,776.0","312,956.0","315,112.0","324,784.0","327,504.0","328,632.0","329,780.0","339,100.0","341,412.0","342,632.0","344,876.0","353,920.0","355,872.0","357,524.0","359,052.0","366,632.0","368,208.0","370,704.0","371,184.0","376,964.0","378,944.0","380,800.0","382,748.0","392,512.0","404,664.0","403,872.0","404,524.0","420,812.0","422,668.0","428,384.0","428,472.0","442,872.0","445,488.0","448,080.0","451,196.0","458,144.0","463,080.0","464,764.0","468,136.0","479,684.0","484,800.0","486,184.0","491,380.0","506,484.0","512,872.0","514,044.0","517,512.0","538,036.0","543,664.0","546,108.0","548,576.0","568,268.0","575,020.0","578,220.0","581,084.0","597,324.0","602,856.0","608,876.0","613,112.0","651,840.0","662,420.0","667,924.0","675,700.0","678,608.0","688,276.0","693,896.0","699,928.0","703,108.0","712,216.0"
"38","19","      Medicare \2\","W824RC1","6,428.0","6,632.0","6,800.0","6,920.0","7,020.0","7,164.0","7,324.0","7,508.0","7,760.0","7,960.0","8,148.0","8,328.0","8,480.0","8,692.0","8,940.0","9,232.0","9,544.0","9,960.0","10,452.0","11,020.0","11,700.0","12,368.0","13,060.0","13,776.0","14,492.0","15,244.0","16,008.0","16,788.0","17,584.0","18,384.0","19,196.0","20,016.0","20,864.0","21,688.0","22,512.0","23,340.0","24,164.0","25,044.0","25,980.0","26,984.0","28,004.0","29,208.0","30,536.0","31,996.0","33,632.0","35,300.0","37,036.0","38,836.0","40,688.0","42,556.0","44,436.0","46,316.0","48,220.0","50,056.0","51,844.0","53,588.0","55,168.0","56,904.0","58,668.0","60,448.0","62,452.0","64,088.0","65,564.0","66,888.0","67,868.0","69,072.0","70,316.0","71,624.0","73,004.0","74,468.0","76,004.0","77,600.0","79,648.0","81,068.0","82,280.0","83,344.0","83,436.0","84,956.0","87,048.0","89,716.0","93,824.0","96,872.0","99,712.0","102,292.0","104,284.0","106,524.0","108,744.0","111,000.0","112,924.0","115,684.0","118,876.0","122,464.0","127,232.0","130,972.0","134,468.0","137,712.0","143,376.0","144,736.0","147,452.0","151,576.0","156,904.0","162,164.0","167,056.0","171,568.0","175,688.0","179,556.0","183,160.0","186,476.0","189,596.0","192,912.0","196,524.0","200,440.0","204,364.0","207,084.0","208,280.0","207,940.0","206,416.0","205,332.0","205,016.0","205,468.0","206,596.0","207,936.0","209,404.0","211,008.0","212,960.0","216,112.0","220,688.0","226,708.0","233,848.0","240,360.0","245,840.0","250,272.0","253,816.0","257,316.0","260,944.0","264,680.0","268,680.0","273,488.0","279,268.0","286,012.0","293,544.0","300,944.0","308,876.0","315,272.0","322,468.0","328,388.0","334,904.0","341,936.0","379,504.0","397,936.0","404,552.0","414,780.0","420,804.0","423,500.0","428,904.0","437,016.0","452,404.0","457,296.0","464,076.0","472,760.0","482,528.0","491,676.0","498,400.0","502,704.0","505,552.0","511,456.0","521,384.0","535,332.0","547,772.0","553,888.0"
"39","20","      Medicaid","W729RC1","4,440.0","4,392.0","4,584.0","4,788.0","4,980.0","5,320.0","5,596.0","5,924.0","6,208.0","6,592.0","6,912.0","7,264.0","7,812.0","7,964.0","8,616.0","8,452.0","9,032.0","9,592.0","9,680.0","10,140.0","10,236.0","11,144.0","11,364.0","11,960.0","13,260.0","13,788.0","13,760.0","14,644.0","15,164.0","14,856.0","15,868.0","15,940.0","16,200.0","17,492.0","16,720.0","16,536.0","17,460.0","18,632.0","18,916.0","19,468.0","20,032.0","20,776.0","21,108.0","22,352.0","23,404.0","22,188.0","24,212.0","25,616.0","26,512.0","28,140.0","28,340.0","27,992.0","28,836.0","30,180.0","30,848.0","30,772.0","33,192.0","33,400.0","33,980.0","34,912.0","35,672.0","36,212.0","36,836.0","37,568.0","38,388.0","39,156.0","40,084.0","41,064.0","42,132.0","43,116.0","44,148.0","45,184.0","46,248.0","47,296.0","48,376.0","49,424.0","50,868.0","52,204.0","53,676.0","55,360.0","57,420.0","59,572.0","61,920.0","64,440.0","66,572.0","70,344.0","74,928.0","80,732.0","83,664.0","93,056.0","98,428.0","112,496.0","108,264.0","115,400.0","120,560.0","120,768.0","124,400.0","124,812.0","135,168.0","136,036.0","136,644.0","137,076.0","136,156.0","147,840.0","152,456.0","152,456.0","152,676.0","140,692.0","151,316.0","165,792.0","158,792.0","156,852.0","161,420.0","159,364.0","163,680.0","168,032.0","167,244.0","169,984.0","168,120.0","175,432.0","181,128.0","179,096.0","186,716.0","191,280.0","190,192.0","198,256.0","204,752.0","204,772.0","214,996.0","230,104.0","217,400.0","246,536.0","244,472.0","244,020.0","250,676.0","261,112.0","259,760.0","259,420.0","271,972.0","267,080.0","283,128.0","292,516.0","287,364.0","295,684.0","300,540.0","312,268.0","299,180.0","305,576.0","290,516.0","296,068.0","307,960.0","301,628.0","331,940.0","313,756.0","318,768.0","331,792.0","331,352.0","338,424.0","340,928.0","342,228.0","362,040.0","373,292.0","383,100.0","378,024.0","386,632.0","389,784.0","405,216.0","439,840.0","432,064.0","437,616.0"
"40","21","      Unemployment insurance","W825RC1","2,284.0","2,188.0","2,332.0","2,504.0","2,880.0","3,900.0","4,568.0","5,396.0","5,704.0","6,268.0","6,324.0","6,344.0","6,548.0","6,860.0","5,756.0","4,968.0","4,592.0","4,456.0","4,484.0","4,748.0","5,836.0","6,728.0","6,888.0","8,632.0","14,160.0","19,376.0","20,192.0","18,832.0","17,664.0","16,268.0","16,124.0","15,488.0","15,476.0","13,280.0","11,928.0","11,832.0","10,780.0","9,364.0","9,040.0","8,484.0","9,364.0","9,204.0","9,628.0","10,572.0","11,956.0","15,660.0","18,972.0","17,800.0","16,408.0","15,532.0","14,976.0","16,624.0","19,124.0","23,884.0","26,052.0","31,848.0","30,272.0","32,096.0","23,312.0","19,964.0","17,252.0","15,704.0","15,148.0","15,860.0","16,864.0","15,972.0","15,008.0","15,600.0","15,628.0","16,352.0","16,976.0","16,912.0","15,472.0","15,064.0","14,448.0","13,516.0","13,900.0","13,172.0","13,232.0","13,008.0","13,568.0","13,696.0","14,620.0","15,756.0","16,448.0","17,064.0","18,164.0","20,972.0","24,340.0","27,500.0","25,936.0","29,372.0","39,700.0","41,200.0","39,612.0","37,956.0","35,088.0","35,536.0","35,548.0","33,220.0","27,960.0","24,448.0","22,056.0","21,304.0","20,912.0","21,572.0","21,976.0","22,476.0","23,008.0","22,712.0","21,640.0","21,736.0","20,968.0","20,392.0","19,640.0","19,412.0","19,400.0","19,304.0","20,280.0","19,788.0","20,804.0","20,876.0","20,324.0","20,032.0","20,548.0","19,972.0","20,580.0","21,864.0","25,452.0","28,380.0","33,120.0","40,644.0","42,864.0","60,464.0","57,112.0","53,484.0","51,240.0","54,908.0","54,720.0","51,828.0","43,380.0","35,876.0","33,744.0","32,696.0","33,152.0","31,084.0","30,740.0","32,120.0","30,080.0","29,864.0","30,840.0","30,684.0","31,724.0","30,964.0","33,200.0","35,068.0","36,748.0","37,816.0","57,980.0","71,192.0","101,080.0","127,924.0","144,768.0","148,676.0","152,756.0","137,392.0","135,840.0","128,696.0","117,468.0","108,824.0"
"41","22","      Veterans' benefits","W826RC1","6,292.0","6,580.0","6,672.0","6,904.0","6,924.0","7,272.0","7,644.0","7,988.0","8,228.0","8,288.0","8,476.0","8,624.0","9,680.0","8,572.0","8,812.0","10,432.0","10,080.0","10,032.0","10,252.0","10,604.0","10,808.0","10,784.0","11,820.0","12,912.0","13,892.0","13,532.0","13,892.0","14,484.0","15,292.0","13,736.0","12,844.0","13,188.0","13,896.0","13,352.0","12,888.0","13,260.0","13,764.0","13,376.0","13,368.0","13,880.0","14,192.0","13,936.0","14,120.0","14,364.0","14,460.0","14,376.0","14,532.0","15,272.0","15,596.0","15,576.0","15,708.0","16,248.0","16,256.0","16,136.0","16,208.0","16,560.0","16,648.0","16,356.0","16,392.0","16,384.0","16,248.0","16,228.0","16,392.0","16,232.0","16,704.0","16,636.0","16,488.0","16,376.0","16,868.0","16,712.0","16,476.0","16,300.0","16,576.0","16,528.0","16,356.0","16,392.0","16,928.0","16,688.0","16,724.0","16,600.0","17,436.0","17,176.0","17,152.0","17,092.0","17,904.0","17,628.0","17,560.0","17,656.0","17,956.0","18,536.0","18,136.0","17,896.0","18,732.0","18,764.0","18,468.0","18,516.0","19,392.0","19,492.0","19,192.0","19,152.0","19,652.0","19,568.0","19,756.0","19,836.0","20,620.0","20,496.0","20,580.0","20,476.0","21,420.0","21,656.0","21,272.0","21,352.0","22,388.0","22,204.0","22,196.0","22,436.0","23,332.0","23,212.0","23,164.0","23,356.0","24,208.0","24,112.0","24,100.0","24,136.0","25,068.0","24,936.0","24,908.0","25,104.0","26,048.0","26,320.0","26,420.0","27,600.0","28,764.0","29,304.0","29,816.0","30,288.0","31,360.0","31,764.0","32,124.0","32,080.0","33,488.0","33,752.0","34,276.0","34,668.0","36,116.0","36,268.0","36,464.0","36,632.0","38,424.0","38,756.0","39,024.0","39,300.0","40,580.0","41,704.0","41,873.0","42,544.0","44,144.0","44,720.0","45,408.0","45,756.0","49,624.0","50,508.0","52,056.0","53,756.0","55,752.0","57,292.0","59,008.0","59,360.0","61,336.0","62,824.0"
"42","23","      Other","W827RC1","11,784.0","12,108.0","12,592.0","13,140.0","14,088.0","15,308.0","16,416.0","18,208.0","18,628.0","19,120.0","19,796.0","20,208.0","20,628.0","21,024.0","21,444.0","22,528.0","23,084.0","23,216.0","23,148.0","23,736.0","26,500.0","27,436.0","29,304.0","30,540.0","31,952.0","39,816.0","34,864.0","35,980.0","37,692.0","38,028.0","38,684.0","39,100.0","39,472.0","39,880.0","41,040.0","41,876.0","43,504.0","44,372.0","45,312.0","45,288.0","46,504.0","47,976.0","51,332.0","52,820.0","57,772.0","58,056.0","65,512.0","64,428.0","65,584.0","65,448.0","66,628.0","64,892.0","64,424.0","64,816.0","66,444.0","68,856.0","69,976.0","70,420.0","71,624.0","71,960.0","73,220.0","73,600.0","73,544.0","74,804.0","76,256.0","77,188.0","77,984.0","78,804.0","80,576.0","82,276.0","82,996.0","83,820.0","84,476.0","85,396.0","86,024.0","87,624.0","90,712.0","91,860.0","93,012.0","94,688.0","98,384.0","99,948.0","101,836.0","105,488.0","108,020.0","110,208.0","112,064.0","117,500.0","120,032.0","122,796.0","125,024.0","130,992.0","135,732.0","138,780.0","143,100.0","144,876.0","146,456.0","147,820.0","148,144.0","148,516.0","152,808.0","152,468.0","153,080.0","155,572.0","158,972.0","159,528.0","159,212.0","160,196.0","163,672.0","163,248.0","162,556.0","160,276.0","161,780.0","160,684.0","160,232.0","160,136.0","162,824.0","163,948.0","164,116.0","165,224.0","169,080.0","169,452.0","170,184.0","170,520.0","171,328.0","174,024.0","175,616.0","178,356.0","182,124.0","186,764.0","189,560.0","193,228.0","204,108.0","207,728.0","210,228.0","212,964.0","220,132.0","224,188.0","228,016.0","232,028.0","241,644.0","246,928.0","251,964.0","252,508.0","258,788.0","259,088.0","274,080.0","270,264.0","270,780.0","271,744.0","271,588.0","274,108.0","281,602.0","284,077.0","286,861.0","292,417.0","300,132.0","418,372.0","318,228.0","327,604.0","344,852.0","423,620.0","385,404.0","387,716.0","424,840.0","429,928.0","436,100.0","438,736.0","426,862.0","433,195.0"
"43","24","    Other current transfer receipts, from business (net)","B931RC1","3,260.0","3,356.0","3,368.0","3,340.0","3,124.0","2,968.0","2,848.0","2,764.0","2,676.0","2,656.0","2,696.0","2,756.0","2,916.0","3,036.0","3,188.0","3,308.0","3,628.0","3,864.0","4,064.0","4,204.0","4,332.0","4,512.0","4,880.0","5,228.0","6,148.0","6,900.0","7,096.0","7,232.0","7,048.0","6,980.0","6,656.0","6,092.0","5,468.0","5,004.0","4,860.0","5,028.0","5,644.0","6,176.0","6,748.0","7,284.0","7,852.0","8,192.0","8,396.0","8,460.0","8,176.0","8,328.0","8,712.0","9,304.0","10,356.0","10,972.0","11,484.0","11,888.0","12,032.0","12,296.0","12,480.0","12,736.0","12,780.0","13,172.0","13,980.0","15,252.0","17,608.0","19,248.0","20,568.0","21,484.0","21,948.0","22,148.0","22,332.0","22,612.0","23,340.0","23,457.0","23,008.0","21,988.0","21,274.0","20,560.0","19,729.0","19,348.0","19,600.0","20,110.0","20,762.0","21,911.0","23,271.0","23,131.0","23,193.0","23,088.0","23,280.0","22,943.0","21,872.0","20,677.0","19,154.0","17,932.0","17,026.0","16,430.0","16,501.0","16,460.0","16,271.0","15,916.0","15,120.0","14,361.0","13,671.0","13,064.0","12,808.0","12,788.0","13,249.0","14,173.0","16,013.0","17,841.0","19,644.0","21,413.0","22,798.0","23,526.0","23,242.0","21,947.0","19,720.0","18,727.0","18,953.0","20,385.0","22,844.0","25,087.0","27,114.0","28,935.0","31,182.0","32,830.0","34,807.0","37,071.0","39,821.0","41,462.0","43,301.0","45,150.0","46,692.0","48,008.0","47,437.0","44,935.0","40,785.0","36,063.0","31,776.0","28,152.0","28,808.0","26,846.0","24,729.0","22,421.0","17,589.0","16,215.0","16,092.0","17,872.0","23,775.0","26,451.0","27,331.0","25,789.0","21,674.0","19,847.0","20,644.0","23,326.0","26,709.0","29,556.0","31,958.0","33,926.0","36,816.0","36,603.0","36,694.0","37,090.0","37,791.0","38,232.0","38,415.0","38,339.0","38,003.0","37,969.0","37,925.0","39,258.0","39,455.0","39,393.0"
"44","25","  Less: Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,608.0","227,204.0","232,632.0","250,984.0","255,824.0","259,944.0","263,128.0","275,416.0","278,840.0","282,824.0","288,400.0","297,924.0","300,712.0","305,056.0","310,060.0","316,460.0","320,212.0","324,540.0","331,240.0","352,132.0","359,120.0","364,388.0","370,288.0","379,840.0","382,832.0","386,404.0","391,848.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","746,648.0","752,276.0","752,680.0","754,208.0","766,656.0","774,868.0","781,796.0","792,348.0","812,324.0","821,596.0","833,084.0","842,228.0","861,048.0","865,800.0","879,000.0","885,020.0","915,384.0","917,380.0","920,784.0","933,768.0","953,408.0","954,204.0","958,720.0","971,600.0","989,776.0","986,552.0","988,684.0","984,152.0","966,012.0","966,872.0","962,092.0","961,476.0","976,008.0","985,680.0","991,460.0","994,116.0","911,532.0","923,012.0"
