"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"67","48","    State and local","A925RC1","2,082.0","1,902.0","1,496.0","1,129.0","954.0","1,943.0","1,827.0","3,020.0","2,767.0","2,691.0","2,765.0","2,717.0","2,792.0","2,574.0","2,577.0","2,598.0","2,529.0","2,357.0","1,944.0","2,193.0","2,662.0","2,492.0","4,167.0","4,663.0","5,195.0","4,987.0","5,355.0","6,602.0","6,592.0","5,253.0","6,534.0","7,117.0","7,056.0","8,572.0","9,246.0","10,236.0","10,526.0","12,280.0","12,501.0","12,870.0","13,760.0"
"68","49","  Net domestic investment","W171RC1","9,692.0","4,495.0","142.0","-4,236.0","-3,689.0","-1,440.0","1,759.0","4,834.0","7,114.0","2,206.0","4,731.0","8,447.0","18,112.0","25,855.0","29,279.0","25,949.0","14,514.0","12,066.0","13,613.0","27,440.0","18,067.0","34,554.0","44,566.0","41,268.0","43,590.0","37,478.0","49,231.0","50,693.0","47,823.0","41,145.0","56,084.0","54,583.0","55,871.0","65,474.0","69,717.0","76,163.0","89,526.0","102,460.0","96,841.0","102,832.0","108,238.0"
"69","50","    Private","A557RC1","7,758.0","2,209.0","-2,002.0","-5,646.0","-4,767.0","-2,991.0","45.0","1,883.0","4,595.0","-637.0","1,635.0","5,603.0","9,420.0","518.0","-4,138.0","-2,860.0","-108.0","18,881.0","19,395.0","29,523.0","16,504.0","32,200.0","35,007.0","27,725.0","29,069.0","25,110.0","38,768.0","38,873.0","34,248.0","26,038.0","38,848.0","38,269.0","36,797.0","45,184.0","49,123.0","54,878.0","68,077.0","77,016.0","69,373.0","76,320.0","84,127.0"
"70","51","      Domestic business","W790RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20,713.0","20,209.0","27,283.0","29,614.0","34,090.0","46,641.0","57,385.0","50,135.0","54,100.0","60,885.0"
"71","52","      Households and institutions","W791RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17,556.0","16,588.0","17,901.0","19,509.0","20,788.0","21,436.0","19,631.0","19,238.0","22,220.0","23,242.0"
"72","53","    Government","A889RC1","1,934.0","2,286.0","2,144.0","1,410.0","1,078.0","1,551.0","1,714.0","2,951.0","2,519.0","2,843.0","3,096.0","2,844.0","8,692.0","25,337.0","33,417.0","28,809.0","14,622.0","-6,815.0","-5,782.0","-2,083.0","1,563.0","2,354.0","9,559.0","13,543.0","14,521.0","12,368.0","10,463.0","11,820.0","13,575.0","15,107.0","17,236.0","16,314.0","19,074.0","20,290.0","20,594.0","21,285.0","21,449.0","25,444.0","27,468.0","26,512.0","24,111.0"
"73","54","      Federal","A890RC1","16.0","110.0","197.0","263.0","461.0","615.0","928.0","951.0","912.0","864.0","742.0","1,148.0","7,651.0","25,203.0","34,032.0","29,533.0","15,207.0","-6,873.0","-6,798.0","-4,014.0","-1,658.0","-1,393.0","5,142.0","8,941.0","9,417.0","6,031.0","3,475.0","4,063.0","4,863.0","5,535.0","7,501.0","6,754.0","8,636.0","9,354.0","8,354.0","7,941.0","6,728.0","9,070.0","9,521.0","6,993.0","4,947.0"
"74","55","      State and local","A893RC1","1,918.0","2,175.0","1,946.0","1,146.0","617.0","936.0","786.0","2,000.0","1,607.0","1,979.0","2,355.0","1,697.0","1,041.0","134.0","-615.0","-724.0","-585.0","60.0","1,016.0","1,931.0","3,222.0","3,746.0","4,417.0","4,603.0","5,104.0","6,337.0","6,987.0","7,757.0","8,712.0","9,571.0","9,735.0","9,559.0","10,438.0","10,937.0","12,241.0","13,344.0","14,721.0","16,374.0","17,946.0","19,518.0","19,164.0"
"75","56","  Gross saving as a percentage of gross national income","W206RC1","19.2","16.9","11.8","6.7","6.9","10.5","13.9","14.7","18.3","14.6","15.7","19.1","24.1","24.9","22.9","19.3","14.5","18.3","19.8","22.2","18.2","21.6","23.1","21.8","21.1","20.7","22.6","24.1","23.4","21.4","22.9","23.2","23.2","23.5","23.9","24.0","24.4","24.1","23.2","22.7","22.8"
"76","57","  Net saving as a percentage of gross national income","W207RC1","9.3","6.0","-0.5","-7.3","-7.1","-2.1","2.6","4.2","7.9","3.1","4.8","8.7","14.7","16.0","14.1","9.7","4.2","6.9","8.1","10.9","6.3","10.5","12.2","10.7","9.9","8.9","11.1","12.2","11.1","8.5","10.4","10.8","10.8","11.4","11.8","12.1","12.7","12.4","11.2","10.7","10.6"
"77","58","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"78","59","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"79","60","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"80","61","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"81","62","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"82","63","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"83","64","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Prior to 1982, reflects only capital grants paid to the U.S. territories and the Commonwealths of Puerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
