"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"38","19","      Recreation services","DRCARX1","308,883.0","313,772.0","320,533.0","324,116.0","323,830.0","326,596.0","327,077.0","326,321.0","328,928.0","325,533.0","323,721.0","323,508.0","325,551.0","326,059.0","326,943.0","330,647.0","330,460.0","335,647.0","341,109.0","346,194.0","351,576.0","355,220.0","357,794.0","358,556.0","362,436.0","364,471.0","364,514.0","367,279.0","372,191.0","374,357.0","377,088.0","386,071.0","388,818.0","390,514.0","394,570.0","394,393.0","393,155.0","392,505.0","387,678.0","382,548.0","378,954.0","375,332.0","373,619.0","376,095.0","379,061.0","377,044.0","382,389.0","385,330.0","383,988.0","389,757.0","392,140.0","392,475.0","392,825.0","397,427.0","398,191.0","401,155.0","402,763.0","399,747.0","405,895.0","409,744.0","412,941.0","411,909.0","416,982.0","422,784.0","420,697.0","423,098.0","423,222.0","429,129.0"
"39","20","      Food services and accommodations","DFSARX1","505,058.0","508,101.0","510,137.0","522,147.0","530,671.0","535,332.0","537,191.0","535,405.0","539,347.0","534,019.0","531,047.0","530,199.0","538,001.0","542,024.0","543,001.0","543,842.0","547,762.0","558,004.0","567,440.0","573,195.0","579,419.0","580,249.0","585,542.0","591,618.0","595,002.0","603,596.0","607,795.0","614,014.0","623,083.0","619,646.0","623,260.0","632,677.0","629,809.0","631,253.0","631,878.0","637,427.0","628,991.0","632,440.0","626,274.0","616,730.0","605,802.0","599,860.0","598,221.0","597,450.0","603,084.0","607,698.0","611,323.0","616,319.0","622,123.0","623,252.0","626,418.0","629,249.0","636,313.0","639,494.0","642,709.0","647,318.0","652,034.0","646,554.0","648,443.0","658,837.0","657,069.0","667,880.0","674,585.0","684,777.0","689,318.0","701,406.0","704,567.0","711,720.0"
"40","21","      Financial services and insurance","DIFSRX1","576,227.0","590,822.0","603,819.0","623,803.0","655,197.0","656,505.0","660,831.0","664,410.0","654,415.0","647,606.0","638,473.0","643,403.0","640,190.0","639,920.0","643,623.0","642,983.0","637,227.0","640,152.0","644,969.0","649,972.0","659,846.0","661,864.0","669,043.0","684,180.0","691,660.0","703,233.0","710,515.0","710,937.0","718,508.0","718,406.0","717,370.0","725,975.0","735,366.0","743,218.0","747,002.0","744,559.0","742,299.0","738,315.0","738,863.0","730,214.0","723,790.0","719,028.0","719,201.0","713,802.0","721,467.0","736,148.0","735,415.0","742,686.0","747,980.0","746,568.0","752,634.0","741,438.0","732,581.0","707,508.0","693,306.0","692,166.0","705,703.0","714,057.0","713,935.0","722,064.0","718,547.0","719,939.0","725,555.0","727,385.0","727,354.0","731,368.0","729,546.0","730,078.0"
"41","22","      Other services","DOTSRX1","711,391.0","714,898.0","717,753.0","734,617.0","749,760.0","767,328.0","780,685.0","784,591.0","791,594.0","807,024.0","809,012.0","810,001.0","808,683.0","808,131.0","802,880.0","815,210.0","826,434.0","826,675.0","834,694.0","837,200.0","842,996.0","849,009.0","855,027.0","856,227.0","856,523.0","856,520.0","861,324.0","867,754.0","875,203.0","884,546.0","885,628.0","899,401.0","903,934.0","907,445.0","905,298.0","902,034.0","906,661.0","899,411.0","902,727.0","900,175.0","888,254.0","874,761.0","875,184.0","878,408.0","880,259.0","884,088.0","885,726.0","886,955.0","896,340.0","899,755.0","904,534.0","904,041.0","916,457.0","911,250.0","912,743.0","918,873.0","908,603.0","915,016.0","918,667.0","927,338.0","937,375.0","946,668.0","958,160.0","974,093.0","974,382.0","986,843.0","990,673.0","996,995.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","148,074.0","149,323.0","150,508.0","152,488.0","157,693.0","158,515.0","164,661.0","169,704.0","170,717.0","174,463.0","177,611.0","181,491.0","184,956.0","190,398.0","198,151.0","203,161.0","203,454.0","206,507.0","207,471.0","207,840.0","211,235.0","210,489.0","209,865.0","209,692.0","202,655.0","207,893.0","209,119.0","220,116.0","228,893.0","236,928.0","241,110.0","239,499.0","240,483.0","237,440.0","241,137.0","252,577.0","259,544.0","269,493.0","277,776.0","287,578.0","278,930.0","272,876.0","273,229.0","279,032.0","279,239.0","281,713.0","277,411.0","274,772.0","272,350.0","273,168.0","279,958.0","275,249.0","280,983.0","294,850.0","295,607.0","306,003.0","298,341.0","296,106.0","299,570.0","305,379.0","303,777.0","304,983.0","308,419.0","305,975.0","300,027.0","301,237.0","311,485.0","316,364.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERX1","769,722.0","773,811.0","779,606.0","787,812.0","794,532.0","802,124.0","811,035.0","821,326.0","830,445.0","839,256.0","850,709.0","863,001.0","878,016.0","892,713.0","904,394.0","909,035.0","910,288.0","912,809.0","915,929.0","918,660.0","925,592.0","932,328.0","943,171.0","952,419.0","947,525.0","956,196.0","966,965.0","975,954.0","986,711.0","996,051.0","1,004,068.0","1,009,483.0","1,016,761.0","1,017,190.0","1,022,755.0","1,032,084.0","1,043,394.0","1,050,419.0","1,059,353.0","1,067,657.0","1,068,984.0","1,071,230.0","1,074,769.0","1,075,272.0","1,072,550.0","1,084,003.0","1,090,565.0","1,096,962.0","1,093,242.0","1,095,976.0","1,094,558.0","1,104,430.0","1,121,173.0","1,124,329.0","1,134,567.0","1,136,305.0","1,130,401.0","1,140,693.0","1,144,139.0","1,156,012.0","1,138,955.0","1,152,852.0","1,163,787.0","1,179,272.0","1,181,246.0","1,183,165.0","1,187,633.0","1,199,852.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","632,620.0","635,346.0","640,009.0","646,218.0","646,452.0","653,584.0","654,839.0","659,105.0","667,630.0","672,010.0","680,101.0","688,097.0","699,619.0","708,125.0","710,334.0","708,775.0","709,818.0","708,709.0","710,872.0","713,351.0","716,588.0","724,516.0","736,549.0","746,344.0","749,354.0","752,293.0","762,058.0","758,797.0","760,000.0","760,621.0","764,240.0","771,585.0","777,965.0","781,732.0","783,359.0","780,478.0","784,481.0","780,983.0","781,272.0","779,441.0","789,855.0","798,344.0","801,594.0","796,395.0","793,481.0","802,431.0","813,042.0","821,899.0","820,540.0","822,453.0","814,597.0","828,755.0","839,810.0","829,989.0","839,315.0","831,505.0","832,771.0","844,919.0","845,099.0","851,368.0","836,089.0","848,603.0","856,128.0","873,722.0","881,392.0","882,128.0","876,682.0","884,085.0"
"45","26","Gross private domestic investment","A006RX1","2,186,065.0","2,188,002.0","2,242,786.0","2,308,637.0","2,287,827.0","2,424,549.0","2,394,141.0","2,395,566.0","2,285,261.0","2,277,059.0","2,236,591.0","2,126,879.0","2,202,776.0","2,224,915.0","2,224,612.0","2,220,654.0","2,239,474.0","2,251,283.0","2,330,890.0","2,413,141.0","2,414,528.0","2,500,867.0","2,539,376.0","2,590,616.0","2,664,359.0","2,630,506.0","2,657,863.0","2,737,639.0","2,773,826.0","2,755,714.0","2,727,600.0","2,663,030.0","2,638,528.0","2,674,700.0","2,658,118.0","2,605,210.0","2,517,473.0","2,472,623.0","2,403,773.0","2,190,041.0","1,937,678.0","1,820,549.0","1,804,679.0","1,949,553.0","2,012,899.0","2,116,907.0","2,185,703.0","2,166,144.0","2,125,917.0","2,207,971.0","2,214,023.0","2,373,743.0","2,429,596.0","2,489,145.0","2,482,018.0","2,462,188.0","2,505,066.0","2,537,163.0","2,619,745.0","2,647,063.0","2,630,497.0","2,709,529.0","2,758,091.0","2,772,531.0","2,830,243.0","2,864,783.0","2,859,709.0","2,842,027.0"
"46","27","  Fixed investment","A007RX1","2,101,595.0","2,151,180.0","2,200,356.0","2,210,480.0","2,272,047.0","2,322,913.0","2,332,421.0","2,337,497.0","2,325,442.0","2,294,672.0","2,276,114.0","2,223,834.0","2,210,734.0","2,205,168.0","2,197,807.0","2,190,886.0","2,206,758.0","2,254,398.0","2,325,897.0","2,370,882.0","2,362,496.0","2,422,796.0","2,471,981.0","2,518,165.0","2,558,759.0","2,599,207.0","2,640,370.0","2,645,467.0","2,700,691.0","2,676,837.0","2,649,578.0","2,622,813.0","2,618,196.0","2,624,924.0","2,608,988.0","2,586,278.0","2,539,068.0","2,503,371.0","2,424,133.0","2,263,786.0","2,089,264.0","2,010,953.0","2,008,428.0","1,994,093.0","1,997,920.0","2,062,785.0","2,060,796.0","2,103,121.0","2,098,415.0","2,140,172.0","2,227,456.0","2,280,592.0","2,360,357.0","2,399,811.0","2,400,427.0","2,441,044.0","2,470,627.0","2,486,258.0","2,509,525.0","2,541,034.0","2,578,329.0","2,613,438.0","2,663,508.0","2,679,735.0","2,701,352.0","2,735,489.0","2,760,708.0","2,762,160.0"
"47","28","    Nonresidential","A008RX1","1,458,952.0","1,497,288.0","1,539,287.0","1,544,871.0","1,599,914.0","1,650,511.0","1,667,915.0","1,672,321.0","1,658,830.0","1,621,165.0","1,599,967.0","1,553,614.0","1,522,057.0","1,501,855.0","1,492,990.0","1,475,082.0","1,478,588.0","1,514,321.0","1,544,672.0","1,566,776.0","1,549,373.0","1,583,822.0","1,626,857.0","1,661,406.0","1,681,939.0","1,706,109.0","1,737,382.0","1,744,349.0","1,808,675.0","1,831,263.0","1,853,116.0","1,865,160.0","1,897,167.0","1,934,428.0","1,964,431.0","1,997,566.0","1,998,101.0","1,986,585.0","1,932,967.0","1,820,128.0","1,688,277.0","1,633,987.0","1,613,076.0","1,598,428.0","1,615,049.0","1,659,272.0","1,692,776.0","1,728,089.0","1,724,133.0","1,760,969.0","1,840,809.0","1,883,125.0","1,938,142.0","1,973,665.0","1,963,385.0","1,981,394.0","2,000,685.0","2,005,664.0","2,023,115.0","2,065,516.0","2,106,877.0","2,129,833.0","2,176,320.0","2,179,997.0","2,188,584.0","2,210,635.0","2,224,881.0","2,214,658.0"
"48","29","      Structures","B009RX1","497,579.0","492,420.0","492,169.0","497,302.0","507,792.0","529,035.0","547,578.0","549,515.0","534,043.0","536,900.0","541,175.0","489,449.0","463,448.0","438,027.0","417,282.0","411,434.0","408,499.0","419,304.0","417,519.0","418,040.0","409,263.0","411,580.0","417,897.0","417,742.0","423,057.0","420,898.0","418,629.0","422,337.0","437,796.0","450,909.0","458,887.0","458,361.0","474,837.0","500,564.0","523,996.0","536,785.0","539,006.0","547,732.0","543,687.0","530,319.0","490,467.0","453,258.0","422,590.0","386,529.0","359,687.0","369,844.0","364,356.0","371,219.0","343,008.0","366,698.0","388,181.0","400,947.0","419,515.0","429,887.0","425,501.0","417,470.0","411,035.0","422,590.0","440,351.0","444,730.0","464,626.0","464,439.0","462,275.0","467,142.0","458,226.0","465,192.0","456,621.0","450,503.0"
"49","30","      Equipment","Y033RX1","635,448.0","658,042.0","680,323.0","675,917.0","706,447.0","732,546.0","735,070.0","733,678.0","728,067.0","697,840.0","679,725.0","676,998.0","665,500.0","657,936.0","659,441.0","649,218.0","649,522.0","671,273.0","690,958.0","704,330.0","692,838.0","719,857.0","744,629.0","767,404.0","774,156.0","790,997.0","817,865.0","823,400.0","866,526.0","869,558.0","871,863.0","875,225.0","886,118.0","896,238.0","900,939.0","910,048.0","899,371.0","876,633.0","831,612.0","736,752.0","653,898.0","631,603.0","639,852.0","651,880.0","697,659.0","735,152.0","766,159.0","787,840.0","810,612.0","819,307.0","870,986.0","890,767.0","924,387.0","943,980.0","935,981.0","952,642.0","967,363.0","965,335.0","956,006.0","989,327.0","997,866.0","1,013,745.0","1,053,078.0","1,040,036.0","1,045,995.0","1,046,907.0","1,071,998.0","1,065,143.0"
"50","31","        Information processing equipment","Y034RX1","138,812.0","149,323.0","155,328.0","154,368.0","167,901.0","179,047.0","184,170.0","190,340.0","189,151.0","178,888.0","172,147.0","172,618.0","169,589.0","168,893.0","171,952.0","169,120.0","175,373.0","178,892.0","189,133.0","199,690.0","198,717.0","204,185.0","206,112.0","209,184.0","214,293.0","217,995.0","226,219.0","230,304.0","246,295.0","247,633.0","255,061.0","254,744.0","270,554.0","272,689.0","279,510.0","296,713.0","294,558.0","294,142.0","281,198.0","254,128.0","245,603.0","246,356.0","261,420.0","270,948.0","275,961.0","277,804.0","282,512.0","289,487.0","279,756.0","286,598.0","288,946.0","288,226.0","304,572.0","302,162.0","297,326.0","308,151.0","315,320.0","312,768.0","316,995.0","312,500.0","316,231.0","329,008.0","322,768.0","337,570.0","334,248.0","330,492.0","351,029.0","356,577.0"
"51","32","          Computers and peripheral equipment \4\","B935RX1","26,297.0","29,414.0","30,686.0","30,288.0","31,966.0","35,488.0","36,714.0","37,325.0","38,806.0","36,402.0","33,862.0","35,951.0","37,854.0","37,088.0","38,884.0","38,207.0","39,579.0","39,885.0","42,297.0","45,179.0","44,315.0","45,603.0","47,445.0","49,921.0","48,818.0","50,367.0","52,732.0","56,640.0","60,254.0","62,753.0","67,031.0","67,214.0","71,065.0","69,789.0","72,596.0","77,533.0","81,060.0","81,942.0","76,301.0","68,933.0","69,871.0","73,204.0","77,498.0","86,536.0","87,587.0","86,442.0","83,032.0","81,603.0","76,878.0","83,514.0","86,740.0","84,708.0","90,972.0","89,013.0","83,144.0","90,662.0","93,205.0","89,325.0","91,626.0","93,738.0","87,184.0","89,326.0","90,119.0","89,269.0","84,334.0","89,568.0","93,680.0","88,142.0"
"52","33","          Other","A937RX1","120,369.0","126,441.0","131,299.0","131,017.0","144,900.0","151,162.0","155,003.0","161,638.0","156,911.0","149,039.0","145,766.0","142,237.0","134,931.0","135,458.0","135,868.0","133,698.0","138,733.0","142,369.0","150,306.0","157,802.0","158,088.0","162,304.0","161,513.0","161,091.0","168,628.0","170,480.0","176,223.0","175,228.0","187,796.0","185,914.0","188,420.0","187,886.0","199,995.0","203,786.0","207,700.0","219,971.0","213,786.0","212,390.0","205,187.0","185,417.0","175,777.0","173,100.0","183,859.0","184,481.0","188,521.0","191,502.0","199,456.0","207,671.0","202,486.0","202,957.0","202,238.0","203,407.0","213,618.0","213,088.0","213,805.0","217,425.0","222,074.0","223,170.0","225,173.0","218,835.0","228,524.0","239,037.0","232,213.0","247,468.0","248,766.0","240,322.0","256,579.0","267,001.0"
"53","34","        Industrial equipment","A680RX1","179,522.0","182,109.0","184,510.0","184,892.0","193,710.0","198,817.0","202,378.0","199,267.0","199,714.0","185,538.0","177,729.0","172,629.0","174,119.0","169,661.0","171,711.0","170,707.0","170,126.0","176,977.0","172,845.0","168,999.0","162,536.0","166,541.0","171,882.0","175,432.0","179,397.0","177,420.0","185,028.0","192,607.0","190,819.0","202,610.0","201,176.0","201,663.0","197,719.0","210,571.0","211,738.0","201,230.0","200,963.0","199,351.0","195,552.0","185,950.0","160,972.0","152,499.0","148,483.0","146,315.0","143,011.0","151,129.0","152,828.0","158,281.0","171,837.0","174,130.0","188,171.0","198,895.0","196,958.0","202,989.0","197,548.0","201,656.0","198,464.0","193,878.0","194,678.0","192,033.0","202,190.0","209,209.0","213,535.0","210,784.0","210,008.0","220,892.0","218,952.0","223,072.0"
"54","35","        Transportation equipment","A681RX1","199,288.0","205,915.0","217,922.0","210,403.0","208,821.0","210,969.0","203,481.0","193,249.0","185,960.0","186,291.0","180,914.0","186,549.0","178,366.0","169,046.0","163,965.0","157,587.0","144,681.0","155,937.0","159,005.0","159,621.0","156,091.0","170,172.0","183,218.0","196,390.0","189,688.0","196,680.0","206,917.0","198,375.0","219,622.0","209,939.0","208,950.0","211,828.0","212,800.0","201,813.0","199,192.0","200,533.0","198,450.0","175,759.0","147,680.0","105,532.0","68,610.0","67,200.0","69,951.0","76,504.0","109,686.0","130,924.0","151,971.0","155,121.0","168,051.0","167,108.0","188,543.0","208,460.0","213,900.0","220,726.0","217,613.0","223,471.0","228,467.0","244,032.0","239,635.0","260,436.0","258,535.0","261,652.0","286,473.0","280,401.0","288,111.0","285,074.0","297,773.0","286,837.0"
"55","36","        Other equipment","A862RX1","161,418.0","159,035.0","160,839.0","164,268.0","168,932.0","172,865.0","170,080.0","169,966.0","172,440.0","167,677.0","170,683.0","165,837.0","163,751.0","169,540.0","169,229.0","169,058.0","173,071.0","174,916.0","183,178.0","186,141.0","184,585.0","189,080.0","195,859.0","200,229.0","203,658.0","212,214.0","213,027.0","214,861.0","221,944.0","221,519.0","217,170.0","217,728.0","213,179.0","219,451.0","217,914.0","217,401.0","211,078.0","211,782.0","210,622.0","192,668.0","178,760.0","165,526.0","159,937.0","158,150.0","170,733.0","177,835.0","182,242.0","188,262.0","194,407.0","194,874.0","208,993.0","199,034.0","213,449.0","222,163.0","227,432.0","223,801.0","230,142.0","220,268.0","210,675.0","230,035.0","226,251.0","219,776.0","235,370.0","217,917.0","220,035.0","216,129.0","211,662.0","206,507.0"
"56","37","      Intellectual property products","Y001RX1","371,292.0","385,301.0","400,348.0","407,589.0","419,384.0","425,316.0","427,524.0","431,987.0","435,120.0","430,154.0","426,601.0","420,073.0","419,774.0","425,847.0","430,087.0","427,943.0","433,038.0","436,594.0","446,172.0","452,894.0","454,685.0","457,838.0","468,593.0","478,436.0","487,036.0","494,990.0","499,944.0","498,018.0","503,753.0","511,021.0","522,943.0","532,129.0","537,047.0","538,894.0","541,093.0","552,388.0","561,231.0","563,316.0","558,166.0","552,500.0","543,590.0","549,405.0","550,888.0","559,808.0","557,604.0","554,736.0","562,983.0","569,956.0","571,874.0","576,331.0","583,542.0","593,284.0","596,143.0","601,686.0","603,722.0","613,750.0","625,336.0","620,329.0","628,283.0","633,663.0","645,741.0","653,391.0","663,849.0","675,017.0","687,101.0","700,966.0","699,627.0","702,444.0"
"57","38","        Software \5\","B985RX1","141,347.0","151,576.0","159,982.0","165,083.0","170,809.0","175,507.0","175,873.0","181,233.0","182,617.0","178,474.0","176,370.0","171,019.0","172,581.0","177,148.0","181,151.0","176,636.0","180,653.0","182,497.0","192,729.0","199,929.0","202,430.0","203,667.0","209,840.0","215,719.0","216,557.0","221,821.0","223,083.0","223,289.0","225,697.0","228,120.0","231,676.0","235,864.0","241,536.0","242,218.0","244,708.0","248,267.0","256,046.0","256,965.0","257,656.0","254,236.0","252,820.0","255,184.0","257,722.0","261,379.0","256,027.0","250,925.0","253,306.0","256,688.0","262,241.0","268,421.0","275,218.0","281,163.0","282,324.0","286,384.0","286,428.0","291,453.0","296,689.0","290,496.0","296,237.0","299,914.0","305,849.0","311,586.0","319,084.0","323,447.0","330,581.0","335,417.0","334,571.0","336,063.0"
"58","39","        Research and development \6\","Y006RX1","178,473.0","181,953.0","187,080.0","188,041.0","192,613.0","192,161.0","194,195.0","193,187.0","196,270.0","196,716.0","195,255.0","194,094.0","190,171.0","190,830.0","189,374.0","191,493.0","190,489.0","190,049.0","188,349.0","187,479.0","187,426.0","189,461.0","192,760.0","194,476.0","200,649.0","202,061.0","204,903.0","201,556.0","205,205.0","210,556.0","219,577.0","224,654.0","224,714.0","226,230.0","225,856.0","234,704.0","236,604.0","238,626.0","234,191.0","232,656.0","226,193.0","229,121.0","228,418.0","232,341.0","232,678.0","231,485.0","235,614.0","237,837.0","236,464.0","235,714.0","235,870.0","238,585.0","239,640.0","241,117.0","243,058.0","247,669.0","253,514.0","254,025.0","256,366.0","257,426.0","262,821.0","264,454.0","267,117.0","272,837.0","277,431.0","285,723.0","284,407.0","285,939.0"
"59","40","        Entertainment, literary, and artistic originals","Y020RX1","55,416.0","55,043.0","56,241.0","57,043.0","58,452.0","59,711.0","59,662.0","59,174.0","57,959.0","57,107.0","57,184.0","57,558.0","59,133.0","59,635.0","60,853.0","61,633.0","63,262.0","65,201.0","65,464.0","65,447.0","64,728.0","64,688.0","65,883.0","67,961.0","69,717.0","70,877.0","71,775.0","72,889.0","72,628.0","72,216.0","71,737.0","71,703.0","70,805.0","70,467.0","70,521.0","69,445.0","68,591.0","67,728.0","66,319.0","65,609.0","64,573.0","65,102.0","64,747.0","66,089.0","68,881.0","72,311.0","74,016.0","75,399.0","73,218.0","72,383.0","72,822.0","74,001.0","74,683.0","74,774.0","74,730.0","75,078.0","75,474.0","75,914.0","75,862.0","76,621.0","77,324.0","77,781.0","78,285.0","79,221.0","79,653.0","80,042.0","80,935.0","80,695.0"
"60","41","    Residential","A011RX1","622,958.0","632,660.0","637,415.0","642,067.0","645,257.0","641,947.0","631,964.0","632,615.0","635,333.0","645,175.0","649,193.0","645,028.0","666,173.0","682,712.0","684,731.0","697,060.0","709,797.0","720,996.0","762,348.0","785,001.0","794,183.0","819,482.0","825,261.0","836,661.0","856,407.0","872,294.0","881,881.0","879,861.0","871,657.0","827,827.0","781,646.0","745,152.0","711,154.0","682,691.0","639,186.0","586,106.0","540,012.0","516,336.0","490,895.0","443,568.0","400,967.0","376,951.0","395,385.0","395,667.0","382,964.0","403,504.0","368,102.0","375,121.0","374,392.0","379,329.0","386,771.0","397,594.0","422,467.0","426,327.0","437,269.0","459,818.0","469,917.0","480,315.0","486,045.0","475,915.0","472,602.0","484,421.0","488,490.0","500,229.0","512,436.0","524,001.0","534,391.0","544,952.0"
"61","42","  Change in private inventories","A014RX1","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","25,066.0","57,519.0","-13,027.0","80,816.0","56,015.0","76,649.0","70,560.0","15,466.0","25,221.0","39,620.0","93,644.0","87,228.0","36,854.0","77,067.0","79,854.0","78,174.0","112,784.0","113,525.0","85,489.0","68,564.0"
"62","43","    Farm","B018RX1","-1,936.0","1,087.0","-12,034.0","-3,911.0","-20,512.0","6,931.0","-2,334.0","7,862.0","6,668.0","-3,301.0","1,748.0","-4,592.0","2,701.0","-10,881.0","-3,725.0","-1,973.0","3,267.0","-970.0","174.0","-1,926.0","5,741.0","15,705.0","8,371.0","6,006.0","-5,031.0","802.0","3,330.0","1,926.0","1,700.0","-7,305.0","-6,267.0","-4,744.0","3,188.0","-3,809.0","-2,038.0","-1,083.0","-4,896.0","2,168.0","4,579.0","2,680.0","-677.0","-1,030.0","-4,161.0","-541.0","-2,989.0","-5,782.0","-9,906.0","-9,466.0","215.0","-248.0","2,129.0","3,426.0","-6,593.0","-10,265.0","-18,987.0","-14,481.0","1,770.0","5,842.0","9,253.0","9,939.0","1,260.0","3,597.0","5,777.0","4,188.0","6,963.0","4,140.0","6,577.0","4,125.0"
"63","44","    Nonfarm","A015RX1","97,465.0","43,629.0","60,569.0","109,052.0","41,014.0","101,429.0","69,728.0","56,344.0","-43,460.0","-9,660.0","-38,035.0","-92,194.0","-6,054.0","35,797.0","35,459.0","36,752.0","33,034.0","674.0","7,365.0","48,632.0","50,748.0","65,941.0","62,794.0","70,302.0","115,839.0","32,128.0","14,929.0","92,554.0","76,925.0","90,756.0","87,661.0","46,175.0","16,396.0","53,233.0","52,302.0","24,124.0","-15,004.0","-28,808.0","-25,693.0","-70,361.0","-144,154.0","-189,265.0","-201,616.0","-48,832.0","12,907.0","54,642.0","126,789.0","69,103.0","25,201.0","58,895.0","-15,885.0","78,343.0","65,811.0","92,026.0","97,704.0","35,256.0","23,508.0","32,944.0","84,015.0","76,603.0","36,197.0","74,510.0","74,479.0","74,902.0","106,764.0","110,992.0","79,200.0","64,874.0"
"64","45","Net exports of goods and services","A019RX1","-340,446.0","-371,113.0","-393,900.0","-402,884.0","-448,988.0","-464,862.0","-493,522.0","-503,759.0","-493,971.0","-483,768.0","-508,723.0","-521,794.0","-546,047.0","-567,703.0","-585,128.0","-638,430.0","-620,325.0","-649,705.0","-642,079.0","-655,364.0","-676,132.0","-739,963.0","-753,022.0","-769,925.0","-774,147.0","-773,540.0","-777,679.0","-803,875.0","-798,980.0","-799,103.0","-819,709.0","-759,291.0","-771,013.0","-753,725.0","-703,152.0","-622,583.0","-623,695.0","-550,382.0","-526,919.0","-530,282.0","-451,324.0","-366,333.0","-383,643.0","-380,448.0","-408,776.0","-469,707.0","-498,445.0","-458,094.0","-466,181.0","-455,249.0","-454,323.0","-461,679.0","-462,696.0","-452,688.0","-446,802.0","-426,044.0","-425,925.0","-434,161.0","-428,306.0","-381,526.0","-434,023.0","-443,277.0","-429,121.0","-463,608.0","-541,151.0","-534,567.0","-546,092.0","-566,458.0"
"65","46","  Exports","A020RX1","1,126,437.0","1,137,911.0","1,171,342.0","1,200,895.0","1,219,158.0","1,254,745.0","1,285,516.0","1,274,312.0","1,254,496.0","1,213,044.0","1,154,073.0","1,117,993.0","1,140,855.0","1,172,095.0","1,180,452.0","1,164,472.0","1,157,558.0","1,156,225.0","1,187,033.0","1,239,236.0","1,276,616.0","1,293,076.0","1,300,553.0","1,332,074.0","1,352,648.0","1,377,637.0","1,379,208.0","1,418,128.0","1,470,959.0","1,498,504.0","1,495,517.0","1,562,099.0","1,587,671.0","1,615,651.0","1,665,560.0","1,716,692.0","1,737,937.0","1,790,015.0","1,766,117.0","1,669,231.0","1,535,344.0","1,539,374.0","1,593,341.0","1,682,902.0","1,708,162.0","1,748,067.0","1,797,508.0","1,852,641.0","1,862,301.0","1,890,682.0","1,910,595.0","1,929,669.0","1,942,596.0","1,964,350.0","1,974,050.0","1,971,737.0","1,976,628.0","2,000,515.0","2,021,066.0","2,074,212.0","2,038,650.0","2,086,848.0","2,095,994.0","2,123,913.0","2,091,364.0","2,117,541.0","2,121,068.0","2,107,831.0"
"66","47","    Goods","A253RX1","793,846.0","805,089.0","826,041.0","852,619.0","869,283.0","895,520.0","928,409.0","915,689.0","902,081.0","866,076.0","818,378.0","800,292.0","798,856.0","826,930.0","832,279.0","813,137.0","815,411.0","815,508.0","832,693.0","868,957.0","885,982.0","899,342.0","907,836.0","924,841.0","942,528.0","971,679.0","970,233.0","997,772.0","1,041,868.0","1,056,851.0","1,058,339.0","1,091,003.0","1,105,556.0","1,122,789.0","1,155,819.0","1,181,685.0","1,211,751.0","1,249,042.0","1,241,246.0","1,144,073.0","1,027,627.0","1,020,751.0","1,070,858.0","1,141,229.0","1,173,711.0","1,204,078.0","1,229,948.0","1,265,370.0","1,274,037.0","1,289,521.0","1,300,479.0","1,326,179.0","1,332,180.0","1,347,629.0","1,355,015.0","1,341,892.0","1,343,324.0","1,367,817.0","1,384,572.0","1,433,409.0","1,398,443.0","1,439,146.0","1,460,138.0","1,474,342.0","1,429,317.0","1,451,960.0","1,448,819.0","1,428,741.0"
"67","48","    Services","A646RX1","331,698.0","331,665.0","344,172.0","346,820.0","348,254.0","357,551.0","354,926.0","356,662.0","350,445.0","345,337.0","334,395.0","316,097.0","341,119.0","344,023.0","347,039.0","350,573.0","341,056.0","339,586.0","353,384.0","369,314.0","390,089.0","393,089.0","391,883.0","406,607.0","409,318.0","404,813.0","407,872.0","419,209.0","427,753.0","440,385.0","435,806.0","470,115.0","481,207.0","491,998.0","508,892.0","534,446.0","525,025.0","539,825.0","523,360.0","524,909.0","507,641.0","518,654.0","522,539.0","541,662.0","534,183.0","543,579.0","567,245.0","587,022.0","587,967.0","601,158.0","610,331.0","602,969.0","610,071.0","616,351.0","618,611.0","629,859.0","633,306.0","632,406.0","636,122.0","640,243.0","639,817.0","647,257.0","635,431.0","649,056.0","660,634.0","664,408.0","670,723.0","676,709.0"
