"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"24","15","        Federal and State unemployment insurance taxes","M318141",0.3,-0.1,-0.2,-0.1,0.3,-0.1,-0.2,-0.1,0.4,-0.2,-0.2,-0.1,0.6,-0.3,-0.3,-0.1,1.4,-0.5,-0.5,-0.2,1.9,-0.8,-0.7,-0.2,1.9,-0.8,-0.7,-0.2,1.9,-1,-0.7,-0.2,3,-1.4,-1,-0.3,3.6,-1.9,-1,-0.4,4.3,-1.9,-1.6,-0.6,4.5,-2.3,-1.5,-0.6,4.2,-2.2,-1.3,-0.8,4.9,-2.4,-1.5,-0.5,5.2,-2.9,-1.4,-0.6,6.8,-2.9,-1.6,-0.9,8.1,-4.6,-2.6,-1,7.5,-5.1,-1.5,-0.8,7.6,-4.5,-1.8,-0.8,7.4,-4.5,-3.2,-0.7,8.2,-4.5,-2.4,-0.9,7.7,-4.6,-1.2,-0.4,6.9,-4.5,-2.2,-0.8,7.4,-4.4,-1.9,-1,8.9,-5.2,-2.1,-0.7,9.7,-6,-2.7,-1,10,-6.2,-2.1,-1.2,10.5,-7.3,-2,-1.1,10.3,-7.6,-1.8,-0.9,10.2,-7.6,-2.1,-1.1,9.4,-6.7,-1.7,-0.8,9.2,-6.3,-1.6,-0.8,10,-7.3,-1.5,-0.9,10.2,-7.7,-1.8,-0.9,11.4,-8.1,-1.4,-1,13.6,-9.7,-3.5,-1,16.5,-11.9,-3.7,-1.2
"25","16","        Withheld personal income tax and social security contributions","M318151",1.1,0.3,-0.1,-0.4,1.2,0.4,-0.4,-0.5,1,0,-0.6,-0.7,-0.3,0,-0.4,-0.7,1.9,0,-0.4,-0.6,2.1,0.1,-0.3,-0.8,1.8,0.3,-0.2,-0.8,1.2,0.1,-0.1,-0.8,1.6,0.4,-0.2,-1.1,1.8,0.7,-0.5,-0.9,2.3,0.8,-0.6,-0.6,2,0.7,-0.1,-0.8,1.9,0.5,-1.9,-1,-0.3,1,-2.7,0.1,1.7,0.6,0.2,-2.3,2,0.2,0.4,-1.4,2.6,1.6,1.5,-2,2.4,0.5,0,-1.1,0.4,1,0.8,-2.2,1.3,0.6,1.1,-2.6,2.9,-1,0.8,-1.1,1.9,-0.6,0.5,-1.4,2.3,-0.9,0.7,-2.8,2,0.4,0.8,-2.4,2,-0.3,1.6,-2.9,2.3,-0.5,1,-3.1,2.9,-0.6,1.2,-2.4,1.4,-0.7,1.6,-1.8,1.8,0,2.5,-3.1,1.7,-0.2,3.1,-3.1,2.2,-0.5,2.8,-2.4,1.7,-0.3,2.8,-2.4,1.3,-0.6,2.6,-1.4,2,-3.1,2.9,-5,2.1,-0.1,1.9,-2.6,0.1,-2.1,1.9,-1.7,1.3,-1,2.6,-0.9
"26","17","        Excise taxes","M318161",0,0.1,-0.2,0,0.1,0.1,-0.1,-0.2,0.1,0.1,-0.1,-0.1,0,-0.1,-0.5,-0.6,0.9,0.1,-0.2,0,0,0,-0.2,-0.2,0.2,0.1,-0.2,-0.2,-0.1,0.2,-0.2,-0.1,0,0.2,-0.2,-0.1,0,0,-0.1,-0.1,0.1,0.1,-0.2,-0.1,0,0.1,-0.1,-0.1,0.8,-0.1,-0.2,0.7,0.7,-0.5,-0.9,-0.2,-0.4,-0.1,-0.1,0.3,-0.1,0.6,-1,-0.2,0.2,-0.6,-0.6,-0.4,-0.1,-0.1,-0.6,-1,-0.1,-0.6,-0.2,-0.7,-0.4,-0.8,-0.2,-1.1,1,-0.5,-1.1,-0.8,0.7,-0.8,0.1,-0.2,1,-1.8,-0.1,0.1,1.2,0.5,-1.2,-0.1,0.5,-0.2,-0.2,0,-0.2,-1.1,-1.4,0.3,1.7,0.8,-1.1,0.2,0.8,-0.2,-1.7,-0.6,0.7,0.2,-1.4,1.7,-0.1,0.4,-0.7,-0.1,1.2,-0.4,2.7,-5.3,0.9,-0.1,-2.1,0.8,0.3,-0.3,-2.9,0.7,-0.4,0.7,-1.7,4.9,-2.9,-1,-2.6,0.7,1.2,0.2,-3.2,0.7,0.8,-0.3,-2.6,0.8
"27","18","        Other","M318171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.5,-0.3,-0.3,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.3,-0.2,0.1,0.1,-0.2,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2,-0.1,-0.3,0.3,0.7,0.2,0.2,-1,0,-0.1,0.2,0.5,-0.4,0.7,-0.1,0.2,0,-0.6,1.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,-1.5,1.6,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,-0.1,0,0,0,0.1,0,0.1,0.1,0.1,-0.2
"28","19","Equals: Federal Government current receipts, national income and product accounts","M318181",39.6,46.9,43.7,41,46.6,54.8,47.7,43.5,46.1,52.4,46.3,41.2,46.3,52.6,48.5,44.3,52.1,61.3,55.4,51.3,60.8,65.1,64.6,59.9,64.5,73.9,74.5,66.6,65.8,67.8,74.2,69.4,74.6,85.8,84.6,77.5,83.3,101.8,92.5,85.9,94.3,117.9,107.3,104.1,113,134.8,120.6,117.9,125,142.6,131.9,132.6,145.6,171.6,152.2,150.1,151.5,171.8,151.1,142.2,156.7,168.4,160.3,156.9,176.3,186.4,175.6,170.7,193.3,205.3,192,182.7,200.6,216.3,201.9,196.3,212.1,255.8,219,209.7,233.9,265.1,231.2,228,250.9,302,248.3,236.1,254.5,310.7,260.8,255.5,259.7,310.2,271.2,260.1,272.6,319,278.1,277.5,299.1,323.6,301.7,298.2,325,351.3,326.3,318.1,348.9,385.9,343,328.8,364.3,430.7,368.9,360.1,391,474.5,400.9,386.8,420.7,521,425.1,407,441.6,548.7,453,447.9,474.3,629.6,489.4,460.6,491.7,641.7,433.1,449.6,436.9,517.3,461.1,437.9,452.8,516.7,447.7,451.4,464.4,531.3,487.8,491.4
"29",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","20","Budget outlays","M318191",44.9,47.4,46.8,46.4,46.1,45.2,50.4,48.5,47.8,49.8,54.3,49.9,52.3,54.9,56.3,55.2,58.6,61.8,57.6,60.9,64.7,63.3,65.5,64.9,67.6,70.4,74.5,78.9,83.1,88.1,90.8,93.7,89.6,91.5,94.5,99,97.6,101.8,103.4,113.3,111.2,111.3,114.9,123.2,122.6,123,124.4,138.5,141.5,148.2,150.8,160.6,167.3,167.4,165.3,194.2,167.3,181.4,185.5,205.3,200.8,195.7,194.1,212.7,209.4,211.4,208.4,238.6,229.8,234,234.5,252.4,240.9,245.2,251.4,254.4,251.4,251.1,245.4,285.3,244.5,268.3,264.6,289.3,280.7,285.7,288.4,298.4,310.7,331.7,311,332.8,298.1,333.4,359.5,338.2,352.9,351.3,338.4,385.6,325.7,349.6,349.1,377.5,350.7,362.5,371.1,381.7,378.2,380.7,375.2,379.6,394,392.1,394.8,404.9,401.5,396,398.8,426.1,408.5,407.2,410.9,467.5,396.1,419.6,418.7,464,448.8,445,431.3,464.2,482.1,466.4,450.3,501.4,509.1,506.9,493.4,536,542.8,543.8,537.2,569.6,580.8,576,565.8,605.4
"31","21","Less: Coverage differences","M318201",4.3,4.9,3.6,3.3,3.5,0,2.5,3.1,2.2,0.7,1.2,1.5,1.1,-0.1,1.3,2,1.1,0.2,-0.9,0.8,1.3,-1.7,1.1,-0.1,1.1,-3.6,4.5,2.9,1.7,-2,7.5,5.3,2.7,-2.9,6.6,7.3,3.5,4.8,-1.3,9.4,7.2,3.4,2.2,11.3,9.6,5.1,-1.4,10.7,11.1,10.2,-2.5,9.8,13.3,8.2,-6.9,12.6,14,7.8,-4.4,14.1,16.1,1.4,-10.8,13.1,11.8,8.7,-2.4,12,18.3,11.7,2.8,9.6,19.4,4.2,4.8,1.8,17.5,6.7,1,-2.9,18.7,11,5.4,2.6,16.6,9.3,11.4,1.7,23.4,34.2,15.1,11.9,22.4,20.1,41.1,-11.9,30.7,7.6,-8.6,-11.1,17.9,-7.2,-13.4,-7.1,5.2,1.5,-6.4,-10.4,13.3,-6.6,-12.9,-13.4,15.7,-5.1,-2.8,-18.1,12.7,-14.2,-8.5,-12.6,13.8,-7.8,-3.5,-7.8,18.6,-6.7,-9,0.5,13.8,-1.2,-11.1,-8.4,21.7,-4.3,-11.2,-2.1,26.1,3.6,-11.2,-4,32.2,-2.3,0.3,-3.7,29.4,12.8,-2,1.6
"32","22","        Geographic \6\","M318211",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.5,1.4,1.5,1.5,1.5,1.5,1.6,1.8,1.8,1.8,1.8,2.2,1.6,1.6,1.7,1.6,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.9,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.5,2.4,2.4,2.4,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.9,2.8,2.9,2.9,3,2.9,3.1,3,3,2.9,2.9,3,3
"33","23","        Federal employee retirement plan transactions \2\","M318221",0.7,0.4,0.8,0.4,0.8,0.6,0.8,0.6,1,0.2,1.1,0.8,1,0,0.9,0.8,1.4,0.1,1,1,1.7,-0.2,1.9,1.3,2.1,-1.1,2.4,1.7,2.6,-2.1,3,2.1,3.2,-2.8,3.5,2.2,3.6,2.3,-3.7,2.6,4.1,2.9,-3.7,3,4.7,3,-4.5,3.2,5.5,3.7,-5.9,4,6.7,4.3,-7.4,3.7,7.3,4.1,-7.6,3.7,7.9,3.5,-8.1,3.2,8.5,3,-7.9,-13.2,4.8,-2.5,-13.1,-14.2,4.6,-3.5,-13.1,-14.5,3.6,-3.8,-12.1,-15.4,5.6,-5.4,-12.1,-16.1,6.1,-6.5,-12.1,-16.9,7.5,-6,-13.1,-18,8.4,-7.9,-13.2,-19.2,8.2,-7.8,-13.8,-20.4,9.7,-8.1,-13.3,-20,9.8,-7.9,-12.4,-20,11.1,-7.9,-11.9,-18.2,11.4,-8,-12,-23.2,12,-7.4,-13,-23.3,12.4,-7.7,-12.7,-24.6,12.5,-7.7,-12.3,-23.6,12.4,-8.3,-12.1,-24.9,13.7,-8.5,-11.7,-26,13.9,-9,-12.8,-26.3,13.2,-9.6,-9.7,-25.7,13.4,-7.3,-13.3,-30.2
"34","24","          Interest received","M318231",0,-0.3,0,-0.4,0,-0.4,0,-0.4,0,-0.7,0,-0.4,-0.1,-0.6,-0.1,-0.7,-0.1,-0.7,-0.1,-0.7,-0.1,-0.7,-0.1,-0.8,-0.1,-0.8,-0.1,-1,-0.1,-1,-0.1,-1.2,-0.1,-1.2,-0.1,-1.4,-0.1,-1.3,-0.1,-1.5,-0.1,-1.4,-0.2,-1.7,-0.1,-2,-0.1,-2.2,-0.1,-2.4,-0.1,-2.7,-0.1,-2.9,-0.1,-3.5,-0.1,-3.9,-0.1,-4.3,-0.1,-4.8,-0.1,-5.2,-0.1,-5.6,-0.1,-6.8,-0.1,-7.2,0,-8.4,-0.3,-8.3,-0.4,-9.1,-1.1,-8.9,-0.2,-10.4,-0.2,-11.3,-0.2,-12,-0.2,-12.7,-0.2,-13.2,-0.6,-13.1,-1.1,-14.6,-0.2,-15.6,-0.2,-16,-0.5,-16.5,-0.2,-17.3,-0.2,-17.9,-0.1,-18.1,-0.1,-18.6,-0.1,-19.5,-0.3,-19.6,-0.3,-19.7,-0.6,-20.3,-0.8,-20.4,-1.1,-20.5,-1.1,-20.9,-1.4,-21.2,-1.3,-22.6,-1.4,-21.4,-1.4,-21.9,-1.5,-22.3,-0.9,-23.4,-1.2,-23.4,-1.2,-23.5,-1,-23.8,-1.7,-22.7,-1.4,-23.4,-1.5,-22.1,-1.1,-22.1,-2.1,-22.5
"35","25","          Contributions received (employer)","M318241",-0.3,-0.3,-0.4,-0.5,-0.4,-0.3,-0.5,-0.4,-0.4,-0.6,-0.4,-0.5,-0.6,-1.1,-0.9,-0.5,-0.5,-1.2,-1.1,-0.5,-0.6,-1.8,-0.6,-0.5,-0.6,-3.1,-0.6,-0.6,-0.8,-4.7,-0.7,-0.7,-0.7,-5.9,-0.7,-0.7,-0.7,-1,-8.4,-0.8,-0.8,-0.8,-8.8,-0.8,-0.8,-0.8,-10.4,-1,-0.9,-0.9,-13,-1,-1,-0.9,-15.5,-1.2,-1,-1,-16.6,-1.2,-1.1,-1.1,-17.6,-1.3,-1.1,-1.1,-17.7,-14.8,-5.4,-5.6,-23.5,-16.3,-5.6,-5.9,-23.4,-16.2,-6.3,-6.3,-23.5,-16.5,-6.2,-6.4,-24.1,-16.1,-6.4,-6.6,-24.8,-16.6,-5.7,-6.5,-25.7,-17.1,-6.4,-6.9,-27.4,-17.5,-6.5,-6.5,-28.5,-18.1,-5.6,-5.8,-28.8,-17.6,-5.9,-5.6,-28.8,-17.1,-5.6,-5.6,-29,-16,-5.4,-5.5,-29,-20.8,-5.4,-5.5,-30.4,-20.8,-5.3,-5.6,-30.4,-21,-5.4,-5.7,-30.5,-21.4,-6,-6.1,-31.2,-22.1,-6.3,-6.2,-31.6,-23.6,-6.7,-6.9,-32.8,-26.5,-9,-9.6,-31.6,-27.7,-10,-9.7,-35.7,-33.2
"36","26","          Benefits paid","M318251",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.9,1.9,1.9,2,2.2,2.2,2.3,2.3,2.6,2.7,2.8,2.9,3.1,3.2,3.5,3.6,3.7,3.9,3.9,4.2,4.3,4.3,4.4,4.6,4.7,4.9,5,5.1,5.2,5.5,5.6,5.8,6,6.4,6.5,6.9,7.1,7.6,7.8,8.1,8.2,8.4,8.4,9,9.1,9.1,9.1,9.4,9.6,9.6,9.7,9.8,9.8,8.5,10.2,10.3,10.4,10.5,10.5,10.6,10.7,10.8,11,11.4,11.5,11.4,12.1,12.4,12.2,12.1,12.7,12.9,12.9,12.9,13.7,13.6,13.6,13.6,15,14.6,14.5,14.3,15.2,15.1,14.9,15,15.5,15.6,15.7,15.7,15.8,16.2,16.4,16.5,17,17.3,17.3,17.5,17.3,17.9,17.8,17.9,18.4,18.6,18.5,18.5,19,19,19,19,19.3,19.4,19.6,19.7,19.9,20,20,20.5,21.1,21,21.1,21.1,21.5,21.7,21.7,22.8,23.7,23.3,23.3,24.1,24.4,24.4,24.5,25.4
"37","27","          Administrative expenses","M318261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"38","28","        Financing disbursements from credit programs \7\","M318271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-0.3,-0.3,-0.3,0.3,0.3,0.3,0.3,-0.6,-0.6,-0.6,-0.6,-1.1,-1.1,-1.1,-1.1,-2.9,-2.9,-2.9,-2.9,-5.2,-5.2,-5.2,-5.2,-2.8,-2.8,-2.8,-2.8,-3.8,-3.8,-3.8,-3.8,-4.3,-4.3,-4.3,-4.3,-5.8,-5.8,-5.8,-5.8,-3.9,-3.9,-3.9,-3.9,-1.8,-1.8,-1.8,-1.8,0.7,0.7,0.7,0.7,-0.3
"39","29","        Other differences in funds covered \8\","M318281",-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.8,-0.9,-0.9,-1,-1,-0.9,-1.2,-1.1,-2.4,-1.1,-1.4,-1.4,-1.1,-2.3,-2.4,-2.8,-2,-2.6,-6.9,-4.2,-2.7,-4.4,-6.4,-2.7,-3.9,-1.6,-6.3,-2.1,-7.2,-3.5,-5.9,-4.6,-5.5,-2.6,-5.5,-7.7,-6.8,-3.8,-6.7,-7.7,-7.9,-5.4,-9.7,-9,-10.4,-7,-5.8,-9.5,-9.8,-5,-5.4,-8.4,-9.4,-3.2,-6.3,-7.9,-9,1.1,-2.8,-4.4,-2.5,0.1,0.1,-1.9,-0.8,-1.5,0,0,0,0,0,-0.1,-0.2,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,0.8,-0.1,-0.1,-0.4,0.9,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.6,0.9,0.9,1.4,1.3,0.6,-0.7,1.3,0.9,1.1,1.1,1.2,1,1.2,1.2,1.6,1,1.4,4.4,1.5,1.6,1.6,-1.6,1.5
"40","30","        Net investment \9\","M318291",0.5,0.4,0.3,0,0.4,-0.2,-0.1,-0.6,-0.2,-0.3,-0.5,-0.3,-1.2,-1.2,-1,-1.5,-1.3,-0.8,-1.4,-1.1,-0.5,-0.6,-1.2,-1.1,-0.7,-0.2,-0.4,-0.3,-0.3,-0.5,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.6,0.8,0,-0.1,0.5,1.1,1,0.6,0.8,2.2,1.1,1.6,1.4,1.8,1.4,1.3,1.9,2.8,2.1,1.6,2.6,2.9,2.7,3,3.4,4.8,4.4,4.4,4.6,4.9,5.9,5,6.1,8.2,7,5.7,6.4,9,7.6,6.5,7.7,8.8,7.5,4.9,5,5.5,5.2,4.5,4.7,6.1,4.2,4.6,5.5,6.3,4.3,3.4,5.1,5,2.5,2.7,3.5,4.6,3.2,1.5,1.5,1.9,0.5,-1.4,-0.9,1.7,-1.3,-0.4,-0.6,0.2,-2.2,0.5,0,0.8,-2.2,-3.9,-2.6,-0.5,-2.2,-3.6,-2.3,0.5,-1.5,-3,-1.1,0,0.1,-3,-1.7,-1.4,-1.6,-3.3,-1.7,-1.2,-1,-2.3,-0.1,1.9,-0.3,-1.7,1,2.9,0.4,1.3,1.3,3.2,2.3
"41","31","        Capital transfers paid \10\","M318301",1.2,1.2,1.8,1.8,1.3,1.3,1.6,1.7,1.2,1.2,1.4,1.5,1.1,1.5,1.6,1.7,1.2,1.3,1.9,1.7,1.2,1.5,1.4,1.8,1.8,2.1,1.7,2.3,2.1,2.1,2.6,2.8,2.2,2.3,2.9,3.2,2.3,2.5,3.4,3,2.4,2.6,3.3,3.6,2.9,3,4,4.5,3.3,3.8,4.4,5.1,3.5,3.8,4.2,4.2,2.9,3.6,4.1,4,3.3,3.4,4.5,4.3,3.4,4.1,5.1,5.1,3.3,4.6,5.7,5.7,3.9,5,6.2,4.9,3.8,4.7,5.4,5,3.9,4.7,5.9,5.2,4.2,4.7,5.4,5.5,4.5,4.8,5.9,5.7,4.6,5.1,6,5.5,4.5,5.4,6.4,6.1,4.7,5.3,7.2,6.8,5,5.7,7.3,6.9,6,6.7,7.7,6.9,6.3,6.7,7.8,7.5,6.1,7,8.4,7.5,5.8,6.6,8.4,8,5.8,7.7,9.7,8.7,7.5,8.6,10.3,9.8,8.3,9.9,11.8,10.7,10.1,10.8,12.5,11.3,8.4,11.6,14.2,11.4,9.4,10.5,15,11.4
"42","32","        Financial transactions","M318311",2.9,3,0.9,1.5,0.9,-0.1,0.8,1.9,0.6,0.3,0,0.4,1.4,0.5,0.5,1.8,0.9,0.3,0.4,0.8,1.6,-1.6,1.2,0.4,1.2,2.1,2.5,2.7,4,2.2,3.9,3.9,2.8,0.4,4.2,2.9,2.9,1,5.6,7.1,5.8,1.9,5.9,5.4,6.5,4.9,3.2,6,6.9,7.9,4.3,6.6,10.6,7.5,6.1,9.3,8,6.3,5.2,10.1,6.2,1.9,-2.5,3.2,1.2,5.2,4.2,12.4,6.4,6.7,4.1,9.6,3.7,-1.3,2.1,5.1,2.2,-3.2,-2.3,-1.1,2.9,4.7,5.5,7.1,0.4,5.2,10.6,7.4,5.2,28.5,14.8,17.9,4.5,16.1,41.6,-2.1,13.9,5,-7.3,-2.2,0.1,-7.8,-11.2,4.4,-9.4,3.7,-4.6,3.2,-4.2,-4.8,-3.6,1.1,-1.2,-2.5,0.4,6.4,1.7,-1.5,-0.1,6.3,0.5,-1.4,1.7,12,4.7,-4.8,-5.8,15.7,-2.8,1.7,-5.5,10.3,6.3,-1.6,-8.7,13.9,4.4,1.6,-13.3,8.6,11,-7.8,-13.5,5,0,3.2,-9.3,14.1
"43","33","          Loan disbursements less loan repayments and sales","M318321",2.6,2.8,0.9,1.6,0.9,-0.2,0.8,1.9,0.6,0.3,0,0.5,1.5,0.4,0.5,1.8,0.8,0.1,0.5,0.8,1.6,-1.7,1.2,0.4,1.2,2,2.6,2.6,4.2,2.3,3.9,3.8,2.8,0.4,4.1,2.9,3,1.1,5.7,7.1,5.9,2,6.2,5.5,6.4,4.9,3.4,6.1,7.2,7.8,4.6,6.6,10.6,6.3,6,8.7,8.2,5.1,4.9,9.1,4.1,4.3,2.1,3.8,1.5,7.3,2.9,9.2,5.4,8.8,2.7,2.8,3.1,3.2,3.4,0.6,0.2,2.8,-3.7,0.7,0.1,1.6,-2.3,8.8,4.3,4.2,-5.1,1,1.1,2.5,1,3.6,2.7,1.3,5.3,2.7,2.6,0.8,-1.5,3.2,3.3,-0.2,0.6,2.7,-2.7,1.6,0.7,4,4.1,3.6,3.1,3.1,5.3,2.7,1.5,5.5,6.9,5.7,2.4,2,3,3.3,4.6,7.2,6.8,3.5,2.2,6,1.2,8.2,-5.8,8.4,9,5,-7.1,6.1,5.4,7.8,-7.1,3.2,9.7,0.4,-11.3,0.4,2.6,7.4,-5.1,2.8
"44","34","          Deposit insurance","B1069C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.4,-0.3,0.8,0.3,0.9,0.3,-0.2,0.5,0.4,1.5,-1.3,1.7,-0.3,0.6,-0.3,0.7,-1.4,-0.2,-1.6,-0.6,-0.6,-0.3,-1.1,0.3,-2,1.3,1.5,0.8,1.3,0,3.4,19.2,6.8,6.2,28.4,16.5,15.5,2.2,15,36.9,-4.4,11.5,4.1,-5.7,-6.7,-4.6,-5.8,-5.8,1.2,-5.1,4.2,-2.3,-3.4,-5.4,-4.6,-1.4,-2.7,-2.5,-1.4,-1,-2,-3.7,-2.6,-1.5,-0.7,-0.8,-0.5,-1.1,-1.7,-0.2,-0.7,-0.6,-0.1,-1.6,-0.3,-0.1,-0.4,-0.4,-0.2,0.2,0.5,0.8,0,-0.7,-0.3,1.3,-0.4,0.3,0.1,0,0.1,0.1,0.5
"45","35","          Net purchases of foreign currency","M318341",0.3,0.2,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
