"","Table 5#8#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"37","17","    Durable goods industries","N241RC1",".....",".....",".....","603,417.0","607,677.0","614,955.0","617,762.0","625,059.0","635,827.0","637,174.0","639,720.0","643,207.0","653,377.0","657,011.0","666,414.0","684,758.0","692,713.0","705,945.0","714,518.0","720,501.0","708,220.0","698,372.0","686,840.0","664,937.0","665,625.0","669,811.0","672,597.0","679,939.0","687,721.0","687,348.0","684,075.0","695,686.0","715,374.0","737,435.0","759,676.0","773,593.0","794,889.0","796,118.0","806,737.0","828,000.0","847,072.0","872,174.0","889,344.0","894,928.0","904,229.0","911,043.0","911,988.0","924,698.0","943,824.0","960,276.0","958,996.0","908,179.0","860,266.0","825,407.0","803,102.0","799,718.0","816,523.0","829,657.0","847,827.0","865,539.0","894,187.0","916,356.0","925,995.0","931,752.0","935,424.0","955,708.0","976,407.0","991,296.0","996,527.0","997,206.0","1,014,095.0","1,035,059.0","1,050,834.0","1,067,836.0","1,085,455.0","1,090,314.0","1,120,413.0","1,131,021.0","1,129,854.0"
"38","18","    Nondurable goods industries","N242RC1",".....",".....",".....","681,249.0","686,248.0","690,174.0","697,344.0","702,850.0","702,158.0","699,497.0","694,856.0","699,110.0","706,701.0","716,951.0","731,153.0","748,681.0","764,740.0","774,680.0","782,328.0","804,306.0","814,863.0","811,565.0","798,397.0","782,717.0","783,132.0","786,649.0","802,436.0","815,295.0","830,459.0","825,259.0","846,075.0","860,930.0","879,023.0","899,144.0","905,481.0","924,345.0","950,103.0","954,613.0","985,411.0","1,014,344.0","1,010,127.0","1,028,245.0","1,044,786.0","1,058,424.0","1,089,583.0","1,111,871.0","1,138,847.0","1,194,266.0","1,250,649.0","1,325,100.0","1,292,792.0","1,141,926.0","1,113,773.0","1,108,003.0","1,095,947.0","1,127,458.0","1,158,695.0","1,149,690.0","1,194,308.0","1,264,006.0","1,335,423.0","1,357,609.0","1,353,266.0","1,369,174.0","1,373,415.0","1,352,333.0","1,392,622.0","1,398,061.0","1,403,732.0","1,399,425.0","1,398,825.0","1,404,913.0","1,444,226.0","1,450,119.0","1,435,811.0","1,410,755.0","1,380,543.0","1,399,525.0","1,381,769.0"
"39","19","  Nonfarm industries","A373RC1",".....",".....",".....","1,148,115.0","1,155,482.0","1,167,025.0","1,176,730.0","1,191,013.0","1,203,948.0","1,208,622.0","1,212,752.0","1,221,805.0","1,236,998.0","1,251,534.0","1,276,096.0","1,309,133.0","1,330,776.0","1,355,386.0","1,374,937.0","1,392,688.0","1,386,893.0","1,375,571.0","1,355,074.0","1,321,482.0","1,320,595.0","1,330,857.0","1,346,352.0","1,359,316.0","1,382,142.0","1,375,832.0","1,380,165.0","1,405,598.0","1,437,754.0","1,472,748.0","1,508,334.0","1,540,768.0","1,584,918.0","1,594,004.0","1,631,347.0","1,677,081.0","1,699,259.0","1,743,015.0","1,768,865.0","1,788,162.0","1,816,715.0","1,847,723.0","1,867,660.0","1,930,484.0","1,995,391.0","2,070,850.0","2,044,586.0","1,864,539.0","1,792,969.0","1,757,430.0","1,727,791.0","1,753,765.0","1,792,646.0","1,798,612.0","1,851,644.0","1,920,495.0","1,997,403.0","2,041,744.0","2,039,796.0","2,052,884.0","2,060,518.0","2,063,425.0","2,122,955.0","2,147,301.0","2,159,873.0","2,159,622.0","2,179,053.0","2,202,519.0","2,241,238.0","2,264,195.0","2,267,311.0","2,242,881.0","2,258,377.0","2,291,237.0","2,275,083.0"
"40","20","  Wholesale trade","N379RC1",".....",".....",".....","285,111.0","289,445.0","294,712.0","297,442.0","302,950.0","306,918.0","306,834.0","309,233.0","312,170.0","316,181.0","318,798.0","326,225.0","334,847.0","342,203.0","348,252.0","351,243.0","357,698.0","353,881.0","350,980.0","343,449.0","335,714.0","334,816.0","337,757.0","344,234.0","343,398.0","345,671.0","342,333.0","345,060.0","355,012.0","364,637.0","372,489.0","383,702.0","393,448.0","409,266.0","414,647.0","425,977.0","437,952.0","447,275.0","463,431.0","471,729.0","480,782.0","492,090.0","498,478.0","509,256.0","532,719.0","555,491.0","582,044.0","580,423.0","534,863.0","509,462.0","494,720.0","480,938.0","491,763.0","498,391.0","501,862.0","525,962.0","554,659.0","576,219.0","596,325.0","595,085.0","603,182.0","611,486.0","611,626.0","637,547.0","640,641.0","644,446.0","642,198.0","645,572.0","657,856.0","670,231.0","679,317.0","680,700.0","678,334.0","677,771.0","693,607.0","686,140.0"
"41","21","    Merchant wholesale trade","N802RC1",".....",".....",".....","242,395.0","246,541.0","251,990.0","254,611.0","259,338.0","263,579.0","264,077.0","266,746.0","269,436.0","273,107.0","274,335.0","280,262.0","287,571.0","293,244.0","297,924.0","299,548.0","305,173.0","302,978.0","301,353.0","296,541.0","291,053.0","290,632.0","292,705.0","298,444.0","297,523.0","299,086.0","297,219.0","299,610.0","308,053.0","316,537.0","322,813.0","331,692.0","340,624.0","351,775.0","355,780.0","363,562.0","372,518.0","379,278.0","392,929.0","400,678.0","407,793.0","416,060.0","420,478.0","428,459.0","445,792.0","458,445.0","475,714.0","476,152.0","443,534.0","424,924.0","412,166.0","399,827.0","409,203.0","413,155.0","416,664.0","437,607.0","460,439.0","475,844.0","491,821.0","490,566.0","496,543.0","503,697.0","506,686.0","526,994.0","529,737.0","533,688.0","532,424.0","534,906.0","545,393.0","559,841.0","568,779.0","573,029.0","578,290.0","580,474.0","593,453.0","589,319.0"
"42","22","      Durable goods industries","N803RC1",".....",".....",".....","152,925.0","155,642.0","160,508.0","161,341.0","163,670.0","167,317.0","167,651.0","170,577.0","171,856.0","174,479.0","176,184.0","178,520.0","183,575.0","185,742.0","190,154.0","190,721.0","192,178.0","189,754.0","184,742.0","180,017.0","175,210.0","173,291.0","173,596.0","175,222.0","173,463.0","175,027.0","174,864.0","174,448.0","178,208.0","185,111.0","191,649.0","200,398.0","206,295.0","212,764.0","215,965.0","218,656.0","225,883.0","231,129.0","241,257.0","247,217.0","250,409.0","255,137.0","255,261.0","255,231.0","259,574.0","267,437.0","275,696.0","280,461.0","267,379.0","250,000.0","236,838.0","229,076.0","226,233.0","230,566.0","232,087.0","238,515.0","246,847.0","253,625.0","263,323.0","268,885.0","272,139.0","278,025.0","283,016.0","288,102.0","294,123.0","297,811.0","296,100.0","301,448.0","308,708.0","314,138.0","321,764.0","329,553.0","331,559.0","335,614.0","338,348.0","338,224.0"
"43","23","      Nondurable goods industries","N804RC1",".....",".....",".....","89,470.0","90,899.0","91,482.0","93,270.0","95,668.0","96,262.0","96,426.0","96,169.0","97,580.0","98,628.0","98,151.0","101,742.0","103,996.0","107,502.0","107,770.0","108,827.0","112,995.0","113,224.0","116,611.0","116,524.0","115,843.0","117,341.0","119,109.0","123,222.0","124,060.0","124,059.0","122,355.0","125,162.0","129,845.0","131,426.0","131,164.0","131,294.0","134,329.0","139,011.0","139,815.0","144,906.0","146,635.0","148,149.0","151,672.0","153,461.0","157,384.0","160,923.0","165,217.0","173,228.0","186,218.0","191,008.0","200,018.0","195,691.0","176,155.0","174,924.0","175,328.0","170,751.0","182,970.0","182,589.0","184,577.0","199,092.0","213,592.0","222,219.0","228,498.0","221,681.0","224,404.0","225,672.0","223,670.0","238,892.0","235,614.0","235,877.0","236,324.0","233,458.0","236,685.0","245,703.0","247,015.0","243,476.0","246,731.0","244,860.0","255,105.0","251,095.0"
"44","24","    Nonmerchant wholesale trade","N805RC1",".....",".....",".....","42,716.0","42,904.0","42,722.0","42,831.0","43,612.0","43,339.0","42,757.0","42,487.0","42,734.0","43,074.0","44,463.0","45,963.0","47,276.0","48,959.0","50,328.0","51,695.0","52,525.0","50,903.0","49,627.0","46,908.0","44,661.0","44,184.0","45,052.0","45,790.0","45,875.0","46,585.0","45,114.0","45,450.0","46,959.0","48,100.0","49,676.0","52,010.0","52,824.0","57,491.0","58,867.0","62,415.0","65,434.0","67,997.0","70,502.0","71,051.0","72,989.0","76,030.0","78,000.0","80,797.0","86,927.0","97,046.0","106,330.0","104,271.0","91,329.0","84,538.0","82,554.0","81,111.0","82,560.0","85,236.0","85,198.0","88,355.0","94,220.0","100,375.0","104,504.0","104,519.0","106,639.0","107,789.0","104,940.0","110,553.0","110,904.0","110,758.0","109,774.0","110,666.0","112,463.0","110,390.0","110,538.0","107,671.0","100,044.0","97,297.0","100,154.0","96,821.0"
"45","25","    Final sales of domestic business \2\","A809RC1",".....",".....",".....","483,601.0","489,942.0","495,954.0","507,244.0","511,300.0","516,011.0","526,425.0","534,323.0","545,403.0","550,756.0","559,997.0","568,652.0","577,949.0","589,165.0","598,819.0","604,807.0","610,506.0","615,384.0","620,111.0","617,876.0","623,728.0","622,917.0","625,642.0","629,877.0","630,743.0","636,491.0","646,295.0","664,504.0","673,097.0","681,387.0","690,129.0","701,090.0","713,442.0","725,857.0","741,133.0","755,335.0","760,544.0","777,539.0","785,592.0","790,707.0","803,326.0","814,209.0","823,806.0","831,285.0","837,883.0","832,924.0","839,995.0","834,759.0","812,695.0","805,829.0","800,293.0","802,344.0","801,375.0","804,971.0","815,583.0","821,646.0","840,730.0","844,360.0","855,624.0","870,159.0","879,227.0","892,882.0","902,875.0","910,826.0","919,570.0","929,959.0","935,202.0","946,019.0","963,776.0","967,004.0","983,892.0","1,000,516.0","1,007,793.0","1,006,565.0","1,025,491.0","1,037,179.0"
"46","26","    Final sales of goods and structures of domestic business \2\","A810RC1",".....",".....",".....","292,416.0","296,430.0","299,652.0","307,473.0","308,543.0","310,404.0","316,700.0","322,732.0","331,374.0","333,205.0","339,884.0","344,055.0","348,728.0","354,582.0","359,955.0","362,721.0","363,988.0","365,401.0","369,536.0","367,583.0","371,897.0","368,276.0","366,843.0","368,516.0","366,316.0","369,584.0","375,009.0","389,527.0","394,610.0","396,760.0","401,969.0","408,705.0","415,264.0","422,558.0","432,460.0","441,169.0","440,205.0","453,682.0","456,124.0","456,883.0","462,939.0","466,307.0","471,746.0","473,516.0","474,871.0","467,618.0","469,954.0","465,203.0","446,151.0","442,853.0","439,589.0","440,222.0","435,668.0","434,805.0","440,050.0","441,535.0","454,570.0","453,384.0","459,987.0","470,349.0","476,775.0","486,629.0","493,281.0","499,452.0","504,115.0","510,323.0","512,012.0","518,889.0","528,409.0","526,910.0","537,781.0","548,733.0","548,076.0","541,414.0","554,284.0","560,411.0"
"47",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","27","    Private inventories to final sales","A811RC2",".....",".....",".....","2.66","2.64","2.63","2.59","2.60","2.59","2.54","2.50","2.46","2.47","2.45","2.46","2.48","2.47","2.47","2.47","2.50","2.48","2.43","2.40","2.32","2.33","2.33","2.34","2.37","2.39","2.34","2.30","2.31","2.34","2.37","2.38","2.38","2.40","2.36","2.37","2.42","2.39","2.42","2.45","2.43","2.45","2.46","2.47","2.53","2.63","2.72","2.70","2.52","2.45","2.42","2.37","2.40","2.45","2.43","2.49","2.53","2.64","2.66","2.62","2.62","2.59","2.56","2.60","2.60","2.58","2.56","2.55","2.53","2.58","2.56","2.52","2.48","2.48","2.47","2.42"
"49","28","    Nonfarm inventories to final sales","A812RC2",".....",".....",".....","2.37","2.36","2.35","2.32","2.33","2.33","2.30","2.27","2.24","2.25","2.23","2.24","2.27","2.26","2.26","2.27","2.28","2.25","2.22","2.19","2.12","2.12","2.13","2.14","2.16","2.17","2.13","2.08","2.09","2.11","2.13","2.15","2.16","2.18","2.15","2.16","2.21","2.19","2.22","2.24","2.23","2.23","2.24","2.25","2.30","2.40","2.47","2.45","2.29","2.22","2.20","2.15","2.19","2.23","2.21","2.25","2.28","2.37","2.39","2.34","2.33","2.31","2.29","2.33","2.34","2.32","2.31","2.30","2.29","2.32","2.30","2.27","2.23","2.24","2.23","2.19"
"50","29","    Nonfarm inventories to final sales of goods and structures","A813RC2",".....",".....",".....","3.93","3.90","3.89","3.83","3.86","3.88","3.82","3.76","3.69","3.71","3.68","3.71","3.75","3.75","3.77","3.79","3.83","3.80","3.72","3.69","3.55","3.59","3.63","3.65","3.71","3.74","3.67","3.54","3.56","3.62","3.66","3.69","3.71","3.75","3.69","3.70","3.81","3.75","3.82","3.87","3.86","3.90","3.92","3.94","4.07","4.27","4.41","4.40","4.18","4.05","4.00","3.92","4.03","4.12","4.09","4.19","4.22","4.41","4.44","4.34","4.31","4.23","4.18","4.25","4.26","4.23","4.22","4.20","4.17","4.25","4.21","4.13","4.09","4.17","4.13","4.06"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Inventories are as of the end of the quarter. The quarter-to-quarter change in inventories calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","from current-dollar inventories in this table is not the current-dollar change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","component of GDP. The former is the difference between two inventory stocks, each valued at its respective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","end-of-quarter prices. The latter is the change in the physical volume of inventories valued at average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","prices of the quarter. In addition, changes calculated from this table are at quarterly rates, whereas,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","the change in private inventories is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Quarterly totals at monthly rates. Final sales of domestic business equals final sales of domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","product less gross output of general government, gross value added of nonprofit institutions, compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","paid to domestic workers, and imputed rental of owner-occupied nonfarm housing. It includes a small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
