"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"43","24","    To persons","A063RC1","57,184.0","58,180.0","59,528.0","61,000.0","62,980.0","73,112.0","73,500.0","77,356.0","79,348.0","86,928.0","86,872.0","88,500.0","91,432.0","91,860.0","92,852.0","103,088.0","105,428.0","107,588.0","109,232.0","112,264.0","117,544.0","125,376.0","132,240.0","139,064.0","149,756.0","164,644.0","167,728.0","170,408.0","174,719.0","173,051.0","180,075.0","182,727.0","185,496.0","186,416.0","191,704.0","194,312.0","197,700.0","198,952.0","207,144.0","209,912.0","214,871.0","219,195.0","234,595.0","240,675.0","251,229.0","256,225.0","287,853.0","290,685.0","296,119.0","298,963.0","316,987.0","319,167.0","324,265.0","333,233.0","349,665.0","365,153.0","367,954.0","373,738.0","368,510.0","371,794.0","376,284.0","379,016.0","380,432.0","387,904.0","398,094.0","400,474.0","405,606.0","408,274.0","419,897.0","425,617.0","433,069.0","435,845.0","441,861.0","447,533.0","449,449.0","452,809.0","470,329.0","473,417.0","478,849.0","484,861.0","508,175.0","515,671.0","524,683.0","535,751.0","556,212.0","567,520.0","578,132.0","596,832.0","622,484.0","643,468.0","653,752.0","682,324.0","710,499.0","729,131.0","741,327.0","746,043.0","766,502.0","771,682.0","786,278.0","791,278.0","805,336.0","810,068.0","813,628.0","833,800.0","857,940.0","865,620.0","870,744.0","864,604.0","893,239.0","912,859.0","908,543.0","910,659.0","930,508.0","931,268.0","937,220.0","942,676.0","951,841.0","955,981.0","957,393.0","966,445.0","983,370.0","985,006.0","996,118.0","1,004,314.0","1,016,905.0","1,042,261.0","1,054,713.0","1,065,625.0","1,107,772.0","1,139,088.0","1,145,216.0","1,191,244.0","1,220,840.0","1,246,455.0","1,259,297.0","1,275,349.0","1,294,060.0","1,312,422.0","1,336,167.0","1,341,604.0","1,381,187.0","1,400,879.0","1,408,826.0","1,427,341.0","1,465,751.0","1,486,581.0","1,500,293.0","1,511,453.0","1,567,199.0","1,583,994.0","1,608,479.0","1,612,783.0","1,680,229.0","1,678,718.0","1,700,666.0","1,730,313.0","1,768,846.0","2,111,718.0","1,906,203.0","1,893,046.0","2,001,956.0","2,139,295.0","2,139,373.0","2,154,736.0","2,260,531.0","2,266,775.0","2,292,909.0","2,306,745.0","2,314,621.0","2,310,713.0","2,302,679.0","2,312,865.0","2,297,696.0","2,321,265.0","2,327,055.0","2,348,377.0","2,365,196.0","2,374,878.0","2,396,993.0","2,404,836.0","2,434,196.0","2,471,135.0","2,514,446.0","2,528,939.0","2,583,402.0","2,608,425.0","2,632,127.0"
"44","25","    To the rest of the world \5\","W016RC1","556.0","576.0","596.0","612.0","636.0","736.0","756.0","756.0","760.0","832.0","820.0","832.0","916.0","948.0","900.0","1,096.0","1,132.0","1,144.0","1,168.0","1,188.0","952.0","1,320.0","1,464.0","1,552.0","1,808.0","1,948.0","2,040.0","2,152.0","2,368.0","2,460.0","2,560.0","2,572.0","2,508.0","2,508.0","2,648.0","2,652.0","2,656.0","2,696.0","2,764.0","2,852.0","2,848.0","2,992.0","3,140.0","3,216.0","3,260.0","3,412.0","3,664.0","3,836.0","4,056.0","4,188.0","4,444.0","4,464.0","4,020.0","4,240.0","4,136.0","4,016.0","3,708.0","3,636.0","3,572.0","3,584.0","3,532.0","3,680.0","3,656.0","3,824.0","3,976.0","3,972.0","4,064.0","4,100.0","4,324.0","4,292.0","4,148.0","4,828.0","4,232.0","4,216.0","4,324.0","4,348.0","4,476.0","4,548.0","4,608.0","4,688.0","4,856.0","4,884.0","5,308.0","5,480.0","5,952.0","6,220.0","6,312.0","6,172.0","6,112.0","5,984.0","5,932.0","7,060.0","5,688.0","6,956.0","6,316.0","5,940.0","5,652.0","6,336.0","6,384.0","6,424.0","6,640.0","6,724.0","6,812.0","7,128.0","6,116.0","6,980.0","7,000.0","7,076.0","7,632.0","7,492.0","7,600.0","7,572.0","7,784.0","7,964.0","7,776.0","7,876.0","8,188.0","8,288.0","8,132.0","8,224.0","8,436.0","8,492.0","8,584.0","8,600.0","8,504.0","8,688.0","8,736.0","8,744.0","9,368.0","9,340.0","9,504.0","9,540.0","9,560.0","9,656.0","9,700.0","9,696.0","9,964.0","10,064.0","10,116.0","10,216.0","10,532.0","10,568.0","10,592.0","10,916.0","11,088.0","11,172.0","11,304.0","11,376.0","12,256.0","12,372.0","12,408.0","12,672.0","13,152.0","13,340.0","13,424.0","13,348.0","13,708.0","19,484.0","14,132.0","14,580.0","15,336.0","16,820.0","15,872.0","16,036.0","16,268.0","16,468.0","16,644.0","16,688.0","16,988.0","17,072.0","17,116.0","17,136.0","17,679.0","17,902.0","18,057.0","18,163.0","18,552.0","18,799.0","18,972.0","18,996.0","19,328.0","19,444.0","19,519.0","19,584.0","19,811.0","20,129.0","20,493.0"
"45","26","  Other current transfer payments to the rest of the world \3,5\","W017RC1","3,648.0","5,316.0","4,072.0","5,148.0","4,244.0","4,932.0","5,092.0","5,004.0","5,696.0","5,860.0","5,564.0","6,928.0","7,792.0","6,644.0","7,976.0","6,296.0","4,960.0","6,600.0","5,780.0","4,224.0","4,652.0","8,524.0","5,360.0","5,444.0","7,100.0","9,064.0","3,560.0","4,816.0","3,436.0","3,940.0","7,296.0","3,464.0","3,816.0","4,664.0","4,540.0","3,968.0","4,872.0","5,064.0","4,964.0","5,068.0","5,300.0","5,648.0","5,748.0","6,688.0","7,860.0","5,740.0","6,544.0","9,176.0","6,156.0","6,272.0","7,316.0","6,904.0","8,188.0","6,896.0","7,504.0","9,976.0","6,480.0","7,524.0","8,912.0","12,808.0","8,504.0","8,748.0","11,616.0","15,996.0","11,440.0","12,864.0","14,872.0","15,892.0","10,748.0","15,428.0","16,248.0","14,368.0","10,860.0","11,528.0","11,384.0","17,088.0","11,820.0","10,576.0","12,244.0","18,136.0","12,340.0","10,640.0","14,012.0","17,196.0","13,308.0","17,588.0","15,548.0","7,672.0","-74,308.0","-29,600.0","-3,316.0","4,724.0","16,344.0","18,356.0","16,892.0","30,612.0","16,596.0","18,500.0","21,108.0","30,564.0","14,256.0","16,172.0","19,988.0","29,372.0","16,280.0","14,452.0","15,276.0","15,508.0","23,044.0","15,284.0","16,064.0","27,120.0","13,556.0","13,608.0","14,412.0","26,248.0","14,124.0","13,468.0","16,348.0","27,928.0","14,926.0","17,022.0","16,250.0","26,689.0","16,900.0","18,159.0","20,761.0","33,663.0","15,686.0","15,984.0","18,037.0","23,317.0","31,813.0","19,305.0","18,933.0","23,307.0","30,053.0","30,403.0","28,632.0","25,352.0","38,120.0","26,964.0","27,573.0","30,357.0","45,218.0","31,562.0","38,497.0","48,133.0","30,260.0","36,998.0","39,055.0","33,640.0","50,680.0","31,707.0","37,373.0","49,433.0","50,382.0","40,469.0","43,377.0","45,954.0","44,601.0","56,262.0","62,509.0","47,247.0","57,623.0","48,369.0","52,876.0","55,120.0","55,118.0","64,489.0","55,099.0","55,775.0","56,919.0","55,257.0","56,513.0","52,602.0","52,680.0","53,782.0","57,624.0","51,433.0","53,190.0","50,828.0","52,082.0","53,202.0","58,388.0","47,121.0","55,934.0"
"46","27","Interest payments \2\","A180RC1","31,911.0","33,108.0","34,486.0","36,598.0","38,714.0","40,376.0","42,120.0","42,882.0","43,538.0","43,939.0","45,015.0","46,084.0","47,083.0","48,151.0","49,196.0","50,453.0","52,666.0","54,598.0","56,474.0","58,088.0","59,452.0","61,240.0","63,370.0","64,723.0","66,276.0","68,092.0","70,088.0","72,321.0","74,136.0","75,469.0","77,045.0","79,143.0","80,513.0","82,743.0","85,253.0","89,396.0","94,228.0","98,009.0","102,171.0","106,069.0","110,192.0","113,123.0","116,086.0","120,349.0","126,898.0","132,450.0","133,944.0","139,246.0","153,729.0","158,252.0","165,540.0","173,354.0","178,987.0","184,388.0","190,743.0","193,325.0","196,617.0","202,180.0","210,203.0","216,876.0","224,649.0","231,105.0","242,397.0","249,884.0","253,766.0","259,771.0","262,367.0","268,098.0","273,018.0","275,781.0","277,060.0","278,247.0","280,284.0","282,657.0","286,781.0","293,647.0","297,666.0","298,683.0","304,182.0","311,428.0","323,609.0","331,579.0","334,700.0","337,988.0","342,155.0","346,325.0","354,757.0","360,234.0","365,551.0","370,717.0","372,881.0","378,483.0","378,822.0","381,587.0","381,970.0","379,729.0","384,080.0","384,376.0","384,350.0","381,890.0","380,010.0","387,589.0","395,850.0","406,968.0","420,184.0","429,154.0","432,899.0","433,548.0","433,180.0","429,700.0","432,727.0","433,749.0","433,962.0","436,128.0","437,108.0","436,089.0","432,718.0","429,479.0","426,336.0","419,474.0","412,731.0","411,682.0","407,432.0","408,024.0","407,035.0","406,629.0","404,533.0","405,118.0","405,709.0","399,994.0","393,949.0","387,035.0","377,224.0","385,962.0","388,374.0","396,601.0","400,663.0","406,836.0","410,222.0","413,581.0","413,616.0","410,370.0","418,652.0","423,606.0","430,677.0","452,849.0","455,706.0","485,654.0","472,244.0","494,790.0","511,373.0","491,372.0","514,032.0","552,834.0","533,005.0","519,155.0","515,718.0","520,152.0","542,150.0","481,964.0","476,157.0","560,470.0","570,084.0","562,783.0","553,907.0","577,833.0","573,036.0","586,043.0","597,497.0","645,186.0","611,868.0","610,947.0","611,158.0","627,426.0","598,120.0","659,414.0","606,296.0","617,250.0","622,700.0","618,422.0","619,483.0","628,962.0","624,827.0","612,452.0","567,279.0","644,913.0","667,307.0"
"47","28","  To persons and business \2\","A204RC1","31,159.0","32,344.0","33,702.0","35,790.0","37,966.0","39,476.0","41,112.0","41,742.0","42,334.0","42,459.0","43,067.0","43,708.0","44,747.0","45,763.0","46,592.0","47,577.0","49,498.0","50,950.0","52,622.0","54,152.0","55,756.0","57,236.0","59,234.0","60,371.0","61,768.0","63,896.0","65,728.0","68,053.0","70,096.0","71,397.0","72,625.0","74,595.0","76,009.0","77,939.0","79,997.0","83,012.0","86,848.0","90,097.0","94,067.0","96,533.0","99,660.0","102,799.0","105,662.0","109,401.0","115,354.0","121,406.0","122,568.0","125,746.0","138,529.0","141,812.0","148,868.0","156,562.0","161,315.0","167,248.0","172,227.0","174,689.0","178,705.0","184,336.0","192,195.0","198,400.0","205,817.0","211,745.0","221,765.0","228,040.0","231,734.0","237,819.0","240,071.0","245,762.0","249,554.0","252,681.0","253,568.0","254,927.0","256,220.0","258,501.0","263,289.0","268,943.0","271,510.0","270,527.0","274,294.0","280,608.0","290,005.0","297,335.0","299,472.0","302,900.0","306,703.0","310,577.0","318,601.0","323,326.0","328,499.0","334,521.0","336,653.0","343,683.0","344,446.0","347,215.0","347,662.0","345,697.0","350,108.0","350,544.0","349,694.0","347,694.0","345,950.0","352,817.0","359,606.0","366,624.0","379,552.0","383,186.0","382,951.0","381,748.0","379,780.0","374,668.0","376,243.0","371,609.0","367,946.0","367,168.0","366,080.0","363,325.0","360,358.0","356,683.0","354,540.0","348,090.0","342,907.0","344,114.0","342,004.0","343,856.0","343,071.0","341,009.0","340,329.0","341,366.0","343,881.0","340,702.0","339,265.0","334,503.0","327,120.0","336,850.0","339,838.0","347,085.0","352,111.0","360,536.0","362,938.0","366,017.0","364,364.0","355,898.0","362,116.0","364,598.0","367,445.0","386,505.0","387,074.0","411,894.0","393,604.0","409,622.0","423,829.0","399,232.0","417,344.0","451,678.0","434,409.0","419,427.0","414,458.0","418,822.0","444,326.0","382,194.0","378,264.0","469,362.0","481,977.0","474,349.0","463,424.0","485,388.0","476,001.0","486,418.0","497,942.0","545,079.0","510,842.0","511,511.0","514,230.0","531,936.0","498,567.0","556,541.0","504,913.0","516,514.0","524,888.0","521,706.0","523,377.0","533,513.0","527,420.0","515,197.0","470,697.0","547,098.0","....."
"48","29","  To the rest of the world","Y712RC1","752.0","764.0","784.0","808.0","748.0","900.0","1,008.0","1,140.0","1,204.0","1,480.0","1,948.0","2,376.0","2,336.0","2,388.0","2,604.0","2,876.0","3,168.0","3,648.0","3,852.0","3,936.0","3,696.0","4,004.0","4,136.0","4,352.0","4,508.0","4,196.0","4,360.0","4,268.0","4,040.0","4,072.0","4,420.0","4,548.0","4,504.0","4,804.0","5,256.0","6,384.0","7,380.0","7,912.0","8,104.0","9,536.0","10,532.0","10,324.0","10,424.0","10,948.0","11,544.0","11,044.0","11,376.0","13,500.0","15,200.0","16,440.0","16,672.0","16,792.0","17,672.0","17,140.0","18,516.0","18,636.0","17,912.0","17,844.0","18,008.0","18,476.0","18,832.0","19,360.0","20,632.0","21,844.0","22,032.0","21,952.0","22,296.0","22,336.0","23,464.0","23,100.0","23,492.0","23,320.0","24,064.0","24,156.0","23,492.0","24,704.0","26,156.0","28,156.0","29,888.0","30,820.0","33,604.0","34,244.0","35,228.0","35,088.0","35,452.0","35,748.0","36,156.0","36,908.0","37,052.0","36,196.0","36,228.0","34,800.0","34,376.0","34,372.0","34,308.0","34,032.0","33,972.0","33,832.0","34,656.0","34,196.0","34,060.0","34,772.0","36,244.0","40,344.0","40,632.0","45,968.0","49,948.0","51,800.0","53,400.0","55,032.0","56,484.0","62,140.0","66,016.0","68,960.0","71,028.0","72,764.0","72,360.0","72,796.0","71,796.0","71,384.0","69,823.0","67,567.0","65,427.0","64,170.0","63,963.0","65,621.0","64,204.0","63,752.0","61,830.0","59,294.0","54,683.0","52,534.0","50,103.0","49,112.0","48,537.0","49,516.0","48,551.0","46,297.0","47,293.0","47,563.0","49,252.0","54,472.0","56,534.0","59,006.0","63,231.0","66,344.0","68,635.0","73,759.0","78,640.0","85,165.0","87,545.0","92,140.0","96,686.0","101,156.0","98,598.0","99,727.0","101,259.0","101,329.0","97,822.0","99,767.0","97,893.0","91,108.0","88,108.0","88,434.0","90,482.0","92,447.0","97,035.0","99,622.0","99,554.0","100,109.0","101,025.0","99,436.0","96,928.0","95,490.0","99,553.0","102,873.0","101,382.0","100,736.0","97,812.0","96,716.0","96,107.0","95,448.0","97,407.0","97,255.0","96,582.0","97,815.0","....."
"49","30","Subsidies \4\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,954.0","27,389.0","27,095.0","27,274.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,971.0","57,080.0","46,951.0","47,230.0","44,722.0","43,655.0","45,120.0","52,049.0","56,543.0","60,700.0","62,108.0","64,288.0","55,720.0","51,544.0","49,929.0","48,675.0","49,528.0","58,180.0","55,938.0","54,692.0","51,865.0","51,646.0","52,056.0","54,663.0","55,247.0","55,417.0","67,054.0","55,674.0","54,866.0","55,485.0","56,196.0","56,897.0","58,552.0","59,919.0","60,995.0","60,794.0","58,416.0","58,054.0","56,283.0","59,388.0","59,200.0","59,725.0","59,468.0","59,046.0","58,125.0","57,917.0","58,183.0","57,489.0","57,598.0","58,483.0","59,312.0"
"50","31","    Net government saving","A922RC1","5,915.0","2,407.0","-4,078.0","-8,253.0","-17,953.0","-28,904.0","-36,546.0","-43,798.0","-45,548.0","-51,884.0","-51,506.0","-52,023.0","-43,291.0","-40,187.0","-38,095.0","-40,297.0","-27,607.0","-31,004.0","-27,873.0","-25,704.0","-29,921.0","-34,031.0","-33,366.0","-55,998.0","-82,651.0","-138,352.0","-94,263.0","-94,902.0","-80,905.0","-74,358.0","-77,150.0","-75,809.0","-66,889.0","-59,119.0","-62,288.0","-65,564.0","-66,279.0","-40,797.0","-42,406.0","-36,042.0","-30,958.0","-31,454.0","-35,554.0","-47,310.0","-56,643.0","-85,439.0","-96,095.0","-85,313.0","-63,411.0","-70,984.0","-78,290.0","-114,031.0","-136,660.0","-143,474.0","-181,418.0","-217,359.0","-217,716.0","-201,606.0","-211,121.0","-184,486.0","-160,640.0","-165,338.0","-177,104.0","-182,571.0","-145,175.0","-195,332.0","-176,581.0","-184,326.0","-175,899.0","-204,742.0","-207,667.0","-180,612.0","-187,670.0","-122,035.0","-141,826.0","-152,840.0","-149,436.0","-142,407.0","-129,977.0","-139,603.0","-117,805.0","-144,588.0","-156,324.0","-178,151.0","-192,773.0","-205,095.0","-204,650.0","-226,967.0","-204,990.0","-269,101.0","-292,323.0","-318,800.0","-356,130.0","-367,407.0","-387,046.0","-370,083.0","-388,593.0","-346,456.0","-356,428.0","-304,632.0","-296,007.0","-266,417.0","-274,872.0","-285,304.0","-283,476.0","-286,079.0","-277,163.0","-242,826.0","-238,913.0","-196,765.0","-179,932.0","-148,225.0","-125,524.0","-105,059.0","-62,249.0","-65,112.0","-8,682.0","2,227.0","35,901.0","43,041.0","59,629.0","66,677.0","80,267.0","96,902.0","198,198.0","168,573.0","160,242.0","138,669.0","105,298.0","39,249.0","-206,697.0","-141,197.0","-345,327.0","-389,796.0","-392,989.0","-437,531.0","-488,250.0","-538,554.0","-579,506.0","-490,835.0","-556,221.0","-524,764.0","-482,259.0","-467,092.0","-379,502.0","-380,700.0","-377,740.0","-347,405.0","-269,017.0","-265,621.0","-283,696.0","-247,418.0","-279,848.0","-307,318.0","-361,779.0","-404,568.0","-526,291.0","-901,376.0","-846,862.0","-921,656.0","-1,307,234.0","-1,601,399.0","-1,626,523.0","-1,547,881.0","-1,612,231.0","-1,601,316.0","-1,540,795.0","-1,509,705.0","-1,451,520.0","-1,513,629.0","-1,458,090.0","-1,417,021.0","-1,331,776.0","-1,332,438.0","-1,301,851.0","-1,277,260.0","-971,050.0","-697,922.0","-905,691.0","-737,507.0","-808,491.0","-790,215.0","-816,074.0","-781,947.0","-729,718.0","-748,327.0","....."
"51","32","Social insurance funds","A221RC1","5,262.0","5,625.0","6,144.0","6,393.0","6,731.0","-1,226.0","626.0","-1,567.0","1,494.0","-4,836.0","-3,812.0","-3,958.0","397.0","1,071.0","2,212.0","-5,204.0","6,487.0","6,123.0","6,139.0","5,999.0","9,520.0","4,451.0","2,162.0","-1,785.0","-8,703.0","-14,517.0","-20,790.0","-19,246.0","-14,661.0","-12,248.0","-17,133.0","-17,638.0","-13,894.0","-11,327.0","-13,896.0","-13,171.0","-4,401.0","-113.0","-4,855.0","-3,467.0","6,458.0","6,034.0","-2,634.0","-2,942.0","-1,114.0","-7,217.0","-26,471.0","-23,018.0","-6,294.0","-5,308.0","-19,065.0","-21,229.0","-18,027.0","-24,887.0","-38,254.0","-51,432.0","-41,140.0","-43,571.0","-32,815.0","-29,054.0","-12,182.0","-8,594.0","-4,457.0","-6,499.0","-1,418.0","1,450.0","2,037.0","6,703.0","7,656.0","7,107.0","5,934.0","9,363.0","12,585.0","12,968.0","17,209.0","23,842.0","33,103.0","40,326.0","44,053.0","48,814.0","43,838.0","44,570.0","44,659.0","46,825.0","45,260.0","44,833.0","47,109.0","40,230.0","30,935.0","26,266.0","28,469.0","22,398.0","10,416.0","6,365.0","8,610.0","8,625.0","2,176.0","6,743.0","7,736.0","11,445.0","15,060.0","19,546.0","21,603.0","23,755.0","20,810.0","18,440.0","19,530.0","19,892.0","10,252.0","13,726.0","18,175.0","20,775.0","20,450.0","24,960.0","32,465.0","42,585.0","46,507.0","55,714.0","63,382.0","74,293.0","84,911.0","89,330.0","95,711.0","107,032.0","120,036.0","108,889.0","118,798.0","117,325.0","110,341.0","99,217.0","82,022.0","71,400.0","65,001.0","48,435.0","46,860.0","44,228.0","42,639.0","37,964.0","39,591.0","44,115.0","48,801.0","58,206.0","66,285.0","60,671.0","53,399.0","51,675.0","58,905.0","58,759.0","21,241.0","16,051.0","11,679.0","16,610.0","12,736.0","981.0","-9,000.0","-10,275.0","-19,699.0","-33,560.0","-65,059.0","-94,458.0","-199,711.0","-242,312.0","-274,171.0","-287,654.0","-299,015.0","-284,953.0","-282,104.0","-284,865.0","-261,125.0","-265,332.0","-260,725.0","-279,003.0","-284,742.0","-286,724.0","-290,478.0","-277,819.0","-294,158.0","-277,129.0","-281,849.0","-284,427.0","-272,286.0","-278,581.0","-276,508.0","-272,928.0","-290,081.0","-298,167.0","-302,248.0"
"52","33","Other","A391RC1","653.0","-3,218.0","-10,222.0","-14,646.0","-24,683.0","-27,677.0","-37,174.0","-42,231.0","-47,043.0","-47,049.0","-47,694.0","-48,065.0","-43,688.0","-41,259.0","-40,307.0","-35,093.0","-34,093.0","-37,127.0","-34,012.0","-31,703.0","-39,441.0","-38,481.0","-35,528.0","-54,213.0","-73,948.0","-123,835.0","-73,473.0","-75,655.0","-66,244.0","-62,110.0","-60,017.0","-58,171.0","-52,995.0","-47,792.0","-48,392.0","-52,393.0","-61,878.0","-40,684.0","-37,551.0","-32,575.0","-37,416.0","-37,488.0","-32,920.0","-44,368.0","-55,529.0","-78,222.0","-69,624.0","-62,295.0","-57,117.0","-65,676.0","-59,225.0","-92,802.0","-118,633.0","-118,587.0","-143,164.0","-165,927.0","-176,576.0","-158,035.0","-178,306.0","-155,432.0","-148,458.0","-156,744.0","-172,647.0","-176,072.0","-143,757.0","-196,782.0","-178,618.0","-191,029.0","-183,555.0","-211,849.0","-213,601.0","-189,975.0","-200,255.0","-135,003.0","-159,035.0","-176,682.0","-182,539.0","-182,733.0","-174,030.0","-188,417.0","-161,643.0","-189,158.0","-200,983.0","-224,976.0","-238,033.0","-249,928.0","-251,759.0","-267,197.0","-235,925.0","-295,367.0","-320,792.0","-341,198.0","-366,546.0","-373,772.0","-395,656.0","-378,708.0","-390,769.0","-353,199.0","-364,164.0","-316,077.0","-311,067.0","-285,963.0","-296,475.0","-309,059.0","-304,286.0","-304,519.0","-296,693.0","-262,718.0","-249,165.0","-210,491.0","-198,107.0","-169,000.0","-145,974.0","-130,019.0","-94,714.0","-107,697.0","-55,189.0","-53,487.0","-27,481.0","-31,252.0","-25,282.0","-22,653.0","-15,444.0","-10,130.0","78,162.0","59,684.0","41,444.0","21,344.0","-5,043.0","-59,968.0","-288,719.0","-212,597.0","-410,328.0","-438,231.0","-439,849.0","-481,759.0","-530,889.0","-576,518.0","-619,097.0","-534,950.0","-605,022.0","-582,970.0","-548,544.0","-527,763.0","-432,901.0","-432,375.0","-436,645.0","-406,164.0","-290,258.0","-281,672.0","-295,375.0","-264,028.0","-292,584.0","-308,299.0","-352,779.0","-394,293.0","-506,592.0","-867,816.0","-781,803.0","-827,198.0","-1,107,523.0","-1,359,087.0","-1,352,352.0","-1,260,227.0","-1,313,216.0","-1,316,363.0","-1,258,691.0","-1,224,840.0","-1,190,395.0","-1,248,297.0","-1,197,365.0","-1,138,018.0","-1,047,034.0","-1,045,714.0","-1,011,373.0","-999,441.0","-676,893.0","-420,793.0","-623,843.0","-453,080.0","-536,205.0","-511,633.0","-539,566.0","-509,019.0","-439,638.0","-450,160.0","....."
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
