"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"75","68","      Luggage and similar personal items (part of 119)","DLUGRC0",1139,1164,1224,1275,1332,1465,1605,1806,1905,2170,2429,2616,2949,3248,3634,3979,4438,5011,5439,5707,5593,5178,4916,4668,5396,6013,6476,7204,8112,8671,9673,9698,9952,10569,10885,10929,10896,11054,11084,11747,13120,14565,13873,14281,16121,17885,20491,23751,26828,27342,26673,28905,30816,33556
"76","69","      Telephone and facsimile equipment (67)","DTCERC0",9,10,10,11,12,13,15,16,17,19,20,21,22,24,28,31,34,39,44,152,378,653,979,1199,1224,1244,1220,1256,1306,1436,1625,1782,1874,2049,2302,2676,3011,3389,3736,4177,4806,5515,5839,6243,7579,8721,9376,11606,13798,14113,13351,13388,13926,13619
"77","70","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1330015,1432638,1543354,1587659,1617855,1708127,1819251,1953376,2069760,2175498,2272816,2164786,2285456,2478398,2564237
"78","71","    Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,486506,513569,537457,559707,569607,587529,612963,644493,674192,711207,746394,742317,760638,810187,829065
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC0",53952,54929,56069,56661,57664,61034,65684,71300,72970,78247,83626,90403,92596,98682,109591,124183,136203,145643,156544,171120,190251,207982,221683,231345,239182,252733,262331,273849,281807,298998,319460,341238,351488,354596,362392,378285,388268,402756,412764,422087,444945,463125,482228,490397,507316,529824,558166,582169,614901,647357,642442,654504,698220,713970
"80","73","        Food purchased for off-premises consumption","DFOFRC0",49262,50008,50752,51477,52456,55310,59481,64410,65518,70405,75226,82038,84109,88788,99449,112751,122444,129907,137952,150657,167451,182297,193930,200599,205840,217301,224917,233103,241279,256265,274090,293080,302198,305188,312526,326913,336262,349575,359092,367717,388172,404594,421867,429606,444192,464212,488709,508795,538072,567888,564771,576120,616385,631205
"81","74","          Cereals and bakery products","DCBPRC0",7675,7907,8008,7943,8050,8489,8904,9505,9514,10080,10616,11103,12348,13514,14700,18093,20591,21899,22985,23903,27311,31156,33803,35699,34773,36833,38763,39147,40531,43550,47118,50964,53154,54293,56049,59106,61293,64243,66537,69816,75465,80489,85824,89323,90695,91352,94680,98170,102416,109432,109518,110816,118373,120123
"82","75","            Cereals","DGRARC0",1565,1757,1862,1792,1811,1969,2025,2191,2175,2328,2479,2793,3281,3569,4196,5489,6233,6555,7005,7327,8413,9989,11326,11663,11227,11926,12347,13458,14548,15982,17663,19499,20740,21589,22178,23273,24018,25054,25825,25786,26527,26930,27334,27079,28950,30738,33250,36133,39277,41808,42111,42135,43810,44460
"83","76","            Bakery products","DBAKRC0",6110,6150,6146,6151,6239,6520,6879,7314,7339,7752,8137,8310,9067,9945,10504,12604,14358,15344,15979,16576,18898,21167,22477,24036,23545,24907,26416,25689,25983,27568,29455,31465,32413,32704,33871,35833,37275,39189,40712,44030,48938,53559,58490,62244,61745,60614,61429,62037,63139,67624,67406,68680,74563,75663
"84","77","          Meats and poultry","DMAPRC0",13836,14022,14334,14818,15335,16493,17839,20057,20000,21513,24321,27005,25858,27778,31769,33173,36771,38589,36831,43269,49022,51455,53416,55599,56401,57013,57578,60166,60655,64545,69169,74110,76572,77491,78334,80855,82035,84087,85129,85994,89538,92041,94637,95023,99276,107103,113594,116134,122420,128560,128933,132027,144511,147681
"85","78","            Beef and veal","DBEERC0",7414,7369,7514,7826,7979,8693,9582,10732,10487,11937,13716,14706,14520,15518,16897,18035,19636,20208,17272,20954,23939,24423,24459,24682,24405,24421,24144,25546,25807,26211,26749,27225,26647,25468,24928,24844,24260,23845,23052,23395,24476,25283,26124,26363,27543,29714,31515,32220,33964,35667,35771,36629,40093,40972
"86","79","            Pork","DPORRC0",2581,2560,2597,2709,2830,2965,3093,3535,3689,3533,4149,4738,4345,4769,5589,5601,6331,6597,7152,8603,9841,10471,11571,13022,14105,13612,14238,14623,14513,15173,15971,16801,17040,16920,16952,17346,17449,17738,17814,17749,18219,18453,18684,18463,19289,20810,22071,22565,23786,24979,25051,25652,28078,28694
"87","80","            Other meats","DMEARC0",2146,2247,2354,2334,2484,2585,2778,3052,3174,3313,3591,3828,3662,3897,4526,4949,5759,6364,6537,6903,7384,7768,7636,7766,7747,7636,8042,7832,8076,9018,10119,11329,12209,12864,13166,13765,14153,14709,15106,15369,16120,16693,17293,17497,18280,19721,20916,21384,22541,23672,23741,24310,26609,27193
"88","81","            Poultry","DPOURC0",1695,1846,1869,1949,2042,2250,2386,2738,2650,2730,2865,3734,3330,3594,4757,4588,5045,5420,5870,6809,7858,8793,9750,10129,10144,11344,11153,12165,12260,14142,16330,18754,20677,22239,23288,24901,26173,27795,29157,29480,30724,31612,32536,32701,34164,36858,39091,39966,42129,44242,44370,45435,49731,50822
"89","82","          Fish and seafood","DFISRC0",1010,1090,1104,1176,1203,1299,1444,1590,1552,1828,2171,2445,2246,2286,2459,2292,2161,2488,2885,3171,3565,3798,4006,3858,4863,5873,6187,6998,7663,7758,7889,7999,7795,7414,7400,7541,7550,7635,7624,7797,8220,8556,8910,9062,9468,10214,10833,11075,11675,12260,12296,12591,13782,14084
"90","83","          Milk, dairy products, and eggs","DMDERC0",10367,10106,10088,9884,10003,10062,10930,11520,11431,12014,12439,13443,13486,14017,15822,17785,19446,22003,24715,24404,26546,28343,28721,27646,27790,28493,29458,29618,31303,32736,34499,36315,36826,36474,36709,37713,38089,38869,39200,40056,42194,43886,45663,46402,47509,50089,51151,52372,56068,60039,57085,58255,62133,63122
"91","84","            Fresh milk","DMILRC0",6040,5870,5793,5746,5676,5622,6137,6283,6221,6377,6477,6826,6779,6990,7736,8597,9346,10260,11134,10751,11243,11616,11463,10765,10850,11552,12298,12656,13825,14088,14428,14743,14493,13919,13560,13458,13096,12837,12388,12624,13262,13756,14273,14465,14830,15762,16026,16430,17735,19078,17990,18335,19836,20151
"92","85","            Processed dairy products","DDAIRC0",3139,2999,3066,2954,3016,3263,3471,3658,3680,4218,4608,4853,5127,5539,6070,7190,8137,9464,11089,11202,12502,13985,14448,14126,14258,14104,14741,14421,15093,16124,17381,18707,19390,19593,19869,20563,20927,21525,21893,22483,23801,24878,26012,26563,27170,28470,29171,29837,31744,33873,32412,33108,34927,35483
"93","86","            Eggs","DGGSRC0",1188,1237,1229,1184,1311,1177,1322,1579,1530,1419,1353,1763,1579,1487,2015,1998,1963,2279,2492,2451,2801,2742,2810,2755,2682,2836,2419,2541,2385,2524,2689,2865,2943,2961,3280,3692,4066,4507,4919,4949,5131,5252,5377,5374,5510,5856,5954,6104,6589,7088,6684,6812,7370,7487
"94","87","          Fats and oils","DFATRC0",1629,1579,1622,1711,1778,1871,1912,2023,2231,2479,2527,2628,3322,3328,3482,4714,4584,3865,4462,5020,5650,6212,6934,7266,7129,7826,8149,7616,7376,7926,8513,9134,9444,9630,9534,9649,9591,9623,9507,9430,9633,9708,9778,9608,10271,10906,11797,12820,13936,14833,14941,14950,15544,15774
"95","88","          Fresh fruits and vegetables","DFAVRC0",5547,5664,5805,5853,5775,5952,6323,6586,7041,7547,7355,8708,8256,8710,9954,9709,9887,9841,11076,12617,13798,14840,16867,18030,18712,19196,19711,21249,24063,24953,26040,27150,27278,26822,28013,29877,31326,33189,34736,36963,40482,43712,47152,49612,50966,52936,57123,59561,63142,66805,67051,69500,72568,74036
"96","89","            Fruit (fresh)","DFRURC0",2164,2149,2211,2142,2186,2271,2428,2525,2731,3073,2792,3216,3252,3622,4037,4190,4494,4467,5036,5571,5916,6175,6811,7064,7239,7597,7963,9097,9980,10522,11171,11857,12135,12164,12420,12955,13289,13778,14116,14794,15974,17019,18129,18850,19364,20113,21704,22630,23991,25383,25476,26407,27572,28130
"97","90","            Vegetables (fresh)","DVEGRC0",3383,3515,3594,3711,3589,3681,3895,4061,4310,4474,4563,5492,5003,5088,5916,5519,5393,5374,6040,7046,7882,8665,10056,10966,11472,11599,11748,12152,14084,14431,14869,15293,15143,14658,15592,16922,18037,19411,20620,22169,24509,26693,29023,30762,31601,32823,35419,36931,39151,41423,41575,43093,44996,45906
"98","91","          Processed fruits and vegetables","DPFVRC0",2482,2698,2801,2883,2963,3140,3411,3596,3457,3922,4297,4618,5116,5454,6159,7643,8559,9300,10690,11668,12473,13126,14466,15190,15112,15709,15175,15046,14844,15143,15528,15888,15643,15048,15185,15649,15857,16236,16424,16215,16483,16523,16547,16159,17080,18024,19484,20937,22608,24026,24178,24419,25419,25833
"99","92","          Sugar and sweets","DSWERC0",3243,3496,3484,3446,3484,3853,4088,4342,4548,4786,5024,5061,6510,6541,7005,10432,10882,11058,12506,13246,14580,16892,17499,16347,17708,18682,19104,19156,18498,19861,21474,23211,24192,24694,25205,26282,26949,27931,28606,28803,29891,30622,31376,31391,32149,33046,34158,35593,36995,37629,36640,37772,41595,44417
"100","93","          Food products, not elsewhere classified","DOFDRC0",3473,3446,3507,3763,3865,4151,4631,5190,5744,6237,6475,7027,6968,7160,8099,8908,9563,10864,11802,13358,14506,16474,18218,20966,23353,27677,30792,34107,36345,39794,43859,48310,51294,53323,56097,60241,63571,67762,71329,72643,76265,79056,81980,83027,86779,90543,95889,102133,108814,114304,114128,115790,122460,126135
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRC0",4690,4921,5316,5184,5208,5724,6203,6890,7452,7842,8400,8365,8487,9894,10142,11432,13760,15736,18593,20463,22799,25684,27753,30745,33341,35432,37414,40746,40529,42732,45370,48158,49290,49408,49867,51372,52007,53181,53673,54370,56773,58531,60361,60791,63123,65611,69457,73373,76829,79468,77671,78384,81836,82764
"102","95","          Coffee, tea, and other beverage materials","DCTMRC0",782,820,886,864,868,954,1034,1148,1242,1307,1400,1394,1414,1649,1690,1905,2293,2623,3099,3410,3800,4281,4625,5124,5562,5920,6261,6829,6798,6691,6588,6450,6049,5522,5911,6269,6469,6682,6928,6901,7082,7171,7259,7171,7667,8140,8805,9569,10402,11072,11152,11158,11602,11774
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRC0",3908,4101,4430,4320,4340,4770,5169,5742,6210,6535,7000,6971,7072,8245,8452,9527,11466,13113,15494,17053,19000,21404,23128,25621,27780,29512,31154,33917,33731,36041,38782,41708,43241,43885,43955,45104,45537,46500,46745,47469,49691,51360,53102,53620,55457,57471,60651,63805,66427,68397,66519,67226,70234,70990
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC0",6356,6493,6569,7002,7285,7622,7947,8486,8853,9865,11014,12327,13785,14901,16009,17665,19234,20469,22065,23777,26773,29952,32442,34667,36805,37352,39696,41670,41762,43077,45256,49298,50858,49294,50537,53313,55000,58676,61598,64037,68274,74014,77193,78929,79938,82838,85984,91609,95952,98665,99529,105778,111623,114762
"105","98","        Spirits","DLIQRC0",2342,2266,2258,2329,2787,2869,3189,3431,3460,4032,4547,4837,5236,6174,6575,7002,7591,7965,8482,8119,8197,8164,7742,7155,7592,7501,8076,8392,8515,8969,9667,10899,11718,11809,11538,11651,11405,11703,11856,13094,14387,16206,17691,18780,19625,21001,22427,24639,26430,27308,27475,28978,30549,31499
"106","99","        Wine","DWINRC0",545,555,595,678,709,750,761,787,795,874,974,1179,1491,1703,1862,2166,2099,2105,2270,2823,3617,4543,5445,6367,6677,6619,6966,7188,7099,7438,7931,8788,9335,9259,9682,10423,10966,11922,12726,13537,14499,15700,16682,17343,17610,18470,19527,21048,22127,22980,23197,24551,26052,26777
"107","100","        Beer","DMLTRC0",3469,3672,3716,3995,3790,4003,3997,4268,4598,4959,5493,6311,7058,7024,7572,8497,9544,10399,11313,12835,14959,17245,19255,21145,22537,23233,24654,26090,26149,26669,27658,29611,29806,28225,29317,31239,32629,35051,37017,37406,39388,42108,42821,42807,42703,43367,44031,45922,47396,48377,48857,52250,55021,56486
"108","101","      Food produced and consumed on farms (6)","DFFDRC0",1289,1134,1109,993,921,835,811,824,736,719,731,776,744,889,1115,1190,1129,1185,1161,1215,1346,1233,1214,1129,1049,1017,926,896,743,732,672,640,607,575,543,511,479,447,414,382,350,318,286,281,275,301,343,414,354,372,346,356,344,333
"109","102","    Clothing and footwear","DCLORC0",25367,25939,26571,27859,28618,31085,32659,35812,37547,41260,44331,45450,49046,53491,59243,62423,66867,72191,79305,89317,96371,103002,113178,116745,126445,137621,146845,157201,167726,178213,190397,195245,199098,211234,219054,227435,231245,239542,247496,257805,271097,280831,277868,278836,286162,298697,314019,327312,335432,330907,316994,331638,349182,365851
"110","103","      Garments","DGARRC0",20177,20611,21169,22206,22919,25040,26358,28789,30193,33119,35477,36617,39637,43168,47808,50826,54905,59203,65063,73082,78224,83275,91390,94941,103338,113149,120984,129527,138166,146880,156207,159977,163962,174421,180888,187271,190094,196380,203240,211129,221908,230023,227216,228008,233994,244694,256337,265987,272459,268110,256840,268502,283108,296485
"111","104","        Women's and girls' clothing (10)","DWGCRC0",12454,12725,13087,13817,14303,15617,16299,17697,18299,20069,21299,21939,24019,25761,28305,29859,32158,34493,37532,42476,45544,48470,53260,55319,60745,66992,72201,77933,83096,87550,92654,94545,96473,103175,106397,108421,108922,111410,113922,118968,126520,132721,132134,133306,137549,145021,152457,158903,163973,160083,153227,160596,169519,178773
"112","105","        Men's and boys' clothing (11)","DMBCRC0",7435,7582,7764,8055,8239,9044,9604,10597,11351,12437,13390,13724,14747,16331,18175,19303,20874,22549,25065,27601,29236,30894,33548,34524,37092,40190,42459,44884,48049,51723,55584,57381,59392,63009,66065,70095,72209,75838,79957,82193,84621,85874,83203,82445,84201,87259,91022,93907,95156,94516,90744,94542,99612,103594
"113","106","        Children's and infants' clothing (12)","DCICRC0",288,304,318,334,377,379,455,495,543,613,788,954,871,1076,1328,1664,1873,2161,2466,3005,3444,3911,4582,5098,5501,5967,6324,6710,7021,7607,7969,8051,8097,8237,8426,8755,8963,9132,9361,9968,10767,11428,11879,12257,12244,12414,12858,13177,13330,13511,12869,13364,13977,14118
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRC0",5190,5328,5402,5653,5699,6045,6301,7023,7354,8141,8854,8833,9409,10323,11435,11597,11962,12988,14242,16235,18147,19727,21788,21804,23107,24472,25861,27674,29560,31333,34190,35268,35136,36813,38166,40164,41151,43162,44256,46676,49189,50808,50652,50828,52168,54003,57682,61325,62973,62797,60154,63136,66074,69366
"115","108","        Clothing materials","DCSMRC0",781,768,782,822,825,775,822,860,806,864,879,894,1145,1388,1526,1641,1505,1814,1910,2015,2002,2202,2301,2459,2564,2734,2810,3057,3378,3544,3649,3601,3634,3643,3648,3520,3283,3379,3209,3385,3726,4036,4218,4596,4529,4562,4424,4303,4048,3940,3888,4016,4110,4333
"116","109","        Standard clothing issued to military personnel","DMICRC0",51,48,55,69,64,64,76,164,192,204,174,161,118,70,87,97,114,119,121,117,145,158,140,156,178,164,140,153,155,161,171,151,175,267,286,286,287,287,315,308,291,322,343,379,525,366,380,416,417,396,445,397,361,329
"117","110","        Shoes and other footwear","DSHURC0",4358,4512,4565,4762,4810,5206,5403,5999,6356,7073,7801,7778,8146,8865,9822,9859,10343,11055,12211,14103,16000,17367,19347,19189,20365,21575,22911,24464,26027,27629,30370,31516,31328,32903,34232,36358,37582,39496,40732,42984,45173,46450,46092,45852,47114,49075,52877,56606,58508,58460,55821,58723,61603,64704
"118","111","    Gasoline and other energy goods","DGOERC0",15290,15809,15723,16316,16922,17659,19132,20656,21876,23217,24968,26286,27647,29393,34325,43849,48020,53013,57817,61453,80388,101898,113443,108350,106456,108200,110532,91191,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,133359,148811,188836,183583,174562,209475,249423,303787,335246,364765,410459,299335,352383,428303,440256
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC0",11281,12004,12009,12597,12952,13572,14751,16032,17100,18560,20460,21921,23150,24406,28131,36130,39703,43046,46934,50102,66243,86689,97919,94125,93081,94568,97205,80052,85355,88395,98716,111440,108852,112864,114518,116492,120410,130494,134428,121791,136456,172929,168083,160273,192793,231555,283798,314665,342973,384516,278711,330122,403787,418415
"120","113","        Gasoline and other motor fuel","DGASRC0",11097,11809,11814,12392,12741,13351,14511,15771,16822,18258,20127,21564,22773,24009,27673,35542,39057,42345,45966,48980,64685,84767,95649,92182,91037,92260,95014,78119,83415,86230,96314,108743,105872,109411,110931,112819,116845,127033,131218,118170,133292,169414,164628,156764,188817,227187,278113,308017,335805,377299,272781,322836,395856,410006
"121","114","        Lubricants and fluids","DLUBRC0",184,195,196,205,211,221,240,261,278,302,333,357,377,397,458,588,647,701,968,1122,1558,1922,2270,1943,2044,2309,2191,1933,1940,2165,2402,2697,2980,3453,3587,3673,3565,3461,3210,3622,3164,3514,3455,3509,3977,4368,5684,6647,7168,7217,5930,7285,7931,8408
"122","115","      Fuel oil and other fuels (29)","DFULRC0",4009,3805,3714,3719,3970,4087,4381,4624,4776,4657,4508,4365,4497,4987,6194,7719,8317,9967,10883,11351,14145,15209,15524,14225,13375,13632,13327,11139,11014,11455,11723,12759,12277,12143,12364,12739,12995,14251,13234,11568,12355,15907,15500,14289,16682,17868,19989,20581,21792,25943,20624,22261,24516,21841
"123","116","        Fuel oil","DOILRC0",3763,3560,3489,3500,3725,3835,4125,4373,4542,4416,4249,4080,4196,4662,5792,7180,7830,9401,10292,10739,13451,14439,14713,13431,12567,12794,12486,10370,10273,10556,10748,11610,11010,10877,11000,11273,11414,12476,11654,10162,10703,13988,13651,12574,14858,16076,18194,18908,20212,23866,19137,20578,22690,20094
"124","117","        Other fuels","DLPFRC0",246,245,225,219,246,252,256,250,234,241,259,284,301,325,402,539,487,565,591,612,694,770,811,794,808,838,841,769,741,899,975,1149,1267,1266,1364,1466,1580,1774,1579,1406,1652,1919,1850,1715,1824,1792,1795,1673,1580,2077,1487,1683,1827,1746
"125","118","    Other nondurable goods","DONGRC0",25466,27085,28562,30674,32516,34462,37052,40797,43028,46480,49525,53564,55851,60015,65826,72052,77716,85180,91528,103336,116469,129335,143473,154024,168814,184621,196913,209382,225868,241386,263251,283602,297070,314481,331407,350608,371397,395210,421300,452345,499161,536230,566501,594850,624961,658168,691077,733010,764094,785056,806140,840797,890726,929065
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRC0",3167,3472,3819,4127,4381,4495,4677,4879,5210,5744,6294,7282,7720,8413,9095,9868,10680,11652,12371,14218,16509,18740,21286,23496,26872,30318,33510,37207,41265,45903,51906,59118,65101,69561,73991,79060,85109,93241,103671,119792,140041,159000,181006,200165,221620,240386,254723,276213,291705,302501,315388,328455,348135,362629
"127","120","        Pharmaceutical products","DPNPRC0",3061,3344,3681,3977,4274,4366,4537,4722,5089,5604,6135,7086,7506,8197,8858,9560,10349,11320,12009,13799,16051,18260,20799,22988,26297,29659,32774,36386,40365,44929,50794,57868,63756,68196,72609,77692,83758,91918,102346,118258,138306,157050,178948,198000,219280,237774,251910,273106,288294,299022,312005,324878,344209,358383
"128","121","          Prescription drugs","DRXDRC0",1818,1986,2186,2362,2538,2626,2766,2920,3194,3573,3971,4654,5000,5536,5946,6376,6858,7453,7853,8936,10309,11616,13154,14500,16814,19135,21315,23823,26520,30205,34900,40630,45867,50489,54550,59267,64746,72172,82077,97271,115902,133806,154945,172260,191256,207546,218890,236877,248721,257675,271847,282798,299185,311877
"129","122","          Nonprescription drugs","DNRDRC0",1243,1358,1495,1615,1736,1739,1771,1802,1895,2031,2164,2432,2506,2661,2912,3184,3491,3867,4156,4863,5742,6644,7645,8488,9483,10525,11459,12564,13846,14724,15894,17238,17888,17707,18059,18425,19012,19746,20269,20987,22404,23245,24003,25740,28024,30228,33019,36229,39574,41347,40158,42080,45024,46506
"130","123","        Other medical products","DOMPRC0",106,128,137,150,107,129,140,157,120,140,159,196,214,216,237,308,332,332,362,419,458,480,486,508,575,659,736,820,899,974,1112,1250,1346,1365,1382,1368,1351,1323,1325,1534,1735,1950,2058,2165,2340,2612,2813,3107,3411,3479,3383,3576,3926,4246
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRC0",3081,3362,3575,3925,4324,4829,5321,5987,6328,7047,7616,8195,8746,9618,10898,12211,13142,14699,15732,17673,19899,21977,24800,26639,28852,31499,33762,35443,39136,42606,47175,50928,53584,57273,60712,65212,68896,72833,76347,81411,87788,93743,97349,101782,104819,110521,119085,127558,135802,138723,134546,138790,147190,156050
"132","125","        Games, toys, and hobbies","DDOLRC0",1523,1612,1747,1910,2072,2238,2362,2647,2787,2995,3122,3133,3158,3401,3927,4420,4966,5634,6236,7052,7923,8326,9297,10173,10965,12044,12607,13362,14579,16232,18450,20091,21733,23310,24988,27327,29364,31198,32869,34972,37577,39584,40449,42029,43273,45035,47783,50405,53462,55249,54440,56885,61047,63946
"133","126","        Pets and related products","DPRPRC0",563,652,691,713,763,978,1112,1263,1372,1550,1703,2051,2251,2348,2883,3429,3711,4294,4813,5020,5549,6467,7486,7884,8646,9212,10206,10021,10617,11473,12445,13665,14070,14756,15958,17504,18788,20209,21529,22651,24306,25812,27309,29169,30862,33185,35874,39084,42900,45763,45992,47428,50163,53450
"134","127","        Flowers, seeds, and potted plants","DFLORC0",634,716,722,846,993,1073,1272,1428,1477,1648,1766,1840,1996,2242,2380,2637,2731,3011,2943,3648,4298,4868,5594,6009,6390,7056,7657,8553,10153,11039,12358,13344,14077,15566,16258,17019,17558,18441,19176,20948,22933,25290,26665,27718,27522,28751,31516,33740,34563,33001,29892,30162,31625,34303
"135","128","        Film and photographic supplies","DFLMRC0",361,382,416,455,496,540,575,650,691,853,1025,1171,1341,1627,1707,1725,1734,1760,1741,1952,2129,2316,2423,2573,2852,3187,3292,3507,3787,3862,3922,3829,3705,3641,3508,3361,3185,2986,2773,2840,2972,3058,2925,2866,3161,3550,3912,4329,4878,4710,4222,4315,4355,4351
"136","129","      Household supplies (parts of 32 and 36)","DHOURC0",5416,5759,6289,6872,7263,7930,8564,9458,9953,10644,11024,11496,11651,12386,13849,15443,16793,18132,19715,22472,25921,29124,32216,34329,36760,39971,42051,44665,46404,49369,51937,54231,55592,58536,62079,66776,70402,74372,77865,79684,83906,86701,88954,90767,93761,97162,102156,107381,110039,112031,109826,112809,117976,121847
"137","130","        Household cleaning products","DCLERC0",2064,2222,2497,2750,2932,3170,3372,3668,3871,4197,4573,5025,5251,5673,6134,6738,7160,7412,7728,8849,10218,11581,12749,13643,14587,15942,17046,18156,19014,19700,20207,20598,20505,20689,22037,23620,24999,26344,27694,27989,29094,29758,30764,31204,32574,33952,36027,38426,39727,40585,40301,41085,42312,43259
"138","131","        Household paper products","DPAPRC0",1073,1186,1305,1428,1517,1650,1853,2104,2203,2305,2343,2405,2325,2409,2896,3539,4164,4747,5428,6297,7396,8483,9471,10172,10532,10996,11183,11295,11311,12290,13427,14581,15376,16191,16936,17891,18757,19723,20554,21604,23343,24763,26353,27421,28672,30176,32749,35449,37612,39373,39185,39946,41511,42236
"139","132","        Household linens","DLINRC0",1848,1901,2005,2183,2262,2498,2685,2952,3105,3321,3277,3222,3213,3390,3727,3895,4022,4305,4665,5172,5812,6404,7143,7539,8348,9327,9923,11020,11598,12557,13286,13902,14582,16110,17167,18740,19874,21161,22087,22477,23499,24151,23882,24220,24659,25131,25493,25553,25025,24401,22908,23898,25361,26533
"140","133","        Sewing items","DSEWRC0",109,112,118,128,133,147,158,174,183,190,179,166,156,159,184,212,239,279,316,349,389,425,470,494,530,557,555,574,580,624,652,674,699,767,822,905,968,1040,1090,1117,1196,1262,1285,1366,1336,1323,1278,1229,1156,1135,1115,1152,1199,1276
"141","134","        Miscellaneous household products","DMHPRC0",323,338,364,382,419,465,497,560,591,631,652,677,706,755,908,1059,1208,1388,1578,1805,2106,2231,2383,2480,2763,3148,3345,3619,3901,4198,4365,4475,4431,4778,5117,5620,5804,6104,6441,6497,6773,6768,6670,6557,6520,6578,6609,6724,6519,6537,6317,6728,7593,8541
"142","135","      Personal care products (part of 118)","DOPCRC0",2898,3199,3514,3862,4129,4445,4818,5321,5764,6277,6717,7140,7477,8044,8968,10028,11080,12205,13829,15399,17137,18704,20457,21555,23720,26256,28251,30363,32644,34602,36925,39250,40244,41370,43945,47112,50173,53449,56406,59913,64449,68508,71042,73159,75399,78369,81494,85385,88653,90753,92239,96685,103111,106999
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRC0",1334,1503,1595,1760,2009,2149,2313,2538,2775,2941,3160,3391,3513,3588,3803,4185,4371,4808,5587,6233,7013,7725,8446,8944,9809,10764,11509,12269,12976,14300,15845,17534,18800,19966,21763,23852,26104,28383,30556,32825,35638,38026,40046,41378,41747,42606,43292,44389,45217,46535,47952,50036,53190,55112
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRC0",1477,1597,1813,1984,1986,2153,2349,2611,2804,3142,3351,3527,3737,4227,4922,5576,6436,7099,7908,8795,9710,10526,11518,12094,13337,14852,16048,17342,18861,19404,20073,20589,20227,20101,20755,21700,22370,23227,23866,24812,26171,27487,27681,28122,29738,31558,33679,36182,38397,39147,39362,41489,44418,46165
"145","138","        Electric appliances for personal care","DEAPRC0",87,98,105,117,134,143,156,172,185,194,206,222,227,228,243,266,273,298,334,371,414,453,492,517,574,640,695,752,807,898,1007,1126,1218,1303,1427,1560,1699,1839,1983,2275,2640,2994,3315,3659,3913,4205,4523,4814,5039,5071,4925,5160,5503,5722
"146","139","      Tobacco (127)","DTOBRC0",6554,6871,7141,7221,7500,7564,8092,8529,8928,9423,9794,10792,11338,12193,13241,14099,15068,16787,16980,18281,19185,20860,22830,24303,27515,29243,30811,32157,34546,34745,38611,40991,42409,48008,48701,47328,49205,51419,53848,56416,65536,68492,69705,70142,69708,70448,71055,72281,73702,75715,87920,94492,96050,96785
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRC0",3391,3504,3368,3762,4038,4216,4508,5332,5466,5849,6426,6896,7053,7661,8424,9195,9895,10787,11893,14055,16404,18136,19832,21038,22390,24513,25368,26569,28798,31662,33997,36492,37791,38773,40863,43785,46058,48192,50205,51888,54312,56567,55042,54801,54871,56239,57541,58910,58137,58875,58439,63049,70190,76922
"148","141","        Newspapers and periodicals","DMAGRC0",2133,2182,2045,2329,2494,2531,2703,3186,3271,3436,3692,4097,4426,4775,5291,5881,6356,7033,7727,9119,10881,12015,13039,13843,14588,15729,15910,16503,17587,19244,20056,21632,22053,21959,23434,25601,27525,29477,31153,31740,32981,34382,34246,34434,34041,34573,34784,34712,32903,33614,33859,37410,42950,48274
"149","142","        Stationery and miscellaneous printed materials","DSTYRC0",1258,1322,1323,1433,1544,1685,1805,2146,2195,2413,2734,2799,2627,2886,3133,3314,3539,3754,4166,4936,5523,6121,6793,7195,7802,8784,9458,10066,11211,12419,13941,14861,15738,16814,17429,18184,18533,18715,19053,20149,21331,22185,20796,20367,20830,21665,22757,24198,25234,25261,24581,25639,27240,28648
