"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"70","58","        Grocery and related products wholesalers","I42240",278,367,-23,-6,-921,-161,-228,698,-537,-754,279,877,-284,-133,132,-179,-611,-334,-173,-101,-219,1890,-82,-457,-887,-632,-1277,-1605,73,-1785,-285,-1071,-198,190,283,-1672,1142,120,-1992,-106,-3222,6,-350,-999,-647,-1130,-2162,-709,1786,677,503,-3119,-2536,808,268,-1716
"71","59","        Farm product raw material wholesalers","I42250",272,931,1478,-32,4416,2900,1173,-1997,1331,1523,1204,458,-1642,195,1057,-2098,316,519,-967,652,-2208,-2980,-5208,3804,593,-561,-346,-3610,-814,2602,4383,-247,-254,-65,828,491,714,-133,-2310,-9503,-8906,-1441,-1011,-10573,-16070,-4263,2849,11020,4491,-4532,3987,-1119,5216,236,-11432,-21491
"72","60","        Chemical and allied products wholesalers","I42260",112,87,-57,-14,358,231,90,-83,581,510,-158,-1193,-581,-401,-210,100,-305,168,565,343,583,-351,-316,-461,-982,-251,106,-94,151,67,-1219,-2106,-1286,-961,-521,-308,-1321,-437,-76,255,104,-692,-584,-1445,-2561,-2446,-1232,3055,3660,288,-1234,-1602,-1432,-572,588,-1081
"73","61","        Petroleum amd petroleum products wholesalers","I42270",1206,1428,-363,169,1430,1081,1253,764,-1478,-2929,-1662,-115,-2542,-436,-1016,-842,2002,732,1037,2197,-2115,-1676,-1055,-226,-2801,2587,-1713,-2004,-152,79,-2215,-4619,-2932,-1418,-6412,1641,-1260,-2244,2403,-819,-1910,-640,-864,-10703,-6019,-1932,3147,18381,3182,-4056,-5664,-3238,-4584,12268,-4928,-17441
"74","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-106,305,208,-612,-468,-403,-365,756,-80,-22,-92,-13,-228,-330,-195,-46,4,-55,-40,-269,-106,-109,-97,-184,-538,-71,-76,504,388,-175,-611,-99,-497,-34,34,37,-88,-35,154,17,-470,-453,-130,357,149,-151,-160,-775,494,-45,508,-1648,-28,-4,-32,-448
"75","63","        Miscellaneous nondurable goods wholesalers","I42290",-2658,1602,761,-329,596,215,-127,-528,-93,1941,-208,-4609,-1013,-900,-472,52,-3752,-249,267,822,352,-891,-811,182,-101,-550,-152,-70,-50,-1198,161,-357,2066,-261,-1495,-3034,-506,-33,-40,-913,-1592,-1628,-860,-1944,-3311,-3851,-4262,1808,2872,142,1125,-528,-800,-844,-776,-1635
"76","64","    Nonmerchant wholesale industries","I42N0",1812,1592,1212,716,1884,544,1088,1528,808,164,-920,-1132,-3744,52,-1724,-664,-712,-48,1028,1676,2928,424,-2192,-6144,-1620,-852,888,-4080,-4864,-6392,-3480,-2164,-6320,-4308,-1944,-1864,-5824,-6460,-6992,-5664,-4180,-3004,-4020,-8772,-4552,-9868,-4792,17528,10368,6112,4276,-1512,-1444,632,-2280,-8572
"77","65","      Durable goods industries","I42ND0",1344,1280,1276,812,1052,92,728,1080,612,536,-264,-204,-1940,924,-664,556,-152,60,184,380,1628,564,324,-1392,504,676,1348,-2308,-3072,-3484,-1124,88,-2604,-1216,720,600,-2252,-2828,-2828,-1652,-1508,-936,-740,-772,-12,-4252,-1980,6752,3400,1912,756,-840,-180,-932,-12,-1372
"78","66","      Nondurable goods industries","I42NN0",468,312,-64,-96,832,452,360,448,196,-372,-656,-928,-1804,-872,-1060,-1220,-560,-108,844,1296,1300,-140,-2516,-4752,-2124,-1528,-460,-1772,-1792,-2908,-2356,-2252,-3716,-3092,-2664,-2464,-3572,-3632,-4164,-4012,-2672,-2068,-3280,-8000,-4540,-5616,-2812,10776,6968,4200,3520,-672,-1264,1564,-2268,-7200
"79","67","Retail trade industries","I440",6776,3530,4206,996,1994,596,3849,3115,3459,1556,-6688,-10337,1936,-2966,-1288,-6084,-26,-239,2728,5874,3778,1246,-588,2219,-899,3293,-1548,-447,3444,-6685,-7065,-13374,-9830,-4683,-7152,-431,-7987,-8125,-864,-1103,-8503,-7033,-5616,-11517,-20817,-16166,-10803,13403,4364,2078,-3571,-14029,-8968,-1228,-5600,-8808
"80","68","  Motor vehicle and parts dealers","I4410",-271,493,2271,1103,2041,883,-323,-1229,1217,-230,-1969,-3130,18,-1436,-794,-2052,-980,-708,1377,2143,1642,2008,1036,482,184,110,2750,3891,2266,-2032,-2298,-3844,-2687,-1039,-2049,1479,-254,-3488,-1137,-213,1354,401,-2799,-2171,-2528,-1586,-1506,1695,2169,1210,-1793,-2274,-2752,-1608,-2716,483
"81","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1438,965,1688,1445,1456,602,1546,809,1012,746,-41,-17,131,298,460,751,2044,1017,752,-101,-603,35,1174,2178,2226,930,-366,-334,2147,1076,-150,-1477,1569,861,390,-948,-581,-494,937,1719,-420,-48,587,1058,-2822,-917,595,2039,665,108,-93,-194,84,368,676,235
"82","70","  Building material and garden equipment and supplies dealers","I4440",482,-248,-411,-143,-160,185,402,-263,764,-5,-905,-362,-574,-1446,420,1124,19,225,-267,-89,-658,-363,-467,-145,501,42,-953,-1338,-198,-2528,-2701,-2520,-1878,-841,162,-2631,-5639,-2849,196,1431,-999,-1426,-1031,-1404,-2327,-3543,-4632,-946,-533,3088,2072,-2288,-1300,-1396,320,179
"83","71","  Food and beverage stores","I4450",339,208,-135,93,-700,-292,155,771,-87,536,-694,-1094,381,-430,362,-508,-1616,-699,-318,-193,1023,988,-200,-219,-1824,-1317,-550,115,-447,-1222,7,-813,-174,-435,77,-1425,-105,-340,-435,480,-1349,22,13,-1523,-1567,-1420,-1811,-177,698,-402,-435,-613,-1324,252,280,-1877
"84","72","  Clothing and clothing accessories stores","I4480",566,-375,-452,-667,171,-573,85,976,-760,333,729,-36,2095,-257,-116,-1181,-393,-517,-270,888,1860,550,-661,-1021,-1375,-367,-242,109,-320,-194,-222,-403,-1946,-729,-176,1522,254,18,-1044,-1720,-2464,-2090,-1217,-821,-1034,-1904,-2081,-1480,564,216,-269,-2315,-880,-1128,-1292,-1487
"85","73","  General merchandise stores","I4520",2425,241,91,-2533,-1809,-282,205,1162,1050,1440,-451,-1547,607,820,161,-4,-1075,118,1103,514,1578,-835,-812,253,831,909,-169,-1454,355,-439,60,-76,-1498,-608,80,1290,1289,649,-897,-2477,-2030,-1110,-162,722,-4610,-2187,688,1697,-39,-625,-275,-2032,-304,-204,-172,-611
"86","74","    Department stores","I45210",1768,472,344,-2236,-1656,54,474,1339,854,896,-144,-558,615,962,188,12,147,51,158,188,1451,-886,-736,343,-253,-15,-14,382,79,50,83,-1,-759,-332,59,624,1157,430,-613,-1378,-547,-341,-12,292,-1943,-1069,93,703,-421,-764,-581,-1038,-48,-80,-88,-185
"87","75","    Other general merchandise stores","I45290",656,-231,-253,-296,-154,-336,-269,-177,196,544,-307,-989,-8,-142,-27,-16,-1221,67,945,325,128,50,-76,-90,1084,924,-156,-1836,277,-490,-23,-75,-739,-276,21,666,131,219,-284,-1099,-1483,-769,-150,430,-2667,-1118,595,994,382,139,307,-995,-256,-124,-84,-426
"88","76","  Other retail stores","I44X0",1798,2246,1153,1699,996,73,1778,889,263,-1264,-3357,-4149,-721,-516,-1780,-4215,1976,325,352,2711,-1065,-1137,-656,690,-1442,2985,-2017,-1435,-359,-1345,-1760,-4241,-3217,-1893,-5636,282,-2951,-1621,1515,-323,-2594,-2784,-1005,-7377,-5929,-4608,-2056,10575,838,-1515,-2778,-4314,-2492,2488,-2696,-5729
"89","77","Other industries","IOTH0",638,1194,277,-351,1414,787,408,273,813,-841,-1274,-737,-4095,-1234,642,873,-1277,-1010,1101,2745,1199,60,493,128,-1130,569,-613,432,-127,-257,-563,-2286,-2301,-1695,-4385,-200,-2064,-3836,-1944,-901,-3817,-2249,-1997,-6217,-6405,-4914,-3299,7339,2832,158,-1628,-3216,-2292,1152,-2192,-6552
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
