"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"43","36","    Gasoline and other energy goods","DGOERC1",3.4,3.3,2.8,2.6,2.6,2.9,3,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,133.4,148.8,188.8,183.6,174.6,209.6,249.9,304.8,336.9,368,413
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.4,98.7,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,121.8,136.5,172.9,168.1,160.3,192.8,231.6,283.8,314.7,343.9,386.4
"45","38","      Fuel oil and other fuels (29)","DFULRC1",1.6,1.5,1.3,1.1,1.1,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.8,2,2,2.2,2.5,2.9,3.4,3,3.3,3.5,3.4,3.4,3.5,3.7,3.9,4,4.1,4,3.8,3.7,3.7,4,4.1,4.4,4.6,4.8,4.7,4.5,4.4,4.5,5,6.2,7.7,8.3,10,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13,14.3,13.2,11.6,12.4,15.9,15.5,14.3,16.8,18.4,21,22.3,24.1,26.6
"46","39","    Other nondurable goods","DONGRC1",5.3,4.6,4.4,3.6,3.4,3.8,4,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43,46.5,49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,452.3,499.2,536.2,566.5,594.9,622.9,652.6,683,723.7,755.2,773.2
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.8,1.9,1.9,2,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.5,4.7,4.9,5.2,5.7,6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74,79.1,85.1,93.2,103.7,119.8,140,159,181,200.2,219.6,234.5,247.3,267.1,277.6,279.4
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1",0.6,0.5,0.5,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.3,1.5,1.6,1.7,1.9,2.2,2.3,2.3,2.3,2.4,2.6,2.7,2.8,3.1,3.4,3.6,3.9,4.3,4.8,5.3,6,6.3,7,7.6,8.2,8.7,9.6,10.9,12.2,13.1,14.7,15.7,17.7,19.9,22,24.8,26.6,28.9,31.5,33.8,35.4,39.1,42.6,47.2,50.9,53.6,57.3,60.7,65.2,68.9,72.8,76.3,81.4,87.8,93.7,97.3,101.8,104.2,108.7,114,120.1,126.9,133.3
"49","42","      Household supplies (parts of 32 and 36)","DHOURC1",1,0.9,0.8,0.6,0.6,0.7,0.8,0.9,1,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.4,3.1,3.4,3.3,3.7,4,3.8,4,4,4.3,4.6,4.9,5,5.4,5.8,6.3,6.9,7.3,7.9,8.6,9.5,10,10.6,11,11.5,11.7,12.4,13.8,15.4,16.8,18.1,19.7,22.5,25.9,29.1,32.2,34.3,36.8,40,42.1,44.7,46.4,49.4,51.9,54.2,55.6,58.5,62.1,66.8,70.4,74.4,77.9,79.7,83.9,86.7,89,90.8,93.7,97.8,103,108.6,111.9,114
"50","43","      Personal care products (part of 118)","DOPCRC1",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.8,2.9,3.2,3.5,3.9,4.1,4.4,4.8,5.3,5.8,6.3,6.7,7.1,7.5,8,9,10,11.1,12.2,13.8,15.4,17.1,18.7,20.5,21.6,23.7,26.3,28.3,30.4,32.6,34.6,36.9,39.3,40.2,41.4,43.9,47.1,50.2,53.4,56.4,59.9,64.4,68.5,71,73.2,74.6,76.4,79.5,83.5,87.4,91.3
"51","44","      Tobacco (127)","DTOBRC1",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,56.4,65.5,68.5,69.7,70.1,69.7,70.4,71.1,72.3,75.1,77.1
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1",0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.2,1.3,1.4,1.6,1.8,2,2,2.1,2.3,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.4,3.5,3.4,3.8,4,4.2,4.5,5.3,5.5,5.8,6.4,6.9,7.1,7.7,8.4,9.2,9.9,10.8,11.9,14.1,16.4,18.1,19.8,21,22.4,24.5,25.4,26.6,28.8,31.7,34,36.5,37.8,38.8,40.9,43.8,46.1,48.2,50.2,51.9,54.3,56.6,55,54.8,56.3,59.7,63.2,66.8,70.2,71.7
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.1,-0.1,-0.2,0,0.2,0.2,0.5,0.7,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,1.1,1.3,1.6,1.7,3,3.2,3.1,3.2,3.4,4,4.8,5,5,5.3,6.1,6.3
"54","47","Services","DSERRC1",33.6,32,29,24.6,22.2,23,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38,43.6,48.1,52.4,58.1,62.6,67.6,70.4,75.4,83.8,90.7,98.2,104.2,111.4,119.5,127.3,134.6,145.1,154.8,163.4,174.4,184.6,199.2,214.1,231.3,248.8,273.4,300.4,329.5,359.5,396.4,435.4,481.4,542.5,604.9,677.4,764.1,853.2,956,1070.1,1176.2,1314.8,1437.4,1580,1701.1,1840.7,2012.7,2170.7,2344.2,2482.6,2673.6,2841.2,3004.3,3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.6,5392.8,5745.1,6100.9,6461.4,6726.8
"55","48","  Household consumption expenditures (for services)","DHCERC1",32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56.1,60.4,65.3,68.1,72.9,81.1,87.8,95.2,100.9,107.9,115.6,123.1,130.1,140,149.5,157.9,168.7,178.6,192.5,206.9,223.5,240.4,264,290.4,318.4,347.2,382.8,420.7,465,524.4,584.9,655.6,739.6,825.4,924.1,1033.9,1136.1,1271.9,1389.8,1529.7,1645.8,1782.1,1946,2099,2264.5,2398.4,2581.3,2746.6,2901.9,3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5182.8,5531,5860.6,6207.9,6448
"56","49","    Housing and utilities","DHUTRC1",12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,311.8,352,387,421.2,458.3,500.7,535.7,571.8,614.5,655.6,696.4,735.5,771.2,814.5,866.5,913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.8,1462.2,1582.8,1686,1763.1,1843.7
"57","50","      Housing","DHSGRC1",11.4,11,10.2,9,7.9,7.6,7.7,8,8.5,8.9,9.1,9.4,10.2,10.9,11.4,12,12.4,13.7,15.4,17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41,44,47,50,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,245.9,277.8,302.5,327.2,358.4,394.7,429.2,461.8,497.3,531.5,570.4,601.8,634.5,665.9,712.6,756.2,794.2,839.3,893.9,950.5,1010.5,1085.8,1134.5,1176.1,1233.9,1328.9,1416.3,1480,1543.1
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.9,330.3
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1143.5,1186.8
"60","53","        Rental value of farm dwellings (22)","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,23.6,24.9
"61","54","        Group housing (23)","DGRHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1
"62","55","      Household utilities","DUTLRC1",1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.9,1.9,2,2.1,2.2,2.3,2.6,2.9,3.2,3.5,4,4.4,4.9,5.3,5.9,6.5,7.1,7.6,8.2,8.9,9.7,10.3,11.1,11.7,12.4,13,13.7,14.5,15.4,16.8,18.4,20.3,22.5,24.5,28.5,34.1,38.6,44.5,49.8,55.4,65.9,74.1,84.5,94,99.8,106,106.5,110.1,117.1,124.1,125.9,133.8,136.7,148.6,153.9,157.6,167,170.6,171.3,174.6,188.1,202,200.2,217.7,228.4,253.9,269.7,283.1,300.6
"63","56","        Water supply and sanitation (25)","DWRSRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,57.3,60.2,63.6,68.8,72.9,77.1
"64","57","        Electricity and gas","DELGRC1",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2.1,2.4,2.7,2.9,3.4,3.8,4.2,4.6,5,5.6,6.1,6.5,7.1,7.7,8.4,8.9,9.5,9.9,10.5,10.9,11.6,12.3,13,14,15.2,16.7,18.4,20.1,23.6,28.6,32.6,37.8,42.3,47,56.5,63.6,72.8,80.9,84.9,89,87.4,89,94.2,98.9,98.8,104.9,106.4,115.1,117.2,118.3,124.9,126.6,125.1,125.8,137.6,149.6,145.6,160.4,168.2,190.4,200.9,210.2,223.5
"65","58","          Electricity (27)","DELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28,30.7,37.2,42.5,47,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.9,128.7,140.9,148.7,157
"66","59","          Natural gas (28)","DGHERC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.3,2.4,2.7,3,3.3,3.5,3.8,4,4.2,4.3,4.5,4.7,4.9,5.2,5.6,6.1,6.6,6.8,7.5,9.3,11,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.6,59.9,61.5,66.5
"67","60","    Health care","DHLCRC1",2.3,2.2,2,1.7,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5,5.8,6,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12,13.4,14.8,16,17.1,19.1,21,24.2,26,28.7,31.9,36.6,42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1149.3,1229.7,1316,1380.7,1469.6,1554.2
"68","61","      Outpatient services","DOUTRC1",1.7,1.6,1.4,1.1,1,1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.9,3.3,3.8,3.8,4,4.2,4.6,5.1,5.7,6,6.5,7.1,7.9,8.7,9.2,9.6,10.7,11.5,13.5,14.5,15.4,16.3,17.8,19.9,22.3,24.1,26.3,29.9,33.2,38.5,43.4,49.5,54.7,61.5,70.6,83.6,90.7,103.3,115.8,129.4,143.4,164.4,186.2,204.6,232.1,253.8,282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,552.1,593.7,636.5,665,707.3,747.2
"69","62","        Physician services (44)","DPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1.1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.8,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,7,8.2,8.6,9.1,10.1,10.9,12.4,14,15.3,16.7,18.5,20.4,23.6,25.9,29.7,32.7,37.2,43.3,51,55.8,62.9,69.9,77.5,85.4,99.1,112.5,121.9,134.8,144.9,158.7,162.1,168.3,177.8,183.4,190.9,202,212.1,229.2,249.3,269.3,291.3,311.4,332.4,346.8,365.6,381.8
"70","63","        Dental services (45)","DDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,78.1,83.9,89,93.5,99.3,103.5
"71","64","        Paramedical services (46)","DPMSRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.2,1.4,1.6,1.9,2.2,2.7,3,3.3,2.8,3.1,3.2,3.4,3.6,4,4.8,5.5,6.7,8.2,9.5,10.7,12.1,13.6,16.5,17.5,21.6,25.2,29.4,33.8,38.5,45.3,52.4,64.9,74.8,86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,182.6,198.4,215.1,224.7,242.3,261.9
"72","65","      Hospital and nursing home services","DHPNRC1",0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.4,1.7,2,2.2,2.4,2.7,3,3.3,3.6,3.9,4.4,4.9,5.5,6.2,6.9,7.5,8.4,9.5,10.6,11.6,13.3,15.7,18.8,22.1,25.4,29.6,33.5,37.3,42.9,50.5,58.5,66.2,76.5,87.3,101,118.3,134.5,149.8,160.7,172.8,186.8,201.6,223.9,246.6,274.1,302,330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,597.2,636,679.5,715.7,762.3,807
"73","66","        Hospitals (51)","DHSPRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.6,1.9,2,2.3,2.5,2.9,3.1,3.4,3.7,4.1,4.6,5.3,5.9,6.3,6.8,7.5,8.3,9.1,10,11.3,13.2,15.7,18.3,20.9,24.3,27.6,30.6,35.3,41.7,48.6,55.1,63.6,72.9,84.7,100,115.2,127.4,135.8,145.8,157.4,170.9,188.8,207.7,228.8,253.3,277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,493.8,528.8,567,601,639.7,680
"74","67","        Nursing homes (52)","DNRSRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.9,1.1,1.5,1.6,2,2.4,3,3.8,4.5,5.3,6,6.7,7.7,8.8,9.9,11.1,12.8,14.4,16.4,18.3,19.3,22.4,24.9,27,29.4,30.7,35.1,38.9,45.3,48.7,52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,103.4,107.2,112.5,114.7,122.6,127
"75","68","    Transportation services","DTRSRC1",2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6,6.3,6.8,6.8,7.1,7.6,8,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.1,273.2,285.9,297,307.4,307.8
"76","69","      Motor vehicle services","DMVSRC1",0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.6,0.6,0.7,1,1.7,2,2.3,2.5,2.6,3,3.2,3.7,3.8,4.2,4.5,4.9,5.1,5.5,5.8,6.2,6.6,7,7.5,8,8.6,9.4,10.3,11.5,13,14.6,15.8,16.6,17.7,20.6,23,26.6,29.5,33.2,35.1,38.4,39.8,45,53,62,65.8,71.8,79.5,84.8,87.2,84.4,93.1,102.6,115.9,129.1,142.8,157.2,165.2,177.7,189.3,194.8,191.8,194,199.3,209.1,216.4,224.1,221.5
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.9,1.6,1.8,2,2.2,2.3,2.7,2.8,3.2,3.3,3.6,4,4.3,4.4,4.8,5.1,5.4,5.8,6.2,6.6,7,7.6,8.2,9.1,10.1,11.4,12.9,14,14.7,15.7,18.3,20.5,23.8,26.4,29.8,31.2,33.9,35.1,39.9,45.9,53.4,56.2,61.5,68.3,72.5,73.9,69.4,73.7,78.9,86.5,93.5,100.1,106.3,112.8,119.9,127.4,133.8,136.8,143.4,148.3,154.9,156.9,162,158.5
"78","71","        Other motor vehicle services (61)","DOVSRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.7,1.9,2,2,2.3,2.5,2.9,3,3.4,3.9,4.5,4.7,5.2,7.1,8.7,9.6,10.3,11.3,12.3,13.3,15,19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,50.6,50.9,54.2,59.5,62.1,63
"79","72","      Public transportation","DPUBRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.4,1.9,2.7,2.8,2.8,2.9,2.9,3,2.9,2.8,3,3.1,3.1,3,3,3.1,3.2,3.1,3.2,3.4,3.4,3.6,3.6,3.8,4.1,4.4,4.9,5.6,6.5,7.1,7.8,8.7,9.4,10.7,11.4,13.2,14.8,15.7,17.5,20.2,21.4,21.9,23.9,27,28.1,29.2,31.3,34.6,37.1,39.2,39.3,40.5,43.5,46,48.8,52.2,57.1,61.9,65.6,73,67.9,64.9,69.1,73.9,76.8,80.6,83.3,86.2
"80","73","        Ground transportation (63)","DGRDRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.4,1.9,2.6,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.6,2.6,2.7,2.6,2.7,2.7,2.7,2.8,3,3.1,3.3,3.6,4,4.3,4.6,4.7,5.2,5.5,6,6.5,6.6,7.1,7.4,8,8.4,8.7,9.3,9.8,9.9,10,11.2,11.8,12.9,14,14.8,15.4,16.1,16.7,17.4,18.1,19.7,20.5,21.6,22.8,23.1,23.3,25.2,26.4,28.4,28.6,31
"81","74","        Air transportation (64)","DAITRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,15.1,17.6,18.1,19,20.9,23,24.8,25.9,25.1,25.6,27.7,29.2,31.1,33.3,37.2,40.3,43,49.2,42.9,39.5,43.3,46.2,47.7,49.4,51.7,52.2
"82","75","        Water transportation (65)","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.3,0.6,1.1,1.5,1.8,2,2.1,2.2,2.3,2.3,2.4,2.6,2.7,2.8,3,3
"83","76","    Recreation services","DRCARC1",1.6,1.5,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9,9.8,10.5,11.7,12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,289.5,312,326.8,348.8,371.7,383.1
