"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"33","13","  Net domestic product","A362RX1","3,955,455.0","3,963,096.0","3,985,703.0","3,959,604.0","3,947,479.0","3,951,304.0","3,987,582.0","3,938,709.0","4,055,128.0","4,076,332.0","4,108,363.0","4,117,479.0","4,195,938.0","4,302,364.0","4,342,609.0","4,415,819.0","4,534,407.0","4,585,761.0","4,552,012.0","4,594,061.0","4,543,229.0","4,550,632.0","4,494,789.0","4,469,894.0","4,403,817.0","4,437,223.0","4,517,343.0","4,579,541.0","4,692,818.0","4,727,842.0","4,748,717.0","4,782,005.0","4,838,545.0","4,940,727.0","5,033,749.0","5,025,578.0","5,037,871.0","5,254,365.0","5,304,303.0","5,374,886.0","5,376,014.0","5,372,805.0","5,407,735.0","5,416,081.0","5,427,454.0","5,292,998.0","5,274,057.0","5,378,218.0","5,498,744.0","5,441,212.0","5,508,866.0","5,421,951.0","5,310,964.0","5,336,082.0","5,305,119.0","5,303,458.0","5,373,821.0","5,506,473.0","5,624,154.0","5,749,590.0","5,868,709.0","5,974,941.0","6,030,746.0","6,075,361.0","6,128,235.0","6,175,596.0","6,274,258.0","6,317,937.0","6,377,350.0","6,396,624.0","6,456,655.0","6,481,782.0","6,512,103.0","6,580,781.0","6,635,877.0","6,755,486.0","6,786,006.0","6,875,677.0","6,906,427.0","7,001,413.0","7,066,072.0","7,116,101.0","7,170,146.0","7,178,020.0","7,253,175.0","7,276,685.0","7,268,131.0","7,188,173.0","7,141,624.0","7,189,394.0","7,216,667.0","7,241,554.0","7,324,482.0","7,406,352.0","7,487,360.0","7,571,825.0","7,577,271.0","7,622,128.0","7,657,762.0","7,762,728.0","7,838,893.0","7,950,208.0","7,997,578.0","8,086,911.0","8,097,671.0","8,105,223.0","8,169,775.0","8,221,273.0","8,271,582.0","8,419,657.0","8,488,027.0","8,577,885.0","8,637,126.0","8,765,621.0","8,872,765.0","8,931,673.0","9,008,223.0","9,080,313.0","9,195,740.0","9,355,045.0","9,427,870.0","9,489,800.0","9,605,036.0","9,778,988.0","9,786,405.0","9,979,188.0","9,966,639.0","10,014,230.0","9,958,727.0","10,017,317.0","9,972,522.0","10,000,163.0","10,084,101.0","10,133,997.0","10,181,000.0","10,174,295.0","10,212,533.0","10,302,058.0","10,485,005.0","10,581,067.0","10,647,705.0","10,714,241.0","10,792,686.0","10,879,919.0","10,994,165.0","11,036,692.0","11,122,371.0","11,173,094.0","11,321,445.0","11,358,065.0","11,344,099.0","11,416,372.0","11,417,364.0","11,519,313.0","11,601,084.0","11,643,327.0","11,573,852.0","11,605,227.0","11,470,176.0","11,157,367.0","10,978,199.0","10,965,746.0","11,009,919.0","11,134,366.0","11,206,300.0","11,273,813.0","11,351,346.0","11,421,792.0","11,419,031.0","11,493,062.0","11,526,982.0","11,650,709.0","11,706,590.0","11,739,154.0","11,819,138.0"
"34","14","  Net domestic income \3\","W256RX1","3,925,029.0","3,948,337.0","3,975,183.0","3,963,039.0","3,925,499.0","3,919,418.0","3,954,407.0","3,908,783.0","3,993,206.0","4,020,967.0","4,055,168.0","4,108,518.0","4,168,335.0","4,226,109.0","4,299,438.0","4,422,842.0","4,505,809.0","4,526,019.0","4,532,352.0","4,583,178.0","4,533,233.0","4,506,731.0","4,479,816.0","4,408,047.0","4,343,290.0","4,382,985.0","4,481,279.0","4,527,867.0","4,628,719.0","4,656,878.0","4,689,158.0","4,701,544.0","4,746,206.0","4,875,717.0","4,976,890.0","5,004,015.0","5,025,681.0","5,192,328.0","5,222,998.0","5,264,391.0","5,306,298.0","5,262,951.0","5,262,402.0","5,295,403.0","5,287,061.0","5,163,967.0","5,188,571.0","5,333,003.0","5,378,755.0","5,368,841.0","5,457,264.0","5,371,301.0","5,316,733.0","5,337,277.0","5,301,242.0","5,265,453.0","5,331,256.0","5,426,392.0","5,507,345.0","5,631,542.0","5,796,349.0","5,911,680.0","5,978,566.0","6,043,994.0","6,087,642.0","6,118,288.0","6,187,212.0","6,219,354.0","6,284,651.0","6,292,453.0","6,325,308.0","6,366,019.0","6,416,208.0","6,519,572.0","6,620,638.0","6,718,091.0","6,796,854.0","6,875,484.0","6,929,253.0","7,026,112.0","7,059,955.0","7,029,708.0","7,054,850.0","7,055,963.0","7,113,266.0","7,159,593.0","7,142,120.0","7,092,929.0","7,068,795.0","7,082,955.0","7,091,463.0","7,110,910.0","7,228,528.0","7,285,876.0","7,305,813.0","7,385,352.0","7,376,844.0","7,459,836.0","7,473,793.0","7,603,084.0","7,692,391.0","7,788,613.0","7,871,726.0","7,967,091.0","8,001,919.0","8,033,329.0","8,126,659.0","8,170,069.0","8,242,941.0","8,374,814.0","8,452,510.0","8,560,304.0","8,648,189.0","8,745,051.0","8,889,178.0","8,991,134.0","9,080,281.0","9,205,534.0","9,336,978.0","9,418,791.0","9,539,738.0","9,590,487.0","9,667,261.0","9,834,162.0","10,038,996.0","10,078,066.0","10,140,186.0","10,098,027.0","10,194,724.0","10,137,922.0","10,071,334.0","10,003,708.0","10,131,443.0","10,183,390.0","10,158,701.0","10,196,238.0","10,221,229.0","10,329,853.0","10,420,483.0","10,538,833.0","10,624,042.0","10,730,243.0","10,847,161.0","10,924,497.0","11,041,281.0","11,121,604.0","11,202,577.0","11,339,802.0","11,531,532.0","11,560,402.0","11,607,963.0","11,678,979.0","11,575,480.0","11,577,942.0","11,520,647.0","11,554,289.0","11,628,453.0","11,578,320.0","11,478,096.0","11,131,246.0","10,927,609.0","10,844,854.0","10,865,506.0","11,019,570.0","11,192,187.0","11,238,143.0","11,354,764.0","11,384,645.0","11,463,629.0","11,471,026.0","11,455,024.0","11,589,336.0","11,705,638.0","11,672,010.0","11,718,904.0"
"35","15","  Net domestic purchases","W367RX1","4,057,610.0","4,059,862.0","4,085,926.0","4,048,041.0","4,032,669.0","4,030,151.0","4,067,656.0","4,019,020.0","4,134,305.0","4,175,160.0","4,203,071.0","4,216,619.0","4,307,586.0","4,414,101.0","4,445,168.0","4,521,395.0","4,635,301.0","4,662,026.0","4,616,499.0","4,642,958.0","4,571,635.0","4,579,889.0","4,539,754.0","4,499,573.0","4,386,250.0","4,401,878.0","4,520,058.0","4,579,709.0","4,721,656.0","4,770,796.0","4,797,168.0","4,841,432.0","4,928,300.0","5,023,962.0","5,106,866.0","5,120,084.0","5,156,305.0","5,329,261.0","5,381,019.0","5,439,612.0","5,438,518.0","5,437,029.0","5,443,906.0","5,431,651.0","5,427,828.0","5,235,319.0","5,172,470.0","5,310,461.0","5,444,045.0","5,384,966.0","5,457,489.0","5,386,209.0","5,284,493.0","5,296,713.0","5,316,437.0","5,316,467.0","5,391,304.0","5,563,306.0","5,717,662.0","5,862,383.0","6,021,081.0","6,142,492.0","6,204,630.0","6,259,107.0","6,296,329.0","6,378,792.0","6,478,249.0","6,534,418.0","6,577,126.0","6,621,220.0","6,689,733.0","6,701,076.0","6,726,313.0","6,792,567.0","6,838,740.0","6,954,939.0","6,947,378.0","7,008,893.0","7,046,723.0","7,146,292.0","7,194,236.0","7,217,005.0","7,261,564.0","7,273,189.0","7,343,006.0","7,354,489.0","7,336,887.0","7,226,977.0","7,165,565.0","7,200,048.0","7,232,426.0","7,257,422.0","7,331,672.0","7,427,534.0","7,504,056.0","7,605,177.0","7,628,149.0","7,681,453.0","7,731,975.0","7,847,178.0","7,937,384.0","8,056,342.0","8,098,010.0","8,196,087.0","8,212,928.0","8,217,560.0","8,242,839.0","8,293,823.0","8,367,559.0","8,523,816.0","8,621,260.0","8,669,370.0","8,758,726.0","8,884,538.0","9,011,056.0","9,099,626.0","9,218,845.0","9,334,286.0","9,473,440.0","9,634,892.0","9,751,614.0","9,845,214.0","9,983,447.0","10,164,927.0","10,214,449.0","10,422,397.0","10,437,289.0","10,493,490.0","10,429,178.0","10,478,744.0","10,456,193.0","10,497,595.0","10,602,392.0","10,674,587.0","10,740,299.0","10,773,577.0","10,802,441.0","10,919,139.0","11,093,121.0","11,199,123.0","11,282,216.0","11,401,693.0","11,498,652.0","11,606,334.0","11,708,919.0","11,745,911.0","11,843,674.0","11,918,751.0","12,054,452.0","12,091,453.0","12,101,315.0","12,111,261.0","12,120,714.0","12,209,021.0","12,239,570.0","12,207,515.0","12,125,105.0","12,089,471.0","11,930,453.0","11,628,413.0","11,372,234.0","11,280,547.0","11,346,537.0","11,471,988.0","11,569,380.0","11,694,113.0","11,802,136.0","11,832,185.0","11,828,504.0","11,884,798.0","11,917,776.0","12,062,119.0","12,115,693.0","12,140,361.0","12,215,328.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
