"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"165","158","Q1TSS1 A Services","Q1TSS10",2851667,2899952,3000806,3085708,3176621,3259873,3356012,3467984,3614961,3758010,3928836,4023246,4100369,4178828,4310955,4427287,4545506
"166","159","Q1HOS1 B   Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1042085,1051897,1083782,1118303,1148346
"167","160","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",551605,567367,575458,583905,604767,615870,626725,642408,663676,688227,712236,740156,748938,764870,793872,822946,846941
"168","161","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23511,25115,25718,25309,25497,25572,26174,26831,27195,27253,28317,32386,31176,29566,29244,28268,28521
"169","162","Q1OST1 D       Owner occupied stationary homes","Q1OST10",528094,542251,549738,558596,579269,590295,600547,615576,636479,660973,683919,707772,717758,735306,764625,794676,818420
"170","163","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",199890,201713,203761,204883,209923,216456,217059,218772,222839,226652,227549,230726,228791,220352,220629,223412,227560
"171","164","Q1TMH1 D       Tenant occupied mobile homes","Q1TMH10",5006,5424,5492,5579,6005,6308,6226,5997,5635,5140,4963,5049,5291,5311,5469,5444,5510
"172","165","Q1TSP1 D       Tenant occupied stationary homes","Q1TSP10",190996,192334,194190,195159,199721,205633,206067,207758,211966,216033,216809,219618,217295,208684,208550,211121,214937
"173","166","Q1TLD1 D       Tenant landlord durables","Q1TLD10",4037,4098,4206,4263,4330,4615,4826,5047,5253,5484,5776,6063,6223,6422,6725,6997,7299
"174","167","Q1FAR1 C     Rental value of farm dwellings (26)","Q1FAR10",9616,9619,9606,9572,9615,9626,9673,9994,10204,10456,10656,10807,10915,10987,10965,10964,10952
"175","168","Q1OHO1 C     Other (27)","Q1OHO10",40914,41171,43849,43296,44963,45524,47657,51363,52160,53224,56016,51999,53454,55850,58591,61367,63347
"176","169","Q1HOT1 D       Hotels and motels","Q1HOT10",31687,31756,34447,33501,35197,35681,37504,41204,41859,42698,45221,40863,41917,43841,46259,48708,50274
"177","170","Q1HFR1 D       Clubs and fraternity housing","Q1HFR10",402,431,431,440,444,456,499,487,531,593,667,666,627,632,605,581,582
"178","171","Q1HHE1 D       Higher education housing","Q1HHE10",8228,8387,8464,8838,8813,8849,9090,9109,9207,9322,9512,9834,10292,10758,11158,11559,11969
"179","172","Q1HES1 D       Elementary and secondary education housing","Q1HES10",157,154,156,156,158,162,166,164,165,165,166,164,161,159,157,155,155
"180","173","Q1TGR1 D       Tenant group room and board","Q1TGR10",415,426,315,338,320,342,359,351,346,390,393,393,369,372,357,342,343
"181","174","Q1TGL1 D       Tenant group employee lodging","Q1TGL10",37,36,38,39,41,43,44,49,52,54,57,59,62,64,65,65,66
"182","175","Q1HOP1 B   Household operation","Q1HOP10",266367,269851,277407,291069,303314,312884,327271,340359,357087,371876,390110,390968,393204,398790,408543,416450,412912
"183","176","Q1GEL1 B     Electricity and gas","Q1GEL10",117401,121084,120424,126783,128772,130154,134738,133729,136678,138143,143300,140893,144863,147497,149135,153236,148520
"184","177","Q1ELC1 C       Electricity (37)","Q1ELC10",81127,83468,82025,86853,88810,90163,91793,91672,97956,98796,102348,100038,104624,105729,108020,112988,110562
"185","178","Q1NGS1 C       Gas (38)","Q1NGS10",36649,38058,39113,40556,40468,40399,43815,42788,38678,39337,40953,40827,40251,41752,41260,40832,38764
"186","179","Q1HLU1 B     Other household operation","Q1HLU10",149401,149179,157427,164750,175032,183184,192977,206991,220672,233782,246809,250198,248268,251187,259495,263111,265125
"187","180","Q1WAT1 C       Water and other sanitary services (39)","Q1WAT10",41096,40503,39742,41646,43525,45156,46624,47652,48385,50017,50816,51308,51871,52483,51826,51429,51415
"188","181","Q1WSM1 D         Water and sewerage maintenance","Q1WSM10",34397,34070,33351,34585,35924,37085,37864,38277,38398,39329,39713,40370,41231,41481,40495,39970,39849
"189","182","Q1REF1 D         Refuse collection","Q1REF10",6747,6481,6436,7094,7628,8090,8767,9376,9987,10689,11103,10937,10633,11000,11346,11487,11602
"190","183","Q1TEL1 C       Telephone and telegraph (41)","Q1TEL10",58325,60967,67522,71115,75530,79457,86497,96401,103953,114347,125068,131020,131211,133459,139651,142317,144672
"191","184","Q1LOC1 D         Local and cellular telephone","Q1LOC10",30664,31662,34435,37031,40431,43779,49077,53078,59246,68464,79080,88845,93323,95646,99596,105277,110374
"192","185","Q1CEL1 D           Cellular telephone","Q1CEL10",1335,1817,2913,3974,5360,7229,9750,11531,15084,21645,30187,40806,46900,52341,59014,67629,76327
"193","186","Q1OLC1 D           Local telephone","Q1OLC10",34436,34698,35951,37106,38679,39397,41496,43398,45350,47171,48892,48554,47644,45453,43894,42537,40747
"194","187","Q1LDT1 D         Long distance telephone","Q1LDT10",27517,29155,32938,33904,34906,35481,37225,43031,44485,45791,45988,42083,37537,37345,39703,35217,31034
"195","188","Q1INC1 D           Intrastate toll calls","Q1INC10",10113,11029,11855,12286,13211,13973,14606,14812,14882,14412,14128,13216,11709,10562,11049,9584,8413
"196","189","Q1ITC1 D           Interstate toll calls","Q1ITC10",17531,18240,21239,21777,21885,21756,22873,28289,29644,31384,31860,28865,25828,26804,28681,25669,22655
"197","190","Q1DMS1 C       Domestic service (42)","Q1DMS10",14315,13304,14329,14916,15418,16049,15655,16225,18320,16790,17350,16249,15549,16748,17331,17024,17132
"198","191","Q1DMC1 D         Domestic service, cash","Q1DMC10",13215,12192,13103,13709,14073,14660,14250,14823,16810,15344,15902,14810,14076,15148,15687,15406,15471
"199","192","Q1DMI1 D         Domestic service, in kind","Q1DMI10",1113,1113,1225,1210,1342,1388,1400,1401,1512,1445,1448,1439,1474,1603,1646,1620,1665
"200","193","Q1OPO1 C       Other (43)","Q1OPO10",39659,37239,37560,38737,42343,44287,45437,47370,50576,52778,53576,51742,49874,48855,51308,53099,52974
"201","194","Q1MSE1 D         Moving and storage","Q1MSE10",8666,7755,7891,8297,9460,10449,10897,12220,12780,13523,13569,12255,10709,10852,12452,13274,13080
"202","195","Q1FIN1 D         Household insurance","Q1FIN10",4024,3919,3748,3649,3711,3600,3662,3394,3808,3845,3836,3794,3358,2941,3256,3195,2919
"203","196","Q1FIP1 D           Household insurance premiums","Q1FIP10",7511,7569,7834,8119,8412,8683,8899,9042,9397,9744,10161,10733,11716,12508,13701,14414,15335
"204","197","Q1FIB1 D           Less: Household insurance benefits paid","Q1FIB10",3487,3650,4086,4470,4701,5083,5237,5648,5589,5900,6325,6939,8358,9567,10445,11219,12417
"205","198","Q1RCL1 D         Rug and furniture cleaning","Q1RCL10",1090,1111,1180,1348,1548,1788,2023,2221,2373,2540,2686,2702,2742,2793,2868,3174,3349
"206","199","Q1ERE1 D         Electrical repair","Q1ERE10",2950,3067,3064,3047,3238,3563,3447,3643,3707,3756,3641,3465,3501,3475,3340,3378,3212
"207","200","Q1FRE1 D         Reupholstery and furniture repair","Q1FRE10",2686,2620,2412,2261,2297,2380,2352,2400,2697,2779,2772,2563,2483,2380,2208,2186,2187
"208","201","Q1PST1 D         Postage","Q1PST10",9674,8726,8579,8854,9341,9135,9453,9605,10107,10361,10819,10748,10607,9711,9881,10063,9918
"209","202","Q1MHO1 D         Household operation services, n.e.c.","Q1MHO10",10124,9756,10537,11183,12638,13358,13565,13900,15092,15976,16254,16200,16334,16420,17016,17480,17725
"210","203","Q1TOT1 B   Transportation","Q1TOT10",195691,186344,194199,202459,218376,231774,247502,263198,272002,283405,291254,287969,280236,280606,284561,287808,291199
"211","204","Q1UOS1 C     User-operated transportation","Q1UOS10",152063,143329,151401,159236,171536,183373,195711,209730,215994,225295,231602,231630,223822,221713,222741,225189,228054
"212","205","Q1REP1 C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","Q1REP10",109366,101689,108786,116295,127723,138846,150542,163480,168989,177409,183494,182925,175244,173020,173095,175905,178554
"213","206","Q1ARP1 D         Motor vehicle repair","Q1ARP10",94458,84493,86225,89767,96147,101722,106278,109155,113107,116397,119333,121004,119324,120758,122422,122712,122878
"214","207","Q1RLO1 D         Motor vehicle rental, leasing, and other","Q1RLO10",16644,18469,23587,27459,32409,37786,44646,54367,55934,61016,64160,61916,55844,52027,50296,52997,55700
"215","208","Q1MVR1 D           Motor vehicle rental","Q1MVR10",4350,4574,4424,5002,5727,5738,6676,7233,7556,7672,8213,8374,7873,8016,9110,9448,9745
"216","209","Q1MVL1 D           Motor vehicle leasing","Q1MVL10",5297,6312,10165,13369,17370,22130,27330,34606,34961,38989,41277,38651,33263,29060,26824,29019,32167
"217","210","Q1ALE1 D             Auto leasing","Q1ALE10",4399,4952,8568,10831,12704,15190,17318,21543,20479,21727,22181,22385,19327,17006,15503,15070,15928
"218","211","Q1TLE1 D             Truck leasing","Q1TLE10",861,1337,1523,2464,4622,6912,10006,13061,14483,17262,19096,16266,13937,12055,11321,13949,16239
"219","212","Q1OAS1 D           Other motor vehicle services","Q1OAS10",8192,8802,10040,9934,9962,10276,10789,12497,13449,14360,14670,14905,14688,14827,14233,14522,14157
"220","213","Q1ATN1 C       Other user-operated transportation (76+77)","Q1ATN10",43267,42581,43289,43370,44056,44637,45194,46224,46971,47869,48108,48709,48596,48701,49608,49349,49621
"221","214","Q1TOL1 C         Bridge, tunnel, ferry, and road tolls","Q1TOL10",3294,3412,3863,4040,4194,4404,4792,5005,4689,4997,5075,4899,4865,4948,5130,5207,5367
"222","215","Q1AIN1 C         Insurance","Q1AIN10",39939,39140,39394,39315,39856,40226,40409,41227,42275,42872,43033,43814,43736,43759,44489,44156,44276
"223","216","Q1PLT1 C     Purchased local transportation","Q1PLT10",10909,10810,10665,10776,11229,11235,10959,10954,11819,12093,12227,12107,11717,11541,11565,11703,12124
"224","217","Q1IMT1 C       Mass transit systems (79)","Q1IMT10",7475,7579,7572,7620,8014,7865,7742,7764,8291,8728,9087,8974,8548,8438,8510,8545,8906
"225","218","Q1TAX1 C       Taxicab (80)","Q1TAX10",3437,3230,3092,3155,3212,3372,3218,3190,3528,3365,3139,3133,3168,3103,3054,3158,3217
"226","219","Q1PIT1 C     Purchased intercity transportation","Q1PIT10",32539,31853,31965,32396,35523,37098,40812,42537,44182,46015,47425,44112,44831,48065,51544,52245,52197
"227","220","Q1IRR1 C       Railway (82)","Q1IRR10",809,803,606,570,513,478,451,461,468,474,518,533,527,523,577,582,593
"228","221","Q1IBU1 C       Bus (83)","Q1IBU10",1528,1715,1729,1872,1960,2109,2157,2509,2400,2343,2376,2291,2208,2101,1964,1829,1702
"229","222","Q1IAI1 C       Airline (84)","Q1IAI10",24806,23882,23446,23727,26131,27190,30313,31741,33307,34908,36725,34039,34177,36804,39941,40500,39698
"230","223","Q1TRO1 C       Other (85)","Q1TRO10",5308,5408,6229,6263,6946,7353,7912,7848,8014,8293,7807,7242,7868,8635,9172,9471,10230
"231","224","Q1TMD1 B   Medical care","Q1TMD10",797618,824521,863632,877196,887095,906399,922489,942809,970667,988975,1026813,1075248,1136641,1180763,1216527,1258216,1300294
"232","225","Q1PHY1 C     Physicians (47)","Q1PHY10",194739,198050,204308,198351,196503,200126,204920,210554,218734,224578,236836,249676,269774,288094,302178,317666,334739
"233","226","Q1DEN1 C     Dentists (48)","Q1DEN10",53495,52373,54240,54237,55277,56689,57067,58114,59236,60026,61827,64184,66364,65930,67520,67975,68492
"234","227","Q1OPS1 C     Other professional services (49)","Q1OPS10",94846,104170,115613,125864,132702,142262,148573,151123,155511,157208,161577,169919,178106,187201,196631,204413,213710
"235","228","Q1HHC1 D       Home health care","Q1HHC10",24189,27677,32540,37554,41983,47284,50021,49197,48356,46934,45747,46923,49273,52998,57254,60771,65489
"236","229","Q1MLB1 D       Medical laboratories","Q1MLB10",8235,8995,9724,9763,10020,9830,10395,11658,13184,14333,16405,18324,18866,20199,21275,22204,23089
"237","230","Q1EEX1 D       Eye examinations","Q1EEX10",2660,3054,3255,3609,3951,4120,4431,4712,4841,5102,5379,5423,5645,5820,6175,6367,6379
"238","231","Q1OMD1 D       All other professional medical services","Q1OMD10",59638,64330,70028,74947,76821,81216,83924,85660,89180,90858,94047,99242,104316,108211,112027,115237,119043
"239","232","Q1PHO1 C     Hospitals and nursing homes (50)","Q1PHO10",386401,399397,414449,421853,426529,434130,441600,453607,462560,469417,482597,504039,529264,541522,549823,564450,578282
"240","233","Q1HSP1 C       Hospitals","Q1HSP10",317297,328758,340974,346633,349951,353305,357816,365732,374923,383033,395998,416847,440896,452162,461088,473538,484614
"241","234","Q1NPH1 C         Nonprofit","Q1NPH10",214660,224383,235288,239219,238615,237635,239668,245115,251690,259408,267122,275847,288082,297005,305715,315336,322705
"242","235","Q1FPH1 C         Proprietary","Q1FPH10",38890,38550,37614,36063,36448,38376,41194,42882,42150,41944,43144,48057,54746,57222,56975,58930,61673
"243","236","Q1GVH1 C         Government","Q1GVH10",64135,66111,68336,71620,75047,77303,76915,77700,81058,81686,85732,92979,98164,98022,98503,99391,100358
"244","237","Q1NRS1 C       Nursing homes","Q1NRS10",68735,70206,73044,74824,76234,80748,83822,88009,87707,86402,86599,87221,88446,89454,88840,91021,93780
"245","238","Q1NPN1 D         Non-profit nursing homes","Q1NPN10",21844,21713,23481,24187,24901,26233,27616,30526,30742,31503,31939,33089,33712,33732,33070,34020,35210
"246","239","Q1FPN1 D         Proprietary and government nursing homes","Q1FPN10",47083,48764,49734,50796,51463,54669,56332,57531,57001,54903,54659,54140,54745,55728,55768,57002,58575
"247","240","Q1HIN1 C     Health insurance (56)","Q1HIN10",70082,71757,76167,78035,77092,73710,70557,69608,74708,77784,83975,87433,93327,98831,101856,105841,108440
"248","241","Q1MIN1 C       Medical care and hospitalization","Q1MIN10",52803,54460,57452,58852,58696,56848,55138,54736,60114,62875,68430,70428,74820,79192,81800,84708,87885
"249","242","Q1IIN1 C       Income loss","Q1IIN10",723,677,794,1007,950,974,1041,1253,1450,1591,1699,1798,1913,2029,2146,2269,2413
"250","243","Q1PWC1 C       Workers' compensation","Q1PWC10",17354,17685,18831,18536,17707,15860,14244,13486,13112,13307,13846,15240,16685,17718,17942,18991,17984
"251","244","Q1REC1 B   Recreation","Q1REC10",170598,171612,183965,195388,204796,219189,228634,235652,244950,257819,268265,274894,281198,290821,305004,311566,321274
"252","245","Q1SSA1 C     Admissions to specified spectator amusements (96)","Q1SSA10",21676,21646,22283,24548,25237,26160,27766,28716,29521,30192,30400,30863,32146,32067,32231,31733,31563
"253","246","Q1MOV1 C       Motion picture theaters","Q1MOV10",7371,7128,6651,6737,6836,6982,7233,7625,8157,8438,8587,8687,8991,8789,8491,7929,7470
"254","247","Q1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","Q1LEG10",7476,7396,8129,9432,9742,10023,10142,10580,10430,10536,10337,10491,10928,10597,10784,11044,10829
"255","248","Q1SPE1 C       Spectator sports","Q1SPE10",6841,7133,7510,8387,8666,9161,10391,10513,10935,11219,11477,11685,12226,12671,12944,12748,13227
"256","249","Q1RXA1 C     Other (94+100+101+102+103)","Q1RXA10",149024,150061,161726,170958,179640,193055,200924,206999,215476,227638,237864,244032,249044,258775,272851,279980,289947
"257","250","Q1RTV1 C       Radio and television repair","Q1RTV10",4025,3617,3485,3592,3581,3818,3841,3931,4047,4140,4172,4011,4018,4001,4446,4638,5173
"258","251","Q1CLU1 C       Clubs and fraternal organizations","Q1CLU10",17890,19579,20814,20936,20483,19972,19091,17818,18124,18576,19026,19264,20023,21389,21007,21871,21374
"259","252","Q1COM1 C       Commercial participant amusements","Q1COM10",33231,33589,38015,43251,49454,55689,60177,64451,67285,71393,75812,77218,79588,84356,91015,93488,97726
"260","253","Q1SIG1 D         Sightseeing","Q1SIG10",2963,3261,3639,3988,4328,4866,5055,5261,5540,5900,5514,5099,4809,4764,4912,5109,5449
"261","254","Q1FLY1 D         Private flying","Q1FLY10",373,390,347,333,340,403,383,413,416,470,482,492,473,475,436,398,397
"262","255","Q1BIL1 D         Bowling and billiards","Q1BIL10",3028,2826,2897,2620,2515,2529,2554,2524,2473,2514,2471,2511,2638,2741,2886,2804,2487
"263","256","Q1CAS1 D         Casino gambling","Q1CAS10",14694,15225,17995,22432,27692,32010,35458,38778,40958,44593,49046,50908,53977,58924,64680,66634,69765
"264","257","Q1OPA1 D         Other commercial participant amusements","Q1OPA10",12455,12144,13383,14057,14691,15976,16790,17513,17925,17924,18300,18214,17726,17543,18242,18684,19745
"265","258","Q1PAR1 C       Pari-mutuel net receipts","Q1PAR10",4635,4353,4093,3958,4055,4171,4240,4311,4628,4991,4986,4947,5089,4907,5163,5443,5629
"266","259","Q1REO1 C       Other","Q1REO10",89325,89003,95409,99287,102097,109413,113579,116473,121379,128532,133868,138587,140328,144154,151219,154569,160050
"267","260","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3265,3529,3512,3793,4072,4208,4493,4579,4438,4338,4480,4285,4196,4108,4256,4224,4199
"268","261","Q1VET1 D         Veterinarians","Q1VET10",6319,6494,6714,7160,7665,8428,9185,10002,10896,11543,11916,12133,12529,12801,13162,13349,13849
"269","262","Q1CTV1 D         Cable television","Q1CTV10",28109,27239,28518,29270,28906,31746,34126,35179,36048,39017,40424,42192,42058,42992,46443,48753,51216
"270","263","Q1FDV1 D         Film developing","Q1FDV10",6639,6488,6344,6480,6533,6501,6624,6604,6677,6806,6695,6618,6770,6520,5886,4828,3923
"271","264","Q1PIC1 D         Photo studios","Q1PIC10",5918,5910,6275,6583,6738,7101,6860,6282,6490,6544,6816,6696,6344,6411,6580,6870,6680
"272","265","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1413,1352,1577,1544,1592,1591,1566,1573,1670,1662,1772,1830,1763,1732,1681,1691,1634
"273","266","Q1HRE1 D         High school recreation","Q1HRE10",222,225,234,264,286,301,312,328,345,345,344,351,364,386,408,436,490
"274","267","Q1LOT1 D         Lotteries","Q1LOT10",11185,11060,11791,12730,13814,14797,15273,15239,15223,15106,14625,14778,15636,16267,16672,16911,17387
"275","268","Q1VID1 D         Video cassette rental","Q1VID10",5293,5439,5907,6594,7469,7902,7577,7694,8553,9301,9719,9958,9715,11004,11732,11237,11489
"276","269","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",21204,21320,24479,24639,24481,26434,27480,29031,31033,33879,37076,39735,40940,42030,44366,45879,48545
"277","270","Q1ISP1 D           Internet service providers","Q1ISP10",70,151,249,370,823,1730,2793,3595,4424,6772,9481,11929,12720,15024,16770,18763,21762
"278","271","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21848,21819,24928,24917,24177,25155,25065,25772,26890,27183,27595,27824,28251,27148,27830,27546,27589
"279","272","Q1OSR1 B   Other","Q1OSR10",621880,631273,653209,680907,696183,704470,730654,764651,821927,877615,945940,960318,966561,975321,1011673,1033695,1069915
"280","273","Q1PER1 C     Personal care","Q1PER10",61623,57307,62412,63326,65350,69344,71304,75000,79531,83464,87029,86912,88845,91205,96855,98579,102438
"281","274","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14218,13273,13410,13112,13105,13582,13602,14476,14972,15452,15737,15183,14773,13867,13785,13765,13993
"282","275","Q1SCL1 D         Shoe repair","Q1SCL10",805,771,760,715,617,583,542,508,448,455,428,402,399,386,396,391,414
"283","276","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13409,12499,12646,12395,12488,13000,13061,13969,14524,14997,15309,14781,14374,13481,13389,13374,13579
"284","277","Q1DRY1 D           Drycleaning","Q1DRY10",5139,5280,6460,6430,6629,6887,7031,7656,7959,8166,8266,7957,7689,7146,7234,7320,7421
"285","278","Q1LGR1 D           Laundry and garment repair","Q1LGR10",8284,7228,6188,5967,5860,6113,6030,6311,6564,6831,7043,6824,6684,6334,6156,6057,6160
"286","279","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27433,27501,30132,29430,29660,31334,31806,34182,35968,36953,38356,38799,40030,40973,43635,44404,44080
"287","280","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25157,25265,27915,27266,27467,29129,29611,31717,33529,34444,35834,36267,37493,38404,41016,41840,41580
"288","281","Q1BAR1 D         Barber shops","Q1BAR10",2284,2243,2218,2165,2195,2204,2195,2464,2440,2509,2522,2532,2537,2569,2619,2563,2500
"289","282","Q1COT1 C       Other (19)","Q1COT10",19979,16621,18980,20833,22597,24435,25885,26354,28599,31059,32936,32931,34046,36364,39433,40405,44266
"290","283","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1170,1111,1087,1111,1156,1313,1414,1554,1710,1765,1801,1778,1779,1831,1885,1894,2419
"291","284","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18803,15504,17890,19722,21442,23122,24472,24800,26889,29295,31135,31153,32267,34533,37549,38511,41846
"292","285","Q1PBU1 C     Personal business","Q1PBU10",330009,349012,358899,381002,382630,386959,402329,426346,453921,495312,539098,532877,526634,528440,558053,579892,600172
"293","286","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12286,14257,16772,21413,24104,28107,34177,41329,53120,73895,100581,86425,87909,85903,93860,99501,108477
"294","287","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2488,3250,3898,5635,6640,8774,11219,14092,20181,33044,53025,45354,45714,40260,39746,35362,32825
"295","288","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1989,2638,3586,4454,4045,3980,5074,6171,7429,8333,10004,8731,8801,9147,9740,11002,12503
"296","289","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1886,1880,2175,1674,1876,2055,2145,1859,1295,1118,1246,1531,1269,1888,2362,3158,4376
"297","290","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2466,2630,2663,2476,2489,2449,2354,2410,2489,2646,2608,2608,2602,2600,2492,2647,2480
"298","291","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2583,2736,3266,4177,4864,5118,6184,7748,9282,11362,13740,11606,10891,10574,11969,12938,15115
"299","292","Q1CMD1 D         Commodities revenue","Q1CMD10",1916,1225,1438,1653,1893,1928,1937,2166,2454,2332,2395,3068,3651,4088,4960,6191,7656
"300","293","Q1SAX1 D         Investment counseling services","Q1SAX10",5415,5657,5732,6558,7866,8355,9632,11057,12756,16068,17563,13539,14858,16086,20044,23733,27122
"301","294","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",45906,47655,49272,50300,48918,48737,49243,49605,54357,61624,64244,67265,72389,76490,79197,88013,93188
"302","295","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14515,15315,16254,16163,15338,14882,14569,14906,15486,16755,17691,18899,20665,21620,21180,22185,23169
"303","296","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13171,14044,14219,13224,13292,13081,12570,12872,13293,14133,13931,13928,13925,13917,13311,14135,13246
"304","297","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11517,11514,11974,13392,13186,13142,13294,11846,14455,18436,18355,18061,20636,21596,23007,27031,30568
"305","298","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7148,7364,7325,7651,7338,7827,8870,10070,11172,12319,14268,16356,17052,19162,21445,24371,25963
"306","299","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",115710,122603,127273,131133,133233,129717,136064,143156,150364,158949,167223,176176,174487,170484,181995,183047,185750
"307","300","Q1IMC1 D         Commercial banks","Q1IMC10",59015,67304,70763,73192,69523,66202,69678,69076,67515,68962,64251,74600,78951,71249,74377,69298,65651
"308","301","Q1IMN1 D         Other financial institutions","Q1IMN10",58219,56736,57956,59432,64859,64496,67445,74724,83183,90212,102972,101464,95135,99541,108183,115126,122488
"309","302","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",86188,96068,91427,100310,95099,96991,93180,97297,93124,91368,96078,90127,79521,77785,85510,90701,92476
"310","303","Q1GAL1 C       Legal services (65)","Q1GAL10",62243,60163,61597,60959,60193,58808,60604,61968,63360,64201,63854,64542,63918,67070,67072,67625,69820
"311","304","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",14960,14960,15522,15519,14983,15069,14759,14339,14699,14419,13977,14099,13607,14061,13211,13274,13148
"312","305","Q1PBO1 C       Other (67)","Q1PBO10",24247,24577,25070,26264,27289,27785,28475,29906,31455,32850,33140,33416,34370,35625,37030,37928,38594
"313","306","Q1UNS1 D         Labor union expenses","Q1UNS10",8925,9337,9622,9748,9900,10086,10216,10465,10624,10791,10965,10788,11474,11799,11711,11472,11447
"314","307","Q1ASS1 D         Profession association expenses","Q1ASS10",3685,3821,3908,4145,4254,4622,4578,4821,4982,5246,5392,5795,6063,6377,6738,7218,7547
"315","308","Q1GEN1 D         Employment agency fees","Q1GEN10",2936,2346,2209,2024,1832,1745,1625,1937,2250,2467,2672,2710,2889,2965,3306,4013,4488
"316","309","Q1AMO1 D         Money orders","Q1AMO10",800,807,848,903,990,1182,1325,1378,1571,1801,1893,1815,1913,2086,2306,2335,2501
"317","310","Q1CLA1 D         Classified ads","Q1CLA10",1212,1035,996,980,1029,1072,1112,1180,1214,1223,1231,1006,1035,1002,1013,1051,1066
"318","311","Q1ACC1 D         Tax return preparation services","Q1ACC10",4088,4552,4580,5280,5941,5370,5743,5843,6303,6715,6890,7339,7545,7827,8343,8237,7907
"319","312","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2418,2520,2734,3105,3356,3677,3892,4283,4514,4611,4098,3965,3465,3585,3649,3730,3862
"320","313","Q1TED1 C     Education and research","Q1TED10",125594,127140,130509,132553,134784,138457,142730,145678,151899,157286,163771,170029,173507,176044,173923,175068,176871
"321","314","Q1HED1 C       Higher education (105)","Q1HED10",69562,71037,72774,73578,74530,75962,77309,77780,80508,83252,86358,90621,93157,96179,95255,95747,96312
"322","315","Q1PED1 D         Private higher education","Q1PED10",34895,35714,36651,37861,38748,40057,41311,40985,42554,44019,45564,47038,49121,52110,52978,53828,53926
"323","316","Q1GED1 D         Public higher education","Q1GED10",34931,35568,36359,35821,35841,35918,35981,36797,37955,39233,40794,43582,44046,44149,42485,42203,42638
"324","317","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",29014,29056,29695,30254,30919,31932,32481,32633,33269,34086,34618,35037,35655,36424,36805,37501,37812
"325","318","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23563,24052,24309,24477,24717,25284,25734,25404,25799,26052,26104,25966,26144,26669,26938,27420,27534
"326","319","Q1NSC1 D         Nursery schools","Q1NSC10",5474,5031,5407,5792,6212,6655,6754,7232,7471,8033,8513,9071,9515,9760,9873,10088,10290
"327","320","Q1OED1 C       Other (107)","Q1OED10",26800,26893,27881,28548,29153,30383,32809,35192,38102,39939,42795,44368,44685,43408,41870,41866,42786
"328","321","Q1VED1 D         Commercial and vocational schools","Q1VED10",17964,17501,18077,18426,19113,20393,22104,23728,25841,27223,29533,30342,29878,28918,27595,27300,27740
"329","322","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8818,9349,9755,10066,10000,9978,10695,11455,12258,12716,13262,14031,14856,14548,14373,14718,15238
"330","323","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",121229,122763,131339,133425,140703,142427,149909,149417,157771,162090,172284,181227,188963,189452,194383,193689,199370
"331","324","Q1POL1 D       Political organizations","Q1POL10",2753,632,3415,529,2818,711,3763,632,3350,819,4290,739,3409,897,4322,783,3443
