"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"40","21","    Other services","DOTSRX1","522,491.0","525,137.0","522,797.0","526,638.0","535,681.0","537,262.0","551,801.0","543,027.0","558,163.0","566,808.0","578,790.0","592,441.0","606,988.0","615,327.0","631,059.0","633,268.0","643,581.0","652,483.0","660,338.0","670,513.0","684,968.0","699,256.0","713,893.0","718,487.0","721,300.0","737,731.0","737,606.0","733,815.0","737,250.0","739,544.0","735,081.0","736,239.0","751,374.0","753,856.0","759,408.0","758,123.0","767,171.0","771,662.0","776,877.0","778,098.0","780,987.0","777,895.0","780,672.0","786,841.0","795,817.0","806,273.0","811,043.0","820,070.0","829,263.0","834,079.0","826,667.0","825,285.0","831,199.0","825,750.0","821,132.0","828,072.0","827,904.0","817,201.0","812,662.0","810,127.0","807,661.0","806,079.0","809,462.0","809,288.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","140,280.0","141,595.0","142,229.0","145,070.0","149,953.0","151,774.0","152,936.0","149,053.0","140,868.0","139,861.0","139,734.0","141,766.0","146,379.0","151,028.0","156,482.0","161,810.0","162,953.0","164,153.0","165,422.0","167,442.0","172,792.0","173,560.0","179,926.0","185,093.0","186,076.0","189,811.0","192,895.0","196,843.0","200,357.0","204,994.0","212,785.0","218,058.0","217,617.0","220,498.0","220,023.0","219,242.0","220,045.0","218,078.0","216,979.0","218,154.0","213,432.0","213,662.0","212,771.0","216,437.0","222,784.0","232,101.0","243,135.0","243,571.0","240,861.0","237,500.0","246,505.0","256,433.0","261,094.0","262,421.0","269,143.0","276,668.0","260,708.0","248,954.0","254,577.0","259,872.0","260,649.0","262,859.0","263,539.0","264,397.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERX1","632,622.0","634,784.0","636,945.0","641,400.0","644,231.0","651,513.0","655,538.0","662,385.0","657,822.0","659,632.0","665,505.0","672,230.0","684,939.0","691,945.0","701,409.0","708,605.0","713,334.0","717,185.0","722,795.0","730,551.0","736,946.0","744,153.0","752,607.0","762,258.0","770,912.0","779,144.0","789,801.0","801,353.0","815,289.0","827,978.0","838,386.0","842,786.0","841,867.0","843,335.0","844,433.0","846,425.0","851,501.0","856,348.0","864,109.0","870,456.0","871,616.0","872,179.0","874,456.0","880,278.0","891,474.0","899,019.0","903,741.0","909,823.0","919,101.0","919,191.0","921,522.0","930,421.0","940,346.0","943,758.0","946,376.0","956,743.0","952,805.0","951,017.0","950,274.0","954,114.0","952,003.0","959,857.0","962,659.0","970,260.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","495,377.0","496,201.0","497,734.0","499,279.0","497,067.0","502,545.0","505,413.0","516,397.0","520,335.0","523,250.0","529,385.0","534,114.0","542,167.0","544,280.0","547,979.0","549,462.0","553,033.0","555,648.0","560,008.0","565,748.0","566,321.0","572,927.0","574,416.0","578,519.0","586,376.0","590,602.0","598,101.0","605,538.0","615,938.0","623,791.0","625,778.0","624,526.0","624,136.0","622,618.0","624,272.0","627,121.0","631,421.0","638,264.0","647,145.0","652,326.0","658,180.0","658,519.0","661,691.0","663,837.0","668,686.0","666,991.0","660,886.0","666,514.0","678,357.0","681,704.0","675,347.0","674,674.0","680,045.0","682,165.0","678,458.0","681,689.0","692,427.0","701,196.0","695,569.0","694,678.0","691,975.0","697,634.0","699,745.0","706,320.0"
"44","25","Residual","D236RX1","-128,700.0","-127,900.0","-118,900.0","-115,800.0","-116,500.0","-107,600.0","-104,600.0","-98,900.0","-95,300.0","-96,700.0","-88,200.0","-84,900.0","-82,000.0","-75,400.0","-71,000.0","-59,400.0","-55,700.0","-50,500.0","-44,300.0","-41,300.0","-29,400.0","-33,400.0","-31,300.0","-30,400.0","-28,600.0","-27,100.0","-26,400.0","-15,900.0","-15,100.0","-15,200.0","-12,900.0","-12,200.0","-11,400.0","-7,900.0","-4,800.0","-4,800.0","-3,500.0","-3,300.0","-1,800.0","-900.0","-500.0","0.0","300.0","200.0","-1,600.0","-1,100.0","-1,400.0","-3,400.0","-4,800.0","-6,200.0","-8,200.0","-10,000.0","-8,600.0","-12,000.0","-11,200.0","1,000.0","-1,800.0","-100.0","-7,000.0","-9,600.0","-15,200.0","-19,200.0","-23,100.0","-33,100.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  PCE excluding food and energy \4\","DPCCRX1","5,058,960.0","5,101,831.0","5,150,867.0","5,193,816.0","5,237,385.0","5,305,107.0","5,350,290.0","5,394,956.0","5,456,586.0","5,480,664.0","5,585,353.0","5,650,548.0","5,720,124.0","5,819,316.0","5,901,699.0","6,010,468.0","6,066,598.0","6,163,184.0","6,240,433.0","6,339,590.0","6,464,291.0","6,513,036.0","6,582,584.0","6,634,427.0","6,670,665.0","6,709,351.0","6,740,878.0","6,861,894.0","6,890,541.0","6,920,759.0","6,969,476.0","6,986,919.0","7,020,437.0","7,099,263.0","7,203,534.0","7,244,725.0","7,310,946.0","7,355,659.0","7,431,101.0","7,512,554.0","7,565,776.0","7,647,291.0","7,699,770.0","7,722,338.0","7,837,778.0","7,868,031.0","7,914,293.0","8,002,799.0","8,053,656.0","8,095,108.0","8,129,763.0","8,165,740.0","8,152,014.0","8,162,884.0","8,113,731.0","8,028,231.0","8,015,226.0","7,973,692.0","8,007,148.0","8,015,428.0","8,055,181.0","8,106,816.0","8,144,617.0","8,239,407.0"
"47","27","  Energy goods and services \5\","DNRGRX1","418,194.0","429,457.0","435,019.0","430,393.0","443,450.0","441,553.0","431,468.0","437,116.0","433,735.0","439,770.0","439,479.0","451,605.0","445,415.0","459,497.0","463,130.0","448,629.0","456,307.0","466,856.0","470,773.0","460,486.0","448,731.0","465,033.0","468,584.0","480,045.0","475,069.0","457,822.0","463,009.0","460,544.0","461,456.0","473,521.0","476,436.0","483,761.0","482,937.0","484,226.0","483,255.0","492,357.0","494,063.0","493,303.0","485,375.0","494,248.0","496,832.0","496,936.0","495,677.0","491,315.0","474,008.0","483,809.0","490,249.0","482,776.0","485,996.0","484,145.0","486,037.0","477,363.0","475,171.0","468,567.0","449,071.0","468,201.0","468,736.0","466,491.0","470,822.0","474,799.0","471,635.0","475,636.0","486,735.0","484,884.0"
"48","28","  Market-based PCE \6\","DPCMRX1","5,248,659.0","5,293,864.0","5,350,226.0","5,387,805.0","5,430,457.0","5,495,800.0","5,520,256.0","5,584,936.0","5,639,271.0","5,661,970.0","5,761,890.0","5,828,518.0","5,878,714.0","5,982,414.0","6,053,910.0","6,145,176.0","6,213,765.0","6,309,034.0","6,383,514.0","6,473,524.0","6,556,393.0","6,621,545.0","6,679,753.0","6,744,153.0","6,776,123.0","6,786,782.0","6,818,343.0","6,930,600.0","6,954,755.0","6,998,103.0","7,052,148.0","7,075,716.0","7,107,646.0","7,182,685.0","7,282,949.0","7,323,555.0","7,387,562.0","7,419,380.0","7,484,270.0","7,574,698.0","7,637,202.0","7,725,463.0","7,784,822.0","7,796,158.0","7,874,123.0","7,910,176.0","7,948,548.0","8,025,091.0","8,080,304.0","8,109,115.0","8,144,678.0","8,169,364.0","8,144,296.0","8,152,927.0","8,068,875.0","7,979,851.0","7,986,542.0","7,975,260.0","8,022,962.0","8,047,183.0","8,092,039.0","8,141,232.0","8,187,320.0","8,284,830.0"
"49","29","  Market-based PCE excluding food and energy \6\","DPCXRX1","4,306,373.0","4,345,151.0","4,396,105.0","4,433,533.0","4,463,761.0","4,526,334.0","4,558,260.0","4,615,696.0","4,667,458.0","4,688,122.0","4,782,669.0","4,839,323.0","4,893,035.0","4,980,504.0","5,044,028.0","5,137,889.0","5,193,149.0","5,273,533.0","5,338,717.0","5,424,949.0","5,520,457.0","5,563,877.0","5,617,595.0","5,666,147.0","5,703,401.0","5,723,566.0","5,752,429.0","5,863,210.0","5,888,657.0","5,921,704.0","5,970,115.0","5,982,630.0","6,006,408.0","6,084,513.0","6,174,653.0","6,210,541.0","6,261,251.0","6,292,250.0","6,359,931.0","6,433,410.0","6,484,360.0","6,570,119.0","6,619,363.0","6,630,354.0","6,725,660.0","6,743,585.0","6,772,489.0","6,846,619.0","6,899,111.0","6,934,066.0","6,964,735.0","6,993,138.0","6,972,401.0","6,989,975.0","6,939,368.0","6,841,702.0","6,847,845.0","6,832,381.0","6,869,046.0","6,880,349.0","6,922,491.0","6,973,108.0","7,001,992.0","7,093,840.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
