"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"60",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","41","Total imputed interest paid (43+70)","W294RC1","14,976.0","20,068.0","25,218.0","26,750.0","23,118.0","27,064.0","53,767.0","43,337.0","45,708.0","44,739.0","30,988.0","29,788.0","25,245.0","68,926.0","131,659.0","116,072.0","149,589.0","159,579.0","158,459.0","147,162.0","138,399.0","173,509.0","217,814.0","235,783.0","225,531.0","209,618.0","215,110.0","241,170.0","283,377.0","298,096.0","324,813.0","336,161.0","335,405.0","320,775.0","279,746.0","298,680.0","275,797.0","258,076.0","354,001.0","441,874.0","337,665.0"
"62","42","Total imputed interest received (49+89)","W295RC1","14,973.0","20,064.0","25,224.0","26,751.0","23,116.0","27,060.0","53,766.0","43,340.0","45,709.0","44,740.0","30,960.0","29,795.0","25,220.0","68,927.0","131,659.0","116,072.0","149,588.0","159,579.0","158,461.0","147,162.0","138,399.0","173,510.0","217,815.0","235,782.0","225,531.0","209,618.0","215,111.0","241,170.0","283,377.0","298,098.0","324,814.0","336,162.0","335,407.0","320,776.0","279,747.0","298,682.0","275,797.0","258,075.0","354,001.0","441,874.0","337,665.0"
"63",NA,"Depositor and insurance services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","43","  Imputed interest paid","A2073C1","22,745.0","27,214.0","30,767.0","33,116.0","34,290.0","40,661.0","57,420.0","54,539.0","60,329.0","67,188.0","65,635.0","73,401.0","78,830.0","106,342.0","147,257.0","147,720.0","175,639.0","198,155.0","207,492.0","208,311.0","208,854.0","233,815.0","264,766.0","282,719.0","286,822.0","281,621.0","298,103.0","319,411.0","364,101.0","382,425.0","410,872.0","441,432.0","434,584.0","424,493.0","408,835.0","434,465.0","439,931.0","458,378.0","538,220.0","596,161.0","543,527.0"
"65","44","    Domestic corporate business, financial","W353RC1","22,745.0","27,214.0","30,767.0","33,116.0","34,290.0","40,661.0","57,420.0","54,539.0","60,329.0","67,188.0","65,635.0","73,401.0","78,830.0","106,342.0","147,257.0","147,720.0","175,639.0","197,473.0","206,650.0","207,529.0","207,855.0","232,754.0","263,523.0","281,384.0","285,306.0","279,802.0","296,249.0","317,616.0","362,193.0","379,765.0","407,849.0","437,745.0","429,673.0","418,928.0","402,786.0","427,495.0","435,495.0","451,428.0","529,918.0","586,251.0","534,314.0"
"66","45","      Banks, credit agencies, and investment companies","B1310C1","13,781.0","17,545.0","20,002.0","21,561.0","21,465.0","25,934.0","40,532.0","35,622.0","37,734.0","41,022.0","38,721.0","37,693.0","36,035.0","56,835.0","89,830.0","80,332.0","95,898.0","103,515.0","101,214.0","95,924.0","83,654.0","98,646.0","122,694.0","137,868.0","130,584.0","131,264.0","126,519.0","142,951.0","160,836.0","172,609.0","189,670.0","194,970.0","203,008.0","213,432.0","197,115.0","215,718.0","206,788.0","190,315.0","241,868.0","302,926.0","253,758.0"
"67","46","      Life insurance carriers","B1311C1","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,278.0","91,871.0","103,641.0","112,313.0","118,134.0","120,313.0","128,852.0","121,229.0","143,099.0","147,543.0","173,710.0","178,990.0","189,541.0","212,711.0","195,582.0","172,500.0","171,439.0","177,565.0","196,200.0","227,531.0","255,359.0","251,715.0","253,716.0"
"68","47","      Property and casualty insurance companies","W354RC1","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,656.0","3,433.0","3,970.0","4,456.0","5,102.0","5,782.0","6,514.0","7,632.0","9,118.0","12,230.0","17,185.0","19,158.0","19,734.0","20,560.0","21,795.0","22,695.0","23,203.0","25,870.0","27,309.0","26,631.0","27,122.0","27,647.0","28,166.0","28,638.0","30,064.0","31,083.0","32,996.0","34,232.0","34,212.0","32,507.0","33,582.0","32,691.0","31,610.0","26,840.0"
"69","48","    Rest of the world","W355RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","8,302.0","9,910.0","9,213.0"
"70","49","  Imputed interest received","A2074C1","22,742.0","27,210.0","30,774.0","33,119.0","34,287.0","40,658.0","57,420.0","54,542.0","60,329.0","67,191.0","65,608.0","73,407.0","78,805.0","106,343.0","147,256.0","147,720.0","175,639.0","198,155.0","207,492.0","208,311.0","208,854.0","233,815.0","264,766.0","282,719.0","286,822.0","281,621.0","298,103.0","319,411.0","364,101.0","382,425.0","410,872.0","441,432.0","434,585.0","424,493.0","408,836.0","434,465.0","439,931.0","458,378.0","538,220.0","596,161.0","543,527.0"
"71","50","    Domestic business \1\","A2075C1","5,197.0","6,637.0","7,746.0","8,141.0","7,476.0","8,892.0","15,075.0","12,684.0","13,324.0","14,160.0","13,601.0","14,985.0","16,192.0","28,094.0","34,453.0","29,828.0","32,156.0","37,195.0","33,208.0","30,928.0","24,084.0","30,304.0","38,155.0","38,006.0","33,900.0","35,735.0","35,214.0","41,329.0","47,046.0","48,736.0","53,824.0","52,794.0","61,535.0","69,230.0","63,812.0","67,681.0","52,240.0","41,474.0","65,370.0","89,240.0","55,446.0"
"72","51","      Corporate business","A2076C1","4,032.0","5,192.0","6,096.0","6,324.0","5,954.0","7,117.0","12,104.0","10,407.0","11,003.0","11,422.0","10,625.0","11,445.0","12,126.0","19,302.0","23,465.0","20,579.0","23,080.0","28,350.0","24,798.0","22,863.0","15,996.0","21,974.0","29,410.0","28,658.0","24,528.0","26,418.0","26,219.0","31,508.0","36,309.0","37,168.0","40,377.0","37,972.0","44,851.0","51,448.0","47,427.0","50,270.0","35,866.0","25,606.0","47,957.0","68,009.0","38,172.0"
"73","52","        Financial","B1143C1","1,267.0","1,658.0","1,934.0","1,778.0","1,778.0","2,165.0","3,250.0","2,992.0","3,236.0","3,616.0","3,830.0","4,413.0","5,009.0","7,195.0","8,211.0","7,058.0","6,163.0","11,576.0","7,549.0","6,088.0","-64.0","5,120.0","12,054.0","10,896.0","6,252.0","7,320.0","7,151.0","10,594.0","13,356.0","13,015.0","15,197.0","11,656.0","16,761.0","21,236.0","17,919.0","18,268.0","3,373.0","-6,244.0","14,125.0","31,683.0","6,481.0"
"74","53","        Nonfinancial","B1144C1","2,765.0","3,534.0","4,162.0","4,546.0","4,177.0","4,953.0","8,854.0","7,416.0","7,766.0","7,806.0","6,795.0","7,032.0","7,118.0","12,107.0","15,253.0","13,521.0","16,917.0","16,774.0","17,249.0","16,775.0","16,060.0","16,854.0","17,356.0","17,762.0","18,276.0","19,098.0","19,068.0","20,914.0","22,953.0","24,153.0","25,180.0","26,316.0","28,090.0","30,212.0","29,509.0","32,002.0","32,493.0","31,850.0","33,832.0","36,326.0","31,691.0"
"75","54","      Sole proprietorships and partnerships","A2077C1","1,144.0","1,418.0","1,619.0","1,781.0","1,489.0","1,735.0","2,906.0","2,213.0","2,245.0","2,657.0","2,899.0","3,455.0","3,976.0","8,662.0","10,830.0","9,086.0","8,875.0","8,614.0","8,178.0","7,839.0","7,867.0","8,110.0","8,524.0","9,139.0","9,133.0","9,061.0","8,737.0","9,537.0","10,401.0","11,189.0","13,049.0","14,388.0","16,238.0","17,320.0","15,884.0","16,875.0","15,868.0","15,381.0","16,913.0","20,745.0","16,862.0"
"76","55","        Farm","B1146C1","274.0","346.0","396.0","436.0","412.0","483.0","820.0","601.0","582.0","563.0","503.0","527.0","540.0","1,058.0","1,118.0","824.0","644.0","503.0","419.0","393.0","386.0","391.0","412.0","468.0","474.0","485.0","537.0","630.0","685.0","752.0","729.0","664.0","848.0","863.0","735.0","775.0","690.0","646.0","752.0","1,033.0","859.0"
"77","56","        Nonfarm","B1145C1","870.0","1,072.0","1,223.0","1,345.0","1,077.0","1,252.0","2,086.0","1,612.0","1,663.0","2,094.0","2,396.0","2,928.0","3,436.0","7,604.0","9,712.0","8,262.0","8,231.0","8,111.0","7,759.0","7,446.0","7,481.0","7,719.0","8,112.0","8,671.0","8,659.0","8,576.0","8,200.0","8,907.0","9,716.0","10,437.0","12,320.0","13,724.0","15,393.0","16,460.0","15,153.0","16,099.0","15,176.0","14,731.0","16,161.0","19,712.0","16,003.0"
"78","57","      Other private business","B2078C1","21.0","27.0","31.0","36.0","33.0","40.0","65.0","64.0","77.0","81.0","77.0","86.0","91.0","130.0","158.0","163.0","200.0","231.0","232.0","226.0","221.0","220.0","221.0","209.0","239.0","256.0","258.0","284.0","336.0","379.0","398.0","434.0","445.0","462.0","501.0","536.0","506.0","487.0","500.0","486.0","412.0"
"79","58","    Households and nonprofit institutions","W314RC1","15,746.0","18,227.0","20,218.0","21,983.0","23,858.0","28,361.0","37,508.0","37,588.0","42,512.0","49,284.0","49,199.0","56,326.0","61,242.0","74,405.0","105,927.0","111,917.0","134,138.0","150,790.0","165,682.0","169,914.0","178,144.0","195,301.0","215,780.0","232,840.0","241,616.0","234,550.0","252,539.0","267,095.0","305,139.0","321,829.0","344,179.0","375,824.0","361,309.0","342,806.0","333,802.0","354,698.0","376,921.0","405,526.0","458,595.0","487,060.0","470,612.0"
"80","59","      Households","W315RC1","15,735.0","18,214.0","20,201.0","21,964.0","23,838.0","28,340.0","37,482.0","37,554.0","42,387.0","49,155.0","49,062.0","56,171.0","61,052.0","74,172.0","105,632.0","111,540.0","133,553.0","149,959.0","164,756.0","169,022.0","177,185.0","194,415.0","214,861.0","231,883.0","240,517.0","233,302.0","251,360.0","265,934.0","303,977.0","320,636.0","343,005.0","374,629.0","360,092.0","341,472.0","332,423.0","353,411.0","375,635.0","404,277.0","457,390.0","485,902.0","469,684.0"
"81","60","        Owner-occupied housing","W316RC1","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,352.0","1,388.0","1,254.0"
"82","61","        Persons","A1147C1","15,677.0","18,147.0","20,116.0","21,869.0","23,739.0","28,231.0","37,353.0","37,412.0","42,224.0","48,971.0","48,857.0","55,937.0","60,783.0","73,861.0","105,280.0","111,143.0","133,105.0","149,444.0","164,168.0","168,400.0","176,538.0","193,720.0","214,121.0","231,088.0","239,627.0","232,343.0","250,395.0","264,917.0","302,937.0","319,550.0","341,892.0","373,489.0","358,914.0","340,247.0","331,133.0","352,127.0","374,276.0","402,900.0","456,038.0","484,514.0","468,430.0"
"83","62","          From banks credit agencies, and investment companies","B1611C1","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,725.0","51,733.0","48,440.0","60,209.0","65,999.0","70,100.0","67,993.0","63,689.0","71,444.0","85,598.0","100,140.0","99,227.0","99,585.0","96,269.0","106,106.0","117,809.0","128,839.0","140,919.0","148,242.0","150,271.0","155,662.0","147,800.0","162,584.0","166,009.0","163,318.0","188,900.0","222,088.0","205,014.0"
"84","63","          From life insurance carriers","B1612C1","8,067.0","8,614.0","9,379.0","10,015.0","11,192.0","12,931.0","14,730.0","16,261.0","19,162.0","22,196.0","22,458.0","30,606.0","37,013.0","42,994.0","49,796.0","58,270.0","67,511.0","76,773.0","86,278.0","91,871.0","103,641.0","112,313.0","118,134.0","120,313.0","128,852.0","121,229.0","143,099.0","147,543.0","173,710.0","178,990.0","189,541.0","212,711.0","195,582.0","172,500.0","171,439.0","177,565.0","196,200.0","227,531.0","255,359.0","251,715.0","253,716.0"
"85","64","          From property and casualty insurance companies","W356RC1","442.0","517.0","650.0","718.0","791.0","868.0","1,031.0","1,258.0","1,548.0","1,808.0","2,086.0","2,432.0","2,780.0","3,142.0","3,751.0","4,434.0","5,385.0","6,672.0","7,790.0","8,536.0","9,208.0","9,963.0","10,389.0","10,635.0","11,548.0","11,529.0","11,027.0","11,268.0","11,417.0","11,722.0","11,432.0","12,535.0","13,061.0","12,085.0","11,894.0","11,978.0","12,067.0","12,051.0","11,779.0","10,711.0","9,700.0"
"86","65","      Nonprofit institutions","W317RC1","11.0","13.0","17.0","19.0","20.0","21.0","27.0","34.0","124.0","129.0","137.0","155.0","190.0","233.0","295.0","377.0","586.0","831.0","926.0","892.0","959.0","886.0","919.0","957.0","1,099.0","1,248.0","1,179.0","1,161.0","1,162.0","1,193.0","1,174.0","1,195.0","1,217.0","1,334.0","1,379.0","1,287.0","1,286.0","1,249.0","1,205.0","1,158.0","928.0"
"87","66","    Government","A2079C1","1,414.0","1,860.0","2,301.0","2,424.0","2,314.0","2,451.0","3,251.0","3,069.0","3,276.0","2,590.0","1,848.0","1,320.0","892.0","2,353.0","3,366.0","2,820.0","4,831.0","5,388.0","4,171.0","3,588.0","3,302.0","3,829.0","5,060.0","4,817.0","4,224.0","4,109.0","4,059.0","4,497.0","5,000.0","5,201.0","6,323.0","6,295.0","5,610.0","6,179.0","5,517.0","5,729.0","5,391.0","5,430.0","6,909.0","8,961.0","8,187.0"
"88","67","      Federal","B1148C1","624.0","838.0","1,127.0","1,250.0","1,253.0","1,204.0","1,371.0","1,670.0","1,656.0","1,213.0","800.0","508.0","406.0","888.0","800.0","511.0","1,195.0","1,787.0","937.0","734.0","788.0","920.0","1,651.0","1,131.0","845.0","657.0","596.0","580.0","643.0","468.0","1,091.0","1,081.0","273.0","599.0","357.0","162.0","161.0","147.0","525.0","736.0","872.0"
"89","68","      State and local","B1149C1","790.0","1,022.0","1,174.0","1,174.0","1,061.0","1,247.0","1,880.0","1,399.0","1,620.0","1,377.0","1,048.0","812.0","486.0","1,465.0","2,566.0","2,309.0","3,636.0","3,601.0","3,234.0","2,854.0","2,514.0","2,909.0","3,409.0","3,686.0","3,379.0","3,452.0","3,463.0","3,917.0","4,357.0","4,733.0","5,232.0","5,214.0","5,337.0","5,580.0","5,160.0","5,567.0","5,230.0","5,283.0","6,384.0","8,225.0","7,315.0"
"90","69","    Rest of the world","W357RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,782.0","4,431.0","3,881.0","3,324.0","4,381.0","5,771.0","7,056.0","7,082.0","7,227.0","6,291.0","6,490.0","6,916.0","6,659.0","6,546.0","6,519.0","6,131.0","6,278.0","5,705.0","6,357.0","5,379.0","5,948.0","7,346.0","10,900.0","9,282.0"
"91",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","70","  Imputed interest paid","W358RC1","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-26,050.0","-38,576.0","-49,033.0","-61,149.0","-70,455.0","-60,306.0","-46,952.0","-46,936.0","-61,291.0","-72,003.0","-82,993.0","-78,241.0","-80,724.0","-84,329.0","-86,059.0","-105,271.0","-99,179.0","-103,718.0","-129,089.0","-135,785.0","-164,134.0","-200,302.0","-184,219.0","-154,287.0","-205,862.0"
"93","71","    Domestic business \1\","W296RC1","-4,557.0","-4,353.0","-3,518.0","-3,938.0","-6,962.0","-8,555.0","-2,250.0","-6,593.0","-8,427.0","-12,672.0","-19,278.0","-24,453.0","-30,642.0","-22,683.0","-9,581.0","-19,743.0","-14,523.0","-17,836.0","-27,718.0","-35,415.0","-41,788.0","-35,676.0","-27,120.0","-26,141.0","-33,495.0","-39,663.0","-44,676.0","-41,758.0","-43,846.0","-46,816.0","-48,531.0","-59,717.0","-57,013.0","-57,001.0","-67,901.0","-69,771.0","-84,263.0","-104,654.0","-96,442.0","-83,672.0","-106,635.0"
"94","72","      Corporate business","W297RC1","-3,821.0","-3,671.0","-2,967.0","-3,319.0","-5,752.0","-6,853.0","-1,766.0","-5,049.0","-6,411.0","-9,572.0","-14,371.0","-18,249.0","-23,188.0","-17,690.0","-7,660.0","-15,891.0","-11,742.0","-14,571.0","-23,198.0","-29,719.0","-34,766.0","-29,565.0","-22,167.0","-21,377.0","-27,538.0","-32,643.0","-36,737.0","-34,114.0","-35,365.0","-37,767.0","-38,919.0","-47,316.0","-44,600.0","-43,596.0","-51,646.0","-52,924.0","-62,694.0","-75,858.0","-68,410.0","-59,755.0","-76,042.0"
"95","73","        Financial","W298RC1","-611.0","-567.0","-497.0","-614.0","-1,088.0","-1,230.0","-266.0","-688.0","-915.0","-1,328.0","-1,950.0","-2,217.0","-2,867.0","-2,005.0","-856.0","-1,802.0","-1,375.0","-1,896.0","-2,297.0","-2,491.0","-3,049.0","-2,822.0","-2,428.0","-3,100.0","-3,955.0","-4,154.0","-4,339.0","-4,136.0","-4,735.0","-5,827.0","-5,700.0","-6,620.0","-5,549.0","-5,823.0","-7,481.0","-8,469.0","-10,324.0","-17,621.0","-15,468.0","-11,838.0","-12,382.0"
"96","74","        Nonfinancial","W300RC1","-3,210.0","-3,104.0","-2,470.0","-2,705.0","-4,664.0","-5,623.0","-1,500.0","-4,361.0","-5,496.0","-8,244.0","-12,421.0","-16,032.0","-20,321.0","-15,685.0","-6,804.0","-14,089.0","-10,367.0","-12,675.0","-20,901.0","-27,228.0","-31,717.0","-26,743.0","-19,739.0","-18,277.0","-23,583.0","-28,489.0","-32,398.0","-29,978.0","-30,630.0","-31,940.0","-33,219.0","-40,696.0","-39,051.0","-37,773.0","-44,165.0","-44,455.0","-52,370.0","-58,237.0","-52,942.0","-47,917.0","-63,660.0"
"97","75","      Sole proprietorships and partnerships","W301RC1","-555.0","-519.0","-417.0","-461.0","-933.0","-1,363.0","-391.0","-1,255.0","-1,638.0","-2,527.0","-4,050.0","-5,157.0","-6,259.0","-4,215.0","-1,617.0","-3,232.0","-2,314.0","-2,654.0","-3,588.0","-4,403.0","-5,333.0","-4,550.0","-3,623.0","-3,530.0","-4,448.0","-5,299.0","-6,045.0","-5,957.0","-6,818.0","-7,409.0","-7,996.0","-10,383.0","-10,571.0","-11,401.0","-13,537.0","-13,828.0","-17,860.0","-24,323.0","-23,849.0","-20,413.0","-25,706.0"
"98","76","        Farm","W302RC1","-269.0","-251.0","-208.0","-233.0","-402.0","-484.0","-133.0","-452.0","-603.0","-853.0","-1,247.0","-1,527.0","-1,803.0","-1,277.0","-543.0","-1,055.0","-669.0","-666.0","-778.0","-884.0","-1,016.0","-858.0","-725.0","-720.0","-910.0","-1,096.0","-1,193.0","-1,091.0","-1,101.0","-1,135.0","-1,076.0","-1,218.0","-1,146.0","-1,131.0","-1,263.0","-1,261.0","-1,428.0","-1,702.0","-1,504.0","-1,171.0","-1,576.0"
"99","77","        Nonfarm","W303RC1","-286.0","-268.0","-209.0","-228.0","-531.0","-879.0","-258.0","-803.0","-1,035.0","-1,674.0","-2,803.0","-3,630.0","-4,456.0","-2,938.0","-1,074.0","-2,177.0","-1,645.0","-1,988.0","-2,810.0","-3,519.0","-4,317.0","-3,692.0","-2,898.0","-2,810.0","-3,538.0","-4,203.0","-4,852.0","-4,866.0","-5,717.0","-6,274.0","-6,920.0","-9,165.0","-9,425.0","-10,270.0","-12,274.0","-12,567.0","-16,432.0","-22,621.0","-22,345.0","-19,242.0","-24,130.0"
"100","78","      Other private business","W304RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,183.0","-3,504.0","-4,887.0"
"101","79","        Rental income of persons and proprietors' income","W359RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,183.0","-3,504.0","-4,887.0"
"102","80","    Households and nonprofit institutions","W305RC1","-2,591.0","-2,354.0","-1,924.0","-2,250.0","-3,911.0","-4,608.0","-1,272.0","-4,114.0","-5,528.0","-8,617.0","-13,244.0","-16,451.0","-19,325.0","-13,305.0","-5,479.0","-10,992.0","-8,310.0","-10,423.0","-14,928.0","-19,092.0","-23,536.0","-20,470.0","-16,539.0","-16,299.0","-21,791.0","-27,260.0","-32,981.0","-31,866.0","-32,556.0","-32,449.0","-31,966.0","-39,496.0","-37,572.0","-40,097.0","-52,500.0","-57,459.0","-69,878.0","-85,110.0","-78,624.0","-62,522.0","-84,146.0"
"103","81","      Households","W306RC1","-2,518.0","-2,286.0","-1,868.0","-2,183.0","-3,792.0","-4,462.0","-1,232.0","-3,985.0","-5,362.0","-8,363.0","-12,863.0","-15,960.0","-18,717.0","-12,855.0","-5,278.0","-10,549.0","-7,961.0","-9,946.0","-14,159.0","-18,096.0","-22,275.0","-19,365.0","-15,627.0","-15,424.0","-20,718.0","-26,073.0","-31,678.0","-30,638.0","-31,293.0","-31,156.0","-30,582.0","-37,719.0","-35,799.0","-38,140.0","-50,060.0","-54,832.0","-66,613.0","-80,956.0","-74,808.0","-59,381.0","-79,793.0"
"104","82","        Owner-occupied housing","W307RC1","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-2,753.0","-3,401.0","-5,088.0","-6,989.0","-9,133.0","-8,712.0","-7,460.0","-7,761.0","-10,610.0","-13,170.0","-15,918.0","-15,276.0","-16,121.0","-16,726.0","-16,967.0","-21,912.0","-21,038.0","-23,302.0","-32,051.0","-35,147.0","-44,637.0","-55,338.0","-51,451.0","-40,038.0","-53,171.0"
"105","83","        Persons","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-5,207.0","-6,536.0","-9,071.0","-11,107.0","-13,142.0","-10,653.0","-8,167.0","-7,663.0","-10,108.0","-12,903.0","-15,760.0","-15,362.0","-15,172.0","-14,430.0","-13,615.0","-15,807.0","-14,761.0","-14,838.0","-18,009.0","-19,685.0","-21,976.0","-25,618.0","-23,357.0","-19,343.0","-26,622.0"
"106","84","      Nonprofit institutions","W309RC1","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-349.0","-477.0","-769.0","-996.0","-1,261.0","-1,105.0","-912.0","-875.0","-1,073.0","-1,187.0","-1,303.0","-1,228.0","-1,263.0","-1,293.0","-1,384.0","-1,777.0","-1,773.0","-1,957.0","-2,440.0","-2,627.0","-3,265.0","-4,154.0","-3,816.0","-3,141.0","-4,353.0"
"107","85","    Government","W310RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,778.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,697.0","-5,799.0","-12,294.0"
"108","86","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","87","      State and local","W312RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,774.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,697.0","-5,799.0","-12,294.0"
"110","88","    Rest of the world","W313RC1","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-497.0","-538.0","-653.0","-673.0","-733.0","-530.0","-429.0","-499.0","-650.0","-737.0","-906.0","-1,078.0","-1,227.0","-1,393.0","-1,439.0","-1,760.0","-1,681.0","-1,685.0","-1,896.0","-1,823.0","-2,239.0","-3,019.0","-2,456.0","-2,294.0","-2,787.0"
"111","89","  Imputed interest received","W360RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,219.0","-154,287.0","-205,862.0"
"112","90","    Domestic corporate business, financial","W361RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,219.0","-154,287.0","-205,862.0"
