"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"44","37","    Tobacco products (7)","BTOBRC1",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,58.9,71.6,78.5,84,89.2,88,87.5,90
"45","38","    Toilet articles and preparations (21)","BTLGRC1",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.2,2.4,2.6,2.7,3,3.3,3.6,3.9,4.2,4.5,5,5.4,5.9,6.2,6.6,6.9,7.4,8.3,9.3,10.3,11.3,12.6,14,15.5,16.9,18.4,19.3,21.4,23.7,25.7,27.7,30,31.8,33.9,36,36.9,37.9,40.3,43.2,45.9,48.9,51.6,52.6,53.9,55,54.4,54.4,56,58.2,61.7
"46","39","    Semidurable house furnishings (33)","BSDHRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1.1,1.3,1.5,1.5,2,2.1,2.4,2.3,2.6,2.8,2.6,2.6,2.4,2.6,2.7,2.7,2.6,2.7,2.8,2.9,3.2,3.3,3.7,3.9,4.3,4.6,4.9,4.9,4.9,5,5.3,5.9,6.3,6.6,7.2,7.9,8.7,9.7,10.6,11.8,12.4,13.7,15.4,16.4,18.3,19.3,20.8,21.7,22.5,23.3,25.6,26.8,28.5,29.4,30.5,31.4,32.8,35.1,36.5,36.5,37.8,39,41.2,43.5
"47","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","ACLPRC1",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.9,1.5,1.6,1.6,1.8,2,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.5,3.7,4.2,4.6,4.9,5.3,5.7,6.3,6.7,7.1,7.6,8.2,8.4,8.9,10,11.4,12.5,13.5,14.6,16.8,19.4,21.9,24,25.7,27.1,29.2,30.6,32,33.1,35.1,37.1,38.9,39.7,41.1,43.5,46.4,48.8,51.4,53.9,55.9,59.2,61.6,64.5,66.3,69,72.9,77.7
"48","41","    Drug preparations and sundries (45)","BDRGRC1",0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,2,2.1,2.2,2.2,2.4,2.7,3,3.2,3.5,3.9,4.3,4.6,4.8,5,5.2,5.4,5.8,6.4,7,8.1,8.6,9.3,10.1,11,12,13.1,14.2,16.3,19.1,21.8,24.9,27.6,31.4,35.2,38.7,42.7,47,51.8,58,65.4,71.4,75.9,80.5,85.8,92.1,100.5,111.1,128,148.9,169.4,192.7,213.1,233.6,251.3,265.7
"49","42","    Nondurable toys and sport supplies (89)","BTOYRC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.9,1.1,1.2,1.4,1.7,1.7,1.7,1.6,1.8,2,2,2.1,2.4,2.5,2.7,2.9,3.1,3.4,3.6,4,4.3,4.8,5.2,5.5,5.8,6.6,7.4,8.2,9,10,10.8,12.3,13.6,14.6,16,17.1,18.4,20.5,21.4,22.9,25.3,27.7,30.7,32.8,34.6,36.5,38.8,42,44.4,46.5,48.4,51.3,54.7,56.6,57.6,59.2,60.6,63.5,67.2
"50","43","    Stationery and writing supplies (35)","BSTYRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.3,2.2,2.4,2.7,2.9,3.1,3.3,3.7,4.5,5,5.5,6.2,6.6,7.1,8,8.5,9,10,11.1,12.4,13.2,13.9,14.9,15.4,16,16.3,16.5,16.9,17.7,18.5,19,18.3,18.3,18.4,18.8,19.6
"51","44","    Net foreign remittances (111 less 113)","A485RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.1,-0.1,-0.2,0,0.2,0.2,0.5,0.7,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,1.1,1.3,1.6,1.7,3,3.2,3.1,3.2,3.4,4,4.8,5,5
"52","45","    Magazines, newspapers, and sheet music (88)","BMAGRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1,2.2,2,2.3,2.5,2.5,2.7,3.2,3.3,3.4,3.7,4.1,4.4,4.8,5.3,5.9,6.4,7,7.7,9.1,10.9,12,13,13.8,14.6,15.7,15.9,16.5,17.6,19.2,20.1,21.6,22.1,22,23.4,25.6,27.5,29.5,31.2,32.1,33.5,35,35,35.1,36.3,39.6,43.8
"53","46","    Flowers, seeds, and potted plants (95)","BFLORC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.2,2.3,2.6,2.7,2.9,2.9,3.6,4.2,4.7,5.3,5.7,6,6.5,6.9,7.7,9.2,9.7,10.5,10.9,11,12,12.6,13.3,14,15,15.7,16.4,17.1,18,18,18,17.9,18.3,19.7
"54","47","Services","B005RC1",30.5,29,26.2,22.3,20.2,20.5,21.5,23,24.7,24.6,25.4,26.5,28.5,31.4,34.8,37.6,40.1,45.8,50.7,55.6,58.6,63.3,69.5,75.4,82.5,88.4,95.2,102.8,109.8,117,126.5,135.6,143.8,153.6,162.9,176.1,189,203.8,220.3,241.6,266.1,291.5,319.5,352.2,385.8,426.6,480.2,534.7,600.2,676.6,753.3,846.9,950.8,1049.4,1178.6,1292.2,1428.1,1538.3,1663.3,1816.5,1960,2115.9,2247.4,2421.2,2571.8,2723.9,2879.1,3048.7,3235.8,3445.7,3660,3928.8,4154.3,4347.2,4570.8,4880.1,5170
"55","48","  Housing","A174RC1",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.8,86.9,94.1,102.8,112.6,123.3,134.8,147.7,162.2,180.2,202.4,227.3,256.2,289.7,315.2,341,374.5,412.7,448.4,483.7,521.5,557.4,597.9,631.1,658.5,683.9,726.1,764.4,800.1,842.6,894.6,948.4,1006.5,1073.7,1123.1,1161.8,1236.1,1304.1
"56","49","    Owner-occupied nonfarm dwellings--space rent (24)","AOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.9,455.1,474.1,504.9,531.2,557.7,588.3,627.5,668.4,712.2,768.7,809,846.4,910.1,963.3
"57","50","    Tenant-occupied nonfarm dwellings--rent (25)","ATENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.2,126.8,133.8,140.1,150.7,157.7,163.6,168.5,176.8,186.6,192,199,209,219,227.5,240.7,247.8,245.3,248.9,257
"58","51","    Rental value of farm dwellings (26)","BFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.7,9.9,10.2,10.7,11.4,11.7,12.2,12.9,13.8
"59","52","    Other (27)","AOHORC1",0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.6,4.4,4.9,5.3,6,6.9,7.5,8.4,9.8,10.8,12.4,13.2,14.3,16.6,18.5,19.6,22.4,24.6,26.4,28.1,29.8,32.6,33.2,35.5,37.2,40.7,45.7,48.3,50.9,56,52.9,54.6,58,64.2,69.9
"60","53","  Household operation","A186RC1",4,3.9,3.5,3.1,2.8,3,3.2,3.4,3.7,3.6,3.8,4,4.3,4.8,5.2,5.9,6.4,6.8,7.5,8.1,8.6,9.5,10.4,11.2,12.1,12.7,14.2,15.4,16.4,17.5,18.7,20.3,21.2,22.4,23.6,25,26.5,28.1,30,32.3,35,37.8,41.1,45.4,49.9,55.8,64,72.5,81.8,91.2,100.3,113.7,126.8,142.5,157,169.4,181.8,187.7,195.4,207.3,221.1,227.3,238.6,250.7,269.9,286.2,298.7,318.5,337,350.5,364.8,390.1,409,407.7,429.4,450,483
"61","54","    Electricity (37)","BELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.9,9.8,10.9,12.2,13.7,16.6,20,22.4,26,29,31.8,38.4,43.9,48.6,53.3,57.2,61.2,62.6,65.4,69.1,72,74.2,79.2,79.3,85.7,87.6,91,94.1,94.5,97.1,97.2,102.3,108,111.7,115.6,121.1,134.2
"62","55","    Gas (38)","BNGSRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.6,1.8,2,2.3,2.4,2.7,2.9,3.3,3.5,3.8,3.9,4.1,4.3,4.5,4.7,4.9,5.2,5.6,6,6.6,6.7,7.4,9.1,10.8,12.4,14,16,19.1,20.9,25.6,29.1,29.3,29.5,26.6,25.5,27.2,29,26.8,28.2,29.5,32.5,33,31.2,35.3,36.8,32.7,33.4,41,48.6,40.7,51.7,55.5,65.5
"63","56","    Water and other sanitary services (39)","BWATRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.8,50.8,52.8,55.1,57.8,60.7,64.2
"64","57","    Telephone and telegraph (41)","BTELRC1",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,5.9,6.5,7,7.7,8.3,9.3,10.1,11,12.4,14.1,15.5,17.7,19.8,21.5,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58,60.5,63.7,70.7,74.8,81.2,85,92.8,103.6,110.3,118.4,125.1,128.4,128.8,129.7,132.9,136
"65","58","    Domestic service (42)","BDMSRC1",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.3,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.7,5.5,6.1,6.6,6.4,6.1,6.2,6.5,6.6,7.7,7.7,8.2,8.2,9,9.8,10.4,10.2,11.4,12.1,12.8,13.8,13.8,14.7,17.1,16.1,17.4,16.9,16.7,18.5,19.6,19.9
"66","59","    Other (43)","AOPORC1",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.3,2.5,2.6,2.8,3.1,3.4,3.8,4.1,4.5,4.7,5,5.6,6.1,6.7,7,8.1,9.1,10.2,12,13.1,14.4,15,16.3,18.5,20.4,22,23.3,24.8,26.9,28.1,28.4,29.6,31.3,34.8,38.4,40.5,43.3,47.2,50.8,53.6,54.3,54.6,56.1,60.2,63.2
"67","60","  Transportation","A177RC1",2.6,2.2,1.9,1.6,1.5,1.6,1.7,1.9,2,1.9,2,2.1,2.4,2.8,3.4,3.7,4.1,4.9,5.2,5.7,5.8,6,7,7.4,8,8.2,8.6,9.2,9.7,9.9,10.6,11.2,11.6,12.3,12.9,13.8,14.7,15.9,17.4,19.3,21.6,24,26.8,29.6,31.6,34.1,37.9,42.5,48.7,53.4,59.9,65.2,70.3,72.9,81.1,93.2,104.5,111.1,120.9,133.4,142,147.7,145.3,157.7,172.7,190.6,207.7,226.5,245.7,259.5,276.4,291.3,292.8,288.4,297.3,307.8,320.4
"68","61","    User-operated transportation","A487RC1",0.9,0.8,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,0.8,0.8,0.9,1.2,2,2.3,2.7,3,3.2,4,4.4,5,5.2,5.7,6.1,6.5,6.8,7.3,7.8,8.3,8.8,9.3,10,10.6,11.5,12.6,13.8,15.2,17.1,19.1,21,22.2,23.5,26.6,29.4,34,37.8,42.5,45.1,49,51,57.2,66.4,76.7,82.4,90.1,99.9,106.8,110.7,108.8,120.4,133,148.7,163.6,179.5,195,205.9,220.6,231.6,238.8,237.1,241.6,248.9,259.7
"69","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRC1",0.8,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.6,0.6,0.7,1,1.7,2,2.2,2.4,2.5,2.9,3.1,3.5,3.6,3.9,4.3,4.6,4.8,5.2,5.5,5.8,6.2,6.6,7.1,7.6,8.1,8.8,9.7,10.9,12.3,13.9,15.1,15.8,17,19.8,22.1,25.7,28.5,32.2,34,37.2,38.5,43.7,51.6,60.5,64,69.8,77.7,82.5,84.9,81.9,90.3,99.5,112.5,125.5,138.7,152.9,161.1,172.6,183.5,189.1,186,186.8,189.5,195.6
"70","63","      Other user-operated transportation (76+77)","A2631C1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1.2,1.3,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3,2.4,2.5,2.7,2.9,3.1,3.4,3.7,4,4.3,4.7,5.3,5.9,6.4,6.5,6.7,7.3,8.2,9.3,10.3,11.1,11.7,12.5,13.5,14.8,16.2,18.4,20.3,22.3,24.3,25.8,26.9,30.1,33.5,36.2,38.2,40.7,42.2,44.8,48,48.1,49.7,51.1,54.7,59.4,64.1
"71","64","    Purchased local transportation","A477RC1",1.1,1.1,0.9,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1,1.3,1.6,1.7,1.7,1.9,1.9,2,2,1.9,2,2,2,1.9,1.9,2,2,1.9,2,2,2,2,2,2,2.1,2.1,2.2,2.4,2.7,3,3.3,3.4,3.5,3.7,4,4.4,4.8,4.8,4.8,4.8,5,5.4,5.8,6.4,6.8,7.1,6.9,7.3,7.5,8.4,8.8,9,9.4,9.9,10.1,10.9,11.1,11.8,11.9,12.2,12.5,12.3,13,13.8,14.7
"72","65","      Mass transit systems (79)","BSTRRC1",0.9,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2,2.1,2.2,2.4,2.5,2.8,2.9,3.3,3.8,4,4.1,4.2,4.5,4.6,5,5.2,5.8,6.1,6.5,6.7,7.1,7.1,7.7,7.8,8.3,8.6,9.1,9.2,9,9.5,10.2,10.8
"73","66","      Taxicab (80)","BTAXRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.2,1.4,1.6,1.6,1.7,2,2.2,2.4,2.2,2,1.9,1.7,1.5,1.9,2.3,2.6,2.5,2.4,2.3,2.3,2.6,2.6,2.6,2.7,2.8,3,3.2,3.3,3.5,3.3,3.1,3.2,3.3,3.5,3.6,3.9
"74","67","    Purchased intercity transportation","A480RC1",0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.7,1,1.1,1.1,1,1,1,0.9,0.9,1,1.1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.3,1.4,1.5,1.5,1.7,2,2.3,2.7,3.1,3.7,4,4.4,5.2,5.9,6.9,7.3,8.6,9.9,10.9,12.6,15.4,16.3,16.6,18.1,20.4,21,21.7,23.8,26.2,27.7,28.6,27.7,28.2,30.3,32.1,33.9,36.2,39.5,41.8,43.9,47.4,41.6,39,42.7,45,46
"75","68","      Railway (82)","BIRRRC1",0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"76","69","      Bus (83)","BIBURC1",0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.4,1.6,1.7,1.5,1.5,1.3,1.1,1.4,1.7,1.5,1.3,1.6,1.6,1.7,1.7,1.8,1.9,2.2,2.2,2.2,2.4,2.4,2.4,2.3,2.3,2.2
"77","70","      Airline (84)","BIAIRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,14.9,17.2,17.6,18.3,19.9,21.3,22.4,22.7,21.4,21.3,22.9,24,25.3,26.9,29.8,31.8,33.3,36.7,31.4,28.3,31.2,33.1,33.8
"78","71","      Other (85)","BTRORC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,1,1.2,1.3,1.4,1.7,1.8,2.1,2.7,3.2,4,4.2,4.8,5.3,5.9,6.4,7,7,7.3,7.8,7.8,7.3,7.8,8.6,9.1,9.4
"79","72","  Medical care","A494RC1",2.4,2.4,2.2,1.8,1.6,1.8,1.9,2.1,2.2,2.2,2.3,2.4,2.6,3,3.2,3.7,3.9,4.9,5.7,6.5,6.7,7.2,7.7,8.5,9.5,10.5,11.2,12.1,13.4,14.8,16.4,17.7,19,21.2,23,26.4,28.6,31.5,34.7,40.1,45.8,51.7,58.4,65.6,73.3,82.3,95.6,109.1,125.3,143.1,161,184.4,216.7,243.3,274.3,303.2,331.5,357.5,392.2,442.8,492.5,556,608.9,672.2,715.1,752.9,797.9,833.5,873,921.4,961.1,1026.8,1113.8,1206.2,1300.5,1395.7,1493.4
"80","73","    Physicians (47)","BPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.7,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,6.9,8.2,8.5,9.1,10,10.9,12.4,14,15.3,16.6,18.4,20.3,23.5,25.8,29.6,32.7,37.2,43.4,51.2,56.2,63.5,70.9,78.8,87.2,101.5,115.3,125.1,138.6,149.2,163.6,167.7,174.4,184.6,190.4,198.2,210.3,220.8,236.8,256.8,277.2,300.6,322.2,342.4
"81","74","    Dentists (48)","BDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.1,57.4,61.8,66.8,72.2,74.6,80.2,85.5
"82","75","    Other professional services (49)","BOPSRC1",0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.3,1.5,1.7,2.1,2.4,2.9,3.3,3.6,3.1,3.4,3.4,3.7,3.9,4.3,5.2,6,7.2,8.9,10.3,11.5,13.1,14.7,17.8,18.9,23.3,27.3,31.8,36.6,41.8,49.4,57.1,70.7,81.6,94.1,105.6,115.7,126.6,134.5,142,149.4,153.3,161.6,175.5,188.2,201.8,217.2,232
"83","76","    Hospitals and nursing homes (50)","BPHORC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.4,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.7,5.4,6,6.7,7.3,8.2,9.2,10.3,11.3,12.9,15.2,18.3,21.6,24.7,28.9,32.7,36.4,41.9,49.3,57.1,64.6,74.7,85.4,98.9,116,132,147.1,158,169.9,183.9,198.5,220.7,243.4,270.9,298.8,326.9,347,362,380.5,398.3,416.8,435.9,453.6,482.6,525.3,572,610.8,645.8,691.3
"84","77","    Health insurance (56)","AHINRC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.4,2.6,2.9,2.9,3.8,4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50,55.2,58.6,60.7,62.6,65.1,71.6,76.1,84,89.4,96.6,112.8,130.4,142.2
"85","78","  Recreation","A490RC1",1.7,1.7,1.6,1.2,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.7,1.9,2.1,2.4,2.7,3,3.7,3.8,3.8,3.8,3.9,4,4.3,4.5,4.8,5.2,5.6,5.6,5.8,6.4,6.9,7.4,8,8.5,9.1,9.6,10.4,11.1,12.5,13.8,15.1,16.3,17.6,19.7,22.5,25.4,28.4,31.4,34.7,38.8,43.6,50.6,56.8,63.6,69.7,77.7,83.7,90,102.1,114.3,125.9,132.9,146.6,160.4,171.4,187.9,202.5,215.1,229.3,248.6,268.3,284.1,299.1,317.7,341.6,360.6
"86","79","    Admissions to specified spectator amusements (96)","A481RC1",0.9,0.9,0.9,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.1,2,1.9,1.9,1.8,1.8,1.7,1.7,1.8,2,2.1,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.2,2.4,2.5,2.9,3.1,3.3,3.5,3.5,3.5,4,4.3,4.4,5,5.9,6.4,6.6,7.1,8,8.7,9.7,9.7,10.5,10.8,12,13.5,15.1,16,16.6,18.5,19.7,21.1,23.5,25,26.2,28.4,30.4,32.2,34.8,36,37.4,38.3
