"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"53","34","    State and local","W993RC1","-5,827.0","-5,881.0","-5,676.0","-6,064.0","-5,636.0","-5,283.0","-4,804.0","-4,733.0","-5,144.0","-5,898.0","-5,382.0","-5,076.0","-5,345.0","-4,973.0","-6,515.0","-5,623.0","-5,651.0","-5,940.0","-5,109.0","-5,656.0","-7,420.0","-8,232.0","-6,127.0","-7,397.0","-8,163.0","-7,374.0","-10,400.0","-10,183.0","-9,756.0","-9,550.0","-10,560.0","-11,234.0","-11,284.0","-11,498.0","-12,224.0","-11,110.0","-11,169.0","-11,728.0","-12,141.0","-12,674.0","-13,709.0","-13,046.0","-14,336.0","-15,793.0","-16,276.0","-16,602.0","-16,045.0","-16,761.0","-16,148.0","-15,870.0","-14,968.0","-15,166.0","-14,072.0","-14,911.0","-15,009.0","-14,935.0","-16,448.0","-14,637.0","-16,093.0","-15,770.0","-16,543.0","-17,050.0","-17,761.0","-18,670.0","-16,578.0","-18,934.0","-19,540.0","-20,612.0","-19,149.0","-19,955.0","-20,641.0","-17,631.0","-17,962.0","-18,740.0","-18,020.0","-17,931.0","-18,160.0","-19,014.0","-19,513.0","-18,313.0","-19,020.0","-18,636.0","-17,418.0","-18,986.0","-19,858.0","-18,578.0","-18,931.0","-19,674.0","-20,232.0","-20,360.0","-19,840.0","-19,398.0","-20,045.0","-21,445.0","-20,946.0","-21,761.0","-20,551.0","-21,298.0","-23,761.0","-23,686.0","-22,644.0","-22,937.0","-24,050.0","-25,232.0","-26,225.0","-26,446.0","-24,931.0","-25,502.0","-28,205.0","-27,324.0","-26,895.0","-28,856.0","-28,892.0","-29,683.0","-29,738.0","-29,194.0","-27,081.0","-27,044.0","-28,591.0","-30,600.0","-27,128.0","-31,514.0","-33,559.0","-33,386.0","-34,799.0","-35,142.0","-34,614.0","-37,841.0","-38,502.0","-40,812.0","-47,006.0","-40,092.0","-44,795.0","-41,504.0","-40,631.0","-39,830.0","-36,242.0","-43,032.0","-41,704.0","-41,129.0","-40,820.0","-37,907.0","-27,121.0","-40,663.0","-44,450.0","-46,178.0","-49,087.0","-21,684.0","-48,055.0","-47,104.0","-46,375.0","-45,567.0","-41,617.0","-47,115.0","-47,156.0","-46,882.0","-47,795.0","-50,103.0","-49,444.0","-50,370.0","-48,070.0","-49,990.0","-60,778.0","-62,821.0","-53,897.0","-65,651.0","-73,143.0","-71,932.0","-63,061.0","-63,321.0","-64,512.0","-67,529.0","-61,551.0","-63,049.0","-63,226.0","-72,257.0","-62,603.0","-59,295.0","-64,485.0","-60,846.0","-60,186.0","-61,928.0","-64,929.0","-57,250.0","-59,157.0","....."
"54","35","Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,906.0","-2,808.0","2,325.0","-2,707.0","-10,787.0","9,718.0","28,026.0","6,575.0","1,542.0","51.0","6,953.0","4,471.0","532.0","17,322.0","-14,145.0","-17,359.0","-8,004.0","-27,741.0","-48,005.0","-56,864.0","-78,625.0","-88,015.0","-90,536.0","-103,532.0","-89,549.0","-111,510.0","-121,427.0","-135,303.0","-128,442.0","-141,968.0","-150,326.0","-150,403.0","-151,060.0","-154,519.0","-154,193.0","-157,153.0","-127,008.0","-110,086.0","-106,590.0","-119,747.0","-106,832.0","-93,717.0","-81,797.0","-88,452.0","-90,866.0","-73,014.0","-82,533.0","-82,665.0","42,131.0","14,204.0","-29,038.0","-16,969.0","-22,016.0","-39,807.0","-46,759.0","-68,602.0","-59,160.0","-73,878.0","-76,995.0","-107,592.0","-92,238.0","-111,884.0","-121,880.0","-137,877.0","-118,625.0","-118,319.0","-100,979.0","-83,962.0","-102,248.0","-108,621.0","-132,792.0","-113,602.0","-131,417.0","-101,659.0","-122,686.0","-163,311.0","-164,257.0","-195,431.0","-224,054.0","-235,212.0","-241,169.0","-273,650.0","-306,598.0","-342,853.0","-376,483.0","-386,380.0","-424,022.0","-429,381.0","-419,194.0","-379,883.0","-360,030.0","-344,210.0","-406,857.0","-451,722.0","-453,347.0","-493,126.0","-533,400.0","-519,196.0","-516,496.0","-502,187.0","-540,608.0","-617,693.0","-623,039.0","-715,589.0","-686,524.0","-705,817.0","-674,285.0","-832,702.0","-792,499.0","-815,232.0","-859,015.0","-750,150.0","-799,501.0","-756,305.0","-685,992.0","-630,320.0","-732,331.0","-718,159.0","-684,636.0","-609,753.0","-393,133.0","-361,397.0","-373,475.0","-401,858.0","-435,800.0","-450,445.0","-475,763.0","-424,449.0","-487,639.0","-509,001.0","-462,337.0","-473,624.0","-512,607.0","-496,941.0","-438,429.0","-398,686.0","-441,887.0","-423,275.0","-393,190.0","-328,068.0","-403,322.0","-374,207.0","-393,084.0","-435,732.0","-475,096.0","....."
"55","36","  Private","W994RC1","19,468.0","19,276.0","26,295.0","27,977.0","39,643.0","50,905.0","57,787.0","63,590.0","61,835.0","66,116.0","65,445.0","60,045.0","49,921.0","49,433.0","45,127.0","47,694.0","40,260.0","50,539.0","48,661.0","52,663.0","59,117.0","42,666.0","53,730.0","74,803.0","121,729.0","175,821.0","134,167.0","141,624.0","120,225.0","102,140.0","95,471.0","95,817.0","72,539.0","70,848.0","70,986.0","63,706.0","59,048.0","52,377.0","62,796.0","67,729.0","54,127.0","61,247.0","73,899.0","77,545.0","86,822.0","135,069.0","157,298.0","116,456.0","106,864.0","102,659.0","106,363.0","151,877.0","164,802.0","195,511.0","201,464.0","230,510.0","249,357.0","199,838.0","203,346.0","175,881.0","129,390.0","125,527.0","138,863.0","142,017.0","121,058.0","157,946.0","129,860.0","125,587.0","123,739.0","134,584.0","145,181.0","107,219.0","120,022.0","54,668.0","76,284.0","81,625.0","100,427.0","114,659.0","96,914.0","96,049.0","86,168.0","124,565.0","154,028.0","167,170.0","187,405.0","209,867.0","202,291.0","257,194.0","327,661.0","362,142.0","353,996.0","375,831.0","412,332.0","402,232.0","408,465.0","364,555.0","389,182.0","331,967.0","335,357.0","251,920.0","244,752.0","202,461.0","212,174.0","200,229.0","219,775.0","223,412.0","201,271.0","210,050.0","191,453.0","144,259.0","103,694.0","80,327.0","55,706.0","36,132.0","-4,891.0","-47,534.0","-109,886.0","-150,560.0","-197,517.0","-211,552.0","-231,977.0","-268,199.0","-312,945.0","-339,806.0","-487,392.0","-472,994.0","-499,577.0","-480,874.0","-437,679.0","-311,339.0","-64,474.0","-90,957.0","58,783.0","63,503.0","70,571.0","95,557.0","106,685.0","180,760.0","230,163.0","148,525.0","176,046.0","73,226.0","43,320.0","-87,427.0","-142,143.0","-163,103.0","-73,703.0","-295,131.0","-356,159.0","-368,312.0","-399,913.0","-373,315.0","-325,814.0","-250,249.0","-119,849.0","-35,718.0","-21,257.0","368,266.0","380,125.0","747,748.0","1,314,437.0","1,587,239.0","1,519,604.0","1,435,671.0","1,437,344.0","1,442,666.0","1,291,172.0","1,294,778.0","1,156,673.0","1,218,976.0","1,197,194.0","1,161,465.0","978,472.0","972,191.0","986,441.0","1,004,279.0","618,324.0","354,895.0","590,636.0","481,677.0","471,325.0","493,623.0","493,028.0","428,586.0","321,577.0","....."
"56","37","    Domestic business","W995RC1","-18,026.0","-22,260.0","-28,277.0","-30,084.0","-22,699.0","-19,240.0","-19,036.0","-11,507.0","-14,601.0","-12,715.0","-10,194.0","-9,409.0","-11,207.0","-7,291.0","-16,363.0","-28,198.0","-26,281.0","-29,222.0","-35,690.0","-49,295.0","-42,642.0","-51,662.0","-41,626.0","-42,549.0","10,884.0","28,226.0","20,650.0","30,435.0","19,536.0","7,060.0","169.0","15,804.0","15,434.0","5,899.0","-4,538.0","-22,662.0","-30,835.0","-19,895.0","-15,537.0","-14,883.0","-46,379.0","-31,419.0","-15,387.0","-22,191.0","-30,436.0","-18,442.0","-4,404.0","-56,768.0","-55,702.0","-64,183.0","-106,552.0","-90,128.0","-68,950.0","-46,745.0","-40,629.0","20,310.0","54,026.0","42,627.0","58,828.0","16,902.0","-62,304.0","-76,688.0","-85,668.0","-73,111.0","-39,935.0","-36,552.0","602.0","-28,150.0","-37,974.0","-25,492.0","17,470.0","-5,639.0","-23,934.0","-14,165.0","-18,730.0","-54,693.0","-34,582.0","-32,277.0","-59,223.0","-57,442.0","-102,351.0","-42,893.0","-12,524.0","-17,148.0","-1,996.0","-703.0","-10,625.0","33,129.0","72,881.0","114,667.0","116,195.0","93,433.0","115,835.0","90,986.0","84,067.0","114,337.0","122,216.0","99,347.0","154,038.0","92,480.0","91,822.0","61,687.0","72,764.0","34,126.0","7,094.0","36,896.0","24,082.0","44,816.0","32,546.0","4,741.0","-42,511.0","-56,634.0","-79,054.0","-113,782.0","-119,942.0","-174,383.0","-300,314.0","-303,406.0","-324,808.0","-293,215.0","-319,868.0","-271,052.0","-288,048.0","-316,274.0","-495,161.0","-484,303.0","-523,043.0","-461,526.0","-451,171.0","-307,021.0","-219,067.0","-39,015.0","-43,131.0","-32,447.0","34,215.0","45,669.0","67,491.0","117,645.0","170,943.0","142,730.0","198,917.0","88,879.0","57,605.0","-37,148.0","68,651.0","110,609.0","105,435.0","-43,550.0","-202,042.0","-211,597.0","-252,330.0","-275,895.0","-299,724.0","-225,867.0","-107,547.0","-65,590.0","-210,775.0","-74,483.0","48,323.0","215,130.0","734,442.0","865,242.0","875,574.0","820,699.0","845,269.0","843,720.0","681,008.0","690,672.0","464,774.0","562,068.0","527,677.0","530,641.0","241,488.0","161,115.0","211,767.0","-108,528.0","178,360.0","-114,118.0","111,974.0","81,010.0","-33,476.0","18,664.0","9,027.0","-18,740.0","-183,221.0","....."
"57","38","    Households and institutions","W996RC1","37,493.0","41,537.0","54,572.0","58,061.0","62,342.0","70,145.0","76,824.0","75,097.0","76,436.0","78,831.0","75,640.0","69,454.0","61,129.0","56,724.0","61,490.0","75,892.0","66,542.0","79,761.0","84,351.0","101,959.0","101,760.0","94,328.0","95,358.0","117,353.0","110,846.0","147,596.0","113,516.0","111,189.0","100,687.0","95,079.0","95,299.0","80,013.0","57,105.0","64,948.0","75,523.0","86,367.0","89,887.0","72,275.0","78,335.0","82,610.0","100,507.0","92,666.0","89,282.0","99,733.0","117,258.0","153,513.0","161,700.0","173,221.0","162,564.0","166,846.0","212,915.0","242,005.0","233,756.0","242,254.0","242,088.0","210,197.0","195,332.0","157,216.0","144,520.0","158,979.0","191,694.0","202,215.0","224,533.0","215,126.0","160,989.0","194,498.0","129,262.0","153,733.0","161,714.0","160,079.0","127,712.0","112,860.0","143,953.0","68,832.0","95,011.0","136,321.0","135,014.0","146,932.0","156,143.0","153,493.0","188,523.0","167,462.0","166,549.0","184,317.0","189,401.0","210,573.0","212,914.0","224,065.0","254,782.0","247,474.0","237,798.0","282,394.0","296,488.0","311,251.0","324,392.0","250,219.0","266,965.0","232,618.0","181,318.0","159,439.0","152,932.0","140,773.0","139,415.0","166,101.0","212,685.0","186,519.0","177,192.0","165,232.0","158,911.0","139,524.0","146,204.0","136,962.0","134,739.0","149,902.0","115,041.0","126,840.0","190,425.0","152,856.0","127,288.0","81,667.0","87,893.0","2,855.0","-24,901.0","-23,528.0","7,774.0","11,316.0","23,466.0","-19,346.0","13,493.0","-4,319.0","154,598.0","-51,945.0","101,912.0","95,952.0","36,358.0","49,881.0","39,194.0","63,113.0","59,218.0","5,803.0","-22,870.0","-15,648.0","-14,284.0","-50,277.0","-210,794.0","-273,710.0","-179,137.0","-251,581.0","-154,118.0","-156,714.0","-147,580.0","-97,416.0","-26,088.0","-24,386.0","-12,303.0","29,874.0","189,517.0","442,745.0","331,804.0","532,619.0","580,197.0","722,347.0","644,473.0","615,472.0","595,199.0","604,412.0","617,197.0","611,917.0","691,898.0","656,909.0","669,516.0","630,815.0","736,984.0","811,076.0","774,674.0","1,112,807.0","439,964.0","469,013.0","478,662.0","400,667.0","504,801.0","474,959.0","484,001.0","447,325.0","504,798.0","....."
"58","39","  Government","AD01RC1","-17,867.0","-18,631.0","-24,848.0","-25,263.0","-35,851.0","-45,684.0","-54,300.0","-61,217.0","-57,506.0","-66,057.0","-65,807.0","-62,891.0","-54,977.0","-54,209.0","-48,762.0","-50,513.0","-38,094.0","-45,167.0","-36,227.0","-37,343.0","-42,635.0","-40,039.0","-53,458.0","-70,448.0","-103,888.0","-154,428.0","-115,839.0","-120,060.0","-107,134.0","-93,193.0","-93,110.0","-92,043.0","-80,615.0","-79,748.0","-78,917.0","-82,716.0","-84,144.0","-65,321.0","-74,264.0","-69,087.0","-56,028.0","-64,055.0","-71,568.0","-80,250.0","-97,610.0","-125,358.0","-129,269.0","-109,876.0","-105,322.0","-102,612.0","-99,414.0","-147,411.0","-164,273.0","-178,187.0","-215,606.0","-247,870.0","-257,362.0","-227,584.0","-251,349.0","-232,744.0","-208,011.0","-213,544.0","-229,396.0","-245,549.0","-210,598.0","-269,456.0","-251,286.0","-260,890.0","-252,186.0","-276,552.0","-295,507.0","-257,616.0","-271,078.0","-209,183.0","-230,470.0","-238,781.0","-227,437.0","-224,746.0","-203,508.0","-215,789.0","-193,003.0","-218,291.0","-235,813.0","-255,620.0","-278,271.0","-282,891.0","-284,821.0","-339,853.0","-285,537.0","-347,937.0","-383,025.0","-392,791.0","-434,341.0","-442,043.0","-455,218.0","-433,156.0","-448,342.0","-405,840.0","-412,356.0","-359,510.0","-336,987.0","-314,338.0","-334,061.0","-338,100.0","-338,408.0","-341,730.0","-302,293.0","-294,010.0","-293,706.0","-252,888.0","-236,482.0","-193,928.0","-187,098.0","-137,777.0","-117,785.0","-115,766.0","-54,368.0","-44,881.0","-26,535.0","-23,666.0","-9,196.0","-5,450.0","6,352.0","-3,048.0","110,903.0","86,610.0","75,546.0","51,488.0","18,484.0","-68,544.0","-295,559.0","-253,246.0","-465,638.0","-515,234.0","-523,921.0","-588,672.0","-640,088.0","-699,954.0","-746,655.0","-650,718.0","-716,656.0","-690,923.0","-666,356.0","-628,160.0","-544,385.0","-542,709.0","-600,587.0","-537,567.0","-436,339.0","-446,919.0","-459,099.0","-376,840.0","-473,691.0","-506,052.0","-566,151.0","-594,622.0","-711,089.0","-1,086,447.0","-1,064,787.0","-1,357,509.0","-1,707,750.0","-1,948,929.0","-1,893,509.0","-1,838,034.0","-1,876,269.0","-1,898,575.0","-1,773,969.0","-1,727,036.0","-1,644,310.0","-1,727,980.0","-1,659,539.0","-1,635,086.0","-1,491,079.0","-1,469,132.0","-1,424,870.0","-1,402,966.0","-1,060,211.0","-778,169.0","-983,826.0","-809,746.0","-874,648.0","-867,831.0","-886,112.0","-864,315.0","-796,673.0","....."
"59","40","    Federal","AD02RC1","-7,550.0","-8,497.0","-15,959.0","-17,818.0","-28,013.0","-36,928.0","-42,879.0","-47,977.0","-44,071.0","-53,768.0","-53,409.0","-50,934.0","-44,156.0","-53,155.0","-40,406.0","-54,810.0","-36,947.0","-42,137.0","-31,215.0","-30,923.0","-34,276.0","-28,980.0","-39,717.0","-53,382.0","-79,755.0","-134,368.0","-99,012.0","-100,579.0","-89,139.0","-80,967.0","-85,089.0","-91,289.0","-76,571.0","-76,838.0","-81,865.0","-84,694.0","-88,698.0","-69,127.0","-69,258.0","-65,884.0","-54,087.0","-56,054.0","-63,608.0","-69,000.0","-84,588.0","-110,659.0","-119,256.0","-104,576.0","-95,124.0","-94,660.0","-92,993.0","-134,370.0","-149,704.0","-163,709.0","-199,572.0","-228,527.0","-237,670.0","-216,812.0","-246,265.0","-232,232.0","-213,997.0","-222,342.0","-230,379.0","-250,805.0","-212,560.0","-269,053.0","-248,125.0","-257,385.0","-251,667.0","-269,602.0","-290,911.0","-245,087.0","-248,677.0","-200,545.0","-211,651.0","-217,227.0","-210,286.0","-203,750.0","-191,853.0","-198,023.0","-176,281.0","-194,009.0","-202,872.0","-203,937.0","-234,699.0","-234,209.0","-231,915.0","-274,383.0","-219,302.0","-277,937.0","-313,132.0","-312,657.0","-350,870.0","-360,122.0","-370,398.0","-355,190.0","-361,688.0","-322,778.0","-333,055.0","-297,534.0","-269,110.0","-243,697.0","-268,797.0","-265,379.0","-264,787.0","-250,279.0","-224,173.0","-227,350.0","-236,209.0","-189,441.0","-174,109.0","-128,405.0","-117,407.0","-73,578.0","-66,541.0","-69,235.0","-14,487.0","5,898.0","29,106.0","23,043.0","54,266.0","61,735.0","68,632.0","63,359.0","172,487.0","143,521.0","150,206.0","143,103.0","126,738.0","80,105.0","-148,713.0","-55,044.0","-257,323.0","-300,857.0","-314,864.0","-366,382.0","-387,692.0","-475,358.0","-543,338.0","-470,037.0","-508,790.0","-469,026.0","-450,963.0","-451,663.0","-392,672.0","-385,412.0","-446,834.0","-361,456.0","-321,158.0","-326,018.0","-309,030.0","-216,489.0","-298,476.0","-343,694.0","-383,960.0","-389,401.0","-485,813.0","-855,622.0","-768,928.0","-1,012,204.0","-1,331,886.0","-1,571,891.0","-1,512,316.0","-1,486,694.0","-1,534,541.0","-1,557,372.0","-1,481,489.0","-1,461,376.0","-1,369,831.0","-1,472,119.0","-1,380,438.0","-1,365,972.0","-1,222,130.0","-1,197,869.0","-1,170,489.0","-1,183,149.0","-858,580.0","-579,830.0","-764,482.0","-590,227.0","-667,298.0","-683,534.0","-698,461.0","-676,321.0","-622,405.0","....."
"60","41","    State and local","AD03RC1","-10,317.0","-10,133.0","-8,889.0","-7,446.0","-7,837.0","-8,755.0","-11,422.0","-13,240.0","-13,435.0","-12,289.0","-12,398.0","-11,957.0","-10,821.0","-1,054.0","-8,356.0","4,297.0","-1,147.0","-3,029.0","-5,012.0","-6,419.0","-8,359.0","-11,058.0","-13,742.0","-17,066.0","-24,132.0","-20,059.0","-16,826.0","-19,480.0","-17,995.0","-12,227.0","-8,021.0","-754.0","-4,045.0","-2,910.0","2,949.0","1,978.0","4,555.0","3,806.0","-5,006.0","-3,204.0","-1,942.0","-8,002.0","-7,961.0","-11,249.0","-13,023.0","-14,699.0","-10,011.0","-5,300.0","-10,198.0","-7,953.0","-6,421.0","-13,041.0","-14,571.0","-14,477.0","-16,034.0","-19,344.0","-19,693.0","-10,772.0","-5,085.0","-512.0","5,986.0","8,798.0","983.0","5,255.0","1,962.0","-402.0","-3,161.0","-3,505.0","-518.0","-6,951.0","-4,596.0","-12,529.0","-22,402.0","-8,638.0","-18,818.0","-21,554.0","-17,150.0","-20,995.0","-11,655.0","-17,766.0","-16,722.0","-24,282.0","-32,941.0","-51,682.0","-43,572.0","-48,682.0","-52,906.0","-65,470.0","-66,235.0","-70,001.0","-69,893.0","-80,133.0","-83,471.0","-81,921.0","-84,821.0","-77,965.0","-86,657.0","-83,061.0","-79,301.0","-61,977.0","-67,878.0","-70,641.0","-65,264.0","-72,720.0","-73,620.0","-91,452.0","-78,120.0","-66,661.0","-57,497.0","-63,447.0","-62,375.0","-65,524.0","-69,694.0","-64,200.0","-51,244.0","-46,532.0","-39,881.0","-50,779.0","-55,641.0","-46,711.0","-63,461.0","-67,185.0","-62,280.0","-66,407.0","-61,584.0","-56,911.0","-74,660.0","-91,616.0","-108,255.0","-148,649.0","-146,846.0","-198,202.0","-208,315.0","-214,376.0","-209,057.0","-222,290.0","-252,396.0","-224,596.0","-203,317.0","-180,682.0","-207,866.0","-221,898.0","-215,393.0","-176,497.0","-151,713.0","-157,296.0","-153,753.0","-176,111.0","-115,181.0","-120,901.0","-150,070.0","-160,351.0","-175,215.0","-162,358.0","-182,191.0","-205,221.0","-225,275.0","-230,824.0","-295,858.0","-345,305.0","-375,863.0","-377,038.0","-381,193.0","-351,341.0","-341,728.0","-341,203.0","-292,480.0","-265,660.0","-274,480.0","-255,861.0","-279,101.0","-269,114.0","-268,949.0","-271,263.0","-254,381.0","-219,816.0","-201,631.0","-198,339.0","-219,344.0","-219,519.0","-207,350.0","-184,297.0","-187,652.0","-187,994.0","-174,268.0","....."
"61","42","    Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,901.0","41,317.0","58,422.0","55,501.0","63,738.0","59,263.0","35,609.0","17,114.0","57,265.0","34,795.0","27,885.0","26,882.0","-1,685.0","3,064.0","4,102.0","21,550.0","28,641.0","49,667.0","72,209.0","66,112.0","38,456.0","44,969.0","41,108.0","29,976.0","35,190.0","43,649.0","58,720.0","67,491.0","64,466.0","73,711.0","90,101.0","78,693.0","65,610.0","44,918.0","17,301.0","34,398.0","2,364.0","10,396.0","-5,792.0","-8,848.0","10,150.0","65,126.0","86,515.0","94,922.0","99,888.0","90,740.0","98,642.0","76,126.0","56,205.0","88,047.0","102,229.0","107,073.0","73,739.0","93,179.0","136,509.0","140,186.0","180,528.0","140,640.0","163,455.0","124,679.0","157,191.0","145,468.0","121,828.0","122,780.0","114,381.0","98,172.0","71,600.0","78,089.0","45,479.0","65,542.0","64,905.0","50,358.0","19,327.0","47,491.0","14,196.0","-31,823.0","-39,182.0","-81,104.0","-92,631.0","-27,747.0","-69,573.0","-50,809.0","-19,513.0","-10,135.0","-185,564.0","-53,078.0","-118,256.0","-41,002.0","-193,681.0","-119,424.0","-115,154.0","-31,658.0","-72,140.0","-79,683.0","-40,856.0","-98,388.0","-58,998.0","-60,014.0","21,096.0","43,397.0","21,767.0","-14,400.0","-42,984.0","1,271.0","12,966.0","-12,037.0","-17,548.0","-125,315.0","-222,094.0","-203,943.0","-248,721.0","-194,352.0","-151,384.0","-63,535.0","113,281.0","171,606.0","46,512.0","129,612.0","124,242.0","97,255.0","117,260.0","96,185.0","74,243.0","13,614.0","57,814.0","98,178.0","6,118.0","34,772.0","-44,086.0","-6,777.0","-74,696.0","-27,749.0","-218,681.0","-168,328.0","-143,816.0","-282,198.0","-185,536.0","-260,349.0","-155,081.0","-109,607.0","-175,308.0","-186,994.0","-224,021.0","-261,828.0","-246,326.0","....."
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","43","  Gross private saving","A126RC1","189,636.0","193,617.0","206,458.0","204,943.0","207,847.0","220,586.0","228,756.0","228,781.0","243,698.0","254,055.0","259,108.0","263,829.0","263,915.0","262,573.0","274,147.0","298,249.0","298,806.0","309,414.0","319,794.0","339,135.0","336,016.0","328,230.0","325,204.0","348,895.0","355,261.0","409,624.0","395,438.0","407,898.0","412,245.0","411,670.0","416,444.0","415,060.0","413,641.0","446,741.0","476,219.0","486,823.0","498,602.0","510,027.0","529,849.0","547,900.0","563,903.0","564,591.0","569,005.0","581,379.0","586,034.0","600,614.0","625,548.0","669,691.0","674,992.0","689,749.0","750,911.0","779,563.0","767,322.0","794,970.0","798,450.0","774,177.0","792,236.0","784,787.0","795,202.0","833,547.0","890,925.0","911,390.0","946,496.0","951,828.0","901,599.0","947,119.0","904,052.0","923,512.0","928,823.0","929,897.0","897,650.0","881,447.0","932,282.0","890,954.0","942,977.0","1,000,261.0","1,012,800.0","1,042,452.0","1,054,431.0","1,075,817.0","1,088,209.0","1,069,797.0","1,072,111.0","1,077,056.0","1,106,885.0","1,148,282.0","1,115,483.0","1,137,739.0","1,205,596.0","1,209,608.0","1,209,730.0","1,256,924.0","1,305,064.0","1,331,048.0","1,300,053.0","1,292,849.0","1,303,076.0","1,297,138.0","1,279,454.0","1,293,330.0","1,304,068.0","1,338,209.0","1,353,936.0","1,397,959.0","1,445,620.0","1,443,788.0","1,475,277.0","1,482,242.0","1,517,649.0","1,514,853.0","1,533,092.0","1,543,623.0","1,579,728.0","1,626,886.0","1,632,072.0","1,653,936.0","1,668,283.0","1,661,204.0","1,668,355.0","1,637,893.0","1,715,286.0","1,657,148.0","1,628,551.0","1,650,025.0","1,671,938.0","1,679,819.0","1,702,389.0","1,648,534.0","1,754,847.0","1,803,646.0","1,966,338.0","1,807,305.0","2,064,564.0","2,090,269.0","2,061,767.0","2,135,108.0","2,129,639.0","2,213,087.0","2,258,287.0","2,241,297.0","2,311,599.0","2,350,069.0","2,370,080.0","2,295,811.0","2,325,160.0","2,323,334.0","2,356,297.0","2,448,115.0","2,576,811.0","2,539,248.0","2,540,078.0","2,518,037.0","2,451,837.0","2,479,450.0","2,415,982.0","2,410,053.0","2,470,145.0","2,757,356.0","2,665,687.0","2,670,538.0","2,970,804.0","3,179,689.0","3,174,215.0","3,257,673.0","3,290,777.0","3,339,820.0","3,417,555.0","3,390,168.0","3,298,125.0","3,389,654.0","3,455,009.0","3,517,439.0","3,631,808.0","3,667,537.0","3,653,754.0","3,750,239.0","3,382,862.0","3,242,031.0","3,467,525.0","3,351,626.0","3,402,568.0","3,526,777.0","3,637,919.0","3,629,337.0","3,571,544.0","....."
