"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"52","34","Equals: Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,309.0","148,158.0","166,566.0","177,545.0","213,197.0","252,478.0","277,682.0","246,999.0","312,070.0","265,117.0","269,362.0","252,076.0","294,750.0","316,510.0","335,449.0","365,889.0","426,021.0","367,641.0","331,416.0","352,922.0","345,214.0","352,188.0","405,315.0","303,294.0","307,677.0","335,167.0","405,259.0","409,575.0","409,430.0","243,114.0","331,393.0","309,802.0","536,712.0","667,417.0","630,006.0","710,135.0","946,697.0","589,924.0","620,201.0"
"53","35","  Personal saving as a percentage of disposable personal income","A072RC1","10.8","12.6","13.3","12.1","13.1","12.9","13.0","11.1","10.2","10.2","9.8","10.6","11.2","11.5","9.4","10.7","8.6","8.2","7.3","7.8","7.8","7.8","8.2","8.9","7.4","6.3","6.4","5.9","5.7","6.2","4.4","4.2","4.3","5.0","4.8","4.5","2.6","3.3","2.9","4.9","6.1","5.6","6.0","7.6","4.8","4.8"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","3,462,460.0","3,540,563.0","3,628,828.0","3,848,073.0","4,046,848.0","3,987,021.0","3,946,278.0","4,107,505.0","4,284,537.0","4,524,671.0","4,641,868.0","4,634,628.0","4,761,602.0","4,801,915.0","4,911,363.0","5,272,457.0","5,462,792.0","5,664,002.0","5,846,972.0","6,097,539.0","6,305,027.0","6,390,207.0","6,324,652.0","6,525,040.0","6,626,729.0","6,829,031.0","7,068,885.0","7,357,977.0","7,722,218.0","8,268,833.0","8,583,700.0","9,081,751.0","9,203,863.0","9,163,735.0","9,299,531.0","9,622,383.0","9,860,402.0","10,323,506.0","10,578,660.0","10,538,801.0","9,947,255.0","9,987,338.0","10,460,073.0","10,882,664.0","10,822,318.0","11,149,848.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","    Total, millions of chained (2009) dollars \5\","A067RX1","3,264,449.0","3,413,240.0","3,570,368.0","3,741,152.0","3,968,594.0","3,923,596.0","4,020,036.0","4,143,969.0","4,274,833.0","4,470,482.0","4,557,844.0","4,590,532.0","4,705,580.0","4,803,346.0","4,971,029.0","5,314,034.0","5,476,151.0","5,687,786.0","5,811,019.0","6,083,857.0","6,268,684.0","6,393,468.0","6,438,421.0","6,714,195.0","6,823,558.0","7,010,696.0","7,245,752.0","7,476,108.0","7,751,267.0","8,208,147.0","8,477,742.0","8,902,220.0","9,148,722.0","9,431,590.0","9,690,067.0","10,035,655.0","10,189,364.0","10,595,366.0","10,820,563.0","10,987,280.0","10,942,526.0","11,055,127.0","11,331,224.0","11,688,291.0","11,523,128.0","11,836,279.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","38","      Current dollars","A229RC0","3,432","3,713","3,998","4,287","4,747","5,135","5,645","6,079","6,613","7,322","8,037","8,861","9,785","10,442","11,170","12,284","12,991","13,661","14,274","15,386","16,380","17,235","17,688","18,684","19,211","19,906","20,753","21,615","22,527","23,759","24,617","26,206","27,179","28,127","29,198","30,697","31,760","33,589","34,826","36,101","35,616","36,274","37,804","39,440","39,123","40,461"
"60","39","      Chained (2009) dollars","A229RX0","16,102","16,643","17,191","17,821","18,725","18,343","18,613","19,002","19,406","20,080","20,248","20,158","20,458","20,685","21,214","22,480","22,960","23,632","23,929","24,826","25,340","25,555","25,395","26,133","26,216","26,611","27,180","27,719","28,397","29,723","30,350","31,524","32,075","32,754","33,342","34,221","34,424","35,458","35,866","36,078","35,616","35,684","36,298","37,165","36,369","37,084"
"61","40","  Population (midperiod, thousands)","B230RC0","202,736","205,089","207,692","209,924","211,939","213,898","215,981","218,086","220,289","222,629","225,106","227,726","230,008","232,218","234,333","236,394","238,506","240,683","242,843","245,061","247,387","250,181","253,530","256,922","260,282","263,455","266,588","269,714","272,958","276,154","279,328","282,398","285,225","287,955","290,626","293,262","295,993","298,818","301,696","304,543","307,240","309,808","312,172","314,499","316,839","319,173"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Disposable personal income, current dollars","A067RP1","8.1","9.5","9.0","8.4","11.8","9.2","11.0","8.7","9.9","11.9","11.0","11.5","11.5","7.7","7.9","10.9","6.7","6.1","5.4","8.8","7.5","6.4","4.0","7.0","4.2","4.9","5.5","5.4","5.5","6.7","4.8","7.6","4.8","4.5","4.8","6.1","4.4","6.8","4.7","4.6","-0.5","2.7","5.0","5.1","-0.1","4.2"
"64","42","    Disposable personal income, chained (2009) dollars","A067RL1","3.4","4.6","4.6","4.8","6.1","-1.1","2.5","3.1","3.2","4.6","2.0","0.7","2.5","2.1","3.5","6.9","3.1","3.9","2.2","4.7","3.0","2.0","0.7","4.3","1.6","2.7","3.4","3.2","3.7","5.9","3.3","5.0","2.8","3.1","2.7","3.6","1.5","4.0","2.1","1.5","-0.4","1.0","2.5","3.2","-1.4","2.7"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Includes actual employer contributions and actuarially imputed employer contributions to reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","benefits accrued by defined benefit pension plan participants through service to employers in the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","from the federal old-age and survivors insurance trust fund and the disability insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","from the federal hospital insurance trust fund and the supplementary medical insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5. The current-dollar measure is deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
