"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"59","38","  Rental income of persons with CCAdj","A048RC1","6,657.0","6,768.0","6,973.0","7,157.0","7,318.0","7,465.0","7,535.0","7,616.0","7,542.0","7,653.0","7,887.0","8,107.0","8,458.0","8,669.0","8,841.0","9,148.0","9,319.0","9,576.0","9,858.0","10,123.0","10,400.0","10,665.0","10,931.0","11,266.0","11,584.0","11,894.0","12,161.0","12,473.0","12,797.0","13,015.0","13,145.0","13,288.0","13,334.0","13,387.0","13,442.0","13,527.0","13,595.0","13,605.0","13,682.0","13,790.0","13,872.0","13,971.0","14,081.0","14,292.0","14,572.0","14,751.0","14,890.0","14,976.0","14,972.0","15,433.0","15,785.0","16,044.0","16,226.0","16,379.0","16,543.0","16,703.0","16,918.0","17,083.0","17,286.0","17,511.0","17,740.0","17,950.0","18,150.0","18,343.0","18,543.0","18,688.0","18,843.0","18,837.0","18,840.0","18,779.0","18,863.0","18,841.0","19,082.0","19,271.0","19,503.0","19,491.0","19,835.0","19,757.0","20,022.0","20,029.0","20,254.0","20,372.0","20,428.0","20,326.0","20,091.0","20,087.0","20,226.0","20,039.0","20,247.0","20,314.0","20,474.0","20,465.0"
"60","39","    Rental income of persons (without CCAdj)","B049RC1","7,107.0","7,257.0","7,491.0","7,696.0","7,868.0","8,022.0","8,096.0","8,176.0","8,097.0","8,203.0","8,434.0","8,651.0","9,000.0","9,215.0","9,397.0","9,720.0","9,913.0","10,186.0","10,478.0","10,748.0","11,024.0","11,288.0","11,552.0","11,886.0","12,202.0","12,509.0","12,773.0","13,081.0","13,400.0","13,615.0","13,743.0","13,887.0","13,935.0","13,991.0","14,051.0","14,141.0","14,216.0","14,230.0","14,309.0","14,416.0","14,495.0","14,590.0","14,696.0","14,903.0","15,179.0","15,354.0","15,491.0","15,577.0","15,573.0","16,033.0","16,381.0","16,635.0","16,810.0","16,955.0","17,111.0","17,263.0","17,469.0","17,626.0","17,821.0","18,039.0","18,261.0","18,465.0","18,659.0","18,846.0","19,040.0","19,181.0","19,334.0","19,327.0","19,331.0","19,274.0","19,365.0","19,353.0","19,607.0","19,810.0","20,057.0","20,061.0","20,421.0","20,360.0","20,641.0","20,664.0","20,905.0","21,042.0","21,121.0","21,044.0","20,837.0","20,868.0","21,050.0","20,912.0","21,176.0","21,286.0","21,474.0","21,480.0"
"61","40","    Capital consumption adjustment","B050RC1","-450.0","-489.0","-518.0","-539.0","-550.0","-557.0","-561.0","-560.0","-555.0","-550.0","-547.0","-544.0","-542.0","-546.0","-556.0","-572.0","-594.0","-610.0","-620.0","-625.0","-624.0","-623.0","-621.0","-620.0","-618.0","-615.0","-612.0","-608.0","-603.0","-600.0","-598.0","-599.0","-601.0","-604.0","-609.0","-614.0","-621.0","-625.0","-627.0","-626.0","-623.0","-619.0","-615.0","-611.0","-607.0","-603.0","-601.0","-601.0","-601.0","-600.0","-596.0","-591.0","-584.0","-576.0","-568.0","-560.0","-551.0","-543.0","-535.0","-528.0","-521.0","-515.0","-509.0","-503.0","-497.0","-493.0","-491.0","-490.0","-491.0","-495.0","-502.0","-512.0","-525.0","-539.0","-554.0","-570.0","-586.0","-603.0","-619.0","-635.0","-651.0","-670.0","-693.0","-718.0","-746.0","-781.0","-824.0","-873.0","-929.0","-972.0","-1,000.0","-1,015.0"
"62","41","  Corporate profits with IVA and CCAdj","A051RC1","21,454.0","24,482.0","24,592.0","26,127.0","29,979.0","31,757.0","31,170.0","32,666.0","31,004.0","28,664.0","29,924.0","26,640.0","30,056.0","33,889.0","38,441.0","41,847.0","40,717.0","40,569.0","41,118.0","42,390.0","40,027.0","38,129.0","38,071.0","42,432.0","43,340.0","42,509.0","41,310.0","34,016.0","36,508.0","37,847.0","39,895.0","43,590.0","48,805.0","50,106.0","50,176.0","51,582.0","49,420.0","49,642.0","49,309.0","50,214.0","51,658.0","50,288.0","49,340.0","45,271.0","39,466.0","40,609.0","44,759.0","50,593.0","54,265.0","59,067.0","54,190.0","54,535.0","58,610.0","54,796.0","53,807.0","51,506.0","50,242.0","54,481.0","57,243.0","61,816.0","62,552.0","62,520.0","64,243.0","66,858.0","67,196.0","70,229.0","71,657.0","72,950.0","77,053.0","77,320.0","78,440.0","78,019.0","85,843.0","88,045.0","89,261.0","94,006.0","97,371.0","96,367.0","94,828.0","95,921.0","93,345.0","92,169.0","93,214.0","96,734.0","98,123.0","102,113.0","102,642.0","104,110.0","103,476.0","100,332.0","97,418.0","92,440.0"
"63","42","    Corporate profits with IVA","A052RC1","23,814.0","26,992.0","27,240.0","28,903.0","32,871.0","34,721.0","34,163.0","35,644.0","33,923.0","31,528.0","32,736.0","29,405.0","32,777.0","36,607.0","41,197.0","44,681.0","43,669.0","43,581.0","44,130.0","45,344.0","42,862.0","40,823.0","40,598.0","44,768.0","45,461.0","44,438.0","43,073.0","35,635.0","38,007.0","39,105.0","40,789.0","43,999.0","48,607.0","49,560.0","49,539.0","51,111.0","49,373.0","49,898.0","49,747.0","50,711.0","52,094.0","50,731.0","49,858.0","45,934.0","40,344.0","41,588.0","45,728.0","51,438.0","54,874.0","59,402.0","54,217.0","54,216.0","57,910.0","53,824.0","52,671.0","50,314.0","49,103.0","53,111.0","55,357.0","59,131.0","58,784.0","57,902.0","59,005.0","61,230.0","61,412.0","64,280.0","65,537.0","66,652.0","70,569.0","70,653.0","71,592.0","70,994.0","78,643.0","80,686.0","81,757.0","86,373.0","89,625.0","88,536.0","86,941.0","88,005.0","85,431.0","84,294.0","85,418.0","89,055.0","90,600.0","94,666.0","95,188.0","96,567.0","95,762.0","92,583.0","89,766.0","85,019.0"
"64","43","      Profits before tax (without IVA and CCAdj)","A053RC1","33,466.0","31,668.0","31,288.0","34,123.0","35,747.0","37,589.0","36,959.0","35,712.0","32,519.0","28,692.0","29,752.0","29,205.0","33,477.0","39,923.0","48,501.0","53,221.0","52,393.0","44,593.0","40,666.0","43,868.0","41,590.0","39,667.0","39,898.0","43,972.0","45,893.0","46,034.0","45,077.0","35,591.0","38,019.0","39,141.0","41,473.0","44,539.0","49,715.0","50,444.0","51,731.0","53,871.0","52,285.0","53,542.0","50,939.0","53,735.0","54,518.0","52,239.0","51,138.0","46,878.0","40,564.0","41,276.0","45,972.0","52,306.0","55,502.0","60,398.0","54,549.0","53,368.0","58,778.0","54,428.0","52,155.0","50,050.0","49,179.0","52,095.0","55,033.0","59,311.0","58,340.0","58,026.0","59,757.0","60,694.0","60,428.0","64,064.0","65,769.0","67,404.0","70,805.0","70,797.0","72,492.0","71,690.0","79,043.0","81,806.0","83,277.0","88,313.0","90,821.0","91,200.0","90,553.0","88,961.0","85,803.0","85,618.0","87,146.0","91,847.0","95,276.0","97,590.0","98,140.0","100,619.0","100,694.0","97,803.0","94,702.0","93,411.0"
"65","44","        Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0","39,140.0","38,880.0"
"66","45","        Profits after tax (without IVA and CCAdj)","A055RC1","21,906.0","20,732.0","20,492.0","22,343.0","23,603.0","24,793.0","24,379.0","23,548.0","21,475.0","18,976.0","19,632.0","19,273.0","19,849.0","23,615.0","28,577.0","31,381.0","26,113.0","22,329.0","20,522.0","22,320.0","21,786.0","21,015.0","21,290.0","23,440.0","24,277.0","24,310.0","23,845.0","19,015.0","21,615.0","22,237.0","23,553.0","25,271.0","28,371.0","28,836.0","29,575.0","30,815.0","30,245.0","31,054.0","29,795.0","31,435.0","31,694.0","30,367.0","29,710.0","27,310.0","23,644.0","24,028.0","26,584.0","30,006.0","32,002.0","34,674.0","31,433.0","30,800.0","33,674.0","31,364.0","30,131.0","29,114.0","28,523.0","30,003.0","31,641.0","33,891.0","34,436.0","34,366.0","35,393.0","36,242.0","35,872.0","37,800.0","38,765.0","39,744.0","42,901.0","42,833.0","43,908.0","43,522.0","49,487.0","51,302.0","52,193.0","55,197.0","56,653.0","56,992.0","56,681.0","55,685.0","53,303.0","53,414.0","54,662.0","57,439.0","56,548.0","58,094.0","58,476.0","59,995.0","59,234.0","57,375.0","55,562.0","54,531.0"
"67","46","          Net dividends","B056RC1","6,004.0","6,312.0","6,520.0","6,448.0","7,028.0","6,676.0","7,088.0","7,352.0","7,224.0","7,204.0","7,112.0","7,412.0","8,288.0","8,372.0","9,156.0","9,536.0","8,380.0","8,632.0","8,580.0","8,688.0","8,156.0","8,712.0","8,600.0","8,772.0","8,432.0","9,176.0","9,044.0","8,892.0","9,436.0","8,880.0","9,308.0","9,504.0","10,048.0","10,168.0","10,780.0","10,916.0","11,164.0","11,188.0","11,180.0","11,588.0","11,608.0","11,792.0","11,896.0","11,672.0","11,552.0","11,676.0","11,656.0","11,380.0","12,084.0","12,464.0","12,764.0","12,968.0","13,172.0","13,248.0","13,536.0","13,508.0","13,564.0","13,640.0","13,932.0","14,468.0","14,564.0","14,992.0","15,180.0","15,372.0","15,760.0","16,092.0","16,332.0","16,760.0","17,456.0","18,020.0","18,412.0","18,888.0","19,208.0","19,888.0","20,540.0","21,184.0","21,268.0","20,876.0","20,532.0","20,004.0","21,064.0","21,680.0","22,072.0","21,224.0","22,604.0","23,372.0","23,968.0","24,196.0","23,964.0","24,124.0","24,268.0","24,600.0"
"68","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","15,902.0","14,420.0","13,972.0","15,895.0","16,575.0","18,117.0","17,291.0","16,196.0","14,251.0","11,772.0","12,520.0","11,861.0","11,561.0","15,243.0","19,421.0","21,845.0","17,733.0","13,697.0","11,942.0","13,632.0","13,630.0","12,303.0","12,690.0","14,668.0","15,845.0","15,134.0","14,801.0","10,123.0","12,179.0","13,357.0","14,245.0","15,767.0","18,323.0","18,668.0","18,795.0","19,899.0","19,081.0","19,866.0","18,615.0","19,847.0","20,086.0","18,575.0","17,814.0","15,638.0","12,092.0","12,352.0","14,928.0","18,626.0","19,918.0","22,210.0","18,669.0","17,832.0","20,502.0","18,116.0","16,595.0","15,606.0","14,959.0","16,363.0","17,709.0","19,423.0","19,872.0","19,374.0","20,213.0","20,870.0","20,112.0","21,708.0","22,433.0","22,984.0","25,445.0","24,813.0","25,496.0","24,634.0","30,279.0","31,414.0","31,653.0","34,013.0","35,385.0","36,116.0","36,149.0","35,681.0","32,239.0","31,734.0","32,590.0","36,215.0","33,944.0","34,722.0","34,508.0","35,799.0","35,270.0","33,251.0","31,294.0","29,931.0"
"69","48","      Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0","-5,220.0","-4,936.0","-8,392.0"
"70","49","    Capital consumption adjustment","A059RC1","-2,360.0","-2,510.0","-2,648.0","-2,776.0","-2,892.0","-2,964.0","-2,993.0","-2,978.0","-2,919.0","-2,864.0","-2,812.0","-2,765.0","-2,721.0","-2,718.0","-2,756.0","-2,834.0","-2,952.0","-3,012.0","-3,012.0","-2,954.0","-2,835.0","-2,694.0","-2,527.0","-2,336.0","-2,121.0","-1,929.0","-1,763.0","-1,619.0","-1,499.0","-1,258.0","-894.0","-409.0","198.0","546.0","637.0","471.0","47.0","-256.0","-438.0","-497.0","-436.0","-443.0","-518.0","-663.0","-878.0","-979.0","-969.0","-845.0","-609.0","-335.0","-27.0","319.0","700.0","972.0","1,136.0","1,192.0","1,139.0","1,370.0","1,886.0","2,685.0","3,768.0","4,618.0","5,238.0","5,628.0","5,784.0","5,949.0","6,120.0","6,298.0","6,484.0","6,667.0","6,848.0","7,025.0","7,200.0","7,359.0","7,504.0","7,633.0","7,746.0","7,831.0","7,887.0","7,916.0","7,914.0","7,875.0","7,796.0","7,679.0","7,523.0","7,447.0","7,454.0","7,543.0","7,714.0","7,749.0","7,652.0","7,421.0"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Includes actual employer contributions and actuarially imputed employer contributions to reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","benefits accrued by defined benefit pension plan participants through service to employers in the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
