"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"57","36","    Capital consumption adjustment","A059RC1","-2,360.0","-2,510.0","-2,648.0","-2,776.0","-2,892.0","-2,964.0","-2,993.0","-2,978.0","-2,919.0","-2,864.0","-2,812.0","-2,765.0","-2,721.0","-2,718.0","-2,756.0","-2,834.0","-2,952.0","-3,012.0","-3,012.0","-2,954.0","-2,835.0","-2,694.0","-2,527.0","-2,336.0","-2,121.0","-1,929.0","-1,763.0","-1,619.0","-1,499.0","-1,258.0","-894.0","-409.0","198.0","546.0","637.0","471.0","47.0","-256.0","-438.0","-497.0","-436.0","-443.0","-518.0","-663.0","-878.0","-979.0","-969.0","-845.0","-609.0","-335.0","-27.0","319.0","700.0","972.0","1,136.0","1,192.0","1,139.0","1,370.0","1,886.0","2,685.0","3,768.0","4,618.0","5,238.0","5,628.0","5,784.0","5,949.0","6,120.0","6,298.0","6,484.0","6,667.0","6,848.0","7,025.0","7,200.0","7,359.0","7,504.0","7,633.0","7,746.0","7,831.0","7,887.0","7,916.0","7,914.0","7,875.0","7,796.0","7,679.0","7,523.0","7,447.0","7,454.0","7,543.0","7,714.0","7,749.0","7,652.0","7,421.0"
"58",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","37","    Profits before tax (without IVA and CCAdj)","A464RC1","30,665.0","28,839.0","28,431.0","30,901.0","32,117.0","33,664.0","32,829.0","31,362.0","28,045.0","24,231.0","25,306.0","24,880.0","29,063.0","35,562.0","43,787.0","48,395.0","47,479.0","39,347.0","35,112.0","37,697.0","35,655.0","33,480.0","33,435.0","37,341.0","39,342.0","39,383.0","38,385.0","28,908.0","31,143.0","32,177.0","34,465.0","37,083.0","42,191.0","42,857.0","43,988.0","45,976.0","44,166.0","45,167.0","42,231.0","44,936.0","45,543.0","43,089.0","41,860.0","37,912.0","31,655.0","32,346.0","37,107.0","43,113.0","46,009.0","50,558.0","43,832.0","42,116.0","47,265.0","42,763.0","40,713.0","38,393.0","37,241.0","40,661.0","43,463.0","47,677.0","46,562.0","45,728.0","47,292.0","47,765.0","47,875.0","51,843.0","53,512.0","54,927.0","57,599.0","57,655.0","59,218.0","58,417.0","65,591.0","67,985.0","69,351.0","73,473.0","75,707.0","76,107.0","75,155.0","73,498.0","70,217.0","70,081.0","70,937.0","75,298.0","77,502.0","79,093.0","79,282.0","81,653.0","80,729.0","77,968.0","74,557.0","72,431.0"
"60","38","    Profits after tax (without IVA and CCAdj)","A466RC1","19,585.0","18,363.0","18,111.0","19,669.0","20,617.0","21,572.0","21,017.0","20,042.0","17,937.0","15,455.0","16,126.0","15,896.0","16,579.0","20,406.0","25,023.0","27,743.0","22,547.0","18,483.0","16,428.0","17,761.0","17,427.0","16,504.0","16,599.0","18,673.0","19,578.0","19,547.0","19,117.0","14,300.0","16,823.0","17,377.0","18,621.0","19,935.0","22,731.0","23,165.0","23,772.0","24,884.0","24,082.0","24,727.0","23,207.0","24,808.0","25,107.0","23,593.0","22,912.0","20,868.0","17,623.0","17,998.0","20,555.0","23,789.0","25,209.0","27,682.0","23,928.0","22,968.0","25,833.0","23,395.0","22,301.0","21,037.0","20,145.0","22,001.0","23,499.0","25,721.0","26,074.0","25,600.0","26,496.0","26,813.0","26,951.0","29,171.0","30,108.0","30,911.0","33,867.0","33,943.0","34,934.0","34,593.0","39,703.0","41,253.0","42,211.0","44,685.0","45,803.0","46,203.0","45,751.0","44,742.0","42,681.0","42,885.0","43,497.0","46,158.0","44,642.0","45,713.0","45,846.0","47,193.0","45,749.0","44,048.0","42,001.0","40,511.0"
"61","39","    Inventory valuation adjustment","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0","-5,220.0","-4,936.0","-8,392.0"
"62","40","    Capital consumption adjustment","B470RC1","-2,177.0","-2,311.0","-2,436.0","-2,553.0","-2,661.0","-2,730.0","-2,762.0","-2,755.0","-2,710.0","-2,661.0","-2,607.0","-2,549.0","-2,486.0","-2,467.0","-2,493.0","-2,562.0","-2,675.0","-2,730.0","-2,726.0","-2,664.0","-2,543.0","-2,400.0","-2,233.0","-2,044.0","-1,832.0","-1,641.0","-1,473.0","-1,326.0","-1,201.0","-960.0","-602.0","-129.0","461.0","801.0","892.0","734.0","326.0","35.0","-141.0","-200.0","-143.0","-150.0","-220.0","-355.0","-554.0","-645.0","-629.0","-504.0","-271.0","-8.0","283.0","604.0","954.0","1,202.0","1,349.0","1,395.0","1,339.0","1,562.0","2,065.0","2,846.0","3,906.0","4,746.0","5,367.0","5,769.0","5,950.0","6,123.0","6,286.0","6,440.0","6,585.0","6,744.0","6,918.0","7,105.0","7,307.0","7,492.0","7,661.0","7,812.0","7,946.0","8,043.0","8,101.0","8,122.0","8,104.0","8,051.0","7,961.0","7,836.0","7,675.0","7,593.0","7,591.0","7,669.0","7,826.0","7,860.0","7,772.0","7,562.0"
"63",NA,"  Value added, in millions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","41","    Gross value added of nonfinancial corporate business \2\","B455RX1","651,625.0","664,470.0","664,776.0","674,980.0","706,556.0","716,643.0","715,026.0","723,816.0","714,798.0","705,878.0","716,412.0","697,980.0","740,107.0","787,238.0","827,784.0","847,315.0","837,771.0","839,317.0","848,772.0","855,307.0","861,957.0","861,375.0","863,328.0","922,779.0","946,329.0","957,648.0","951,472.0","914,037.0","915,320.0","920,373.0","931,108.0","965,319.0","1,009,510.0","1,042,480.0","1,055,160.0","1,071,900.0","1,067,351.0","1,080,945.0","1,073,978.0","1,101,230.0","1,106,480.0","1,099,068.0","1,097,205.0","1,079,016.0","1,028,821.0","1,026,949.0","1,058,251.0","1,101,902.0","1,140,605.0","1,192,567.0","1,172,168.0","1,184,589.0","1,224,211.0","1,213,401.0","1,211,455.0","1,199,303.0","1,190,169.0","1,225,764.0","1,253,552.0","1,294,316.0","1,313,511.0","1,337,315.0","1,356,781.0","1,376,720.0","1,392,754.0","1,422,762.0","1,442,627.0","1,458,217.0","1,492,299.0","1,517,765.0","1,547,923.0","1,559,613.0","1,612,845.0","1,636,697.0","1,667,651.0","1,714,676.0","1,754,156.0","1,774,081.0","1,789,089.0","1,804,910.0","1,807,046.0","1,818,025.0","1,835,106.0","1,866,262.0","1,900,702.0","1,940,344.0","1,970,041.0","1,990,547.0","2,015,571.0","2,027,334.0","2,038,244.0","2,032,345.0"
"65","42","      Consumption of fixed capital \3\","N456RX1","58,357.0","59,479.0","60,647.0","61,863.0","63,133.0","64,292.0","65,336.0","66,262.0","67,067.0","67,841.0","68,587.0","69,302.0","69,989.0","70,705.0","71,450.0","72,224.0","73,025.0","73,799.0","74,545.0","75,261.0","75,947.0","76,730.0","77,614.0","78,601.0","79,694.0","80,770.0","81,829.0","82,869.0","83,892.0","84,918.0","85,948.0","86,982.0","88,019.0","89,111.0","90,256.0","91,454.0","92,705.0","93,964.0","95,231.0","96,506.0","97,788.0","99,141.0","100,570.0","102,080.0","103,677.0","105,021.0","106,105.0","106,924.0","107,472.0","108,024.0","108,581.0","109,143.0","109,711.0","110,426.0","111,289.0","112,302.0","113,468.0","114,630.0","115,786.0","116,936.0","118,082.0","119,323.0","120,661.0","122,098.0","123,637.0","125,179.0","126,725.0","128,273.0","129,823.0","131,532.0","133,400.0","135,432.0","137,630.0","140,011.0","142,581.0","145,340.0","148,294.0","151,225.0","154,132.0","157,013.0","159,866.0","162,672.0","165,427.0","168,132.0","170,785.0","173,558.0","176,452.0","179,470.0","182,613.0","185,641.0","188,552.0","191,344.0"
"66","43","      Net value added \4\","A457RX1","593,268.0","604,991.0","604,129.0","613,117.0","643,423.0","652,351.0","649,690.0","657,554.0","647,731.0","638,037.0","647,825.0","628,678.0","670,118.0","716,533.0","756,334.0","775,091.0","764,746.0","765,518.0","774,227.0","780,046.0","786,010.0","784,645.0","785,714.0","844,178.0","866,635.0","876,878.0","869,643.0","831,168.0","831,428.0","835,455.0","845,160.0","878,337.0","921,491.0","953,369.0","964,904.0","980,446.0","974,646.0","986,981.0","978,747.0","1,004,724.0","1,008,692.0","999,927.0","996,635.0","976,936.0","925,144.0","921,928.0","952,146.0","994,978.0","1,033,133.0","1,084,543.0","1,063,587.0","1,075,446.0","1,114,500.0","1,102,975.0","1,100,166.0","1,087,001.0","1,076,701.0","1,111,134.0","1,137,766.0","1,177,380.0","1,195,429.0","1,217,992.0","1,236,120.0","1,254,622.0","1,269,117.0","1,297,583.0","1,315,902.0","1,329,944.0","1,362,476.0","1,386,233.0","1,414,523.0","1,424,181.0","1,475,215.0","1,496,686.0","1,525,070.0","1,569,336.0","1,605,862.0","1,622,856.0","1,634,957.0","1,647,897.0","1,647,180.0","1,655,353.0","1,669,679.0","1,698,130.0","1,729,917.0","1,766,786.0","1,793,589.0","1,811,077.0","1,832,958.0","1,841,693.0","1,849,692.0","1,841,001.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Estimates for financial corporate business and nonfinancial corporate business for 2000 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","periods are based on the 1987 Standard Industrial Classification (SIC); later estimates for these industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. The current-dollar gross value added is deflated using the gross value added chain-type price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","for nonfinancial industries from the GDP-by-industry accounts. For periods when this price index is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","not available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Chained-dollar consumption of fixed capital of nonfinancial corporate business is calculated as the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Chained-dollar net value added of nonfinancial corporate business is the difference between the gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
