"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"100","78","      Capital consumption adjustment","B1411C1","-64.0","-80.0","-99.0","-106.0","-121.0","-170.0","-248.0","-284.0","-323.0","-363.0","-419.0","-517.0","-593.0","-621.0","-618.0","-603.0","-589.0","-583.0","-583.0","-616.0","-645.0","-675.0","-674.0","-660.0","-657.0","-663.0","-686.0","-666.0","-645.0","-604.0","-578.0","-598.0","-596.0","-588.0","-576.0","-619.0","-689.0","-767.0","-846.0","-927.0","-909.0","-915.0","-1,471.0","-1,518.0","-1,509.0","-1,509.0"
"101","79","    Rental income of persons with CCAdj","W155RC1","5,961.0","6,216.0","6,301.0","7,360.0","8,584.0","8,389.0","8,537.0","8,535.0","8,987.0","9,601.0","10,647.0","13,755.0","19,105.0","23,221.0","25,300.0","28,117.0","32,569.0","30,228.0","28,916.0","27,572.0","26,645.0","30,247.0","34,927.0","42,940.0","49,252.0","53,187.0","58,029.0","61,340.0","63,856.0","64,912.0","64,098.0","63,097.0","68,478.0","66,323.0","67,983.0","70,404.0","75,521.0","78,159.0","87,411.0","108,715.0","109,641.0","126,690.0","149,088.0","160,304.0","159,921.0","167,602.0"
"102","80","      Rental income of persons (without CCAdj)","W488RC1","6,941.0","7,263.0","7,506.0","8,742.0","10,252.0","10,439.0","10,974.0","11,242.0","12,176.0","13,465.0","15,217.0","19,089.0","25,037.0","29,512.0","31,631.0","34,582.0","39,144.0","37,142.0","36,199.0","35,101.0","34,407.0","38,108.0","42,762.0","50,733.0","57,431.0","61,686.0","66,865.0","70,337.0","73,058.0","74,414.0","74,080.0","73,795.0","79,972.0","78,085.0","80,538.0","84,398.0","91,250.0","95,318.0","104,621.0","124,976.0","124,213.0","140,740.0","163,090.0","174,470.0","175,461.0","184,792.0"
"103","81","      Capital consumption adjustment","B050RC1","-980.0","-1,047.0","-1,205.0","-1,382.0","-1,668.0","-2,050.0","-2,437.0","-2,707.0","-3,189.0","-3,864.0","-4,570.0","-5,334.0","-5,932.0","-6,291.0","-6,331.0","-6,465.0","-6,575.0","-6,914.0","-7,283.0","-7,529.0","-7,762.0","-7,861.0","-7,835.0","-7,793.0","-8,179.0","-8,499.0","-8,836.0","-8,997.0","-9,202.0","-9,502.0","-9,982.0","-10,698.0","-11,494.0","-11,762.0","-12,555.0","-13,994.0","-15,729.0","-17,159.0","-17,210.0","-16,261.0","-14,572.0","-14,050.0","-14,002.0","-14,166.0","-15,540.0","-17,190.0"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available separately,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","but is included in line 17, taxes on production and imports less subsidies plus business current transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
