"","Table 1#12# National Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"54","34","    Nonfarm","A045RC1","64,172.0","64,909.0","70,518.0","78,071.0","83,446.0","88,745.0","96,239.0","113,764.0","128,528.0","146,052.0","157,288.0","159,862.0","160,652.0","157,877.0","180,077.0","207,309.0","220,071.0","233,684.0","257,574.0","299,053.0","308,913.0","322,293.0","329,173.0","367,604.0","399,154.0","424,849.0","462,449.0","510,052.0","555,484.0","615,745.0","672,331.0","726,295.0","804,719.0","851,108.0","862,020.0","911,614.0","932,590.0","1,017,710.0","941,067.0","979,483.0","937,534.0","986,695.0","1,068,125.0","1,179,809.0","1,196,341.0","1,268,552.0"
"55","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","64,995.0","65,947.0","71,830.0","78,981.0","85,516.0","92,823.0","98,882.0","116,219.0","130,657.0","148,340.0","159,103.0","161,702.0","157,204.0","154,370.0","167,796.0","185,279.0","189,100.0","197,927.0","228,075.0","270,406.0","280,222.0","303,745.0","313,018.0","349,741.0","381,324.0","411,705.0","449,546.0","490,460.0","525,992.0","579,474.0","627,671.0","674,045.0","730,358.0","763,011.0","768,897.0","816,087.0","870,966.0","947,803.0","865,508.0","838,503.0","796,825.0","842,899.0","885,726.0","1,024,299.0","1,011,878.0","1,071,964.0"
"56","36","      Inventory valuation adjustment","B179RC1","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","433.0","-1,329.0","-4,551.0","-4,007.0","-3,587.0","-6,452.0","-4,590.0","1,368.0","-6,257.0","-9,952.0","-1,812.0","61.0","1,110.0"
"57","37","      Capital consumption adjustment","B047RC1","-359.0","-505.0","-755.0","-189.0","-183.0","-685.0","-1,538.0","-1,395.0","-1,018.0","-401.0","822.0","1,050.0","4,703.0","4,010.0","12,797.0","22,432.0","31,157.0","35,795.0","30,310.0","29,847.0","30,011.0","19,666.0","16,275.0","18,400.0","18,261.0","13,882.0","14,372.0","19,996.0","28,505.0","34,990.0","45,545.0","53,980.0","73,377.0","87,664.0","94,452.0","100,078.0","65,631.0","73,494.0","82,011.0","145,570.0","139,341.0","150,053.0","192,351.0","157,320.0","184,402.0","195,478.0"
"58","38","  Rental income of persons with CCAdj","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","525,324.0","563,392.0","610,834.0"
"59","39","    Rental income of persons (without CCAdj)","B049RC1","21,354.0","21,771.0","23,135.0","24,208.0","24,925.0","25,388.0","24,966.0","23,328.0","19,383.0","20,775.0","21,138.0","25,068.0","31,347.0","32,429.0","33,819.0","34,351.0","36,080.0","28,818.0","27,491.0","32,644.0","32,173.0","39,218.0","49,841.0","72,119.0","101,818.0","125,969.0","138,023.0","155,948.0","161,249.0","179,366.0","193,087.0","198,420.0","219,036.0","229,064.0","250,578.0","269,412.0","254,170.0","224,680.0","206,620.0","278,367.0","348,272.0","416,805.0","499,297.0","539,490.0","578,932.0","628,024.0"
"60","40","    Capital consumption adjustment","B050RC1","-980.0","-1,047.0","-1,205.0","-1,382.0","-1,668.0","-2,050.0","-2,437.0","-2,707.0","-3,189.0","-3,864.0","-4,570.0","-5,334.0","-5,932.0","-6,291.0","-6,331.0","-6,465.0","-6,575.0","-6,914.0","-7,283.0","-7,529.0","-7,762.0","-7,861.0","-7,835.0","-7,793.0","-8,179.0","-8,499.0","-8,836.0","-8,997.0","-9,202.0","-9,502.0","-9,982.0","-10,698.0","-11,494.0","-11,762.0","-12,555.0","-13,994.0","-15,729.0","-17,159.0","-17,210.0","-16,261.0","-14,572.0","-14,050.0","-14,002.0","-14,166.0","-15,540.0","-17,190.0"
"61","41","  Corporate profits with IVA and CCAdj","A051RC1","98,416.0","86,244.0","100,647.0","117,212.0","133,390.0","125,705.0","138,859.0","174,338.0","205,783.0","238,569.0","248,980.0","223,560.0","247,494.0","229,857.0","279,767.0","337,881.0","354,488.0","324,374.0","365,983.0","414,879.0","414,241.0","417,152.0","451,329.0","475,271.0","521,998.0","621,914.0","703,016.0","786,053.0","865,769.0","804,110.0","830,229.0","781,202.0","754,043.0","907,169.0","1,056,364.0","1,283,344.0","1,477,728.0","1,646,506.0","1,528,991.0","1,285,063.0","1,396,972.0","1,746,421.0","1,816,629.0","1,998,165.0","2,037,389.0","2,072,944.0"
"62","42","    Corporate profits with IVA","A052RC1","90,782.0","79,711.0","94,687.0","109,275.0","126,562.0","123,306.0","144,229.0","182,101.0","212,795.0","246,701.0","261,004.0","240,625.0","251,999.0","224,822.0","256,442.0","294,261.0","289,670.0","273,255.0","314,552.0","366,182.0","373,056.0","391,159.0","434,244.0","459,740.0","501,923.0","589,268.0","666,967.0","741,811.0","810,977.0","743,820.0","762,193.0","730,277.0","698,683.0","795,077.0","959,883.0","1,215,156.0","1,621,191.0","1,815,748.0","1,708,893.0","1,345,487.0","1,479,212.0","1,799,683.0","1,738,518.0","2,116,623.0","2,164,860.0","2,204,850.0"
"63","43","      Profits before tax (without IVA and CCAdj)","A053RC1","96,652.0","86,263.0","99,271.0","115,885.0","146,131.0","161,527.0","154,773.0","196,214.0","228,493.0","270,410.0","301,142.0","282,758.0","276,625.0","232,327.0","263,887.0","298,240.0","289,649.0","266,194.0","330,791.0","388,356.0","389,404.0","404,051.0","429,317.0","462,561.0","505,944.0","601,704.0","685,251.0","738,740.0","796,887.0","728,077.0","766,147.0","747,086.0","690,639.0","788,941.0","969,441.0","1,254,609.0","1,653,323.0","1,851,423.0","1,748,416.0","1,382,445.0","1,472,552.0","1,840,690.0","1,806,807.0","2,130,814.0","2,161,627.0","2,207,785.0"
"64","44","        Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","379,095.0","447,623.0","468,890.0","513,858.0"
"65","45","        Profits after tax (without IVA and CCAdj)","A055RC1","56,675.0","51,506.0","61,106.0","73,544.0","96,158.0","108,742.0","103,127.0","130,926.0","154,052.0","185,552.0","211,126.0","195,568.0","192,286.0","165,828.0","183,239.0","200,709.0","190,243.0","156,519.0","200,350.0","246,726.0","243,336.0","258,627.0","290,726.0","313,873.0","334,910.0","408,563.0","467,413.0","507,271.0","551,466.0","479,711.0","507,363.0","481,994.0","487,343.0","596,605.0","725,674.0","948,516.0","1,240,939.0","1,378,063.0","1,302,886.0","1,073,345.0","1,203,108.0","1,470,119.0","1,427,712.0","1,683,191.0","1,692,737.0","1,693,927.0"
"66","46","          Net dividends","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,716.0","83,464.0","90,807.0","97,546.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,513.0","189,516.0","205,320.0","235,973.0","258,950.0","303,528.0","339,452.0","357,072.0","347,896.0","384,684.0","370,577.0","400,180.0","433,972.0","564,089.0","580,527.0","726,006.0","818,909.0","808,614.0","574,630.0","563,951.0","703,674.0","859,379.0","924,032.0","860,048.0"
"67","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","32,436.0","27,199.0","36,079.0","46,708.0","66,251.0","75,523.0","70,167.0","91,912.0","109,283.0","134,759.0","153,606.0","131,498.0","118,530.0","88,112.0","99,775.0","109,902.0","92,697.0","50,339.0","88,038.0","116,807.0","85,362.0","89,565.0","110,213.0","124,357.0","129,590.0","172,590.0","208,463.0","203,743.0","212,014.0","122,639.0","159,467.0","97,310.0","116,766.0","196,425.0","291,702.0","384,427.0","660,412.0","652,057.0","483,977.0","264,731.0","628,478.0","906,168.0","724,038.0","823,811.0","768,705.0","833,879.0"
"68","48","      Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","6,136.0","-9,558.0","-39,453.0","-32,132.0","-35,675.0","-39,523.0","-36,958.0","6,660.0","-41,007.0","-68,289.0","-14,191.0","3,233.0","-2,935.0"
"69","49","    Capital consumption adjustment","A059RC1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-118,458.0","-127,471.0","-131,906.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Includes actual employer contributions and actuarially imputed employer contributions to reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","benefits accrued by defined benefit pension plan participants through service to employers in the current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
