"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233"
"25","17","  To the rest of the world (net)","B088RC",2.7,2.4,2,1.9,1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.2,1.8,2.4,2.6,1.7,2.1,2.1,1.9,1.9,1.7,1.5,2,2.1,2.6,2,1.9,1.8,1.8,2,1.9,2,1.7,2.1,1.7,1.8,1.7,1.8,1.9,1.9,1.9,1.6,1.7,2,1.6,1.8,1.9,2,2.1,2.1,2,2.2,2.3,1.9,2,2.2,1.8,2,2.1,2.2,2,2.2,2.1,2.1,1.8,2.3,2,2,2.6,2.1,2,1.9,2.1,2.1,2.4,1.8,1.6,1.9,2,2.1,1.5,2.2,1.6,1.7,1.8,1.8,2,2.1,2,2.2,2.5,2.5,2.6,2.5,2.5,2.2,1.9,2.9,2.4,2.3,2.6,3.7,2.9,3.2,3.6,3.7,2.7,3.5,2.6,3,6.1,2.5,3,3.7,3.7,2.7,3.5,3.7,3.5,3.6,3.7,4,3.8,3.9,5.4,3.2,3.7,6.7,4,4.1,5.3,5.6,6.4,5.2,5.2,7.8,4.8,5.7,6.9,10.7,6.4,6.7,9.5,13.8,9.3,10.2,11.9,12.8,8.7,13.4,13.9,12.3,8.6,9,9,14.2,9.2,7.4,9.4,15.3,8.9,7.7,10.9,13.9,10.1,14.3,12,3.5,-78.1,-33,-7,2.1,11.7,14.8,12.4,25.8,11.6,14.3,15,26,10.2,11.8,14.6,24.7,10.5,9.3,9.5,10,16.8,8.6,9,19.9,7.2,7.8,8,19.6,8.1,7.1,9.4,19.2,8.3,9.9,8.6,18.7,8.6,9.5,11.6,24.5,6.4,7.7,8.9,15.3,22.8,10.6,9.7,14.5,20.1,17.6
"26","18","Grants-in-aid to State and local governments","B089RC",0.9,0.8,1.1,1.3,1.4,1.7,1.6,1.6,1.6,1.7,1.8,1.9,1.7,1.7,2.1,1.9,1.9,1.9,1.9,1.9,2,2.1,1.9,2.1,2,2.1,2.3,2.3,1.8,2.7,2.3,2.3,2.4,2.3,2.4,2.3,2.3,2.4,2.5,2.4,2.4,2.5,2.6,2.7,2.9,2.8,2.9,3.1,2.9,3.3,3.2,4,3.5,3.9,3.8,3.8,3.9,4,4,4.2,4.2,4.5,4.6,4.7,4.9,4.9,5.2,5.2,5.3,5.5,5.8,6.1,6.5,6.5,6.2,6.6,6.5,7.1,7.5,7.6,9,10.1,10.5,10.7,11.1,11.6,11.6,12.7,11.8,13.3,12.6,13.2,13.1,14,15.1,16.1,17.5,18.8,20.1,20.8,21.6,23.2,23.5,24.7,25.7,33.9,26.8,40.4,35.6,34.7,33.9,34.9,34.6,35.4,36.8,38.2,40.7,45.8,46.5,47.5,48.7,49.5,50.4,54.4,52.5,55.5,59.1,59.2,63.5,66.1,65.5,67.1,64.4,65,67.6,68.4,69.3,70.8,73.4,75.8,74.4,74.5,71.9,69.2,68.8,70.4,69,69.8,70.6,72.7,71.8,71.2,75.4,77.4,75.1,78.8,79.1,80,81.2,83.1,84.8,89,91.8,84.9,82.1,85.8,83.9,83.8,89.5,90,93.1,93.8,94.9,95.6,101.4,101.4,106.5,110.3,112.6,116.3,122.8,128.1,134.9,140.6,143.2,146.2,152.4,154.6,155.5,157.8,163.4,173.7,171.3,171.2,175.1,180.4,185.1,186.3,185.2,181.3,185.5,194,193,189.2,191.1,193.8,196.7,205.6,205.2,206.4,209.9,219.6,224.9,222.2,234.9,242,239.4,242.2,253.8,254.6,266.8,281.9,271.4,289.4,292.3,309.6,305,315.8,313,351.4
"27","19","Net interest paid \3\","A090RC",3.9,4,4.1,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.6,4.7,4.7,4.7,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.7,4.8,5,5,5.2,5.3,5.7,5.5,5.7,5.8,6,5.4,5.2,5.5,5.6,5.9,6.2,6.6,7,7.4,7.3,6.9,6.7,6.5,6.5,6.6,6.6,6.8,6.9,7.3,7.4,7.5,7.6,7.8,8,8.2,8.3,8.4,8.8,8.6,8.8,8.8,9.3,9.2,9.6,9.9,10.3,10.5,10.2,10.4,10.9,11.3,12,12.3,12.7,13,13.4,13.7,14.5,14.9,15.1,15.7,15.6,15.5,15,15.4,15.5,15.7,15.9,16,16.6,18.1,19.4,20.7,21.5,21.7,22.4,23.5,23.9,24.2,24.8,25.9,27.6,28.6,29.4,30.1,31.6,31.2,31.8,32.4,34.5,36.1,37.2,39.3,41.5,44.2,46.2,47.4,50.2,55.4,59.1,58.3,61.4,73.4,75.9,80.8,86.1,89.1,92.6,96.8,97.1,97.9,101.5,107.2,111.7,117.8,121.7,132.2,138.1,140.8,144.7,144.1,147.8,149.6,151.2,149.2,152.1,153.9,155.9,160.4,168.9,165,170.7,174.9,177.7,187.7,193.5,193.4,199.5,204.7,210,217.6,209.9,220,225.4,224.8,230.8,229.2,230.5,230.1,226.8,228.7,230.3,231,230.8,229.3,236.2,242.7,250.2,259.2,266.4,271.1,273.3,273.9,271.5,273.7,275.1,273.8,274.8,277.5,278.5,280.8,280,279.7,273.3,265.3,264.2,262.1,263.7,264.2,264.1,263,260.5,254.1,243.1,233.6,221.6,208.5,214.9,205.8,202.1,192.7,195
"28","20","  Interest paid","A091RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,8.5,8.2,8.1,7.9,7.8,7.9,8,8.2,8.6,8.8,9,9,9.2,9.4,9.6,9.8,9.9,10.1,10.2,10.3,10.5,10.6,10.8,11,11.5,11.8,12.3,12.5,12.4,12.6,13.1,13.8,14.5,14.9,15.1,15.1,15.6,15.9,16.7,17.3,17.5,18.2,18,17.9,17.6,18,18.2,18.3,18.6,18.8,19.4,21,22.4,23.5,24.3,24.8,25.6,26.7,26.9,27.3,28.1,29.3,31,32.4,33.2,34.1,35.4,35.6,36.4,37.2,39.2,41.9,43.8,46.4,49.2,52.3,54.4,56.4,59.7,65.3,69.7,70,73.9,87,90.1,96,102.4,106.5,110.2,114.9,115.5,117,121,127.5,132.8,139.6,145,155.2,161.5,164.3,169,170.1,174.2,177.2,178.5,178.4,178.5,179.7,181.5,185.2,191.8,195.9,196.2,200.1,205,213.5,219.1,220.9,223.9,229.2,233.6,241.5,245.5,248.2,251,250.7,253.9,251.7,252.6,251.8,248.9,249.4,251.6,252.6,251.6,250,257.3,264.2,273.1,282.6,289.6,292.5,293.9,295.2,293.6,297.2,298.8,297.3,298.5,299.6,299,299.8,298.9,297.6,291.1,282.7,281.6,279.3,281.5,283.5,284.1,281.9,279.4,273.6,262.3,253.3,242.1,228.3,234.6,226.8,225.9,217.5,220.1
"29","21","    To persons and business \3\","B092RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.2,7.9,7.8,7.6,7.6,7.6,7.7,7.9,8.2,8.5,8.6,8.7,8.8,9,9.2,9.4,9.5,9.7,9.7,9.9,10.1,10.1,10.3,10.5,10.9,11.2,11.7,12,11.8,12,12.5,13.1,13.8,14.3,14.4,14.3,14.8,15.1,15.9,16.4,16.6,17,16.9,16.5,16,15.9,15.9,15.8,16,16.1,16.5,17.6,18.5,19.5,20.3,20.8,21.4,22.4,22.4,22.4,23.7,24.8,26.6,28,28.8,29.5,30.7,30.8,31.3,31.6,32.6,34.1,35.4,37.8,39.3,41.2,43.4,45.3,48.4,52.9,57.8,57.8,59.5,70.8,72.7,78.3,84.6,87.7,91.9,94.9,95.4,98.2,102.3,108.5,113.4,119.8,124.7,133.5,138.6,141.3,146.1,146.8,150.9,152.7,154.2,153.7,153.5,153.9,155.5,159.1,164.9,167,165.3,167.2,170.9,176.6,181,181.8,184.6,189.2,193.1,200.6,203.9,206.4,210.1,209.7,214.1,212.6,213.3,212.6,210.2,210.6,212.9,212.7,211.5,209.3,215,219.7,224,229.4,233.2,233.1,233.4,234.6,230.3,226.6,222.8,216,210.4,208.2,207.6,209.1,207.1,206.4,200.3,209,208.7,204.4,204.9,203.9,201.8,198,193.3,188.2,180,174.3,166.2,154.2,159.9,154,155.3,149.7,154
"30","22","    To the rest of the world","B093RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,1,1.1,1.2,1.3,1.6,2.1,2.4,2.5,2.6,2.7,2.9,3.5,3.9,4,4,4,4.2,4.3,4.5,4.9,4.4,4.5,4.4,4.4,4.4,4.6,4.7,4.8,5.1,5.6,6.6,7.8,8.4,8.6,9.8,11.1,11,11.1,11.3,12.3,11.9,12.1,14.4,16.2,17.4,17.7,17.9,18.8,18.3,19.9,20.1,18.9,18.7,19,19.4,19.8,20.3,21.6,22.9,23,22.9,23.3,23.3,24.5,24.2,24.8,25,25.8,26,26.1,26.9,28.9,30.9,32.9,34.1,36.9,38.1,39.1,39.3,40.1,40.5,40.9,41.6,41.8,40.9,41.1,39.7,39.2,39.3,39.1,38.8,38.8,38.7,39.8,40.1,40.7,42.3,44.6,49.1,53.2,56.4,59.4,60.4,60.6,63.3,70.6,76.1,81.2,88.1,91.4,91.4,90.7,91.8,91.1,90.8,73.8,72.9,75,76.5,79.6,82.2,83.9,86.2,85.4,82.4,79,75.9,74,74.7,72.8,70.7,67.9,66.1
"31","23","  Less: Interest received by government \3\","B094RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,1.4,1.3,1.3,1.4,1.3,1.4,1.5,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.4,1.7,1.7,1.7,1.5,1.8,1.8,1.9,2,2,2.2,2.2,2.2,2.5,2.5,2.7,2.4,2.1,2.2,2.2,2.2,2.4,2.5,2.4,2.4,2.4,2.6,2.6,2.7,2.6,2.6,2.8,2.8,2.9,3,2.8,2.9,3,3.1,3.1,3.1,3.1,3.3,3.4,3.4,3.7,3.8,4.1,3.8,4.4,4.6,4.9,4.8,5.8,6.6,7.1,7.7,8.1,8.2,9,9.5,9.9,10.6,11.7,12.5,13.6,14.3,15.2,16.3,17.4,17.7,18,18.4,19.1,19.4,20.3,21.2,21.7,23.2,23,23.4,23.6,24.3,25.9,26.4,27.6,27.3,29.2,26.5,25.9,25.7,24.8,22.9,30.9,25.5,25.3,27.3,25.8,25.6,27.4,24.4,24.6,23.7,23.8,35.6,28.2,25.6,25.9,23.1,22.6,22.1,21.6,22.2,20.7,21.3,21.6,20.8,20.8,21.1,21.6,23,23.4,23.2,21.4,20.5,21.3,22.1,23.5,23.8,23.5,23.8,22.1,20.4,19.1,18.9,17.8,17.7,17.4,17.4,17.2,17.7,19.3,20,18.9,18.9,19.5,19.2,19.7,20.5,19.8,19.7,21,23.9,24.9,25.1
"32","24","Subsidies less current surplus of government enterprises","A095RC",2.5,2,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.4,0.7,1,0.7,0.5,0.7,0.7,0.9,1,0.9,1.3,1.3,1.3,1.1,1.2,1,0.9,0.9,0.8,0.9,0.6,0.8,0.4,0.3,0.9,0.6,0.4,0.6,0.8,0.5,0.7,0.8,1,1.4,1.7,1.7,1.6,1.5,1.4,1.5,1.7,1.9,2,1.3,1.1,1.3,1.2,1.2,1.5,1.4,1.7,2.1,2.6,2.7,2.6,2.7,2.9,2.7,2.8,2.3,2.5,2.6,2.6,2.9,3.1,3.2,2.8,3.2,3.2,3.3,3.6,4,4.5,4.8,4.9,4.6,4.4,4.2,4.5,4.4,4.5,4.5,4.6,4.8,4.9,5.1,5,5.7,6.4,6.2,6.6,6.6,6,6.1,6.3,7,7.4,8.4,7.9,7.2,7.2,6.6,7,4.9,4.3,5,5.6,7.2,7.5,8.3,8.8,6.9,6.8,7.1,7.5,8.1,8.3,9.3,13.4,11.5,10.5,9.4,11.3,9.6,10.3,10.3,11.1,11.6,12.5,13.6,13.9,13.7,12,13.9,13.6,14.1,14.9,15.4,19.9,20.9,24.1,24.9,24.7,27.4,23.4,22.4,22.7,22.5,22.3,23.5,24.8,25.2,26.1,26.5,26.6,30.2,32.9,33.7,34.8,35.5,30.9,31.3,30,29.4,28.7,28.4,28.6,30.5,31.6,31.8,32.3,29.9,27.5,27.7,27.5,27.5,28.4,29.7,32.8,39.1,37.8,38.5,37.4,34.9,33.8,32.4,33.3,31.1,31.9,32.9,33.6,35.4,35.4,34.7,34.8,33.7,31.7,30.4,30.3,30.3,31.6,34,37.9,39.6,42.8,44.6,44.9,44.2,43.5,43.6,44,44.6,45.6,65.5,45.5,46.6,46.3,39.9,42.1,43.5,58.9
"33","25","  Subsidies","B096RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.5,3.9,4,4.2,4,3.8,3.7,3.7,4,4.2,4.2,4.2,4.3,4.4,4.6,4.6,4.7,4.7,4.7,4.9,4.6,4.7,4.5,4.8,5.5,6.2,7.3,7.3,5.8,5.4,4.6,4.8,3,3.1,3.3,3.4,4.1,4.1,4.4,4.7,4.9,4.6,4.8,5.2,5.5,5.6,6.1,10.2,8.5,8,7.9,9.7,7.8,8.2,7.8,8.2,8.4,9.1,9.8,10,10,10.3,10.6,12.1,12.6,13,12,17.2,18.2,21.3,21.4,22.1,24.5,20.3,18.7,18.9,19.3,20.4,21.5,22.6,23.2,24.4,24.9,25.8,29.2,31.5,31.6,31.8,31,29.8,29.6,28.1,27.4,26.9,26.5,26.5,26.5,26.3,26.4,26.4,26.5,26.7,27,27.4,27.7,28.7,30,31.6,35.4,36.7,37,36.3,34.1,32.5,31.4,31.1,32.4,32.8,33.1,33.4,33.6,33.6,33.4,33,33.3,32.9,32.4,31.8,32.6,33.8,35.6,38,40.8,43.5,45,45.2,44.3,44.1,43.6,42.8,42.3,42.1,62.3,43.1,44.9,45.5,45,46.3,49.4,63.8
"34","26","  Less: Current surplus of government enterprises","B097RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.4,-0.4,-0.5,-0.6,-0.5,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.6,-0.2,-0.3,-0.2,-0.4,-0.5,-0.5,-0.6,-0.8,-0.7,-0.7,-0.6,-0.5,-0.8,-0.4,-0.3,-0.3,-0.4,-0.5,-0.5,-0.4,-0.3,-1,-1.8,-1.6,-1.7,-2,-1.3,-1.6,-1.5,-1.5,-1.2,-1.1,-0.6,-1.4,-1.8,-1.9,-2.2,-2,-1.2,-1.8,-2.3,-3.1,-3.4,-3.9,-4.1,-2,-2.2,-2.3,-2.3,-2.6,-2.7,-3.2,-3.2,-3.1,-2.5,-1.5,-1.5,-1.8,-2.1,-2.6,-2.9,-3.2,-3.4,-3.8,-3.9,-3.7,-1.7,-3.3,-1.4,-1.5,-2,-3.3,-2.8,-2.8,-2.8,-3.5,-2.6,-3,-3.1,-3.7,-3.8,-3.2,-2,-2.1,-2.2,-2,-1.7,-1.5,-0.8,-1,-1.4,-2.1,-3.1,-4.4,-1.2,-1.7,-1.8,-1.9,-1.8,-1.8,-2,-4,-5.2,-5.5,-6,-3.4,-0.9,-0.8,0,0.2,0.3,0.3,-1.2,-3.6,-1.1,-1.6,-1.1,-0.8,-1.3,-1,-2.2,1.3,0.9,0.2,-0.1,-1.8,-1.9,-1.3,-1.8,-0.4,1.2,2,1.6,2.3,2.2,1.6,0.1,1.2,0.7,0.4,0.3,0.1,0.6,0,-1.2,-2.3,-3.6,-3.1,-2.4,-1.7,-0.7,5,4.2,6,4.9
"35","27","Less: Wage accruals less disbursements","B098RC",0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.6,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-2.1,-0.4,0,0,0,0,0.1,0,-0.1,0,2.1,0.1,-0.1,0,0,0,-0.6,-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,-0.2,0,0,0,0,0,0,0,0,0,0.3,0,-0.1,0,0,0,0,-1.3,-0.4,0,0.2,0.2,0,0.6,0.1,-1,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-1.4
"36","28","    Current surplus or deficit (-), national income and product accounts","A923RC",-14,-6.6,-0.9,0.9,5.9,5.2,1.9,7.9,7.7,5,1.3,0.1,-3.5,-6.6,-6.5,-6.2,-8.4,2.7,13.5,14.1,17.2,10,5.3,5.9,6.9,3.4,1.1,3.5,4.3,2.6,3.4,-3.2,-3.4,-2,-1.4,0,3.5,6.7,4.8,7.7,8.5,6.6,7.7,7.2,6,4.3,4.3,-1.6,-3.3,-8.4,-6.5,-3.6,3.7,4.9,2.5,1.8,11.6,8.1,6.5,2.1,2.4,0.6,2.4,4.5,2.3,2,3,2.2,4,6.2,5.7,5,1.9,-2.7,1.1,3.1,7.4,6.6,-0.6,-0.7,5.3,4.3,1.6,-0.3,-8.8,-9.3,-7.5,-7.7,-4.8,-6.5,2.4,3.7,14.9,12.3,6.7,4.5,-1.8,-14.7,-18.5,-22.4,-21.6,-28.4,-28.6,-28.6,-19.2,-26,-14.4,-30.4,-14.6,-13.9,-9.5,-6.9,-9.1,-9.3,-11.1,-25.9,-47,-102.3,-63.7,-64.2,-53.8,-49.3,-53,-56.1,-46.3,-40.4,-46.2,-47.7,-47.2,-26,-19.8,-14.7,-6.5,-6.2,-12.1,-20.8,-30.4,-54.7,-69,-60.8,-39.4,-44.3,-51.8,-79.2,-101,-107.4,-144.7,-177.2,-173.9,-170.9,-185.8,-164.9,-157.1,-163.6,-170,-181.5,-147.8,-199.5,-177,-184.3,-182.3,-204.1,-208.2,-174,-182.5,-128.8,-136.7,-143.6,-147.4,-134.4,-130.7,-136.9,-108.9,-127.4,-140.5,-143.3,-172,-171,-164.8,-184.1,-160.1,-213.5,-234.6,-253.2,-288.3,-291.8,-316.5,-293.5,-300.8,-267.2,-275.5,-253.1,-237.5,-190.5,-212,-209.4,-208.3,-188.9,-197.6,-173.2,-176.5,-137,-130.1,-103.7,-86.5,-68,-33.7,-25,19.6,33,65.7,57,88.7,112.9,117.4,128.8,223.2,197.2,213.2,193.8,173.8,144.4,-51.7,21.3,-145.8,-195.6,-210.5,-256.6,-275.3,-383.4
"37","29","Social insurance funds","B243RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,-3.6,-3.5,-2.4,-0.6,-0.3,-0.7,-1.2,1.5,1,0.4,-0.6,-1.9,-2.5,-2.5,-1.6,-0.4,-0.1,-0.3,-0.6,0.1,1.4,1.4,1.4,0.8,1.6,1.8,2,1.1,2.2,-0.9,0.8,6.7,7,6.7,5,4.3,4.9,5,5.4,5.4,3.6,3.3,3.1,5.5,5.9,6.6,6.9,7.2,-0.7,1.1,-1.1,2,-4.4,-3.3,-3.5,0.9,1.6,2.5,-4.6,7.2,6.9,7,6.7,9.8,5,2.6,-1.4,-8.3,-14.2,-20.3,-18.6,-13.8,-11.2,-16,-16.6,-13.2,-10.9,-13.5,-12.9,-4.1,0,-4.7,-3.1,6.1,6.2,-2.4,-2.6,-0.6,-5.9,-26,-22.7,-5.9,-4.9,-18.5,-20.2,-17.8,-24.2,-37.4,-50.5,-40.3,-42.5,-31.5,-27.4,-9.7,-5.8,-1.9,-4.2,-0.2,2,2.1,6.4,7.9,7.3,5.9,9.9,12.4,12.8,17.4,22.8,31.7,39.4,44,49.7,46.7,46.1,44.3,45,43,46.8,48.6,41.1,31.3,26.4,28.3,23.7,11,8,9.2,8.3,4.2,7,6.1,10.3,16.3,22.3,24.8,27.6,21,19,19.6,20.1,11.2,15,19.1,21.6,21.3,25.8,32.1,42.7,45.2,53.4,60.7,72.6,85.5,91,98.8,108.4,122.4,111,120.2,119.4,108.6,99.6,88.5,76.4,64.1,49.7,48.1,46,51.5,40.5
"38","30","Other","B244RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-4.9,-3.1,-1.2,4.3,5.2,3.2,2.9,10,7.1,6.1,2.6,4.3,3.2,4.8,6.1,2.6,2.1,3.3,2.8,3.9,4.8,4.3,3.6,1.1,-4.3,-0.6,1.1,6.3,4.5,0.4,-1.6,-1.4,-2.7,-5,-5.3,-13.1,-14.2,-12.4,-13.1,-10.2,-10,-0.9,0.6,9.5,6.5,0.1,-2.4,-8.9,-14,-19.6,-21.3,-23.6,-24,-25.2,-25.1,-20.1,-27.6,-16.9,-25.8,-21.7,-20.8,-16.4,-13.6,-18.9,-14.2,-13.7,-24.5,-38.7,-88.1,-43.3,-45.6,-40,-38.1,-36.9,-39.5,-33.1,-29.5,-32.7,-34.8,-43.1,-26,-15.2,-11.5,-12.6,-12.4,-9.7,-18.1,-29.9,-48.9,-43.1,-38.1,-33.5,-39.4,-33.3,-59,-83.2,-83.2,-107.3,-126.6,-133.6,-128.4,-154.3,-137.5,-147.4,-157.8,-168.1,-177.4,-147.5,-201.4,-179.1,-190.8,-190.2,-211.4,-214,-183.8,-194.8,-141.6,-154.1,-166.4,-179.2,-173.8,-174.7,-186.6,-155.6,-173.5,-184.9,-188.3,-215,-217.8,-213.4,-225.2,-191.3,-239.9,-262.9,-276.9,-299.3,-299.9,-325.8,-301.8,-305,-274.2,-281.6,-263.4,-253.8,-212.8,-236.8,-237,-229.3,-207.9,-217.2,-193.3,-187.6,-151.9,-149.2,-125.3,-107.7,-93.8,-65.8,-67.8,-25.6,-20.4,5,-15.6,3.2,21.9,18.6,20.4,100.8,86.2,93,74.4,65.3,44.9,-140.2,-55.1,-209.9,-245.3,-258.6,-302.6,-326.8,-423.8
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
