"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"41","26","    Chain-type quantity index","B007RA",14.97,14.56,15.05,16.37,16.92,16.91,16.73,16.54,15.59,15.09,15.05,15.59,16.58,18.12,19.47,19.07,18.36,17.51,17.23,17.06,17.26,17.51,16.42,17.68,18.39,18.48,18.5,18.3,18.02,18.31,19.05,19.47,20.26,21.13,21.6,21.62,21.15,21.33,21.3,21.16,21.16,20.96,21.16,20.76,19.47,18.9,19.16,20.35,21.62,22.31,22.59,22.28,23.05,22.59,21.99,21.93,21.63,21.94,22.48,23.22,23.71,24.43,24.64,24.53,24.8,25.94,26.62,27.46,28.52,28.44,28.89,29.08,30.42,31.27,32.12,32.85,34.09,33.62,33.6,32.57,31.8,32.64,32.95,33.97,34.79,34.6,35.11,35.99,37.09,37.27,37.9,36.94,36.79,35.99,36.61,36.66,37.49,39.02,39.74,40.8,42.64,43.39,43.88,45.93,47.88,48.27,48.12,47.62,46.51,45.83,45.03,42.46,39.88,39.31,40.28,41.05,42.74,43.47,43.92,46.18,47.86,50.55,51.15,52.09,52.46,56.12,57.58,58.73,59.26,58.88,59.97,59.38,58.69,53.41,53.99,56.25,56.66,56.9,56.89,56.71,55.06,53.05,51.47,51.66,52.69,54.94,58.08,61.33,63.31,66.02,67.32,68.49,69.16,69.83,69.39,70.7,70.8,70.71,70.24,70.65,69.04,70.35,71.58,71.38,71.86,73.12,73.49,74.15,74.67,74.77,76.14,74.98,76.09,74.24,73.61,71.14,68.7,68.4,68.62,68.89,69.88,72.68,73.75,76.09,76.68,77.86,79.06,82.51,83.69,85.75,86.66,88.89,90.86,90.29,91.29,93.4,96.08,99.26,101.56,103.1,105.17,108.11,111.88,113.08,118.04,121.34,122.48,126.31,128.68,130.91,132.81,133.77,138.01,140.26,140.32,139.47,138.71,134.7,133.23,130.16,129.99,129.68,129.6,130.99,130.94,133.13
"42","27","    Chain-type price index","B007RG",18.32,19.05,19.54,19.95,20.15,20.6,21.23,21.47,21.44,21.41,21.17,21.09,21.08,21.43,22.04,22.44,23.21,23.56,23.74,23.98,24.1,24.2,24.25,24.2,24.21,24.35,24.54,24.49,24.5,24.6,24.59,24.61,24.61,24.78,25.08,25.42,25.95,26.23,26.68,26.88,27.13,27.26,27.45,27.58,27.34,27.46,27.5,27.55,27.58,27.7,27.78,27.82,27.86,27.91,27.89,27.81,27.79,27.81,27.76,27.76,27.8,27.83,27.81,27.78,27.8,27.75,27.65,27.72,27.62,27.87,27.9,28.21,28.24,28.29,28.34,28.68,28.52,29.03,29.03,29.39,29.52,29.66,29.85,30.22,30.53,30.83,31.01,31.72,32.06,32.4,32.67,33.1,33.35,34.1,34,34.4,35,35.52,35.95,36.28,36.74,36.97,37.34,37.88,38.25,38.93,39.76,40.26,41.01,42.2,43.87,45.65,47.28,48.4,48.97,49.71,50.2,51.08,51.8,52.61,53.76,54.79,56.03,57.24,58.34,59.58,60.76,62,63.29,64.93,66.51,67.86,69.45,71.07,72.61,74.2,76.21,77.93,79.25,80.82,81.85,82.88,83.38,83.51,83.06,82.75,82.65,82.77,82.88,83.28,83.54,83.77,84.05,84.16,84.54,85.05,85.45,86.13,86.95,87.52,87.75,87.9,88.06,88.79,89.59,90.18,90.61,91.52,92,92.58,92.97,93.48,94.02,94.32,94.93,95.52,96.24,96.23,96.2,95.89,95.81,95.92,96.12,96.42,97,97.37,97.64,97.82,98.35,98.74,99.16,99.41,99.84,100.2,100.27,100.25,100.04,99.84,100.08,100.05,100,99.91,99.93,99.86,99.34,99.05,98.9,98.83,98.9,98.9,98.79,98.9,99.46,99.78,100.21,100.54,100.97,101.27,101.22,101.19,100.82,100.76,100.52,100.95,101.44,101.09
"43","28","    Implicit price deflator","A007RD",18.3,19.03,19.53,19.94,20.15,20.6,21.24,21.48,21.45,21.41,21.16,21.08,21.05,21.4,22.01,22.41,23.2,23.56,23.76,23.99,24.11,24.2,24.25,24.2,24.21,24.35,24.54,24.49,24.5,24.6,24.59,24.61,24.6,24.77,25.07,25.41,25.95,26.23,26.68,26.88,27.13,27.26,27.45,27.58,27.34,27.46,27.5,27.55,27.58,27.69,27.78,27.81,27.86,27.91,27.89,27.81,27.79,27.81,27.76,27.76,27.8,27.83,27.81,27.77,27.8,27.76,27.65,27.72,27.63,27.87,27.9,28.21,28.23,28.28,28.33,28.68,28.52,29.03,29.03,29.39,29.52,29.66,29.84,30.21,30.52,30.82,31.01,31.71,32.06,32.4,32.67,33.1,33.35,34.1,34,34.4,34.99,35.51,35.93,36.26,36.73,36.96,37.33,37.88,38.24,38.93,39.76,40.28,41.05,42.26,43.93,45.71,47.3,48.4,48.95,49.67,50.17,51.05,51.77,52.58,53.73,54.76,55.99,57.19,58.28,59.52,60.7,61.95,63.27,64.92,66.51,67.87,69.46,71.09,72.64,74.23,76.21,77.93,79.25,80.82,81.87,82.9,83.39,83.53,83.07,82.76,82.65,82.77,82.88,83.27,83.53,83.75,84.04,84.15,84.54,85.05,85.45,86.13,86.95,87.52,87.75,87.9,88.05,88.78,89.58,90.17,90.61,91.52,92,92.57,92.97,93.48,94.03,94.34,94.95,95.54,96.24,96.23,96.2,95.89,95.81,95.91,96.11,96.4,96.99,97.36,97.64,97.82,98.34,98.73,99.15,99.41,99.84,100.2,100.27,100.24,100.03,99.84,100.08,100.05,100.01,99.92,99.93,99.86,99.34,99.05,98.91,98.83,98.9,98.9,98.79,98.9,99.46,99.77,100.21,100.53,100.97,101.27,101.23,101.19,100.82,100.76,100.52,100.96,101.44,101.09
"44",NA,"    Nonresidential:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","29","      Current dollars","A008RT",2.54,2.57,2.59,2.72,2.91,2.89,3,3.12,2.95,2.83,2.68,2.62,2.69,2.96,3.29,3.4,3.43,3.54,3.61,3.58,3.61,3.66,3.31,3.62,3.82,3.87,3.99,3.94,3.84,3.81,3.89,3.88,3.94,4.21,4.5,4.72,4.76,4.88,5.05,5.11,5.22,5.24,5.38,5.28,4.85,4.66,4.6,4.79,4.94,5.12,5.31,5.3,5.51,5.59,5.45,5.41,5.29,5.39,5.42,5.6,5.74,5.92,5.99,5.95,5.94,6.13,6.32,6.52,6.69,6.89,7.12,7.3,7.81,8.12,8.46,8.87,9.24,9.47,9.6,9.66,9.51,9.53,9.54,9.83,10.21,10.13,10.36,10.84,11.23,11.46,11.89,11.97,12.02,12.17,12.29,12,12.28,12.61,12.77,13.1,13.71,14.04,14.35,15.2,16.03,16.91,17.45,17.77,18.08,18.61,19.18,19.5,19.02,18.99,19.4,19.86,20.45,20.95,21.7,22.45,23.82,24.9,25.83,27.17,27.76,30.52,32.03,33.59,35.14,35.87,37.83,38.64,40.01,38.83,39.98,41.69,43.55,45.46,47.43,49.62,49.13,47.87,46.5,45.64,44.46,44.82,46.66,49.7,51.22,53.95,55.71,57.18,57.98,58.9,58.23,59.51,58.83,57.84,57.43,58.29,56.63,57.89,59.69,60.05,61.27,62.96,63.58,64.98,66.26,67.49,69.84,69.19,70.45,69.5,70.65,69.74,68.57,68.01,67.37,66.83,66.72,69.09,70.38,72.26,73.3,75.07,75.95,79.1,80.24,82.08,83.68,86.92,90.34,91.2,91.75,93.64,96.18,98.44,101.58,103.81,106.24,109.43,114.07,114.72,119.49,122.29,122.15,125.82,127.86,129.82,131.7,132.51,137.48,141.01,142.69,141.73,139.9,134.53,132.09,127.83,125.28,124.06,123.39,124.2,122.68,124.51
"46","30","      Chain-type quantity index","B008RA",12.38,12.17,11.93,12.31,13.08,12.62,12.66,12.98,12.36,11.87,11.28,11.09,11.4,12.42,13.54,13.52,13.17,13.35,13.5,13.23,13.27,13.44,12.21,13.32,14.05,14.13,14.46,14.28,13.87,13.71,14.1,14.05,14.3,15.2,15.99,16.43,16.11,16.38,16.51,16.48,16.59,16.56,16.89,16.44,15.25,14.57,14.34,14.88,15.36,15.82,16.33,16.26,16.87,17.13,16.72,16.66,16.28,16.6,16.76,17.31,17.7,18.23,18.47,18.36,18.31,18.89,19.47,20.1,20.61,21.14,21.85,22.28,23.79,24.69,25.62,26.72,27.9,28.3,28.64,28.55,27.94,27.86,27.72,28.28,29.16,28.65,29.03,29.9,30.76,31.1,31.95,31.76,31.55,31.4,31.55,30.38,30.67,31.1,31.21,31.84,32.92,33.47,34,35.79,37.47,38.97,39.61,39.9,39.88,39.78,39.33,38.21,35.88,34.94,35.24,35.6,36.23,36.66,37.46,38.2,39.7,40.87,41.66,43.08,43.41,46.91,48.4,49.88,51.07,51,52.66,52.79,53.44,50.68,51.09,52.19,53.02,54.01,55.34,56.7,55.43,53.36,51.55,50.55,49.67,50.37,52.6,56.12,57.85,60.72,62.66,64.26,64.97,65.94,64.94,66.1,65.21,63.65,62.7,63.36,61.59,63.02,65.05,64.93,65.65,67.08,67.46,68.25,69.28,70.29,72.39,71.34,72.27,71.09,71.75,70.28,68.51,68.04,67.56,67.22,67.11,69.62,70.89,72.83,73.57,75.22,76.07,79.14,80.05,81.62,83.07,86.4,89.66,90.22,90.8,92.89,95.8,98.46,101.65,104.09,106.82,110.37,115.29,116.41,122.24,125.89,126.37,130.68,133.13,135.69,138.23,139.25,144.21,147.77,149.06,147.86,145.81,140.2,138.06,134.13,132.13,131.32,131.05,131.79,130.32,132.84
"47","31","      Chain-type price index","B008RG",20.49,21.16,21.73,22.13,22.25,22.89,23.71,24.05,23.89,23.85,23.75,23.61,23.62,23.86,24.37,25.18,26.05,26.5,26.75,27.02,27.17,27.21,27.15,27.15,27.16,27.39,27.59,27.56,27.66,27.8,27.59,27.64,27.55,27.72,28.15,28.76,29.57,29.81,30.57,30.99,31.46,31.65,31.88,32.15,31.82,32.01,32.08,32.16,32.2,32.4,32.55,32.61,32.64,32.65,32.62,32.45,32.47,32.44,32.35,32.37,32.41,32.46,32.44,32.39,32.44,32.42,32.44,32.44,32.44,32.59,32.6,32.78,32.84,32.91,33.01,33.18,33.12,33.46,33.54,33.85,34.03,34.21,34.44,34.77,35.03,35.38,35.68,36.24,36.51,36.84,37.22,37.68,38.08,38.74,38.97,39.5,40.05,40.55,40.92,41.17,41.66,41.96,42.22,42.47,42.8,43.42,44.08,44.54,45.31,46.75,48.74,50.98,52.98,54.36,55.04,55.81,56.46,57.17,57.94,58.8,60.03,60.96,62.03,63.12,64.02,65.13,66.23,67.4,68.84,70.37,71.86,73.2,74.85,76.6,78.24,79.89,82.19,84.23,85.76,87.56,88.63,89.7,90.17,90.25,89.5,88.98,88.68,88.56,88.54,88.85,88.93,89.01,89.25,89.34,89.68,90.03,90.2,90.86,91.6,92,91.94,91.86,91.76,92.5,93.34,93.86,94.26,95.23,95.66,96.03,96.47,96.99,97.47,97.76,98.45,99.22,100.1,99.96,99.72,99.42,99.41,99.25,99.27,99.22,99.63,99.8,99.85,99.94,100.24,100.56,100.74,100.6,100.75,101.09,101.04,100.82,100.4,99.97,99.92,99.71,99.44,99.14,98.93,98.55,97.75,97.13,96.65,96.27,96.03,95.67,95.27,95.16,95.33,95.43,95.73,95.86,95.96,95.97,95.69,95.31,94.82,94.48,94.17,94.25,94.15,93.74
"48","32","      Implicit price deflator","A008RD",20.49,21.16,21.74,22.13,22.25,22.9,23.71,24.05,23.9,23.85,23.74,23.59,23.59,23.82,24.33,25.14,26.04,26.5,26.75,27.03,27.17,27.21,27.15,27.15,27.16,27.39,27.59,27.56,27.66,27.81,27.6,27.63,27.53,27.69,28.13,28.73,29.56,29.81,30.57,30.99,31.46,31.65,31.88,32.15,31.82,32.01,32.08,32.16,32.19,32.39,32.55,32.61,32.64,32.65,32.62,32.45,32.47,32.45,32.35,32.37,32.41,32.46,32.44,32.39,32.44,32.42,32.44,32.45,32.44,32.59,32.6,32.78,32.83,32.91,33.01,33.18,33.12,33.46,33.53,33.84,34.02,34.21,34.44,34.77,35.02,35.38,35.68,36.24,36.51,36.83,37.22,37.68,38.09,38.75,38.97,39.5,40.05,40.55,40.91,41.16,41.65,41.95,42.21,42.46,42.78,43.4,44.06,44.54,45.33,46.78,48.78,51.03,53.01,54.37,55.03,55.79,56.44,57.16,57.92,58.78,60.01,60.93,61.99,63.07,63.95,65.06,66.17,67.35,68.8,70.34,71.84,73.19,74.86,76.62,78.26,79.9,82.14,84.17,85.7,87.52,88.64,89.72,90.2,90.28,89.51,89,88.69,88.57,88.54,88.85,88.91,88.99,89.24,89.33,89.68,90.03,90.21,90.87,91.61,92,91.94,91.86,91.76,92.49,93.33,93.85,94.25,95.22,95.65,96.03,96.47,96.98,97.48,97.77,98.46,99.22,100.1,99.96,99.72,99.42,99.42,99.25,99.27,99.22,99.63,99.79,99.85,99.94,100.24,100.55,100.74,100.6,100.75,101.09,101.04,100.81,100.4,99.98,99.93,99.72,99.46,99.16,98.94,98.55,97.75,97.14,96.66,96.28,96.04,95.68,95.28,95.16,95.33,95.43,95.73,95.85,95.95,95.96,95.68,95.31,94.81,94.47,94.16,94.25,94.14,93.74
"49",NA,"      Structures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","33","        Current dollars","A009RT",3.51,3.53,3.68,3.75,3.93,4.15,4.38,4.48,4.33,4.17,3.96,3.86,4.03,4.22,4.56,4.88,5.1,5.4,5.46,5.3,5.35,5.37,5.4,5.62,5.81,6,6.11,6.21,6.19,6.17,6.16,6.14,6.34,6.55,6.86,7.19,7.74,7.99,8.26,8.33,8.34,8.44,8.49,8.42,8.04,7.82,7.67,7.81,7.73,8.02,8.29,8.23,8.61,8.65,8.63,8.9,8.86,8.73,8.74,8.73,8.9,9.26,9.49,9.29,8.99,9.44,9.53,9.73,9.97,10.42,10.78,11.03,11.62,12.52,12.68,13.53,13.82,13.86,14.18,13.88,14.08,13.75,13.99,14.21,14.69,14.75,14.77,15.45,15.91,16.3,17.3,17.51,17.55,17.92,18.04,18.12,18.45,18.82,19.17,19.45,20.35,20.72,21.03,21.77,22.81,24.03,25.26,25.65,26.22,27.26,27.3,28.1,27.42,26.85,27.24,27.57,28.49,28.92,29.64,30.14,30.99,32.73,33.96,34.91,35.22,39.39,42.56,45.32,46.57,48.87,52.96,55.88,57.91,57.7,59.38,63.06,65.57,70.35,74.14,82.53,81.72,79.82,75.73,73.89,69.65,65.7,67.12,69.1,73.1,77.52,80.44,81.86,86,86.28,84.87,86.49,84.85,77.3,74.79,75.58,73.52,74.37,77.9,80.12,78.9,81.24,81.04,81.79,84.03,83.99,87.82,87.95,90.54,90.74,91.2,87.57,86.43,84.33,78.93,76.47,75.66,75.88,76.71,77.96,78.54,78.9,79.67,81.85,79.12,83.67,84.4,86.17,89.11,91.04,91.65,92.01,94.84,97.77,100.58,106.8,109.75,110.11,115.81,119.05,121.43,126.65,126.2,127.8,126.9,125.79,124.42,127.27,133.12,137.1,142.64,145.78,148.31,146.62,147.56,134.38,128.16,122.3,115.29,112.97,113.29,114.88
"51","34","        Chain-type quantity index","B009RA",29.32,29.09,29.25,28.81,29.43,30.27,31.19,31.67,31.02,30.31,28.97,28.16,29.53,31.01,32.8,33.64,33.73,34.87,34.66,33.34,33.39,33.64,33.92,35.21,36.28,36.96,37.17,37.83,38.21,38.48,38.4,38.24,39.44,40.41,41.74,42.76,44.08,45.66,45.96,45.87,45.52,45.47,45.42,45.08,44.06,42.59,41.62,42.28,42.12,43.42,44.7,44.37,46.22,46.76,46.86,48.65,48.42,47.61,47.62,47.37,48.24,50,51.34,50.07,48.32,50.6,50.95,51.97,53.32,55.15,56.97,57.41,60.35,64.56,65.23,68.24,69.88,68.51,70.03,67.65,68.34,66.4,67.09,67.2,68.54,67.94,67.49,68.88,69.92,70.5,73.85,73.31,72.76,72,72.28,71.46,71.26,71.07,70.82,70.61,72.47,72.87,72.99,74.13,76.57,78.96,80.76,80.02,79.6,79.3,75.87,74.93,71.12,68.42,68.84,68.9,70.78,70.55,71.28,71.48,71.28,73.93,75.06,75.61,74.72,81.31,85.75,88.87,88.8,90.41,95,98.11,99.9,97.52,98.26,101.24,100.96,104.71,107.29,115.4,111.73,107.96,102.1,100.08,96.06,91.58,93.79,96.71,102.2,107.32,110.66,111.94,116.74,116.82,114.3,115.82,113.13,102.52,98.76,99.32,96.6,97.35,101.47,103.34,100.17,102.06,100.84,100.71,102.58,101.35,105.2,104.55,106.69,106.19,105.87,101.03,98.83,96.29,90.17,88.22,87.35,87.21,87.76,88.48,88.26,87.83,87.93,89.54,85.88,90.16,89.93,90.57,92.49,93.79,93.72,93.53,95.95,98.38,100.18,105.49,107.15,106.35,110.45,112.32,113.67,117.7,116.89,117.83,116.61,115.09,113.22,114.91,118.68,121.03,124.52,125.63,124.64,121.95,122.82,112.3,108.09,102.97,96.97,94.47,93.79,95.41
"52","35","        Chain-type price index","B009RG",11.95,12.14,12.58,13.01,13.35,13.71,14.05,14.17,13.95,13.75,13.68,13.71,13.67,13.63,13.93,14.53,15.12,15.49,15.74,15.88,16.01,15.96,15.92,15.96,16,16.23,16.45,16.42,16.19,16.03,16.03,16.05,16.09,16.23,16.45,16.82,17.57,17.51,17.98,18.15,18.33,18.57,18.69,18.68,18.24,18.36,18.43,18.48,18.36,18.47,18.54,18.55,18.62,18.51,18.42,18.29,18.29,18.33,18.35,18.42,18.45,18.52,18.49,18.55,18.61,18.65,18.7,18.72,18.7,18.9,18.93,19.23,19.26,19.4,19.45,19.84,19.78,20.22,20.25,20.51,20.6,20.71,20.85,21.14,21.43,21.71,21.89,22.44,22.76,23.13,23.44,23.89,24.13,24.88,24.95,25.35,25.89,26.48,27.06,27.54,28.08,28.43,28.82,29.38,29.81,30.45,31.29,32.06,32.91,34.34,35.93,37.44,38.53,39.23,39.56,40.03,40.26,40.99,41.59,42.18,43.49,44.28,45.27,46.21,47.21,48.53,49.74,51.1,52.54,54.13,55.81,57,57.99,59.18,60.43,62.3,65.03,67.31,69.24,71.65,73.18,73.93,74.14,73.78,72.5,71.74,71.57,71.46,71.55,72.26,72.71,73.14,73.68,73.86,74.25,74.67,74.97,75.37,75.71,76.1,76.12,76.41,76.8,77.55,78.77,79.6,80.36,81.21,81.92,82.87,83.49,84.12,84.85,85.44,86.13,86.66,87.46,87.59,87.55,86.7,86.63,87.01,87.41,88.11,88.99,89.84,90.61,91.43,92.15,92.81,93.86,95.17,96.35,97.06,97.79,98.38,98.87,99.42,100.44,101.28,102.47,103.56,104.89,106.02,106.84,107.61,107.97,108.45,108.82,109.3,109.89,110.76,112.2,113.31,114.58,116.07,119.01,120.23,120.14,119.66,118.56,118.77,118.89,119.57,120.79,120.4
"53","36","        Implicit price deflator","A009RD",11.96,12.14,12.58,13.01,13.34,13.7,14.04,14.16,13.95,13.75,13.68,13.71,13.66,13.62,13.92,14.51,15.11,15.49,15.75,15.89,16.01,15.96,15.92,15.96,16,16.23,16.44,16.41,16.19,16.03,16.03,16.05,16.09,16.22,16.44,16.81,17.56,17.51,17.98,18.15,18.33,18.57,18.69,18.68,18.24,18.36,18.43,18.48,18.36,18.47,18.54,18.55,18.62,18.51,18.42,18.29,18.29,18.33,18.35,18.42,18.45,18.52,18.49,18.55,18.61,18.65,18.7,18.72,18.69,18.9,18.92,19.22,19.25,19.39,19.44,19.83,19.78,20.22,20.25,20.51,20.6,20.71,20.85,21.14,21.43,21.71,21.88,22.43,22.75,23.12,23.43,23.89,24.12,24.89,24.95,25.36,25.89,26.48,27.06,27.54,28.08,28.43,28.81,29.37,29.8,30.43,31.28,32.06,32.94,34.38,35.98,37.5,38.55,39.24,39.56,40.02,40.25,40.99,41.58,42.17,43.48,44.27,45.25,46.17,47.14,48.44,49.64,51,52.45,54.05,55.74,56.96,57.97,59.17,60.43,62.29,64.95,67.19,69.11,71.52,73.14,73.94,74.17,73.83,72.51,71.74,71.57,71.45,71.53,72.23,72.69,73.12,73.67,73.85,74.26,74.68,75,75.4,75.72,76.1,76.11,76.4,76.78,77.53,78.77,79.6,80.36,81.21,81.91,82.86,83.48,84.12,84.86,85.45,86.15,86.67,87.45,87.58,87.54,86.68,86.62,87,87.41,88.11,88.99,89.84,90.6,91.42,92.13,92.79,93.84,95.15,96.34,97.06,97.79,98.37,98.84,99.38,100.41,101.24,102.43,103.53,104.86,105.99,106.82,107.6,107.96,108.45,108.82,109.3,109.89,110.76,112.17,113.28,114.55,116.04,119,120.23,120.14,119.67,118.57,118.78,118.9,119.57,120.79,120.41
"54",NA,"      Equipment and software:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","37","        Current dollars","A010RT",2.21,2.26,2.23,2.38,2.57,2.47,2.54,2.67,2.49,2.38,2.25,2.2,2.24,2.54,2.87,2.91,2.87,2.92,3,3,3.03,3.09,2.62,2.95,3.15,3.16,3.28,3.18,3.05,3.03,3.13,3.13,3.14,3.43,3.71,3.9,3.77,3.84,3.98,4.03,4.18,4.17,4.35,4.24,3.79,3.61,3.58,3.78,4.01,4.16,4.32,4.32,4.47,4.57,4.39,4.24,4.09,4.27,4.31,4.56,4.68,4.8,4.83,4.83,4.92,5.02,5.25,5.45,5.59,5.71,5.9,6.06,6.54,6.66,7.05,7.31,7.71,8,8.08,8.25,7.98,8.12,8.06,8.37,8.72,8.6,8.88,9.3,9.67,9.84,10.09,10.12,10.17,10.25,10.38,9.96,10.22,10.54,10.63,10.99,11.5,11.81,12.13,13,13.77,14.54,14.85,15.14,15.36,15.72,16.48,16.63,16.22,16.37,16.78,17.29,17.76,18.29,19.05,19.89,21.43,22.29,23.11,24.58,25.27,27.56,28.51,29.68,31.32,31.53,32.79,32.89,34.03,32.54,33.51,34.57,36.2,37.15,38.52,38.64,38.26,37.21,36.75,36.22,36.05,37.86,39.83,43.23,43.92,46.09,47.46,48.95,48.63,49.77,49.34,50.51,50.14,51.34,51.64,52.52,50.99,52.39,53.62,53.35,55.39,56.86,57.75,59.38,60.34,61.99,63.84,62.93,63.74,62.41,63.79,63.79,62.62,62.56,63.51,63.62,63.73,66.83,68.26,70.35,71.55,73.79,74.71,78.18,80.61,81.54,83.44,87.16,90.75,91.26,91.78,94.19,96.63,98.66,101.91,102.81,105.06,109.21,113.49,113.27,118.85,120.83,120.8,125.16,128.18,131.17,134.13,134.26,138.94,142.31,142.71,140.38,137.1,130.5,126.94,125.65,124.32,124.65,126.09,127.95,125.81,127.73
