"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"25","16","      Durable goods \2\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","      Nondurable goods"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","        Commodity Credit Corporation inventory change"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","        Other nondurables","B828RA",14.8,20.87,6.11,11.65,9.85,44.54,41.83,39.59,28.8,16.9,58.69,57.35,24.63,11.86,12.49,20.27,29.64,28.99,33.27,31.99,30.96,13.94,13.54,11.03,19.88,18.5,16.18,13.66,12.76,12.37,11.55,30.33,10.55,18.29,24.79,25.58,36.06,31.58,31.01,32.94,53.27,44.82,50.41,20.87,13.49,12.65,17.46,29.7,48.21,62.11,59.36,63.18,22.33,50.32,56.21,52.25,15.31,66.98,64.94,66.69,33.44,63.82,66.24,49.06,64.56,70.1,67.25,39.11,65.24,85.73,62.6,46.38,27.57,75.78,82.12,75.97,59.96,108.06,73.47,66.11,105.94,61.31,72.24,92.11,69.83,56.86,63.07,74.01,87.83,85.44,78.54,85.3,90.88,89.81,81.1,82.9,79.69,85.72,81.55,78.03,85.96,94.92,96.12,88.06,78.87,82.92,76.28,75.46,83.47,87.99,90.06,87.72,66.09,64.65,61.6,69.85,72.49,83.08,86.71,87.98,73.17,81.5,85.04,96.93,85.08,92.65,96.25,101.27,102.42,89.34,92.3,89.16,75.35,76.07,84.78,124.61,135.18,201.76,209.76,171.53,131.9,111.91,106.55,114.86,104.42,124.24,139.5,119.5,122.32,139.8,120.03,155.48,122.82,138.02,120.16,80.54,102.91,104.59,103.38,94.88,116.48,131.44,119.55,101.92,137.69,133.57,93.3,96.72,111.34,93.8,100.32,96.34,106.23,121.06,108.87,99.48,67.61,84.09,92.01,94.68,105.62,113.01,115.79,118.95,115.12,111.59,113.56,112.55,116.2,114.21,108.09,114.48,106.75,104.88,104.03,101.52,100.52,99.33,96.22,103.92,115.9,121.79,124.76,129.26,128.4,127.71,121.43,118.77,94.61,94.01,90.71,90.69,90.08,87.95,92.96,48.12,104.59,106.5,113.29,119.91,127.22,135.7,129.39,138.43,122.8,140.4
"29","20","      Services","B544RA",31.23,31.97,28.66,22.23,31.6,33.87,35.72,36.61,32.95,38.39,31.74,28.67,33.79,31.59,34.4,35.4,29.64,32.36,31.34,28.8,35.63,32.65,34.38,31.69,30.37,32.01,32.42,33.34,33.83,31.19,31.95,30.02,31.85,28.07,28.77,29.62,33.42,32.78,33.92,33.24,31.8,33.82,32.71,31.79,32.81,32.55,32.89,32.29,33.59,34.84,34.95,36.54,40.72,38.86,38.76,39.41,43.3,41.05,41.89,42.36,48.11,43.79,45.61,46.8,48.09,49.42,52.01,55.08,54.78,55.92,54.49,57.48,59.18,56.4,57.76,58.42,60.64,61.34,64.72,62.03,63.37,60,62,62.72,60.37,59.24,60.74,60.2,60.82,60.63,59,60.16,61.88,63.61,63.38,64.36,65.04,66.6,66.78,65.24,69.06,69.95,71.02,71.07,72.54,72.75,70.09,68.4,72.88,71.78,73.84,75.65,73.96,75.36,76.27,76.84,74.9,74.49,75.49,75,76.22,76.93,77.19,79.62,80.76,82.38,81.77,82.52,83.22,84.63,83.37,85.57,85.62,88.2,87.56,83.47,84.53,83.49,81.83,82.3,81.24,78.51,80.53,83.03,83.67,83.26,82.56,82.66,83.83,83.96,83.88,84.28,85.73,85.24,86.47,84.57,84.54,84.13,84.99,85.76,88.18,87.81,90.9,91.13,90.56,90.43,90.52,92.44,91.51,91.66,91.84,93.83,98.68,100.41,101.24,99.3,98.14,99.39,101.3,102.3,106.02,104.97,105.87,106.39,104,103.17,103.39,103.58,104.95,100.51,104.27,104.05,102.57,104.02,104.1,97.52,98.95,100.89,99.68,100.47,102.12,103.24,103.33,102.26,101.4,102.59,101.79,102.35,103.66,102.79,103.17,103.75,105.05,109.95,107.63,108.65,109.39,111.39,112.35,113.74,113.95,114.83,116.35,119.54,123.46,119.35
"30","21","        Compensation of general government employees, except own-account investment \3\","B545RA",58.45,61.14,56.54,39.16,58.04,59.88,62.07,62.82,58.71,59.16,58.06,54.91,55.91,62.03,65.09,73.22,58.5,62.18,58.46,54.11,55.89,56.47,56.87,56.29,53.73,52.35,50.4,49.48,48.69,49.42,48.18,49.84,49.46,49.1,50.39,50.6,51.18,50.45,51.06,51.92,52.73,53.32,52.86,50.89,53.51,53.7,54.7,54.54,53.26,53.58,53.99,53.98,57.29,60.11,58.2,57.54,58.36,59.56,60.63,60.69,61.96,62.82,63.99,63.58,66.46,67.24,67.76,67.03,67.99,68.82,69.26,69.28,69.13,69.63,70.9,71.08,70.3,71.87,74.43,75.29,74.98,76.39,77.78,76.84,78.05,79.08,79.3,77.9,79.33,79.39,79.69,79.66,80.99,80.85,80.08,80.37,83.45,83.14,82.97,83.03,85.08,85.53,85.45,85.84,86.39,86.1,85.19,85.83,90.44,90.31,90.68,90.05,91.05,91.84,92.24,93.18,94.97,96.24,97.6,98.33,98.55,98.97,99.57,99.38,100.86,101.88,102.03,101.65,101.71,101.73,101.54,100.65,102.82,106.76,105.12,101.7,102.02,101.45,100.77,99.99,99.17,98.4,99.21,99.6,99.83,100.74,101.3,100.12,100.15,100.61,101.02,100.18,100.45,101.01,101.01,100.09,100.16,99.59,98.78,98.16,100.72,99.52,100.36,102.82,103.74,101.97,102.71,105.12,104.46,103.37,103.24,104.16,108.7,109.14,110.24,107.57,108.12,107.69,108.19,110.61,111.48,110.48,110.39,110.12,111.11,110.99,109.88,108.7,109.62,107.54,106.49,104.64,104.41,105.31,105.02,96.32,98.05,101.82,100.75,99.38,99.67,100.12,99.71,98.06,99.03,100.04,100.39,102.46,103.77,100.86,99.26,99.45,103.21,109.28,102.46,100.96,103.08,103.33,103.76,103.41,103.95,103.75,105.28,109.52,109.58,109.41
"31","22","        Consumption of general government fixed capital \4\","B546RA",13.07,13.13,13.3,13.34,13.47,13.51,13.48,13.64,13.63,13.72,13.77,13.65,13.87,13.93,13.99,14.09,14.09,14.18,14.1,14.34,14.1,14.23,14.19,14.16,14.23,14.28,14.14,14.08,14.28,14.12,14.24,14.13,14.16,14.05,14.06,14.02,13.89,14.13,13.86,13.81,13.85,13.86,13.95,13.88,14,13.83,13.79,13.99,13.92,13.77,13.66,13.7,13.63,13.73,13.69,13.84,13.73,13.82,13.89,14.05,14.48,14.62,14.86,15.29,15.81,16.14,16.55,17.1,17.66,18.26,18.77,19.37,20.01,20.67,21.4,22.15,23.17,23.73,24.54,25.15,25.69,26.21,26.78,27.05,27.53,27.86,28.11,28.44,28.65,28.92,29.02,29.32,29.52,29.55,29.91,29.75,29.92,29.84,30.02,29.93,30.04,30.21,29.58,30.25,30.33,29.95,30.02,30.69,30.23,30.74,30.47,30.9,30.87,31.11,31.32,31.37,31.56,31.74,31.82,32.01,32.14,32.25,32.45,33.05,34.39,34.19,34.8,35.32,35.57,35.96,36.24,37.45,37.8,38.41,39.06,39.59,40.06,40.99,41.44,41.94,42.29,42.67,43.48,44.37,45.26,45.96,46.73,47.64,48.85,49.71,50.96,51.92,52.79,53.74,54.92,55.98,56.81,57.74,58.59,59.57,60.56,61.51,62.53,63.4,64.28,65.44,66.23,67.17,68.13,68.94,70.03,71.08,72.12,73.22,74.18,75.36,76.35,77.61,78.46,79.32,80.11,80.89,81.71,82.41,83.28,84.13,84.96,85.8,86.73,87.65,88.75,89.85,90.88,92.23,93.68,95.36,97.1,99.01,101.01,102.88,105.16,107.42,109.79,112.3,114.52,117.3,120.32,123.64,126.97,130.34,133.78,137.1,140.56,143.67,146.62,149.44,151.85,154.45,157.08,159.86,162.56,165.47,168.46,171.61,175.06,178.56
"32","23","        Other services","B730RA",10.54,9.85,6.12,6.51,11.4,14.73,16.9,18.01,13.58,24.98,11.38,7.24,17.61,7.64,11.04,6.75,6.2,9.03,9.98,8.11,20.75,14.1,17.35,12.28,11.48,15.95,18.47,21.14,22.67,16.71,19.13,13.92,17.88,10.51,10.91,12.53,20.29,19.31,21.37,19.18,15.38,19.2,17.14,16.89,16.75,16.13,16,14.61,18.86,21.67,21.58,25.34,32.01,24.8,26.5,28.64,37.4,30.52,31.4,32.4,44.89,33.43,36.5,39.57,39.37,41.65,47.27,55.29,53.23,54.86,50.49,57.72,61.8,53.76,55.37,56.37,62.32,62,67.27,59.09,62.52,52.16,55.33,58.01,50.4,46.16,49.63,49.62,49.49,48.74,44.15,46.97,49.75,54.56,54.62,56.98,54.92,59.72,60.34,56.01,63.99,65.8,69.3,68.51,71.91,73.16,66.75,60.66,67.55,64.33,69.79,75.47,69.37,72.16,74.1,74.45,66.33,63.33,64.27,61.72,64.89,66.28,66.05,73.13,73.57,76.97,74.65,77.01,78.8,82.64,79.13,86,82.93,84.58,84.6,77.24,79.58,76.85,72.81,74.91,72.83,65.89,70.09,76.14,77.13,74.37,71.23,72.61,75.24,74.53,73.1,74.88,78.15,75.5,78.36,73.76,73.15,72.29,75.41,77.93,80.8,80.91,88.01,84.83,81.46,83.04,81.86,83.48,81.26,82.91,83.11,87.04,94.03,97.9,98.26,95.98,91.19,95.04,99.61,98.47,107.93,105.96,108.45,110.13,100.76,98.02,100.21,102.44,104.78,93.74,107.17,109.2,104.38,106.87,107.01,100.65,101.44,99.98,97.14,101.44,105.32,107.23,107.31,105.86,100.28,101.14,96.6,93.09,93.5,94.86,97.9,98.14,93.65,96.88,101.53,106.88,104.13,109.43,110.77,115.13,113.63,115.97,116.86,117.8,130.1,114.47
"33","24","    Gross investment","B798RA",15.94,16,7.76,8.4,15.21,12.51,13.12,17.56,14.37,14.55,23.08,26.48,20.88,23.88,25.95,18.57,18.74,20.15,16.91,24.26,20.97,19.22,18.6,19.12,16.59,17.72,16.85,17.01,14.83,18.34,14.71,13.64,12.85,11.22,9.33,10.71,11.44,13.68,15.77,15.39,15.18,15.68,16.3,15.82,18.91,17.86,18.79,19.13,18.69,19.47,18.37,18.51,19.33,21.87,22.48,24.94,26.7,25.41,26.57,28.55,28.7,30.44,31.74,34.47,33.8,35.75,38.7,39.32,41.12,40.36,42.7,45.27,45.58,48.26,48.83,50.36,51.66,50.2,49.68,46.92,42.9,39.44,39.62,39.59,37.32,35.77,34.08,33.94,33.17,32.79,31.32,30.14,29.24,30.4,30.13,30.7,30.19,31.31,32.84,31.57,32.68,33.33,32.49,32.07,34.4,33.37,33.32,33.21,31.42,37.1,33.21,35.82,36.79,34.9,34.93,36.78,37.06,39.06,38.47,38.16,37.5,39.27,42.46,42,43.92,47.22,51.05,48.66,46.37,46.64,48.96,44.44,49.95,50.29,51.25,49.84,50.87,49.84,50.25,49.58,47.04,47.32,46.13,46.04,52.17,51.7,54.24,52.99,55.6,57.19,56.37,57.96,60.54,58.33,62.07,61.53,62.49,60.84,60.61,64.18,64.91,69.31,68.53,69.33,63.15,63.2,64.47,63.52,65.19,68.1,68.4,69.68,75.97,75.55,73.72,71.37,74.31,79.28,80.39,86.48,88.18,86.58,86.84,92.4,96.74,94.99,93.48,87.62,85.93,84.38,86.58,91.52,95.26,92.88,90.53,87.49,97.31,104.43,101.09,97.17,103.52,111.22,106.27,98.88,113.01,124.06,117.3,119.38,120.08,135.65,128.92,140.94,133.76,138.63,131.44,130.37,134.63,138.75,132.82,144.89,143.43,148.22,142.28,145.28,144.26,151.58
"34","25","      Structures","B830RA",6.29,20.18,26.84,34.73,38.32,41.82,44.86,43.4,46.74,55.09,81.78,81.87,70.58,82.68,75.61,71.26,66.72,65.49,62.74,65.05,68.67,60.21,57.05,56.66,59.14,57.66,55.66,56.52,51.92,52.28,51.23,43.76,38.12,34.61,32.09,32.09,35.26,43.83,53.78,52.57,52.67,54.18,57.1,55.11,67.88,68.32,68.61,70.7,71.69,75.68,71.89,70.36,73.75,82.07,82.34,88.29,93.66,84.96,89.87,94.95,93.13,100.53,101.23,110.06,103.97,109.02,110.96,113.28,115.75,118.24,115.85,121.36,119.97,124.28,123.82,128.97,133.27,127.38,118.76,115.05,99.35,88.38,92.94,92.27,89.58,86.78,79.42,79.17,74.37,72.82,70.54,66.69,66.07,71.19,73.4,75.81,75.95,78.27,83.05,79.51,83.6,83.39,80.67,79.34,90.67,84.44,88.2,88.27,81.3,91.21,80.98,89.1,90.63,87.13,86.97,91.14,92.28,98.19,95.13,94.22,90.94,95.87,105.51,99.9,102.66,111.83,124.3,114.87,104.78,105.43,110.4,103.2,108.42,107.96,107.37,105.06,110.73,106.39,103.18,102.81,92.66,87.25,84.62,81.85,82.55,82.99,89.65,82.25,84.47,89.91,85.06,88.33,85.9,85.9,94.56,89.28,97.3,94.42,92.72,94.61,102.02,108.82,106.68,100.5,78.8,76.79,80.11,71.48,70.32,72.49,75.64,79.77,86.33,85.26,84.43,78.28,79.5,92.59,92.44,109.77,104.82,103.29,97.49,110.66,115.24,108.28,111.82,109.93,100.36,93.75,94.89,112.6,106.89,99.43,100.93,92.41,101.48,107.7,102.22,88.6,89.86,86.76,90.44,71.66,91.43,90.29,97.37,101.14,97.63,90.78,92.39,101.88,92.78,86.02,81.33,81.85,82.8,74.31,75.34,88.85,101.08,91.85,84.94,94.81,89.36,92.12
"35","26","      Equipment and software","B880RA",14.82,11.91,2.14,1.12,7.14,3.35,3.16,8.23,4.04,2.24,4.96,8.65,5.29,5.62,9.26,2.91,3.97,5.62,2.97,10.25,5.84,6.01,6.1,6.72,3.45,5.01,4.54,4.49,3.27,7.13,3.27,4.01,4.58,3.66,2.2,3.78,3.78,4.06,3.77,3.66,3.36,3.54,3.45,3.44,3.53,2.2,3.2,3.01,2.29,2.15,1.92,2.4,2.47,3.09,3.61,4.66,5.17,5.84,5.88,6.66,7.2,7.26,8.35,9.04,9.7,10.45,12.81,12.9,14.02,12.87,15.4,16.62,17.21,18.83,19.48,19.81,20.1,20,21.43,19.59,19.21,18.32,17.48,17.6,16.01,15.15,15.16,15.08,15.41,15.39,14.48,14.21,13.47,13.44,12.69,12.71,12.19,12.74,13.14,12.7,12.83,13.55,13.36,13.27,12.81,13.34,12.3,12.16,12.09,15.55,14.11,14.73,15.39,14.26,14.35,15.24,15.22,15.76,15.99,15.91,16.13,16.69,17.5,18.67,20.07,21.12,21.76,21.9,22.4,22.52,23.72,20.52,25.66,26.23,27.66,26.66,25.93,26.18,27.93,27.18,27.64,30.07,29.46,30.39,38.46,37.66,38.51,39.74,42.41,42.41,43.23,44.1,48.65,45.6,47.24,48.66,46.66,45.57,45.95,50.15,48.04,51.35,51.16,54.94,55.53,56.47,56.84,59.25,62.15,65.34,64.39,64.39,70.47,70.35,68.08,67.48,71.18,72.41,74.1,74.95,79.69,78.06,81.16,83.08,87.28,88.03,84.13,76.39,78.54,79.47,82.19,80.7,89.2,89.41,85.08,84.86,95.05,102.63,100.45,101.87,111.07,124.9,114.99,114.35,125.09,143.42,128.33,129.32,132.57,161.87,149.99,163.42,157.59,169.85,161.18,159.12,165.46,177.78,167.4,178.17,167.59,181.69,176.6,174.79,176.88,187.1
"36","27","State and local","B829RA",15,15.23,15.59,15.84,15.8,16.26,16.53,16.95,17.64,18.66,19.43,19.79,20.3,20.47,20.51,20.52,20.3,20.65,20.75,20.72,20.77,21.22,20.64,21.12,21.59,21.54,22.12,22.66,23.45,23.54,24.21,24.32,25.36,25.7,25.66,25.8,26.06,26.37,26.5,26.77,27.43,27.67,28.06,28.75,29.56,29.98,30.63,31.2,31.37,31.47,31.5,31.34,31.87,32.65,33.13,33.51,34.59,34.37,34.66,35.61,35.35,35.6,36.06,36.45,37.15,37.49,38.49,39.03,39.6,40.51,40.95,41.39,41.78,42.84,44.04,44.69,45.26,45.61,46.13,47.31,47.87,48.13,48.32,49.16,50.06,51.02,51.71,52.09,52.41,52.8,52.88,52.75,53.28,53.6,54.83,55.13,55.42,55.8,55.95,56.65,56.88,56.68,57.17,57.97,58.26,58.38,59,59.71,60.47,61.2,61.09,61.06,62.83,62.35,63.05,63.73,64.62,63.6,63.22,63.05,63.62,64,63.93,64.05,64.13,66.02,66.78,67.42,66.33,66.96,67.21,67.97,68.28,67.39,66.46,66.18,66.69,65.42,65.2,65.7,65.47,65.62,65.57,65.98,66.12,65.93,66.46,66.44,67.35,68.21,69.34,70.02,70.73,72.01,73.2,73.83,75.29,76.1,76.83,77.16,77.58,77.81,78.07,79.07,79.89,80.86,81.18,82.16,82.79,83.71,84.54,85.68,86.95,87.24,87.85,88.87,89.02,89.4,89.92,90.56,91.66,91.52,91.55,91.53,91.77,92.78,93.19,93.8,94.04,94.95,95.96,96.42,96.96,97.68,97.76,98.43,98.35,99.99,100.24,101.42,102.52,103.57,104.61,105.22,105.67,106.96,108.35,109.26,111,111.83,112.98,114.54,116.11,115.88,116.56,117.52,118.63,120.2,119.51,122.09,123.47,122.95,123.62,123.99,124.06,123.84
"37","28","  Consumption expenditures","B991RA",16.94,17.27,17.59,17.69,17.41,17.5,17.52,17.8,18.39,18.9,19.41,19.79,20.35,20.38,20.33,20.3,20.14,20.2,20.33,20.45,20.21,20.96,20.34,20.64,21.07,20.99,21.46,21.45,21.75,21.88,22.36,22.54,23.33,23.51,23.72,23.95,23.91,24.29,24.61,24.95,25.07,25.44,25.96,26.43,27,27.58,28.01,28.32,28.36,28.58,28.93,29.3,29.74,30.38,30.59,31.02,31.69,32.17,32.12,32.41,32.46,32.85,33.16,33.54,33.85,34.32,34.94,35.43,36.09,36.64,37.15,37.79,38.27,39.03,39.73,40.33,40.91,41.43,42.02,42.73,42.77,43.22,43.99,44.62,45.52,46.06,46.83,47.47,48.09,48.72,49.38,50.2,51,51.61,52.48,53.24,53.91,54.42,55.04,55.69,56.12,56.55,57.11,57.55,57.86,58.39,59.22,59.86,60.51,61.1,61.65,62.31,63.41,64.06,64.58,64.61,64.81,64.97,65.4,65.8,66.09,66.24,66.73,67.08,67.5,67.57,68.06,68.6,68.78,68.37,68.09,68.56,68.58,68.44,68.24,68,67.76,67.8,68.24,68.5,68.76,69,68.92,69.04,69.55,69.43,69.44,69.51,69.97,70.55,71.29,71.89,72.51,73.3,74.53,75.47,76.5,77.31,78,78.95,78.92,79.29,79.34,80.3,81.3,81.83,82.36,83.05,83.91,84.63,85.44,86.22,86.93,87.62,88.35,88.84,89.32,89.78,90.11,90.53,91.13,91.64,92.31,92.6,92.98,93.42,93.82,94.39,95.16,95.78,96.3,96.78,97.33,97.68,98.01,98.61,98.48,100.06,100.36,101.09,101.38,102.16,103.05,103.95,104.84,105.84,106.77,107.54,108.47,109.66,110.92,112.06,113.14,113.98,114.81,115.63,116.07,117.18,118.62,119.84,120.56,121.04,121.54,121.99,122.21,122.24
"38","29","    Durable goods \2\","B989RA",3.96,4.23,4.48,4.49,5.92,5.74,5.45,5.27,5.09,5.59,6.19,6.5,6.19,6.09,5.81,5.48,6.21,6.18,6.26,6.18,6.62,6.69,6.72,6.8,6.95,7.06,7.14,7.28,7.87,7.72,7.96,8.07,7.62,7.88,7.71,7.5,8.18,8.49,8.61,8.82,9.94,10.39,10.82,11.18,10.24,10.45,10.53,10.83,11.03,11,11.33,11.46,11.79,12.03,12.03,12.29,12.62,12.81,12.93,12.63,13.45,13.67,13.64,13.82,14.13,14.07,14.39,14.8,15.15,15.25,15.68,16.17,17.24,17.34,17.8,18.24,18.57,18.9,19.35,19.76,20.23,20.32,20.2,20.49,21.06,21.42,22.12,22.51,22.55,23.02,23.43,24.09,23.96,24.66,25.4,26.01,26.82,27.54,28.23,28.8,29.14,29.62,30.07,30.61,32.54,34.05,35.8,37.31,38.54,39.08,38.96,39.37,40.66,41.79,42.75,43.82,45.04,45.7,46.54,47.46,49.11,49.79,50.22,50.33,50.56,51.07,51.3,51.45,51.85,52.04,51.96,51.5,50.68,50.58,50.69,51.12,51.72,52.51,53.1,53.55,54.17,54.56,55.1,55.74,57.2,57.68,58.38,59.29,60.44,61.42,62.2,62.92,63.48,64.55,65.83,67.39,69.44,70.88,72.12,73.08,73.26,74.05,74.82,75.66,76.07,76.43,76.97,77.7,79.02,80.17,81.11,82.32,82.68,83.48,83.85,84.41,86.11,87.73,88.95,90.21,91.09,92.22,93.11,93.6,93.58,93.94,93.91,94.04,94.66,94.68,94.63,94.98,95.92,96.38,97.06,98.38,98.27,99.15,100.51,102.08,103.63,105.18,107.01,108.99,111.54,113.56,115.46,117.34,119.77,122.02,124.29,126.72,128.77,130.76,132.89,134.15,136.45,138.78,140.85,143.12,145.1,146.72,148.34,149.97,151.62,153.3
"39","30","    Nondurable goods","B337RA",7.23,7.34,7.58,7.45,6.77,6.87,7,7.3,8.01,8.61,9.14,9.48,10.27,10.16,9.78,9.42,8.51,8.43,8.41,8.36,7.99,9.34,7.87,8.23,8.56,8.01,8.41,8.1,8.15,8.17,8.87,8.83,9.98,10.05,9.94,9.84,9.18,9.09,9.15,9.29,8.83,9.1,9.62,9.99,10.78,11.41,11.77,12.03,13.71,13.85,14.08,14.17,14.33,14.47,14.62,14.86,15.14,15.55,15.65,15.72,15.48,15.55,15.77,15.89,15.86,16.01,16.16,16.38,16.67,17.02,17.38,17.55,17.97,18.22,18.52,18.63,19.3,19.2,19.27,19.34,19.45,19.62,20.09,20.52,20.9,21.28,22.09,22.97,23.62,24.28,25.07,26.12,27.25,27.78,29.18,30.5,31.64,32.42,33.12,33.69,34.37,34.48,34.66,34.85,35.05,35.25,36.11,36.98,36.62,36.83,37.03,38.09,40.08,41.43,42.24,43.09,44.12,44.94,45.77,46.91,47.65,48.22,49.1,49.46,49.94,50.18,50.05,49.87,50.41,49.86,49.12,48.32,47.61,46.76,46.3,45.89,46.26,46.2,46.12,45.93,46.61,47.09,47.38,47.73,49.18,49.42,49.88,50.51,51.48,52.29,53.15,53.97,54.71,55.9,57.27,58.97,60.91,62.09,63.21,63.91,63.74,64.23,64.78,65.42,65.91,66.26,66.74,67.25,68.4,69.09,69.77,70.84,71.21,71.76,72.77,73.81,75.18,76.35,77.4,78.48,79.54,80.67,82.02,83.3,84.07,85.17,86.46,87.79,89.66,90.69,91.67,92.56,93.1,94.07,95.1,96.26,97.72,99.21,100.75,102.32,101.67,102.25,103.29,105.11,107.67,109.69,111.71,113.58,116.45,119.23,121.79,124.05,126.03,128.07,129.82,131.71,133.54,135.42,136.83,138.57,139.93,140.9,141.89,142.89,143.89,144.9
