"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"40","21","    Other services","DOTSRX1","711,391.0","714,898.0","717,753.0","734,617.0","749,760.0","767,328.0","780,685.0","784,591.0","791,594.0","807,024.0","809,012.0","810,001.0","808,683.0","808,131.0","802,880.0","815,210.0","826,434.0","826,675.0","834,694.0","837,200.0","842,996.0","849,009.0","855,027.0","856,227.0","856,523.0","856,520.0","861,324.0","867,754.0","875,203.0","884,546.0","885,628.0","899,401.0","903,934.0","907,445.0","905,298.0","902,034.0","906,661.0","899,411.0","902,727.0","900,175.0","888,254.0","874,761.0","875,184.0","878,408.0","880,259.0","884,088.0","885,726.0","886,955.0","896,340.0","899,755.0","904,534.0","904,041.0","916,342.0","914,154.0","918,133.0","923,766.0","920,329.0","926,963.0","931,850.0","936,631.0","937,288.0","934,464.0","936,705.0","942,215.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","148,074.0","149,323.0","150,508.0","152,488.0","157,693.0","158,515.0","164,661.0","169,704.0","170,717.0","174,463.0","177,611.0","181,491.0","184,956.0","190,398.0","198,151.0","203,161.0","203,454.0","206,507.0","207,471.0","207,840.0","211,235.0","210,489.0","209,865.0","209,692.0","202,655.0","207,893.0","209,119.0","220,116.0","228,893.0","236,928.0","241,110.0","239,499.0","240,483.0","237,440.0","241,137.0","252,577.0","259,544.0","269,493.0","277,776.0","287,578.0","278,930.0","272,876.0","273,229.0","279,032.0","279,239.0","281,713.0","277,411.0","274,772.0","272,350.0","273,168.0","279,958.0","275,249.0","278,335.0","288,139.0","289,833.0","300,698.0","296,290.0","297,230.0","301,900.0","309,494.0","309,109.0","312,088.0","318,272.0","314,993.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERX1","769,722.0","773,811.0","779,606.0","787,812.0","794,532.0","802,124.0","811,035.0","821,326.0","830,445.0","839,256.0","850,709.0","863,001.0","878,016.0","892,713.0","904,394.0","909,035.0","910,288.0","912,809.0","915,929.0","918,660.0","925,592.0","932,328.0","943,171.0","952,419.0","947,525.0","956,196.0","966,965.0","975,954.0","986,711.0","996,051.0","1,004,068.0","1,009,483.0","1,016,761.0","1,017,190.0","1,022,755.0","1,032,084.0","1,043,394.0","1,050,419.0","1,059,353.0","1,067,657.0","1,068,984.0","1,071,230.0","1,074,769.0","1,075,272.0","1,072,550.0","1,084,003.0","1,090,565.0","1,096,962.0","1,093,242.0","1,095,976.0","1,094,558.0","1,104,430.0","1,121,420.0","1,124,547.0","1,138,448.0","1,140,440.0","1,136,046.0","1,146,214.0","1,151,716.0","1,171,657.0","1,159,423.0","1,172,650.0","1,187,363.0","1,197,680.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","632,620.0","635,346.0","640,009.0","646,218.0","646,452.0","653,584.0","654,839.0","659,105.0","667,630.0","672,010.0","680,101.0","688,097.0","699,619.0","708,125.0","710,334.0","708,775.0","709,818.0","708,709.0","710,872.0","713,351.0","716,588.0","724,516.0","736,549.0","746,344.0","749,354.0","752,293.0","762,058.0","758,797.0","760,000.0","760,621.0","764,240.0","771,585.0","777,965.0","781,732.0","783,359.0","780,478.0","784,481.0","780,983.0","781,272.0","779,441.0","789,855.0","798,344.0","801,594.0","796,395.0","793,481.0","802,431.0","813,042.0","821,899.0","820,540.0","822,453.0","814,597.0","828,755.0","842,558.0","836,473.0","848,525.0","840,507.0","840,255.0","849,360.0","850,435.0","862,982.0","851,342.0","861,563.0","870,268.0","883,510.0"
"44","25","Residual","D236RX1","-114,800.0","-104,200.0","-95,100.0","-92,100.0","-72,000.0","-81,200.0","-78,600.0","-77,500.0","-76,600.0","-74,400.0","-72,900.0","-51,800.0","-52,700.0","-52,400.0","-46,800.0","-48,600.0","-48,000.0","-36,600.0","-26,600.0","-24,400.0","-20,600.0","-19,600.0","-15,500.0","-12,800.0","-10,000.0","-4,500.0","-4,000.0","-6,500.0","-1,200.0","-3,200.0","-1,800.0","600.0","2,400.0","3,800.0","4,800.0","4,100.0","1,700.0","-100.0","-4,600.0","-1,300.0","-800.0","500.0","700.0","-500.0","-2,000.0","-1,600.0","-2,100.0","-3,100.0","-4,700.0","-10,000.0","-11,700.0","-14,000.0","-19,400.0","-19,500.0","-23,400.0","-27,500.0","-29,800.0","-32,800.0","-35,000.0","-37,000.0","-37,000.0","-44,100.0","-49,300.0","-51,300.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  PCE excluding food and energy \4\","DPCCRX1","6,487,619.0","6,584,095.0","6,661,598.0","6,772,003.0","6,905,734.0","6,959,414.0","7,033,373.0","7,089,217.0","7,130,025.0","7,161,547.0","7,189,412.0","7,315,589.0","7,342,359.0","7,375,153.0","7,429,088.0","7,462,384.0","7,498,606.0","7,595,487.0","7,714,847.0","7,777,953.0","7,856,443.0","7,913,595.0","8,000,616.0","8,081,828.0","8,137,162.0","8,239,354.0","8,306,289.0","8,332,889.0","8,454,985.0","8,489,989.0","8,537,496.0","8,629,761.0","8,674,440.0","8,715,975.0","8,761,175.0","8,785,016.0","8,763,772.0","8,784,943.0","8,747,664.0","8,625,649.0","8,583,895.0","8,538,755.0","8,597,280.0","8,589,584.0","8,631,653.0","8,717,762.0","8,772,406.0","8,862,534.0","8,922,183.0","8,955,831.0","8,997,774.0","9,045,697.0","9,128,941.0","9,138,724.0","9,183,200.0","9,252,105.0","9,317,058.0","9,375,511.0","9,432,721.0","9,521,021.0","9,530,710.0","9,626,258.0","9,725,999.0","9,826,232.0"
"47","27","  Energy goods and services \5\","DNRGRX1","492,733.0","503,763.0","507,616.0","495,851.0","482,636.0","499,687.0","502,916.0","514,866.0","508,911.0","489,687.0","494,545.0","491,204.0","491,649.0","503,709.0","506,308.0","514,807.0","509,400.0","508,381.0","505,760.0","513,887.0","515,319.0","516,071.0","509,129.0","515,189.0","520,392.0","516,576.0","516,902.0","517,736.0","501,336.0","510,253.0","517,433.0","515,142.0","521,075.0","517,576.0","516,418.0","503,781.0","506,808.0","500,780.0","481,079.0","496,603.0","505,833.0","500,319.0","496,476.0","495,903.0","500,047.0","500,453.0","506,971.0","508,565.0","499,428.0","489,188.0","494,237.0","485,385.0","471,584.0","487,644.0","490,884.0","475,183.0","494,498.0","490,036.0","483,378.0","488,140.0","509,432.0","489,976.0","480,423.0","497,241.0"
"48","28","  Market-based PCE \6\","DPCMRX1","6,768,094.0","6,870,236.0","6,950,401.0","7,048,180.0","7,138,732.0","7,209,761.0","7,272,757.0","7,341,874.0","7,375,107.0","7,385,168.0","7,417,386.0","7,536,978.0","7,560,537.0","7,604,569.0","7,663,169.0","7,689,316.0","7,719,602.0","7,819,354.0","7,936,199.0","7,998,722.0","8,074,296.0","8,119,953.0","8,197,409.0","8,283,138.0","8,350,308.0","8,441,897.0","8,509,687.0","8,527,307.0","8,612,445.0","8,657,512.0","8,711,870.0","8,800,560.0","8,852,881.0","8,881,847.0","8,922,286.0","8,934,403.0","8,907,622.0","8,926,023.0","8,843,643.0","8,715,434.0","8,694,425.0","8,669,093.0","8,729,982.0","8,728,510.0","8,774,784.0","8,839,356.0","8,901,542.0","9,004,582.0","9,051,203.0","9,073,203.0","9,108,826.0","9,153,716.0","9,223,077.0","9,263,775.0","9,314,903.0","9,356,874.0","9,448,209.0","9,479,147.0","9,521,375.0","9,599,912.0","9,630,038.0","9,684,613.0","9,755,835.0","9,862,974.0"
"49","29","  Market-based PCE excluding food and energy \6\","DPCXRX1","5,636,842.0","5,722,551.0","5,792,376.0","5,885,761.0","5,989,712.0","6,037,007.0","6,095,029.0","6,146,756.0","6,185,731.0","6,206,096.0","6,235,591.0","6,353,376.0","6,378,262.0","6,411,433.0","6,463,930.0","6,477,366.0","6,505,731.0","6,605,134.0","6,711,428.0","6,767,615.0","6,834,181.0","6,878,064.0","6,955,097.0","7,027,184.0","7,078,243.0","7,169,893.0","7,230,884.0","7,238,957.0","7,338,592.0","7,366,840.0","7,411,615.0","7,492,319.0","7,536,961.0","7,573,584.0","7,614,725.0","7,638,197.0","7,610,936.0","7,633,661.0","7,586,706.0","7,456,547.0","7,427,817.0","7,401,866.0","7,461,843.0","7,453,699.0","7,489,116.0","7,559,070.0","7,611,208.0","7,701,399.0","7,756,696.0","7,791,886.0","7,824,836.0","7,883,405.0","7,965,419.0","7,983,393.0","8,028,883.0","8,089,605.0","8,152,889.0","8,195,474.0","8,241,998.0","8,310,591.0","8,317,413.0","8,399,376.0","8,483,426.0","8,575,485.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
