"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"57","37","  Imputed banking and insurance services","W726RC1","-702.0","-941.0","-1,150.0","-1,234.0","-1,143.0","-1,116.0","-1,656.0","-1,702.0","-1,511.0","-1,586.0","-1,250.0","-997.0","-625.0","-926.0","-2,235.0","-2,475.0","-3,484.0","-4,692.0","-4,060.0","-3,779.0","-3,792.0","-3,325.0","-2,931.0","-2,962.0","-3,223.0","-3,634.0","-4,123.0","-4,324.0","-4,446.0","-4,649.0","-4,777.0","-5,081.0","-4,874.0","-4,616.0","-5,157.0","-5,325.0","-5,743.0","-6,044.0","-6,075.0","-5,913.0","-5,079.0","-4,731.0","-5,189.0","-5,529.0","....."
"58","38","  Other","L319331","-9.0","-1.0","31.0","37.0","0.0","0.0","0.0","0.0","0.0","99.0","149.0","164.0","300.0","480.0","-706.0","-838.0","-525.0","-473.0","-450.0","-400.0","-300.0","-200.0","-100.0","0.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"59","39","Less: Netting and grossing differences","L319341","21,452.0","23,920.0","27,025.0","30,100.0","32,998.0","37,251.0","41,888.0","47,506.0","53,752.0","60,255.0","68,861.0","79,083.0","91,023.0","103,289.0","111,877.0","121,652.0","130,973.0","140,978.0","151,359.0","162,595.0","176,973.0","191,415.0","205,024.0","221,611.0","237,285.0","252,832.0","267,675.0","281,774.0","291,932.0","305,281.0","318,552.0","339,563.0","371,133.0","395,130.0","419,988.0","444,836.0","473,250.0","509,988.0","544,783.0","581,857.0","607,271.0","624,613.0","644,890.0","656,237.0","....."
"60","40","  Current expenditures of government enterprises \8\","W727RC1","10,510.0","11,684.0","13,072.0","14,627.0","16,325.0","18,766.0","21,908.0","24,953.0","28,248.0","32,044.0","36,689.0","42,703.0","49,719.0","56,110.0","61,268.0","65,955.0","71,134.0","76,367.0","81,556.0","86,868.0","93,277.0","99,357.0","105,191.0","111,276.0","117,940.0","125,512.0","132,289.0","137,481.0","142,566.0","148,536.0","155,509.0","163,863.0","182,228.0","192,949.0","204,908.0","217,325.0","233,867.0","251,945.0","274,846.0","293,574.0","304,865.0","308,794.0","314,533.0","320,751.0","....."
"61","41","  Government sales included in Census total revenue \9\","L319361","10,533.0","11,807.0","13,536.0","15,088.0","16,311.0","18,119.0","19,601.0","22,249.0","25,282.0","27,988.0","31,922.0","36,059.0","40,917.0","46,710.0","50,007.0","54,905.0","58,819.0","63,559.0","68,676.0","74,625.0","82,680.0","91,117.0","99,136.0","109,854.0","118,990.0","127,149.0","135,304.0","143,832.0","149,018.0","156,327.0","162,555.0","175,141.0","187,875.0","201,054.0","214,261.0","228,893.0","243,667.0","260,343.0","269,194.0","286,941.0","301,115.0","314,854.0","329,175.0","335,444.0","....."
"62","42","  Insurance claims included in Census total revenue","W728RC1","440.0","462.0","457.0","428.0","407.0","420.0","423.0","378.0","339.0","365.0","458.0","554.0","620.0","717.0","838.0","998.0","1,222.0","1,345.0","1,373.0","1,338.0","1,321.0","1,258.0","1,084.0","1,112.0","1,099.0","1,029.0","1,118.0","1,159.0","1,113.0","1,177.0","1,300.0","1,310.0","1,746.0","1,864.0","1,587.0","-511.0","-3,460.0","-1,405.0","1,528.0","1,954.0","1,958.0","1,577.0","1,807.0","689.0","....."
"63","43","  Employer contributions to own social insurance funds","L319381","-31.0","-33.0","-40.0","-43.0","-45.0","-54.0","-44.0","-74.0","-117.0","-142.0","-208.0","-233.0","-233.0","-248.0","-236.0","-206.0","-202.0","-293.0","-246.0","-236.0","-305.0","-317.0","-387.0","-631.0","-744.0","-858.0","-1,036.0","-698.0","-765.0","-759.0","-812.0","-751.0","-716.0","-737.0","-768.0","-871.0","-824.0","-895.0","-785.0","-612.0","-667.0","-612.0","-625.0","-647.0","....."
"64","44","Plus: Timing and other differences \10\","L319391","243.0","291.0","985.0","-1,401.0","885.0","2,586.0","-507.0","-1,047.0","-2,747.0","-2,753.0","-1,852.0","-4,094.0","-3,786.0","-3,031.0","-3,074.0","-5,009.0","-7,355.0","-5,296.0","-7,956.0","-6,400.0","-6,151.0","-6,949.0","-1,501.0","-3,196.0","2,498.0","4,199.0","409.0","5,940.0","3,309.0","-199.0","-119.0","8,317.0","10,413.0","12,692.0","12,436.0","-11,715.0","-6,983.0","-11,624.0","-7,855.0","-11,203.0","-19,499.0","-9,675.0","-33,216.0","-36,534.0","....."
"65","45","Equals: State and local government current expenditures, NIPAs","L319401","93,955.0","107,669.0","124,696.0","140,865.0","155,540.0","172,048.0","199,616.0","221,964.0","238,380.0","260,717.0","283,653.0","313,277.0","347,316.0","377,585.0","409,433.0","437,577.0","474,117.0","517,427.0","555,272.0","591,190.0","641,292.0","703,413.0","768,635.0","840,686.0","896,158.0","936,419.0","991,377.0","1,027,013.0","1,061,883.0","1,107,458.0","1,168,739.0","1,252,272.0","1,356,954.0","1,461,724.0","1,558,531.0","1,637,218.0","1,727,663.0","1,810,378.0","1,916,379.0","2,017,560.0","2,133,780.0","2,223,564.0","2,247,853.0","2,260,169.0","....."
"66",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","46","Census total revenue less Census total expenditures (1-25)","L319411","553.0","2,054.0","-4,676.0","302.0","12,384.0","11,884.0","-5,202.0","-942.0","13,316.0","24,821.0","23,067.0","17,464.0","19,680.0","22,902.0","26,461.0","51,775.0","62,174.0","65,920.0","67,257.0","57,268.0","62,939.0","56,175.0","17,592.0","33,206.0","57,025.0","67,153.0","66,487.0","115,999.0","154,022.0","191,581.0","168,182.0","195,385.0","-8,259.0","-244,945.0","-116,839.0","167,508.0","160,230.0","239,887.0","403,420.0","-218,680.0","-890,821.0","64,851.0","281,028.0","-118,148.0","....."
"68","47","Plus: Net investment (33)","L319421","18,000.0","18,464.0","20,316.0","20,552.0","20,191.0","20,908.0","23,636.0","24,270.0","21,711.0","20,146.0","26,243.0","32,040.0","32,141.0","27,364.0","26,152.0","28,180.0","35,599.0","43,235.0","47,903.0","49,717.0","54,892.0","61,882.0","66,210.0","68,655.0","64,936.0","62,480.0","70,813.0","73,414.0","85,156.0","89,877.0","99,896.0","112,143.0","121,911.0","137,404.0","138,289.0","139,266.0","135,523.0","142,549.0","155,169.0","166,205.0","168,560.0","161,382.0","136,741.0","122,356.0","....."
"69","48","Less: Net capital transfers received (10)","L319431","6,550.0","6,107.0","5,999.0","6,446.0","7,147.0","7,890.0","9,054.0","10,853.0","12,161.0","12,786.0","14,016.0","16,854.0","18,104.0","16,263.0","16,614.0","17,720.0","19,561.0","21,835.0","21,328.0","21,195.0","22,101.0","22,792.0","24,571.0","24,924.0","25,881.0","28,235.0","30,832.0","31,708.0","33,199.0","33,692.0","36,466.0","41,458.0","45,432.0","52,278.0","49,706.0","52,425.0","58,146.0","59,500.0","56,008.0","59,984.0","60,775.0","70,502.0","75,808.0","72,482.0","....."
"70","49","Less: State and local employee retirement plans (3-27)","L319441","10,244.0","11,620.0","13,283.0","16,205.0","17,655.0","18,080.0","21,739.0","23,364.0","21,644.0","27,258.0","30,474.0","33,433.0","37,675.0","40,873.0","49,991.0","51,921.0","57,392.0","72,039.0","79,429.0","74,272.0","82,729.0","99,908.0","89,640.0","117,744.0","130,802.0","126,132.0","135,402.0","172,350.0","197,753.0","227,248.0","216,755.0","239,889.0","63,801.0","-60,579.0","108,894.0","370,230.0","315,480.0","339,572.0","517,494.0","-38,968.0","-547,774.0","446,830.0","566,773.0","177,601.0","....."
"71","50","Less: Other coverage differences (8+9+11+12+13+14+15-32-34-35-36-37-38)","L319451","-896.0","-1,525.0","-4,761.0","-4,973.0","-3,282.0","-1,901.0","-8,967.0","-7,633.0","-4,579.0","-5,751.0","-3,704.0","-6,474.0","-6,943.0","-6,067.0","-5,170.0","2,285.0","4,100.0","3,479.0","5,146.0","5,604.0","7,554.0","1,691.0","-4,961.0","-4,430.0","3,928.0","4,387.0","3,320.0","4,828.0","14,371.0","12,461.0","6,715.0","8,439.0","8,509.0","-3,280.0","-10,284.0","5,712.0","22,202.0","38,162.0","36,349.0","25,255.0","13,095.0","-20,284.0","1,976.0","29,475.0","....."
"72","51","Less: Timing and other differences (44-21)","L319461","-607.0","-569.0","1,345.0","-1,320.0","1,147.0","2,203.0","-170.0","-561.0","489.0","-2,644.0","-1,306.0","-2,542.0","-2,439.0","-917.0","-1,185.0","-8,759.0","-736.0","-7,621.0","-11,216.0","-11,265.0","-8,936.0","-6,456.0","-6,357.0","-4,488.0","3,951.0","801.0","-3,116.0","1,271.0","-376.0","-2,233.0","-6,654.0","1,654.0","15,099.0","5,909.0","19,801.0","-15,996.0","-19,824.0","-14,496.0","1,929.0","11,711.0","-6,573.0","561.0","-21,670.0","-42,446.0","....."
"73","52","Equals: State and local government net saving, national income and product accounts (24-45)","L319471","3,262.0","4,885.0","-226.0","4,496.0","9,908.0","6,520.0","-3,222.0","-2,695.0","5,312.0","13,318.0","9,830.0","8,233.0","5,424.0","114.0","-7,637.0","16,788.0","17,456.0","19,423.0","20,473.0","17,179.0","14,383.0","122.0","-19,091.0","-31,889.0","-42,601.0","-29,922.0","-29,138.0","-20,744.0","-5,769.0","10,290.0","14,796.0","16,088.0","-19,189.0","-101,869.0","-146,667.0","-105,597.0","-80,251.0","-40,302.0","-53,191.0","-110,457.0","-241,784.0","-271,376.0","-205,118.0","-232,904.0","....."
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","on behalf of households, which are the effective owners.  Pensions plans are classified as financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corporations that receive contributions and property income on behalf of plan participants but do not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","have saving or net worth of their own.  Table 7.23 shows the transactions of the state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. Consists of employee and employer contributions, except general government employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","own retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","6. Consists of Census Bureau data on revenue received from the federal government, less NIPA federal grants,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","federal capital grants, federal subsidies, and research and development sales to the federal government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","7. Consists of estate and gift taxes, federal investment grants, and disaster-related insurance benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","8. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","9. Consists of current-account sales by general government that are classified as revenues in Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","data and as reductions to current expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","10. Includes timing differences that arise from restating the Census Bureau data to a year ending June 30.  Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Bureau measures of state and local government revenue and expenditures (lines 1 and 25) primarily represent a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","fiscal year ending June 30, but some governments use other fiscal years.  The NIPA measures shown in this table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","are for the fiscal year ending June 30, and are consistent with the not seasonally adjusted estimates in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","11. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
