"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"43","24","Interest payments \1\","A180RC1","31,911.0","33,108.0","34,486.0","36,598.0","38,714.0","40,376.0","42,120.0","42,882.0","43,538.0","43,939.0","45,015.0","46,084.0","47,083.0","48,151.0","49,196.0","50,453.0","52,666.0","54,598.0","56,474.0","58,088.0","59,452.0","61,240.0","63,370.0","64,723.0","66,276.0","68,092.0","70,088.0","72,321.0","74,136.0","75,469.0","77,045.0","79,143.0","80,513.0","82,743.0","85,253.0","89,396.0","94,228.0","98,009.0","102,171.0","106,069.0","110,192.0","113,123.0","116,086.0","120,349.0","126,898.0","132,450.0","133,944.0","139,246.0","153,729.0","158,252.0","165,540.0","173,354.0","178,987.0","184,388.0","190,743.0","193,325.0","196,617.0","202,180.0","210,203.0","216,876.0","224,649.0","231,105.0","242,397.0","249,884.0","253,766.0","259,771.0","262,367.0","268,098.0","273,018.0","275,781.0","277,060.0","278,247.0","280,284.0","282,657.0","286,781.0","293,647.0","297,666.0","298,683.0","304,182.0","311,428.0","323,609.0","331,579.0","334,700.0","337,988.0","342,155.0","346,325.0","354,757.0","360,234.0","365,551.0","370,717.0","372,881.0","378,483.0","378,822.0","381,587.0","381,970.0","379,729.0","384,080.0","384,376.0","384,350.0","381,890.0","380,010.0","387,589.0","395,850.0","406,968.0","420,184.0","429,154.0","432,899.0","433,548.0","433,180.0","429,700.0","432,727.0","433,749.0","433,962.0","436,128.0","437,108.0","436,089.0","432,718.0","429,479.0","426,336.0","419,474.0","412,731.0","411,682.0","407,432.0","408,024.0","407,035.0","406,629.0","404,533.0","405,118.0","405,709.0","399,994.0","393,949.0","387,035.0","377,224.0","385,962.0","388,374.0","396,601.0","400,663.0","406,836.0","410,222.0","413,581.0","413,616.0","410,370.0","418,652.0","423,606.0","430,677.0","452,849.0","455,706.0","485,654.0","472,244.0","494,790.0","511,373.0","491,372.0","514,032.0","552,834.0","533,005.0","519,155.0","515,718.0","520,152.0","542,150.0","481,964.0","476,157.0","560,470.0","570,084.0","562,783.0","553,907.0","577,833.0","573,036.0","586,043.0","597,497.0","645,186.0","611,868.0","610,947.0","612,986.0","660,405.0","602,770.0","645,375.0","592,247.0","641,600.0","624,611.0","612,292.0","618,608.0","671,914.0","641,795.0","612,048.0"
"44","25","  To persons and business \1\","A204RC1","31,159.0","32,344.0","33,702.0","35,790.0","37,966.0","39,476.0","41,112.0","41,742.0","42,334.0","42,459.0","43,067.0","43,708.0","44,747.0","45,763.0","46,592.0","47,577.0","49,498.0","50,950.0","52,622.0","54,152.0","55,756.0","57,236.0","59,234.0","60,371.0","61,768.0","63,896.0","65,728.0","68,053.0","70,096.0","71,397.0","72,625.0","74,595.0","76,009.0","77,939.0","79,997.0","83,012.0","86,848.0","90,097.0","94,067.0","96,533.0","99,660.0","102,799.0","105,662.0","109,401.0","115,354.0","121,406.0","122,568.0","125,746.0","138,529.0","141,812.0","148,868.0","156,562.0","161,315.0","167,248.0","172,227.0","174,689.0","178,705.0","184,336.0","192,195.0","198,400.0","205,817.0","211,745.0","221,765.0","228,040.0","231,734.0","237,819.0","240,071.0","245,762.0","249,554.0","252,681.0","253,568.0","254,927.0","256,220.0","258,501.0","263,289.0","268,943.0","271,510.0","270,527.0","274,294.0","280,608.0","290,005.0","297,335.0","299,472.0","302,900.0","306,703.0","310,577.0","318,601.0","323,326.0","328,499.0","334,521.0","336,653.0","343,683.0","344,446.0","347,215.0","347,662.0","345,697.0","350,108.0","350,544.0","349,694.0","347,694.0","345,950.0","352,817.0","359,606.0","366,624.0","379,552.0","383,186.0","382,951.0","381,748.0","379,780.0","374,668.0","376,243.0","371,609.0","367,946.0","367,168.0","366,080.0","363,325.0","360,358.0","356,683.0","354,540.0","348,090.0","342,907.0","344,114.0","342,004.0","343,856.0","343,071.0","341,009.0","340,329.0","341,366.0","343,881.0","340,702.0","339,265.0","334,503.0","327,120.0","336,850.0","339,838.0","347,085.0","352,111.0","360,536.0","362,938.0","366,017.0","364,364.0","355,898.0","362,116.0","364,598.0","367,445.0","386,505.0","387,074.0","411,894.0","393,604.0","409,622.0","423,829.0","399,232.0","417,344.0","451,678.0","434,409.0","419,427.0","414,458.0","418,822.0","444,326.0","382,194.0","378,264.0","469,362.0","481,977.0","474,349.0","463,424.0","485,388.0","476,001.0","486,418.0","497,942.0","545,079.0","510,842.0","511,511.0","516,059.0","564,916.0","503,221.0","542,501.0","486,004.0","534,377.0","517,196.0","503,033.0","507,123.0","561,350.0","528,959.0","....."
"45","26","  To the rest of the world","Y712RC1","752.0","764.0","784.0","808.0","748.0","900.0","1,008.0","1,140.0","1,204.0","1,480.0","1,948.0","2,376.0","2,336.0","2,388.0","2,604.0","2,876.0","3,168.0","3,648.0","3,852.0","3,936.0","3,696.0","4,004.0","4,136.0","4,352.0","4,508.0","4,196.0","4,360.0","4,268.0","4,040.0","4,072.0","4,420.0","4,548.0","4,504.0","4,804.0","5,256.0","6,384.0","7,380.0","7,912.0","8,104.0","9,536.0","10,532.0","10,324.0","10,424.0","10,948.0","11,544.0","11,044.0","11,376.0","13,500.0","15,200.0","16,440.0","16,672.0","16,792.0","17,672.0","17,140.0","18,516.0","18,636.0","17,912.0","17,844.0","18,008.0","18,476.0","18,832.0","19,360.0","20,632.0","21,844.0","22,032.0","21,952.0","22,296.0","22,336.0","23,464.0","23,100.0","23,492.0","23,320.0","24,064.0","24,156.0","23,492.0","24,704.0","26,156.0","28,156.0","29,888.0","30,820.0","33,604.0","34,244.0","35,228.0","35,088.0","35,452.0","35,748.0","36,156.0","36,908.0","37,052.0","36,196.0","36,228.0","34,800.0","34,376.0","34,372.0","34,308.0","34,032.0","33,972.0","33,832.0","34,656.0","34,196.0","34,060.0","34,772.0","36,244.0","40,344.0","40,632.0","45,968.0","49,948.0","51,800.0","53,400.0","55,032.0","56,484.0","62,140.0","66,016.0","68,960.0","71,028.0","72,764.0","72,360.0","72,796.0","71,796.0","71,384.0","69,823.0","67,567.0","65,427.0","64,170.0","63,963.0","65,621.0","64,204.0","63,752.0","61,830.0","59,294.0","54,683.0","52,534.0","50,103.0","49,112.0","48,537.0","49,516.0","48,551.0","46,297.0","47,293.0","47,563.0","49,252.0","54,472.0","56,534.0","59,006.0","63,231.0","66,344.0","68,635.0","73,759.0","78,640.0","85,165.0","87,545.0","92,140.0","96,686.0","101,156.0","98,598.0","99,727.0","101,259.0","101,329.0","97,822.0","99,767.0","97,893.0","91,108.0","88,108.0","88,434.0","90,482.0","92,447.0","97,035.0","99,622.0","99,554.0","100,109.0","101,025.0","99,436.0","96,929.0","95,490.0","99,553.0","102,873.0","106,242.0","107,225.0","107,417.0","109,262.0","111,488.0","110,567.0","112,837.0","....."
"46","27","Subsidies \2\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,954.0","27,389.0","27,095.0","27,274.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,971.0","57,080.0","46,951.0","47,230.0","44,722.0","43,655.0","45,120.0","52,049.0","56,543.0","60,700.0","62,108.0","64,288.0","55,720.0","51,544.0","49,929.0","48,675.0","49,528.0","58,180.0","55,938.0","54,692.0","51,865.0","51,646.0","52,056.0","54,663.0","55,247.0","55,417.0","67,054.0","55,674.0","54,866.0","55,485.0","56,196.0","56,897.0","58,552.0","59,919.0","60,995.0","60,794.0","57,897.0","58,002.0","56,807.0","59,422.0","60,031.0","61,147.0","60,581.0","58,891.0","57,662.0","57,454.0","57,405.0","56,733.0"
"47","28","    Net government saving","A922RC1","5,915.0","2,407.0","-4,078.0","-8,253.0","-17,953.0","-28,904.0","-36,546.0","-43,798.0","-45,548.0","-51,884.0","-51,506.0","-52,023.0","-43,291.0","-40,187.0","-38,095.0","-40,297.0","-27,607.0","-31,004.0","-27,873.0","-25,704.0","-29,921.0","-34,031.0","-33,366.0","-55,998.0","-82,651.0","-138,352.0","-94,263.0","-94,902.0","-80,905.0","-74,358.0","-77,150.0","-75,809.0","-66,890.0","-59,119.0","-62,288.0","-65,564.0","-66,279.0","-40,797.0","-42,406.0","-36,042.0","-30,958.0","-31,454.0","-35,554.0","-47,311.0","-56,644.0","-85,439.0","-96,095.0","-85,313.0","-63,411.0","-70,984.0","-78,290.0","-114,031.0","-136,660.0","-143,475.0","-181,418.0","-217,359.0","-217,716.0","-201,606.0","-211,120.0","-184,486.0","-160,640.0","-165,339.0","-177,104.0","-182,570.0","-145,175.0","-195,332.0","-176,581.0","-184,325.0","-175,898.0","-204,742.0","-207,667.0","-180,612.0","-187,670.0","-122,035.0","-141,826.0","-152,843.0","-149,439.0","-142,410.0","-129,971.0","-139,601.0","-117,799.0","-144,594.0","-156,325.0","-178,151.0","-192,772.0","-205,102.0","-204,647.0","-226,967.0","-204,987.0","-269,100.0","-292,329.0","-318,798.0","-356,133.0","-367,408.0","-387,043.0","-370,081.0","-388,582.0","-346,451.0","-356,432.0","-304,643.0","-296,018.0","-266,426.0","-274,874.0","-285,284.0","-283,472.0","-286,076.0","-277,159.0","-242,836.0","-238,912.0","-196,766.0","-179,936.0","-148,225.0","-125,528.0","-105,060.0","-62,247.0","-65,111.0","-8,683.0","2,226.0","35,903.0","43,041.0","59,629.0","66,674.0","80,269.0","96,899.0","198,196.0","168,574.0","160,239.0","138,670.0","105,299.0","39,251.0","-206,693.0","-141,198.0","-345,324.0","-389,793.0","-392,992.0","-437,539.0","-488,246.0","-538,554.0","-579,506.0","-490,834.0","-556,221.0","-524,763.0","-482,259.0","-467,092.0","-379,503.0","-380,699.0","-377,738.0","-347,405.0","-269,015.0","-265,621.0","-283,698.0","-247,416.0","-279,844.0","-307,322.0","-361,777.0","-404,569.0","-526,293.0","-901,377.0","-846,860.0","-921,655.0","-1,307,233.0","-1,601,401.0","-1,626,523.0","-1,547,877.0","-1,612,232.0","-1,601,317.0","-1,540,794.0","-1,509,705.0","-1,451,519.0","-1,513,631.0","-1,458,085.0","-1,417,020.0","-1,308,329.0","-1,336,080.0","-1,336,190.0","-1,266,179.0","-964,152.0","-782,331.0","-979,683.0","-770,911.0","-801,005.0","-825,687.0","-838,866.0","....."
"48","29","Social insurance funds","A221RC1","5,262.0","5,625.0","6,144.0","6,393.0","6,731.0","-1,226.0","626.0","-1,567.0","1,494.0","-4,836.0","-3,812.0","-3,958.0","397.0","1,071.0","2,212.0","-5,204.0","6,487.0","6,123.0","6,139.0","5,999.0","9,520.0","4,451.0","2,162.0","-1,785.0","-8,703.0","-14,517.0","-20,790.0","-19,246.0","-14,661.0","-12,248.0","-17,133.0","-17,638.0","-13,894.0","-11,327.0","-13,896.0","-13,171.0","-4,401.0","-113.0","-4,855.0","-3,467.0","6,458.0","6,034.0","-2,634.0","-2,942.0","-1,114.0","-7,217.0","-26,471.0","-23,018.0","-6,294.0","-5,308.0","-19,065.0","-21,229.0","-18,027.0","-24,887.0","-38,254.0","-51,432.0","-41,140.0","-43,571.0","-32,815.0","-29,054.0","-12,182.0","-8,594.0","-4,457.0","-6,499.0","-1,418.0","1,450.0","2,037.0","6,703.0","7,656.0","7,107.0","5,934.0","9,363.0","12,585.0","12,968.0","17,209.0","23,842.0","33,103.0","40,326.0","44,053.0","48,814.0","43,838.0","44,570.0","44,659.0","46,825.0","45,260.0","44,833.0","47,109.0","40,230.0","30,935.0","26,266.0","28,469.0","22,398.0","10,416.0","6,365.0","8,610.0","8,625.0","2,176.0","6,743.0","7,736.0","11,445.0","15,060.0","19,546.0","21,603.0","23,755.0","20,810.0","18,440.0","19,530.0","19,892.0","10,252.0","13,726.0","18,175.0","20,775.0","20,450.0","24,960.0","32,465.0","42,585.0","46,507.0","55,714.0","63,382.0","74,293.0","84,911.0","89,330.0","95,711.0","107,032.0","120,036.0","108,889.0","118,798.0","117,325.0","110,341.0","99,217.0","82,022.0","71,400.0","65,001.0","48,435.0","46,860.0","44,228.0","42,639.0","37,964.0","39,591.0","44,115.0","48,801.0","58,206.0","66,285.0","60,671.0","53,399.0","51,675.0","58,905.0","58,759.0","21,241.0","16,051.0","11,679.0","16,610.0","12,736.0","981.0","-9,000.0","-10,275.0","-19,699.0","-33,560.0","-65,059.0","-94,458.0","-199,711.0","-242,312.0","-274,171.0","-287,654.0","-299,015.0","-284,953.0","-282,104.0","-284,865.0","-261,125.0","-265,332.0","-260,725.0","-279,003.0","-282,161.0","-285,878.0","-289,841.0","-275,829.0","-290,199.0","-277,870.0","-281,801.0","-281,741.0","-263,239.0","-266,044.0","-265,955.0","-262,795.0"
"49","30","Other","A391RC1","653.0","-3,218.0","-10,222.0","-14,646.0","-24,683.0","-27,677.0","-37,174.0","-42,231.0","-47,043.0","-47,049.0","-47,694.0","-48,065.0","-43,688.0","-41,259.0","-40,307.0","-35,093.0","-34,093.0","-37,127.0","-34,012.0","-31,703.0","-39,441.0","-38,481.0","-35,528.0","-54,213.0","-73,948.0","-123,835.0","-73,473.0","-75,655.0","-66,244.0","-62,110.0","-60,017.0","-58,171.0","-52,996.0","-47,792.0","-48,392.0","-52,393.0","-61,878.0","-40,684.0","-37,550.0","-32,574.0","-37,416.0","-37,488.0","-32,920.0","-44,368.0","-55,530.0","-78,223.0","-69,625.0","-62,295.0","-57,117.0","-65,675.0","-59,224.0","-92,803.0","-118,634.0","-118,586.0","-143,164.0","-165,928.0","-176,576.0","-158,035.0","-178,305.0","-155,432.0","-148,458.0","-156,745.0","-172,648.0","-176,071.0","-143,756.0","-196,782.0","-178,618.0","-191,029.0","-183,555.0","-211,850.0","-213,601.0","-189,975.0","-200,254.0","-135,002.0","-159,034.0","-176,684.0","-182,542.0","-182,738.0","-174,024.0","-188,414.0","-161,637.0","-189,163.0","-200,983.0","-224,974.0","-238,031.0","-249,934.0","-251,755.0","-267,199.0","-235,923.0","-295,365.0","-320,798.0","-341,196.0","-366,550.0","-373,772.0","-395,653.0","-378,707.0","-390,758.0","-353,193.0","-364,168.0","-316,089.0","-311,077.0","-285,972.0","-296,478.0","-309,038.0","-304,282.0","-304,515.0","-296,690.0","-262,728.0","-249,164.0","-210,491.0","-198,111.0","-169,000.0","-145,978.0","-130,020.0","-94,713.0","-107,697.0","-55,190.0","-53,487.0","-27,479.0","-31,252.0","-25,284.0","-22,656.0","-15,443.0","-10,134.0","78,161.0","59,685.0","41,440.0","21,345.0","-5,040.0","-59,966.0","-288,719.0","-212,599.0","-410,324.0","-438,227.0","-439,852.0","-481,766.0","-530,885.0","-576,517.0","-619,097.0","-534,952.0","-605,023.0","-582,968.0","-548,543.0","-527,764.0","-432,902.0","-432,376.0","-436,646.0","-406,164.0","-290,258.0","-281,672.0","-295,376.0","-264,026.0","-292,579.0","-308,300.0","-352,776.0","-394,295.0","-506,595.0","-867,818.0","-781,801.0","-827,197.0","-1,107,521.0","-1,359,088.0","-1,352,353.0","-1,260,224.0","-1,313,216.0","-1,316,365.0","-1,258,690.0","-1,224,838.0","-1,190,393.0","-1,248,300.0","-1,197,362.0","-1,138,017.0","-1,026,169.0","-1,050,203.0","-1,046,351.0","-990,349.0","-673,951.0","-504,463.0","-697,883.0","-489,171.0","-537,768.0","-559,642.0","-572,912.0","....."
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","31","  Total receipts","W066RC1","281,647.0","287,364.0","287,899.0","291,680.0","288,570.0","291,749.0","290,336.0","291,115.0","299,156.0","305,157.0","309,239.0","318,179.0","342,005.0","347,637.0","353,566.0","365,581.0","384,915.0","390,051.0","396,817.0","408,784.0","418,126.0","432,877.0","448,576.0","445,608.0","441,083.0","412,668.0","461,977.0","473,831.0","495,314.0","506,267.0","517,936.0","529,450.0","556,334.0","569,395.0","581,053.0","596,966.0","609,984.0","647,452.0","664,164.0","688,772.0","710,906.0","725,608.0","745,814.0","762,110.0","784,780.0","782,273.0","812,084.0","850,657.0","904,776.0","919,533.0","945,506.0","939,415.0","940,818.0","952,986.0","950,083.0","956,171.0","968,913.0","1,008,631.0","1,016,825.0","1,043,274.0","1,092,101.0","1,115,338.0","1,128,157.0","1,153,624.0","1,218,344.0","1,190,685.0","1,238,372.0","1,252,327.0","1,279,698.0","1,281,108.0","1,304,905.0","1,341,119.0","1,348,619.0","1,435,726.0","1,428,772.0","1,451,305.0","1,478,297.0","1,496,367.0","1,529,548.0","1,562,432.0","1,622,482.0","1,635,080.0","1,649,733.0","1,661,557.0","1,691,019.0","1,716,417.0","1,740,329.0","1,758,815.0","1,751,676.0","1,762,791.0","1,785,455.0","1,806,632.0","1,823,854.0","1,851,471.0","1,864,761.0","1,906,922.0","1,897,097.0","1,954,618.0","1,973,876.0","2,045,388.0","2,052,255.0","2,107,341.0","2,132,478.0","2,164,668.0","2,200,312.0","2,224,841.0","2,250,610.0","2,277,375.0","2,328,299.0","2,396,481.0","2,417,997.0","2,478,710.0","2,516,524.0","2,560,395.0","2,618,053.0","2,650,235.0","2,698,717.0","2,738,138.0","2,784,516.0","2,835,007.0","2,871,926.0","2,905,369.0","2,956,126.0","3,026,885.0","3,129,800.0","3,164,293.0","3,178,483.0","3,202,544.0","3,240,216.0","3,235,565.0","3,025,823.0","3,120,802.0","2,980,674.0","2,980,279.0","3,012,785.0","3,024,962.0","3,037,942.0","3,055,184.0","3,033,130.0","3,156,927.0","3,183,977.0","3,248,159.0","3,342,494.0","3,406,711.0","3,598,490.0","3,646,037.0","3,725,425.0","3,813,610.0","3,957,331.0","4,016,134.0","4,063,012.0","4,102,577.0","4,210,905.0","4,244,356.0","4,229,644.0","4,250,757.0","4,212,259.0","4,017,751.0","4,087,020.0","3,985,432.0","3,692,735.0","3,677,062.0","3,705,231.0","3,780,497.0","3,802,302.0","3,856,645.0","3,952,574.0","4,007,305.0","4,069,172.0","4,085,878.0","4,089,439.0","4,123,300.0","4,275,753.0","4,309,826.0","4,295,021.0","4,409,862.0","4,673,310.0","4,921,431.0","4,743,039.0","4,921,307.0","4,956,440.0","4,991,923.0","5,072,566.0","....."
"52","32","    Current receipts","W021RC1","277,085.0","282,564.0","283,350.0","287,091.0","283,802.0","286,965.0","285,660.0","286,287.0","294,202.0","300,122.0","303,789.0","310,430.0","334,268.0","341,613.0","347,131.0","358,561.0","377,659.0","383,935.0","390,505.0","402,064.0","411,406.0","426,469.0","442,412.0","439,708.0","435,135.0","406,203.0","455,260.0","467,169.0","488,508.0","499,202.0","510,763.0","521,550.0","542,172.0","561,521.0","573,400.0","589,551.0","602,816.0","640,356.0","656,968.0","681,476.0","703,458.0","718,296.0","738,350.0","754,170.0","776,612.0","773,557.0","802,788.0","841,725.0","896,124.0","910,409.0","935,998.0","929,651.0","929,342.0","942,650.0","940,079.0","947,575.0","960,629.0","1,000,199.0","1,007,941.0","1,035,714.0","1,083,393.0","1,107,126.0","1,119,965.0","1,145,296.0","1,209,438.0","1,182,092.0","1,229,010.0","1,243,452.0","1,270,192.0","1,271,150.0","1,294,423.0","1,330,989.0","1,337,905.0","1,425,155.0","1,417,854.0","1,441,204.0","1,467,713.0","1,485,983.0","1,517,846.0","1,550,646.0","1,610,933.0","1,622,493.0","1,637,392.0","1,648,294.0","1,677,420.0","1,697,687.0","1,724,763.0","1,743,690.0","1,736,149.0","1,747,826.0","1,768,974.0","1,791,217.0","1,808,113.0","1,836,510.0","1,848,728.0","1,890,477.0","1,880,559.0","1,937,309.0","1,956,318.0","2,026,245.0","2,031,874.0","2,086,036.0","2,112,843.0","2,145,077.0","2,180,991.0","2,205,786.0","2,230,006.0","2,256,199.0","2,306,744.0","2,373,513.0","2,393,862.0","2,454,928.0","2,490,845.0","2,534,071.0","2,590,538.0","2,621,857.0","2,668,137.0","2,706,011.0","2,751,697.0","2,800,961.0","2,836,628.0","2,868,747.0","2,919,776.0","2,988,335.0","3,093,852.0","3,128,378.0","3,143,099.0","3,167,231.0","3,204,066.0","3,197,719.0","2,984,783.0","3,086,150.0","2,946,110.0","2,947,651.0","2,979,117.0","2,995,226.0","3,009,014.0","3,028,568.0","3,006,546.0","3,127,191.0","3,154,717.0","3,218,283.0","3,310,226.0","3,377,083.0","3,568,258.0","3,616,481.0","3,686,821.0","3,782,582.0","3,920,615.0","3,984,378.0","4,030,832.0","4,071,517.0","4,181,405.0","4,212,816.0","4,198,716.0","4,216,689.0","4,179,495.0","3,981,751.0","4,054,596.0","3,951,168.0","3,664,907.0","3,651,210.0","3,681,379.0","3,758,361.0","3,780,522.0","3,836,241.0","3,933,234.0","3,989,929.0","4,054,168.0","4,071,514.0","4,075,479.0","4,109,112.0","4,259,205.0","4,291,978.0","4,275,289.0","4,377,354.0","4,648,790.0","4,896,023.0","4,715,615.0","4,894,059.0","4,929,492.0","4,965,583.0","5,046,726.0","....."
"53","33","    Capital transfer receipts","W067RC1","4,562.0","4,800.0","4,549.0","4,589.0","4,768.0","4,784.0","4,676.0","4,828.0","4,954.0","5,035.0","5,450.0","7,749.0","7,737.0","6,024.0","6,435.0","7,020.0","7,256.0","6,116.0","6,312.0","6,720.0","6,720.0","6,408.0","6,164.0","5,900.0","5,948.0","6,465.0","6,717.0","6,662.0","6,806.0","7,065.0","7,173.0","7,900.0","14,162.0","7,874.0","7,653.0","7,415.0","7,168.0","7,096.0","7,196.0","7,296.0","7,448.0","7,312.0","7,464.0","7,940.0","8,168.0","8,716.0","9,296.0","8,932.0","8,652.0","9,124.0","9,508.0","9,764.0","11,476.0","10,336.0","10,004.0","8,596.0","8,284.0","8,432.0","8,884.0","7,560.0","8,708.0","8,212.0","8,192.0","8,328.0","8,906.0","8,593.0","9,362.0","8,875.0","9,506.0","9,958.0","10,482.0","10,130.0","10,714.0","10,571.0","10,918.0","10,101.0","10,584.0","10,384.0","11,702.0","11,786.0","11,549.0","12,587.0","12,341.0","13,263.0","13,599.0","18,730.0","15,566.0","15,125.0","15,527.0","14,965.0","16,481.0","15,415.0","15,741.0","14,961.0","16,033.0","16,445.0","16,538.0","17,309.0","17,558.0","19,143.0","20,381.0","21,305.0","19,635.0","19,591.0","19,321.0","19,055.0","20,604.0","21,176.0","21,555.0","22,968.0","24,135.0","23,782.0","25,679.0","26,324.0","27,515.0","28,378.0","30,580.0","32,127.0","32,819.0","34,046.0","35,298.0","36,622.0","36,350.0","38,550.0","35,948.0","35,915.0","35,384.0","35,313.0","36,150.0","37,846.0","41,040.0","34,652.0","34,564.0","32,628.0","33,668.0","29,736.0","28,928.0","26,616.0","26,584.0","29,736.0","29,260.0","29,876.0","32,268.0","29,628.0","30,232.0","29,556.0","38,604.0","31,028.0","36,716.0","31,756.0","32,180.0","31,060.0","29,500.0","31,540.0","30,928.0","34,068.0","32,764.0","36,000.0","32,424.0","34,264.0","27,828.0","25,852.0","23,852.0","22,136.0","21,780.0","20,404.0","19,340.0","17,376.0","15,004.0","14,364.0","13,960.0","14,188.0","16,548.0","17,848.0","19,732.0","32,508.0","24,520.0","25,408.0","27,424.0","27,248.0","26,948.0","26,340.0","25,840.0","25,248.0"
