"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"81","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-104,176,-744,-196,1232,-324,304,988,136,1692,1596,1880,1840,2512,-1184,2560,-1260,-3024,-2068,960,3256,860,2320,-1148,-812,1524,1520,2616,1944,1728,3056,5492,-1524,3408,-1084,2268,2244,1892,-344,-784,1592,184,2300,800,-1948,1452,2404,-9672,-4617
"82","70","D   Building material and garden equipment and supplies dealers","X4440",372,2264,2536,648,2932,416,3184,2736,1924,1456,2248,4120,1460,4056,2252,-1216,100,604,-148,-548,3140,-52,2380,2616,1040,-532,4908,716,2664,6012,2076,6660,3252,1340,3308,6520,5084,2424,3300,-4080,-880,4652,-1600,2712,2520,-136,5652,-4732,-4726
"83","71","D   Food and beverage stores","X4450",-20,24,1600,-728,1956,2028,120,856,2156,880,3224,2176,-148,-1292,524,324,2616,1572,-28,1376,-1480,-620,1076,-252,436,-1200,1940,-2712,616,2260,276,680,436,564,-2060,2336,1744,1440,1016,-528,400,1728,2188,2228,1672,1948,2068,-588,771
"84","72","D   Clothing and clothing accessories stores","X4480",-1820,3596,1696,1440,1888,1944,1992,-1176,2184,1560,-2936,3972,360,2440,3304,4428,-724,-600,64,-3440,-2936,2832,3376,2376,3132,-1428,496,912,1072,3880,2444,3604,4996,1960,996,-896,3012,3564,2260,7784,652,-1656,-228,-188,-3368,-112,1432,-1832,-2779
"85","73","D   General merchandise stores","X4520",-2964,3140,-1252,1532,1860,564,2700,-1620,2124,784,2456,5452,380,1788,-1304,2280,6536,704,-1664,-5216,-3468,616,4292,4000,-764,-4,2248,2232,5304,3980,1056,7168,7192,504,2124,-460,-3188,-1628,7720,6628,2844,848,-2012,-612,-1912,1620,808,-5780,-8428
"86","74","D     Department stores","X45210",-1468,1856,-1524,1820,168,-708,728,-3268,404,-680,-172,2324,-1628,-312,-2596,620,1700,-1164,-1276,-7032,-5012,-1768,148,600,-2104,-1068,-1196,-2280,1340,396,-1080,1668,4648,-3644,100,-712,-4672,-2368,3568,3640,-172,944,-524,-1924,-1576,-1892,-724,-6460,-3945
"87","75","D     Other general merchandise stores","X45290",-1496,1284,272,-288,1692,1272,1972,1648,1720,1464,2628,3128,2008,2100,1292,1660,4836,1868,-388,1816,1544,2384,4144,3400,1340,1064,3444,4512,3964,3584,2136,5500,2544,4148,2024,252,1484,740,4152,2988,3016,-96,-1488,1312,-336,3512,1532,680,-4483
"88","76","D   Other retail stores","X44X0",2480,4392,5200,2132,9792,5012,2052,6788,3036,5508,5164,8336,1860,3416,2896,5904,-3548,-1292,1540,-3024,-188,4728,2532,-4636,5296,-4880,2712,3108,2496,3800,4912,7748,2968,3968,5160,48,7416,6516,2696,4584,3344,6420,2652,7868,952,4488,228,-10512,-7132
"89","77","D Other industries","XOTH0",7544,3364,3068,5468,1916,4716,4840,7924,6504,9512,8136,6228,14948,14700,17876,6076,3024,192,-1868,-4332,-4316,1208,-1676,-1656,584,3084,1740,1376,6168,5856,7200,8336,4184,3616,3812,3468,4508,10268,6048,4404,8540,7040,3900,8288,6476,3528,3312,-2024,-3516
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
