"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"77","70","      Other delivery services (by non-USPS facilities)","DODSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.715,9.898,10.007,10.2,10.376,10.6,10.831,11.163,11.47,12.05,12.575
"78","71","    Telecommunication services","DTCSRG3",35.564,35.819,35.953,36.019,35.845,35.338,35.13,34.936,34.464,34.464,34.417,34.482,34.658,36.566,37.743,38.847,39.494,39.493,40.103,42.155,43.962,47.311,48.299,50.096,51.851,51.04,50.477,51.111,52.099,53.648,54.903,55.769,55.96,55.955,55.971,56.048,55.253,54.037,54.751,54.755,55.476
"79","72","    Internet access","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","  Recreation","DRRLRG3",29.257,27.151,24.242,21.942,20.917,21.677,21.992,22.076,23.171,22.992,22.526,22.915,23.379,25.734,27.397,30.171,31.277,32.629,36.024,38.305,39.134,39.234,40.681,41.229,41.714,41.672,42.03,42.786,44.401,45.808,44.739,45.643,46.226,46.695,47.459,48.3,48.62,49.136,50.24,52.21,54.062
"81","74","    Video and audio equipment, computers, and related services","DVPIRG3",568.999,440.507,317.58,239.637,220.066,235.865,233.146,231.537,237.102,230.249,221.805,223.927,231.121,272.586,277.282,296.899,298.66,303.419,368.379,388.328,407.338,408.227,410.129,388.686,383.75,372.58,360.602,364.582,378.436,388.649,369.797,371.38,367.06,358.568,354.754,350.897,341.347,329.48,326.924,327.924,328.008
"82","75","      Video and audio equipment","DVAARG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.405,504.375,494.658,478.034,470.069,462.805,447.226,427.887,421.446,420.04,419.328
"83","76","      Information processing equipment","DIPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7624.51,7660.675,7656.246,7499.774,7491.451,7493.106,7866.039,8246.648,8519.955,8961.65,9456.924
"84","77","      Services related to video and audio goods and computers","DSVCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.799,23.149,23.279,23.316,23.385,23.382,22.991,22.638,22.977,23.464,23.462
"85","78","    Sports and recreational goods and related services","DODRRG3",28.209,27.217,23.98,19.765,19.705,22.445,23.601,22.757,25.84,23.6,21.831,22.929,22.812,27.297,28.735,33.271,34.673,35.404,38.704,41.761,41.325,40.482,42.879,43.777,43.085,41.984,42.323,42.516,43.414,44.078,45.109,45.927,46.479,47.143,47.674,47.361,47.334,47.903,49.19,51.611,54.244
"86","79","      Sports and recreational vehicles","DWHLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.51,27.117,27.018,27.289,27.645,27.835,27.931,28.365,29.075,30.097,31.324
"87","80","      Other sporting and recreational goods","DORIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.696,57.656,58.531,59.412,60.057,59.481,59.383,60.037,61.678,64.988,68.55
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.113,27.99,27.764,28.092,28.611,29.098,29.429,30.119,30.954,32.131,33.691
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRG3",5.649,5.577,5.337,5.086,4.762,4.782,4.844,4.953,5.13,5.224,5.183,5.246,5.431,5.7,6.157,7.01,7.391,7.779,8.257,8.44,8.587,8.656,8.925,9.13,9.515,9.968,10.369,10.653,11.053,11.472,11.761,12.387,12.886,13.317,13.743,14.316,14.78,15.359,16.043,17.023,18.011
"90","83","      Membership clubs and participant sports centers","DMDFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.902,13.743,14.429,15.05,15.625,16.154,16.153,16.41,16.938,17.562,18.088
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.14,14.541,14.848,15.06,15.364,15.621,15.988,16.545,17.105,17.978,19.161
"92","85","      Admissions to specified spectator amusements","DADMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.751,10.314,10.766,11.169,11.552,12.274,13,13.721,14.512,15.684,16.733
"93","86","        Motion picture theaters","DMOVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,9.151,9.62,10.039,10.409,11.253,12.141,13.073,14.053,15.41,16.668
"94","87","        Live entertainment, excluding sports","DLIGRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.594,9.15,9.614,10.043,10.415,11.276,12.12,13.08,14.047,15.409,16.678
"95","88","        Spectator sports","DSPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.214,13.604,13.858,14.112,14.499,14.756,15.008,15.14,15.476,16.245,16.885
"96","89","      Museums and libraries","DMUSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.602,9.155,9.628,10.042,10.435,11.264,12.142,13.065,14.08,15.421,16.706
"97","90","    Magazines, newspapers, books, and stationery","DNBSRG3",7.715,7.561,7.232,7.053,6.727,6.768,6.748,6.813,7.012,7.186,7.247,7.327,7.345,7.733,8.329,8.714,8.882,9.152,9.961,10.889,11.416,11.687,12.214,12.823,13.245,13.33,13.699,14.056,14.927,15.67,14.574,14.788,14.986,15.204,15.763,16.338,16.8,17.379,18.019,18.982,19.834
"98","91","    Gambling","DGAMRG3",4.877,4.852,4.593,4.376,4.457,4.605,4.691,4.603,4.879,5.209,5.032,4.888,5.424,5.858,6.074,6.549,6.864,8.495,9.967,11.601,11.865,11.385,11.153,12.182,12.822,13.057,13.139,13.469,14.068,14.578,14.979,15.201,15.364,15.545,15.74,15.949,16.197,16.687,17.147,17.879,18.848
"99","92","    Pets, pet products, and related services","DPETRG3",10.062,9.587,8.214,7.115,7.109,7.812,8.297,8.332,8.634,8.198,8.142,8.159,8.71,10.036,11.255,11.484,11.834,13.094,15.129,16.06,15.647,15.855,17.35,17.76,17.68,17.75,17.593,17.867,18.354,19.047,15.257,15.473,15.647,15.89,16.07,16.554,17.107,17.833,18.608,19.986,20.998
"100","93","    Photographic goods and services","DPHORG3",27.906,27.757,26.894,25.594,24.947,25.462,26.019,26.236,27.342,27.879,27.507,28.048,28.028,30.585,31.161,34.509,36.008,37.584,40.687,43.084,43.341,43.192,46.049,46.779,47.526,47.45,47.688,49.216,50.066,51.102,51.917,52.476,53.163,54.004,54.844,58.684,57.826,56.866,56.76,57.275,57.062
"101","94","    Package tours \14\","DXHLRG3",12.763,12.481,12.547,12.474,12.384,12.644,12.45,12.676,12.676,12.073,12.272,12.168,12.594,12.871,13.238,13.768,13.759,13.763,13.739,14.519,14.008,13.861,13.861,13.861,13.556,13.66,13.556,13.665,13.665,13.665,14.138,14.538,14.85,15.059,15.359,15.623,15.992,16.562,17.117,17.974,19.164
"102","95","  Education","DEDURG3",2.278,2.275,2.174,2.116,1.925,1.956,1.943,1.959,2.003,2.017,2.023,2.02,2.107,2.211,2.413,2.569,2.663,2.842,3.09,3.32,3.394,3.466,3.651,3.714,3.786,3.86,3.945,4.126,4.288,4.415,4.568,4.665,4.751,4.852,4.96,5.071,5.25,5.488,5.712,5.975,6.338
"103","96","    Educational books","DEBKRG3",3.571,3.447,3.285,3.154,2.992,2.963,2.963,2.992,3.039,3.087,3.115,3.105,3.144,3.154,3.391,3.486,3.619,3.752,4.055,4.435,4.729,4.796,4.91,5.223,5.452,5.509,5.614,5.689,6.098,6.487,6.592,6.624,6.62,6.485,6.477,6.48,6.797,7.133,7.365,7.745,8.176
"104","97","    Higher education","DHEDRG3",2.012,2.012,1.933,1.836,1.7,1.739,1.719,1.739,1.777,1.797,1.797,1.778,1.836,1.934,2.09,2.227,2.344,2.501,2.656,2.793,2.832,2.891,3.028,3.048,3.067,3.145,3.223,3.341,3.419,3.458,3.632,3.727,3.819,3.965,4.11,4.264,4.449,4.673,4.911,5.209,5.559
"105","98","    Nursery, elementary, and secondary schools","DNEHRG3",1.717,1.675,1.59,1.695,1.442,1.463,1.463,1.463,1.505,1.505,1.505,1.526,1.632,1.717,1.864,2.031,2.136,2.303,2.573,2.862,2.923,3.027,3.252,3.334,3.457,3.539,3.641,3.804,3.966,4.108,4.203,4.311,4.416,4.471,4.522,4.548,4.654,4.834,4.966,5.097,5.413
"106","99","    Commercial and vocational schools \15\","DVEDRG3",4.702,4.834,4.609,4.298,3.983,4.038,4.012,4.049,4.126,4.131,4.183,4.179,4.382,4.646,5.207,5.505,5.427,5.852,6.536,7.011,7.142,7.204,7.629,7.653,7.74,7.788,7.855,8.525,8.988,9.404,9.63,9.728,9.726,9.859,9.988,10.21,10.47,10.872,11.255,11.604,12.085
"107","100","  Food services and accommodations","DFSARG3",6.322,5.933,5.118,4.321,4.179,4.497,4.836,4.844,5.016,4.781,4.684,4.739,5.167,6.039,6.775,7.066,7.302,8.122,9.066,9.479,9.224,9.387,10.092,10.318,10.228,10.343,10.32,10.437,10.781,11.055,11.45,11.759,11.996,12.294,12.559,12.754,13.006,13.508,14.257,15.001,15.899
"108","101","    Food services","DFSERG3",6.372,5.959,5.103,4.282,4.165,4.527,4.892,4.894,5.064,4.806,4.7,4.762,5.213,6.121,6.888,7.19,7.435,8.295,9.282,9.698,9.408,9.567,10.29,10.511,10.395,10.501,10.462,10.571,10.917,11.193,11.6,11.921,12.166,12.481,12.766,12.968,13.225,13.755,14.529,15.288,16.196
"109","102","      Purchased meals and beverages \16\","DPMBRG3",6.297,5.881,5.046,4.235,4.121,4.473,4.83,4.827,4.995,4.747,4.642,4.704,5.086,5.885,6.604,6.886,7.094,8.17,9.162,9.539,9.245,9.351,9.957,10.182,10.142,10.341,10.401,10.573,10.932,11.191,11.604,11.926,12.17,12.485,12.769,12.97,13.225,13.751,14.529,15.288,16.194
"110","103","      Food furnished to employees (including military)","DFOORG3",6.633,6.312,5.269,4.417,4.279,4.725,5.142,5.215,5.393,5.029,4.919,4.975,6.29,8.257,9.425,9.881,10.348,9.82,10.77,11.706,11.458,12.326,14.501,14.695,13.71,12.738,11.484,10.771,10.945,11.453,11.784,12.098,12.36,12.687,12.985,13.203,13.5,14.13,14.847,15.616,16.577
"111","104","    Accommodations \17\","DACCRG3",6.747,6.615,6.26,5.716,5.134,4.837,4.833,4.927,5.163,5.3,5.348,5.282,5.363,5.66,5.897,5.985,6.06,6.198,6.524,6.912,7.212,7.449,7.939,8.285,8.659,8.929,9.167,9.451,9.809,10.074,10.313,10.493,10.627,10.717,10.748,10.87,11.066,11.26,11.768,12.375,13.189
"112","105","  Financial services and insurance","DIFSRG3",7.474,7.301,6.638,5.909,5.636,5.836,6.088,6.363,6.641,6.483,6.435,6.618,6.793,7.256,7.585,7.9,8.2,9.067,9.453,9.947,10.127,10.325,10.452,11.087,12.347,12.791,13.172,13.59,14.045,14.263,15.079,15.739,16.271,16.941,16.96,17.67,18.12,19.212,19.653,21.108,22.995
"113","106","    Financial services","DFNLRG3",9.576,9.328,8.417,7.498,7.09,7.045,7.733,8.154,8.501,8.305,8.209,8.597,8.812,9.251,9.727,10.344,10.58,12.083,13.07,13.709,14.312,14.939,15.505,15.976,18.464,19.174,20.717,22.56,23.074,22.624,24.214,25.6,26.366,27.972,27.829,29.355,29.546,31.808,32.324,34.36,39.027
"114","107","      Financial services furnished without payment","DIMPRG3",9.684,8.982,7.427,5.959,5.43,5.35,6.166,6.685,7.059,6.61,6.502,6.933,7.186,7.679,8.315,9.138,9.54,11.465,12.399,12.936,13.58,14.704,15.49,16.069,19.707,20.536,22.893,25.285,25.642,24.517,26.691,27.997,28.773,29.527,27.221,29.779,31.076,33.682,35.34,35.47,42.317
"115","108","      Financial service charges, fees, and commissions","DOFIRG3",9.772,10.052,10.2,10.551,10.406,10.431,10.767,10.961,11.244,11.666,11.616,11.803,11.852,11.99,11.919,11.999,11.898,12.557,13.588,14.402,14.875,14.541,14.721,14.982,15.251,15.719,15.973,16.893,17.595,18.112,18.835,20.182,20.858,23.319,26.108,26.057,24.826,26.466,25.736,29.526,31.088
"116","109","    Insurance","DINSRG3",4.266,4.181,3.83,3.406,3.269,3.483,3.52,3.658,3.82,3.727,3.709,3.774,3.877,4.181,4.357,4.479,4.694,5.068,5.14,5.421,5.427,5.443,5.418,5.854,6.366,6.584,6.541,6.469,6.739,7.027,7.358,7.599,7.88,8.076,8.126,8.381,8.729,9.136,9.402,10.196,10.676
"117","110","      Life insurance \18\","DLIFRG3",3.936,3.818,3.543,3.11,2.913,3.07,3.11,3.228,3.385,3.267,3.228,3.307,3.425,3.7,3.936,4.172,4.291,4.606,4.802,5.157,5.393,5.668,6.062,6.259,6.574,6.731,6.889,7.203,7.479,7.755,8.125,8.47,8.722,9.017,9.226,9.575,9.818,10.17,10.524,11.133,11.686
"118","111","      Net household insurance \19\","DFINRG3",1.955,1.876,1.776,1.753,1.794,1.859,1.911,1.883,1.96,1.907,1.89,1.928,2.054,2.18,2.346,2.504,2.567,2.675,2.979,3.174,3.269,3.347,3.565,3.784,3.894,4.041,4.12,4.214,4.309,4.436,4.638,4.6,4.661,4.75,5.052,5.562,6.421,7.205,8.028,8.588,9.075
"119","112","      Net health insurance","DHINRG3",4.605,4.656,3.678,3.156,3.491,4.24,4.402,4.832,5.162,5.238,5.278,5.273,5.251,5.8,6.07,5.91,6.576,7.051,6.71,6.514,5.518,5.131,4.227,4.734,5.475,5.972,5.661,5.11,5.375,5.44,5.683,5.822,6.276,6.476,6.267,6.4,6.734,7.099,7.174,8.598,8.83
"120","113","        Medical care and hospitalization \20\","DMINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.371,3.724,4.205,4.439,4.406,4.52,4.772,4.926,4.701,6.819,6.274
"121","114","        Income loss \21\","DIINRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.376,61.992,65.553,64.915,59.467,59.664,62.373,70.205,77.587,74.69,86.91
"122","115","        Workers' compensation \22\","DPWCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.843,10.525,10.635,11.021,10.788,11.131,11.715,11.988,12.159,12.895,14.386
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRG3",4.428,4.505,4.568,4.599,4.579,4.629,4.458,4.392,4.332,4.29,4.387,4.413,4.528,4.654,4.263,4.186,4.179,4.755,4.837,5.606,6.418,6.226,6.411,7.301,7.997,7.991,7.892,7.683,7.993,8.659,9.073,9.319,9.467,9.496,9.579,9.803,10.318,10.872,11.208,11.47,12.207
"124","117","  Other goods and services","DOISRG3",6.681,6.457,6.232,5.893,5.529,5.627,5.629,5.692,5.899,5.876,5.922,6.026,6.328,6.847,7.301,7.878,8.245,8.508,9.31,9.639,9.709,9.789,10.375,10.632,10.958,11.045,11.198,11.53,11.885,12.155,12.104,12.365,12.447,12.565,12.815,13.129,13.429,13.777,14.243,14.859,15.693
"125","118","    Personal care \24\","DPCRRG3",10.171,10.037,9.69,9.114,8.829,8.58,8.538,8.591,9.061,9.207,9.189,9.175,9.567,10.558,11.495,12.443,12.847,13.581,15.344,15.929,15.679,15.54,16.927,16.98,17.247,17.375,17.757,18.409,19.106,19.767,18.172,18.52,18.546,18.761,19.049,19.352,19.635,20.028,20.711,21.591,22.699
"126","119","    Personal items \25\","DPEORG3",23.776,23.332,22.097,19.455,19.899,21.064,20.482,21.118,21.315,20.272,20.431,21.248,23.825,28.815,30.35,34.832,36.44,36.159,38.259,38.226,37.538,36.684,39.204,38.749,38.952,37.91,37.071,37.386,37.108,36.825,36.875,36.853,36.625,36.465,36.742,38.007,37.425,37.043,37.864,38.603,40.686
"127","120","    Social services and religious activities \26\","DSOCRG3",6.192,5.94,5.472,5.124,5.014,5.274,5.359,5.502,5.794,5.685,5.684,5.692,5.88,6.334,6.701,6.948,7.162,7.847,9.056,9.699,9.755,10.108,10.878,10.943,11.163,11.4,11.645,12.088,12.521,12.775,13.114,13.309,13.425,13.561,13.788,13.959,14.273,14.637,15.008,15.634,16.596
"128","121","    Professional and other services","DPRSRG3",2.918,2.824,2.598,2.368,2.225,2.251,2.316,2.385,2.488,2.462,2.479,2.509,2.661,2.818,2.982,3.292,3.534,3.616,4,4.216,4.359,4.485,4.772,5.039,5.258,5.451,5.672,5.962,6.257,6.484,6.65,6.819,6.953,7.076,7.225,7.485,7.759,7.958,8.283,8.611,9.178
"129","122","      Legal services","DGALRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.259,5.414,5.524,5.604,5.72,6.021,6.367,6.557,6.898,7.164,7.775
"130","123","      Accounting and other business services \27\","DPRORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.619,6.79,6.846,6.936,7.024,7.116,7.256,7.455,7.72,8.075,8.485
"131","124","      Labor organization dues","DUNSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.506,13.578,13.642,13.779,13.977,14.25,14.586,14.86,15.261,15.872,16.684
"132","125","      Professional association dues","DAXSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.259,5.415,5.523,5.606,5.717,6.035,6.366,6.559,6.904,7.166,7.776
"133","126","      Funeral and burial services","DFUNRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.874,8.1,8.327,8.55,8.777,8.965,9.077,9.265,9.531,9.908,10.324
"134","127","    Tobacco","DTOBRG3",2.73,2.575,2.622,2.622,2.325,2.403,2.38,2.364,2.426,2.442,2.481,2.551,2.613,2.691,2.863,2.957,3.089,3.191,3.433,3.565,3.643,3.714,3.831,4.002,4.197,4.229,4.267,4.353,4.494,4.58,4.761,4.919,4.959,4.998,5.15,5.272,5.496,5.792,6.009,6.388,6.729
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRG3",12.436,11.506,9.596,7.926,8.124,8.517,8.904,9.252,9.518,9.714,10.421,10.417,10.226,10.137,10.289,10.898,13.556,14.215,13.883,14.838,15.231,15.089,14.749,14.548,15.577,16.149,16.018,16.437,16.489,16.613,17.206,16.862,16.992,17.462,17.893,18.254,18.987,19.686,19.544,20.404,20.86
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRG3",6.454,6.447,5.931,5.483,5.146,5.636,6.081,6.381,6.484,5.987,5.769,6.085,6.102,6.644,6.104,6.251,6.708,8.045,9.274,9.94,9.924,10.054,10.818,11.098,11.245,11.299,11.331,11.511,11.917,12.273,13.119,13.278,13.443,13.582,13.733,13.948,14.155,14.569,14.993,15.612,16.442
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRG3",24.654,23.712,21.68,20.146,19.389,20.457,20.61,21.168,22.275,21.687,21.722,21.694,22.743,24.678,26.473,27.682,28.638,31.591,36.748,39.586,39.925,41.516,44.994,45.09,45.902,47.061,48.274,50.511,52.792,54.166,55.154,51.448,51.982,52.718,53.562,53.771,55.275,57.306,59.156,61.401,65.295
"140","133","  Gross output of nonprofit institutions \29\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.841,10.09,10.28,10.474,10.727,10.987,11.307,11.7,12.237,12.883,13.728
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.658,6.095,6.236,6.368,6.546,6.768,6.968,7.204,7.578,8.025,8.558
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","7. Consists of dishes, flatware, and non-electric cookware and tableware.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
