"","Table 2#8#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Line",NA,NA,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
"32",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"33","1","    Personal consumption expenditures (PCE)","DPCERV1",0.5,0,-0.2,-0.2,0.2,0.4,0,0.1,0.3,0.2,0.2,0.1,0.5,0.4,0.3,0.4,0.2,0.4,0.2,0.4,0.3,0.3,0.2,0.2,0.4,0.1,0.3,0.5,0.3,0.4,0.5,0.3,0.5,0.3,0.2,0.3,0.5,0.3,0.4,0.7,0.4,0.2,0.2,0,0.2,0.4,0.2,0.3,0.7,0.4,0.4,0.2,0.2,0.4,0.2,0.7,0.6,0.6,0.1,0.1,0.4,0,0,0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0,0.2,0.2,0.1,0.3,0.2,0,0,0.2,0.3,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.3,0,0.2,0.2,0.2,0.3,0.3,0.2,0,0.2,0.1,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0,0,0,-0.1,0,0.1,0.1,-0.1,0.2,0.1,-0.1,0.2,0,0.1,0.2,0,0.1,0.5,0,0,0.3,0.2,0.3,0.2,0.1,0.2,0.3,0.3,0.4,-0.1,0.1,0.3,0.2,0,0.4,0.1,0.1,0.1,0.4,0.1,0,0.2,0.3,0.2,0,0,-0.3,0.4,-0.1,-0.1,0.1,0.2,0.3,0.4,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1
"34","2","Goods","DGDSRV1",0.2,-0.6,-1.1,-0.7,0.3,0.4,0,0.1,0.2,-0.1,0.2,0.3,0.9,0.7,0.3,0.3,0.2,0.4,0.2,0.4,0.2,0.2,0.1,0,0.2,-0.2,0.2,0.5,0.2,0.3,0.6,0.1,0.5,0.2,0.1,0.3,0.6,0.3,0.3,1.1,0.4,0.1,0.1,-0.4,0.1,0.4,0.1,0.1,1.3,0.6,0.1,0,0,0.3,0.3,0.8,1,0.9,0,0.1,0.2,-0.2,-0.3,0.3,0.3,0,-0.1,0.2,0.2,0,0.4,0,-0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0,0.1,0.1,0,0,0.2,-0.1,0.2,0,-0.2,0,0.1,-0.2,0.6,0.2,-0.1,-0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.3,0,-0.1,0.1,0,0.1,0,0,0.2,0,-0.1,0,0.1,0,0.1,-0.2,0.2,0.4,0.1,0.4,0.3,-0.1,-0.3,0.1,-0.1,0.2,0.3,0.1,0,0.1,0.1,-0.2,-0.2,-0.3,-0.3,-0.1,0.1,0.1,0,-0.3,-0.2,-0.2,-0.4,-0.4,0,0,-0.1,0.2,0,-0.2,0.1,-0.2,0,0.2,-0.3,-0.1,1.1,-0.2,-0.1,0.3,0.2,0.4,0,-0.2,0.3,0.1,0.3,0.9,-0.3,-0.1,0.5,0.1,-0.5,0.7,-0.2,0.1,0,0.1,0,-0.3,0.2,0.3,0,-0.5,-0.4,0.4,-0.6,-0.6,-0.5,0,0,0.3,0.7,-0.3,-0.1,0.1,0.1,0,0.1,-0.1,-0.2
"35","3","  Durable goods","DDURRV1",0.1,-0.1,0.1,0.1,0.4,0.4,0.2,0.2,0.1,0.1,0.3,0.3,0.4,0.1,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0,-0.2,-0.2,0,0.3,0.2,0.1,0.3,0.2,0.2,0.5,0.2,0.1,0.1,0.5,0.1,-0.3,0.2,0,0.1,0.1,0,0.1,0.2,0.2,-0.2,0.3,0.5,-0.1,0,0,-0.3,0.1,0,0.1,0.3,-0.1,-0.3,0.8,0.5,0,0.2,0,-0.3,0.6,-0.2,0.2,0.2,0.1,-0.5,0.2,0.2,-0.1,0.2,0.2,-0.2,0.1,0.1,-0.1,0.2,0.2,-0.4,0.2,-0.1,0,0.5,0,0.2,0.2,0.1,0.3,0.4,0.2,-0.3,0.1,0.2,0.3,0,0.3,0.2,0.4,0.1,0,0,0.2,-0.1,0.4,0,0.2,0,-0.3,-0.2,-0.1,0.1,-0.2,0,-0.2,0.2,0.1,-0.1,0.1,-0.4,-0.4,-0.1,0,0,0,0,-0.3,-0.5,0,0.1,0,-0.8,-0.3,-0.2,-0.2,-0.3,-0.1,0,-0.4,-0.2,-0.2,-0.3,-0.1,0.1,-0.7,-0.4,0.1,-0.3,-0.3,-0.1,-0.2,-0.4,-0.1,-0.4,-0.4,0.1,-0.3,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.3,0,-0.3,0.2,-0.2,0,-0.3,-0.2,-0.4,0.1,-0.2,0,-0.1,-0.1,-0.3,-0.3,-0.1,-0.4,0,0.1,-0.5,-0.9,0.4,-0.2,-0.1,-0.3,-0.6,-0.1,-0.1,0,-0.3,-0.1,-0.2,-0.1,-0.2,-0.4,-0.4
"36","4","  Nondurable goods","DNDGRV1",0.2,-0.9,-1.7,-1.2,0.2,0.3,-0.2,0,0.3,-0.2,0.1,0.4,1.2,0.9,0.3,0.3,0.2,0.5,0.2,0.5,0.2,0.2,0.2,0,0.4,-0.3,0.2,0.7,0.2,0.3,0.8,0.1,0.5,0.2,0.1,0.3,0.6,0.4,0.6,1.6,0.6,0,0.1,-0.6,0.1,0.6,0,0.2,1.9,0.7,0.2,0,0,0.6,0.4,1.2,1.4,1.1,0,0.2,-0.1,-0.6,-0.4,0.3,0.4,0.1,-0.4,0.3,0.2,-0.1,0.5,0.2,-0.3,0.1,0.3,0,0.1,0.5,0.2,0.2,0.1,0.1,0.1,0.2,0,0.3,-0.1,0,0,-0.4,-0.1,0.1,-0.5,0.7,0.1,-0.1,-0.3,0,0,0.1,0,0.3,0.5,0.4,0,-0.1,0.1,0,-0.1,0,-0.1,0.3,0.1,0,0.1,0.1,0,0.2,-0.2,0.2,0.6,0.2,0.6,0.6,0.1,-0.4,0.1,-0.2,0.4,0.4,0.3,0.3,0.1,0.1,-0.3,0.2,-0.3,-0.3,0,0.3,0.3,0,-0.2,-0.1,-0.2,-0.4,-0.6,0,0.4,0,0.2,0.2,-0.2,0.2,-0.1,0.3,0.4,-0.3,0,1.6,-0.1,0.1,0.5,0.4,0.8,0.1,-0.1,0.7,0.2,0.7,1.3,-0.4,-0.2,0.9,0.3,-0.5,1,-0.3,0.2,0,0.2,0.2,-0.3,0.3,0.8,0,-0.8,-0.4,1.1,-1.2,-0.9,-0.8,0.2,0.3,0.6,1.2,-0.4,0.1,0.2,0.3,0,0.2,0,-0.1
"37","5","Services","DSERRV1",0.7,0.5,0.4,0.2,0.1,0.4,0.1,0.1,0.4,0.4,0.2,0,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.2,0.3,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.3,0.3,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.6,0.4,0.3,0.5,0.2,0.6,0.4,0.4,0.2,0.1,0.5,0.2,0.2,0.1,0.5,0.3,0.3,0.3,0.4,0.3,0.1,0.4,0.3,0.3,0.3,0.4,0.1,0.1,0.4,0.1,0.3,0.5,0.3,0.3,0.4,0.1,0.4,0.3,0.5,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.1,0.3,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.3,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,-0.1,0.3,0.2,0,0.3,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.3,0.2,0,0.2,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.6,0.2,0.2,0.2,0.2,0.3,0.2,0.2,-0.7,0.9,0.3,0.1,0.1,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","6","  PCE excluding food and energy","DPCCRV1",0.5,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.2,0.5,0.2,0.4,0.5,0.3,0.4,0.4,0.2,0.5,0.4,0.3,0.3,0.5,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.3,0.4,0.3,0.3,0.4,0.5,0.5,0.3,0.3,0.4,0.2,0.4,0.4,0.3,0.1,0.1,0.5,0.3,0.2,0.2,0.4,0.2,0.3,0.3,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.1,0.2,0.4,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0,0.1,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.1,0,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,-0.1,0.3,0.2,0,0.2,0,0.2,0.2,0,0,0.2,0.1,0,0.2,0,0.3,0.2,0.1,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.1,0.2,0,0.2,0.3,0.1,-0.5,0.7,0.2,0,0,0.2,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1
"40","7","  Food \1\","DFXARV1",0.1,-0.2,0,0.2,0.3,0,0.9,0.9,0,0.2,0.3,0,0.6,0.3,0,0.1,0.6,0.5,-0.3,0.2,0.1,0.1,-0.1,0.4,0.4,-0.1,0.1,0.5,0.3,0.4,1.1,0.4,0.6,0.1,0,0.4,0.5,0.8,0.5,0.7,0.6,0.3,0.4,0.1,0,0.4,0.3,0.3,1.4,0.9,0,-0.4,0.1,0.8,0.5,0.4,0.2,0.3,0.1,-0.2,1.1,0.5,0,0.5,0.3,0.4,-0.7,-0.3,-0.1,0,0.2,0,-0.1,0.4,0.3,-0.2,-0.2,0.4,-0.1,0.7,0.2,-0.1,-0.3,0,0.1,0.3,0,0.2,0.7,-0.2,0,0.2,-0.1,0.5,0.2,0.2,0,-0.2,-0.1,0.2,0.2,0.4,0.5,0.2,0.1,-0.2,0.1,0.5,-0.1,0.5,0,0.8,-0.1,0.1,0.1,0.1,0.2,0.3,-0.1,0.2,0.3,0.4,0.5,0.4,0,0.6,0.4,0.4,0.2,0.5,0.1,0,-0.1,0.4,-0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0.4,-0.2,0.1,0.1,0.1,0.1,0.1,0.3,-0.1,0.5,0.1,0,0.4,0.1,-0.1,0.2,0.2,0,0.1,0.2,0.3,0.1,0.3,0.1,0.1,0.3,0.3,0.1,0.5,0.1,0.5,0.3,0,0,0.1,0.6,0.1,0.6,0.2,0.1,0.2,0.4,0.3,0.3,0,0.4,-0.1,-0.2,0.4,0.3,0.2,0.3,-0.6,-0.1,0.1,0,0.2,-0.1,0.3,0
"41","8","  Energy goods and services \2\","DNRGRV1",0.1,-2.6,-6.7,-5.7,0.2,1.9,-3.5,-2.3,1,-2,-0.6,0.4,3.5,2.6,0.2,0.1,-0.7,1.6,0.9,1.5,-0.2,-0.8,0.5,-0.6,-0.8,-0.2,-0.4,0.5,-0.4,0.5,0.6,0.8,-0.3,-0.1,0,-0.1,0.7,0.7,1.2,5.5,0.8,-0.6,-0.3,-2,-1.2,0.8,-0.6,0.3,5.2,-1,-0.5,0,-0.8,0.5,-0.2,4.9,5,4.2,0.3,-0.1,-2.4,-3.8,-2.7,-0.6,0.9,-1,-0.5,0.5,0.3,0.1,0.8,0.7,-1.5,-0.3,0,0.1,0.6,1.3,0.4,-0.2,0.1,0.7,0.7,0.2,-0.2,-0.7,0.4,0,-0.9,-0.5,-0.2,-0.1,-0.3,2.3,-1,-0.6,-0.7,1.2,0,-0.5,-1.2,0.3,1.7,2.2,-0.5,-0.2,0.5,-0.1,-0.1,-0.1,-0.4,-0.1,0.3,0.3,-0.4,-0.1,-1.3,0.5,-1,1.1,2,0.2,1.2,2.9,0.5,-2.3,0.3,-0.2,0,1.1,1,1.6,1,0,-1.6,-1.5,-2.3,-0.2,-0.2,2,1.2,-0.1,-0.6,-1.4,-2.5,-2.4,-1.9,-1,0.9,0.4,-0.2,-1.3,-0.8,0.2,-0.5,-1.2,-0.4,-0.7,1.5,5.8,-0.8,-0.4,2.3,2.9,2.3,0.3,-0.4,2.5,1.2,3.6,5.1,-3.1,-1.1,5.8,0.2,-2.9,4.6,0.2,-0.4,0.5,3.1,-0.9,-1.9,0.6,4.8,-1,-5.8,-1.7,3.5,-6.3,-5.6,-2.7,0.1,-0.6,3.9,3.6,0.4,-0.2,0.7,0.6,0.5,2.6,-0.1,0.3
"42","9","  Market-based PCE \3\","DPCMRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.3,0.4,0.2,0.4,0.4,0.3,0.2,0.2,0.4,0.2,0.4,0.5,0.3,0.4,0.5,0.3,0.5,0.4,0.2,0.4,0.5,0.4,0.4,0.7,0.4,0.2,0.3,0,0.3,0.4,0.3,0.3,0.8,0.5,0.5,0.2,0.3,0.4,0.4,0.7,0.6,0.6,0.2,0.1,0.5,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.1,0.2,0.3,0.1,0.2,0.4,0.2,0.2,0.3,0.1,0.2,0.2,0.3,0,0.2,0.2,0.1,0.3,0.2,0,0,0.2,0.3,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0,0.2,0.2,0.2,0.3,0.3,0.2,0,0.2,0,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,-0.1,0.1,0,0.1,0.2,0,0,0,0,-0.1,0,0.1,0.1,-0.1,0.2,0.1,-0.1,0.2,0,0.1,0.2,0,0.1,0.5,0,0,0.2,0.1,0.3,0.1,0.1,0.2,0.3,0.3,0.4,-0.1,0,0.3,0.3,0,0.4,0.1,0.1,0.1,0.4,0.1,0,0.2,0.3,0.2,-0.1,0,0.3,-0.2,-0.1,-0.1,0.1,0.1,0.2,0.4,0,0.1,0.2,0.2,0.2,0.2,0.1,0.1
"43","10","  Market-based PCE excluding food and energy \3\","DPCXRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.2,0.5,0.2,0.5,0.5,0.3,0.4,0.4,0.2,0.5,0.4,0.3,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.4,0.3,0.3,0.4,0.5,0.6,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.2,0.2,0.6,0.3,0.3,0.3,0.4,0.2,0.3,0.3,0.5,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.4,0.1,0.2,0.4,0.2,0.2,0.3,0.1,0.2,0.3,0.3,0.1,0.2,0.2,0.1,0.2,0.2,0,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0,0.4,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0.3,0.2,0.1,0,0.1,0.1,0.3,0.2,0.1,0.2,0,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,0.3,0.2,0,0.2,0,0.2,0.2,0,0,0.3,0.1,0,0.1,0,0.2,0.1,0.1,0.1,0.3,0.1,0.2,0,0.1,0,0.3,0.1,0.2,0.2,0.2,0,0.3,0.2,0.1,0.2,0,0.2,0.2,0.1,0.1,0.1,0.2,0,0,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
