"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"68","59","      Profits after tax with inventory valuation adjustment and capital consumption adjustments","W273RC1",51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217,175.2,187.5,216.3,201,195.6,236.3,253.5,274,350.8,392.2,452.6,512.8,453,449.4,369.9,380.3,556.1,646,772.2,826.3,917,730.1,569.3,770.3,980.7,1015.6,1166.2,1229.5
"69","60","        Imputations (187-189+194-195+197-198)","Y519RC1",-10.5,-11.5,-12.8,-13.1,-11.3,-13,-19.4,-19.4,-23.3,-21.5,-23.8,-27.4,-28.8,-29.9,-34.4,-80.7,-76.1,-74.4,-85,-94.6,-95.6,-103.3,-94.1,-90.7,-79.2,-78.4,-70.4,-57.9,-56.5,-40.1,-25.5,-11.8,-5.1,-1.4,12.4,27.1,36.7,65.4,56,32.3,59.4,79.4,80.1,134,173.3
"70","61","        Excluding imputations (59-60)","Y520RC1",62.3,55.9,67.4,78.5,79.9,68.4,92,111.9,135.6,152.3,148.1,128.3,162.3,160.6,198.5,284.5,293.1,249.6,272.5,310.9,296.6,299,330.3,344.2,353.3,429.3,462.6,510.5,569.3,493.1,474.9,381.7,385.5,557.5,633.6,745.2,789.6,851.6,674.1,536.9,711,901.3,935.5,1032.2,1056.3
"71","62","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.5,442.5,548.8,680.3,826.7
"72","63","          Imputations (196)","Y234RC1",2,2.4,2.7,3,3.5,4.2,4.7,5.3,6.6,8.3,9.9,10.9,13,15.4,17.3,19.7,22.3,23.2,25,26,29.4,32.7,36.2,39.6,42.6,46.4,50.6,55.7,59.3,59.7,60.5,60,60,61,64.9,77.4,90.7,105.6,121.9,129.7,118,115.6,116.4,127.7,140.7
"73","64","          Excluding imputations (62-63)","Y676RC1",18.4,18,17.7,19,19.6,19.2,21.7,24.8,27.1,31.3,31.5,36.4,45.3,46,54,58.8,63.4,65.1,70.6,72.1,96.9,111.4,120,121.9,142.2,151.4,175.6,207.5,232.9,255.1,245.9,295.4,269.9,291.3,337,424.4,229,542.5,556.5,498.4,338.5,327,432.4,552.6,686
"74","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",31.4,24,34.3,43.4,45.4,32,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92,89.3,153,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.8,538.1,466.9,485.9,402.8
"75","66","          Imputations (187-189+194-195-196+197-198)","Y677RC1",-12.5,-13.8,-15.5,-16.1,-14.8,-17.2,-24,-24.7,-30,-29.8,-33.7,-38.4,-41.8,-45.2,-51.7,-100.4,-98.4,-97.7,-110,-120.6,-125,-136.1,-130.3,-130.3,-121.8,-124.8,-120.9,-113.6,-115.8,-99.8,-85.9,-71.8,-65.1,-62.4,-52.5,-50.3,-54,-40.2,-66,-97.4,-58.7,-36.2,-36.3,6.3,32.6
"76","67","          Excluding imputations (65-66)","Y678RC1",44,37.9,49.8,59.5,60.2,49.2,70.2,87.1,108.5,121,116.6,92,117,114.7,144.5,225.7,229.7,184.6,201.9,238.8,199.7,187.6,210.4,222.3,211.1,277.8,287,303,336.4,237.9,229,86.3,115.6,266.2,296.6,320.8,560.6,309,117.6,38.6,372.5,574.3,503.1,479.6,370.3
"77","68","    Current surplus of government enterprises","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-25.3,-29.6
"78","69","      Imputations (-191)","Y514RC1",-0.9,-1.1,-1.4,-1.5,-1.6,-1.6,-1,-0.8,-0.4,-0.4,-0.1,0.3,0.7,0.9,1.2,0.9,1.1,1.5,2.4,2.8,2.2,2.1,2.7,2.2,2.7,2.9,3.1,3.2,3.4,3,2.3,1.8,1.2,0.9,-2.4,-2.4,-2.4,-1.8,-1.9,-2,-1.2,-3.7,-12.6,-12.5,-12.1
"79","70","      Excluding imputations (68-69)","Y679RC1",0.9,-0.1,-0.3,0.4,-0.6,-1.1,-3.4,-2,-2.9,-2.4,-3.1,-5.4,-5.9,-4.7,-3.5,-2.3,0.2,0.5,-0.3,2.2,4.5,1.1,5.2,7.7,8.1,9,12.5,13.7,14.1,13.3,13.9,9,3.9,6.1,6.3,0.6,-4,-7.5,-14.5,-19.2,-19.4,-19.2,-11.9,-12.7,-17.5
"80","71","  Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2530.2,2627.2
"81","72","    Imputations (164+167+212)","A2092C1",48,52,56.1,60,65.7,75,83.7,90.5,99.8,111.7,125.8,142.9,160,174.2,184.5,197.6,211.5,228.1,246.5,265.9,285,302.4,317.9,329.5,345.6,361.5,378.8,390.4,404,420.7,444.9,474.7,501.8,524.4,557.4,604.3,663.3,718,760.2,785.2,788.7,799.5,815.6,835.6,866.5
"82","73","    Excluding imputations (71-72)","A2093C1",76.8,84.7,92.7,100.9,112.4,131.2,153.9,168.7,188.6,213.4,245.3,283.1,325.1,360.1,376.1,396.7,425.2,454.1,481.4,516.5,551.1,584.4,613.3,630.3,658,694,744,785.6,836,889.6,955.9,1039.6,1102.2,1137.7,1169.8,1227.4,1318.6,1418,1504.1,1578.2,1579.7,1582.1,1635,1694.6,1760.8
"83",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","74","Personal income","A065RC1",800.3,864.6,932.1,1023.6,1138.5,1249.3,1366.9,1498.1,1654.2,1859.5,2077.9,2316.8,2595.9,2778.8,2969.7,3281.3,3515.9,3725.1,3955.3,4275.3,4618.2,4904.5,5071.1,5410.8,5646.8,5934.7,6276.5,6661.9,7075,7587.7,7983.8,8632.8,8987.1,9149.5,9486.6,10048.3,10609.3,11389,11994.9,12429.6,12087.5,12429.3,13202,13887.7,14166.9
"85","75","  Imputations (163-158+170+181+188+195+196-197+198+199+203+204+205+206+211)","A2106C1",74.1,84.4,93.6,101.3,103.2,113.3,132.2,134.5,145.2,164,174.4,185.1,198.6,217.9,259,304.8,331.9,339.1,359.6,398,433,464.6,489.7,559.4,604.1,648.8,657.2,664.8,683.2,711.9,748,787.1,840.9,897.5,978.4,1052.5,1078,1049.3,1048.4,1147.4,1236.9,1300.1,1381.1,1391.8,1448.1
"86","76","  Excluding imputations (74-75)","A2107C1",726.2,780.2,838.5,922.3,1035.3,1136.1,1234.6,1363.6,1509,1695.4,1903.5,2131.7,2397.2,2561,2710.7,2976.5,3184,3386,3595.7,3877.4,4185.2,4439.8,4581.4,4851.3,5042.7,5286,5619.2,5997.1,6391.8,6875.8,7235.8,7845.7,8146.2,8252,8508.2,8995.8,9531.3,10339.7,10946.5,11282.3,10850.5,11129.2,11820.9,12496,12718.8
"87","77","  Compensation of employees","W209RC1",586,625.1,667,733.6,815,890.3,950.2,1051.2,1169,1320.2,1481,1626.2,1795.3,1894.3,2013.9,2217.4,2389,2543.8,2724.3,2950,3142.6,3342.7,3452,3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787,7961.4,8269,8606.5,8844.8
"88","78","    Imputations (188+202)","Y506RC1",23.6,25.5,27.4,30.3,27.8,27.8,34.3,32.3,35.8,40.1,45.5,50.9,59.4,70,82.8,85.3,100.9,117.6,129,153.2,185.5,210.1,223.1,263.9,278.5,286.4,283.8,298,313.7,341.3,382.2,422.6,450,443.3,447.4,519.7,555.8,569.3,596.6,569.8,565.8,567.1,571.1,583.6,612.5
"89","79","    Excluding imputations (77-78)","W519RC1",562.4,599.6,639.7,703.3,787.2,862.6,915.9,1018.9,1133.2,1280.1,1435.5,1575.3,1735.9,1824.3,1931.1,2132.1,2288.1,2426.2,2595.3,2796.9,2957,3132.6,3228.9,3407.2,3542.2,3723.7,3918.9,4124.1,4401,4736.5,5028.1,5434,5596.5,5698.6,5917.1,6219.9,6531,6933,7301.7,7508.4,7221.2,7394.4,7697.9,8022.9,8232.3
"90","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6
"91","81","    Imputations (199+211)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.7,2.3,0.7,0.2,0.8,0.8,1.2,1.3
"92","82","    Excluding imputations (80-81)","A2102C1",76.3,77,83,94.1,111.2,110.8,116.8,128.8,141.7,162.9,176.2,169.2,177.6,169.3,183.4,225.3,238,252.9,283.2,322.7,339.1,351.5,353.6,399.1,427.5,456.1,481.7,544.4,584.8,641.3,697.2,755,834,868,897,958.3,974.7,1050,976.9,1025.8,972.8,1031.9,1142.9,1259,1335.3
"93","83","  Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8
"94","84","    Imputations (163)","B1156C1",14.4,14.5,15.5,15.3,14.5,14.9,13.9,12,7,7.1,5.7,5.6,5.8,2.1,1.3,-1.2,-4.2,-9.5,-9.8,-3.6,-3.3,-0.1,5.8,19.8,42.6,62.2,68.5,82.7,85,101.3,115.2,120.9,134.8,146.3,165.3,180.2,158.1,124.3,96.4,147.2,216.8,268.1,327,356.1,410.9
"95","85","    Excluding imputations (83-84)","A2103C1",6,6.2,6.4,7.5,8.7,8.5,8.6,8.6,9.1,9.8,10.8,14.1,19.6,24,26.2,29.1,33.7,31.4,30.1,28.7,27.8,31.4,36.2,44.5,51,55.3,60.7,64.2,67.1,68.6,67.9,66.9,72.8,71,72.7,75.2,80.4,83.2,93,114.9,116.9,134.7,158.3,176.8,184.9
"96","86","  Personal income receipts on assets","W210RC1",98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278,318.3,386,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818,1739.6,1913.9,2088.6,2079.7
"97","87","    Imputations (170+181+195+196)","Y507RC1",28.7,36.4,41,45.7,49.4,57,70.1,72.8,81.1,95.3,104.6,115.7,129.5,155.5,194.5,211.2,241.8,261.7,280.4,293.6,311.4,325.8,338,359,369.9,391.6,409.1,416.3,433.1,434.9,441,451.3,460.5,485.6,504.3,529.2,554,574.5,611,664.2,678.1,675.3,691.3,708.3,715.9
"98","88","    Excluding imputations (86-87)","Y508RC1",70,76.2,81.4,87.6,101.2,118.3,125.2,139.8,162.3,182.6,213.7,270.3,343.4,385.7,389.7,453.9,471,493.6,499.4,545.7,640.5,665.4,647.4,623.2,618.7,637.8,704.9,760.1,825.4,907.7,888.7,1002.2,980.8,904.8,916.1,974.5,1112.5,1363.9,1555.6,1502.8,1139.9,1064.4,1222.6,1380.3,1363.8
"99","89","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1280.3,1342.9,1416.7,1512,1609.6,1722.8,1884,2140.2,2276.9,2307.9,2350.7,2414.5
"100","90","    Imputations (-158-197+198)","A2111C1",7,7.8,9.8,9.9,10.8,13.2,13.8,16.7,19.8,19.6,16.6,12,3.5,-10.2,-20.7,8.2,-7.7,-32.3,-41,-45.8,-60.8,-71.2,-76.3,-82.4,-85.8,-91.3,-103.9,-132.2,-148.7,-165.6,-190.7,-207.2,-203.7,-176.9,-137.2,-175.2,-188.5,-216.3,-251.4,-227.6,-215.8,-202,-199.7,-248,-283.9
"101","91","    Excluding imputations (89-90)","A2112C1",55.3,66.9,78.3,88,101.7,120.1,156.2,167.2,174.4,190.1,218.7,267.5,314.8,365,404.5,391.9,432.6,483.2,508.6,542.3,603.4,666.1,742.2,828.1,876.5,917.7,982.8,1056.3,1097.9,1143.5,1212.2,1290.2,1391.8,1457.2,1480,1591.9,1700.5,1825.9,1974.1,2111.5,2356,2478.9,2507.6,2598.8,2698.4
"102","92","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.2,1104.5
"103","93","    Imputations (207)","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.6,5.1,5.6,6.3,6.5,7,8.1,9.1,9.4,9.4,8.6
"104","94","    Excluding imputations (92-93)","W531RC1",43.7,45.8,50.3,58.3,74.7,84.3,88,99.8,111.7,130.1,151.4,164.7,194.1,207.4,224.2,255.7,279.5,301.4,320.9,359,382.6,407.1,426.8,450.8,473.3,504.7,529.7,552.1,584.4,621.8,658.3,702.7,729.7,747.7,774.7,824.1,867.7,916.3,954.9,981.2,956.3,975,908.4,941.8,1095.9
"105","95","Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.3,1000.9,1046,1208.5,1352.1,1487.9,1435.2,1144.9,1191.5,1400.6,1503.7,1661.8
"106","96","  Imputations (-157)","A2115C1",-12.7,-14.4,-15.8,-17.1,-18.5,-19.8,-21.8,-24.1,-26.6,-27.2,-28.1,-30.6,-33.9,-37,-39.4,-42.3,-44.9,-47.5,-51.8,-55.2,-59.8,-63.5,-68.2,-70.5,-70.3,-73.7,-73.8,-76.2,-78.9,-80.2,-83,-85.7,-90.5,-97.4,-103.1,-109.4,-117.5,-125.1,-134.4,-137.6,-144.7,-144.6,-146,-147.5,-148.4
"107","97","  Excluding imputations (95-96)","A2116C1",117.2,117.5,117.5,140.7,150.9,170.8,169.4,196.4,224.1,256.6,296.7,329.4,379,391.1,391.7,419.7,462.2,484.7,540.8,560.1,625.9,656.2,654.8,681,716.9,764.2,817.7,908.1,1005,1106.7,1190.5,1317.9,1325.3,1147.7,1104,1155.4,1326.1,1477.2,1622.3,1572.8,1289.6,1336,1546.6,1651.2,1810.1
"108","98","Disposable personal income","A067RC1",695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.3,5000.2,5244.2,5532.6,5829.9,6148.9,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507,10994.4,10942.5,11237.9,11801.4,12384,12505.1
"109","99","  Imputations (75-96)","A2117C1",86.8,98.8,109.5,118.4,121.7,133.1,154,158.5,171.8,191.2,202.5,215.7,232.5,254.8,298.4,347.1,376.7,386.6,411.4,453.2,492.8,528.1,557.9,629.9,674.4,722.5,731.1,741,762.1,792.1,831,872.7,931.4,994.9,1081.6,1161.9,1195.6,1174.4,1182.8,1285,1381.6,1444.7,1527.1,1539.3,1596.5
"110","100","  Excluding imputations (98-99)","A2118C1",609,662.8,721,781.5,884.5,965.2,1065.3,1167.2,1284.9,1438.8,1606.8,1802.3,2018.2,2169.9,2319,2556.8,2721.8,2901.3,3054.8,3317.2,3559.4,3783.6,3926.6,4170.3,4325.8,4521.7,4801.5,5088.9,5386.8,5769.1,6045.3,6527.8,6820.8,7104.3,7404.2,7840.4,8205.2,8862.5,9324.2,9709.4,9560.9,9793.2,10274.3,10844.7,10908.7
"111","101","Personal outlays","A068RC1",620.7,665.5,720.3,790.7,874.3,956.6,1060.3,1178.5,1308.5,1463.5,1631.7,1804.8,1998.3,2147,2370.4,2591.8,2833.4,3018.5,3214.2,3475.7,3735.6,3976.3,4118.6,4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156,6573.4,7093.3,7417.3,7694.1,8077.1,8592.3,9162.9,9707.4,10196.7,10452.2,10270.5,10609.8,11090.2,11487.9,11897.1
"112","102","  Imputations (5-162+227)","A2119C1",28.9,37.1,33.1,29,29.4,46.2,61.5,52.5,39.4,42.7,53.7,85,104.1,133.4,132.1,119.8,152.3,142,146.6,170.6,199,240.4,283.2,310.2,349.3,368.5,391.5,391.6,395.1,406.3,436.3,484.3,492,510.4,526.2,516.5,489.8,522,673.4,909.1,1085.8,1169.8,1265.6,1264.3,1314.3
"113","103","  Excluding imputations (101-102)","A2120C1",591.8,628.3,687.2,761.8,844.9,910.3,998.8,1126,1269.1,1420.8,1578,1719.7,1894.1,2013.7,2238.3,2472,2681.1,2876.5,3067.6,3305.1,3536.7,3735.9,3835.4,4064,4283.3,4544.3,4788.1,5093.1,5401.5,5749.7,6137.1,6609.1,6925.3,7183.7,7550.9,8075.8,8673.1,9185.4,9523.3,9543,9184.7,9440,9824.6,10223.6,10582.8
"114","104","Personal saving","A071RC1",75,96.1,110.1,109.2,131.8,141.7,159,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247,312.1,265.1,269.4,252.1,294.7,316.5,335.4,365.9,426,367.6,331.4,352.9,345.2,352.2,405.3,302.9,307.2,335,405.1,408.7,410,237.9,329.5,310.3,542.2,672,628,711.1,896.2,608.1
"115","105","  Imputations (198+208-164-167)","A2121C1",57.9,61.7,76.3,89.5,92.2,86.8,92.5,106,132.4,148.5,148.7,130.6,128.4,121.4,166.4,227.3,224.5,244.6,264.8,282.6,293.8,287.8,274.7,319.7,325.1,354,339.6,349.4,366.9,385.9,394.7,388.5,439.4,484.5,555.4,645.4,705.8,652.4,509.4,375.9,295.8,274.8,261.5,275,282.2
"116","106","  Excluding imputations (104-105)","A2122C1",17.1,34.4,33.8,19.7,39.6,54.9,66.5,41.3,15.8,18.1,28.8,82.6,124.1,156.3,80.6,84.8,40.6,24.8,-12.8,12.2,22.7,47.7,91.2,106.3,42.5,-22.6,13.4,-4.2,-14.7,19.5,-91.8,-81.3,-104.5,-79.4,-146.7,-235.4,-467.9,-322.8,-199.1,166.4,376.2,353.2,449.7,621.2,325.9
"117",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","107","Government current receipts","W021RC1",282.5,285.7,302.1,345.4,388.5,430,440.9,505,566.7,645.4,728.6,798.7,918,939.9,1001.1,1113.9,1216,1291.7,1405.5,1505.5,1629.8,1710.9,1761,1846,1950.1,2094,2218.2,2382.3,2559.3,2731.7,2903.4,3133.1,3118.2,2967,3042.8,3265.1,3663.5,4001.8,4202.4,4041.8,3689,3885,4077.6,4301,4788.6
"119","108","  Imputations (171+182+207-191)","W568RC1",0.9,1.4,1.8,1.8,1.5,1.8,3.6,3.8,4.2,3.4,3.1,3.1,3.2,4.8,6.3,5.4,8.5,9.5,9.2,9.6,9,8.9,10.3,10.4,10.9,10.7,10.9,10.9,11.2,10.8,11,10.9,9.4,9.7,7.5,8.1,8.9,10.5,10.6,10.5,11.5,10.5,2.3,2.2,1.4
"120","109","  Excluding imputations (107-108)","W514RC1",281.6,284.3,300.4,343.6,387.1,428.2,437.3,501.2,562.4,642,725.5,795.5,914.9,935.1,994.9,1108.5,1207.5,1282.2,1396.3,1495.9,1620.7,1702,1750.7,1835.6,1939.2,2083.3,2207.4,2371.3,2548.2,2720.9,2892.4,3122.3,3108.8,2957.3,3035.3,3257,3654.6,3991.3,4191.9,4031.3,3677.5,3874.5,4075.3,4298.7,4787.2
"121","110","Government current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.1,630.1,691.8,764.9,879.5,999.7,1109.6,1204.9,1285.4,1391.4,1483.9,1556.6,1645.9,1779,1918.3,2032.3,2216.1,2299.1,2374.6,2490.6,2573.2,2648.8,2713.6,2827.5,2966.7,3169,3358.4,3567.1,3772.7,4034.9,4268.3,4540.8,4840.8,5209.7,5451,5537.6,5612.7,5662.9
"122","111","  Imputations (171+182+190+194+207+212-213)","A2047C1",-2.1,5.7,13.5,16.6,14.6,11,10,5.6,7.2,5.6,-2.3,-10.2,-10.5,-8.2,-13.1,-35.1,-51.2,-59.1,-68.5,-58.2,-47,-55.9,-42.2,-20.8,-9.3,-4.7,-3.4,-20.8,-25.2,-35.7,-52,-64,-61.2,-65.6,-48.7,-44.6,-52.6,-68.6,-109.1,-134.1,-72.5,-52.1,-42.6,1.6,23
"123","112","  Excluding imputations (110-111)","A2114C1",285.6,311.8,338.8,369.2,402,457.3,533.4,576.4,622.9,686.2,767.2,889.7,1010.2,1117.9,1218,1320.4,1442.6,1543,1625.2,1704.1,1826,1974.2,2074.5,2237,2308.4,2379.3,2494.1,2594.1,2674.1,2749.3,2879.5,3030.7,3230.2,3424.1,3615.8,3817.3,4087.4,4336.9,4649.9,4974.9,5282.3,5503.1,5580.2,5611,5639.9
"124","113","Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1311.7,-874.3
"125","114","  Imputations (213-190-191-194-212)","A2010C1",3,-4.3,-11.8,-14.8,-13.1,-9.2,-6.4,-1.8,-3,-2.2,5.4,13.3,13.7,13.1,19.4,40.5,59.7,68.6,77.8,67.8,56,64.9,52.5,31.2,20.2,15.4,14.3,31.8,36.4,46.6,63,74.9,70.6,75.4,56.3,52.7,61.5,79.1,119.7,144.6,84,62.6,44.9,0.6,-21.6
"126","115","  Excluding imputations (113-114)","A2011C1",-4,-27.5,-38.5,-25.6,-14.9,-29.1,-96.1,-75.2,-60.5,-44.2,-41.7,-94.2,-95.3,-182.8,-223.1,-211.9,-235.1,-260.8,-228.8,-208.2,-205.2,-272.2,-323.8,-401.4,-369.2,-296,-286.7,-222.7,-125.9,-28.5,12.9,91.6,-121.4,-466.8,-580.5,-560.3,-432.8,-345.6,-458,-943.6,-1604.8,-1628.6,-1504.9,-1312.3,-852.7
"127",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","116","Current receipts from the rest of the world","A120RC1",63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682,740.7,763.3,785.1,810.4,905.5,1042.6,1114,1233.9,1239.8,1313.4,1479.5,1352,1318.3,1396.4,1633,1884.7,2200.6,2540.3,2698.9,2236.6,2572.4,2899,2988,3072.6
"129","117","  Imputations (173+185+186)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,5.9,6.4,5.9,5.9,6,5.5,5.6,6.7,8.2,9.7,9.6,8.7,8.7,9,8.7,9.7,9.8,10.7,11.6,13.1,10.3,14.2,15,18.2,18.2,16.4,16.8,18,17.4
"130","118","  Excluding imputations (116-117)","W523RC1",63.3,72.1,76.5,86.6,118.2,155.5,165.1,180.7,195.3,232,297.5,359.1,396.8,382.7,375.4,421.1,410,425.9,481.3,590.9,676,735.2,757.7,778.4,802.2,895.8,1033,1105.2,1225.1,1230.8,1304.7,1469.8,1342.2,1307.6,1384.8,1619.8,1874.3,2186.4,2525.3,2680.7,2218.4,2555.9,2882.2,2970,3055.2
"131","119","  Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953,992,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2194.2,2262.2
"132","120","    Imputations (173+179+185)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,6.2,6,5.3,5.3,5.2,4.6,4.5,5.6,6.9,8.2,8.1,7.5,7.5,7.1,6.7,7.2,6.1,6.2,6.6,7.2,7.1,8.3,8.3,9.6,9.4,9.3,11.5,12.4,12.3
