"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"87","77","  Industrial supplies and materials, except petroleum and products","B649RG",24.48,24.86,25.47,26.46,26.94,28.89,34.47,49.81,51.58,51.19,55.85,59.98,71.48,86.13,87.22,83.89,79.52,78.61,74.03,74.14,79.21,90.88,95.56,93.39,92.06,91.23,90.51,93.2,101.43,100,99.88,94.96,94.47,103.39,102.44,96.15
"88","78","    Durable goods","B820RG",22.57,22.94,23.52,24.4,24.88,26.77,32.08,46.48,48.16,47.62,51.99,55.93,66.71,80.56,81.61,78.5,74.32,73.52,69.9,71.87,77.83,92.34,97.59,93.46,90.73,90.84,90.92,94.12,101.43,100,101.79,97.01,97.21,102.43,98.78,95.12
"89","79","    Nondurable goods","B696RG",26.98,27.38,27.99,29.14,29.61,31.58,37.4,53.81,55.67,55.55,60.53,64.84,77.17,92.7,93.83,90.22,85.63,84.6,78.85,76.7,80.74,89.38,93.49,93.23,93.24,91.53,90.08,92.27,101.43,100,97.96,92.89,91.63,104.55,106.41,97.45
"90","80","  Petroleum and products","B648RG",11.86,11.75,11.7,11.97,13.05,13.61,17.34,56.95,58.8,62.4,67.48,67.52,94.79,154.44,173.73,159.67,143.46,143.12,134.92,72.8,87.32,72.85,86.76,104.75,91.56,88.06,79.65,74.7,83.09,100,94.34,62.51,83.21,139.4,116.1,118.84
"91","81","  Capital goods, except automotive","B650RG",69.79,70.55,72.7,81.16,89.28,95.39,107.96,120.39,131.13,130.84,139.57,149.14,155.45,169.34,169.09,160.79,151.21,139.67,125.81,130.18,134.78,140.39,136.33,130.76,126.49,121.78,118.72,117.02,114.16,100,88.55,82.13,78.57,76.74,74.51,72.3
"92","82","    Civilian aircraft, engines, and parts","B932RG",21.12,21.81,22.68,23.95,24.97,25.44,26.51,29.51,31.36,35.27,38.75,41.67,46.47,52.15,56.99,62.35,65.59,67.29,68.93,70.07,68.13,70.5,73.75,77.46,86.09,88.18,90.78,93.5,95.8,100,103.77,105.54,107.41,110.56,114.68,116.99
"93","83","    Computers, peripherals, and parts","B852RG",3549.72,3276.67,3549.72,3100.91,2636.08,2280.43,2057.81,1619.17,1480.19,1285.64,1111.66,939.78,814.46,651.56,600.11,550.43,458.47,376.61,335.02,283.22,238.44,225.21,208.49,198.16,174.71,154.86,139.47,127.11,116.5,100,86.41,71.65,62.46,58.81,53.47,49.55
"94","84","    Other","B853RG",50.87,51.51,52.94,60.01,67.15,72.83,83.97,95.2,104.67,104.53,112.57,121.79,127.79,141.26,140.19,131.51,124.09,115.82,103.31,111.26,121.3,129.42,126.18,120,117.12,114.75,114.35,115.48,114.8,100,88.16,84.82,83.75,82.51,81.43,79.78
"95","85","  Automotive vehicles, engines, and parts","B651RG",15.11,15.73,16.47,18.09,19.73,21.66,25,27.31,33.48,35.08,38.2,45.66,50.22,53.79,60.97,63.04,64.64,66.06,67.7,75.22,79.98,84.71,86.38,87.05,90.46,92.08,93.49,96.51,99.36,100,100.2,100.34,101.03,101.73,101.66,101.96
"96","86","  Consumer goods, except automotive","B652RG",24.2,24.46,25.01,26.55,28.59,31.05,35.13,43.54,51.58,51.94,54.62,59.92,63.29,68.86,70.42,69.66,68.97,70.6,70.22,75.81,82.2,87.94,90.3,93.12,93.88,96.7,97.5,98.21,99.68,100,98.81,97.47,96.8,95.95,95.17,94.21
"97","87","    Durable goods","B697RG",28.62,28.69,29.63,30.8,32.74,36.38,39.89,48.03,53.28,55.39,57.58,63.68,67.8,70.96,72.39,71.07,70.48,71.08,70.33,77.33,83.14,88.64,90.73,93.56,94.73,97.05,98.17,98.8,100.04,100,97.81,95.24,94.11,93.03,91.93,90.43
"98","88","    Nondurable goods","B698RG",18.55,19.01,19.12,20.96,23,24.09,28.72,37.39,49.09,47.39,50.65,54.85,57.22,66.2,67.97,67.99,67.16,70.16,70.27,74,81.12,87.14,89.84,92.64,92.95,96.3,96.77,97.55,99.28,100,99.89,99.92,99.78,99.2,98.8,98.46
"99","89","  Other","B653RG",24.48,24.39,24.73,26.56,27.59,29.87,34.76,43.23,49.07,49.45,54.54,59.89,65.88,73.14,75.57,74.4,73.51,73.4,71.47,74.73,80.08,86.21,88.41,89.85,91.28,92.69,93.86,96.16,99.91,100,99.46,99.29,99.19,100.49,100.11,99.2
"100","90","Imports of services \1\","B656RG",23.45,23.91,24.4,25.27,27.55,28.97,33.51,39.85,43.08,45.03,48.23,52.61,59.42,68.95,71.94,71.99,70.81,69.6,69.51,77.02,77.48,81.89,82.94,88.31,91.15,93.58,93.78,95.47,98.31,100,99.41,97.14,96.8,99.97,97.03,108.47
"101","91","  Direct defense expenditures","B752RG",12.9,12.96,13.12,13.44,15.3,15.88,19.16,22.31,25.45,27.54,31.5,36.6,42.69,51.06,51.22,51.4,49.59,47.97,48.17,56.34,65.89,73.71,73.13,86.37,87.01,90.2,88.06,90.61,100.44,100,91.81,89.19,90.71,87.62,86.72,90.13
"102","92","  Travel","B768RG",27.93,29.12,29.88,30.56,33.61,35.83,41.62,50.17,55.81,56.06,59.13,65.11,74.13,81.98,85.57,77.94,72.99,69.58,67.57,76.69,73.15,78,78.78,82.41,86.06,91.23,91.85,95.38,97.1,100,99.67,95.68,97.98,96.68,94.63,99.01
"103","93","  Passenger fares","B769RG",33.27,34.2,34.53,34.61,37.42,39.12,38.48,46.33,49.82,52.03,55.46,52.66,56.3,65.26,70.62,72.98,73.15,71.4,68.94,71.51,72.65,75.8,75.36,82.61,92.11,94.62,93.31,93.79,98.72,100,106,107.15,109.72,116.38,126.91,132.82
"104","94","  Other transportation","B770RG",21.54,21.44,21.81,23.64,24.19,25.55,31.34,39.08,39.26,41.64,43.51,47.79,55.62,68.35,72.27,76.65,77.07,78.39,81.11,89.96,83.84,85.5,87.56,91.68,93.04,92.44,93.29,93.4,97.22,100,97.86,96.03,107.48,117.5,115.69,111.74
"105","95","  Royalties and license fees","B908RG",22.33,23.38,24.53,25.8,27.31,28.46,30.25,33.18,36.2,38.52,41.45,44.68,48.88,54.18,59.05,62.57,65.32,68.1,70.52,72.59,75.24,78.1,81.58,85.42,88.6,91.11,93.41,95.47,97.86,100,101.78,102.61,104.21,106.97,108.7,109.89
"106","96","  Other private services","B909RG",36.93,38.75,40.73,42.99,45.41,47.15,48.44,51.11,54.36,57.05,60.37,63.27,65.1,71.21,74.55,77.18,80.47,81.21,82.96,86,90.12,93.75,95.81,98.01,99.3,99.38,99.46,99.55,100.2,100,99.02,96.5,83.6,88.27,78.26,110.91
"107","97","  Other","B910RG",24.76,25.9,26.81,27.8,29.98,31.58,35.02,40.13,44.19,45.75,48.72,53.05,59.12,65.39,70.05,68.98,68.48,68.51,68.89,74.17,74.04,77.8,80.16,83.87,87.26,90.88,92.42,95.13,97.32,100,100.59,99.2,102.18,104.6,104.05,105.41
"108",NA,"  Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","98","    Exports of agricultural goods \4\","B181RG",29.7,29.08,29.39,30.51,32.45,34.3,51.09,69.46,67.94,63.78,64.81,67.26,76.4,80.46,84.45,74.71,77.94,81.3,73.27,66.68,68.98,81.37,83.8,80.36,80.19,78.63,80,83.51,91,100,93.4,84.9,78.67,77.32,77.86,79.21
"110","99","    Exports of nonagricultural goods","B182RG",28.6,29.15,30.33,32.24,33.13,33.99,37.02,46.16,53.08,56.31,59.47,63.46,72.61,81.93,89.17,93.56,95.29,99.7,98.43,96.04,98.43,103.35,104.49,103.91,103.82,102.33,101.53,102.27,104.02,100,97.7,95.17,94.37,95.66,94.93,94.32
"111","100","    Imports of nonpetroleum goods","B187RG",28.43,28.87,29.75,31.88,33.42,36.08,42.16,53.16,58.62,59.44,65.15,71.13,78.86,89.09,91.46,89.17,87.05,86.37,83.3,88.29,93.43,100.26,101.5,101.08,101.23,101.21,100.93,102.36,104.44,100,96.02,92.6,91.09,91.63,90.36,88.56
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","in services.  Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116"," 2. Annual chain-type quantity indexes for exports of computers, peripherals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","and parts: 1967, .02883; 1968, .03097; 1969, .04227; 1970, .07421; 1971, .08785.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Quarterly chain-type quantity indexes for exports of computers, peripherals, and parts:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","1967:I, .02805; 1967:II, .02883; 1967:III, .02805; 1967:IV, .03039; 1968:I, .02961; 1968:II, .02883; 1968:III, .03350; 1968:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",".03195;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1969:I, .03506; 1969:II, .03818; 1969:III, .04519; 1969:IV, .05064; 1970:I, .05922; 1970:II, .07012; 1970:III, .08025; 1970:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",".08726;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1971:I, .08571; 1971:II, .08571; 1971:III, .08571; 1971:IV, .09428.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124"," 3. Annual chain-type quantity indexes for imports of computers, peripherals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","and parts: 1967, .00343; 1968, .00447; 1969, .00618; 1970, .00996; 1971, .01357;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","1972, .01889; 1973, .02765; 1974, .03916; 1975, .04448; 1976, .07144; 1977, .09652.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Quarterly chain-type quantity indexes for imports of computers, peripherals, and parts:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","1967:I, .00343; 1967:II, .00343; 1967:III, .00343; 1967:IV, .00343; 1968:I, .00412; 1968:II, .00412; 1968:III, .00481; 1968:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",".00481;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","1969:I, .00412; 1969:II, .00618; 1969:III, .00756; 1969:IV, .00687; 1970:I, .00824; 1970:II, .01030; 1970:III, .01030; 1970:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",".01099;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1971:I, .01168; 1971:II, .01237; 1971:III, .01443; 1971:IV, .01580; 1972:I, .02061; 1972:II, .01855; 1972:III, .01786; 1972:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",".01855;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1973:I, .02267; 1973:II, .02610; 1973:III, .03091; 1973:IV, .03091; 1974:I, .03297; 1974:II, .03710; 1974:III, .04190; 1974:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",".04465;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","1975:I, .04465; 1975:II, .04122; 1975:III, .04396; 1975:IV, .04809; 1976:I, .05839; 1976:II, .06595; 1976:III, .07419; 1976:IV, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",".08724;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","1977:I, .08106; 1977:II, .09068; 1977:III, .10029; 1977:IV, .11403.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139"," 4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
