"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"34","15","        Undistributed profits with IVA and CCAdj","W274RC1","31,414.0","29,069.0","27,519.0","21,982.0","18,842.0","21,859.0","21,381.0","19,030.0","26,200.0","28,301.0","29,795.0","34,572.0","34,784.0","36,023.0","38,265.0","41,360.0","41,804.0","35,580.0","34,337.0","34,386.0","27,535.0","21,862.0","15,699.0","20,577.0","27,368.0","38,356.0","47,378.0","49,415.0","56,223.0","48,468.0","48,187.0","45,978.0","50,556.0","65,416.0","75,610.0","66,813.0","60,296.0","77,466.0","73,801.0","72,801.0","65,879.0","62,010.0","57,054.0","52,048.0","38,308.0","17,888.0","29,193.0","40,369.0","46,175.0","49,897.0","61,142.0","46,542.0","33,673.0","55,755.0","50,927.0","40,867.0","57,124.0","73,961.0","78,595.0","81,541.0","95,034.0","105,367.0","108,235.0","115,342.0","110,201.0","99,969.0","123,811.0","103,318.0","90,211.0","78,244.0","74,926.0","63,338.0","69,415.0","89,506.0","110,285.0","105,922.0","137,285.0","133,605.0","112,434.0","136,591.0","82,914.0","88,479.0","90,805.0","81,767.0","68,824.0","91,204.0","62,967.0","52,398.0","86,600.0","86,770.0","88,909.0","81,157.0","111,335.0","115,670.0","106,102.0","124,718.0","91,604.0","113,077.0","119,473.0","129,411.0","151,086.0","148,820.0","166,981.0","171,361.0","158,881.0","179,430.0","199,194.0","197,570.0","217,337.0","215,004.0","206,296.0","204,284.0","240,743.0","247,159.0","262,401.0","241,140.0","155,794.0","146,861.0","164,503.0","141,278.0","192,258.0","190,790.0","191,551.0","146,490.0","100,246.0","64,730.0","48,852.0","26,373.0","71,905.0","114,723.0","81,789.0","56,037.0","146,313.0","163,495.0","181,138.0","192,223.0","203,260.0","140,565.0","187,834.0","170,340.0","245,162.0","284,001.0","300,409.0","161,600.0","334,393.0","426,406.0","565,944.0","704,458.0","341,027.0","301,617.0","258,825.0","103,833.0","117,995.0","136,688.0","25,753.0","-22,140.0","14,905.0","-37,326.0","-29,439.0","-221,728.0","-83,198.0","-10,802.0","110,189.0","140,522.0","153,644.0","225,555.0","204,017.0","247,872.0"
"35","16","    Gross value added of financial corporate business \1\","A454RC1","34,747.0","35,484.0","36,468.0","38,096.0","38,266.0","38,362.0","39,844.0","41,283.0","41,292.0","42,278.0","44,008.0","44,694.0","45,975.0","47,352.0","47,425.0","48,442.0","50,030.0","51,315.0","51,854.0","53,922.0","55,875.0","58,317.0","62,178.0","63,725.0","66,083.0","67,127.0","67,760.0","70,155.0","71,247.0","72,141.0","73,581.0","75,677.0","80,121.0","83,725.0","87,411.0","91,736.0","95,614.0","101,934.0","106,145.0","109,946.0","111,139.0","114,166.0","115,569.0","117,504.0","123,496.0","124,934.0","128,008.0","137,519.0","142,053.0","144,540.0","148,910.0","151,528.0","156,989.0","162,983.0","166,785.0","172,179.0","181,667.0","186,625.0","187,982.0","193,981.0","201,906.0","208,081.0","211,603.0","217,911.0","228,341.0","232,713.0","233,511.0","235,741.0","255,576.0","257,920.0","256,619.0","259,642.0","267,965.0","280,207.0","287,632.0","290,799.0","285,360.0","297,009.0","306,237.0","311,863.0","323,660.0","329,314.0","335,051.0","332,994.0","340,561.0","344,911.0","344,163.0","337,373.0","356,691.0","360,849.0","365,772.0","369,768.0","397,223.0","399,100.0","400,632.0","407,465.0","410,949.0","421,976.0","425,961.0","440,404.0","429,031.0","424,609.0","439,010.0","439,271.0","451,160.0","468,063.0","481,391.0","477,547.0","498,986.0","507,204.0","509,896.0","506,207.0","538,886.0","555,114.0","573,596.0","598,167.0","614,295.0","625,853.0","637,588.0","645,979.0","656,379.0","652,745.0","674,756.0","692,011.0","725,883.0","725,689.0","745,413.0","750,956.0","792,070.0","785,417.0","773,590.0","777,883.0","806,562.0","815,654.0","814,384.0","823,478.0","868,694.0","859,951.0","847,405.0","851,733.0","868,616.0","876,844.0","900,933.0","940,586.0","979,510.0","950,922.0","1,017,668.0","1,032,216.0","1,052,112.0","1,087,564.0","1,079,562.0","1,112,720.0","1,038,056.0","1,040,317.0","1,037,368.0","962,422.0","1,027,820.0","1,021,085.0","919,433.0","761,118.0","935,799.0","1,039,027.0","1,083,178.0","1,142,793.0","1,136,910.0","1,145,744.0","1,177,156.0","1,234,993.0"
"36","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","526,920.0","537,027.0","546,751.0","551,147.0","549,892.0","558,046.0","564,470.0","560,843.0","585,347.0","597,503.0","607,609.0","621,703.0","643,148.0","657,733.0","674,585.0","702,218.0","726,967.0","740,291.0","757,007.0","778,819.0","784,682.0","804,126.0","820,934.0","829,625.0","832,117.0","854,322.0","896,305.0","923,901.0","962,476.0","977,301.0","999,377.0","1,019,757.0","1,049,051.0","1,105,001.0","1,149,015.0","1,174,391.0","1,196,354.0","1,267,437.0","1,291,110.0","1,335,806.0","1,369,165.0","1,397,403.0","1,428,638.0","1,462,515.0","1,495,757.0","1,493,182.0","1,534,996.0","1,614,114.0","1,677,700.0","1,720,514.0","1,784,039.0","1,786,510.0","1,780,561.0","1,804,923.0","1,815,720.0","1,809,249.0","1,842,350.0","1,899,879.0","1,958,083.0","2,016,046.0","2,094,963.0","2,149,346.0","2,182,637.0","2,218,707.0","2,243,477.0","2,272,367.0","2,319,438.0","2,340,326.0","2,356,797.0","2,363,810.0","2,386,345.0","2,425,842.0","2,463,457.0","2,521,178.0","2,581,957.0","2,637,254.0","2,681,753.0","2,739,123.0","2,785,395.0","2,855,301.0","2,861,704.0","2,881,703.0","2,913,004.0","2,940,517.0","2,977,957.0","3,043,636.0","3,057,449.0","3,061,857.0","3,066,888.0","3,092,122.0","3,118,018.0","3,139,520.0","3,182,429.0","3,226,358.0","3,243,977.0","3,311,628.0","3,311,334.0","3,375,448.0","3,411,886.0","3,494,859.0","3,574,003.0","3,647,078.0","3,705,802.0","3,783,380.0","3,812,915.0","3,848,306.0","3,922,596.0","3,968,102.0","4,014,092.0","4,088,272.0","4,150,560.0","4,224,743.0","4,300,503.0","4,362,695.0","4,460,707.0","4,526,020.0","4,549,854.0","4,627,689.0","4,721,788.0","4,773,954.0","4,870,149.0","4,922,923.0","4,964,600.0","5,064,479.0","5,220,683.0","5,257,336.0","5,324,955.0","5,314,751.0","5,286,063.0","5,282,843.0","5,233,494.0","5,207,441.0","5,233,403.0","5,293,674.0","5,317,657.0","5,385,895.0","5,393,102.0","5,453,888.0","5,545,393.0","5,622,574.0","5,703,198.0","5,831,600.0","5,959,254.0","6,015,774.0","6,125,852.0","6,265,419.0","6,326,330.0","6,493,530.0","6,629,508.0","6,668,094.0","6,811,814.0","6,851,802.0","6,896,862.0","6,965,466.0","6,908,643.0","7,013,193.0","6,971,360.0","6,971,498.0","7,087,266.0","6,931,984.0","6,694,304.0","6,580,405.0","6,558,397.0","6,667,796.0","6,804,351.0","6,922,966.0","6,986,171.0","7,036,652.0"
"37","18","Consumption of fixed capital","B456RC1","41,154.0","42,254.0","43,466.0","44,790.0","46,224.0","47,301.0","48,018.0","48,377.0","49,983.0","51,415.0","52,672.0","53,754.0","54,663.0","55,747.0","57,006.0","58,440.0","60,049.0","61,924.0","64,066.0","66,473.0","69,146.0","72,222.0","75,702.0","79,586.0","83,872.0","87,487.0","90,432.0","92,705.0","94,309.0","96,337.0","98,790.0","101,668.0","104,972.0","108,351.0","111,805.0","115,336.0","118,941.0","122,866.0","127,111.0","131,674.0","136,559.0","141,595.0","146,782.0","152,120.0","157,611.0","163,430.0","169,578.0","176,053.0","182,860.0","189,406.0","195,693.0","201,721.0","207,488.0","211,936.0","215,064.0","216,872.0","217,359.0","218,329.0","219,781.0","221,715.0","224,132.0","226,982.0","230,265.0","233,981.0","238,132.0","242,141.0","246,008.0","249,735.0","253,320.0","256,628.0","259,658.0","262,410.0","264,884.0","267,940.0","271,576.0","275,792.0","280,590.0","285,180.0","289,563.0","293,739.0","297,708.0","301,784.0","305,966.0","310,254.0","314,650.0","318,956.0","323,173.0","327,301.0","331,340.0","334,864.0","337,874.0","340,370.0","342,351.0","343,836.0","344,827.0","345,322.0","351,120.0","356,605.0","361,779.0","366,640.0","371,190.0","376,561.0","382,754.0","389,767.0","397,605.0","404,998.0","411,949.0","418,456.0","424,521.0","431,162.0","438,381.0","446,176.0","454,549.0","462,821.0","470,992.0","479,062.0","487,032.0","495,351.0","504,020.0","513,037.0","522,403.0","532,894.0","544,509.0","557,250.0","571,114.0","584,242.0","596,632.0","608,284.0","619,200.0","628,669.0","636,690.0","643,265.0","648,391.0","652,894.0","656,771.0","660,024.0","662,652.0","666,239.0","670,786.0","676,291.0","682,757.0","690,479.0","699,457.0","709,691.0","721,180.0","734,488.0","749,614.0","766,558.0","781,052.0","794,807.0","807,821.0","820,096.0","829,284.0","836,442.0","842,923.0","851,606.0","859,525.0","872,469.0","887,170.0","896,133.0","894,049.0","880,123.0","870,994.0","870,721.0","868,155.0","872,944.0","877,540.0","886,154.0"
"38","19","Net value added","A457RC1","485,766.0","494,773.0","503,285.0","506,357.0","503,668.0","510,745.0","516,452.0","512,466.0","535,364.0","546,088.0","554,937.0","567,949.0","588,485.0","601,986.0","617,579.0","643,778.0","666,918.0","678,367.0","692,941.0","712,346.0","715,536.0","731,904.0","745,232.0","750,039.0","748,245.0","766,835.0","805,873.0","831,196.0","868,167.0","880,964.0","900,587.0","918,089.0","944,079.0","996,650.0","1,037,210.0","1,059,055.0","1,077,413.0","1,144,571.0","1,163,999.0","1,204,132.0","1,232,606.0","1,255,808.0","1,281,856.0","1,310,395.0","1,338,146.0","1,329,752.0","1,365,418.0","1,438,061.0","1,494,840.0","1,531,108.0","1,588,346.0","1,584,789.0","1,573,073.0","1,592,987.0","1,600,656.0","1,592,377.0","1,624,991.0","1,681,550.0","1,738,302.0","1,794,331.0","1,870,831.0","1,922,364.0","1,952,372.0","1,984,726.0","2,005,345.0","2,030,226.0","2,073,430.0","2,090,591.0","2,103,477.0","2,107,182.0","2,126,687.0","2,163,432.0","2,198,573.0","2,253,238.0","2,310,381.0","2,361,462.0","2,401,163.0","2,453,943.0","2,495,832.0","2,561,562.0","2,563,996.0","2,579,919.0","2,607,038.0","2,630,263.0","2,663,307.0","2,724,680.0","2,734,276.0","2,734,556.0","2,735,548.0","2,757,258.0","2,780,144.0","2,799,150.0","2,840,078.0","2,882,522.0","2,899,150.0","2,966,306.0","2,960,214.0","3,018,843.0","3,050,107.0","3,128,219.0","3,202,813.0","3,270,517.0","3,323,048.0","3,393,613.0","3,415,310.0","3,443,308.0","3,510,647.0","3,549,646.0","3,589,571.0","3,657,110.0","3,712,179.0","3,778,567.0","3,845,954.0","3,899,874.0","3,989,715.0","4,046,958.0","4,062,822.0","4,132,338.0","4,217,768.0","4,260,917.0","4,347,746.0","4,390,029.0","4,420,091.0","4,507,229.0","4,649,569.0","4,673,094.0","4,728,323.0","4,706,467.0","4,666,863.0","4,654,174.0","4,596,804.0","4,564,176.0","4,585,012.0","4,640,780.0","4,660,886.0","4,725,871.0","4,730,450.0","4,787,649.0","4,874,607.0","4,946,283.0","5,020,441.0","5,141,121.0","5,259,797.0","5,306,083.0","5,404,672.0","5,530,931.0","5,576,716.0","5,726,972.0","5,848,456.0","5,873,287.0","6,003,993.0","6,031,706.0","6,067,578.0","6,129,024.0","6,065,720.0","6,161,587.0","6,111,835.0","6,099,029.0","6,200,096.0","6,035,851.0","5,800,255.0","5,700,282.0","5,687,403.0","5,797,075.0","5,936,196.0","6,050,022.0","6,108,631.0","6,150,498.0"
"39","20","  Compensation of employees","A460RC1","342,952.0","352,940.0","362,568.0","369,924.0","373,300.0","374,824.0","379,436.0","378,316.0","387,796.0","396,108.0","402,344.0","411,496.0","426,484.0","437,760.0","447,088.0","464,184.0","481,092.0","495,216.0","508,580.0","523,752.0","533,596.0","547,824.0","562,108.0","565,216.0","558,324.0","562,172.0","580,220.0","601,136.0","625,460.0","641,892.0","660,144.0","678,036.0","695,596.0","724,956.0","748,188.0","772,412.0","799,046.0","834,075.0","859,033.0","888,341.0","921,763.0","944,112.0","971,291.0","996,402.0","1,019,602.0","1,030,386.0","1,049,817.0","1,088,849.0","1,125,026.0","1,146,942.0","1,172,429.0","1,186,065.0","1,186,659.0","1,196,551.0","1,207,119.0","1,211,164.0","1,220,091.0","1,245,123.0","1,273,718.0","1,313,283.0","1,355,335.0","1,388,064.0","1,416,239.0","1,440,446.0","1,459,395.0","1,482,038.0","1,505,843.0","1,537,160.0","1,547,231.0","1,560,223.0","1,582,448.0","1,611,734.0","1,632,160.0","1,658,840.0","1,689,360.0","1,733,345.0","1,749,250.0","1,790,962.0","1,822,413.0","1,856,220.0","1,875,216.0","1,891,643.0","1,911,815.0","1,944,032.0","1,967,333.0","2,001,968.0","2,025,846.0","2,026,826.0","2,010,121.0","2,032,638.0","2,055,788.0","2,080,517.0","2,107,810.0","2,140,045.0","2,168,195.0","2,195,533.0","2,201,138.0","2,232,435.0","2,257,766.0","2,284,706.0","2,335,858.0","2,368,007.0","2,393,114.0","2,431,569.0","2,471,084.0","2,495,332.0","2,525,943.0","2,553,509.0","2,567,084.0","2,613,006.0","2,652,726.0","2,692,279.0","2,738,489.0","2,781,995.0","2,834,048.0","2,903,975.0","2,966,350.0","3,022,737.0","3,077,898.0","3,131,623.0","3,189,535.0","3,220,148.0","3,266,049.0","3,350,391.0","3,483,014.0","3,502,774.0","3,579,399.0","3,601,919.0","3,587,516.0","3,566,246.0","3,542,881.0","3,540,875.0","3,506,954.0","3,543,269.0","3,553,658.0","3,572,752.0","3,576,036.0","3,628,086.0","3,677,194.0","3,724,030.0","3,694,068.0","3,752,445.0","3,826,988.0","3,873,389.0","3,895,570.0","3,944,588.0","4,018,980.0","4,046,159.0","4,131,816.0","4,152,969.0","4,180,333.0","4,264,230.0","4,309,219.0","4,339,966.0","4,361,874.0","4,432,785.0","4,459,467.0","4,456,826.0","4,444,544.0","4,380,517.0","4,217,205.0","4,189,603.0","4,175,039.0","4,192,443.0","4,205,138.0","4,271,727.0","4,327,290.0","4,369,819.0"
"40","21","    Wage and salary accruals","B461RC1","306,512.0","315,256.0","323,644.0","329,964.0","332,644.0","333,672.0","337,412.0","336,024.0","344,000.0","350,860.0","355,816.0","363,264.0","375,816.0","384,956.0","392,316.0","406,424.0","420,152.0","431,604.0","442,484.0","455,032.0","463,292.0","475,116.0","486,884.0","488,840.0","481,896.0","484,260.0","498,692.0","515,392.0","534,540.0","547,132.0","561,336.0","575,336.0","589,620.0","613,456.0","631,984.0","651,216.0","669,368.0","699,677.0","720,819.0","745,985.0","771,754.0","790,431.0","813,418.0","834,426.0","852,369.0","859,997.0","875,946.0","910,382.0","936,580.0","955,238.0","977,160.0","988,053.0","984,703.0","992,130.0","1,000,329.0","1,002,649.0","1,006,940.0","1,028,817.0","1,053,964.0","1,089,257.0","1,120,902.0","1,149,706.0","1,174,344.0","1,195,413.0","1,211,760.0","1,231,043.0","1,251,198.0","1,278,035.0","1,284,817.0","1,294,435.0","1,312,513.0","1,337,492.0","1,356,042.0","1,379,489.0","1,406,431.0","1,446,077.0","1,458,092.0","1,494,894.0","1,521,471.0","1,549,511.0","1,566,755.0","1,578,390.0","1,593,968.0","1,621,105.0","1,641,226.0","1,670,699.0","1,689,851.0","1,687,515.0","1,666,931.0","1,683,598.0","1,700,382.0","1,718,397.0","1,736,391.0","1,761,236.0","1,782,804.0","1,804,819.0","1,804,894.0","1,829,015.0","1,848,888.0","1,869,382.0","1,911,368.0","1,937,937.0","1,960,078.0","1,995,656.0","2,038,098.0","2,061,798.0","2,091,584.0","2,118,690.0","2,134,480.0","2,178,812.0","2,217,365.0","2,255,778.0","2,301,984.0","2,341,710.0","2,386,992.0","2,446,472.0","2,497,671.0","2,544,236.0","2,591,588.0","2,639,633.0","2,698,497.0","2,724,841.0","2,763,386.0","2,835,541.0","2,947,707.0","2,958,222.0","3,022,155.0","3,036,356.0","3,028,372.0","3,001,233.0","2,970,862.0","2,959,128.0","2,920,835.0","2,942,824.0","2,939,617.0","2,943,516.0","2,919,434.0","2,957,762.0","2,998,428.0","3,040,572.0","3,020,021.0","3,076,161.0","3,144,196.0","3,181,811.0","3,198,159.0","3,239,062.0","3,304,635.0","3,328,074.0","3,414,666.0","3,435,223.0","3,460,738.0","3,538,591.0","3,586,761.0","3,619,667.0","3,638,587.0","3,699,636.0","3,716,482.0","3,707,273.0","3,689,930.0","3,625,816.0","3,469,500.0","3,438,255.0","3,421,814.0","3,434,571.0","3,437,556.0","3,496,143.0","3,545,488.0","3,582,615.0"
"41","22","    Supplements to wages and salaries","B462RC1","36,440.0","37,684.0","38,924.0","39,960.0","40,656.0","41,152.0","42,024.0","42,292.0","43,796.0","45,248.0","46,528.0","48,232.0","50,668.0","52,804.0","54,772.0","57,760.0","60,940.0","63,612.0","66,096.0","68,720.0","70,304.0","72,708.0","75,224.0","76,376.0","76,428.0","77,912.0","81,528.0","85,744.0","90,920.0","94,760.0","98,808.0","102,700.0","105,976.0","111,500.0","116,204.0","121,196.0","129,678.0","134,398.0","138,214.0","142,356.0","150,009.0","153,681.0","157,873.0","161,976.0","167,233.0","170,389.0","173,871.0","178,467.0","188,446.0","191,704.0","195,269.0","198,012.0","201,956.0","204,421.0","206,790.0","208,515.0","213,151.0","216,306.0","219,754.0","224,026.0","234,433.0","238,358.0","241,895.0","245,033.0","247,635.0","250,995.0","254,645.0","259,125.0","262,414.0","265,788.0","269,935.0","274,242.0","276,118.0","279,351.0","282,929.0","287,268.0","291,158.0","296,068.0","300,942.0","306,709.0","308,461.0","313,253.0","317,847.0","322,927.0","326,107.0","331,269.0","335,995.0","339,311.0","343,190.0","349,040.0","355,406.0","362,120.0","371,419.0","378,809.0","385,391.0","390,714.0","396,244.0","403,420.0","408,878.0","415,324.0","424,490.0","430,070.0","433,036.0","435,913.0","432,986.0","433,534.0","434,359.0","434,819.0","432,604.0","434,194.0","435,361.0","436,501.0","436,505.0","440,285.0","447,056.0","457,503.0","468,679.0","478,501.0","486,310.0","491,990.0","491,038.0","495,307.0","502,663.0","514,850.0","535,307.0","544,552.0","557,244.0","565,563.0","559,144.0","565,013.0","572,019.0","581,747.0","586,119.0","600,445.0","614,041.0","629,236.0","656,602.0","670,324.0","678,766.0","683,458.0","674,047.0","676,284.0","682,792.0","691,578.0","697,411.0","705,526.0","714,345.0","718,085.0","717,150.0","717,746.0","719,595.0","725,639.0","722,458.0","720,299.0","723,287.0","733,149.0","742,985.0","749,553.0","754,614.0","754,701.0","747,705.0","751,348.0","753,225.0","757,872.0","767,582.0","775,584.0","781,802.0","787,204.0"
"42","23","  Taxes on production and imports less subsidies","W325RC1","48,752.0","49,772.0","50,676.0","51,524.0","52,644.0","53,628.0","54,772.0","55,952.0","57,464.0","58,852.0","60,368.0","61,380.0","61,908.0","62,744.0","64,120.0","65,888.0","67,720.0","69,372.0","71,088.0","72,120.0","72,704.0","73,744.0","74,840.0","76,432.0","77,876.0","79,332.0","80,968.0","82,600.0","83,976.0","85,760.0","87,488.0","89,448.0","91,032.0","92,932.0","95,676.0","98,884.0","102,244.0","105,896.0","99,584.0","103,180.0","105,092.0","107,172.0","109,972.0","112,792.0","114,836.0","118,108.0","123,312.0","129,888.0","137,952.0","145,820.0","150,168.0","152,664.0","152,344.0","151,780.0","152,496.0","155,040.0","159,728.0","165,260.0","170,980.0","176,104.0","179,992.0","183,580.0","186,776.0","189,664.0","192,456.0","195,816.0","198,224.0","199,820.0","201,044.0","203,184.0","205,420.0","208,612.0","211,580.0","215,068.0","218,192.0","222,520.0","227,880.0","233,168.0","234,996.0","239,312.0","242,852.0","246,844.0","249,888.0","253,040.0","255,772.0","260,612.0","266,100.0","271,628.0","278,336.0","283,152.0","288,168.0","293,260.0","296,848.0","300,336.0","304,380.0","308,440.0","309,968.0","313,790.0","319,906.0","328,316.0","339,019.0","346,832.0","351,753.0","353,783.0","352,923.0","353,103.0","354,326.0","356,589.0","359,895.0","363,494.0","367,386.0","371,573.0","376,053.0","379,806.0","382,832.0","385,131.0","386,565.0","390,740.0","395,354.0","399,609.0","405,100.0","410,642.0","417,816.0","425,032.0","433,196.0","438,604.0","441,048.0","444,554.0","436,808.0","430,402.0","420,852.0","449,828.0","450,207.0","458,697.0","466,810.0","471,696.0","475,300.0","472,278.0","491,346.0","497,993.0","505,783.0","513,201.0","520,398.0","531,282.0","543,647.0","555,027.0","563,866.0","570,940.0","583,713.0","591,116.0","596,327.0","601,989.0","599,579.0","605,613.0","610,107.0","615,338.0","613,835.0","619,506.0","619,508.0","608,204.0","588,543.0","589,397.0","584,488.0","598,266.0","604,786.0","609,020.0","613,426.0","619,644.0"
"43","24","  Net operating surplus","W326RC1","94,062.0","92,061.0","90,041.0","84,909.0","77,724.0","82,293.0","82,244.0","78,198.0","90,104.0","91,128.0","92,225.0","95,073.0","100,093.0","101,482.0","106,371.0","113,706.0","118,106.0","113,779.0","113,273.0","116,474.0","109,236.0","110,336.0","108,284.0","108,391.0","112,045.0","125,331.0","144,685.0","147,460.0","158,731.0","153,312.0","152,955.0","150,605.0","157,451.0","178,762.0","193,346.0","187,759.0","176,123.0","204,600.0","205,382.0","212,611.0","205,751.0","204,524.0","200,593.0","201,201.0","203,708.0","181,258.0","192,289.0","219,324.0","231,862.0","238,346.0","265,749.0","246,060.0","234,070.0","244,656.0","241,041.0","226,173.0","245,172.0","271,167.0","293,604.0","304,944.0","335,504.0","350,720.0","349,357.0","354,616.0","353,494.0","352,372.0","369,363.0","353,611.0","355,202.0","343,775.0","338,819.0","343,086.0","354,833.0","379,330.0","402,829.0","405,597.0","424,033.0","429,813.0","438,423.0","466,030.0","445,928.0","441,432.0","445,335.0","433,191.0","440,202.0","462,100.0","442,330.0","436,102.0","447,091.0","441,468.0","436,188.0","425,373.0","435,420.0","442,141.0","426,575.0","462,333.0","449,108.0","472,618.0","472,435.0","515,197.0","527,936.0","555,678.0","578,181.0","608,261.0","591,303.0","594,873.0","630,378.0","639,548.0","662,592.0","680,610.0","692,067.0","714,715.0","731,412.0","738,073.0","772,835.0","757,852.0","709,907.0","718,861.0","744,516.0","729,685.0","753,111.0","759,239.0","736,226.0","731,806.0","733,359.0","731,716.0","707,876.0","659,994.0","642,539.0","657,526.0","633,071.0","573,473.0","627,851.0","638,814.0","640,418.0","681,423.0","679,114.0","687,285.0","706,067.0","724,260.0","820,590.0","875,475.0","912,411.0","901,412.0","965,455.0","1,031,316.0","993,870.0","1,109,873.0","1,132,927.0","1,129,202.0","1,227,333.0","1,165,487.0","1,158,780.0","1,183,445.0","1,093,739.0","1,113,464.0","1,038,533.0","1,022,697.0","1,136,044.0","1,047,130.0","994,507.0","921,282.0","927,876.0","1,006,366.0","1,126,272.0","1,169,275.0","1,167,915.0","1,161,035.0"
"44","25","    Net interest and miscellaneous payments","B471RC1","11,375.0","12,255.0","13,275.0","13,943.0","15,057.0","16,141.0","17,317.0","17,813.0","17,669.0","17,697.0","17,645.0","17,417.0","17,743.0","18,159.0","18,927.0","19,719.0","20,130.0","20,918.0","22,506.0","23,682.0","25,459.0","27,059.0","28,071.0","29,575.0","29,834.0","28,590.0","28,018.0","27,182.0","26,161.0","26,198.0","25,778.0","25,663.0","25,702.0","27,746.0","29,514.0","31,026.0","31,803.0","32,838.0","33,606.0","35,261.0","37,780.0","40,128.0","42,472.0","46,708.0","51,800.0","52,792.0","53,324.0","58,860.0","59,108.0","64,339.0","72,047.0","73,466.0","76,901.0","79,093.0","77,329.0","76,417.0","76,178.0","74,772.0","77,393.0","79,589.0","79,784.0","84,397.0","89,097.0","90,578.0","91,538.0","91,257.0","89,675.0","93,498.0","98,479.0","99,848.0","98,765.0","96,724.0","94,663.0","94,118.0","95,598.0","99,025.0","101,226.0","103,851.0","109,773.0","116,726.0","128,199.0","132,931.0","136,653.0","137,953.0","139,373.0","142,607.0","144,964.0","145,448.0","145,682.0","142,605.0","139,297.0","130,956.0","123,849.0","116,509.0","110,511.0","106,059.0","106,221.0","100,863.0","96,617.0","95,359.0","92,803.0","95,132.0","100,639.0","106,498.0","111,804.0","112,977.0","112,976.0","113,171.0","108,181.0","110,580.0","112,794.0","116,685.0","120,918.0","122,114.0","125,713.0","130,043.0","137,837.0","145,034.0","150,745.0","153,668.0","154,457.0","160,062.0","167,501.0","176,092.0","187,125.0","192,050.0","196,501.0","195,620.0","197,237.0","200,413.0","198,491.0","194,599.0","181,220.0","164,884.0","156,884.0","151,756.0","162,979.0","150,730.0","142,205.0","135,594.0","135,034.0","136,776.0","134,426.0","131,372.0","141,653.0","146,367.0","151,546.0","153,130.0","152,578.0","157,847.0","164,811.0","180,944.0","204,532.0","219,803.0","242,579.0","262,386.0","269,922.0","273,028.0","270,255.0","272,131.0","250,475.0","219,039.0","205,544.0","205,342.0","208,292.0","202,344.0","199,179.0","202,225.0"
