"","Table 2#6# Personal Income and Its Disposition, Monthly         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Personal income excluding current transfer receipts (millions of chained 2005 dollars) \2\","W875RX1","3,100,814.0","3,112,628.0","3,126,861.0","3,137,936.0","3,149,590.0","3,160,291.0","3,178,278.0","3,198,843.0","3,205,783.0","3,212,639.0","3,213,702.0","3,216,785.0","3,211,077.0","3,213,352.0","3,221,523.0","3,229,457.0","3,231,790.0","3,224,385.0","3,242,165.0","3,250,777.0","3,250,409.0","3,224,544.0","3,220,903.0","3,226,954.0","3,259,973.0","3,262,547.0","3,271,099.0","3,283,166.0","3,294,660.0","3,293,995.0","3,298,000.0","3,316,835.0","3,318,354.0","3,331,225.0","3,347,405.0","3,374,722.0","3,398,346.0","3,415,568.0","3,433,480.0","3,447,501.0","3,460,691.0","3,466,728.0","3,494,990.0","3,531,627.0","3,548,037.0","3,603,618.0","3,632,432.0","3,656,286.0","3,641,594.0","3,663,966.0","3,665,935.0","3,678,400.0","3,692,758.0","3,706,921.0","3,721,442.0","3,708,999.0","3,732,825.0","3,770,115.0","3,780,207.0","3,770,681.0","3,731,512.0","3,706,528.0","3,679,276.0","3,661,990.0","3,665,317.0","3,670,507.0","3,685,900.0","3,668,134.0","3,660,428.0","3,666,067.0","3,634,419.0","3,616,929.0","3,603,356.0","3,582,301.0","3,580,326.0","3,576,609.0","3,594,508.0","3,601,278.0","3,603,161.0","3,637,117.0","3,651,789.0","3,669,916.0","3,681,032.0","3,683,538.0","3,707,561.0","3,735,263.0","3,756,516.0","3,779,042.0","3,794,599.0","3,797,532.0","3,813,082.0","3,828,477.0","3,835,369.0","3,840,955.0","3,874,911.0","3,884,609.0","3,866,155.0","3,878,601.0","3,899,456.0","3,923,433.0","3,947,069.0","3,960,577.0","3,975,943.0","3,989,178.0","4,023,422.0","4,078,292.0","4,097,919.0","4,111,671.0","4,096,271.0","4,117,049.0","4,145,282.0","4,180,823.0","4,182,814.0","4,207,059.0","4,219,170.0","4,233,745.0","4,250,529.0","4,267,824.0","4,280,723.0","4,307,308.0","4,312,710.0","4,334,221.0","4,349,485.0","4,309,683.0","4,304,406.0","4,314,090.0","4,318,835.0","4,325,009.0","4,331,621.0","4,346,588.0","4,368,916.0","4,384,810.0","4,373,041.0","4,354,306.0","4,330,644.0","4,309,540.0","4,289,774.0","4,288,930.0","4,272,017.0","4,289,392.0","4,313,244.0","4,381,794.0","4,410,211.0","4,428,988.0","4,414,314.0","4,397,915.0","4,410,115.0","4,404,326.0","4,419,050.0","4,447,617.0","4,495,492.0","4,518,229.0","4,518,877.0","4,508,593.0","4,508,097.0","4,501,212.0","4,488,840.0","4,504,795.0","4,507,656.0","4,531,328.0","4,537,023.0","4,514,530.0","4,501,709.0","4,501,571.0","4,491,786.0","4,485,887.0","4,490,098.0","4,516,049.0","4,512,597.0","4,511,973.0","4,529,218.0","4,535,528.0","4,563,522.0","4,569,624.0","4,596,395.0","4,598,199.0","4,631,564.0","4,682,803.0","4,711,252.0","4,752,967.0","4,783,599.0","4,820,024.0","4,850,721.0","4,887,002.0","4,901,390.0","4,945,237.0","4,968,922.0","5,006,214.0","5,047,707.0","5,030,204.0","5,064,465.0","5,089,958.0","5,088,891.0","5,094,518.0","5,094,782.0","5,105,272.0","5,111,230.0","5,130,209.0","5,118,698.0","5,125,755.0","5,145,993.0","5,175,738.0","5,184,213.0","5,212,275.0"
"50",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","    Total, millions of chained (2005) dollars \2\","A067RX1","2,922,567.0","2,921,830.0","2,925,651.0","2,924,246.0","2,957,272.0","2,976,931.0","2,998,540.0","3,017,607.0","3,022,703.0","3,031,953.0","3,034,913.0","3,037,799.0","3,043,144.0","3,049,571.0","3,057,307.0","3,119,268.0","3,101,505.0","3,089,762.0","3,135,432.0","3,147,814.0","3,153,152.0","3,135,773.0","3,128,681.0","3,140,997.0","3,191,612.0","3,195,183.0","3,205,362.0","3,215,035.0","3,226,097.0","3,294,601.0","3,245,770.0","3,263,402.0","3,269,955.0","3,279,749.0","3,289,680.0","3,313,224.0","3,299,607.0","3,318,029.0","3,327,275.0","3,328,258.0","3,351,843.0","3,358,190.0","3,388,272.0","3,421,317.0","3,434,037.0","3,516,754.0","3,558,304.0","3,576,301.0","3,562,524.0","3,597,841.0","3,611,710.0","3,617,640.0","3,625,008.0","3,635,709.0","3,644,250.0","3,634,936.0","3,653,964.0","3,688,875.0","3,695,984.0","3,681,559.0","3,660,678.0","3,632,003.0","3,604,447.0","3,603,187.0","3,600,303.0","3,599,725.0","3,626,273.0","3,608,849.0","3,601,948.0","3,611,533.0","3,589,745.0","3,586,619.0","3,582,656.0","3,580,911.0","3,582,368.0","3,650,556.0","3,866,051.0","3,731,462.0","3,675,558.0","3,703,410.0","3,716,688.0","3,734,548.0","3,734,668.0","3,739,223.0","3,767,371.0","3,793,973.0","3,811,432.0","3,818,385.0","3,822,151.0","3,826,161.0","3,850,699.0","3,859,039.0","3,860,445.0","3,855,934.0","3,892,963.0","3,904,408.0","3,893,036.0","3,856,079.0","3,913,549.0","3,923,736.0","3,927,142.0","3,944,548.0","3,970,506.0","3,988,917.0","4,012,787.0","4,050,554.0","4,077,196.0","4,085,998.0","4,068,570.0","4,092,046.0","4,128,836.0","4,145,152.0","4,142,746.0","4,142,481.0","4,166,204.0","4,179,128.0","4,185,788.0","4,195,748.0","4,206,844.0","4,226,766.0","4,242,036.0","4,255,958.0","4,269,577.0","4,237,319.0","4,224,870.0","4,216,525.0","4,247,324.0","4,252,175.0","4,251,882.0","4,265,590.0","4,286,282.0","4,300,545.0","4,324,418.0","4,299,799.0","4,264,261.0","4,247,261.0","4,229,961.0","4,231,077.0","4,266,258.0","4,272,603.0","4,300,058.0","4,352,009.0","4,365,690.0","4,386,327.0","4,365,997.0","4,348,539.0","4,359,798.0","4,344,789.0","4,353,435.0","4,377,587.0","4,447,555.0","4,460,809.0","4,457,611.0","4,468,405.0","4,467,519.0","4,457,159.0","4,459,821.0","4,471,447.0","4,477,496.0","4,519,881.0","4,505,455.0","4,477,507.0","4,522,711.0","4,520,513.0","4,518,510.0","4,516,654.0","4,535,585.0","4,556,999.0","4,564,235.0","4,565,540.0","4,586,902.0","4,595,838.0","4,611,962.0","4,608,896.0","4,667,031.0","4,665,051.0","4,691,880.0","4,731,152.0","4,770,654.0","4,811,596.0","4,844,953.0","4,874,803.0","4,906,138.0","4,942,177.0","4,950,169.0","4,985,780.0","5,001,199.0","5,038,801.0","5,069,901.0","5,054,859.0","5,083,071.0","5,115,533.0","5,118,146.0","5,072,568.0","5,025,835.0","5,131,401.0","5,250,024.0","5,136,776.0","5,138,230.0","5,132,720.0","5,151,619.0","5,180,344.0","5,188,771.0","5,212,901.0"
"52",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","31","      Current dollars","A229RC0","3,202","3,207","3,224","3,234","3,281","3,316","3,352","3,379","3,396","3,414","3,429","3,445","3,461","3,479","3,494","3,578","3,566","3,557","3,619","3,639","3,657","3,650","3,652","3,679","3,742","3,754","3,775","3,797","3,822","3,917","3,867","3,895","3,904","3,918","3,934","3,974","3,971","4,006","4,020","4,024","4,058","4,069","4,116","4,165","4,195","4,297","4,358","4,390","4,384","4,448","4,493","4,531","4,559","4,596","4,619","4,656","4,695","4,763","4,808","4,825","4,841","4,855","4,871","4,901","4,941","4,978","5,048","5,071","5,109","5,155","5,158","5,191","5,213","5,236","5,252","5,366","5,700","5,530","5,488","5,549","5,591","5,645","5,677","5,712","5,773","5,817","5,849","5,869","5,898","5,926","5,989","6,029","6,060","6,079","6,160","6,207","6,221","6,205","6,324","6,373","6,405","6,464","6,535","6,589","6,647","6,734","6,811","6,854","6,860","6,928","7,030","7,105","7,145","7,185","7,259","7,311","7,356","7,425","7,480","7,545","7,622","7,682","7,760","7,775","7,825","7,866","7,976","8,037","8,099","8,183","8,272","8,361","8,487","8,523","8,548","8,551","8,573","8,621","8,751","8,828","8,958","9,130","9,226","9,323","9,353","9,404","9,487","9,488","9,541","9,624","9,828","9,909","9,951","10,012","10,055","10,055","10,114","10,164","10,196","10,290","10,310","10,311","10,468","10,485","10,500","10,546","10,615","10,674","10,736","10,752","10,809","10,872","10,934","10,958","11,150","11,184","11,278","11,383","11,487","11,584","11,708","11,852","11,959","12,085","12,112","12,212","12,283","12,403","12,486","12,468","12,547","12,654","12,708","12,639","12,560","12,835","13,149","12,881","12,895","12,908","12,968","13,058","13,114","13,211"
"54","32","      Chained (2005) dollars","A229RX0","14,481","14,468","14,477","14,459","14,610","14,694","14,787","14,866","14,876","14,906","14,907","14,909","14,923","14,943","14,969","15,253","15,150","15,076","15,282","15,324","15,332","15,229","15,178","15,222","15,451","15,453","15,488","15,519","15,558","15,873","15,622","15,690","15,704","15,734","15,767","15,866","15,788","15,865","15,897","15,889","15,989","16,006","16,136","16,278","16,323","16,701","16,885","16,957","16,880","17,036","17,090","17,105","17,126","17,163","17,190","17,130","17,205","17,355","17,376","17,296","17,186","17,040","16,900","16,882","16,855","16,839","16,949","16,852","16,804","16,834","16,720","16,693","16,664","16,645","16,641","16,945","17,928","17,286","17,010","17,122","17,168","17,235","17,222","17,230","17,347","17,458","17,527","17,547","17,551","17,555","17,653","17,675","17,665","17,628","17,783","17,821","17,755","17,574","17,822","17,854","17,854","17,918","18,019","18,084","18,174","18,328","18,432","18,456","18,364","18,457","18,607","18,665","18,638","18,619","18,708","18,746","18,756","18,783","18,815","18,888","18,940","18,987","19,032","18,872","18,799","18,744","18,862","18,863","18,842","18,883","18,956","19,000","19,088","18,962","18,789","18,698","18,602","18,588","18,725","18,734","18,835","19,045","19,089","19,166","19,065","18,977","19,012","18,932","18,955","19,044","19,331","19,370","19,337","19,366","19,348","19,289","19,287","19,324","19,336","19,505","19,428","19,292","19,470","19,443","19,417","19,393","19,460","19,538","19,556","19,549","19,628","19,653","19,708","19,678","19,910","19,885","19,982","20,133","20,287","20,448","20,577","20,691","20,810","20,949","20,968","21,103","21,151","21,292","21,404","21,322","21,426","21,549","21,547","21,343","21,133","21,562","22,043","21,550","21,537","21,495","21,554","21,656","21,675","21,760"
"55","33","  Population (midperiod, thousands) \3\","B230RC0","201,821","201,952","202,092","202,246","202,419","202,592","202,777","202,984","203,196","203,401","203,588","203,762","203,929","204,082","204,246","204,504","204,719","204,941","205,174","205,418","205,664","205,906","206,131","206,352","206,567","206,762","206,960","207,163","207,361","207,562","207,771","207,998","208,230","208,450","208,648","208,829","208,989","209,137","209,299","209,466","209,635","209,811","209,986","210,177","210,379","210,568","210,739","210,903","211,053","211,187","211,337","211,499","211,662","211,828","212,001","212,191","212,382","212,555","212,710","212,859","213,003","213,143","213,286","213,437","213,600","213,770","213,948","214,144","214,349","214,538","214,704","214,857","214,998","215,132","215,276","215,438","215,646","215,871","216,084","216,294","216,490","216,679","216,851","217,013","217,172","217,315","217,455","217,607","217,773","217,948","218,134","218,337","218,542","218,739","218,920","219,093","219,262","219,424","219,594","219,772","219,953","220,143","220,349","220,573","220,796","221,007","221,206","221,390","221,553","221,711","221,892","222,084","222,278","222,482","222,697","222,933","223,168","223,383","223,585","223,781","223,973","224,150","224,333","224,529","224,734","224,948","225,174","225,419","225,662","225,893","226,120","226,339","226,554","226,753","226,955","227,156","227,387","227,624","227,840","228,070","228,302","228,515","228,696","228,858","229,004","229,148","229,314","229,489","229,668","229,864","230,077","230,300","230,527","230,732","230,906","231,073","231,235","231,392","231,558","231,727","231,901","232,090","232,290","232,496","232,708","232,905","233,077","233,241","233,398","233,543","233,697","233,852","234,020","234,213","234,404","234,601","234,804","234,993","235,157","235,310","235,456","235,601","235,757","235,916","236,077","236,254","236,449","236,655","236,868","237,068","237,238","237,392","237,535","237,667","237,816","237,987","238,172","238,368","238,573","238,789","239,006","239,210","239,392","239,558"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. The current-dollar measure is deflated by the implicit price deflator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Population is the total population of the United States, including the Armed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Forces overseas and the institutionalized population.  The monthly estimate is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","the average of the estimates for the first of the month and the first of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","following month; the annual estimate is the average of the monthly estimates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
