"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"70","63","    Agriculture","G160541",4.5,2.6,2.7,3.7,3,3.6,3.6,3.5,3.7,5.5,6.7,5.8,5.4,6.8,5.4,2.9,3.7,3.7,5,6.7,5.4,7.3,7.9,11.5,18.8,14.2,17.4,26.2,25.8,16.3,17.1,15.2,16.1,17.8,21.5,15.5,14.5,14.2,15.6,19.4,29.8,31.4,31.1,22,27.6,23.7,35.4,29.2,24.2
"71","64","    Energy","G160551",0.5,0.6,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.3,1.2,1.9,2.9,3.5,4.6,6.3,5.8,6,10.3,7,7.3,7.3,6.9,5.9,6.3,6.3,5.8,6.5,6.3,7,8.4,8.6,9.8,8.3,9.2,8.3,9.7,8.8,9.9,11.7,13,13.8,12.7,13.1,14.3
"72","65","    Natural resources","G160561",0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.9,0.6,0.9,1.3,1.3,1.6,1.3,1.6,2,2.1,2.7,2.8,3.8,4.2,5.4,5.6,6.4,6.5,6.7,6.6,6.8,7.3,7.3,8.1,8.9,9,9.3,10.7,10.6,11.1,10.6,11.6,11.5,13.6,14.5,16.1,16.9,17.2,17.2,19,20.9
"73","66","    Postal service","G160621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","67","Housing and community services","G160651",0.2,0.3,0.4,0.5,0.7,1,0.8,0.9,1.1,1.1,1.3,2.4,3.2,3.8,4.1,4.5,5.2,6.2,6.7,7.2,8.8,10.6,11.9,13.3,13.9,14.9,16.2,16.7,16.6,17.8,18.8,19.7,21.1,22.5,26.2,27.7,31.2,32.2,32.2,34.2,35.1,33.9,34.6,39.4,42,42.9,46.9,46.5,52.5
"75","68","Health","G160661",2.2,2.5,2.9,2.9,3.3,3.4,3.6,6.2,11,11.8,13.5,16.7,18.4,22.5,24.8,30.2,35.7,41.4,46.6,52.2,59.4,69.6,81.1,89.6,99.3,109.6,118.4,127.4,137.7,148.9,167,187.9,214.8,245.2,271.1,295,318.7,340.8,355.4,363.1,378.8,405.1,453.9,493.9,532.2,575,612.9,671.9,718.2
"76","69","Recreation and culture","G160671",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.2,1.3,1.4,1.5,1.7,1.9,1.6,1.5,2.2,1.7,1.8,1.7,1.9,1.9,2.1,2.3,2.4,2.3,2.5,2.5,2.6,2.7,2.9,2.8,3.4,3.9,4.1,4.1,4.7,4.9,4.9,4.9
"77","70","Education","G160681",1.1,0.9,0.9,0.9,0.9,1.1,1.3,3.5,4.2,4.6,5,6.3,7.2,8.4,8.4,10.1,13.1,11.7,12.1,12.7,14.2,15.9,16.9,15.7,15.8,16.7,17.5,17.6,17.3,19.3,22.1,22.5,24.3,27.1,30.5,31.5,32.3,34.1,36.8,38.2,41.2,42.1,47.3,53.7,60.7,67.3,70.2,71.6,71.2
"78","71","  Elementary and secondary","G160691",0.4,0.3,0.3,0.3,0.3,0.3,0.3,1.7,1.8,1.9,1.8,2.1,2.3,3,2.6,3.4,4,3.1,3.9,4.4,5.2,5.7,5.6,5.5,4.6,6.4,6.3,6.3,5.9,7.2,8.1,8.4,9.7,10.8,11.8,12.3,11.8,13.5,13.4,14.9,16.8,17.7,19.3,22.4,28.3,33.1,33.9,34.3,33.3
"79","72","  Higher","G160701",0,0.2,0.2,0.3,0.3,0.3,0.5,0.7,1.1,0.9,0.9,1.2,1.3,1.3,1.2,1.3,1.8,2.5,3,3.2,4.1,5.5,6.6,5.7,6.8,6.4,7,6.8,6.8,7.6,9.5,9.3,9.4,10.3,11.9,11.3,12,11.8,14.4,14,14.9,14.1,16,18.2,18.8,20.1,21.8,21.5,22.7
"80","73","  Other","G160711",0.7,0.5,0.4,0.3,0.4,0.4,0.5,1.1,1.4,1.8,2.2,3,3.6,4.1,4.6,5.3,7.2,6.1,5.2,5.1,4.9,4.8,4.7,4.5,4.3,4,4.2,4.5,4.5,4.6,4.5,4.9,5.2,6,6.8,8,8.4,8.7,8.9,9.3,9.5,10.3,12,13,13.6,14,14.5,15.8,15.2
"81","74","Income security","G160721",20.2,21.6,25.2,26.3,27.5,28.4,31,32.2,35.1,39.5,43.1,52.8,63.8,71.1,79.7,95.1,122.5,132.4,140.3,149,165.2,198.7,222.1,247.3,263.1,264,275.5,289.5,296.3,313.2,334.6,363.5,402.8,447.6,468.5,481.7,501.8,521.6,536.3,551.8,569.5,596.9,642.6,707.4,739.3,759.9,799.6,841.3,880.7
"82","75","  Disability","G160731",4,4.2,4.8,4.9,5.3,5.5,6,6.1,6.7,7.3,8,9.1,10.6,11.9,13.9,15.8,18,20.3,22.6,24.2,27.1,29.8,32.8,34,34.8,35.2,36.5,37.5,38.2,39.7,41.4,43.8,46.7,50.4,54.9,58.2,62.1,66,68.3,71.9,75.8,80.5,86.5,97.7,103.4,113.9,124.3,132,140.4
"83","76","  Retirement \5\","G160741",10.6,11.6,12.8,14.5,15.2,16,17.8,19.4,20.8,24.2,25.8,30.6,35.4,39.3,48.2,54.3,61.6,68.9,76.4,83.9,94.3,109.1,128.2,143.6,154.4,162.8,172.2,181.9,188.9,200.9,213.5,228.6,246.1,260.6,273.6,284.9,297.5,308.4,321.9,332.5,339.3,357.9,377.1,391,404.2,418.1,437,463.7,490.5
"84","77","  Welfare and social services","G160751",2.2,2.2,2.6,3,3.2,3.3,3.9,3.6,4.1,5,5.9,7.8,10.6,12.5,11.3,16.2,21.5,23.7,24.6,27.1,29.5,35.9,38.5,38.6,41.7,44.1,45.2,47.1,48.1,51.3,55.1,62.2,71.6,81.2,86.3,91.9,95.5,95.3,94.1,93.6,96.6,100,107,117.5,122.5,127.5,134,136.2,142.3
"85","78","  Unemployment","G160761",3.1,3.3,4.7,3.5,3.4,3.1,2.7,2.4,2.7,2.7,2.8,4.7,6.6,6.6,5.2,7.7,18.8,17.3,14.3,11.5,11.7,20.3,18.8,27.5,28.7,18.3,18.2,19.1,17.2,16,17.1,21,29.9,42.7,38,27,25.1,25.7,23.4,23.1,24.1,23.7,35.6,57.5,56.8,40.5,35.2,34.2,36.4
"86","79","  Other","G160771",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.7,0.4,0.5,0.7,0.6,0.7,1.1,1.1,2.7,2.3,2.4,2.3,2.5,3.7,3.9,3.6,3.6,3.7,3.4,3.9,3.9,5.3,7.5,7.9,8.4,12.8,15.7,19.7,21.7,26.2,28.6,30.7,33.7,34.7,36.4,43.7,52.5,59.9,69.1,75.2,71.1
"87","80","      State and local","W024RC1",36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.7,578.1,617.6,666.5,730.5,793.3,845,886,932.4,978.2,1017.5,1058.3,1111.2,1186.3,1269.5,1368.2,1444.3,1514.5,1592.8,1684.9,1765.3,1892.4
"88","81","General public service","G160791",4.7,5.2,5.8,6.1,6.4,7,7.7,8.6,9.5,10.9,12.5,14.6,16.7,19.5,22.2,25.9,30.6,33.5,37.5,40.3,44.9,50.1,55.7,63,72.3,79.7,89.7,99.3,106.8,111.7,118.8,126.2,133,139.6,141,145.4,149.2,154.5,162.5,172.2,182.2,191.7,203,209.9,216.2,218.9,228.7,241.9,254.4
"89","82","  Executive and legislative","G160801",0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.6,1.8,2,2.4,2.9,3.2,3.4,3.8,3.6,3.9,4.5,5.1,5.7,5.8,6,6.6,7.1,7.7,8.3,8.9,9.9,10.5,10.8,11.1,11.8,12.4,13.1,13.8,14.9,16.1,16.9,18.3,19.4,20.4,21.9,24.6,26.9,29.4
"90","83","  Tax collection and financial management","G160811",1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2,2.2,3,3.3,3.4,3.6,3.8,4.3,5.4,5.4,6.2,6.7,6.8,7.1,7.4,9,10.9,11.2,16.4,24.4,20.3,21.5,18.9,19.6,20.5,22.9,24.5,24.5,24.7,24.1,24.7,26.6,30.2,29.1,27.2,30.5,32.8,33,34,34.8,36.3
"91","84","  Interest payments","G160821",1.8,2.1,2.2,2.4,2.7,2.9,3.1,3.4,3.7,4.2,4.4,5.3,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,39.4,38.2,46.2,48.4,54.6,57.9,61.7,61.9,60.2,62,64.2,68.1,71.4,73.6,74.6,79.5,85.5,86,87.7,88.4,89.9,94.3,98.5
"92","85","  Other \7\","G160831",1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.4,2.7,3.2,3.6,4.3,5,6.4,7.5,9,10.8,12.2,13.8,15.2,16.9,19.1,20.4,21.2,23.3,25.4,27.4,29.6,32.7,33.5,36.4,38.8,40.2,44,45.2,47,47.9,49.3,52.5,57.1,61.4,66.1,71.9,74,75.3,75.6,80.2,86,90.1
"93","86","Public order and safety","G160841",3.8,4.1,4.4,4.7,5,5.3,5.8,6.3,7,8.2,9,10.3,11.7,12.9,14.6,16.6,18.9,20.8,22.8,26.3,29.2,32.6,36.8,41.2,44.7,48.3,53.5,58.3,62.7,68.4,75.2,83.3,90.2,96.9,103.3,110.9,118.8,126.1,133.2,141.8,152.5,161.7,172.2,183,189.3,198.5,211,225.8,244.7
"94","87","  Police","G160851",1.8,1.9,2.1,2.2,2.4,2.5,2.7,3,3.4,4.1,4.4,5,5.7,6.3,7.1,8,9.1,9.9,10.9,12.2,13.4,14.8,16.5,18.3,19.6,20.8,22.8,24.5,25.8,27.7,29.8,32.6,35.3,37.6,39.3,41.9,45.1,48,50.5,53.3,57,59.4,63.5,68.3,71.4,74.9,80.1,85.6,93.4
"95","88","  Fire","G160861",0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,5.1,5.6,6.1,6.9,7.7,8.3,8.8,9.6,10.6,11.3,11.8,12.7,13.7,14.5,15.7,16.2,17.1,17.7,18.5,19.2,20.4,21.6,23.1,24.1,26,27.1,28.7,31.7,34.5,38
"96","89","  Law courts","G160871",0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,2.1,2.3,2.6,2.8,3,4.2,4.7,5.5,6.1,6.8,7.3,7.8,8.5,9.1,9.7,11,12.2,13.6,14.8,15.8,18,19.2,20.4,21.4,22.9,25,27.2,28.9,30.8,32.6,33.3,35.4,36.4,38.5,40.9
"97","90","  Prisons","G160881",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.9,2.1,2.5,3,3.4,3.9,4.4,4.8,5.4,6.2,7.2,8.4,9.6,10.9,12.6,14.1,15.9,17.9,20.4,23.4,25.7,27.7,29.8,32.7,35.6,38.2,40.6,43.1,46.7,50.3,53.8,56.1,57.5,59.6,62.8,67.3,72.4
"98","91","Economic affairs","G160891",6,6.3,6.7,7,7.5,8,8.6,9.4,10.2,11,12.2,13.5,14.8,15.9,17.6,21.1,24.2,25.6,26.9,30.2,32.8,36.9,40.7,43.7,45,46.5,49.7,53,55.4,57.7,60.6,64.5,67.9,71.1,73.7,76.9,80.8,83.8,87.6,91.6,97.9,104,116.9,118.4,120,122.9,131.9,141.1,151.5
"99","92","  Transportation","G160941",4.5,4.7,5,5.3,5.6,5.9,6.3,6.9,7.5,8.1,9,9.9,10.8,11.5,12.8,15.5,17.4,18,18.9,20.4,22.4,25.4,28.6,31.3,32.4,33.5,35.7,37.9,39.3,40.8,42.3,44.9,47.3,49,50.9,53.2,56.2,58.6,61.4,64.2,68.8,72.9,76.4,80,82.4,85.9,92.7,99.9,108.3
"100","93","    Highways","G160951",4.5,4.7,5,5.3,5.6,5.9,6.3,6.8,7.4,8.1,8.9,9.9,10.8,11.5,12.7,15.4,17.2,17.8,18.7,20.2,22.1,25.1,28.2,30.9,32,33.1,35.3,37.6,39,40.4,41.9,44.5,46.9,48.6,50.5,52.9,55.8,58.3,60.9,63.8,68.3,72.4,75.7,79.5,82,85.5,92.3,99.5,107.9
"101","94","    Transit and railroad","G160981",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4
"102","95","  Other economic affairs","W693RC1",1.4,1.6,1.7,1.7,1.9,2,2.2,2.5,2.7,2.9,3.2,3.6,4,4.4,4.8,5.6,6.8,7.5,8.1,9.8,10.4,11.5,12.1,12.4,12.6,13,14,15.1,16.1,17,18.3,19.6,20.6,22.1,22.7,23.7,24.6,25.2,26.2,27.3,29.1,31.1,40.6,38.4,37.6,36.9,39.2,41.3,43.1
"103","96","    General economic and labor affairs","G160901",0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,3,3.8,4.4,4.8,6.2,6.5,7,7.1,7,6.8,6.8,7.3,7.9,8.6,8.8,9.6,10.4,10.8,11.8,12.1,12.3,12.6,12.8,13.3,13.9,14.7,15.5,16.9,20.2,19.9,18.6,20.5,21.8,22.8
"104","97","    Agriculture","G160911",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.3,1.3,1.4,1.4,1.6,1.8,1.9,2.1,2.3,2.5,2.6,2.8,2.9,3,3.2,3.5,3.7,3.8,3.8,3.9,3.9,4.1,4.2,4.5,5.1,5.7,5.5,6,6.1,5.7,5.8,5.8,6
"105","98","    Energy","G160921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0
"106","99","    Natural resources","G160931",0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.3,1.5,1.8,1.8,1.9,2.1,2.3,2.7,3.1,3.3,3.5,3.7,4.1,4.3,4.6,5.1,5.4,5.7,6.2,6.6,6.9,7.6,8.1,8.4,8.7,9,9.3,9.8,11.1,11.7,11.9,12.7,12.9,13.6,14.3
"107","100","    Other \4\","G160991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"108","101","Housing and community services \8\","G161001",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2.1,2.2,2.5,2.7,2.7,2.7,2.7,2.9,3.1,3.2,3.7,4.1,4.6,5,5.1,5,5.3,5.3,5.6,5.8,5.8,6.3,6.8,7.2,7.3,7.6,7.7,8.2,8.7,15.7
"109","102","Health","G161051",3.1,3.3,3.7,4,4.4,4.8,5.3,6,7.1,8.9,10.1,12,14.1,15.9,18,21.2,25.1,26.9,29.8,32.7,35.8,40.8,46,49.3,52.6,56.5,61.5,66.6,72.5,79.9,89.4,105,129.1,147.5,159.2,169.2,178.6,187,189.9,194.8,214.1,230.3,256.7,282.7,299.3,329.2,352.7,358,391.2
"110","103","Recreation and culture","G161061",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.5,3.8,4.2,4.5,5,5.4,5.9,6.6,7.1,7.3,7.9,8.7,9.5,10.1,10.7,10.9,11.7,12.3,12.7,13.3,14.1,15.1,16.1,17.4,19,20.5,21.4,23.1,24.9,26.8
"111","104","Education","G161071",13.9,15.6,17.2,18.8,20.6,22.8,25.3,28.8,32.5,36.3,41.2,47.6,53.6,59,65,72.6,83.6,92.2,100,107.5,118.3,129.5,140.7,151,159.7,172.7,187.6,202.8,216.7,231.2,248.3,268.8,282.2,292.8,308.3,324.5,343.2,358.9,376.1,397.1,418.9,453.3,482.1,503.9,535.4,564.4,593.7,626.8,663.9
"112","105","  Elementary and secondary","G161081",11.7,13,14.4,15.6,17.1,18.8,20.7,23.4,25.9,28.6,32.4,37.1,41.4,45.6,50.1,55.3,62.9,69.2,74.9,80.5,88.7,96.8,104.5,112,119.3,129.9,140.4,152.5,164.2,174.9,187.6,203.2,214.6,224.6,234.8,245.8,260.8,273.9,288.4,304.3,321.9,348.2,370.4,387.3,416.6,436.8,457.9,483.1,510.4
"113","106","  Higher","G161091",1.7,2,2.1,2.4,2.7,3,3.4,4,4.8,5.6,6.4,7.6,8.7,9.7,10.8,12.6,15.2,17,18.6,20.1,22.1,24.6,27.6,29.9,31,32.8,36.1,38.3,39.7,42.7,45.8,49.4,50.8,50.7,54.7,58.3,60.1,61.7,63.8,67.4,69.8,75.5,79.6,82.3,82.2,87.8,92.7,97.4,103.3
"114","107","  Libraries and other","W694RC1",0.5,0.6,0.7,0.7,0.8,1,1.1,1.4,1.7,2.1,2.4,2.9,3.4,3.8,4.1,4.7,5.5,6,6.4,7,7.5,8.1,8.7,9.1,9.3,10,11.1,12,12.8,13.6,14.9,16.2,16.9,17.6,18.8,20.4,22.3,23.3,23.9,25.4,27.1,29.6,32.1,34.3,36.5,39.8,43,46.3,50.3
"115","108","    Libraries","G161101",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.1,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.3,4.5,4.8,5.1,5.4,5.7,6,6.3,6.6,7.1,7.5,7.9,8.5,9,9.7
"116","109","    Other","G161111",0.3,0.3,0.4,0.4,0.5,0.6,0.7,1,1.3,1.6,1.9,2.3,2.7,3.1,3.3,3.8,4.4,4.8,5.2,5.6,6,6.4,6.9,7.1,7.2,7.7,8.5,9.2,9.8,10.4,11.4,12.4,12.9,13.4,14.5,15.9,17.5,18.2,18.5,19.7,21.1,23.3,25.5,27.2,29.1,31.9,34.6,37.3,40.6
"117","110","Income security","G161121",4.4,4.5,4.8,5,5.3,5.7,6.1,6.7,7.6,8.8,10.3,12.6,15,16.6,18,17.8,20.7,22.9,25,26.4,28.5,32.9,35.7,37.6,41.3,44,47.1,50.5,53.4,57.2,61.4,68.7,75.7,81.3,84.6,88.5,90,88.9,90,93.8,99.3,105.4,112.6,120,126.1,129.8,135.6,137.9,144.3
"118","111","  Disability","G161131",0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.2,15.6,18,19.9,20.8,21.1,21.3,22.2
"119","112","  Welfare and social services","G161141",3.9,4,4.2,4.4,4.6,5,5.3,5.9,6.8,7.9,9.3,11.6,13.9,15.4,16.6,16.2,19.1,21,22.8,24,25.7,29.8,32.2,33.6,36.9,39.1,41.7,44.5,46.3,49.2,52.6,58.3,63.8,68.3,71.5,75.5,77,75.6,76.6,80.6,85.8,91.2,96.9,102,106.2,109.1,114.5,116.6,122.1
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1. Equals Federal Government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Prior to 1960, Federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","payments, which is shown net of Federal interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","3. Equals unallocable state and local government expenditures, less ``wage accruals less disbursements''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","shown in table 3.1; includes Federal Government revenue sharing grants to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","6. Consists primarily of Federal Government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","with 1972 and ending with 1987, less ``wage accruals less disbusements'' shown in table 3.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","7. Equals unallocable state and local government expenditures less ``wage accruals less disbursements''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","shown in table 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","8. Consists of current expenditures for sanitation, and for 2007, housing subsidies related to Hurricane Katrina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
