"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"43","36","        Value added","W129RG3",4.085,3.772,4.107,4.125,4.435,4.761,4.418,5.211,5.209,5.348,5.111,4.882,4.658,4.5,4.527,4.928,5.164,6.554,6.61,6.205,6.936,6.772,7.261,7.576,7.909,7.933,8.492,8.975,9.354,10.365,10.608,10.923,11.507,11.807,12.32,13.047,13.568,14.176,14.512,15.603,16.468,18.568,20.508,21.899,23.506,25.184,28.177,30.146,33.327,34.868,37.243,40.848,44.871,47.678,49.261,51.326,53.124,54.586,56.321,59.571,62.297,64.895,69.471,71.592,76.661,80.291,84.079,87.135,90.059,92.091,95.999,100,102.272,108.2,113.64,120.762,125.685
"44","37","          Compensation of general government employees","W130RG3",2.756,2.531,2.808,2.87,3.109,3.33,3.068,3.657,3.658,3.766,3.595,3.405,3.183,2.943,3.127,3.244,3.986,5.328,5.225,4.824,5.503,5.376,5.79,6.102,6.387,6.444,6.956,7.419,7.762,8.711,8.914,9.186,9.715,9.975,10.394,11.063,11.528,11.982,12.231,13.259,14.013,15.98,17.76,19.046,20.505,21.891,24.504,26.315,29.354,30.745,32.841,36.044,39.66,42.186,43.796,45.907,47.751,49.268,51.068,54.405,57.211,59.881,64.803,67.273,72.866,76.922,81.023,84.721,88.295,90.918,95.478,100,102.599,110.069,116.748,125.333,130.947
"45","38","          Consumption of general government fixed capital \2\","B546RG3",17.795,17.16,16.038,14.005,13.883,15.371,15.676,15.9,15.704,15.506,15.079,15.846,17.376,18.726,17.281,19.806,17.712,19.769,22.597,22.915,23.251,22.637,23.697,23.525,24.238,23.649,24.285,24.483,24.972,25.549,26.168,26.791,27.424,27.985,29.51,30.161,30.935,33.331,34.649,35.677,37.403,39.686,42.31,44.023,46.362,50.797,56.664,59.174,61.475,63.826,68.167,74.436,80.927,85.449,85.981,86.749,87.533,88.147,89.01,91.037,92.793,94.547,96.207,95.763,97.003,97.721,99.508,98.926,98.413,97.496,98.337,100,100.849,100.242,100.437,101.43,103.518
"46","39","        Intermediate goods and services purchased \3\","W131RG3",17.413,16.864,15.623,13.84,12.533,13.074,14.739,15.216,15.882,16.464,17.036,16.354,19.04,20.245,19.632,15.742,18.406,20.463,21.913,22.43,22.843,22.24,21.612,23.161,23.471,23.707,24.415,23.703,24.475,24.809,24.179,24.023,24.12,25.022,24.654,25.743,26.32,27.525,28.404,29.979,31.512,32.829,34.166,35.195,36.733,39.713,44.048,47.474,49.666,52.272,56.489,62.985,68.404,72.147,75.285,75.799,78.706,80.025,80.75,79.865,81.168,83.479,86.2,87.123,88.539,89.982,91.928,93.087,95.09,95.654,97.264,100,101.497,103.419,105.758,109.583,114.981
"47","40","          Durable goods","A543RG3",32.903,32.52,32.663,32.615,32.844,32.153,34.668,33.238,31.669,29.919,30.354,32.17,35.058,38.628,33.883,39.672,34.109,34.251,35.178,35.975,36.283,36.192,37.428,37.054,37.743,37.202,38.02,37.242,37.404,39.108,45.318,52.535,54.133,56.164,58.908,62.513,59.063,59.607,60.951,63.534,65.075,67.657,70.345,69.972,71.368,75.408,82.05,88.44,90.147,91.982,96.594,102.821,109.762,116.374,114.885,114.829,114.846,114.76,115.014,117.046,120.45,122.62,122.688,121.983,121.848,121.432,120.209,115.031,110.1,105.488,102.118,100,97.352,94.305,92.585,91.89,91.303
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RG3",13.51,13.602,14.017,14.284,13.895,14.004,14.193,14.312,14.4,14.523,14.814,15.158,16.222,15.777,16.59,16.123,16.647,16.666,19.386,19.239,19.226,21.302,20.709,23.179,23.302,24.766,25.145,24.915,25.362,26.822,26.397,27.511,28.499,29.347,29.84,30.563,31.85,33.063,34.112,35.564,36.414,37.921,39.867,40.994,44.189,48.165,50.955,53.458,56.16,58.23,62.554,72.788,75.948,76.814,79.289,77.639,77.655,73.308,75.756,75.62,79.792,82.015,82.377,82.564,83.14,83.892,86.441,89.966,91.521,90.876,93.265,100,99.686,100.381,104.919,108.213,115.953
"51","44","          Services","A544RG3",8.5,8.109,7.229,6.211,5.466,5.904,7.254,7.806,8.56,9.261,9.801,8.613,9.137,9.652,8.694,8.464,8.986,10.838,14.275,15.85,15.606,15.31,15.951,16.87,17.411,17.531,18.264,18.593,19.651,19.744,19.251,19.523,19.597,20.28,19.985,20.639,21.302,22.1,23.1,24.176,25.777,26.949,28.226,29.253,30.737,33.989,38.033,41.132,42.932,45.277,49.056,54.27,59.879,64.363,66.409,68.393,71.213,74.163,75.254,77.202,80.152,82.517,85.36,86.67,88.191,89.825,91.792,92.817,94.983,95.92,97.549,100,101.92,104.251,106.44,110.499,115.631
"52","45","      Less: Own-account investment \4\","W136RG3",5.29,4.827,4.985,4.959,5.149,5.507,5.38,5.886,5.987,6.187,5.993,6.022,6.082,6.029,5.991,6.185,6.783,8,8.038,7.795,8.463,8.457,8.907,9.303,9.596,9.809,10.346,10.824,11.288,12.184,12.573,13.054,13.565,13.96,14.455,15.192,15.708,16.222,16.722,17.74,18.728,20.477,21.907,22.156,23.656,25.488,27.85,29.807,32.209,34.152,36.521,39.947,43.688,46.679,49.22,51.096,52.802,54.629,56.6,59.802,63.368,66.33,69.624,72.698,76.982,80.268,83.166,86.244,89.052,91.825,95.469,100,103.566,108.763,113.51,119.529,123.897
"53","46","            Sales to other sectors","W137RG3",8.066,7.056,7.056,6.272,6.272,7.056,9.416,8.066,8.066,7.056,8.663,8.963,10.011,10.29,11.102,11.314,10.991,11.241,13.514,13.891,14.053,14.243,15.269,15.117,14.913,15.166,15.782,16.408,17.101,17.639,17.455,17.438,17.137,17.526,18.023,18.673,19.015,19.804,20.237,22.395,24.162,23.046,25.925,28.372,32.874,34.733,35.271,39.697,44.3,49.458,55.224,65.399,69.562,68.082,68.237,67.936,66.663,60.276,64.828,67.29,71.566,74.893,74.478,77.193,83.554,85.411,87.27,90.909,94.75,93.611,95.929,100,100.816,102.702,106.185,109.934,116.681
"54","47","State and local consumption expenditures \1\","A991RG3",5.061,5.01,4.83,4.536,4.574,4.828,4.927,4.736,4.862,4.819,4.779,4.849,5.099,5.546,5.961,6.229,6.459,7.059,7.839,8.769,8.921,9.154,9.923,10.421,10.74,11.134,11.426,11.989,12.542,12.893,13.301,13.727,14.182,14.701,15.077,15.441,15.885,16.732,17.843,18.847,20.108,21.748,23.261,24.688,26.568,28.989,31.727,34.017,36.435,38.869,42.27,46.913,51.454,54.745,57.546,60.611,63.253,65.09,67.868,70.01,72.588,76.249,78.82,80.723,82.773,84.963,87.175,89.165,90.895,92.489,95.403,100,103.034,105.774,110.726,115.388,122.177
"55","48","      Gross output of general government","W138RG3",4.987,4.924,4.732,4.433,4.442,4.689,4.8,4.615,4.735,4.714,4.684,4.752,4.976,5.392,5.782,6.032,6.25,6.852,7.576,8.445,8.574,8.804,9.53,9.989,10.287,10.645,10.915,11.43,11.95,12.281,12.656,13.08,13.496,13.964,14.313,14.658,15.081,15.86,16.853,17.795,18.979,20.49,21.861,23.164,24.916,27.215,29.786,31.935,34.213,36.553,39.773,44.128,48.5,51.863,54.75,57.846,60.488,62.496,65.313,67.778,70.759,74.685,77.754,80.241,82.696,85.064,87.476,89.584,91.382,92.964,95.74,100,103.026,105.942,110.993,115.879,122.293
"56","49","        Value added","W139RG3",3.958,3.968,3.907,3.706,3.717,3.881,3.933,3.794,3.87,3.919,3.915,3.973,4.1,4.363,4.694,4.967,5.19,5.642,6.291,7.102,7.274,7.463,8.12,8.592,8.884,9.272,9.538,10.04,10.532,10.862,11.177,11.608,12.055,12.576,12.965,13.328,13.754,14.552,15.64,16.619,17.798,19.348,20.731,22.125,23.875,25.663,28.052,30.212,32.33,34.542,37.298,40.933,44.838,48.263,51.536,54.775,57.851,60.644,63.713,66.194,69.054,73.012,76.488,79.252,82.055,84.775,86.938,88.825,90.806,93.307,96.352,100,103.691,107.855,113.165,117.747,122.735
"57","50","          Compensation of general government employees","B251RG3",3.51,3.56,3.56,3.442,3.397,3.499,3.572,3.385,3.462,3.522,3.531,3.593,3.652,3.785,4.056,4.401,4.651,5.038,5.542,6.268,6.477,6.734,7.236,7.701,8.029,8.483,8.749,9.15,9.632,10.014,10.336,10.812,11.282,11.811,12.203,12.573,12.986,13.77,14.876,15.838,16.978,18.462,19.782,21.166,22.851,24.233,26.476,28.737,30.89,33.062,35.654,39.005,42.609,45.895,49.377,52.873,56.099,58.913,61.987,64.52,67.488,71.604,75.282,78.317,81.274,84.087,86.209,88.166,90.25,92.992,96.228,100,103.967,108.545,114.486,119.234,123.913
"58","51","          Consumption of general government fixed capital \2\","B986RG3",9.812,9.207,8.222,6.859,7.645,8.654,8.383,8.947,9.006,8.89,8.722,8.721,9.698,11.575,12.648,12.073,11.977,13.246,15.826,17.69,17.278,16.403,19.185,19.66,19.355,18.707,18.914,20.76,21.304,20.826,20.962,20.677,20.725,21.055,21.345,21.556,22.088,22.959,23.668,24.745,26.277,28.487,30.522,31.866,34.266,41.094,45.085,45.709,47.15,49.646,54.185,61.001,68.267,73.098,73.7,73.804,75.038,77.476,80.38,82.21,83.818,86.019,87.382,87.434,88.737,90.578,93.103,94.354,95.432,95.874,97.344,100,101.542,102.553,103.171,106.538,113.684
"59","52","        Intermediate goods and services purchased \3\","W140RG3",9.684,9.177,8.289,7.523,7.523,8.131,8.497,8.119,8.418,8.14,8.015,8.129,8.742,9.802,10.444,10.526,10.682,11.967,12.943,13.937,13.819,14.213,15.185,15.498,15.771,15.876,16.113,16.597,17.147,17.414,18.035,18.349,18.542,18.66,18.751,18.957,19.312,19.906,20.363,21.049,22.148,23.399,24.634,25.544,27.203,31.163,34.225,36.245,38.955,41.614,46.206,52.761,58.5,61.507,63.075,65.672,67.035,66.968,69.139,71.554,74.835,78.66,80.691,82.496,84.126,85.688,88.655,91.254,92.652,92.329,94.574,100,101.786,102.446,107.027,112.459,121.419
"60","53","          Durable goods","B989RG3",10.685,10.573,9.89,9.541,9.969,11.504,11.227,11.833,11.946,12.249,12.028,12.25,12.656,12.951,12.134,11.903,12.243,13.651,16.143,17.616,17.885,18.477,20.369,20.741,20.809,21.27,23.092,24.174,23.454,23.463,23.296,23.674,24.573,24.529,24.987,25.519,25.969,27.093,27.911,29.085,30.297,32.335,33.805,35.333,36.937,41.219,45.938,48.496,51.584,55.047,59.769,65.939,72.463,76.956,79.2,81.185,83.099,84.812,86.931,90.018,93.519,96.303,98.635,99.936,100.219,100.911,101.932,101.8,100.826,99.947,99.761,100,100.727,101.353,101.744,103.349,106.072
"61","54","          Nondurable goods","B337RG3",12.561,11.963,10.613,9.335,9.365,10.181,11.126,10.075,10.731,10.048,9.921,10.212,11.132,12.714,13.552,13.668,13.867,16.16,17.758,19.572,18.185,18.794,20.709,20.381,20.468,20.389,20.436,21.018,21.821,21.463,20.974,21.154,21.3,21.389,21.503,21.644,22.115,22.922,23.292,23.918,24.807,25.691,26.495,27.395,30.593,37.359,41.532,43.218,46.026,48.764,56.151,65.961,72.938,73.597,72.911,74.087,73.928,67.851,71.067,72.538,77.696,83.219,82.169,82.175,82.762,83.253,86.926,90.682,90.247,86.142,89.301,100,99.206,97.273,104.969,114.432,130.87
"62","55","          Services","A988RG3",8.147,7.637,7.021,6.577,6.522,6.946,6.942,6.953,7.022,6.964,6.839,6.814,7.26,8.051,8.637,8.704,8.832,9.531,10.109,10.638,11.196,11.46,11.884,12.511,12.886,13.062,13.305,13.699,14.196,14.786,16.109,16.513,16.691,16.842,16.894,17.121,17.404,17.846,18.327,19.012,20.209,21.59,23.031,23.9,24.802,27.396,29.799,31.95,34.609,37.199,40.31,45.219,50.299,54.428,57.089,60.47,62.548,65.163,66.851,69.666,72.024,75.108,78.616,81.335,83.568,85.711,88.481,90.72,93.213,94.8,96.786,100,103.171,105.146,108.481,112.174,117.817
"63","56","      Less: Own-account investment \4\","W144RG3",5.168,5.241,5.241,5.066,5,5.151,5.259,4.984,5.096,5.186,5.198,5.29,5.377,5.573,5.969,6.48,6.847,7.447,8.006,9.073,9.35,9.729,10.449,11.114,11.593,12.246,12.63,13.207,13.902,14.458,14.323,14.641,14.91,15.185,15.42,15.605,15.978,16.596,17.434,18.283,19.354,20.645,21.972,23.147,24.712,27.555,30.409,32.717,35.204,37.864,40.981,45.201,49.469,52.631,55.966,58.884,61.498,63.333,65.788,68.886,72.126,75.745,78.709,81.195,83.417,85.965,88.949,90.688,92.225,93.6,96.15,100,102.736,105.241,109.102,112.918,117.826
"64","57","            Sales to other sectors","W145RG3",5.123,4.884,4.498,4.085,3.867,4.189,4.427,4.429,4.587,4.407,4.316,4.337,4.653,5.148,5.41,5.531,5.697,6.431,6.837,7.352,7.301,7.525,8.049,8.254,8.419,8.519,8.656,8.892,9.225,9.434,9.709,10.197,10.424,10.636,10.865,11.15,11.494,11.962,12.392,13.06,13.907,14.837,15.528,16.27,17.451,19.171,20.964,22.461,24.106,26.026,28.439,31.499,35.117,38.776,41.97,45.172,47.794,50.564,53.577,57.473,62.287,67.468,72.852,78,82.272,85.408,88.644,91.283,93.386,94.934,97.132,100,103.011,106.657,112.181,118.031,123.047
"65","58","              Tuition and related educational charges","B1065G3",3.85,3.85,3.673,3.496,3.23,3.318,3.274,3.319,3.406,3.407,3.406,3.406,3.495,3.672,3.982,4.248,4.469,4.779,5.057,5.335,5.398,5.519,5.764,5.797,5.83,5.975,6.141,6.363,6.506,6.594,6.931,7.11,7.298,7.557,7.82,8.133,8.486,8.922,9.37,9.938,10.602,11.351,12.064,12.728,13.409,14.574,15.65,16.736,17.841,18.712,20.167,22.05,24.743,28.037,30.91,34.018,37.056,39.993,42.929,46.086,49.632,53.531,58.869,64.978,70.769,75.556,80.062,84.511,88.706,92.408,96.047,100,105.148,112.258,121.657,133.203,143.186
"66","59","              Health and hospital charges","B1066G3",2.28,2.136,2.039,1.892,1.796,1.893,1.99,2.038,2.087,2.087,2.087,2.088,2.185,2.378,2.524,2.718,2.96,3.394,4.135,4.471,4.553,4.744,5.119,5.373,5.58,5.702,5.884,6.044,6.349,6.638,6.841,7.741,7.951,8.121,8.386,8.753,9.012,9.294,9.884,10.564,11.301,12.213,12.7,13.33,14.105,15.467,17.189,18.855,20.435,22.222,24.527,27.774,31.606,35.827,39.688,42.933,45.701,48.39,51.513,56.064,62.029,68.274,74.664,80.842,85.502,88.639,91.496,93.597,94.837,95.816,97.546,100,103.081,106.567,112.163,117.214,121.443
"67","60","              Other sales","W146RG3",10.468,9.944,8.776,7.702,7.355,8.187,8.791,8.672,9.053,8.461,8.176,8.238,8.98,10.055,10.494,10.523,10.64,12.043,12.383,13.329,13.106,13.483,14.429,14.739,14.988,15.097,15.244,15.643,16.19,16.419,16.817,17.113,17.441,17.731,17.967,18.235,18.748,19.547,19.871,20.716,21.978,23.207,24.234,25.273,27.702,30.662,33.297,34.795,37.069,40.315,43.836,47.495,51.272,53.62,55.328,58.256,59.961,62.584,65.335,68.567,72.344,76.703,80.286,82.726,85.032,86.88,89.825,92.096,94.163,95.2,97.196,100,101.549,103.231,106.195,109.789,113.066
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
