"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"118","100","      Education services","DTEDRX1","152,989.0","157,387.0","161,760.0","166,501.0","170,368.0","176,334.0","179,591.0","175,546.0","174,216.0","170,577.0","170,343.0","171,513.0","174,170.0","176,104.0","176,826.0","179,800.0"
"119","101","        Higher education (97)","DHEDRX1","93,122.0","95,667.0","98,956.0","102,329.0","105,512.0","109,912.0","112,956.0","110,928.0","111,021.0","108,751.0","108,747.0","109,237.0","110,201.0","111,495.0","113,040.0","115,338.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1","34,238.0","34,191.0","33,524.0","32,694.0","32,681.0","32,497.0","32,609.0","32,019.0","31,839.0","31,745.0","31,740.0","31,923.0","32,395.0","32,430.0","32,484.0","32,463.0"
"121","103","        Commercial and vocational schools (99)","DVEDRX1","25,502.0","27,390.0","29,140.0","31,369.0","32,085.0","33,885.0","34,033.0","32,610.0","31,375.0","30,082.0","29,856.0","30,355.0","31,591.0","32,199.0","31,261.0","31,944.0"
"122","104","      Professional and other services (121)","DPRSRX1","127,744.0","129,968.0","132,051.0","136,089.0","139,286.0","140,111.0","142,967.0","142,799.0","147,877.0","147,981.0","148,580.0","148,165.0","150,216.0","148,409.0","139,801.0","135,661.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1","74,798.0","76,953.0","80,711.0","85,257.0","89,175.0","93,438.0","92,818.0","94,608.0","96,429.0","100,456.0","102,485.0","103,670.0","103,582.0","101,183.0","95,795.0","94,576.0"
"124","106","      Social services and religious activities (120)","DSOCRX1","79,333.0","81,036.0","83,436.0","88,033.0","93,188.0","98,751.0","106,198.0","110,600.0","114,423.0","118,407.0","120,994.0","124,387.0","129,183.0","131,584.0","132,999.0","136,359.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1","47,579.0","47,908.0","50,751.0","55,305.0","54,873.0","56,287.0","53,397.0","51,349.0","52,383.0","54,992.0","55,275.0","55,627.0","57,504.0","57,318.0","52,131.0","49,845.0"
"126","108","      Net foreign travel","DFORRX1","-28,723.0","-31,951.0","-27,850.0","-14,741.0","-14,047.0","-8,188.0","-2,347.0","-3,896.0","-2,169.0","-2,912.0","-4,980.0","-962.0","-10,714.0","-25,607.0","-19,477.0","-22,877.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRX1","72,849.0","75,851.0","82,812.0","93,162.0","96,285.0","106,795.0","101,028.0","94,637.0","91,770.0","98,570.0","99,762.0","104,109.0","102,272.0","99,115.0","94,544.0","97,137.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1","101,572.0","107,802.0","110,662.0","107,903.0","110,332.0","114,983.0","103,375.0","98,533.0","93,939.0","101,481.0","104,742.0","105,071.0","112,986.0","124,722.0","114,021.0","120,014.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","142,245.0","150,877.0","140,509.0","153,872.0","164,936.0","177,782.0","191,341.0","208,977.0","218,717.0","217,643.0","211,707.0","235,135.0","245,219.0","272,865.0","277,075.0","280,013.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1","636,432.0","653,411.0","663,792.0","696,719.0","720,961.0","748,985.0","785,296.0","831,103.0","844,098.0","860,458.0","874,298.0","902,477.0","926,038.0","954,929.0","970,684.0","989,237.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1","497,163.0","505,371.0","526,787.0","545,989.0","558,626.0","573,063.0","595,172.0","622,527.0","625,248.0","642,814.0","662,591.0","667,518.0","681,122.0","683,443.0","694,985.0","710,305.0"
"132","114","  Residual","A965RX1","-202,300.0","-176,800.0","-151,300.0","-118,100.0","-78,300.0","-49,700.0","-39,400.0","-24,400.0","-14,900.0","-4,500.0","-100.0","-3,800.0","-17,000.0","-26,000.0","-30,100.0","-60,900.0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Note.  Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
