"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"69","62","    General economic and labor affairs","G160531",0.5,0.6,0.7,0.9,1.1,1.1,1.5,1.9,2.5,2.8,2.8,3.2,4.6,5.9,6.2,5.3,7.9,9.3,11.1,17,15,14.6,12.1,9.1,8.8,8.5,9.5,9.8,10.3,10.4,12.2,14.8,12.4,14.1,11,11.4,12.4,13,13.5,13.8,14.7,18.3,16.2,17.9,17,18.9,18.6,18.9,20.1,22.1
"70","63","    Agriculture","G160541",4.5,2.6,2.7,3.7,3,3.6,3.6,3.5,3.7,5.5,6.7,5.8,5.4,6.8,5.4,2.9,3.7,3.7,5,6.7,5.4,7.3,7.9,11.5,18.8,14.2,17.4,26.2,25.8,16.4,17.1,15.2,16.1,17.8,22.1,15.9,14.8,14.4,15.9,19.6,30,32,32.5,23.3,26.7,23,34.3,29.2,23.2,23.9
"71","64","    Energy","G160551",0.5,0.6,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.3,1.2,1.9,2.9,3.5,4.6,6.3,5.8,6,10.3,7,7.3,7.3,6.9,5.9,6.3,6.3,5.8,6.5,6.3,7,11.2,11.2,12.2,9.9,9.4,8.4,9.9,9,9.2,11.7,12.9,13.8,12.6,13.4,14.2,16.3
"72","65","    Natural resources","G160561",0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.9,0.6,0.9,1.3,1.3,1.6,1.3,1.6,2,2.1,2.7,2.8,3.8,4.2,5.4,5.6,6.4,6.5,6.7,6.6,6.8,7.3,7.3,8.1,8.9,9,7.8,10.5,9.8,10.1,10.3,11.2,11.2,13.4,14.2,15.9,15.4,16.5,18,19.8,20.3,20.2
"73","66","    Postal service","G160621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","67","Housing and community services","G160651",0.3,0.4,0.4,0.5,0.7,1,0.9,0.9,1.1,1.2,1.4,2.4,3.2,3.9,4.2,4.6,5.3,6.3,6.9,7.4,9.1,10.8,12.1,13.6,14.3,15.3,16.5,17.1,17,18.1,19.2,20.1,21.6,23,26.1,27.9,31.3,32.5,32.6,34.5,34.8,33.3,35,40.2,42.6,44,47.7,47.2,53.8,51.4
"75","68","Health","G160661",2.2,2.5,2.9,3,3.3,3.4,3.6,6.2,11,11.9,13.5,16.8,18.5,22.6,24.8,30.2,35.8,41.5,46.7,52.4,59.6,69.8,81.3,89.8,99.6,109.9,118.8,127.8,138.1,149.4,167.6,188.5,215.5,245.9,272.7,292.6,319.5,340.5,358.5,366.4,378.2,401.6,455.2,495.8,534.3,577,615.1,678.6,725.8,779
"76","69","Recreation and culture","G160671",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1.2,1.3,1.4,1.5,1.7,1.9,1.6,1.5,2.2,1.7,1.8,1.7,1.9,1.9,2.1,2.3,2.4,2.4,2.7,2.8,3,2.9,3.1,3,3.4,3.5,4.1,4.2,4.7,4.9,5,5,5.3
"77","70","Education","G160681",1.1,0.9,0.9,0.9,1,1.1,1.3,3.5,4.2,4.7,5,6.4,7.2,8.4,8.5,10.2,13.2,11.8,12.2,12.8,14.4,16.1,17.1,15.9,16,17,17.8,17.9,17.6,19.6,22.4,22.8,24.7,27.5,30.6,31.4,32,33.7,34.4,37.5,40.5,41.9,47.7,54.4,61.3,67.9,70.8,71.7,71.9,79.2
"78","71","  Elementary and secondary","G160691",0.4,0.3,0.3,0.3,0.3,0.3,0.3,1.8,1.8,1.9,1.9,2.2,2.4,3,2.7,3.5,4.1,3.2,4,4.5,5.4,5.8,5.7,5.6,4.9,6.6,6.6,6.6,6.2,7.4,8.4,8.6,10,11.1,11.9,12.3,11.8,13.4,13.3,14.6,16.6,17.8,19.7,22.9,28.8,33.6,35.1,35.5,34.6,36.8
"79","72","  Higher","G160701",0,0.2,0.2,0.3,0.3,0.3,0.5,0.7,1.1,0.9,0.9,1.2,1.3,1.3,1.2,1.3,1.8,2.5,3,3.2,4.1,5.5,6.6,5.7,6.8,6.4,7,6.8,6.9,7.6,9.5,9.3,9.5,10.3,11.9,11.3,12,11.8,12.4,13.9,14.8,14.1,16.1,18.5,19,20.3,21.2,20.5,22.1,26.7
"80","73","  Other","G160711",0.7,0.5,0.4,0.3,0.4,0.4,0.5,1.1,1.4,1.8,2.2,3,3.6,4.1,4.6,5.4,7.2,6.1,5.2,5.1,4.9,4.8,4.7,4.5,4.4,4,4.2,4.5,4.6,4.6,4.5,4.9,5.2,6,6.8,7.9,8.3,8.4,8.7,9,9.2,10,11.9,13.1,13.5,13.9,14.5,15.8,15.1,15.7
"81","74","Income security","G160721",20.2,21.7,25.3,26.4,27.6,28.5,31.1,32.4,35.3,39.8,43.4,53.2,64.2,71.7,80.4,96,124.2,134.4,142.4,151.3,167.9,201.7,225.5,250.7,266.2,267.2,279.1,293,299.9,316.7,338.2,368.2,407.4,452.5,472.3,489.1,508,526.4,539.9,554.8,577.3,606.7,648.2,713.3,746.3,770.3,808.7,847.9,890.6,990.7
"82","75","  Disability","G160731",4,4.2,4.8,4.9,5.3,5.5,6,6.1,6.7,7.3,8,9.1,10.6,12,14,15.9,18.2,20.5,22.8,24.5,27.4,30.1,33.1,34.4,35.2,35.6,36.9,37.9,38.7,40.2,41.9,44.4,47.3,51.1,57.3,59.4,62.9,67.9,70.8,73.5,75.7,80.7,89.7,99.2,105,115.4,126.2,133.5,142.6,150.5
"83","76","  Retirement \5\","G160741",10.6,11.6,12.9,14.5,15.3,16.1,17.9,19.5,20.9,24.3,26,30.8,35.6,39.6,48.5,54.6,62,69.4,77.1,84.6,95.1,110.1,129.3,144.9,155.8,164.2,173.7,183.5,190.5,202.6,215.3,230.6,248.3,262.9,274.1,286.9,300.1,310.1,323.2,334.7,343.6,362.1,379,395,408.4,422.6,441.8,467.4,496,521.5
"84","77","  Welfare and social services","G160751",2.3,2.2,2.6,3,3.2,3.3,3.9,3.6,4.2,5,6,7.9,10.7,12.7,11.5,16.5,22.4,24.6,25.7,28.4,31,37.4,40,40,42.7,45.2,46.3,48.2,49.2,52.4,56.2,63.4,73,82.7,87.6,93.4,97.1,97.1,96,95.7,98.8,102.3,109.4,119.7,126.8,129.6,135.9,137.2,144.2,170.5
"85","78","  Unemployment","G160761",3.1,3.3,4.7,3.5,3.4,3.1,2.7,2.4,2.8,2.8,2.9,4.8,6.7,6.7,5.3,7.8,18.9,17.6,14.5,11.6,11.8,20.4,18.9,27.6,28.8,18.4,18.5,19.3,17.4,16.1,17.2,21.3,30.3,43.1,38.3,27.4,25.4,26,23.7,23.5,24.4,24,36,57.8,57.1,41.6,35.4,34.5,36.8,55.6
"86","79","  Other","G160771",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.7,0.4,0.5,0.7,0.6,0.7,1.1,1.1,2.7,2.3,2.4,2.3,2.5,3.8,4.1,3.8,3.8,3.9,3.6,4.2,4.1,5.4,7.5,8.6,8.5,12.8,15.1,22.1,22.5,25.2,26.2,27.4,34.8,37.7,34,41.7,49,61,69.4,75.4,71.1,92.5
"87","80","      State and local","W024RC1",36.9,40.2,43.8,46.8,50.3,54.9,60,67.2,75.5,86,97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.9,578.6,618.3,667.4,731.8,795.2,847.6,889.1,936.6,982.7,1022.1,1063.2,1117.6,1198.6,1281.3,1389.9,1466.8,1535.1,1609.3,1704.5,1778.6,1905.6,2014.4
"88","81","General public service","G160791",4.7,5.2,5.8,6.1,6.4,7,7.7,8.6,9.5,10.9,12.5,14.6,16.7,19.5,22.2,25.9,30.6,33.5,37.5,40.3,44.9,50.1,55.7,63,72.3,79.7,89.8,99.3,106.9,111.8,118.9,126.3,133.2,139.9,141.3,145.9,149.8,155.1,163.2,173.4,184.2,193.3,203.7,213.4,219,223.1,233.4,249,263.2,280.1
"89","82","  Executive and legislative","G160801",0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.6,1.8,2,2.4,2.9,3.2,3.4,3.8,3.6,3.9,4.5,5.1,5.7,5.8,6,6.6,7.1,7.7,8.3,8.9,10,10.6,10.9,11.2,11.9,12.5,13.2,13.9,15,16.3,17.2,18.6,20.1,21.7,23.3,25.2,27.4,30.2,32.2
"90","83","  Tax collection and financial management","G160811",1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2,2.2,3,3.3,3.4,3.6,3.8,4.3,5.4,5.4,6.2,6.7,6.8,7.1,7.4,9,10.9,11.2,16.4,24.4,20.3,21.5,20.4,20.8,21.5,23.9,25.5,25.5,25.8,25.2,26,28.1,30.7,30.9,30.4,33.5,35.2,35.6,36.5,35.4,35.4,38.3
"91","84","  Interest payments","G160821",1.8,2.1,2.2,2.4,2.7,2.9,3.1,3.4,3.7,4.2,4.4,5.3,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,39.4,38.2,46.2,48.4,53.2,56.8,60.8,61,59.4,61.4,63.5,67.3,70.6,72.8,75.2,78.8,83,83.5,85.1,85.6,87.3,93,98.7,103.9
"92","85","  Other \7\","G160831",1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.4,2.7,3.2,3.6,4.3,5,6.4,7.5,9.1,10.8,12.1,13.8,15.2,16.9,19.1,20.4,21.2,23.3,25.4,27.4,29.6,32.7,33.5,36.4,38.8,40.3,44.1,45.3,47.1,48,49.4,52.7,57.5,62,66.4,71.7,76.4,77,78.6,84.4,93.1,99,105.6
"93","86","Public order and safety","G160841",3.8,4.1,4.4,4.7,5,5.3,5.8,6.3,7,8.2,9,10.3,11.7,12.9,14.6,16.6,18.9,20.8,22.8,26.3,29.2,32.6,36.8,41.2,44.7,48.3,53.3,58.1,62.6,68.3,75.1,83.3,90.3,97,103.5,111.3,119.2,126.5,133.6,142,153.9,164.6,177.5,188.1,195.1,203.2,216.3,229.4,246.4,262.4
"94","87","  Police","G160851",1.8,1.9,2.1,2.2,2.4,2.5,2.7,3,3.4,4.1,4.4,5,5.7,6.3,7.1,8,9.1,9.9,10.9,12.2,13.4,14.8,16.5,18.3,19.6,20.8,22.9,24.6,25.9,27.8,30,32.7,35.5,37.9,39.6,42.3,45.5,48.4,51,53.7,57.9,61,65.9,70.5,73.8,76.9,82,86.6,93.1,100.1
"95","88","  Fire","G160861",0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,5.1,5.6,6.1,6.9,7.7,8.3,8.8,9.6,10.6,11.3,11.8,12.7,13.7,14.6,15.8,16.4,17.2,17.9,18.7,19.4,20.5,22,23.6,25,26.9,28.4,30.2,33.1,35.4,38.5,40.9
"96","89","  Law courts","G160871",0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.6,1.8,2.1,2.3,2.6,2.8,3,4.2,4.7,5.5,6.1,6.8,7.3,7.8,8.3,8.9,9.5,10.8,12,13.4,14.5,15.5,17.7,18.9,20.1,21.1,22.6,24.6,26.9,29,31.5,33.3,34.3,35.6,37.4,39.3,41.7,44.1
"97","90","  Prisons","G160881",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.9,2.1,2.5,3,3.4,3.9,4.4,4.8,5.4,6.2,7.2,8.4,9.6,10.9,12.6,14.1,15.9,17.9,20.4,23.4,25.7,27.8,29.8,32.9,35.7,38.3,40.7,43.2,47.1,51,55.2,57.4,58.6,60.5,63.8,68,73.1,77.3
"98","91","Economic affairs","G160891",6,6.3,6.7,7,7.5,8,8.6,9.3,10.2,11,12.2,13.5,14.8,15.9,17.6,21.1,24.2,25.6,26.9,30.2,32.8,36.9,40.7,43.7,45,46.5,49.7,53,55.5,57.8,60.7,64.6,68.1,71.4,73.9,77.2,81.1,84.1,87.9,91.8,98.6,105.1,120.1,119.7,120.8,125.7,134.6,144,155.5,165.8
"99","92","  Transportation","G160941",4.5,4.7,5,5.3,5.6,5.9,6.3,6.9,7.5,8.1,9,9.9,10.8,11.5,12.8,15.5,17.4,18,18.9,20.4,22.4,25.4,28.6,31.3,32.4,33.5,35.7,37.9,39.3,40.8,42.4,45,47.4,49.1,51,53.4,56.3,58.8,61.6,64.4,69.2,73.6,77.8,81.3,83.6,87.3,94.8,102.2,112.1,120.8
"100","93","    Highways","G160951",4.5,4.7,5,5.3,5.6,5.9,6.3,6.8,7.4,8.1,8.9,9.9,10.8,11.5,12.7,15.4,17.2,17.8,18.7,20.2,22.1,25.1,28.2,30.9,32,33.1,35.3,37.6,39,40.5,42,44.6,47,48.7,50.7,53.1,56,58.4,61.1,63.9,68.7,73.1,77.1,80.8,83.2,86.9,94.4,101.9,111.7,120.5
"101","94","    Transit and railroad","G160981",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4
"102","95","  Other economic affairs","W693RC1",1.4,1.6,1.7,1.7,1.9,2,2.2,2.5,2.7,2.9,3.2,3.6,4,4.4,4.8,5.6,6.8,7.5,8.1,9.8,10.4,11.5,12.1,12.4,12.6,13,14.1,15.1,16.2,17,18.3,19.7,20.7,22.2,22.9,23.8,24.7,25.4,26.4,27.5,29.5,31.5,42.4,38.4,37.2,38.5,39.8,41.8,43.4,44.9
"103","96","    General economic and labor affairs","G160901",0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,3,3.8,4.4,4.8,6.2,6.5,7,7.1,7,6.8,6.8,7.3,7.9,8.6,8.8,9.6,10.4,10.8,11.8,12.1,12.4,12.7,12.8,13.4,13.9,14.9,15.8,18.3,20,19.2,19.3,20.3,21,21.1,21
"104","97","    Agriculture","G160911",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.3,1.3,1.4,1.4,1.6,1.8,1.9,2.1,2.3,2.5,2.7,2.8,2.9,3,3.3,3.5,3.7,3.8,3.8,3.9,4,4.1,4.3,4.5,5.1,5.7,5.9,6,5.9,5.8,5.8,5.8,6,6.2
"105","98","    Energy","G160921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0,0,0,0,0
"106","99","    Natural resources","G160931",0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.3,1.5,1.8,1.8,1.9,2.1,2.3,2.7,3.1,3.3,3.5,3.7,4.1,4.3,4.7,5.1,5.4,5.7,6.2,6.6,7,7.6,8.1,8.4,8.7,9,9.4,10,11,12,12.3,13.3,13.7,14.9,16.4,17.8
"107","100","    Other \4\","G160991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0
"108","101","Housing and community services \8\","G161001",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2.1,2.2,2.5,2.7,2.7,2.7,2.7,2.9,3.1,3.2,3.7,4.1,4.6,5.1,5.1,5,5.3,5.4,5.6,5.8,5.9,6.4,7.1,7.5,7.8,8,8,8.6,8.2,15.1,11.7
"109","102","Health","G161051",3.1,3.3,3.7,4,4.4,4.8,5.3,6,7.1,8.9,10.1,12,14.1,15.9,18,21.2,25.1,26.9,29.8,32.7,35.8,40.8,46,49.3,52.6,56.5,61.6,66.7,72.6,80.1,89.6,105.2,129.4,147.8,159.6,169.7,179.1,187.5,190.4,197.7,216.8,233.3,262.2,291.4,309,337.1,362.2,358.8,387.6,407.2
"110","103","Recreation and culture","G161061",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.5,3.8,4.2,4.5,5,5.4,5.9,6.6,7.1,7.4,7.9,8.7,9.5,10.2,10.7,11,11.8,12.4,12.8,13.4,14.2,15.2,16.4,18,19.5,20,20.7,22.3,24.2,26.3,28.3
"111","104","Education","G161071",13.9,15.6,17.2,18.8,20.6,22.8,25.3,28.8,32.5,36.3,41.2,47.6,53.6,59,65,72.6,83.6,92.2,100,107.6,118.3,129.5,140.7,151,159.7,172.7,187.6,203,217,231.5,248.7,269.5,283.2,294.3,310,326.7,345.6,361.3,378.6,398.7,423.7,455.6,487.1,504.9,536.4,561.9,592.3,628.4,668.9,708.8
"112","105","  Elementary and secondary","G161081",11.7,13,14.4,15.6,17.1,18.8,20.7,23.4,25.9,28.6,32.4,37.1,41.4,45.6,50.1,55.3,62.9,69.2,75,80.5,88.7,96.8,104.5,112,119.3,129.9,140.4,152.6,164.3,175.1,187.9,203.7,215.3,225.6,236,247.5,262.6,275.7,290.2,305.3,325.3,348.7,369.3,388.3,417.2,435.7,458.1,486.1,515.7,541.6
"113","106","  Higher","G161091",1.7,2,2.1,2.4,2.7,3,3.4,4,4.8,5.6,6.4,7.6,8.7,9.7,10.8,12.6,15.2,17,18.6,20.1,22.1,24.6,27.6,29.9,31,32.8,36.1,38.4,39.8,42.8,45.9,49.6,51,51,55.1,58.8,60.7,62.3,64.4,67.9,71.2,77,85.1,82.4,82.7,87,92.1,97.1,104.4,114.3
"114","107","  Libraries and other","W694RC1",0.5,0.6,0.7,0.7,0.8,1,1.1,1.4,1.7,2.1,2.4,2.9,3.4,3.8,4.1,4.7,5.5,6,6.4,7,7.5,8.1,8.7,9.1,9.3,10,11.1,12,12.8,13.6,14.9,16.2,16.9,17.6,18.8,20.5,22.4,23.4,24,25.5,27.3,29.9,32.6,34.2,36.5,39.2,42.1,45.2,48.8,52.9
"115","108","    Libraries","G161101",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.8,2,2.1,2.3,2.6,2.8,3,3.2,3.5,3.8,4,4.2,4.3,4.6,4.8,5.1,5.5,5.7,6.1,6.5,7,7.3,7.7,8.2,8.7,9.2,9.8,10.4
"116","109","    Other","G161111",0.3,0.3,0.4,0.4,0.5,0.6,0.7,1,1.3,1.6,1.9,2.3,2.7,3.1,3.3,3.8,4.4,4.8,5.2,5.6,6,6.4,6.9,7.1,7.2,7.7,8.5,9.2,9.8,10.4,11.4,12.5,12.9,13.4,14.5,15.9,17.6,18.2,18.5,19.8,21.2,23.4,25.7,27,28.8,31.1,33.4,36.1,39.1,42.5
"117","110","Income security","G161121",4.4,4.5,4.8,5,5.3,5.7,6.1,6.7,7.6,8.8,10.3,12.6,15,16.6,18,17.8,20.7,22.9,25,26.4,28.5,32.9,35.7,37.6,41.3,44,47.1,50.6,53.4,57.2,61.5,68.7,75.8,81.4,84.7,88.7,90.2,89.1,90.2,94,99.6,106,113.9,121.9,126.9,129.7,134.8,136.7,142.7,150
"118","111","  Disability","G161131",0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.8,3.1,3.5,4.1,4.4,4.9,5.4,6,7,8,8.8,10.4,11.9,13,13.1,13,13,13.3,13.3,13.2,13.4,14.1,15.7,18.3,20.5,21.3,21.8,21.9,23,24.1
"119","112","  Welfare and social services","G161141",3.9,4,4.2,4.4,4.6,5,5.3,5.9,6.8,7.9,9.3,11.6,13.9,15.4,16.6,16.2,19.1,21,22.8,24,25.7,29.8,32.2,33.6,36.9,39.1,41.7,44.5,46.4,49.3,52.6,58.4,63.9,68.4,71.6,75.7,77.1,75.8,76.8,80.8,86.2,91.9,98.2,103.6,106.4,108.4,113,114.7,119.7,125.9
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1. Equals federal government current expenditures less grants-in-aid to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","plus state and local government current expenditures. Federal grants-in-aid to state and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","governments by function are shown in table 3.17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Prior to 1960, federal interest receipts are not available separately but are included in interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","payments, which is shown net of federal interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","3. Equals unallocable state and local government expenditures, less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","shown in table 3.1; includes federal government revenue sharing grants to state and local governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","4. Consists of state and local government publicly owned liquor store systems, government-administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","lotteries and parimutuels, and other commercial activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","5. Consists of social insurance funds, including old age, survivors, and disability insurance (social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","security), and railroad retirement.  Excludes government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","6. Consists primarily of federal government revenue sharing grants to state and local governments beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","with 1972 and ending with 1987, less ""wage accruals less disbusements"" shown in table 3.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","7. Equals unallocable state and local government expenditures less ""wage accruals less disbursements""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","shown in table 3.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","8. Consists of current expenditures for sanitation.  Beginning with 2007, includes housing subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","related to Hurricanes Katrina and Rita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
