"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"42","35","    Fuel oil and coal (40)","B171RG3",5.987,5.876,5.534,4.993,4.805,5.097,4.983,5.075,5.148,5.133,5.052,5.2,5.452,5.865,6.205,6.42,6.44,6.795,7.661,8.906,8.95,9.199,9.569,9.706,9.993,10.036,10.145,10.486,11.038,10.878,11.03,10.939,11.213,11.257,11.467,11.364,11.629,11.918,12.295,12.668,12.959,13.507,14.417,14.535,16.633,26.327,28.862,30.822,34.78,36.559,48.977,68.177,82.998,82.043,77.109,78.867,76.147,61.413,61.478,61.646,64.403,76.919,74.496,71.832,71.587,70.416,69.905,77.835,78.644,71.779,72.656,100,101.737,91.687,109.653,125.389,159.485,180.338,192.322
"43","36","  Other","B172RG3",12.382,11.936,11.349,10.697,10.183,10.45,10.423,10.371,10.741,10.547,10.427,10.629,10.985,12.08,12.909,13.72,14.217,14.851,16.935,17.876,17.408,17.481,18.632,18.623,18.885,18.909,19.103,19.435,20.039,20.498,20.83,21.14,21.179,21.227,21.482,21.704,21.974,22.394,22.92,23.763,24.632,25.721,26.642,27.293,28.01,30.676,34.277,36.151,38.274,40.458,43.104,46.939,50.843,54.894,58.737,60.856,63.216,65.724,68.338,71.376,75.15,78.938,82.884,85.97,87.365,87.878,89.152,90.511,91.307,93.32,97.442,100,102.763,105.006,105.141,106.136,107.775,109.796,111.013
"44","37","    Tobacco products (7)","BTOBRG3",4.241,3.999,4.072,4.072,3.611,3.732,3.696,3.671,3.769,3.793,3.853,3.962,4.059,4.18,4.447,4.592,4.798,4.956,5.331,5.538,5.659,5.768,5.949,6.216,6.519,6.568,6.628,6.761,6.979,7.113,7.394,7.64,7.702,7.763,7.999,8.188,8.536,8.997,9.334,9.922,10.451,11.325,11.804,12.449,12.794,13.417,14.374,14.983,15.704,16.572,17.532,18.868,20.348,22.585,26.954,28.68,30.325,32.356,34.594,37.673,42.431,46.738,52.118,56.521,58.547,56.193,57.582,59.334,62.095,69.897,90.075,100,107.666,116.837,118.762,121.031,127.298,131.638,140.325
"45","38","    Toilet articles and preparations (21)","BTLGRG3",18.52,18.164,17.539,17.147,17.118,15.613,15.39,15.417,15.679,15.716,15.617,15.452,15.974,17.407,17.703,18.519,18.843,19.692,23.701,24.355,23.472,22.79,25.331,24.483,24.583,24.482,24.68,25.46,26.276,27.386,27.566,27.534,27.445,27.67,27.773,27.797,27.704,27.404,27.887,28.702,29.947,30.715,31.718,32.533,33.375,37.197,42.145,44.645,47.176,49.496,52.686,57.062,62.274,67.178,70.882,73.092,75.207,77.453,78.953,81.437,84.514,87.562,90.376,92.526,93.812,95.058,95.827,96.007,96.042,97.385,98.664,100,100.975,100.814,99.793,99.892,100.075,100.949,102.425
"46","39","    Semidurable house furnishings (33)","BSDHRG3",22.831,20.909,17.156,14.095,15.006,16.886,16.88,16.703,17.249,15.603,14.824,15.326,17.616,23.058,26.585,30.062,32.394,34.498,43.288,44.752,38.75,39.165,42.692,38.94,38.3,37.293,37.107,37.335,37.516,37.379,37.489,37.965,38.264,38.17,38.186,38.329,38.625,39.136,40.215,41.753,43.005,43.896,44.914,45.733,46.76,52.776,56.725,59.463,62.512,66.323,71.605,77.735,82.862,90.207,96.183,99.731,102.512,104.624,107.758,110.82,111.261,111.988,112.007,112.832,112.8,112.842,111.034,108.581,106.271,103.92,102.749,100,97.67,94.801,87.749,83.85,81.695,76.122,70.862
"47","40","    Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","BCLPRG3",14.361,14.304,12.929,11.568,11.338,11.315,11.273,11.239,11.372,11.332,11.177,11.083,11.359,12.342,12.768,13.353,13.634,14.649,19.059,20.111,18.199,17.828,19.934,18.993,19.227,19.989,20.14,20.356,21.213,21.845,22.069,22.289,22.115,22.04,22.163,22.111,22.157,22.508,23.076,23.624,24.045,25.16,26.238,26.66,27.304,32.413,40.506,43.694,47.479,50.197,53.615,58.791,63.895,67.636,69.67,70.861,72.972,74.139,76.055,77.745,81.668,84.237,86.672,86.755,86.686,86.847,89.522,91.676,92.619,94.141,95.814,100,103.643,104.429,102.811,103.23,105.266,109.68,111.469
"48","41","    Drug preparations and sundries (45)","BDRGRG3",18.336,18.238,17.906,17.227,16.316,15.684,15.272,15.281,15.397,15.509,15.436,15.419,15.604,15.986,16.077,16.2,16.316,16.647,17.997,19.063,19.37,19.61,20.317,20.58,20.74,20.933,21.146,21.622,22.284,23.044,23.389,23.344,22.812,22.208,21.853,21.755,21.679,21.71,21.588,21.609,21.896,22.353,22.671,22.726,22.787,23.608,25.513,27.013,28.705,30.709,32.78,35.674,39.546,43.59,47.24,50.514,53.862,57.087,60.217,63.563,67.726,72.651,77.942,82.25,84.61,86.514,87.24,89.164,90.504,92.682,96.496,100,104.615,109.03,112.013,115.149,118.498,123.145,124.902
"49","42","    Nondurable toys and sport supplies (89)","BTOYRG3",30.08,29.768,27.872,25.506,25.295,26.816,27.106,27.886,29.083,28.707,27.634,28.637,28.637,33.186,33.646,40.281,43.098,43.11,44.475,48.295,48.817,48.514,51.874,51.799,52.029,51.269,51.644,53.69,54.376,55.056,55.035,55.903,56.686,57.503,58.224,58.642,57.977,57.781,58.755,61.022,64.046,65.521,66.94,67.932,68.541,71.285,75.648,77.494,78.554,81.538,85.329,92.04,97.723,101.813,102.89,103.345,102.887,103.438,105.779,110.376,113.861,115.862,117.087,118.429,118.978,119.888,118.439,119.084,117.951,112.642,105.886,100,95.864,90.644,85.835,82.449,78.176,75.286,72.493
"50","43","    Stationery and writing supplies (35)","BSTYRG3",11.891,11.581,9.889,9.491,8.18,8.457,8.185,8.309,9.41,9.52,9.498,9.827,9.735,11.384,11.821,12.937,12.604,12.725,14.245,15.556,15.416,16.247,18.19,18.55,18.635,18.453,19.418,20.632,21.414,21.71,21.761,22.021,22.045,22.288,22.535,23.006,23.649,24.527,25.567,26.521,27.298,28.68,29.474,29.875,31.323,37.701,41.679,43.587,46.123,47.461,50.329,53.947,58.061,62.025,64.783,66.488,68.219,69.219,70.141,71.686,74.422,76.852,79.589,83.368,85.132,87.248,91.545,95.516,99.721,102.37,101.681,100,100.091,100.321,98.275,94.944,95.312,96.523,98.234
"51","44","    Net foreign remittances (111 less 113)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","    Magazines, newspapers, and sheet music (88)","BMAGRG3",6.472,6.396,6.347,6.247,6.097,6.123,6.147,6.197,6.222,6.421,6.497,6.547,6.571,6.747,7.372,7.621,7.871,8.171,8.796,9.62,10.27,10.419,10.645,11.269,11.744,11.893,12.119,12.269,13.143,13.992,14.3,14.51,14.768,14.993,15.668,16.262,16.717,17.273,17.845,18.932,19.95,21.242,22.865,23.602,24.246,26.446,30.427,32.807,35.079,37.409,39.988,44.151,48.602,53.085,56.629,58.234,61.395,63.859,65.733,68.069,70.638,73.94,78.137,81.184,83.739,86.221,89.391,93.046,93.969,96.024,98.211,100,101.951,103.813,105.864,109.003,111.785,113.562,114.756
"53","46","    Flowers, seeds, and potted plants (95)","BFLORG3",17.184,16.816,13.509,8.683,9.353,13.458,16.036,14.274,19.992,14.521,11.94,13.078,12.577,16.978,21.286,24.243,24.759,25.532,29.302,34.121,30.927,29.559,30.055,34.122,31.379,29.253,32.056,28.322,29.299,28.911,29.368,30.091,30.794,31.431,31.968,32.728,33.036,33.585,34.432,36.059,37.407,39.067,41.096,42.305,43.382,46.038,49.736,52.095,54.358,57.126,61.745,69.21,76.188,79.706,80.483,80.652,83.194,83.621,87.206,89.257,91.342,95.249,99.179,102.341,99.875,100.118,103.164,99.863,96.694,97.99,95.767,100,103.373,103.618,102.998,106.181,105.939,106.825,108.078
"54","47","Services","B005RG3",9.23,8.997,8.421,7.65,7.136,6.985,7.082,7.224,7.493,7.564,7.571,7.621,7.817,8.221,8.632,9.032,9.328,9.763,10.359,10.939,11.246,11.561,12.082,12.563,13.186,13.578,13.894,14.275,14.687,15.076,15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.595,30.603,32.933,35.464,38.316,42.332,46.746,50.528,53.799,56.68,59.295,62.04,64.299,67.493,70.708,74.197,77.497,80.684,83.345,85.748,88.32,90.844,93.305,95.319,97.393,100,103.257,106.018,109.379,112.929,116.7,120.752,124.712
"55","48","  Housing","B174RG3",14.909,14.489,13.666,12.24,10.985,10.025,10.069,10.297,10.778,11.116,11.113,11.144,11.334,11.631,11.716,11.819,11.962,12.239,12.709,13.491,13.942,14.419,15.058,15.7,16.5,17.001,17.253,17.553,17.89,18.251,18.563,18.859,19.119,19.352,19.585,19.785,19.985,20.289,20.694,21.219,21.941,22.901,23.964,24.818,25.874,26.871,28.619,30.503,33.069,35.407,38.219,41.791,46.062,49.897,52.877,55.681,59.03,62.481,65.371,68.345,71.2,74.54,76.96,79.073,81.244,83.529,86.124,88.79,91.343,94.285,96.92,100,103.867,107.775,110.448,113.195,116.121,120.281,124.679
"56","49","    Owner-occupied nonfarm dwellings--space rent (24)","BOWNRG3",15.869,15.445,14.625,13.131,11.316,10.594,10.57,10.82,11.317,11.689,11.69,11.739,11.937,12.213,12.212,12.237,12.286,12.361,12.759,13.604,14.2,14.698,15.296,15.917,16.787,17.359,17.608,17.931,18.255,18.603,18.856,19.146,19.383,19.609,19.826,20.018,20.21,20.494,20.871,21.381,22.057,22.976,24.034,24.878,25.952,26.931,28.722,30.633,33.246,35.533,38.298,41.856,46.172,50.097,53.132,55.858,59.142,62.658,65.555,68.554,71.408,74.834,77.009,79.082,81.198,83.483,86.246,88.985,91.576,94.544,97.113,100,103.852,108.025,110.653,113.116,115.75,119.783,123.831
"57","50","    Tenant-occupied nonfarm dwellings--rent (25)","BTENRG3",15.941,15.517,14.691,13.192,12.319,10.619,10.619,10.869,11.369,11.743,11.744,11.793,11.993,12.243,12.268,12.293,12.343,12.418,12.818,13.667,14.268,14.767,15.367,15.992,16.841,17.439,17.69,18.014,18.34,18.689,18.946,19.227,19.475,19.716,19.936,20.111,20.318,20.607,20.963,21.479,22.163,23.094,24.147,24.99,26.088,27.052,28.862,30.79,33.406,35.693,38.468,42.04,46.4,50.256,53.378,56.404,60.119,63.872,66.745,69.465,72.234,75.376,78.161,80.273,82.241,84.214,86.218,88.447,90.942,93.788,96.604,100,104.339,108.297,111.317,114.139,117.567,121.745,126.911
"58","51","    Rental value of farm dwellings (26)","BFARRG3",12.08,11.49,10.34,8.92,8.3,8.71,9.3,9.43,9.94,10.11,10.02,9.97,10.16,10.82,11.57,12.58,13.9,16.821,18.361,18.671,17.131,17.541,19.001,20.341,20.511,19.761,20.071,19.901,20.441,21.241,23.061,23.763,24.774,25.285,26.296,27.047,27.361,28.482,29.883,30.679,32.762,35.07,37.204,39.585,40.316,41.699,41.858,42.878,45.042,47.913,50.427,52.755,54.678,52.967,53.459,53.978,53.295,52.055,52.551,57.316,61.701,65.938,70.419,75.026,84.276,93.82,97.696,100.884,96.708,96.528,97.538,100,105.11,106.996,111.094,118.386,125.459,133.733,139.518
"59","52","    Other (27)","BOHORG3",8.255,8.093,7.66,6.993,6.281,5.918,5.913,6.029,6.317,6.485,6.544,6.463,6.561,6.925,7.215,7.323,7.415,7.583,7.983,8.457,8.823,9.114,9.714,10.136,10.594,10.925,11.216,11.563,12.001,12.326,12.618,12.832,12.982,13.109,13.168,13.302,13.536,13.767,14.33,15.001,15.924,17.033,17.793,18.237,19.016,20.277,21.758,23.394,25.284,28.327,32.044,36.211,40.164,44.401,46.671,50.138,53.643,55.921,59.452,62.919,65.842,68.783,72.281,74.381,76.689,78.865,81.708,85.33,88.973,92.602,95.642,100,101.821,102.195,103.78,109.206,113.43,118.452,124.429
"60","53","  Household operation","B186RG3",13.233,12.7,11.924,11.2,10.816,10.83,10.895,10.934,11.23,10.998,11.041,11.142,11.414,12.14,13.327,14.442,15.189,15.491,15.936,16.458,16.782,17.169,17.665,18.405,19.006,19.216,19.509,19.803,20.258,20.904,21.514,22.229,22.444,22.618,22.863,23.093,23.279,23.509,23.908,24.626,25.426,26.478,28.316,29.741,31.135,34.432,37.715,41.059,43.988,46.565,49.667,54.907,61.784,68.87,73.552,77.337,79.769,80.982,80.615,81.796,83.783,85.319,88.42,90.389,92.72,94.343,95.482,97.333,99.01,98.15,98.093,100,104.618,103.681,107.67,109.892,115.522,121.503,124.813
"61","54","    Electricity (37)","BELCRG3",29.209,28.284,27.203,26.384,26.081,25.356,24.597,23.803,23.302,22.951,22.575,22.332,22.193,22.056,22.024,21.975,21.863,21.002,20.749,20.942,21.135,21.163,21.36,21.553,21.827,21.939,22.215,22.271,22.382,22.664,22.964,23.304,23.391,23.392,23.304,23.226,23.139,23.139,23.304,23.479,23.993,24.77,26.409,27.699,29.416,34.753,39.225,41.806,44.58,47.369,50.98,59.053,67.893,74.623,77.066,81.989,84.928,86.035,85.779,86.952,89.39,91.469,94.88,96.723,98.619,98.656,100.882,102.554,103.102,99.116,98.43,100,107.998,106.809,109.332,111.176,117.831,132.087,137.301
"62","55","    Gas (38)","BNGSRG3",10.583,10.363,10.177,9.938,9.755,9.69,9.662,9.613,9.507,9.646,9.741,9.671,9.561,9.543,9.44,9.406,9.29,9.125,9.206,9.528,9.941,9.977,9.927,10.127,10.429,10.629,11.063,11.245,11.415,12.098,12.519,13.308,13.52,13.52,13.52,13.596,13.596,13.665,13.664,13.808,14.029,14.818,15.895,16.684,17.481,19.636,23.52,27.549,32.708,35.671,41.375,49.473,56.384,67.323,78.867,79.385,78.875,75.057,71.659,71.214,73.164,73.23,74.148,75.518,80.148,81.641,77.34,80.489,86.081,84.472,84.897,100,119.145,101.2,123.799,134.098,161.113,164.841,163.121
"63","56","    Water and other sanitary services (39)","BWATRG3",4.982,4.983,4.983,4.82,4.386,4.441,4.658,4.657,4.658,4.658,4.603,4.712,4.658,4.712,4.711,4.82,4.929,5.037,5.254,5.416,5.47,5.794,6.011,6.553,6.932,7.311,8.015,8.232,8.881,9.423,9.806,10.117,10.383,10.65,10.975,11.137,11.412,11.834,12.108,12.685,13.543,14.616,16.171,16.77,17.672,18.746,20.566,22.868,25.344,28.288,29.619,31.658,35.483,39.749,43.104,46.009,48.842,51.677,54.737,57.98,61.706,66.062,71.153,76.227,80.435,84.394,87.116,90.232,92.459,95.452,97.598,100,102.919,106.232,110.176,116.923,122.816,128.871,135.403
"64","57","    Telephone and telegraph (41)","BTELRG3",35.748,36.005,36.14,36.207,36.031,35.521,35.312,35.117,34.642,34.642,34.595,34.66,34.836,36.754,37.936,39.045,39.695,39.693,40.304,42.366,44.183,47.549,48.542,50.347,52.111,51.295,50.729,51.366,52.359,53.915,55.169,56.039,56.227,56.222,56.24,56.319,55.52,54.294,55.013,55.016,55.742,56.393,59.16,62.49,64.089,66.797,68.954,71.407,72.218,73.012,72.732,74.011,81.183,89.539,94.986,102.001,104.836,108.089,105.487,104.23,104.116,103.766,104.561,104.661,105.173,107.45,107.011,107.272,107.517,106.118,103.542,100,97.979,98.126,97.199,95.217,94.411,95.109,97.007
"65","58","    Domestic service (42)","BDMSRG3",4.987,4.62,4.016,3.413,3.15,3.229,3.308,3.465,3.833,3.623,3.727,3.833,4.121,4.83,6.301,7.796,8.951,9.608,9.949,10.185,10.185,10.211,10.736,11.471,12.023,12.179,12.207,12.495,12.968,13.361,13.885,14.74,14.92,15.321,15.622,16.139,16.907,17.845,18.49,20.35,21.802,23.601,25.003,26.255,28.123,30.9,33.251,37.698,40.682,43.561,47.852,51.676,56.148,59.356,60.557,62.141,64.018,65.414,66.719,68.925,70.824,72.685,76.766,79.254,81.301,82.834,85.78,88.256,90.528,93.083,95.803,100,103.773,107.616,110.304,112.769,116.63,120.803,125.353
"66","59","    Other (43)","BOPORG3",5.908,5.669,5.367,5.297,5.42,5.618,5.774,5.69,5.923,5.762,5.711,5.825,6.205,6.588,7.089,7.566,7.758,8.081,9.003,9.591,9.877,10.115,10.772,11.433,11.766,12.211,12.449,12.734,13.019,13.404,14.014,14.324,14.502,14.682,15.539,16,16.485,17.02,17.728,19.102,20.122,20.981,23.113,24.292,25.191,27.837,29.513,33.583,35.363,37.819,40.769,43.829,48.83,53.296,55.286,57.271,60.783,62.928,64.189,67.676,69.64,70.96,76.295,78.674,80.813,82.285,86.735,89.057,91.302,93.259,96.338,100,104.949,109.488,114.783,117.763,122.018,126.67,129.727
"67","60","  Transportation","B177RG3",8.761,8.692,8.281,7.693,7.301,7.439,7.59,7.547,7.514,7.564,7.605,7.484,7.617,8.089,8.234,8.181,8.273,8.567,9.18,9.895,10.624,11.034,11.812,12.391,13.051,13.415,13.654,13.961,14.459,14.975,15.436,15.803,16.243,16.545,16.647,16.902,17.307,17.752,18.419,19.204,20.43,22.099,23.815,24.71,25.663,27.496,30.273,32.981,35.261,37.47,40.799,46.751,51.884,54.543,56.968,59.749,61.416,62.857,65.75,69.123,72.549,75.488,77.972,81.187,85.29,87.279,89.602,91.516,93.34,95.397,97.528,100,101.691,102.924,105.952,108.307,112.645,116.172,119.318
"68","61","    User-operated transportation","B487RG3",9.357,9.099,8.642,7.771,7.166,7.358,7.557,7.541,7.578,7.591,7.616,7.603,7.877,8.535,8.478,8.509,8.541,8.899,9.562,10.247,10.712,10.85,11.615,12.242,13.031,13.351,13.504,13.739,14.211,14.677,15.064,15.358,15.708,15.861,16.036,16.264,16.709,17.132,17.781,18.545,19.69,21.169,22.812,23.69,24.699,26.498,29.299,31.995,34.31,36.743,40.254,44.017,47.538,50.586,53.235,55.835,57.973,60.882,63.7,66.744,70.011,72.808,75.914,79.548,83.523,86.661,89.235,91.696,92.997,95.335,97.92,100,103.09,105.916,108.952,111.866,116.715,119.702,123.329
"69","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRG3",10.517,10.17,9.547,8.302,7.414,7.658,7.932,7.935,7.958,7.958,7.935,7.908,8.257,8.981,9.077,9.204,9.276,9.576,10.37,10.944,11.216,11.464,12.311,12.635,13.306,13.779,14.078,14.623,15.146,15.394,15.723,16.002,16.429,16.635,16.845,17.045,17.391,17.688,18.444,19.417,20.67,22.199,23.798,24.85,26.232,28.883,32.568,34.934,37.562,40.54,44.466,49.028,53.507,57.479,59.969,62.107,63.947,66.38,69.196,71.849,74.745,77.608,80.565,83.001,85.545,88.083,90.369,92.145,93.508,95.355,97.274,100,103.357,106.11,107.974,109.47,112.796,116.746,119.952
"70","63","      Other user-operated transportation (76+77)","B2631G3",5.754,5.761,5.744,5.78,5.862,5.908,5.909,5.849,5.915,5.957,6.086,6.105,6.177,6.618,6.286,6.126,6.062,6.588,6.79,7.841,8.936,8.74,9.266,10.41,11.359,11.36,11.236,10.899,11.241,12.061,12.524,12.821,12.994,13.032,13.125,13.388,13.99,14.628,15.014,15.31,16.152,17.413,19.022,19.474,19.677,19.761,20.697,23.842,25.358,26.51,28.935,30.835,32.233,33.299,36.013,39.414,42.179,46.192,48.954,52.924,57.118,59.712,63.13,69.633,77.274,82.059,85.487,90.149,91.239,95.329,100.347,100,102.078,105.176,112.404,120.309,130.535,130.012,135.19
"71","64","    Purchased local transportation","B477RG3",5.488,5.543,5.288,5.037,4.98,5.162,5.235,5.283,5.407,5.42,5.514,5.413,5.434,5.546,5.659,5.485,5.609,5.846,6.243,6.747,7.622,8.33,9.122,9.641,10.164,10.798,11.373,11.807,12.243,12.679,13.191,13.498,14.048,14.676,15.028,15.523,15.851,16.586,17.711,18.773,20.009,22.544,24.239,25.415,25.74,26.71,28.793,31.271,32.902,34.378,36.789,42.724,50.519,55.682,57.354,60.351,62.069,65.9,68.486,71.167,72.952,77.002,80.976,84.854,87.053,88.113,90.231,99.101,101.309,99.875,98.605,100,102.998,105.287,112.806,119.456,124.972,129.2,131.874
"72","65","      Mass transit systems (79)","BSTRRG3",5.134,5.229,5.237,5.238,5.241,5.242,5.247,5.226,5.224,5.246,5.249,5.27,5.264,5.348,5.335,5.335,5.311,5.464,5.707,6.396,7.195,7.849,8.75,9.407,10.041,10.893,11.319,11.777,12.208,12.949,13.327,13.744,14.377,14.934,15.281,15.628,15.914,16.678,17.869,18.978,20.516,24.006,25.612,26.722,26.653,26.305,27.774,30.987,31.977,32.67,34.53,39.885,49.316,55.418,57.482,61.343,63.093,68.166,69.963,71.431,73.306,77.905,80.852,85.358,87.491,88.518,90.885,99.444,100.962,99.866,98.604,100,102.993,105.283,112.809,119.456,124.966,129.198,131.871
"73","66","      Taxicab (80)","BTAXRG3",7.106,6.937,5.31,3.855,3.529,4.558,4.983,5.408,6.281,6.239,6.887,6.062,6.233,6.484,7.209,6.233,7.034,7.639,8.66,8.465,9.686,10.642,11.067,11.144,11.343,11.369,12.417,12.819,13.301,13.043,13.914,13.983,14.375,15.233,15.626,16.538,17,17.722,18.78,19.829,20.612,21.861,23.765,25.074,25.861,28.495,31.443,33.214,35.628,38.126,41.44,48.508,53.032,55.983,56.737,58.082,59.73,61.535,65.462,70.546,72.132,74.973,81.265,83.638,86,87.141,88.657,98.262,102.139,99.897,98.605,100,103.013,105.297,112.8,119.456,124.991,129.206,131.882
"74","67","    Purchased intercity transportation","B480RG3",18.224,17.965,17.158,15.809,14.075,13.353,13.662,12.963,11.833,12.153,11.921,11.417,11.511,12.836,13.33,13.665,13.675,13.88,14.877,16.192,16.937,17.166,17.522,17.773,17.854,17.526,17.281,17.668,18.391,19.354,20.158,21.174,22.003,22.785,21.751,21.752,21.931,22.102,22.324,22.929,24.565,26.447,28.55,29.305,30.453,33.067,36.279,39.264,41.876,43.664,46.886,61.963,73.099,72.972,74.774,78.335,77.771,71.484,74.852,79.967,84.66,87.923,87.071,88.152,93.527,90.222,91.388,88.66,92.927,94.517,95.331,100,94.265,87.061,88.895,87.718,89.477,95.154,96.176
"75","68","      Railway (82)","BIRRRG3",12.015,11.912,11.223,9.964,8.73,8.167,8.205,7.684,7.493,7.948,7.792,7.402,7.434,8.296,8.469,8.729,8.767,9.159,10.084,11.315,11.88,12.107,12.32,12.296,12.315,12.044,11.884,12.28,13.05,13.429,13.694,13.926,14.349,14.492,14.07,14.11,14.138,14.128,14.198,14.461,15.341,16.655,18.012,17.663,17.462,19.217,21.497,23.497,25.61,27.61,30.147,35.536,42.178,47.375,51.039,53.862,55.819,59.131,62.431,65.844,73.269,76.15,78.232,79.351,80.581,81.387,85.731,91.381,91.272,93.49,96.951,100,104.871,108.735,107.612,98.44,99.229,107.814,105.652
"76","69","      Bus (83)","BIBURG3",12.977,12.631,12.478,12.697,10.963,10.486,11.632,10.977,7.867,7.779,7.471,7.221,7.277,8.247,8.836,8.924,8.95,8.774,9.021,9.208,9.748,9.952,10.276,10.681,10.84,10.635,10.47,10.882,11.706,12.416,13.255,13.893,13.726,13.964,14.204,14.354,14.705,15.109,15.709,16.526,17.389,18.622,20.848,22.023,22.907,25.233,29.199,30.924,35.054,37.767,40.95,46.708,53.295,57.965,63.047,68.506,73.219,80.779,79.388,82.427,84.724,86.761,90.774,92.246,89.307,89.228,86.567,88.183,88.609,93.356,95.631,100,103.27,106.558,110.511,114.801,118.882,127.473,128.491
"77","70","      Airline (84)","BIAIRG3",33.022,22.015,22.015,19.263,19.263,16.221,17.122,17.122,17.122,15.034,16.221,15.241,15.41,16.878,17.612,18.56,17.297,16.201,17.617,20.161,20.5,20.156,20.345,20.583,20.557,20.248,19.964,19.946,19.946,21.322,22.2,23.755,25.303,26.607,24.687,24.576,24.684,24.744,24.775,25.302,27.232,29.319,31.5,32.258,33.59,36.364,39.602,42.948,45.515,47.312,50.769,68.682,81.04,79.181,80.374,83.835,82.304,73.431,77.355,83.41,88.629,91.455,89.592,90.766,96.539,91.66,92.967,88.631,93.999,95.391,95.505,100,92.179,82.86,84.817,83.262,84.392,90.153,91.08
"78","71","      Other (85)","BTRORG3",11.424,11.171,11.231,11.165,11.085,11.317,11.144,11.346,11.346,10.807,10.984,10.892,11.273,11.521,11.849,12.323,12.316,12.319,12.297,12.996,12.538,12.407,12.407,12.407,12.134,12.227,12.134,12.232,12.232,12.232,12.665,12.935,13.231,13.647,13.746,13.895,14.168,14.744,15.36,16.064,17.172,18.574,19.536,20.156,21.075,23.021,25.101,27.187,28.677,29.409,31.244,38.908,48.138,53.197,55.481,58.665,61.091,64.338,66.034,66.477,68.994,75.003,76.819,77.402,84.029,85.403,86.907,88.511,89.819,91.208,94.371,100,100.536,98.962,99.909,99.605,103.67,108.13,109.757
"79","72","  Medical care","B494RG3",4.429,4.445,4.085,3.591,3.566,3.738,3.948,4.054,4.178,4.261,4.238,4.357,4.45,4.756,5.112,5.416,5.705,6.175,6.706,7.01,6.957,7.025,7.143,7.551,8.005,8.339,8.54,8.704,9.075,9.4,9.677,10.044,10.329,10.603,10.838,11.173,11.547,12.088,12.81,13.755,14.672,15.707,16.669,17.521,18.268,19.813,21.872,23.867,26.151,28.501,30.801,34.041,38.11,42.167,45.656,49.057,51.522,53.372,55.672,59.887,64.856,69.711,73.846,77.836,81.522,84.877,88.025,90.357,92.6,94.924,97.186,100,103.588,106.12,110.143,114.709,118.613,122.136,126.601
"80","73","    Physicians (47)","BPHYRG3",4.467,4.568,4.232,3.642,3.659,3.776,4.013,4.097,4.165,4.316,4.283,4.434,4.518,4.771,5.193,5.53,5.665,5.934,6.254,6.508,6.541,6.574,6.743,7.114,7.485,7.789,8.142,8.497,8.851,9.154,9.457,9.688,9.915,10.202,10.434,10.722,11.067,11.764,12.563,13.26,14.237,15.276,16.304,16.824,17.353,18.969,21.276,23.694,25.881,28.003,30.602,33.839,37.539,41.064,44.28,47.357,50.109,53.751,57.708,61.84,66.375,71.15,75.342,80.075,84.534,88.769,92.26,92.906,94.153,96.162,98.296,100,102.844,102.754,104.324,106.55,108.36,109.331,113.716
"81","74","    Dentists (48)","BDENRG3",4.848,4.984,4.61,3.884,3.85,3.952,4.239,4.308,4.457,4.644,4.595,4.779,4.83,5.152,5.508,5.946,6.2,6.57,7.046,7.415,7.636,7.718,7.919,8.177,8.646,9.037,9.223,9.509,9.746,10.032,10.286,10.49,10.548,10.852,11.145,11.449,11.823,12.206,12.818,13.515,14.475,15.284,16.27,16.928,17.482,18.782,20.743,22.102,23.735,25.384,27.515,30.792,33.73,36.341,38.776,41.923,44.573,47.047,50.239,53.61,56.893,60.606,65.075,69.388,72.963,76.386,80.067,83.762,87.64,91.364,95.647,100,104.085,108.737,113.152,118.722,125.361,131.894,138.675
