"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6189,6142,6050,6073,6036,6185,6076,6109,6118,6082,5967,6044,6160,6152,6323,6397,6359,6255,6276,6191,6349,6447,6513,6528,6624,6617,6709,6597,6662,6649,6695,6502,6747,6720,6900,6740,6652,6552,6445,6540,6618,6831,6912,6865,6773,6798,6930,7086,7128,7159,7131,7168,7148,7138,7032,7328,7329,7460,7501,7433,7316,7270,7569,7603,7785,7613,7620,7732,7828,7804,7943,8030,8203,8333,8378,8571,8472,8568,8865,8575,8762,8725,8712,8759,8880,8835,8851,8704,8953,8974,9062,9042,9036,9092,9226,9404,9230,9264,9372
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18075,18337,18272,18547,18824,19028,19002,18934,18484,18244,17974,17455,17193,17159,17161,17153,17367,17112,17311,17149,17020,16899,16722,16885,16812,16706,17062,16794,16410,16393,16544,16714,17258,17118,17126,16871,17208,16908,16403,16668,16896,17213,17781,17447,17411,17834,18218,18351,18080,18086,17471,18013,17943,18211,17995,18004,18296,18139,18238,18736,18655,18615,18595,18760,18800,18605,18484,18679,18665,18519,18272,18272,18041,18577,18832,19301,18849,18736,18903,18902,19061,19320,19493,19274,19764,20068,20153,20233,20355,20209,19797,19527,19552,19414,19405,19317,19585,19859,19803
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406498,403530,402859,404204,405027,404331,404424,405972,405660,396546,391915,396311,399535,400875,401564,402420,405968,408690,409956,409011,413359,414884,419327,420589,422324,424309,426475,427872,427405,428862,431040,428576,433713,434623,437060,436447,437275,439198,442603,447133,448495,449763,451098,454154,453980,456391,457845,458595,459421,461491,460861,459161,458720,457583,450728,453284,457229,459552,460621,462169,463628,461982,466895,463785,467582,469509,469162,470941,471451,468616,468559,472056,469820,471215,469000,470127,469131,469075,472721,473140,471464,472830,469539,466423,467144,465662,461796,460139,458264,457786,462063,458086,458672,458538,455632,451619,445931,442483,440167
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,133024,130099,128961,130295,131286,131338,132708,132445,133080,123296,120537,125404,128151,129719,130881,131563,133626,135897,135467,134599,136906,139690,143772,143825,146027,147039,148572,150062,151127,152500,153232,151698,154563,154577,156511,156477,157829,158719,160213,163332,163634,163991,164999,166457,165892,167099,166150,164221,163513,164933,163836,162089,160870,158627,152461,153840,157909,161066,161244,161478,161939,160775,163388,160574,163183,164293,163410,163155,163144,159109,158190,161123,159166,158499,157443,158982,156849,156491,160219,161042,159158,158712,157720,152500,152732,151848,149917,146991,146365,146670,150525,147843,147947,147765,147836,145661,140998,138147,135926
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26479,26093,26428,26458,26189,25804,25604,25637,25464,25615,25751,25844,26471,26705,26820,26837,27272,27158,27525,27413,27865,27784,27741,27619,27591,27757,27583,27650,27582,28037,28081,28180,28449,29213,29268,29230,29032,29286,29860,30126,30457,30457,30751,31254,31285,31293,31724,32708,32304,32216,32209,32387,32851,33096,32997,33042,32910,32865,33065,33650,33860,34131,34201,34354,34581,34687,34769,34734,34714,34556,34483,34516,34879,35229,35025,35022,34874,35128,35452,35409,35775,36516,36261,36010,35995,35757,35428,35803,35464,35607,35954,35855,35894,35848,33633,33143,32825,32417,32272
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40230,40116,40084,40163,40380,40174,39776,40157,40102,40216,40035,40016,40234,40323,40735,40772,40593,40550,40451,40463,40959,41382,41233,41493,40925,41634,41753,41470,41385,41552,41563,41868,42654,42441,42520,42631,42479,42862,43041,43375,43653,43675,43855,43893,43567,44142,44194,44690,45555,45327,45012,44622,44879,45010,45080,45280,45750,45784,46251,46706,47132,46438,47280,47398,47284,47496,47903,48417,47891,47488,47400,46928,46668,47031,46669,47694,47332,47347,47210,47161,46789,47159,47168,47273,47666,47569,47512,47470,47039,46721,46631,46694,46659,46279,46217,45663,45669,46058,46698
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31963,32132,32143,32272,32216,32317,32297,32324,32201,32486,32591,32485,32345,32328,32181,32194,32233,32266,32133,32328,32603,32085,32251,32645,32504,32612,32681,32546,32391,32242,32428,32354,32588,32068,31816,31681,31781,31681,31752,31777,31919,31964,32049,32050,32088,32069,32155,32051,32206,32150,32041,32054,31999,32020,31875,31943,31552,31803,31901,31896,32070,32243,32355,32463,32609,32648,32674,32659,32730,32724,32685,32640,32508,32356,32440,32139,32468,32725,32781,33046,33140,33351,33268,33345,33294,33361,33431,33590,33596,33590,33608,33624,33811,33997,33917,33772,34128,34196,34290
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32371,32535,32398,32235,32093,32227,32021,32027,32262,32563,31735,31460,31470,31040,30809,31144,31218,31612,32074,32128,32501,32536,32583,33056,33471,33559,33712,33452,33464,33238,33392,33406,33305,33200,33579,33478,33478,33679,33689,34251,34577,34605,34585,34980,35153,35458,35757,35949,36369,36916,37075,37069,36971,37492,37497,37632,37663,37779,37438,37334,36969,37418,37981,38285,38549,38670,38608,38654,38879,39066,39504,40244,40142,40652,39987,39610,39507,39243,39070,38970,38978,38816,38652,38788,38522,38250,37773,37826,37488,37436,37587,37430,37419,37372,37144,36737,36353,36293,35685
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64096,64190,65236,64854,65255,65315,64517,65395,64851,64770,64118,63551,63173,63184,62689,62559,63162,62815,63682,63719,63833,63875,64729,64771,64587,64378,64563,65387,64547,64549,64864,64150,65092,65787,65365,65609,65867,66234,66905,67109,67257,67779,67617,67975,68062,68194,69208,69829,70015,70226,71461,71383,71540,71504,71158,71974,71995,71579,71562,71854,71274,70679,71009,69775,70448,70541,71388,72056,72235,73043,73482,73674,73834,74198,74128,74127,74168,74114,73668,73408,73524,73950,72714,73268,73616,73655,72574,72993,72793,72609,72658,71862,72426,72415,71776,71160,70315,69881,70365
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41933,41764,42183,41956,41997,41838,41032,41639,41485,40877,40258,39701,39006,38886,38447,38091,38043,37995,38272,38073,38017,37811,38267,38144,37878,37559,37602,38233,37475,37324,37131,36596,37019,37241,36623,36447,36596,36555,36792,36874,36925,36899,36881,36953,36650,36926,37004,37072,37090,37171,38164,37333,37184,37239,37320,37351,37249,36985,36808,37056,36385,35893,35890,35660,35628,35285,35616,35912,36105,36386,36776,36946,37066,37119,36880,37079,36937,37070,36973,36758,36921,37314,36122,36440,36460,36517,36040,35869,35888,35557,35432,34988,35346,35282,34363,33836,33252,33269,33321
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22163,22424,23050,22896,23254,23471,23474,23747,23360,23878,23843,23830,24141,24269,24211,24433,25076,24780,25365,25597,25765,26009,26405,26568,26647,26755,26895,27090,27004,27153,27653,27472,27986,28454,28641,29051,29161,29560,29990,30111,30208,30742,30602,30882,31259,31122,32041,32583,32748,32875,33129,33848,34144,34057,33643,34408,34527,34374,34528,34576,34651,34541,34866,33884,34570,34989,35498,35865,35855,36372,36427,36452,36493,36795,36953,36766,36938,36763,36423,36374,36333,36376,36298,36535,36850,36833,36239,36794,36586,36711,36870,36516,36729,36775,36997,36889,36616,36188,36602
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78327,78355,77608,77923,77593,77128,77468,77952,77664,77549,77093,77518,77695,77596,77489,77398,77939,78485,78726,78442,78802,77706,77260,77397,77499,77631,77927,77671,77327,77232,77967,77391,77592,77941,78699,78063,77586,77557,78027,78186,78029,78316,78319,78708,79075,79289,79759,80186,80342,80674,80167,80429,80434,80546,80079,80045,80113,79537,79967,80081,81135,81054,81490,81541,81717,81999,81213,81939,82528,82998,83096,83433,83084,83617,83618,83001,84082,84149,84777,84625,84536,84746,84138,84978,85056,84872,84615,84631,84626,84381,84784,84199,83956,84255,84250,84434,84052,83521,82673
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
