"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"71","64","        Paramedical services (46)","DPMSRC1",3.2,3.4,3.6,4,4.8,5.5,6.7,8.2,9.5,10.7,12.1,13.6,16.5,17.5,21.6,25.2,29.4,33.8,38.5,45.3,52.4,64.9,74.8,86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,181.3,193,204.4,213,227.2,240,249.8,260.6,272.1,284.2
"72","65","      Hospital and nursing home services","DHPNRC1",22.1,25.4,29.6,33.5,37.3,42.9,50.5,58.5,66.2,76.5,87.3,101,118.3,134.5,149.8,160.7,172.8,186.8,201.6,223.9,246.6,274.1,302,330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,604.1,649.6,696.1,741.2,791.9,830.8,882.6,922.8,970.6,1020.2
"73","66","        Hospitals (51)","DHSPRC1",18.3,20.9,24.3,27.6,30.6,35.3,41.7,48.6,55.1,63.6,72.9,84.7,100,115.2,127.4,135.8,145.8,157.4,170.9,188.8,207.7,228.8,253.3,277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,498.4,537.9,577.2,617,658.1,690.1,736.6,770.5,811.4,861.2
"74","67","        Nursing homes (52)","DNRSRC1",3.8,4.5,5.3,6,6.7,7.7,8.8,9.9,11.1,12.8,14.4,16.4,18.3,19.3,22.4,24.9,27,29.4,30.7,35.1,38.9,45.3,48.7,52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,105.7,111.8,119,124.2,133.8,140.8,146.1,152.3,159.2,159
"75","68","    Transportation services","DTRSRC1",18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.6,244.1,263.5,264.7,258.2,265.5,276.6,289.4,302.1,312.2,311.7,289.7,292.9,308.2,318.1
"76","69","      Motor vehicle services","DMVSRC1",11.5,13,14.6,15.8,16.6,17.7,20.6,23,26.6,29.5,33.2,35.1,38.4,39.8,45,53,62,65.8,71.8,79.5,84.8,87.2,84.4,93.1,102.6,115.9,129.1,142.8,157.2,165.2,177.7,189.3,194.8,191.8,195.1,201.5,211.8,220.6,228.5,226.7,210.4,211.9,223,230.6
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRC1",10.1,11.4,12.9,14,14.7,15.7,18.3,20.5,23.8,26.4,29.8,31.2,33.9,35.1,39.9,45.9,53.4,56.2,61.5,68.3,72.5,73.9,69.4,73.7,78.9,86.5,93.5,100.1,106.3,112.8,119.9,127.4,133.8,136.8,143.5,148.5,155.1,157.3,162.4,158.9,149.2,152.4,161.9,166.4
"78","71","        Other motor vehicle services (61)","DOVSRC1",1.4,1.5,1.7,1.9,2,2,2.3,2.5,2.9,3,3.4,3.9,4.5,4.7,5.2,7.1,8.7,9.6,10.3,11.3,12.3,13.3,15,19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,51.6,53,56.7,63.3,66.1,67.8,61.2,59.6,61.1,64.2
"79","72","      Public transportation","DPUBRC1",6.5,7.1,7.8,8.7,9.4,10.7,11.4,13.2,14.8,15.7,17.5,20.2,21.4,21.9,23.9,27,28.1,29.2,31.3,34.6,37.1,39.2,39.3,40.5,43.5,46,48.8,52.2,57.1,62.4,66.4,74.3,69.9,66.4,70.4,75.1,77.6,81.5,83.7,85,79.3,81,85.2,87.5
"80","73","        Ground transportation (63)","DGRDRC1",3.6,4,4.3,4.6,4.7,5.2,5.5,6,6.5,6.6,7.1,7.4,8,8.4,8.7,9.3,9.8,9.9,10,11.2,11.8,12.9,14,14.8,15.4,16.1,16.7,17.4,18.1,20.1,21.3,22.9,24.7,24.6,25.3,27.9,29.6,32.5,33.4,34.8,34.5,35.6,38,37.1
"81","74","        Air transportation (64)","DAITRC1",2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,15.1,17.6,18.1,19,20.9,23,24.8,25.9,25.1,25.6,27.7,29.2,31.1,33.3,37.2,40.3,43,49.2,42.9,39.5,42.7,44.7,45.4,46.3,47.6,47.4,42.2,42.7,44.3,47.3
"82","75","        Water transportation (65)","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.3,0.6,1.1,1.5,1.8,2,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.8,2.8,2.5,2.7,2.9,3.1
"83","76","    Recreation services","DRCARC1",12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,289.2,312.1,328.9,351.9,375.8,384.5,376,385.1,399.7,416.6
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1",6.9,7.6,8.1,8.6,9.4,10.8,12.1,13.2,15,16.6,18.3,20.1,22.6,24.6,27.2,29.4,32,33.9,35.8,40,45.3,49.7,52.1,57.4,61.2,64.2,69.5,74.6,79,83.3,87.3,91.9,94.3,97.5,103.8,110.3,117.9,127.2,137.3,140.5,137.9,141.8,147.6,153.7
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1",3.5,3.8,4.1,4.3,5,5.7,6.5,7.5,8.1,8.6,9.7,10.7,12.4,14,16.6,19,21.9,24.5,27.2,31.1,34.7,37.9,39.4,42.6,46,46.5,50,52.8,55.5,60,65.5,70.1,72.7,73.4,76.1,81.3,81.5,84.4,89.3,92.7,93.6,96.1,99.8,104.2
"86","79","      Gambling (91)","DGAMRC1",1.5,1.7,1.9,2.2,2.7,3,3.4,3.9,4.4,5.2,5.9,6.7,8.4,9.7,11.1,12.6,14.3,15.5,16.9,19.7,21.3,23.7,24.7,28.1,33.3,39.6,45.4,50.3,54.5,55.9,62.3,67.6,70,74.1,81.3,90.1,96.5,104.7,110,110.2,105,105.6,108.9,112.5
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1",0.9,1,1,1.2,1.3,1.4,1.6,1.9,2.1,2.4,2.9,3.3,3.7,4.1,4.6,5.2,5.8,6.5,7.4,8.4,9.4,10.5,11,11.7,12.9,14.3,16.1,17.9,19.3,21,22.9,24.8,25.3,26.4,28,30.4,33,35.7,39.3,41.2,39.5,41.7,43.3,46.2
"88","81","    Food services and accommodations","DFSARC1",37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,461.9,496.4,530.6,566.3,595.6,612.5,600.3,617.7,658.7,701.7
"89","82","      Food services","DFSERC1",34.7,38.6,40.7,45,50.5,55.9,63.5,71.6,78.8,89.2,101.7,111.5,122,129.8,139.7,148.8,156.2,167.5,182.3,201.6,216.7,235.1,244.2,254.1,265.7,273.4,279.6,286.7,298.5,314.6,330.5,353.8,367.6,383.1,404.6,432.1,458.1,486.3,509.6,523.7,517.9,532.2,567.6,604.2
"90","83","        Purchased meals and beverages (102)","DPMBRC1",32.7,36.5,38.7,43,48.3,53.2,60.4,68,75,85,96.7,105.9,115.9,123.3,133.3,142.4,150,161.5,176.6,195.6,210.2,228.3,237.3,247.1,258.4,265.9,271.8,278.7,290.3,306.2,321.8,344.9,358.4,373.6,394.4,421.2,446,472.3,494.9,508.7,502.3,516.9,550.8,587.1
"91","84","        Food furnished to employees (including military) (103)","DFOORC1",2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.2,10.9,12.1,13.9,14.7,15,15.6,15.3,16.8,17.1
"92","85","      Accommodations (104)","DACCRC1",2.7,3,3.1,3.9,4.3,4.7,5.3,6.2,6.9,7.9,9.3,10.3,11.9,12.7,13.9,16.1,18.1,19.2,22,24.2,25.9,27.6,29.2,32.2,32.7,34.9,36.6,39.9,44.9,47.2,49.8,55,52.1,53.3,57.3,64.4,72.5,80,86,88.8,82.4,85.5,91.1,97.5
"93","86","    Financial services and insurance","DIFSRC1",28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,188.1,199.8,205.3,219.8,238.4,247.4,266.8,295.1,332.6,346.9,366.4,392.3,429.2,467.3,509.1,566.3,552.8,562.6,588.5,635.3,689.6,724.2,768.5,771.5,719,763.2,801.1,821
"94","87","      Financial services","DFNLRC1",14.1,15.3,17.1,18.9,20.3,23.7,30.1,32.2,35.8,43.1,47.2,51.7,54.1,62.1,87.2,90,115,127,133.2,134.4,138.6,135.7,143,161.8,184.7,197.7,212.9,233.8,259.8,286.8,319.6,360,341.2,347.3,357.4,387.4,417.4,446.2,480.3,486.6,452.2,473.3,490.3,496.1
"95","88","        Financial services furnished without payment (107)","DIMPRC1",9.1,10.9,11.8,13.2,15.1,18.6,24.1,25.1,28.2,34.2,37,38.3,38.7,42.7,62.7,64.3,84.3,88.5,90.6,93.5,92.3,87.2,88.4,99.5,112.2,123.9,131,139.8,152.5,161.8,170.7,185.4,178.1,179.1,183.5,200.9,216.1,221.8,236.6,241.2,229.4,248.9,259.7,259.1
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRC1",5,4.4,5.3,5.8,5.2,5,6.1,7.2,7.6,9,10.2,13.5,15.5,19.4,24.4,25.8,30.7,38.5,42.7,40.9,46.3,48.5,54.5,62.3,72.4,73.8,81.9,94,107.4,125,148.9,174.6,163.1,168.2,174,186.5,201.4,224.3,243.8,245.4,222.9,224.4,230.6,237
"97","90","      Insurance","DINSRC1",14.4,15.7,17.1,19.4,21.2,22.2,23.9,27,32,37.5,40.4,43.9,47.9,54.3,58.7,66.5,73,72.8,72.1,85.4,99.8,111.7,123.8,133.3,147.9,149.1,153.5,158.5,169.4,180.5,189.5,206.3,211.7,215.3,231,248,272.2,278,288.2,284.9,266.7,290,310.7,325
"98","91","        Life insurance (110)","DLIFRC1",6.3,6.9,6.9,7.5,8.4,9.1,10,11.9,13.3,15.3,16.9,19.1,20.5,22.8,23.5,25,28.3,28.8,28.1,33.5,38.6,42.3,51.8,53.6,59.2,54.6,54.3,52,55.2,56,56.9,65,61.9,58.8,60.4,72.1,79,84.1,87.5,87.5,80,87.6,100.6,103.3
"99","92","        Net household insurance (111)","DFINRC1",0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.6,2.5,2.4,2.3,2.3,2.5,2.6,2.9,2.9,3.4,3.6,3.8,4.2,4.3,4.9,5.8,6.2,6.1,7.4,8.1,7.3,7.6,8,8.1
"100","93","        Net health insurance (112)","DHINRC1",4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50.1,56,59.3,62,66.9,73.5,80.8,85.7,94.4,101.1,106.5,116.7,116.5,129.4,130.6,131.3,127.4,119.4,135.8,143.3,154.5
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1",3.7,4.1,4.6,5.1,5.6,5.7,5.9,6.4,7.3,8.3,9.3,10,10.5,11.2,12.2,13.4,14.7,16.6,18.3,20.4,22.1,23.5,24.4,27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43.1,44.4,45.7,49.1,53.5,57.6,57.2,62,62,60,58.9,58.9,59
"102","95","    Other services","DOTSRC1",50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.9,187.5,207.9,221.2,242.4,262.8,281.1,297.5,300.5,325.7,344.4,371.2,391.2,416.4,452.3,496,533.6,580.7,619,643.5,683.5,721.5,755.3,801.4,841.9,871.9,875.1,905.1,934.8,970.4
"103","96","      Communication","DCOMRC1",10.7,11.6,12.7,14.3,16.1,17.7,19.9,22.4,24.3,26.9,29,31.1,35,39.9,43.6,47.2,51.9,55.6,58.7,61.7,65.7,68.3,72,79.1,83.5,90.6,95.9,104.9,116.4,125.3,137.5,152.7,159.1,162.7,166.8,172.5,177.8,190,203.3,217.3,217.9,226.8,238.1,251.7
"104","97","        Telecommunication services (71)","DTCSRC1",9.3,10.1,11,12.4,14.2,15.5,17.7,19.8,21.6,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58.1,60.7,64,71,75,81.3,85.2,92.8,103.1,110,117.6,126.4,131.2,131.3,130.4,132.8,137.7,144.8,149,154,149.6,152.1,156,160.6
"105","98","        Postal and delivery services (68)","DPSSRC1",1.4,1.5,1.7,1.9,2,2.1,2.2,2.6,2.7,3,3.3,3.6,4.1,4.7,5,5.4,5.9,6.3,6.8,7.3,7.5,7.5,7.8,7.8,8,8.5,9.2,9.5,9.6,9.8,9.9,9.9,9.7,9.5,9.8,10.2,10.4,11.6,11.9,12.9,12,11.7,10.8,10.4
"106","99","        Internet access (72)","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.2,0.3,0.4,0.8,1.6,2.7,3.6,5.5,10.1,16.4,18.2,21.9,26.6,29.5,29.7,33.5,42.3,50.4,56.3,63,71.3,80.7
"107","100","      Education services","DTEDRC1",8.1,9.2,10.1,11,12.2,13.4,14.9,16.5,17.7,19.5,21.3,23.7,26.3,28.8,31.8,34.8,37.9,40.8,44.5,49.8,55.6,60.7,65.2,70.8,75,79.9,85.5,92.6,99.8,107.4,115.4,125.2,134.4,139.8,149.7,159.1,170.7,183.4,196.6,208.9,219.9,235.5,250.9,264.9
"108","101","        Higher education (97)","DHEDRC1",4.5,5.2,5.9,6.5,7.1,7.6,8.2,8.9,9.6,10.3,11.4,12.9,14.8,17,18.8,20.5,22.3,24.1,26.1,28.5,31.5,34.7,38.4,42.3,45.4,48.6,51.9,56.4,61.3,66,70.8,76.8,82.9,87,95,102.5,110.9,119.7,128.3,136.9,146.7,158.3,170.6,182.4
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1",2.2,2.4,2.7,2.9,3.3,3.9,4.4,4.6,4.8,5.6,6,6.7,7,7.2,7.9,8.7,9.5,10,10.9,11.9,13.6,14.8,15.6,16.7,17.3,18.1,19.2,20.1,20.7,21.5,22.8,24.1,25.7,26.9,27.7,28.6,29.6,31,32.8,34.1,34.8,35.3,37,37.8
"110","103","        Commercial and vocational schools (99)","DVEDRC1",1.4,1.5,1.6,1.6,1.8,1.9,2.4,3,3.3,3.7,3.9,4.2,4.5,4.6,5.1,5.5,6.2,6.7,7.5,9.5,10.6,11.1,11.1,11.8,12.3,13.1,14.4,16.2,17.8,19.9,21.8,24.3,25.8,26,27,28.1,30.3,32.7,35.5,37.9,38.4,42,43.3,44.7
"111","104","      Professional and other services (121)","DPRSRC1",8.6,9.7,10.4,11.4,12.7,14,14.9,16.5,18.3,20.7,22.1,24.8,28.2,30.8,33.6,37.5,42.4,46.4,51.2,57.3,62.2,67.7,70.2,75.3,78.4,80.9,82.8,87.6,92.8,100.1,107.2,113,120.9,126.6,137.1,143,148.4,155.3,163.6,167.5,161.5,163.3,165.9,169.4
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1",10.3,10.6,10.3,10.8,11.3,11.7,12.3,13.1,14.6,16,17,17.9,18.7,18.8,22.7,24.1,26.7,29.4,32.7,37.7,41.3,44.5,42.5,47.5,49.7,52.9,57.1,60.2,64.3,69.1,74.2,80.4,83.2,86.5,91.1,97.7,103.3,108.1,111.5,114.3,109.9,114.9,119.6,124.8
"113","106","      Social services and religious activities (120)","DSOCRC1",3.6,3.9,4.4,5.1,5.5,5.9,6.5,7.5,8.6,10,11.9,14,16.1,17.9,19.6,21.8,25.1,28,31.4,33.9,38.6,41.2,43.5,47.5,51.1,54.4,58.1,61.1,64.6,69.3,74.4,81.1,88.4,93.4,98.6,104.1,110.2,116.8,124.6,130.1,133.2,138.9,143.7,147.3
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1",6.8,7,7.2,7.6,8.1,8.3,8.4,9.7,10.9,12.1,13.2,13.8,14.6,14.9,15.8,18.3,19.3,20.5,21,22,24.2,25.4,24.7,26.6,28.4,31.3,34.5,35.8,38.9,43.9,45.2,48.6,48.5,48.7,51.2,55.2,57.9,60.4,63.8,65.5,60.3,58.6,61.5,65.9
"115","108","      Net foreign travel","DFORRC1",2.4,2.8,2.9,3.5,3.4,3.5,3.4,2.9,3.3,3,2.7,1.7,-1.6,-0.2,2.7,3.7,4.6,0.3,3,0.3,-6.4,-10.3,-17.6,-21,-21.8,-18.8,-22.8,-25.9,-24.4,-18.9,-20.2,-20.4,-15.4,-14.2,-11.1,-10.1,-13,-12.6,-21.5,-31.6,-27.5,-32.9,-44.8,-53.6
"116","109","        Foreign travel by U.S. residents (129)","DFTRRC1",4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,45.9,48.8,53.4,54.9,58.7,64.6,69.1,73.2,81.8,77.9,75.5,76.8,89.3,94.9,100.8,104.1,109.9,97.9,103.4,105.8,110
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1",2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.7,22.4,23.3,27.5,30.9,37.1,44.8,53,59.2,66.9,70.6,72.2,77.7,84.7,89,88,93.4,102.2,93.4,89.6,87.9,99.4,108,113.4,125.6,141.6,125.5,136.4,150.5,163.6
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",9.4,10.5,11.7,12.8,13.8,15.5,17,19,20.6,23,26.1,30,34.1,38,40.8,45.4,47.9,52.6,55.7,63.3,68,75.9,80.1,87.9,90.1,97.8,102.3,110,105.6,123.8,138.2,158,179.1,198.3,205.5,206.4,210.3,239.2,248.8,282.1,276,275.4,277.9,290.5
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1",34,38.1,42.8,47.4,51.8,58.8,67.2,76.3,85.2,96.7,109.4,126.1,145.7,163.8,179.2,194.4,209.3,227.3,246.9,275.5,301.2,334.4,362.9,396.4,418.7,440.1,458.5,483.1,502.6,542.5,576.3,621.6,676.4,737.1,774.6,819,868.5,932.2,983.1,1040.9,1072.6,1105.9,1141.6,1194.1
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1",24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,418.7,438.1,463.6,497.4,538.7,569.1,612.6,658.2,693,734.4,758.8,796.5,830.5,863.7,903.6
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
