"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"47","39","        Research and development \5\","Y006RA3",20.876,21.243,21.545,21.726,21.663,21.484,21.44,21.131,21.288,21.391,21.403,21.52,21.994,22.229,22.427,22.96,23.533,23.872,24.042,24.165,23.993,24.031,24.12,23.859,23.37,23.255,23.648,24.172,24.834,24.973,25.216,25.39,25.724,26.309,26.678,27.072,27.484,28.379,28.829,29.368,29.856,30.239,30.843,31.566,32.146,32.297,32.668,33.583,34.15,34.409,35.153,35.395,36.009,36.479,36.939,36.944,37.307,38.196,38.931,40.152,40.926,42.177,43.086,44.213,45.065,45.859,46.556,47.524,47.949,47.95,48.205,48.541,48.671,48.786,49.156,49.72,49.713,50.57,51.512,52.607,53.464,54,54.665,55.526,56.397,57.231,57.702,57.86,58.788,60.24,59.609,60.88,60.565,60.288,59.621,59.706,59.986,60.178,59.738,58.827,58.9,59.228,60.048,60.505,61.038,62.202,63.002,64.675,66.083,67.404,68.973,70.518,71.893,71.809,72.231,72.268,74.202,75.229,76.671,76.621,77.93,79.449,81.688,82.107,84.104,83.906,84.795,84.354,85.701,85.895,85.257,84.75,83.037,83.325,82.689,83.615,83.176,82.984,82.242,81.862,81.839,82.728,84.168,84.917,87.613,88.229,89.47,88.009,89.602,91.938,95.877,98.095,98.121,98.782,98.619,102.483,103.312,104.195,102.258,101.588,98.766,100.045,99.738,101.451,101.598,101.077,102.88,103.85,104.374,105.339,106.079,106.587,107.117,106.569,107.286,108.106,108.019,108.619
"48","40","        Entertainment, literary, and artistic originals","Y020RA3",27.41,27.233,25.856,25.325,24.122,23.341,22.81,22.481,22.212,22.387,22.984,23.927,24.263,24.877,24.748,24.611,23.585,23.511,23.48,23.69,24.045,24.142,23.948,23.407,22.662,22.265,23.072,24.466,27.016,28.767,30.344,31.357,32.473,32.771,33.07,32.756,31.444,31.368,32.246,33.834,36.598,37.53,37.704,36.044,35.589,33.883,32.397,32.136,38.064,40.628,40.453,42.688,41.204,40.562,40.455,40.887,41.199,42.165,43.487,45.143,47.439,48.134,48.097,48.072,46.797,47.078,47.632,49.311,50.883,52.782,53.439,53.616,52.888,52.019,51.245,51.091,52.536,51.483,50.751,54.574,53.887,54.427,54.804,55.711,56.179,56.214,56.718,57.485,56.771,56.695,57.383,58.134,59.125,59.883,60.109,60.938,62.176,62.974,63.67,64.187,64.867,65.909,67.144,68.497,70.163,71.891,73.08,73.33,75.785,76.992,78.493,78.116,77.784,79.237,79.72,81.723,80.9,82.979,84.298,85.251,85.088,84.515,86.355,87.586,89.749,91.684,91.608,90.859,88.993,87.684,87.803,88.377,90.796,91.567,93.436,94.634,97.135,100.113,100.516,100.49,99.386,99.325,101.159,104.35,107.047,108.828,110.206,111.917,111.517,110.884,110.148,110.096,108.717,108.199,108.281,106.63,105.317,103.993,101.83,100.739,99.148,99.961,99.415,101.476,105.762,111.029,113.648,115.77,114.167,113.791,114.548,115.485,114.875,114.764,114.548,115.079,116.203,117.02
"49","41","    Residential","B011RA3",73.919,73.227,72.646,67.652,67.691,63.548,67.214,73.987,77.827,85.295,89.216,92.651,98.697,100.568,101.012,104.582,108.074,102.473,98.079,93.633,87.544,84.01,81.196,70.625,66.639,68.517,73.033,76.161,83.382,85.439,84.104,94.285,97.091,107.745,107.425,106.153,107.143,112.269,113.565,113.35,110.598,108.647,107.322,103.031,95.103,77.468,79.848,87.295,85.16,82.448,76.048,68.108,64.178,62.105,62.044,66.959,78.47,87.608,96.162,100.223,103.224,105.028,103.8,103.903,104.149,105.031,106.987,109.32,113.76,120.294,121.939,122.27,122.06,122.48,121.467,121.667,119.5,120.979,121.051,121.834,120.655,116.873,116.333,113.861,114.869,110.34,104.407,98.382,93.199,96.067,99.315,101.279,107.073,110.736,110.783,115.013,115.092,116.627,120.992,127.196,129.095,133.271,131.308,129.288,126.35,122.456,126.99,129.458,132.825,138.616,138.326,136.754,137.453,139.376,140.726,142.212,145.159,150.19,154.582,158.211,158.82,161.293,162.505,163.691,164.505,163.661,161.116,161.282,161.975,164.484,165.508,164.446,169.837,174.054,174.568,177.711,180.959,183.814,194.356,200.131,202.472,208.922,210.396,213.302,218.336,222.386,224.83,224.316,222.224,211.05,199.276,189.972,181.305,174.048,162.957,149.424,137.673,131.637,125.151,113.085,102.224,96.102,100.801,100.873,97.635,102.871,93.845,95.635,96.044,96.684,98.125,101.001,106.359,107.854,111.476,116.635,120.123,124.18
"50","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports","B020RA3",9.135,11.182,10.914,11.292,11.39,11.891,11.852,11.961,12.007,11.983,12.475,11.429,12.64,12.272,13.013,13.564,14.559,15.261,15.312,16.064,16.269,17.06,16.14,16.562,16.679,16.193,15.921,16.821,16.704,16.872,17.363,17.539,17.257,17.722,17.86,17.287,17.694,19.538,19.752,20.536,20.553,20.608,21.35,22.693,23.327,23.766,23.716,23.572,24.017,24.147,23.634,23.743,22.714,22.851,21.838,20.838,21.175,21.239,21.559,21.993,22.453,23.011,23.519,23.997,24.059,24.007,23.658,24.366,25.132,25.405,25.986,26.956,26.976,28.084,29.301,30.393,32.083,32.983,33.632,34.658,35.692,37.254,37.634,38.203,39.862,40.358,40.665,41.024,41.278,42.782,43.795,44.781,45.591,45.612,46.579,46.813,46.918,47.48,47.353,48.88,49.359,51.025,52.933,54.154,55.195,55.97,58.392,59.226,59.94,60.916,61.409,65.238,66.48,69.139,70.739,70.638,70.961,70.18,69.863,72.467,72.148,72.919,74.713,76.746,77.967,80.086,81.974,81.323,80.272,77.649,73.65,71.616,72.753,74.779,75.344,74.663,73.922,73.659,75.649,79.135,81.052,82.174,82.743,84.699,85.678,87.51,87.562,89.899,93.343,95.05,94.846,98.732,100.171,101.931,105.521,108.415,109.78,112.92,111.934,105.281,96.906,97.078,100.306,105.709,107.36,109.815,112.699,116.031,117.105,118.504,120.525,121.336,122.576,123.738,123.851,124.196,123.781,126.181
"55","47","    Goods","B253RA3",8.485,10.747,10.476,10.833,11.036,11.308,11.338,11.48,11.268,11.248,12.047,10.424,12.112,11.827,12.523,13.359,14.569,15.283,15.269,16.145,16.437,17.109,16.167,16.419,16.354,15.594,15.899,16.749,16.555,16.773,17.091,17.244,16.902,17.338,17.513,16.792,17.021,19.386,19.506,20.294,20.311,20.458,21.408,23.034,23.759,24.185,23.762,23.66,23.871,23.836,23.122,23.504,22.12,22.374,21.253,20.06,20.358,20.493,20.841,21.648,21.546,22.058,22.795,23.529,23.33,23.266,22.981,23.668,23.727,24.181,24.563,25.563,25.291,26.363,27.947,29.3,31.087,31.947,32.442,33.946,34.528,36.501,36.627,37.187,38.872,39.21,39.403,39.546,40.616,41.542,42.522,43.189,44.209,44.346,45.652,46.224,45.766,46.348,46.016,48.181,48.192,49.914,52.463,53.865,55.12,56.044,58.195,58.999,60.238,60.879,62.009,65.372,67.634,70.783,72.852,72.955,73.148,71.422,71.559,74.435,74.548,75.581,77.539,80.039,81.617,84.092,87.187,85.995,84.718,81.333,76.845,75.132,74.976,77.6,78.098,76.303,76.532,76.54,78.142,81.518,83.074,84.308,85.091,86.69,88.376,91.136,91.009,93.593,97.717,99.12,99.264,102.332,103.729,105.355,108.459,110.896,113.695,117.197,116.493,107.376,96.517,95.84,100.526,107.117,109.947,113.019,115.373,118.944,120.219,121.316,123.019,125.328,125.88,127.48,128,127.038,126.126,128.995
"56","48","    Services","B646RA3",11.006,12.289,12.034,12.466,12.198,13.467,13.195,13.191,14.099,14.062,13.539,14.365,14.055,13.429,14.281,13.948,14.233,14.868,15.125,15.424,15.315,16.525,15.696,16.769,17.606,18.234,15.67,16.747,16.944,16.925,18.071,18.335,18.286,18.853,18.842,18.829,19.882,19.769,20.327,21.088,21.107,20.8,20.715,20.938,21.223,21.71,23.076,22.766,24.094,24.848,25.095,24.191,24.479,24.196,23.581,23.25,23.713,23.535,23.749,22.92,25.272,25.973,25.702,25.347,26.256,26.252,25.714,26.49,29.354,29.103,30.271,31.164,32.039,33.257,33.401,33.719,35.108,36.117,37.242,36.779,39.214,39.512,40.67,41.27,42.86,43.819,44.461,45.433,43.406,46.527,47.632,49.483,49.716,49.416,49.494,48.845,50.428,50.949,51.351,51.253,52.939,54.477,54.754,55.522,56.02,56.417,59.568,60.488,59.877,61.704,60.613,65.609,64.389,65.892,66.384,65.801,66.444,67.872,66.502,68.497,67.181,67.353,68.782,69.768,70.189,71.52,70.709,71.266,70.719,69.785,66.859,64.106,68.105,68.822,69.535,71.313,68.429,67.569,70.421,74.157,76.875,77.757,77.856,80.592,80.038,79.888,80.317,82.132,84.14,86.49,85.547,91.183,92.709,94.753,99.372,103.234,101.545,103.925,102.347,100.948,97.693,99.624,99.865,102.818,102.017,103.18,107.161,109.987,110.638,112.699,115.421,112.999,115.719,115.949,115.199,118.321,118.961,120.372
"57","49","  Imports","B021RA3",10.848,12.989,12.82,12.679,12.638,12.888,12.858,13.057,12.904,13.877,14.184,13.222,15.155,14.616,14.921,15.593,16.313,15.843,15.405,15.52,14.994,15.788,15.512,15.358,13.817,12.712,13.768,14.503,15.412,16.079,16.735,17.289,18.108,18.275,18.02,18.276,19.502,19.563,19.819,20.091,20.036,20.144,19.837,20.27,20.285,18.813,17.46,18.397,19.183,19.212,18.993,19.537,18.981,18.671,19.537,18.77,19.2,20.676,22.286,23.379,25.259,26.317,26.998,27.789,27.176,28.511,28.236,29.343,29.316,30.564,31.411,31.653,31.464,32.249,32.876,33.631,33.474,33.089,33.871,34.903,35.064,35.231,35.183,35.819,36.955,36.894,36.745,35.759,35.352,35.98,36.993,37.81,38.085,38.711,39.322,40.263,41.135,41.985,42.538,44.247,45.278,46.965,48.286,49.644,50.733,51.215,51.391,52.048,53.74,54.943,56.725,57.844,60.315,62.339,64.636,66.03,68.504,70.075,71.022,73.326,75.171,77.529,80.27,82.091,85.471,87.848,90.867,91.09,89.497,86.939,84.802,83.835,85.93,88.781,90.209,91.956,90.762,91.968,92.976,96.519,99.175,102.937,104.243,106.834,107.813,108.888,109.171,112.492,114.913,116.188,117.184,117.02,119.019,119.48,119.555,117.827,118.92,117.83,115.649,110.904,100.296,96.033,99.649,104.021,106.98,112.023,115.88,116.152,116.966,117.166,118.563,120.263,120.475,121.207,121.358,120.398,120.584,122.615
"58","50","    Goods","B255RA3",9.236,11.696,11.457,11.167,11.187,11.276,11.242,11.557,11.5,12.609,13.054,11.895,13.98,13.321,13.889,14.54,15.295,14.907,14.677,14.785,14.085,14.899,14.642,14.38,12.704,11.618,12.826,13.547,14.517,15.243,15.916,16.484,17.38,17.509,17.299,17.546,18.767,18.845,19.066,19.311,19.274,19.395,19.068,19.554,19.58,18.011,16.514,17.448,18.189,18.199,18.027,18.613,17.916,17.415,18.418,17.443,17.966,19.461,21.128,22.309,23.946,24.925,25.448,26.108,25.291,26.78,26.685,27.953,27.737,29.493,30.11,30.308,29.825,30.422,31.152,31.702,31.604,31.289,32.066,33.129,33.229,33.367,33.16,33.847,34.853,34.724,34.474,33.443,33.237,33.788,35.125,35.967,36.481,37.382,38.143,39.13,40.189,41.101,41.623,43.348,44.416,46.381,47.987,49.679,50.637,51.335,51.445,52.024,53.875,55.23,57.102,58.491,61.01,63.331,65.634,67.105,69.578,71.211,72.037,74.712,76.969,79.637,82.737,84.74,88.096,90.613,93.729,94.064,92.358,88.788,87.103,86.386,88.016,91.747,93.393,94.723,93.638,96.097,96.331,99.812,102.596,106.787,108.34,111.017,112.419,113.559,113.818,117.494,119.517,121.025,122.346,121.503,123.589,123.926,123.796,121.966,122.652,121.563,118.479,112.344,100.26,95.239,99.602,104.899,108.543,114.556,118.528,119.019,120.314,120.111,121.153,123.124,123.394,124.154,124.282,123.17,123.098,125.341
"59","51","    Services","B656RA3",19.087,19.745,19.913,20.503,20.152,21.205,21.202,20.82,20.184,20.521,20.173,20.128,21.385,21.433,20.416,21.207,21.776,20.884,19.395,19.538,19.982,20.601,20.188,20.729,20.177,19.001,19.006,19.784,20.274,20.538,21.051,21.485,21.764,22.168,21.639,21.931,23.13,23.086,23.546,23.979,23.816,23.835,23.673,23.706,23.626,22.946,22.735,23.603,24.647,24.818,24.289,24.51,24.985,26.024,25.886,26.603,26.359,27.604,28.729,29.164,32.576,34.101,35.806,37.419,38.211,38.397,36.948,36.988,38.156,36.423,38.581,39.082,40.625,42.533,42.514,44.512,44.002,43.196,43.98,44.789,45.318,45.651,46.611,46.915,48.829,49.181,49.625,48.919,47.318,48.371,47.54,48.22,47.163,46.275,46.076,46.779,46.647,47.178,47.901,49.543,50.384,50.605,50.425,50.047,51.853,51.19,51.714,52.777,53.656,54.086,55.425,55.22,57.478,58.094,60.381,61.417,63.924,65.209,66.713,67.335,67.326,68.3,69.443,70.447,73.952,75.696,78.281,77.969,76.877,78.962,74.755,72.673,76.777,75.794,76.283,79.844,78.207,74.089,78.304,82.089,84.209,86.16,86.424,88.644,87.814,88.603,88.985,90.747,94.915,95.171,94.752,97.545,99.183,100.176,101.117,99.809,102.685,101.538,103.528,104.978,100.461,99.261,99.864,100.414,100.519,101.469,104.845,104.172,102.853,104.807,107.793,108.282,108.248,108.873,109.139,108.855,110.197,111.296
"60","52","Government consumption expenditures and gross investment","B822RA3",48.387,48.235,48.346,47.714,47.488,46.944,47.149,47.174,46.489,46.383,46.369,46.053,46.271,46.549,45.622,45.971,46.344,46.115,45.528,45.831,46.692,46.992,47.053,47.259,47.784,47.465,48.219,48.667,48.769,48.278,48.038,48.054,48.471,48.947,49.056,48.95,49.007,50.308,50.708,51.167,50.724,51.244,51.313,51.648,52.449,52.634,51.857,51.855,52.532,52.698,52.496,53.087,53.032,53.378,53.714,54.572,55.095,55.65,56.563,55.616,56.267,57.528,58.003,59.111,59.822,61.214,62.653,62.859,63.383,64.674,66.149,65.763,66.179,66.78,66.935,67.748,67.29,67.53,67.578,68.848,68.536,69.658,70.241,70.619,71.73,71.904,71.862,72.521,72.876,73.134,72.864,72.587,73.15,73.056,73.433,73.274,72.443,72.524,72.678,72.835,71.935,72.356,73.572,72.908,73.058,73.44,73.24,72.581,72.733,73.898,73.976,74.517,74.499,75.273,75.395,75.507,75.069,76.594,77.29,77.997,78.28,78.717,79.643,80.824,80.16,81.137,80.969,81.22,82.428,84.051,83.992,85.215,86.474,87.303,87.979,88.607,88.32,89.71,89.71,90.199,90.445,90.963,91.31,90.908,91.098,91.255,91.968,91.635,92.373,92.717,92.921,93.525,93.32,94.106,94.787,95.167,95.562,96.306,97.639,98.278,98.428,100.224,100.774,100.574,99.844,100.554,100.468,99.431,97.506,97.194,96.573,96.198,95.863,95.933,96.752,95.135,94.117,94.024
"61","53","  Federal","B823RA3",56.832,56.115,56.229,54.96,54.031,52.615,51.977,51.776,50.108,49.523,49.323,48.027,48.351,49.021,46.674,46.733,47.292,46.729,44.959,44.969,46.123,46.099,46.3,46.714,46.242,45.969,46.891,47.113,46.703,46.65,46.51,46.714,47.079,47.762,48.054,47.735,47.849,48.938,49.116,49.533,49.593,50.164,50.109,50.145,51.584,52.791,52.04,52.325,53.322,54.838,54.566,55.386,55.433,55.975,56.706,58.119,59.036,60.367,61.832,59.735,60.381,62.303,62.266,64.034,64.766,66.62,68.708,68.631,68.493,70.65,73.257,72.142,72.686,73.867,73.954,74.749,72.853,72.392,72.12,74.024,72.643,74.277,74.796,74.496,75.702,75.931,75.212,75.693,76.372,76.586,75.41,74.114,74.229,74.155,75.004,74.709,72.464,71.874,71.729,71.632,69.132,68.992,70.664,68.725,68.278,68.372,67.812,65.755,66.302,67.529,66.766,66.434,65.306,66.686,66.536,66.361,64.481,66.064,65.66,66.42,65.796,66.127,67.292,68.621,66.077,68.394,67.251,66.894,68.35,69.695,70.286,70.836,72.593,74.3,75.472,76.84,76.861,80.71,80.242,81.797,82.365,83.19,84.643,83.916,84.39,84.573,86.115,84.848,86.96,86.862,86.886,87.787,86.601,87.969,89.644,90.13,91.582,93.265,96.006,97.672,96.915,100.097,101.468,101.52,102.472,104.577,105.531,104.819,101.961,102.407,101.534,100.738,100.115,100.065,102.212,98.455,96.315,95.933
"62","54","    National defense","B824RA3",70.619,69.276,69.29,67.983,66.291,63.489,62.608,62.161,59.587,57.562,56.482,55.044,54.399,55.15,51.582,51.764,52.422,51.647,48.819,49.132,49.966,50.725,49.631,49.779,49.3,48.672,50.089,50.088,49.479,49.415,49.185,49.138,49.575,50.208,50.248,49.093,49.28,50.34,50.451,50.667,50.85,51.788,51.6,51.905,53.223,53.392,53.341,54.156,55.237,56.84,57.062,58.331,58.883,60.554,61.528,62.901,63.44,65.26,65.749,67.12,67.495,68.486,68.414,70.894,71.511,73.962,76.825,77.194,76.795,79.835,83.033,80.596,81.985,84.179,85.361,84.973,83.962,83.751,83.161,84.785,82.215,84.053,84.745,83.826,84.489,84.374,82.815,84.022,84.747,84.754,82.833,80.064,79.238,79.149,80.231,78.988,75.995,75.33,75.145,75.095,71.213,71.595,73.905,70.208,69.55,69.899,68.893,67.149,67.338,68.81,67.837,67.23,64.77,66.549,66.076,66.452,62.653,64.888,65.635,65.147,63.884,64.552,66.293,67.588,63.549,66.321,65.028,65.037,65.916,67.028,67.763,68.231,69.755,71.401,72.612,74.102,74.045,79.327,78.305,80.616,81.298,82.205,84.79,82.888,83.613,84.314,86.146,83.636,85.324,86.006,85.534,87.593,85.834,87.659,89.675,89.813,91.303,93.066,96.983,98.247,96.096,100.021,102.107,101.775,101.308,102.882,104.772,103.85,99.94,101.592,102.197,99.48,97.769,97.526,100.446,94.506,91.731,91.592
"63","55","      Consumption expenditures","B997RA3",82.217,83.022,82.199,82.391,78.664,75.615,74.925,73.995,73.141,70.78,68.487,68,67.713,67.448,64.129,63.431,62.802,62.284,59.499,60.061,59.98,60.685,58.577,58.782,58.513,58.524,58.086,57.968,57.156,57.824,56.637,56.577,56.839,57.628,58.094,57.006,57.533,58.153,58.171,57.423,58.135,59.276,57.524,58.412,59.359,60.105,60.212,60.462,61.942,63.104,62.919,64.127,65.052,65.834,67.307,67.898,68.364,69.865,69.626,70.283,70.61,71.334,71.169,72.02,72.87,73.976,76.499,76.892,76.905,79.798,81.129,78.429,80.252,81.769,82.489,83.13,83.513,83.414,82.907,85.36,82.171,85.135,84.958,85.028,85.591,85.061,83.033,84.94,87.624,87.339,85.608,83.23,82.025,81.721,83.261,82.561,79.984,79.317,79.813,79.393,75.975,75.924,78.044,74.578,73.644,74.076,73.518,71.204,70.655,72.635,71.886,72.14,69.661,72.045,70.441,70.949,66.858,69.422,69.52,69.601,68.519,68.6,70.369,72.552,67.206,70.94,68.941,68.967,70.152,70.826,71.334,71.63,73.358,74.288,74.938,76.76,76.315,82.384,80.66,83.253,83.799,84.386,86.609,84.322,85.346,85.543,87.439,84.555,86.325,86.145,86.022,87.817,85.774,86.988,89.477,89.616,91.162,91.657,95.979,97.34,95.787,99.808,102.169,102.235,101.966,103.324,105.511,104.018,101.211,102.998,104.151,100.674,99.992,99.211,102.995,95.892,93.502,92.746
"64","56","      Gross investment","B788RA3",42.947,37.468,39.134,34.898,37.399,35.257,34.036,34.576,28.643,27.415,28.902,25.561,24.218,26.939,23.166,25.067,28.225,26.995,24.265,24.05,26.679,27.494,28.52,28.544,27.659,25.749,30.928,31.166,30.999,29.421,31.163,31.145,31.922,32.201,31.369,30.135,29.612,31.515,31.81,34.013,33.08,33.552,36.628,35.692,37.76,36.684,36.299,38.32,38.469,40.983,42.089,43.449,43.153,46.736,46.573,49.63,50.308,52.768,54.849,57.747,58.221,59.783,59.926,66,66.068,71.521,75.064,75.352,73.979,77.263,84.805,83.095,83.397,87.19,89.488,86.55,82.09,81.61,80.834,80.316,79.399,78.323,81.181,77.79,78.674,79.622,79.324,78.694,74.324,75.1,72.759,69.064,69.258,69.737,69.564,66.931,62.951,62.315,60.357,61.279,56.32,57.821,60.543,56.372,56.451,56.573,54.443,54.25,56.351,56.459,54.935,52.064,49.725,49.829,52.381,52.396,49.5,50.781,53.267,51.258,49.532,51.782,53.395,52.226,51.896,51.921,52.631,52.589,52.576,54.919,56.287,57.242,58.138,61.918,64.811,65.285,66.462,69.228,70.441,71.844,72.947,74.88,78.632,77.988,77.733,80.124,81.735,80.482,81.885,85.531,83.858,86.824,86.057,90.013,90.379,90.504,91.79,98.052,100.516,101.433,97.182,100.77,101.89,100.158,98.987,101.326,102.156,103.26,95.422,96.591,95.234,95.241,89.833,91.523,91.346,89.58,85.413,87.509
"65","57","    Nondefense","B825RA3",33.341,33.684,33.97,32.769,33.133,34.049,33.82,34.034,33.893,35.717,36.991,35.941,37.939,38.471,38.267,38.112,38.499,38.302,38.41,37.879,39.614,38.186,40.705,41.598,41.129,41.475,41.531,42.147,42.086,42.054,42.073,42.722,42.96,43.737,44.48,45.659,45.644,46.796,47.098,47.883,47.721,47.631,47.817,47.358,49.03,52.172,50.114,49.417,50.269,51.636,50.439,50.425,49.517,47.934,48.214,49.721,51.367,51.784,55.119,46.391,47.556,51.284,51.307,51.733,52.688,53.434,54.085,53.167,53.518,54.048,55.577,56.902,55.884,55.185,53.237,56.235,52.688,51.765,52.078,54.512,55.32,56.583,56.782,57.619,59.834,60.701,61.536,60.678,61.28,61.873,62.055,63.457,65.305,65.258,65.678,67.124,66.233,65.777,65.706,65.526,65.51,64.432,64.957,66.178,66.104,65.738,65.978,63.361,64.547,65.338,64.948,65.11,66.359,67.027,67.451,66.294,67.829,68.255,65.802,68.787,69.301,69.027,69.168,70.56,70.673,72.185,71.31,70.302,72.787,74.548,74.881,75.578,77.753,79.57,80.679,81.831,81.998,83.25,83.79,83.965,84.329,85.004,84.405,85.814,85.83,85.062,86.077,87.089,89.984,88.448,89.387,88.151,88.02,88.545,89.589,90.723,92.107,93.643,94.188,96.601,98.424,100.235,100.293,101.048,104.599,107.673,106.922,106.594,105.658,103.899,100.323,103.039,104.409,104.714,105.44,105.708,104.74,103.91
