"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"39","31","        Information processing equipment","Y034RA3",0.172,0.161,0.168,0.165,0.175,0.167,0.164,0.179,0.17,0.154,0.146,0.143,0.148,0.17,0.173,0.186,0.173,0.183,0.194,0.197,0.207,0.23,0.2,0.221,0.235,0.238,0.249,0.224,0.22,0.208,0.212,0.213,0.206,0.228,0.264,0.28,0.263,0.297,0.283,0.29,0.295,0.323,0.35,0.315,0.295,0.276,0.282,0.293,0.298,0.303,0.31,0.341,0.357,0.379,0.37,0.395,0.374,0.412,0.419,0.43,0.461,0.45,0.439,0.453,0.483,0.514,0.537,0.543,0.572,0.582,0.583,0.629,0.636,0.679,0.713,0.762,0.824,0.887,0.936,0.977,0.949,0.957,0.94,1.001,1.019,1.002,1.029,1.018,1.098,1.192
"40","32","          Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006
"41","33","          Other","A937RA3",1.964,1.847,1.928,1.893,2.005,1.915,1.873,2.048,1.941,1.763,1.668,1.635,1.699,1.946,1.982,2.129,1.978,2.092,2.222,2.251,2.372,2.635,2.294,2.534,2.692,2.724,2.845,2.565,2.513,2.375,2.422,2.438,2.358,2.614,3.024,3.207,3.014,3.402,3.239,3.315,3.38,3.694,4,3.609,3.377,3.156,3.233,3.351,3.413,3.472,3.537,3.852,3.949,4.185,4.023,4.251,4.013,4.431,4.424,4.55,4.851,4.729,4.507,4.492,4.631,4.796,4.923,4.92,5.115,5.195,5.179,5.567,5.571,5.841,6.113,6.29,6.697,6.99,7.137,7.226,6.988,7.022,6.898,7.276,7.397,7.142,7.234,7.148,7.683,8.186
"42","34","        Industrial equipment","A680RA3",36.783,34.208,34.458,31.15,33.82,31.712,29.469,31.358,28.604,24.399,22.739,21.626,23.388,27.857,28.457,32.772,28.343,30.853,34.034,33.053,33.435,35.885,30.531,31.394,34.262,35.825,37.065,37.39,36.63,36.555,39.004,36.817,33.816,35.747,37.725,40.58,39.061,39.785,42.814,41.609,41.708,41.547,41.852,40.208,36.593,34.398,32.805,33.977,34.957,34.182,34.296,36.421,37.183,39.93,37.495,36.19,33.874,35.207,35.482,38.181,38.305,38.706,37.15,35.916,37.925,39.782,41.617,42.798,43.6,43.718,46.023,49.89,50.552,52.745,55.815,56.908,58.818,62.452,63.275,63.884,64.485,63.191,60.206,61.54,62.505,60.825,59.952,61.192,63.399,64.698
"43","35","        Transportation equipment","A681RA3",43.868,44.874,42.51,48.488,50.461,46.613,46.084,43.909,45.056,46.755,46.76,47.427,45.201,47.573,59.267,53.852,53.648,50.461,48.663,44.995,44.85,41.097,34.27,43.059,46.836,48.45,49.603,49.399,44.729,40.642,41.664,43.098,49.116,54.492,57.919,55.023,50.256,49.086,46.07,49.157,50.795,50.687,54.089,52.366,41.23,36.105,34.566,39.747,46.007,50.955,55.22,48.788,55.1,52.599,52.573,46.752,44.924,46.838,48.894,55.042,57.02,59.523,62.25,62.488,58.529,55.618,57.641,61.784,63.469,65.89,70.637,64.252,80.698,80.186,83.389,86.764,92.764,92.546,89.286,89.458,83.098,86.633,90.332,91.958,104.607,100.253,106.057,112.364,114.882,112.44
"44","36","        Other equipment","A862RA3",22.214,22.249,20.285,23.985,27.486,25.631,26.68,28.491,24.793,23.726,21.264,21.026,22.027,24.52,25.785,23.64,24.077,23.57,23.425,25.368,25.114,25.58,22.085,24.678,25.61,23.16,24.079,22.404,20.793,21.903,23.19,23.796,23.851,26.038,26.84,28.464,27.989,26.7,27.644,26.207,26.757,25.245,25.48,25.191,24.625,25.694,26.808,27.019,27.368,27.829,28.183,28.476,26.958,26.783,24.611,24.355,25.146,25.843,25.463,25.21,25.449,26.995,27.656,28.368,29.703,30.803,32.188,33.401,33.697,34.529,34.497,36.94,37.646,37.021,39.459,41.043,42.903,43.63,43.737,44.214,40.767,41.638,40.494,41.924,40.551,40.459,41.756,44.108,45.131,44.256
"45","37","      Intellectual property products","Y001RA3",1.699,1.678,1.677,1.643,1.657,1.631,1.632,1.621,1.561,1.557,1.57,1.638,1.694,1.72,1.728,1.711,1.664,1.647,1.678,1.747,1.897,2.028,2.162,2.323,2.425,2.536,2.585,2.616,2.642,2.659,2.682,2.721,2.745,2.818,2.918,3.067,3.211,3.336,3.414,3.491,3.455,3.461,3.503,3.52,3.53,3.581,3.673,3.801,3.916,3.985,3.966,3.995,4.059,4.111,4.282,4.378,4.506,4.65,4.737,4.79,4.797,4.85,4.905,5.016,5.179,5.357,5.453,5.519,5.497,5.551,5.653,5.775,6.029,6.226,6.432,6.652,6.881,7.083,7.276,7.458,7.59,7.644,7.775,7.91,8.057,8.262,8.402,8.522,8.582,8.749
"46","38","        Software \4\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.001,0.003,0.008,0.02,0.031,0.04,0.044,0.043,0.044,0.045,0.05,0.052,0.056,0.063,0.077,0.092,0.117,0.14,0.156,0.159,0.159,0.156,0.153,0.169,0.186,0.211,0.239,0.266,0.295,0.324,0.357,0.363,0.366,0.36,0.369,0.383,0.4,0.417,0.438,0.468,0.519
"47","39","        Research and development \5\","Y006RA3",2.925,2.971,3.009,3.071,3.097,3.058,3.062,2.947,2.712,2.602,2.578,2.635,2.863,3.066,3.217,3.244,3.163,3.185,3.274,3.517,3.948,4.264,4.615,5.042,5.313,5.573,5.748,5.864,5.951,5.994,5.961,5.96,5.805,5.933,6.218,6.708,7.366,7.845,8.061,8.207,8.04,7.948,8.014,8.09,8.214,8.33,8.604,8.821,8.931,9.142,9.176,9.395,9.833,10.08,10.199,10.266,10.361,10.584,10.813,11.075,11.274,11.54,11.696,11.875,12.112,12.36,12.576,12.756,12.951,13.241,13.571,13.926,14.413,14.831,15.22,15.693,16.039,16.513,17.012,17.482,17.96,18.319,18.745,19.069,19.499,19.865,20.202,20.576,20.876,21.243
"48","40","        Entertainment, literary, and artistic originals","Y020RA3",13.445,12.905,12.697,11.874,11.97,11.734,11.742,12.099,12.251,12.688,12.999,13.822,13.674,13.151,12.565,12.166,11.789,11.398,11.477,11.415,11.758,12.37,12.853,13.397,13.759,14.3,14.251,14.2,14.223,14.286,14.814,15.428,16.509,17.066,17.327,17.43,16.673,16.445,16.681,17.209,17.421,17.925,18.276,18.198,17.793,18.067,18.269,19.284,20.585,20.74,20.259,19.578,18.262,17.588,19.354,20.348,21.888,23.059,23.351,22.894,22.112,21.659,21.6,22.07,23,23.856,23.697,23.488,22.32,21.941,22.191,22.6,23.813,24.49,25.182,25.686,26.8,27.057,27.11,27.087,26.984,26.374,26.738,27.146,27.265,28.21,28.471,28.287,27.41,27.233
"49","41","    Residential","B011RA3",29.995,28.496,32.853,39.185,38.673,40.913,39.614,36.711,34.005,33.435,36.293,40.717,45.262,49.6,52.309,49.871,47.29,40.973,38.387,38.756,39.771,40.51,40.116,42.283,42.965,43.107,41.494,41.156,41.606,44.32,47.019,49.961,53.634,54.405,53.247,51.012,49.708,49.451,48.517,47.794,47.139,46.022,45.416,45.356,43.573,43.729,46.881,51.76,57.603,59.614,58.499,56.843,58.588,53.791,52.184,52.13,52.342,52.55,55.416,57.303,58.301,60.107,60.059,59.964,62.081,66.533,67.805,69.934,74.231,70.537,69.408,68.176,68.511,69.109,69.436,68.076,69.782,64.354,62.217,55.69,54.157,60.4,63.613,67.297,67.496,69.143,70.542,71.518,73.919,73.227
"50","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports","B020RA3",5.724,5.652,5.365,4.757,4.54,4.116,4.213,4.064,4.551,4.511,4.135,3.579,3.52,3.563,3.655,3.951,4.149,4.557,4.669,4.625,4.871,4.336,3.993,4.021,3.953,3.977,4.137,4.001,3.821,4.37,4.23,4.424,4.589,4.482,4.776,4.797,5.025,5.364,5.542,5.791,6.168,5.986,5.818,5.644,5.084,5.108,5.124,5.108,5.446,5.627,5.805,5.65,6.358,6.762,6.591,6.728,6.682,6.589,6.553,6.756,6.739,7.386,6.973,6.822,6.982,7.799,7.383,7.753,8.228,8.364,8.3,8.547,7.625,9.057,8.538,9.157,8.996,9.39,9.037,9.336,9.515,9.429,9.2,9.462,9.737,9.931,10.514,10.38,9.135,11.182
"55","47","    Goods","B253RA3",6.314,6.138,5.799,5.082,4.872,4.382,4.495,4.315,4.884,4.814,4.43,3.824,3.703,3.746,3.871,4.192,4.362,4.797,4.909,4.821,5.09,4.469,4.146,4.21,4.059,4.131,4.335,4.178,3.941,4.647,4.409,4.652,4.834,4.683,4.987,5.002,5.272,5.638,5.85,6.114,6.539,6.327,6.109,5.71,5.274,5.22,5.254,5.192,4.909,5.048,5.548,5.29,6.134,6.433,6.546,6.557,6.6,6.148,6.468,6.584,6.504,6.927,6.94,6.577,6.601,7.286,7.414,7.764,8.115,8.106,8.328,8.497,7.247,8.606,8.334,9.033,8.934,8.781,8.812,9.001,8.966,8.949,8.814,8.965,9.267,9.401,10.051,9.803,8.485,10.747
"56","48","    Services","B646RA3",3.409,3.697,3.616,3.451,3.206,3.045,3.074,3.047,3.211,3.29,2.951,2.593,2.75,2.791,2.77,2.966,3.254,3.554,3.659,3.785,3.937,3.723,3.325,3.224,3.443,3.303,3.307,3.245,3.267,3.263,3.459,3.482,3.581,3.628,3.876,3.92,3.995,4.225,4.282,4.471,4.675,4.602,4.61,5.199,4.243,4.531,4.485,4.624,7.119,7.419,6.471,6.672,6.895,7.645,6.515,7.074,6.722,7.873,6.606,7.101,7.301,8.669,6.865,7.415,8.019,9.248,7.047,7.471,8.341,8.948,7.951,8.447,8.638,10.263,8.939,9.273,8.91,11.12,9.489,10.145,11.056,10.732,10.189,10.818,10.996,11.384,11.727,11.974,11.006,12.289
"57","49","  Imports","B021RA3",2.774,2.827,2.507,2.642,2.98,3.098,3.26,3.207,3.111,3.065,2.94,2.984,3.068,3.237,3.995,4.002,4.003,3.87,3.542,3.449,3.85,3.83,4.064,4.429,4.319,4.543,4.526,4.303,4.055,4.42,4.153,4.192,4.44,4.692,4.771,4.944,5.151,5.125,5.169,4.932,5.324,5.366,5.262,5.28,5.359,5.588,5.503,5.791,5.94,6.228,6.286,6.126,6.359,6.406,6.218,5.925,5.896,5.968,6.363,6.514,6.712,6.859,6.946,7.031,6.868,7.03,7.208,7.185,7.178,7.339,7.536,7.74,7.462,8.342,8.376,8.785,9.012,9.236,9.754,9.863,10.017,9.938,10.068,10.599,11.224,11.395,12.08,11.978,10.848,12.989
"58","50","    Goods","B255RA3",2.606,2.666,2.307,2.338,2.732,2.839,2.9,2.891,2.814,2.723,2.647,2.734,2.795,2.964,3.822,3.754,3.686,3.524,3.043,2.819,3.194,3.228,3.344,3.567,3.504,3.707,3.599,3.297,3.171,3.487,3.196,3.173,3.515,3.55,3.56,3.919,4.077,3.94,3.895,3.931,4.019,4.073,4.006,4.204,4.023,4.108,4.155,4.474,4.72,5.014,5.06,4.876,4.978,5.047,4.776,4.548,4.5,4.577,5.061,5.183,5.372,5.54,5.639,5.63,5.556,5.746,5.896,5.881,5.834,6.035,6.262,6.47,6.173,7.144,7.208,7.561,7.759,7.879,8.387,8.487,8.514,8.267,8.334,9.109,9.839,10.08,10.777,10.599,9.236,11.696
"59","51","    Services","B656RA3",3.456,3.486,3.349,3.972,4.027,4.192,4.814,4.56,4.377,4.54,4.201,4.052,4.246,4.405,4.62,4.99,5.329,5.345,5.933,6.625,7.105,6.786,7.649,8.759,8.41,8.729,9.207,9.451,8.55,9.145,9.048,9.44,9.12,10.571,11.033,10.12,10.581,11.189,11.742,9.97,12.053,12.015,11.714,10.705,12.228,13.238,12.45,12.555,12.162,12.371,12.479,12.464,13.407,13.333,13.614,12.983,13.054,13.092,12.991,13.291,13.541,13.574,13.597,14.161,13.546,13.57,13.893,13.825,14.022,13.984,14.031,14.21,14.019,14.472,14.359,15.051,15.425,16.169,16.752,16.911,17.696,18.43,18.874,18.232,18.366,18.202,18.858,19.121,19.087,19.745
"60","52","Government consumption expenditures and gross investment","B822RA3",15.495,15.63,15.73,15.618,15.817,16.347,16.673,17.28,17.759,18.533,18.699,18.315,18.035,18.341,18.041,19.333,21.394,24.241,26.899,28.318,29.151,30.129,30.431,30.934,31.903,32.564,32.218,32.125,31.312,30.245,29.597,29.412,29.431,29.152,29.332,28.755,28.748,29.325,29.078,29.806,30.453,30.292,30.543,31.054,30.781,31.553,31.743,32.394,32.03,32.429,32.706,32.441,31.893,32.237,33.02,33.24,33.731,33.809,34.521,35.276,35.955,36.127,36.959,37.216,36.714,36.745,38.375,37.994,38.112,38.456,38.503,38.489,38.447,38.912,40.197,40.962,41.728,42.516,43.673,44.427,46.287,46.105,46.621,46.986,47.821,48.073,48.223,48.266,48.387,48.235
"61","53","  Federal","B823RA3",19.58,19.701,19.653,19.251,19.667,20.398,20.839,21.764,22.195,22.997,22.745,21.693,20.775,21.252,20.635,23.235,27.556,33.069,38.424,41.36,43.045,44.719,45.815,46.463,48.097,49.492,48.293,47.651,45.304,43.016,41.138,40.663,39.885,39.052,39.45,38.138,37.9,38.819,38.201,39.479,40.273,39.751,39.946,40.433,39.227,40.461,40.327,41.212,40.369,41.114,41.656,41.243,39.688,39.765,40.985,41.134,41.267,41.616,42.849,43.636,45.269,45.425,46.785,47.004,45.406,45.199,47.762,46.534,46.301,46.278,46.019,45.635,45.244,45.329,47.007,48.062,49.208,50.558,52.529,53.121,56.544,55.934,56.864,56.905,57.895,57.588,57.27,56.991,56.832,56.115
"62","54","    National defense","B824RA3",25.596,24.243,25.182,25.777,25.396,24.755,24.534,25.458,26.095,26.538,26.494,24.957,24.083,24.303,25.769,29.508,36.947,45.13,53.774,58.28,60.094,63.2,64.57,65.602,67.452,67.967,67.225,66.031,61.978,59.478,56.8,54.964,54.848,53.027,53.585,51.991,51.811,53.093,52.945,54.535,55.049,55.486,55.99,55.344,54.909,55.518,55.519,55.936,54.161,53.438,54.293,53.852,53.098,52.715,54.368,53.809,55.232,55.005,56.679,57.719,59.824,59.21,60.216,60.26,58.073,57.715,60.035,58.415,57.533,56.826,56.709,55.899,54.924,54.687,56.357,57.954,59.968,61.274,64.952,66.618,70.384,70.507,72.135,71.489,73.075,73.018,71.792,71.178,70.619,69.276
"63","55","      Consumption expenditures","B997RA3",35.832,33.91,34.23,34.877,33.509,32.196,32.053,32.909,33.058,32.976,32.766,31.077,31.221,31.6,33.103,38.261,46.326,54.699,63.325,65.604,68.922,73.276,74.577,75.693,76.288,75.564,75.084,75.712,69.27,66.597,65.263,62.965,63.443,60.471,62.264,60.456,60.037,61.686,60.485,61.93,62.845,64.229,64.217,63.511,62.817,63.196,62.883,62.465,57.63,56.423,57.209,57.416,56.562,57.047,58.402,57.927,57.834,57.869,59.464,60.898,63.382,63.152,64.214,65.131,63.365,63.212,65.522,64.908,63.524,63.059,63.215,62.278,61.779,62.402,64.376,67.24,68.413,71.323,74.467,76.06,80.411,81.554,82.364,82.456,85.886,86.249,84.769,84.771,82.217,83.022
"64","56","      Gross investment","B788RA3",6,5.742,7.723,8.19,9.492,10.045,9.721,10.668,12.052,13.336,13.579,12.439,9.914,9.856,11.145,12.189,17.846,24.84,32.508,39.908,39.149,39.931,41.221,41.994,45.602,48.018,46.954,42.992,43.251,41.299,36.732,35.841,34.761,35.049,33.471,32.408,32.653,33.199,34.799,36.45,36.25,35.085,36.376,35.9,35.939,36.868,37.388,39.156,42.662,42.808,43.677,42.206,41.703,39.918,41.89,41.244,45.065,44.413,46.038,46.311,47.566,46.371,47.178,45.752,43.078,42.397,44.488,41.285,41.371,40.299,39.708,39.204,37.469,35.697,36.655,35.741,39.165,37.337,41.715,43.387,45.743,43.918,46.997,44.974,42.845,41.97,41.329,39.521,42.947,37.468
"65","57","    Nondefense","B825RA3",9.267,12.403,10.552,8.448,10.204,13.464,15.165,16.152,16.223,17.722,17.094,16.885,15.867,16.831,12.317,12.913,11.697,12.687,12.415,12.682,14.155,13.377,14,13.995,15.268,18.115,16.182,16.458,16.973,15.071,14.548,16.369,14.486,15.31,15.44,14.608,14.272,14.582,13.113,13.874,15.192,12.935,12.594,15.109,12.525,14.88,14.495,16.208,16.953,20.217,20.232,19.867,16.898,17.786,18.274,19.638,17.561,18.889,19.37,19.729,20.559,22.013,23.969,24.481,23.881,23.927,26.888,26.324,27.191,28.315,27.821,28.151,28.735,29.361,31.046,31.184,30.866,32.286,31.365,30.134,32.962,31.112,30.851,32.068,32.041,31.307,32.532,32.822,33.341,33.684
"66","58","      Consumption expenditures","B542RA3",14.285,18.928,15.695,11.682,13.642,19.301,21.779,23.487,23.265,25.542,22.753,22.194,20.903,21.398,14.086,16.432,13.831,15.255,15.329,15.428,17.515,16.679,18.004,18.169,20.655,25.806,22.431,22.837,24.15,21.012,20.286,23.737,20.801,21.928,22.831,21.214,20.157,19.998,16.862,18.232,20.294,15.896,15.015,19.344,14.075,17.803,17.326,20.094,21.314,26.627,26.811,25.812,20.368,20.732,21.182,22.846,18.933,21.286,21.85,21.729,22.638,24.197,26.683,26.158,24.211,23.157,26.842,25.142,25.649,26.792,25.578,25.203,25.765,25.859,27.91,27.105,25.486,27.275,26.06,24.633,30.033,28.175,27.431,28.882,28.755,27.428,29.519,29.888,31.009,31.669
"67","59","      Gross investment","B798RA3",2.392,3.467,3.477,3.974,5.407,5.399,6.004,6.027,6.447,6.875,9.136,9.4,8.748,10.295,9.645,8.055,8.606,8.958,8.227,8.698,9.331,8.656,8.337,8.098,7.684,7.309,7.381,7.471,6.867,6.721,6.485,5.97,5.584,5.983,4.966,5.276,5.999,7.006,7.911,7.808,8.064,8.838,9.266,9.239,10.531,10.902,10.652,10.817,10.842,11.071,10.84,11.43,12.106,13.803,14.368,15.314,15.998,15.776,16.14,17.255,17.991,19.33,20.516,22.677,24.201,25.995,27.892,29.131,30.608,31.743,32.435,33.97,34.614,36.169,37.266,39.039,41.001,41.79,41.37,40.468,38.779,36.917,37.516,38.345,38.5,38.838,38.49,38.636,38.045,37.809
"68","60","  State and local","B829RA3",11.86,12.02,12.291,12.481,12.454,12.793,13.011,13.319,13.859,14.632,15.231,15.52,15.898,16.03,16.042,16.051,15.899,16.165,16.245,16.223,16.269,16.608,16.17,16.544,16.893,16.868,17.312,17.727,18.356,18.429,18.934,19.024,19.808,20.064,20.039,20.161,20.375,20.629,20.733,20.946,21.462,21.642,21.949,22.49,23.118,23.455,23.965,24.399,24.495,24.563,24.59,24.465,24.879,25.483,25.859,26.15,26.99,26.807,27.035,27.765,27.56,27.748,28.092,28.385,28.905,29.159,29.93,30.337,30.788,31.482,31.819,32.156,32.443,33.268,34.199,34.699,35.113,35.385,35.796,36.705,37.149,37.353,37.498,38.157,38.855,39.608,40.179,40.512,40.881,41.227
"69","61","    Consumption expenditures","B991RA3",13.728,13.967,14.215,14.29,14.066,14.117,14.147,14.343,14.822,15.204,15.609,15.929,16.348,16.37,16.306,16.28,16.183,16.214,16.316,16.416,16.235,16.822,16.345,16.583,16.903,16.852,17.213,17.204,17.458,17.565,17.926,18.073,18.669,18.801,18.98,19.172,19.162,19.471,19.735,20.012,20.105,20.392,20.813,21.187,21.637,22.102,22.457,22.703,22.67,22.836,23.111,23.408,23.752,24.261,24.421,24.764,25.292,25.656,25.619,25.837,25.866,26.164,26.401,26.676,26.895,27.251,27.737,28.107,28.627,29.055,29.441,29.95,30.305,30.908,31.451,31.93,32.346,32.756,33.22,33.773,33.807,34.167,34.766,35.271,35.981,36.423,37.072,37.61,38.271,38.832
"70","62","    Gross investment","B799RA3",7.772,7.757,8.083,8.53,8.948,9.934,10.579,11.147,11.834,13.519,14.58,14.804,15.089,15.498,15.703,15.796,15.51,16.327,16.356,16.055,16.632,16.391,16.038,16.739,17.158,17.196,17.852,19.33,20.935,20.923,21.809,21.75,23.038,23.634,23.057,22.997,23.796,23.911,23.611,23.665,25.268,25.179,25.2,26.18,27.282,27.274,28.209,29.161,29.617,29.424,28.761,27.445,28.043,28.912,29.904,30.04,31.797,29.99,31.014,33.288,32.372,32.222,32.888,33.228,34.665,34.601,36.24,36.753,36.985,38.494,38.67,38.464,38.533,40.041,42.169,42.724,43.124,42.953,43.194,45.22,46.972,46.673,45.332,46.476,47.11,48.862,49.155,48.792,48.182,47.81
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
