"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"37","27","    Gross investment","A798RZ2",NA,1.92,0.02,1.02,2.84,0.03,1.14,0.04,0.74,0.8,3.67,0.46,-1.01,2.58,-1.02,-2.49,0.99,0.68,-0.75,0.56,0.68,-0.7,-0.33,-0.24,-0.4,-0.36,0.07,0.09,-0.56,-0.13,-0.22,-0.5,-0.37,0.39,-0.99,0.31,0.7,0.99,0.87,-0.08,0.24,0.72,0.41,-0.01,1.18,0.35,-0.22,0.16,0.02,0.2,-0.19,0.52,0.61,1.53,0.51,0.81,0.57,-0.18,0.31,0.91,0.59,1.03,0.92,1.61,1.12,1.33,1.48,0.89,1.06,0.82,0.49,1.07,0.45,1.08,0.78,1.16,1.25,0.5,-0.24,-0.51,-0.89,-1.01,0.33,0.44,0.09,0.16,-0.18,0.07,-0.3,-0.12
"38","28","      Structures","A830RZ2",NA,1.81,0.99,1.24,0.58,0.57,0.49,-0.19,0.44,1.22,3.37,0.02,-1.38,1.58,-1.16,-1.75,0.46,0.52,-0.16,0.22,0.31,-0.68,-0.25,-0.02,0.21,-0.11,-0.15,0.07,-0.34,0.04,-0.07,-0.59,-0.43,-0.27,-0.19,0.01,0.25,0.68,0.78,-0.08,0.01,0.11,0.23,-0.15,0.96,0.04,0.03,0.16,0.05,0.29,-0.25,-0.1,0.23,0.58,0.02,0.39,0.35,-0.57,0.32,0.33,-0.11,0.45,0.04,0.52,-0.35,0.3,0.13,0.13,0.14,0.15,-0.13,0.3,-0.07,0.24,-0.01,0.28,0.23,-0.3,-0.42,-0.18,-0.72,-0.51,0.21,-0.03,-0.12,-0.12,-0.33,-0.01,-0.21,-0.07
"39","29","      Equipment","Y066RZ2",NA,0.04,-1.13,-0.44,1.97,-0.76,0.51,0.05,0.19,-0.56,-0.05,0.03,-0.16,0.65,-0.01,-0.74,0.7,0.27,-0.49,0.41,0.42,0.06,0,-0.14,-0.38,-0.14,0.3,0.05,-0.22,-0.15,-0.16,0.02,-0.02,0.5,-0.92,0.16,0.32,0.1,-0.15,-0.1,0.05,0.26,-0.12,-0.18,-0.1,0.18,-0.27,0.12,0.07,-0.03,-0.14,0.28,-0.24,0.07,0.13,0.2,0.11,0.17,-0.39,0.1,0.12,-0.16,-0.06,-0.03,0.2,-0.09,0.17,0.08,0.22,0.03,-0.03,0.11,-0.08,0.03,-0.05,0,0.09,0.26,-0.05,-0.16,0.24,-0.28,0.04,0.13,-0.3,-0.07,-0.04,0.07,0.07,0.11
"40","30","      Intellectual property products","Y067RZ2",NA,0.08,0.15,0.22,0.29,0.22,0.14,0.18,0.11,0.14,0.35,0.41,0.54,0.35,0.15,0,-0.16,-0.11,-0.1,-0.08,-0.06,-0.08,-0.08,-0.08,-0.23,-0.1,-0.08,-0.03,0,-0.02,0.02,0.06,0.08,0.16,0.12,0.14,0.13,0.22,0.24,0.1,0.18,0.35,0.29,0.31,0.31,0.13,0.02,-0.12,-0.1,-0.05,0.21,0.34,0.61,0.87,0.36,0.21,0.11,0.21,0.39,0.49,0.58,0.75,0.94,1.11,1.27,1.12,1.18,0.67,0.7,0.64,0.65,0.65,0.6,0.81,0.85,0.88,0.93,0.53,0.24,-0.17,-0.41,-0.23,0.08,0.33,0.51,0.35,0.18,0.01,-0.16,-0.16
"41","31","        Software","Y068RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.01,0,0,0,0.01,0,0,0.16,-0.15,0.04,0,0.03,0,-0.03,0.06,0.01,0.01,0,0.02,0.05,0.01,0.03,0,0.02,0,0.01,0.03,0.03,0.03,0.04,0.05
"42","32","        Research and development","Y069RZ2",NA,0.08,0.15,0.22,0.29,0.22,0.14,0.18,0.11,0.14,0.35,0.41,0.54,0.35,0.15,0,-0.16,-0.11,-0.1,-0.08,-0.06,-0.08,-0.08,-0.08,-0.23,-0.1,-0.08,-0.03,0,-0.02,0.02,0.06,0.08,0.16,0.12,0.14,0.13,0.22,0.24,0.1,0.18,0.35,0.29,0.31,0.31,0.13,0.02,-0.12,-0.1,-0.05,0.21,0.34,0.61,0.86,0.36,0.2,0.12,0.21,0.39,0.48,0.58,0.75,0.94,1.1,1.27,1.12,1.02,0.82,0.66,0.64,0.62,0.65,0.63,0.75,0.83,0.87,0.93,0.52,0.18,-0.18,-0.44,-0.23,0.06,0.33,0.51,0.33,0.15,-0.01,-0.2,-0.21
"43","33","State and local","A829RZ2",NA,1.85,3.16,2.27,-0.3,4.28,2.65,3.77,6.22,8.71,6.27,3.03,3.97,1.4,0.11,0.23,-1.12,3.1,0.97,-0.04,0.4,2.47,-2.9,2.57,2.38,-0.13,2.82,2.65,4.03,0.52,3.47,0.63,5.45,1.76,-0.18,0.87,1.49,1.82,0.73,1.55,3.59,1.21,2.06,3.59,4.03,2.23,3.26,2.84,0.69,0.49,0.23,-0.73,2.61,3.89,2.44,1.79,5.15,-1.09,1.45,4.44,-1.14,1.08,2,1.62,2.88,1.41,4.57,2.2,2.45,3.76,1.8,1.79,1.53,4.44,5.09,2.61,2.11,1.39,2.09,4.37,2.25,0.94,0.68,2.97,3.14,3.3,2.49,1.44,1.61,1.52
"44","34","  Consumption expenditures","A991RZ2",NA,1.89,2,0.62,-1.88,0.47,0.26,1.67,3.82,3,2.95,2.33,3.1,0.17,-0.49,-0.14,-0.52,0.4,0.72,0.56,-0.86,2.94,-2.2,1.15,1.54,-0.21,1.62,-0.04,1.16,0.52,1.79,0.74,3.01,0.66,0.9,0.97,-0.06,1.58,1.31,1.42,0.47,1.37,2.02,1.79,2.1,2.24,1.65,1.18,-0.09,0.79,1.29,1.37,1.61,2.44,0.8,1.58,2.42,1.65,-0.13,1.01,0.15,1.29,1.04,1.16,0.91,1.5,2.18,1.52,2.14,1.77,1.57,2.05,1.44,2.47,2.27,1.9,1.61,1.57,1.77,2.03,0.19,1.26,2.11,1.75,2.46,1.49,2.19,1.81,2.24,1.91
"45","35","  Gross investment","A799RZ2",NA,-0.05,1.17,1.65,1.58,3.81,2.4,2.11,2.4,5.71,3.32,0.7,0.87,1.23,0.6,0.37,-0.6,2.7,0.25,-0.6,1.27,-0.48,-0.7,1.42,0.85,0.08,1.2,2.7,2.87,0,1.69,-0.11,2.44,1.1,-1.08,-0.1,1.54,0.23,-0.58,0.13,3.12,-0.17,0.04,1.8,1.93,-0.01,1.61,1.66,0.78,-0.3,-1.06,-2.1,1,1.45,1.64,0.21,2.73,-2.74,1.57,3.43,-1.3,-0.21,0.96,0.47,1.97,-0.09,2.38,0.68,0.31,2,0.23,-0.26,0.09,1.97,2.82,0.71,0.5,-0.19,0.32,2.33,2.06,-0.31,-1.43,1.22,0.68,1.81,0.29,-0.38,-0.63,-0.39
"46","36","    Structures","A842RZ2",NA,-0.15,1.06,1.56,0.59,4.04,2.59,2.15,2.62,5.19,2.97,0.47,1.07,1.28,0.74,0.58,-1.03,2.71,0.2,-0.57,1.08,-0.51,-0.74,1.39,0.76,0.04,1.17,2.67,2.6,0.02,1.62,-0.17,2.57,1.01,-1.02,0.03,1.17,0.09,-0.7,0.07,2.65,-0.34,-0.09,1.7,2.15,-0.07,1.56,1.6,0.69,-0.37,-1.12,-2.19,0.74,1.34,1.57,0.13,2.76,-2.83,1.52,3.4,-1.47,-0.26,0.91,0.4,1.63,-0.22,2.24,0.56,0.1,1.86,0.1,-0.41,0.12,1.83,2.67,0.59,0.39,-0.37,0.16,2.2,2.08,-0.41,-1.46,1.21,0.62,1.74,0.16,-0.48,-0.71,-0.49
"47","37","    Equipment","Y070RZ2",NA,0.11,0.11,0.08,0.99,-0.23,-0.2,-0.05,-0.24,0.5,0.33,0.21,-0.21,-0.06,-0.15,-0.22,0.43,-0.01,0.05,-0.03,0.18,0.03,0.03,0.03,0.08,0.03,0.02,0.01,0.25,-0.03,0.06,0.05,-0.15,0.08,-0.07,-0.14,0.37,0.13,0.11,0.05,0.46,0.16,0.12,0.09,-0.23,0.05,0.03,0.06,0.09,0.06,0.05,0.08,0.24,0.08,0.05,0.06,-0.04,0.07,0.03,0.01,0.16,0.04,0.03,0.04,0.3,0.09,0.1,0.09,0.2,0.12,0.12,0.14,-0.05,0.11,0.11,0.09,0.07,0.14,0.12,0.09,-0.05,0.07,0.01,-0.01,0.05,0.04,0.12,0.09,0.06,0.08
"48","38","    Intellectual property products","Y071RZ2",NA,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.01,0.02,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03
"49","39","      Software","Y072RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.02,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0,0,-0.01,0,0,0.01,0.01,0.01,0.01,0.02
"50","40","      Research and development","Y073RZ2",NA,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
