"","Table 2#5#3# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"71","64","      Air transportation","DAITRA3",24.884,24.973,26.302,30.465,33.398,36.287,35.407,39.515,43.37,45.771,48.697,44.258,39.298,40.53,44.62,49.847,52.324,61.559,64.419,65.601,66.736,67.396,66.612,67.105,68.416,75.914,79.566,89.36,94.256,100.521,107.31,117.037,110.807,113.551,119.82,125.521,119.364,113.883,115.763,104.638,100,94.26,90.786,92.552
"72","65","      Water transportation","DWATRA3",0.429,0.46,0.485,0.558,0.655,0.723,0.719,0.807,0.905,0.944,1.101,1.209,1.286,1.421,2.783,5.419,8.861,12.149,13.209,15.083,13.953,10.475,6.272,4.149,8.468,17.268,28.025,38.568,45.446,47.921,51.545,61.327,70.327,73.159,82.176,88.572,88.816,92.502,97.534,100.231,100,106.283,112.485,124.077
"73","66","  Communication","DCMCRA3",8.983,9.61,9.932,10.566,11.596,12.049,13.17,13.978,14.971,16.327,17.721,18.84,19.295,19.944,20.605,20.893,22.056,22.893,24.62,25.874,27.466,28.625,29.526,32.329,33.996,36.292,38.306,41.763,45.992,50.012,56.258,64.647,68.364,69.812,72.529,76.882,80.406,87.032,96.561,101.643,100,104.205,110.83,116.732
"74","67","    Telephone and facsimile equipment","DTCERA3",0.354,0.352,0.347,0.359,0.401,0.429,0.44,0.467,0.497,1.586,3.722,5.941,7.957,8.634,8.012,7.527,6.809,6.48,6.264,6.436,6.839,6.939,6.935,7.188,7.801,8.752,9.482,10.099,10.621,12.23,15.877,20.171,23.794,27.911,37.895,48.291,55.838,75.048,94.478,100.721,100,104.109,113.135,118.654
"75","68","    Postal and delivery services","DPSSRA3",82.889,86.154,83.719,87.751,89.566,83.877,84.122,78.179,81.1,83.074,87.75,93.747,91.727,94.365,99.277,107.301,108.166,114.227,122.142,119.57,118.513,118.66,108.609,106.9,109.927,115.541,114.111,117.805,119.469,120.406,117.48,116.688,109.045,101.271,99.622,101.281,102.557,108.285,107.59,110.672,100,93.424,81.505,75.737
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRA3",91.417,94.542,91.185,95.192,97.173,90.628,91.045,84.268,87.811,89.872,95.418,102.664,100.975,104.266,108.14,115.145,114.426,119.678,126.915,122.45,119.649,118.386,105.739,102.731,105.369,110.668,108.251,112.111,114.287,113.88,110.576,108.8,101.798,94.89,93.396,96.479,99.162,105.947,105.626,112.153,100,94.618,80.66,73.905
"77","70","      Other delivery services (by non-USPS facilities)","DODSRA3",12.422,15.805,19.693,23.232,23.636,24.721,23.712,24.613,22.399,23.536,21.083,17.152,12.902,10.224,22.856,37.481,49.885,61.256,73.052,84.394,96.259,106.478,116.701,125.117,130.678,137.937,143.96,145.927,143.612,154.071,154.053,159.917,148.637,135.816,133.276,126.22,119.623,119.652,117.025,103.503,100,87.625,84.832,83.279
"78","71","    Telecommunication services","DTCSRA3",11.214,12.051,12.572,13.406,14.866,15.668,17.32,18.693,20.102,22.007,23.786,25.081,25.651,26.487,27.397,27.617,29.455,30.575,32.995,35.008,37.479,39.255,41.058,45.517,47.855,50.806,53.441,58.109,64.303,69.415,76.002,84.487,89.392,89.208,89.301,92.514,96.789,101.282,102.516,104.355,100,102.444,106.96,109.893
"79","72","    Internet access","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.022,0.047,0.098,0.213,0.352,0.522,1.163,2.443,3.944,5.072,7.358,13.755,23.216,25.296,30.143,36.264,41.208,42.213,50.001,78.644,92.638,100,111.227,127.086,143.566
"80","73","  Recreation","DRRLRA3",9.422,9.845,10.066,11.065,12.114,12.409,12.899,13.874,14.69,15.748,16.672,16.627,17.367,17.726,19.411,21.432,23.017,24.87,26.81,29.071,30.609,31.759,32.077,33.768,36.698,39.906,43.345,46.698,50.207,54.821,60.841,66.036,68.303,71.755,76.704,83.334,89.451,95.896,101.91,102.808,100,105.76,111.779,118.253
"81","74","    Video and audio equipment, computers, and related services","DVPIRA3",1.153,1.233,1.286,1.436,1.605,1.7,1.846,1.999,2.123,2.256,2.438,2.546,2.746,2.922,3.723,4.375,5.167,6.239,7.039,8.017,8.56,9.036,9.513,10.356,11.827,13.519,15.718,18.383,21.432,26.104,31.88,37.172,41.074,45.441,51.18,59.668,67.983,77.874,88.771,95.453,100,112.412,122.836,134.866
"82","75","      Video and audio equipment","DVAARA3",1.805,1.93,2.006,2.257,2.544,2.688,2.919,3.185,3.356,3.635,3.99,4.144,4.359,4.369,5.351,6.401,7.83,9.197,10.414,11.594,12.305,12.61,12.703,13.45,14.846,16.979,18.682,20.056,21.007,24.533,29.265,34.135,37.579,41.706,45.429,52.739,61.667,71.775,82.234,92.393,100,115.734,132.131,152.759
"83","76","      Information processing equipment","DIPERA3",0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.006,0.015,0.037,0.044,0.045,0.097,0.125,0.176,0.192,0.24,0.37,0.488,0.785,1.143,1.736,2.926,4.922,7.738,11.405,15.099,18.744,24.654,33.821,44.755,57.016,71.946,88.535,94.766,100,119.695,133.26,150.218
"84","77","      Services related to video and audio goods and computers","DSVCRA3",10.898,11.644,12.276,13.466,14.762,15.907,17.54,18.776,20.603,20.842,21.72,22.865,26.227,28.776,33.744,38.108,43.228,46.98,50.227,55.273,59.249,61.858,60.074,62.799,64.759,65.096,69.511,71.12,72.475,76.126,82.711,87.342,88.969,86.514,87.863,92.814,92.219,93.942,98.203,100.126,100,102.01,104.009,104.941
"85","78","    Sports and recreational goods and related services","DODRRA3",12.53,12.748,13.031,15.339,16.785,16.582,17.625,19.601,20.918,22.418,23.396,21.441,21.845,21.704,22.712,26.169,27.537,29.793,32.654,34.299,36.361,37.058,37.35,38.734,42.058,45.407,48.254,51.175,54.557,60.149,67.802,75.1,78.339,83.348,89.202,96.016,103.556,109.632,113.869,110.432,100,103.975,110.878,119.776
"86","79","      Sports and recreational vehicles","DWHLRA3",28.144,31.09,33.29,42.143,47.17,40.993,44.674,48.996,53.658,54.914,55.509,42.578,42.495,40.565,41.616,51.494,53.211,57.201,59.529,59.759,58.988,55.269,52.039,50.652,56.804,62.917,67.547,71.705,78.073,85.764,93.092,100.264,100.16,103.971,117.732,131.236,138.08,140.784,144.65,128.683,100,95.98,97.572,101.883
"87","80","      Other sporting and recreational goods","DORIRA3",9.231,9.083,9.107,10.294,11.15,11.883,12.468,13.971,14.683,16.135,17.014,17.029,17.454,17.595,18.559,20.671,21.983,23.785,26.555,28.341,30.725,32.166,33.117,35.068,37.77,40.602,42.935,45.602,48.287,53.148,60.532,67.503,71.261,76.323,80.416,85.773,93.569,100.642,105.063,105.163,100,106.254,114.818,125.328
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",11.053,11.482,10.98,14.867,14.518,11.092,11.668,12.959,14.298,16.42,22.636,18.91,21.218,22.163,22.902,31.039,30.157,35.332,41.863,45.496,51.747,52.537,50.44,46.143,49.654,49.051,55.747,55.785,60.279,72.432,85.741,100.923,110.654,121.122,120.146,118.483,120.988,122.407,123.646,116.622,100,104.528,109.622,113.367
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRA3",27.883,28.515,28.972,29.925,31.255,33.464,34.844,35.881,38.43,39.999,41.332,42.661,45.306,46.752,49.158,50.731,52.802,53.418,54.077,58.3,62.607,65.283,65.106,69.88,72.544,73.577,77.86,80.686,82.811,85.226,85.343,85.859,84.846,85.386,87.654,90.975,94.788,98.679,103.255,102.963,100,102.415,106.627,108.411
"90","83","      Membership clubs and participant sports centers","DMDFRA3",22.399,21.852,20.883,21.184,23.113,25.628,28.623,31.636,34.384,33.532,34.055,34.356,34.6,35.472,38.794,41.48,47.515,51.36,54.05,56.563,59.026,59.828,59.295,61.912,61.135,60.391,64.366,67.998,78.349,78.267,78.628,77.838,76.575,78.138,81.027,87.638,93.849,98.452,105.73,105.135,100,102.843,105.668,108.632
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRA3",30.337,32.743,34.748,38.384,42.759,44.658,46.181,47.275,49.464,50.57,53.832,58.269,64.938,66.046,69.509,69.427,72.81,68.851,68.984,77.389,86.346,91.525,91.795,103.81,106.621,109.071,116.604,117.6,110.639,111.549,109.05,108.36,104.957,98.242,98.018,97.762,99.96,100.677,102.764,104.285,100,104.023,110.948,118.85
"92","85","      Admissions to specified spectator amusements","DADMRA3",32.217,32.314,32.559,31.838,30.282,32.447,32.693,32.136,34.948,38.711,39.032,38.322,39.319,41.793,42.858,45.058,42.749,44.335,43.681,46.294,48.879,51.551,51.488,52.805,58.15,59.811,62.293,66.321,68.024,73.366,74.722,76.59,77.12,80.64,84.062,87.231,89.539,95.717,101.605,100.404,100,101.372,104.939,102.733
"93","86","        Motion picture theaters","DMOVRA3",78.636,77.423,77.803,76.252,69.27,79.468,79.792,72.359,79.299,87.059,83.199,72.276,73.231,79.988,76.547,77.45,69.976,69.375,68.3,73.742,81.121,85.834,82.997,77.447,78.442,79.598,81.301,84.217,88.787,95.052,98.434,100.273,101.007,104.494,102.511,99.802,94.636,97.338,98.317,96.775,100,100.795,96.996,97.204
"94","87","        Live entertainment, excluding sports","DLIGRA3",10.301,9.863,9.3,9.749,10.207,10.737,11.07,12.714,14.028,16.236,17.428,19.423,21.431,21.285,22.916,24.863,26.937,31.729,31.463,32.668,30.736,34.043,33.64,36.952,43.186,44.701,46.566,47.221,48.113,52.471,53.749,55.083,56.917,58.973,65.433,72.776,80.926,88.756,97.458,98.069,100,102.802,109.243,111.653
"95","88","        Spectator sports","DSPERA3",33.129,34.774,36.081,34.229,33.345,32.556,32.622,33.449,35.668,39.005,40.844,43.004,42.538,45.97,49.208,52.628,47.365,45.696,44.761,47.522,53.507,53.856,56.149,59.121,66.028,68.225,72.114,81.799,82.758,88.883,88.979,91.638,90.124,95.745,98.318,99.284,98.107,104.171,109.24,105.769,100,99.813,104.036,94.185
"96","89","      Museums and libraries","DMUSRA3",18.279,19.591,20.789,22.593,24.925,28.668,29.402,32.042,35.291,37.967,39.638,42.907,47.341,47.223,47.677,48.199,50.715,51.862,52.665,55.696,58.199,58.643,57.21,61.52,67.029,67.487,68.621,66.654,67.237,73.367,77.633,83.853,86.191,98.672,101.976,106.043,117.01,115.208,105.285,104.097,100,99.466,101.763,96.024
"97","90","    Magazines, newspapers, books, and stationery","DNBSRA3",48.588,51.002,49.059,50.86,53.394,50.976,48.748,49.167,51.261,58.097,63.444,64.216,64.734,63.921,64.806,68.819,68.401,69.601,74.154,78.851,81.249,83.877,81.899,80.647,83.606,88.445,90.514,92.163,95.35,96.95,102.311,107.311,104.459,103.826,104.98,107.114,107.672,108.401,105.348,104.196,100,106.018,112.391,117.038
"98","91","    Gambling","DGAMRA3",7.67,7.956,8.556,9.65,11.067,11.415,11.871,12.787,13.481,14.824,15.341,15.811,18.19,19.735,21.649,23.642,25.944,27.733,29.303,32.843,34.013,36.046,36.247,40.214,46.454,54.128,60.589,65.325,69.332,70.031,76.432,80.151,80.767,84.109,90.209,97.449,100.948,106.074,108.355,104.558,100,98.892,98.954,100.098
"99","92","    Pets, pet products, and related services","DPETRA3",15.341,16.689,17.296,17.859,20.695,22.838,23.461,25.976,27.762,28.379,29.338,30.966,32.671,32.926,34.897,36.133,38.771,38.282,40.338,42.129,43.176,45.445,45.593,47.791,51.569,56.051,60.591,63.778,67.301,70.593,74.327,77.66,79.411,82.123,86.38,90.911,96.879,102.009,107.869,105.983,100,102.99,104.789,109.754
"100","93","    Photographic goods and services","DPHORA3",35.459,38.267,42.214,46.953,54.636,57.827,59.212,67.189,68.433,72.71,77.534,77.393,77.966,78.495,86.227,92.157,95.285,99.03,103.015,106.336,106,102.498,98.921,97.924,99.987,101.773,103.213,102.451,99.11,102.463,105.357,106.261,104.168,102.898,103.984,106.206,103.735,101.455,108.031,108.143,100,102.167,105.593,103.375
"101","94","    Package tours \14\","DXHLRA3",7.99,8.551,9.007,10.421,12.285,13.436,13.401,15.005,16.815,17.706,20.613,22.676,24.139,26.644,28.919,29.965,35.415,36.172,39.315,50.311,58.679,68.887,69.051,77.846,82.776,91.275,95.367,101.834,99.802,102.197,107.103,104.591,92.706,86.784,87.465,93.329,95.926,96.887,105.623,112.773,100,108.869,116.546,121.32
"102","95","  Education","DEDURA3",59.591,64.002,66.463,68.355,70.486,68.412,70.437,72.064,73.007,76.862,77.527,77.748,77.266,76.013,77.585,78.411,79.569,80.349,82.285,85.472,88.834,90.385,89.47,89.539,88.66,89.204,90.395,92.633,95.015,97.757,100.189,103.364,104.903,102.557,101.656,99.435,99.093,99.666,100.521,100.668,100,102.133,103.581,104.48
"103","96","    Educational books","DEBKRA3",77.538,94.543,90.254,83.764,84.92,87.219,93.095,88.781,95.948,108.81,117.479,122.367,124.081,120.293,125.912,135.265,138.544,144.339,156.376,159.857,159.174,158.384,153.587,151.95,157.585,162.878,164.579,160.415,160.13,163.784,171.58,169.396,163.523,160.236,154.031,147.538,140.185,130.397,117.532,110.142,100,97.776,93.014,90.104
"104","97","    Higher education","DHEDRA3",54.663,59.462,63.523,66.31,68.861,68.123,67.845,68.842,70.262,70.866,72.978,75.122,76.742,77.892,78.014,77.269,76.775,77.007,77.441,78.502,80.541,82.15,82.432,82.051,80.532,80.526,81.092,83.308,86.171,89.109,91.881,95.712,98.363,96.597,97.317,95.921,96.525,97.665,98.525,98.978,100,102.582,105.276,107.353
"105","98","    Nursery, elementary, and secondary schools","DNEHRA3",116.355,119.116,123.651,129.702,129.494,124.954,126.343,123.697,121.02,136.916,134.533,132.737,125.79,115.824,118.349,119.394,120.394,118.205,119.612,119.978,127.385,129.395,126.341,125.8,122.318,121.058,120.664,120.497,118.146,115.222,115.175,114.527,114.922,112.845,109.699,106.78,104.266,103.446,103.916,102.734,100,97.604,99.068,97.948
"106","99","    Commercial and vocational schools \15\","DVEDRA3",30.595,32.125,31.422,30.905,33.14,29.394,34.932,40.483,41.406,43.115,41.567,38.936,37.881,37.311,40.277,42.639,46.944,49.817,53.658,63.731,68.404,69.956,68.152,70.394,72.214,75.062,79.695,85.596,91.062,98.028,100.266,105.89,106.354,101.908,98.579,95.002,94.751,96.78,101.03,102.963,100,105.568,103.667,102.71
"107","100","  Food services and accommodations","DFSARA3",39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,105.614,109.403
"108","101","    Food services","DFSERA3",41.411,42.843,42.896,45.672,47.867,47.316,49.264,52.129,53.511,55.899,57.604,57.745,58.135,58.769,60.662,61.996,62.588,64.459,67.643,71.846,73.867,76.637,76.636,78.175,80.273,81.28,81.334,81.39,82.473,84.823,86.953,90.787,91.495,92.81,95.909,99.417,102.231,105.141,106.274,104.629,100,101.401,105.528,109.132
"109","102","      Purchased meals and beverages \16\","DPMBRA3",40.177,41.814,42.069,44.992,47.251,46.446,48.302,51.088,52.605,54.942,56.593,56.67,57.001,57.628,59.761,61.27,62.045,64.169,67.634,71.933,73.981,76.834,76.852,78.431,80.563,81.572,81.598,81.649,82.763,85.175,87.345,91.268,91.969,93.299,96.4,99.929,102.608,105.303,106.398,104.765,100,101.584,105.658,109.406
"110","103","      Food furnished to employees (including military)","DFOORA3",79.394,74.334,68.066,66.164,66.272,73.643,78.413,83.668,80.89,84.838,88.182,90.265,92.475,93.273,87.867,83.869,78.845,72.949,67.499,68.707,69.903,70.118,69.528,69.813,70.834,71.764,72.691,72.909,72.987,73.418,74.261,75.255,76.225,77.043,80.095,82.899,90.091,99.913,102.272,100.24,100,95.578,101.332,100.399
"111","104","    Accommodations \17\","DACCRA3",25.069,25.963,25.163,31.002,33.218,33.847,35.42,38.474,39.596,40.275,41.75,40.869,42.695,41.146,42.773,46.369,48.579,49.569,53.378,55.397,56.695,57.813,58.162,62.255,61.361,63.685,64.359,67.247,72.556,73.292,74.868,78.992,73.885,75.394,79.959,85.234,92.534,97.776,100.142,102.27,100,102.444,106.158,111.108
"112","105","  Financial services and insurance","DIFSRA3",17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,105.148,103.764
"113","106","    Financial services","DFNLRA3",8.273,8.6,9.325,9.867,10.349,10.552,12.196,13.026,14.024,14.54,14.748,14.693,14.455,16.306,21.135,21.302,24.531,26.472,28.837,28.649,30.415,31.018,33.998,38.204,42.154,45.316,49.06,53.673,57.943,65.338,75.352,85.257,82.204,82.379,82.215,86.213,90.336,93.966,97.91,98.519,100,100.221,102.502,98.815
"114","107","      Financial services furnished without payment","DIMPRA3",9.388,10.556,11.6,12.446,13.602,14.094,16.729,17.715,19.278,20.026,20.011,19.246,18.767,21.152,28.115,27.876,32.201,33.537,37.311,37.999,39.849,40.469,44.136,49.835,53.689,57.861,62.805,66.93,70.759,75.803,81.764,85.125,82.123,80.627,79.599,84.567,87.99,87.028,90.439,92.275,100,102.661,107.299,100.51
"115","108","      Financial service charges, fees, and commissions","DOFIRA3",8.055,7.09,7.449,7.637,7.204,6.969,7.273,8.022,8.309,8.551,9.17,10.228,10.302,11.649,14.221,14.942,17.068,20.133,20.885,19.645,21.409,22.007,24.327,27.127,31.074,33.266,35.863,40.856,45.466,54.937,68.694,85.13,82.033,84.049,84.849,87.747,92.641,101.497,106.035,105.258,100,97.679,97.508,97.047
"116","109","    Insurance","DINSRA3",50.483,52.22,51.773,54.788,58.398,60.076,61.865,64.227,67.192,71.682,75.257,77.69,77.8,79.72,77.379,78.268,82.024,81.599,81.607,87.478,91.208,93.707,100.374,101.43,104.561,100.472,97.556,93.383,94.534,97.27,98.45,103.45,104.153,102.004,102.903,105.625,112.037,111.572,113.117,109.879,100,105.257,109.657,112.214
"117","110","      Life insurance \18\","DLIFRA3",66.923,69.458,66.986,68.88,73.116,73.463,75.948,83.366,85.466,90.726,93.351,97.137,98.029,102.992,98.643,98.843,102.25,95.588,87.092,97.93,108.056,112.003,131.892,129.19,137.554,123.265,118.237,106.517,107.175,103.025,99.86,106.215,100.903,89.02,88.055,100.547,106.172,109.987,111.012,110.979,100,107.19,121.571,123.23
"118","111","      Net household insurance \19\","DFINRA3",45.063,48.427,49.888,54.839,61.973,78.181,83.218,79.478,86.003,101.768,109.562,107.012,101.46,96.903,94.08,96.928,96.08,95.086,102.776,109.994,110.112,104.57,99.631,90.547,84.622,85.106,80.066,81.242,73.571,83.902,84.434,84.113,83.738,80.076,83.153,90.152,91.69,88.378,105.514,112.991,100,100.753,102.906,100.897
"119","112","      Net health insurance","DHINRA3",38.938,40.995,41.375,44.05,46.469,48.72,51.322,54.424,57.248,60.366,65.805,68.698,67.587,67.187,64.865,66.565,71.846,74.85,80.341,84.086,84.927,87.233,89.327,94.189,95.923,95.718,92.091,90.011,91.581,98.728,102.806,109.719,114.241,118.778,121.544,115.69,123.412,120.316,117.644,110.602,100,109.077,111.255,117.509
"120","113","        Medical care and hospitalization \20\","DMINRA3",31.345,32.847,33.844,36.063,38.245,40.587,45.68,48.029,49.147,50.863,54.067,57.938,60.936,62.315,62.672,64.043,67.757,70.095,74.524,77.317,78.346,80.241,82.759,87.305,89.581,90.469,88.655,89.473,92.207,101.929,107.22,114.628,118.251,123.404,129.175,122.454,128.495,122.745,117.795,110.056,100,113.58,116.686,116.589
"121","114","        Income loss \21\","DIINRA3",50.447,54.946,53.73,55.797,55.531,56.882,54.354,54.227,52.975,54.084,61.756,61.771,50.709,43.455,34.058,34.948,37.89,33.958,33.895,33.08,33.492,33.505,31.381,36.77,46.661,43.993,45.135,48.231,58.044,64.529,71.123,78.482,85.094,88.515,92.387,93.706,94.479,97.637,100.494,100.652,100,96.669,95.194,95.844
"122","115","        Workers' compensation \22\","DPWCRA3",36.495,37.378,37.423,40.905,45.692,47.791,49.372,56.642,66.944,75.664,83.454,84.799,79.348,79.354,75.673,78.702,90.98,102.32,114.894,125.266,125.284,130.928,133.499,137.438,130.496,124.913,109.89,93.643,89.806,88.006,87.402,92.271,99.657,101.861,92.245,89.171,104.93,112.674,119.474,114.672,100,87.145,84.702,129.027
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRA3",50.694,50.983,51.629,56.437,60.973,62.376,61.851,57.163,61.392,66.433,68.228,68.815,70.114,72.362,72.78,72.787,74.283,76.478,79.878,82.003,81.957,83.648,81.904,82.353,82.142,83.254,84.034,84.423,86.142,88.335,89.618,90.032,91.572,90.083,89.833,94.896,100.466,99.606,108.04,106.581,100,95.583,91.691,88.577
"124","117","  Other goods and services","DOISRA3",38.839,39.764,40.51,42.099,44.994,45.188,45.459,48.556,50.565,53.026,52.871,51.563,51.926,51.188,53.051,55.69,59.113,62.29,64.802,66.505,68.438,68.959,66.908,69.621,71.271,73.092,74.951,77.574,79.829,83.011,86.216,89.201,90.327,91.649,95.548,99.295,101.927,104.857,106.404,104.903,100,101.126,102.807,104.594
"125","118","    Personal care \24\","DPCRRA3",28.349,28.847,28.458,29.55,31.48,31.061,30.65,31.673,34.055,35.714,36.269,35.887,35.4,34.335,37.903,39.612,41.962,44.395,47.288,50.306,52.083,53.949,51.677,54.159,56.163,59.006,62.418,65.532,68.646,72.367,76.446,80.552,81.759,84.372,89.201,94.815,99.099,102.704,104.869,104.971,100,104.396,108.608,111.605
"126","119","    Personal items \25\","DPEORA3",18.95,19.34,20.81,22.02,25.555,26.782,28.446,32.269,34.339,35.782,33.911,29.35,29.322,29.087,32.13,36.092,38.944,44.2,44.824,44.937,45.167,43.522,42.312,43.813,46.708,48.486,50.011,53.756,56.026,62.38,71.691,79.183,76.643,81.358,89.821,98.604,106.888,113.973,116.008,108.334,100,103.72,110.116,118.34
"127","120","    Social services and religious activities \26\","DSOCRA3",16.296,16.878,18.184,20.016,20.478,19.253,19.615,21.377,23.038,25.164,27.178,28.34,29.866,31.796,33.882,36.497,40.968,44.598,48.257,49.221,53.501,54.75,55.512,58.619,61.325,63.453,65.72,67.13,69.119,71.813,74.886,78.114,82.685,84.731,87.169,89.814,91.791,94.163,97.296,99.032,100,102.391,103.646,104.773
"128","121","    Professional and other services","DPRSRA3",58.142,60.359,61.075,62.465,65.108,65.765,65.049,68.074,70.764,75.028,73.607,72.773,73.21,71.572,69.825,72.106,77.009,79.503,81.951,88.167,90.823,92.909,91.262,93.479,93.586,93.067,91.842,93.441,94.938,97.841,100.14,100.733,102.787,102.949,106.7,106.499,106.357,106.983,108.286,106.519,100,97.953,96.669,96.527
"129","122","      Legal services","DGALRA3",59.901,63.886,65.152,65.332,68.867,70.385,68.413,70.498,72.766,78.004,75.872,75.192,78.191,76.503,73.828,76.663,82.376,85.888,89.978,97.266,99.802,101.253,97.801,100.093,99.094,97.866,95.63,98.601,100.838,103.257,105.42,105.131,107.275,108.053,110.396,108.3,107.008,107.366,107.361,105.394,100,97.945,96.461,95.274
"130","123","      Accounting and other business services \27\","DPRORA3",35.688,35.127,34.524,37.748,39.118,38.531,38.958,41.323,44.441,47.372,46.095,42.983,41.55,38.162,40.9,41.002,43.119,43.749,44.148,50.657,56.732,60.236,60.513,62.366,66.048,69.95,68.123,70.172,72.924,80.018,85.876,90.639,93.977,96.766,101.814,108.96,107.388,109.505,116.153,114.326,100,96.035,96.006,95.515
"131","124","      Labor organization dues","DUNSRA3",56.412,58.12,57.841,60.758,65.25,66.321,68.154,72.202,75.735,79.409,81.441,81.271,81.087,86.36,86.969,91.73,99.016,104.694,107.02,108.769,110.274,114.52,117.572,119.936,119.986,119.87,120.295,119.928,121.271,115.106,110.885,106.511,99.742,95.464,97.479,96.967,95.266,96.375,97.435,101.577,100,96.032,93.459,94.16
"132","125","      Professional association dues","DAXSRA3",29.94,31.814,34.387,37.576,39.078,41.363,47.761,52.404,56.247,62.263,64.467,63.833,62.241,62.056,58.995,58.367,60.254,61.989,62.994,67.312,69.766,70.454,68.948,67.673,69.577,70.154,74.235,73.078,74.87,77.494,81.436,84.802,89.163,92.822,95.326,94.66,97.783,102.57,105.465,99.92,100,100.066,99.913,102.328
"133","126","      Funeral and burial services","DFUNRA3",90.655,91.155,91.911,93.831,93.709,91.773,89.651,95.589,98.461,100.99,97.205,97.404,91.56,84.551,79.766,81.276,85.444,84.013,83.012,89.096,89.751,91.874,91.877,95.326,95.309,92.015,92.544,90.638,88.04,93.414,95.473,96.63,101.339,97.561,106.664,105.619,111.481,109.739,109.446,106.517,100,100.504,98.852,101.866
"134","127","    Tobacco","DTOBRA3",146.258,148.721,149.909,152.853,161.514,164,163.605,174.853,168.743,172.164,170.78,172.539,175.102,167.939,159.316,159.126,158.569,155.105,155.849,143.935,142.016,136.876,126.993,132.56,129.819,131.444,133.362,135.248,135.627,130.725,121.969,119.063,116.895,111.227,109.893,112.73,111.556,113.973,111.223,107.365,100,96.299,94.873,93.276
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRA3",23.459,26.533,26.219,28.819,28.238,25.887,25.369,26.641,27.546,28.538,27.836,27.276,28.413,32.618,37.607,55.468,61.123,55.325,68.953,71.44,72.837,76.599,70.162,73.693,77.974,82.932,83.015,86.641,94.18,103.14,106.244,117.917,111.101,104.156,99.589,110.177,109.456,111.017,107.305,104.678,100,100.113,98.331,100.482
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRA3",13.308,14.36,15.275,16.548,18.794,20.239,21.815,24.603,24.7,26.348,27.911,30.573,33.621,31.187,27.885,37.689,37.503,42.761,45.906,52.883,61.892,69.274,72.835,80.19,83.44,84.491,89.598,95.093,97.616,95.181,98.464,102.819,93.108,89.282,85.03,92.209,95.484,95.837,102.177,109.902,100,105.034,110.323,116.455
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRA3",5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,101.044,106.38
"140","133","  Gross output of nonprofit institutions \29\","DNPERA3",23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.555,105.55
