"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"76","65","    Energy","G170621",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,1,1.1,0.9,1.1,1.3,1.3,1.3,1.2,1.3,1.4,1.5,1.4,1,1,1.1,1.1,1,1.1,1,1.1,1.1,1.1,1.2,1.3,1.3
"77","66","    Natural resources","G170631",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.4,1.5,1.4,1.6,1.6,1.8,1.7,1.7,1.3,1.2,1.7,1.7,2,2,1.9,2.2,2.4,2.5,3.1,3.3
"78","67","Housing and community services","G170661",0.1,0.1,0.2,0.2,0.3,0.6,0.4,0.4,0.5,0.6,0.7,1.4,1.7,1.9,2,1.8,2.2,2.9,3,3,3.8,4.5,4.5,4.1,3.9,4.3,4.3,4.6,4.2,4.1,3.9,3.4,3.4,3.5,3.7,5.1,6.1,6.5,7.8,11.2,12,12.9,13.1,14.3,14.3,13.8
"79","68","Health","G170671",0.2,0.3,0.4,0.4,0.5,0.6,0.7,1.9,2.6,1.9,2.4,4.3,4.9,7,6.7,9,10.3,12,13,14,15.8,17.6,20.7,21.2,22.2,24,26.7,29.2,31.8,35.9,40.3,48.9,63.5,76.1,86.1,90,97.2,101.7,104.3,111.1,123.2,133.4,152.7,169.6,186,201
"80","69","Recreation and culture","G170681",NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.5
"81","70","Education","G170691",0.4,0.4,0.4,0.5,0.6,0.6,0.8,2.6,2.8,3,3.1,3.7,3.9,4.4,3.9,5,5.5,4.5,5.5,6.1,7.2,7.9,7.9,7.5,6.8,7.8,8.6,9,8.5,9.9,10.8,11.3,12.7,14.1,15,15.7,15.3,17.1,16.9,18.3,20.5,21.3,23.7,27.7,34.1,38.7
"82","71","Income security","G170701",2.6,2.6,3,3.2,3.5,3.8,4.2,4,4.5,5.2,6.1,7.3,9.5,11.2,10,9.1,12.8,14.7,15.6,17.5,17.9,21.7,22.8,22.9,24.7,26.5,27,28.7,29,30.8,32.4,35.8,39.1,42.4,45.8,50,51.4,50.9,52.5,53.7,57,60.2,66.1,71.7,72.6,71.8
"83","72","  Disability","G170711",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.8,0.4,0.4,0.9,1,1.2,1.3,1.4,1.4,1.6,1.6,1.7,1.8,1.8,1.9
"84","73","  Welfare and social services","G170731",2.1,2.1,2.3,2.6,2.8,3.1,3.4,2.9,3.3,4.4,5.2,6.2,8.4,10,8.6,7.8,11.2,12.7,13.6,15.5,15.5,18.6,19.3,19.4,21,22.8,23.4,24.8,25.1,26.9,28.3,31.3,35.2,37.9,39.3,42.7,45.1,44.2,46,46.6,49.6,53.2,57.7,62.5,62.4,62.1
"85","74","  Unemployment","G170741",0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.8,0.9,1.2,1.3,1.5,1.5,1.6,2,2.1,2.1,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.8,3,3.5,3.6,3.2,3.3,3.3,3.2,3.3,3.4,3.1,3.3,3.6,3.5,3.5
"86","75","  Other","G170751",0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.4,0.7,1,0.9,0.7,0.8,0.5,0.7,0.6,0.5,0.8,1,0.4,0.6,1.9,3.2,1.7,2.1,1.9,2.3,2.3,2.3,3.4,3.9,4.9,4.3
"87",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","76","      Government","A107RC1",1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.4,46.7,43.5
"89","77","Economic affairs","G170791",0.9,1,1.9,2.1,2,2.5,2.8,3.7,3.5,3.8,4.1,4.2,3.7,5.2,3.6,1.2,2.2,2.5,4,5.3,3.9,4.3,4.7,6.3,11.8,10.9,10,13.7,18.7,16.6,13,11.3,10.2,11.5,15.8,10.4,9.6,9.2,9.4,13.9,23.2,24.6,34.6,14,20.7,16.1
"90","78","  Transportation","G170841",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,1.4,1.7,2.1,2.2,2.5,3,2.7,2.8,2.5,2.5,2.3,1.9,1.9,2.1,2.1,1.9,1.9,2.1,2.1,2.1,2.1,1.6,1.6,1.2,1.2,1.3,6.4,2.2,4.4,2.8
"91","79","  Other economic affairs","W696RC1",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,11,9.4,8.3,9.3,13.7,8.3,7.5,7.6,7.7,12.7,21.9,23.3,28.3,11.8,16.2,13.4
"92","80","    Agriculture","G170811",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,22.9,20.7,11.2,16,12.5
"93","81","    Energy","G170821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0
"94","82","    Natural resources","G170831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0.6,0.9
"95","83","Housing and community services","G170871",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.8,24.4,25.1,23.5,21.6,21,19.7,20.7,24.4,26,27.3
"96","84","      Federal","B096RC1",1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.5,20.8,20.6,20.9,24.5,29.9,29,26.8,26.4,26.9,29.5,36,31.8,33.7,34,32.4,35,43.8,43.8,47.6,37.5,46.5,43
"97","85","Economic affairs","G170911",0.9,1,1.9,2.1,2,2.5,2.8,3.7,3.5,3.8,4.1,4.1,3.7,5.2,3.6,1.1,2,2.3,3.8,5,3.6,4,4.3,5.8,11.3,10.5,9.7,13.4,18.4,16.3,12.6,10.9,9.8,11.1,15.4,10.1,9.3,8.9,8.9,13.4,22.7,24.1,27,13.1,20.5,15.7
"98","86","  Transportation","G170961",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.5,0.5,1.2,1.5,1.9,1.9,2.2,2.7,2.3,2.3,2,2.1,2,1.6,1.7,1.8,1.7,1.5,1.5,1.7,1.8,1.7,1.8,1.3,1.2,0.7,0.8,0.8,5.7,1.7,4,2.3
"99","87","  Other economic affairs","W697RC1",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.8,1.9,3.1,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,11,9.4,8.3,9.3,13.7,8.3,7.5,7.6,7.7,12.7,21.9,23.3,21.2,11.4,16.5,13.4
"100","88","    Agriculture","G170931",0.7,0.8,1.6,1.8,1.8,2.2,2.5,3.4,3.2,3.6,3.9,3.9,3.3,4.7,3.1,0.6,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,22.9,20.7,11.2,16,12.5
"101","89","    Natural resources","G170951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0.6,0.9
"102","90","Housing and community services","G170981",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.9,1.4,1.6,2.1,2.3,2.6,3.1,3.7,4.6,5.5,6.8,8.7,9.5,10.1,11.2,11.1,11.5,12.7,14.2,15.5,17.1,18.4,20.6,21.8,24.4,25.1,23.5,21.6,21,19.7,20.7,24.4,26,27.3
"103","91","      State and local","B114RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.5
"104","92","Economic affairs","G171001",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.5
"105","93","  Transportation","G171021",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.5
"106","94","  Energy","G171011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.4,-0.3,0
"107",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","95","      Government","A782RC1",29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219,221.4,232.7,244.9,252.2,262.4,286.8,304.5,324,344.3,355.3,372.5
"109","96","General public service","G171061",0.6,0.6,0.6,0.7,0.9,0.9,1.1,1,1.1,1.3,1.8,1.5,1.7,1.8,2.4,3.3,4.1,4.1,3.9,4.5,5.1,5.7,5.8,6.1,6.2,6.6,7.5,8.6,9.5,9.3,10.4,12.6,13.6,13.7,13.7,14.6,17,17.5,18.5,20.4,22.8,25.4,26.5,29.5,29,30.3
"110","97","National defense","A788RC1",13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.2,52.9,51.4,52.1,44.9,45,47.7,48.8,50.2,55.4,60.1,68.5
"111","98","Public order and safety","G171081",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.9,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.5,2.6,2.9,3.3,3.8,4.6,5.4,6,6.9,8.2,9,9.5,9,9.1,9.6,10.1,10.9,12.5,13.3,14.3,14.7,14.8,15.8,15.4,15.3
"112","99","Economic affairs","G171091",8.5,8.6,9.5,10.1,11.7,12.8,14,15.2,15.4,16.2,16,16.8,17.5,17.8,18.2,21,22.5,23,24,28.8,33.2,36.7,38.9,38.1,40.7,45.1,50.2,52.5,54.6,56.9,58.7,65.4,66.3,69,72.1,73.3,74.4,77.6,81.2,84.5,93.8,101.5,108,111.6,115.2,118.1
"113","100","Housing and community services","G171101",2.1,2.2,2.4,2.8,2.6,3.1,3.2,3.3,3.4,4.2,4,4.2,4.5,4.5,5.1,6.4,7.4,7.8,7.6,9.4,10.6,12.8,12.5,12.2,11.6,13.1,14.4,16.3,18.3,19,19.4,21.3,21.9,22,21.2,20.3,21.7,23.5,24.6,24.7,26.5,26,29.5,32.9,34.3,35.2
"114","101","Health","G171111",0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.7,1.8,1.9,2.3,2.6,2.8,2.7,2.9,3.2,4,4.3,4.5,5.2,5.9,6.3,7.1,7.8,8,8.9,9.6,10.5,10.9,12,11.9,12.1,12.9,12.9,13.9,13.8,13.7,14.4,15.3,17.1,17.7
"115","102","Recreation and culture","G171121",0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.8,1.1,1.5,1.5,1.4,1.6,1.7,1.8,1.8,1.9,1.8,1.9,2.2,2.4,2.7,2.9,3.2,3.7,3.7,3.5,3.5,3.5,4.1,4.9,5.8,6.1,6.3,7.7,8.5,8.9,8.4,7.9
"116","103","Education","G171131",3.2,3.4,3.7,3.7,4.3,4.8,5.4,6.7,7.4,7.6,7.4,7.3,7.3,7.4,8.6,9.6,10,9.6,8.7,9.4,10.4,11.4,11.1,11.1,11.5,13.3,15.2,17.3,18,21.1,24.9,27,30.1,31.6,30.4,33.3,40,43.7,49.9,52.2,59.4,64.6,70,72.4,73,76.8
"117","104","Income security","G171141",0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.9,0.9,0.8,1,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.8,1.1,1.2,1.3,1.8,1.7,1.9,1.9,1.9,1.8,2.2,2.2,2.1,2.1,2.5,2.7,2.8
"118","105","      Federal","A787RC1",15.4,14.3,16.3,17.4,16.1,15.6,14.7,16.7,17.7,16,15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.3,78.3,78.8,81.1,73.2,75.8,80.7,79.5,81,88.1,92.9,101.9
"119","106","General public service","G171161",0.1,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0,0,0.1,0.2,0.3,0.4,0.5,0.8,0.9,0.9,0.9,1.1,1.5,1.7,1.6,1.8,1.7,1.7,2.1,2.2,2.7,2,2,2.7,3,3,2.5,2.2,3.5,2.4,2.5,2.2,2.4,1.6,2.6,2,2.3,3.7
"120","107","National defense","A788RC1",13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.2,52.9,51.4,52.1,44.9,45,47.7,48.8,50.2,55.4,60.1,68.5
"121","108","Public order and safety","G171181",0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.5,2,2.3,2.5,2.3,2.1,2.7,3.8,4.4,4.9,5,5,6,5.8,5.4
"122","109","Economic affairs","G171191",1.2,1.5,1.8,2,2.5,3.3,3.6,3.9,3.3,3.1,2.8,2.8,3,3.1,3.2,3.4,3.8,4.4,5,6.4,6.6,7.3,8.2,7.9,8.9,9.3,10,9.8,10.7,10.6,11.5,13.1,13.3,15.3,15.3,13.1,13.6,15.3,13.7,14.5,15.9,15,13.8,14.8,14,14.5
"123","110","Housing and community services","G171201",0,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.7,0.4,0.5,0.4,0.3,0.5,0.8,0.5,0.4,0.3,0.4,0.2
"124","111","Health","G171211",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.7,0.6,0.6,0.7,0.7,1,1.3,1.2,1.9,2.4,2.6,3,3.4,3.3,3.6,3.7,4.4,4.3,5,5.2,5.3,6,5.4,6,5.9,5.4,5.7,5.8,6.5,5.8
"125","112","Recreation and culture","G171221",0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.7,0.7,0.7,0.7,0.6,0.8,0.8,0.7
"126","113","Education","G171231",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.9,0.9,1.1,1.1,1.2,1.3,1.5,1.5,1.8,1.7,1.5,1.7
"127","114","Income security","G171241",0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.3,0.5,0.6,0.7,0.7,0.7,0.9,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.7,1.1,1,1,1,0.9,0.8,1.1,1,1,0.9,1.3,1.6,1.6
"128","115","      State and local","A799RC1",13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.5,206,225,243,256.1,262.3,270.6
"129","116","General public service","G171261",0.4,0.5,0.5,0.5,0.7,0.7,0.9,0.8,1.1,1.3,1.7,1.3,1.4,1.5,1.9,2.5,3.2,3.2,3,3.4,3.6,4,4.2,4.3,4.4,4.9,5.4,6.4,6.8,7.2,8.4,10,10.5,10.7,11.3,12.4,13.4,15.1,16,18.2,20.4,23.8,23.9,27.5,26.8,26.6
"130","117","Public order and safety","G171271",0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,1,1.2,1.3,1.5,1.6,1.8,2.1,2.3,2.5,2.7,3.1,3.8,4.5,5,5.6,6.7,7.5,7.4,6.8,6.6,7.3,8,8.2,8.7,8.9,9.4,9.7,9.8,9.8,9.7,9.8
"131","118","Economic affairs","G171281",7.3,7.1,7.7,8.1,9.2,9.5,10.4,11.3,12.1,13,13.2,14,14.5,14.7,15,17.6,18.7,18.6,19,22.4,26.7,29.4,30.7,30.2,31.8,35.8,40.2,42.7,43.9,46.3,47.1,52.3,52.9,53.7,56.8,60.3,60.8,62.3,67.5,70,77.8,86.5,94.2,96.8,101.1,103.7
"132","119","Housing and community services","G171291",2.1,2.2,2.4,2.7,2.5,3,3.2,3.2,3.4,4.1,4,4.1,4.4,4.4,5,6.3,7.3,7.7,7.5,9.2,10.4,12.7,12.3,12,11.3,12.9,14.2,16,18.1,18.7,19.2,21,21.6,21.8,20.5,20,21.2,23.2,24.3,24.2,25.7,25.6,29.1,32.6,33.9,35
"133","120","Health","G171301",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,1,1,1.4,1.4,1.4,1.8,1.9,2.2,2.1,2.2,2.5,2.9,3,3.3,3.2,3.5,3.8,4,4.4,4.7,5.3,5.8,6.1,6.6,7,6.7,6.8,6.9,7.5,7.9,7.9,8.3,8.6,9.5,10.6,12
"134","121","Recreation and culture","G171311",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,1,1.3,1.3,1.2,1.3,1.5,1.6,1.6,1.7,1.7,1.8,2,2.3,2.5,2.8,3.1,3.6,3.5,3.3,3.3,3.3,3.9,4.6,5.1,5.3,5.7,6.9,7.8,8.1,7.6,7.2
"135","122","Education","G171321",3.1,3.3,3.6,3.6,4.2,4.7,5.3,6.5,7.2,7.4,7.3,7.1,7.1,7.2,8.3,9.4,9.7,9.4,8.5,9.1,10.1,11.1,10.8,10.7,11,12.7,14.7,16.7,17.4,20.5,24.3,26.4,29.3,30.8,29.5,32.3,38.9,42.6,48.8,50.9,57.9,63.1,68.2,70.7,71.4,75.1
"136","123","Income security","G171331",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
"137",NA,"        Capital transfers paid"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","124","      Federal \3\","W020RC1",3.1,2.6,2.9,3.1,3.6,4.1,4,4.4,4.3,6,5.9,5.3,5.9,6,6,7.9,9.7,10.6,11.1,11.9,14.4,16.6,15.6,14.6,15.5,17.7,19.4,20,19,19.6,20.1,28.1,26.3,22.4,24.5,25.9,27.7,28.2,29.1,28.8,36.1,36.2,40.8,48.4,62.4,62.6
"139","125","General public service \4\","AD10RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,0.2,1.9,0.2
"140","126","Economic affairs","G171361",3.1,2.6,2.9,3.1,3.6,4.1,4,4.3,4.1,4.6,4.3,4.9,5.3,5.3,5.1,5.9,7.2,7.6,7.7,8.7,10.4,12.3,11.8,11.2,12.7,14.9,16.5,17,16.2,17.2,17.6,18.5,18.8,20.2,21.8,22.9,24.7,25.7,26.3,26.2,29.1,32.9,37.4,40.8,40.9,41.7
"141","127","  Transportation","G171371",3.1,2.6,2.9,3.1,3.6,4.1,4,4.3,4.1,4.6,4.3,4.9,5.3,5.3,5.1,5.9,7.2,7.6,7.7,8.7,10.4,12.3,11.8,11.2,12.7,14.9,16.5,17,16.2,17.2,17.6,18.5,18.8,20.2,21.8,22.9,24.7,25.7,26.3,26.2,29.1,32.9,37.4,40.8,40.9,41.7
"142","128","    Highways \5\","G171381",3,2.5,2.7,2.9,3.4,3.9,3.8,4.1,3.9,4.3,4,4.5,4.9,4.6,4.3,4.7,5.7,6.1,5.9,6.3,7.9,9.4,8.6,8,9.2,11.2,13.2,13.5,12.9,13.9,13.7,14.1,14.2,15.6,16.8,18.5,19.4,20.1,20.8,20.7,23.4,25.6,28.2,30.8,30.6,30.5
"143","129","    Air \5\","G171391",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.4,0.6,0.5,0.6,0.4,0.3,0.6,0.7,0.8,0.9,0.8,0.8,1.1,1.3,1.6,1.8,1.8,1.6,1.7,1.6,1.5,1.5,1.5,1.7,2.2,2.9,2.8,3.8
"144","130","    Water \6\","AD12RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.2,0
"145","131","    Transit and railroad \5\","G171411",NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.9,1.1,1.2,1.6,1.7,2.1,2.7,2.6,2.9,3,2.5,2.6,2.5,2.4,2.7,3.1,3,2.8,3.2,2.7,3.6,3.9,4,3.9,4.2,5.6,7,7.1,7.2,7.5
"146","132","Housing and community services \5\","G171421",NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.8,2,2.5,3,3.5,3.2,4,4.3,3.8,3.4,2.8,2.8,2.9,3,2.7,2.4,2.3,2.3,2.4,2.2,2.1,2,2.5,2.6,2.6,2.6,2.8,3.3,3.4,3.9,4.8,4.6
"147","133","Health \7\","G171431",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.8,16.1
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","1. Equals consumption expenditures, government social benefits, interest payments, subsidies, less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","``wage accruals less disbursements''; for Federal Government, also includes grants-in-aid to State",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
