"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"45","37","    Electrical goods wholesalers","PK42163",113.256,113.054,113.183,112.756,112.532,112.644,112.573,112.199,111.956,111.593,111.392,111.043,110.828,110.345,110.309,110.154,110.024,109.677,109.24,109.219,109.088,109.267,109.248,109.123,109.16,109.23,109.078,108.895,108.518,108.248,107.956,107.933,107.894,107.68,107.49,107.4,107.223,107.077,106.876,107.007,106.962,106.913,106.867,106.628,106.566,106.482,106.307,105.89,105.876,105.695,105.606,105.258,105.134,104.908,104.745,104.542,104.37,104.391,104.373,104.243,104.392,104.326,104.312,104.006,103.785,103.783,103.335,103.457,103.414,103.149,103.044,102.737,102.711,102.409,102.377,102.446,102.361,102.177,102.085,101.903,101.879,101.648,101.671,101.236,100.872,100.469,100.483,100.469,100.519,100.433,100.025,100.063,100.028,99.946,99.994,100.048,100.246,100.366,100.344,100.338,100.173,100.106,99.999,100.036,99.769,99.766,99.512,99.392,99.369,99.463,100.463,100.889,100.934,101.123,101.376,101.799,102.046,102.014,101.966,101.796,101.924,101.127,100.891,100.614,100.457,100.635,100.395,100.297,100.278,100.245,100.28,100.151,100.283,100.584,100.57,100.589,100.833,100.866,100.929,101.101,101.205,101.356,101.142,101.017,100.977,101,101.136,101.172,101.163,101.059,100.865,100.928,100.949,100.979,101.034,100.727,100.744,100.727,100.49,100.414,100.451,100.411,100.372,100.252,100.176,100.118,99.945,99.999,100.04,100.193,100.357,100.413,100.457,100.637,100.565,100.542,100.393,100.428,100.388,100.709,101.078,101.178,101.28,101.228,101.211,101.265,101.379,101.501,101.254,101.199
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",87.347,87.494,87.583,87.622,87.668,87.671,87.619,87.801,87.853,87.968,88.003,88.048,88.008,88.259,88.12,88.15,88.221,88.098,88.172,88.118,88.193,88.262,88.375,88.347,88.548,88.341,88.379,88.523,88.608,88.857,88.888,89.042,89.128,89.187,89.303,89.471,89.449,89.662,89.757,89.973,89.967,90.075,90.237,90.334,90.257,90.331,90.3,90.3,90.571,90.89,90.703,90.624,91.024,91.053,90.98,91.043,91.207,91.325,91.49,91.514,91.49,91.476,91.584,91.561,91.588,91.48,91.462,91.659,91.793,91.704,91.583,91.725,92.044,92.227,92.292,92.34,92.397,92.502,92.52,92.583,92.677,92.708,92.969,93.09,93.635,93.8,94.062,94.322,94.864,95.253,95.602,95.795,96.31,96.83,97.088,97.399,98.506,99.172,99.399,99.52,99.647,99.71,99.677,100.299,100.42,100.707,101.267,101.429,101.621,101.594,101.895,102.546,102.858,103.536,104.234,104.604,105.29,105.718,106.271,106.717,107.096,107.699,108.001,108.372,108.901,109.004,108.95,109.302,109.535,109.59,109.795,109.811,110.441,111.272,111.735,112.711,113.748,114.589,115.997,116.696,117.494,117.636,117.684,117.776,117.081,116.347,116.581,116.341,116.121,116.302,116.02,116.179,116.488,116.704,116.814,116.993,117.043,117.04,116.783,117.32,117.524,117.541,117.882,117.93,118.001,118.105,118.371,118.623,118.892,119.594,119.948,120.536,121.087,121.255,121.834,122.205,122.4,122.334,122.544,122.601,123.062,123.425,123.626,123.552,123.479,123.751,123.747,123.554,123.996,124.755
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",87.573,87.67,87.619,87.693,87.733,87.793,87.873,87.912,87.858,88.006,88.122,88.177,88.306,88.33,88.443,88.412,88.455,88.465,88.455,88.509,88.67,88.808,88.951,88.961,89.074,89.136,89.124,89.245,89.191,89.172,89.187,89.207,89.284,89.421,89.528,89.567,89.67,89.813,89.79,89.842,89.862,89.894,90.037,90.057,90.168,90.206,90.2,90.306,90.436,90.536,90.549,90.67,90.737,90.798,90.785,90.866,90.959,91.073,91.098,91.091,91.067,91.088,91.21,91.214,91.248,91.338,91.524,91.677,91.774,91.806,91.846,91.967,92.08,92.179,92.32,92.401,92.454,92.683,92.759,92.84,92.886,93.016,93.253,93.395,93.645,93.878,94.19,94.62,94.913,95.163,95.458,95.754,96.099,96.627,97.035,97.488,98.083,98.474,99.037,99.411,99.939,100.061,100.266,100.412,100.63,100.84,101.17,101.429,101.782,102.194,102.348,102.539,102.903,103.233,103.652,103.871,104.179,104.463,104.718,104.905,105.491,105.864,106.1,106.366,106.616,106.888,107.205,107.426,107.588,107.817,108.28,108.519,109.074,109.564,109.897,110.561,111.108,111.616,112.807,113.345,113.897,114.189,114.686,114.835,115.244,115.132,115.107,115.031,115.017,114.9,114.869,114.729,114.743,114.777,114.853,115.055,114.994,115.176,115.303,115.546,115.737,115.779,115.888,116.11,116.017,116.195,116.325,116.596,117.09,117.698,118.111,118.633,119.29,119.726,120.16,120.45,120.898,121.057,121.351,121.524,121.808,122.212,122.496,122.753,122.935,123.04,122.962,123.177,123.405,123.517
"48","40","    Miscellaneous durable goods wholesalers","PK42193",92.339,92.291,92.632,92.358,92.036,91.964,91.618,92.502,91.849,92.141,92.333,92.026,91.932,91.852,91.404,91.068,90.759,89.76,88.92,88.299,88.224,87.607,87.016,86.78,86.633,87.032,86.733,86.524,86.659,87.332,87.908,88.365,88.897,89.974,91.118,91.513,91.888,91.793,91.622,91.579,91.354,91.518,90.696,89.216,89.444,89.502,89.064,88.277,87.812,87.346,87.766,87.176,87.489,87.158,86.354,86.479,86.682,86.317,86.195,85.59,85.3,85.437,85.549,86.095,86.47,87.547,87.704,87.053,87.394,88.634,87.663,87.616,88.054,88.635,88.864,88.244,89.287,89.428,88.838,89.426,90.396,90.923,91.966,93.699,95.351,96.963,97.928,96.816,94.564,95.056,98.432,99.949,98.944,101.176,102.144,101.522,100.776,99.429,99.477,99.657,98.284,96.612,96.843,99.075,101.343,101.354,102.582,104.142,104.467,105.811,105.728,106.449,110.803,110.638,111.387,110.274,110.414,110.044,111.234,112.464,113.087,115.2,118.522,116.558,115.787,116.286,116.371,118.035,119.067,121.813,122.355,122.956,124.138,125.746,128.639,131.615,132.8,133.77,137.018,134.328,126.746,117.951,107.109,107.464,108.491,108.695,107.664,106.527,108.801,111.47,113.289,116.973,118.542,120.791,123.808,127.926,130.173,129.465,132.34,132.862,129.51,127.469,124.623,125.623,129.315,135.7,140.454,143.585,144.316,145.347,144.79,144.263,143.599,145.401,145.807,146.773,149.796,149.765,150.518,152.169,147.945,148.344,147.107,144.949,143.015,141.079,138.212,139.333,141.224,142.979
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",80.834,80.297,80.299,79.636,79.185,78.299,78.104,78.535,78.459,78.948,78.423,78.501,77.165,76.896,76.304,76.112,75.757,75.21,75.615,74.109,73.892,74.724,74.356,73.943,74.665,73.687,74.442,75.907,75.991,76.172,76.54,77.789,78.653,78.381,78.956,80.173,80.419,82.051,82.974,82.013,82.461,82.962,82.684,81.95,83.373,84.01,84.616,84.581,85.011,84.656,84.208,84.201,84.362,83.859,82.777,83.051,83.665,81.738,81.203,80.837,80.841,81.12,82.163,82.186,81.85,82.202,83.371,84.038,84.829,85.845,85.204,85.19,86.606,89.235,89.437,86.582,85.81,86.486,86.375,87.148,87.612,88.36,89.061,90.283,91.288,91.256,91.579,92.309,93.345,92.595,92.735,92.752,93.494,95.694,96.239,94.966,95.528,96.605,98.334,98.135,97.355,98.221,99.329,100.499,103.37,105.658,102.833,104.062,104.817,103.537,103.625,105.612,106.063,107.153,107.234,108.284,105.397,106.017,107.405,109.048,107.443,110.164,110.997,112.182,112.788,112.838,113.852,113.233,116.553,119.078,125.279,125.856,128.569,129.766,133.107,133.195,136.358,140.196,142.175,138.417,139.411,128.315,118.558,109.589,111.182,110.687,108.735,110.372,112.439,116.336,112.527,117.202,116.823,119.904,122.05,123.888,127.247,125.74,127.418,126.87,123.812,120.227,120.836,123.334,126.485,131.52,133.744,138.314,141.316,146.391,147.546,149.732,147.023,145.448,145.978,145.087,148.659,147.486,149.884,150.364,150.881,151.958,152.965,151.001,146.485,143.773,145.723,149.502,154.152,154.147
"50","42","    Paper and paper products wholesalers","PK42213",85.634,84.838,83.45,82.771,82.787,83.238,83.506,84.822,86.023,86.765,87.969,88.884,89.182,88.948,88.508,87.992,87.67,87.757,87.283,86.668,85.792,85.123,84.375,84.031,83.718,83.627,84.183,84.579,85.034,85.704,86.59,87.617,88.92,89.619,90.116,90.488,91.229,91.673,93.879,95.269,96.629,97.138,97.128,97.197,97.294,97.621,97.659,97.565,97.736,97.254,96.922,96.479,95.544,94.879,94.269,92.916,92.619,92.171,91.911,92.081,91.592,91.036,90.542,90.267,89.742,90.006,90.316,91.242,91.656,92.195,92.153,92.013,92.031,92.211,92.306,92.654,92.774,92.752,92.247,92.136,91.642,91.527,91.47,91.678,90.975,91.031,91.44,92.828,93.952,95.568,96.813,98.008,98.488,98.603,98.639,99.086,99.68,100.303,100.88,100.974,100.847,100.103,99.768,98.667,98.782,99.074,100.357,100.742,101.37,103.568,104.182,104.281,106.54,107.853,108.172,108.94,109.363,109.407,109.234,109.437,109.522,109.435,109.381,109.415,109.146,109.402,109.509,109.847,110.645,112.145,112.514,112.909,114.038,114.707,115.126,115.804,116.12,116.664,117.792,121.933,123.204,123.208,123.087,122.731,121.496,120.341,119.19,117.639,115.678,114.95,113.856,113.492,113.286,112.598,112.922,112.897,113.071,115.438,116.547,117.687,121.691,122.992,123.443,123.428,124.194,124.065,124.133,124.39,124.914,124.161,124.795,125.119,125.426,126.291,126.315,126.016,125.423,125.256,124.505,125.335,124.511,124.723,124.97,124.707,124.868,124.631,124.41,124.38,123.696,124.774
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",80.925,80.583,80.308,80.072,80.218,80.303,80.343,80.571,80.71,80.982,81.228,81.507,81.584,81.997,85.604,85.59,85.931,86.266,86.569,86.653,86.743,87.054,87.293,87.442,87.305,87.166,87.297,87.083,87.171,87.989,88.215,88.279,88.652,88.894,89.089,89.061,89.245,89.245,89.082,89.145,89.34,89.199,89.507,89.94,90.021,89.96,89.919,90.065,90.172,90.352,90.292,90.418,90.008,90.385,90.152,90.185,90.32,90.55,90.67,90.679,90.719,90.852,90.94,91.014,91.075,91.34,91.448,91.795,91.975,92.297,92.274,92.347,92.532,92.468,92.764,92.968,93.142,93.417,93.622,93.664,93.979,94.191,94.466,94.626,95.135,95.223,95.432,95.929,96.026,95.905,95.917,96.196,96.279,96.679,96.984,97.512,97.661,98.387,98.553,98.952,99.534,99.947,100.813,100.99,100.818,101.046,101.599,101.637,101.962,102.191,102.368,102.16,102.903,103.001,103.315,103.345,103.468,103.724,103.939,104.392,104.839,105.069,105.037,105.342,105.506,105.73,106.01,106.672,106.982,107.394,107.625,107.839,108.203,109.05,109.269,109.75,110.142,110.781,111.278,111.566,112.061,112.535,112.939,113.034,113.885,113.557,114.122,114.479,114.697,115.006,115.68,115.955,116.12,116.707,117.049,117.539,118.143,118.472,119.125,119.224,119.474,119.751,120.317,120.587,120.974,121.391,121.517,121.558,122.219,122.421,121.739,121.918,121.94,121.783,122.069,122.743,123.204,123.75,124.07,124.332,125.287,125.254,125.351,125.577,126.451,126.65,126.848,127.794,127.953,128.19
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",100.593,100.767,100.855,100.903,101.045,100.977,101.066,101.181,101.312,101.301,101.3,101.326,101.741,101.632,101.549,101.521,101.512,101.343,101.225,101.258,101.384,101.351,101.189,100.972,100.95,100.807,100.907,100.855,100.772,100.605,100.684,100.594,100.724,100.614,100.455,100.716,100.66,100.721,100.753,100.746,100.682,100.235,100.475,100.5,100.573,100.496,100.396,100.35,100.354,100.429,100.99,100.825,100.676,100.582,100.486,100.615,100.246,100.079,99.998,99.885,99.63,99.502,99.064,98.902,98.909,98.825,98.757,98.8,98.656,98.845,98.801,99.417,99.207,99.13,99.278,99.339,99.437,99.241,99.164,99.368,99.484,99.436,99.461,99.517,99.61,99.545,99.474,99.558,99.599,99.582,99.602,99.517,99.609,99.63,99.653,99.626,99.779,99.8,99.841,99.777,99.851,99.914,99.992,100.076,100.448,100.219,100.134,100.175,100.371,100.491,100.323,100.523,100.634,100.599,100.644,100.774,100.72,100.86,100.868,100.768,101.087,101.086,101.284,101.316,101.272,101.252,101.334,101.433,101.645,101.682,101.736,101.882,102.043,102.072,102.185,102.451,102.427,102.402,102.771,103.17,103.227,103.388,103.629,103.57,103.758,103.851,103.818,103.686,103.51,103.57,103.418,103.448,103.486,103.547,103.53,103.193,103.337,103.38,103.423,103.712,103.652,103.903,104.305,104.451,104.456,104.506,104.918,105.474,106.667,107.598,108.45,109.347,110.364,110.848,111.741,112.38,112.827,112.765,112.901,113.225,113.156,113.518,113.529,113.585,113.521,113.313,113.259,113.302,113.072,112.943
"53","45","    Grocery and related products wholesalers","PK42243",87.658,87.733,88.657,87.752,88.185,87.096,86.731,87.228,87.233,88.245,87.297,87.912,87.176,87.747,87.451,88.093,87.316,86.97,87.864,87.296,87.575,88.1,87.609,87.969,89.048,87.805,88.254,87.983,88.167,88.465,88.034,87.986,88.951,88.683,87.945,88.781,88.077,88.202,88.45,88.799,89.558,88.308,88.35,87.663,88.677,89.245,89.464,88.644,89.825,90.312,90.899,90.719,91.305,90.918,90.196,91.051,91.684,91.361,90.962,91.461,92.088,92.638,93.628,89.86,90.261,90.128,90.332,90.144,89.921,90.406,90.227,90.056,91.547,91.28,91.572,92.188,92.639,92.173,92.222,93.234,94.491,95.638,95.435,96.069,94.621,94.169,95.337,96.286,97.915,97.068,95.913,96.407,97.691,100.196,99.971,99.449,98.891,99.535,100.07,100.414,100.223,99.674,98.812,98.865,100.013,100.2,100.936,102.377,102.219,99.92,100.19,101.132,100.262,101.202,101.976,103.852,104.56,104.409,103.329,105.411,105.731,107.609,108.842,109.57,108.21,108.041,108.062,107.994,109.091,110.79,110.743,112.781,113.781,112.873,114.25,114.127,114.737,115.869,115.934,116.033,117.426,117.354,117.747,116.905,116.076,114.886,114.584,115.392,113.926,114.858,114.044,114.241,114.397,116.253,116.647,118.595,118.648,119.15,122.38,121.56,120.726,117.666,118.426,118.396,118.949,118.999,120.046,121.799,123.036,127.171,126.088,124.98,123.42,125.833,127.006,127.978,128.93,128.294,130.307,129.525,129.015,128.668,129.164,129.024,128.278,128.576,128.443,129.291,129.774,130.136
"54","46","    Farm product raw material wholesalers","PK42253",119.855,119.58,124.375,126.848,123.54,122.138,122.022,120.093,120.123,120.187,116.296,115.642,111.119,112.013,109.967,105.66,105.007,104.688,106.425,97.083,92.896,97.59,97.5,94.367,94.407,92.631,90.558,90.206,90.632,90.478,83.473,90.651,87.684,85.989,86.223,84.766,87.229,91.592,94.171,92.627,94.883,90.95,86.684,83.049,86.748,91.662,92.474,94.756,95.993,92.004,92.493,89.475,88.439,88.438,93.612,93.39,91.655,89.693,87.777,88.726,88.428,88.581,87.591,86.36,87.046,88.22,98.417,107.041,112.987,110.96,105.109,103.349,102.081,106.757,101.926,103.285,105.796,104.887,100.391,102.746,109.288,115.097,118.457,118.21,120.088,120.456,124.64,124.297,125.837,119.024,114.734,105.229,105.054,99.675,97.108,98.04,99.389,96.164,104.188,98.275,99.596,99.295,102.698,101.259,98.043,99.999,100.584,101.092,100.389,99.4,97.744,101.515,102.088,101.425,108.189,104.943,106.663,125.868,139.031,133.398,130.694,141.794,138.195,133.264,136.007,141.131,139.424,143.929,156.651,163.11,173.454,184.624,200.844,203.369,215.946,215.123,209.47,221.08,223.25,210.115,205.302,165.073,160.382,140.059,149.397,147.664,145.211,151.209,160.484,165.739,148.611,151.699,141.789,153.029,152.317,153.257,149.082,143.316,144.876,145.823,147.997,142.149,153.622,165.144,177.929,198.298,204.609,212.099,217.076,236.08,223.12,245.036,237.79,248.141,247.585,256.549,254.971,239.349,237.827,225.362,233.662,232.395,240.827,234.476,227.137,225.252,269.055,281.398,278.367,274.636
"55","47","    Chemical and allied products wholesalers","PK42263",75.521,75.383,75.002,74.729,74.678,74.506,74.724,75.061,75.035,74.822,74.912,74.87,74.699,74.216,74.626,74.338,74.282,74.169,74.072,73.798,73.589,73.502,73.638,73.453,73.169,72.773,72.552,72.52,72.795,73.079,73.38,73.499,74.07,74.772,75.162,75.445,75.769,76.254,76.775,77.04,77.294,77.762,78.853,78.354,78.478,78.499,78.521,78.741,79.554,80.013,80.102,79.53,79.347,78.993,77.577,76.819,77.483,76.596,76.117,75.325,75.344,75.241,76.154,77.169,77.225,77.34,77.954,78.441,78.726,79.417,79.545,79.257,80.916,83.653,84.684,82.662,82.631,82.976,82.312,82.576,82.423,82.715,82.75,83.589,85.506,85.604,85.679,86.871,87.234,88.214,89.242,91.281,93.083,94.12,95.116,95.342,95.601,96.341,98.118,98.152,97.466,96.744,98.084,98.632,102.527,106.9,106.047,106.28,107.672,107.715,107.694,107.957,109.482,111.083,111.506,112.315,110.845,110.272,108.95,109.639,109.878,109.879,110.714,111.285,113.513,114.124,115.429,113.5,114.929,117.005,121.204,120.805,123.804,124.508,127.161,129.931,134.294,137.456,143.942,142.84,144.525,134.708,126.408,118.249,117.19,117.678,117.399,116.743,118.025,120.332,120.761,122.241,123.192,123.409,124.663,126.898,129.089,131.348,132.889,133.946,133.232,131.036,129.409,130.265,131.341,132.97,135.931,138.277,142.213,146.277,148.221,152.748,155.887,155.906,155.825,155.483,155.461,152.728,150.07,148.429,148.108,150.087,154.193,155.164,154.486,151.081,149.445,148.615,150.875,150.763
"56","48","    Petroleum and petroleum products wholesalers","PK42273",50.97,48.983,46.455,43.762,42.18,40.433,39.919,41.277,40.465,41.392,41.258,40.876,37.565,35.714,32.965,32.964,32.395,30.792,30.877,28.526,28.768,29.943,29.087,26.757,28.503,26.796,29.701,35.794,35.637,35.48,39.155,41.956,43.869,43.072,46.11,50.841,51.656,56.379,59.197,54.272,53.317,58.617,58.071,56.242,59.915,60.017,62.384,61.915,60.29,59.379,56.084,57.744,58.348,56.696,51.631,52.448,55.195,47.549,46.009,43.72,43.315,44.046,47.76,51.8,49.602,50.521,52.205,52.375,54.207,58.223,57.053,58.318,62.987,73.251,74.006,59.467,54.452,58.456,59.647,61.362,59.868,59.662,61.898,66.103,70.567,70.477,68.938,70.123,72.926,71.955,74.615,75.917,77.746,86.706,89.797,82.996,83.86,88.474,92.63,92.384,87.48,92.435,96.844,103.05,116.393,125.875,108.986,113,115.969,111.792,112.059,119.557,121.205,125.234,121.771,126.055,110.296,107.01,111.003,117.024,108.752,115.014,118.143,123.374,126.27,124.434,128.645,123.896,133.525,140.193,166.421,162.048,166.136,169.495,177.8,175.908,189.088,198.843,203.104,187.292,190.764,153.959,112.563,83.637,89.048,89.631,81.083,86.225,94.281,109.709,99.125,118.54,119.214,126.751,135.455,140.521,157.386,149.914,151.929,148.933,133.905,122.902,121.18,128.064,136.593,151.297,156.659,172.05,180.039,192.449,202.037,204.621,194.999,181.926,182.116,174.537,188.82,187.663,196.739,203.579,203.491,208.903,209.734,201.671,183.541,172.556,170.229,181.739,200.983,201.281
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.439,85.25,85.692,85.692,85.881,85.439,85.629,85.692,84.619,84.556,84.556,84.871,85.25,85.187,85.187,85.187,85.124,85.124,85.124,85.061,84.998,85.692,86.007,86.133,86.323,86.575,85.755,85.818,86.007,85.881,86.764,86.197,86.323,86.386,86.26,86.638,86.701,87.206,87.08,86.638,89.225,89.099,89.099,89.667,89.667,90.109,89.604,90.235,91.182,90.803,91.497,91.497,91.623,91.813,91.749,91.813,91.623,92.254,92.317,92.57,92.507,92.444,92.38,92.444,92.57,92.759,92.696,92.57,92.759,92.885,93.516,93.579,93.075,92.759,94.147,94.21,93.958,93.958,94.21,93.832,93.201,94.652,93.832,95.409,97.492,97.555,97.744,97.681,95.283,95.22,95.22,96.608,95.409,96.23,96.545,95.977,99.385,99.637,99.953,99.7,99.953,99.826,100.079,100.079,100.016,100.394,100.457,100.521,100.962,101.215,101.972,102.224,101.719,101.846,101.909,99.637,99.637,99.637,100.268,101.404,100.647,101.404,99.511,100.457,100.521,100.962,100.962,101.278,101.404,101.972,102.035,102.098,102.54,104.307,104.433,104.559,104.433,104.685,104.748,104.811,104.811,105.947,105.884,105.821,107.272,108.345,108.408,108.345,108.408,108.661,108.345,107.651,108.03,109.67,109.796,109.733,109.67,109.481,109.733,109.607,109.67,109.607,109.544,109.607,110.238,112.573,112.762,113.015,113.204,113.141,113.204,113.456,113.393,113.393,113.33,113.33,113.709,116.17,116.359,116.422,116.359,116.422,116.801,116.801,116.864,116.738,117.683,118.187,118.755,119.637
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.057,79.869,80.111,80.529,80.528,79.893,79.783,79.707,80.324,79.928,79.835,79.654,79.17,78.873,78.535,78.569,78.912,78.76,79.134,78.933,79.016,79.202,79.217,82.202,82.3,81.969,82.124,82.291,82.224,82.447,82.279,82.551,84.374,84.378,84.416,84.457,84.115,85.727,85.454,85.272,85.582,85.449,85.568,85.909,86.307,87.002,87.063,87.675,90.215,90.17,90.414,89.91,90.499,90.014,89.889,89.787,89.554,89.293,89.68,89.539,89.331,89.184,89.675,90.569,90.666,91.054,91.608,91.971,92.373,92.22,92.131,90.609,90.984,91.703,92.677,92.761,92.951,92.617,91.744,91.922,92.472,92.859,93.614,94.138,94.687,95.268,95.824,96.3,96.272,95.904,96.048,95.659,95.769,95.719,96.052,96.172,97.578,97.658,98.496,99.195,99.6,100.202,100.457,100.661,100.909,101.433,101.869,102.289,103.181,102.927,103.009,103.222,103.269,103.015,103.072,103.076,103.013,103.883,104.758,104.981,105.68,108.367,109.868,110.688,110.927,111.531,112.585,112.529,113.211,114.099,115.6,117.282,120.258,122.576,125.597,128.445,131.359,136.268,140.795,142.678,143.483,140.726,136.738,130.786,126.463,123.426,124.301,124.291,124.669,122.924,120.831,120.427,120.182,120.787,122.019,122.741,123.511,123.752,124.977,125.565,126.318,126.272,126.401,126.799,127.685,129.562,131.329,133.446,136.871,136.916,138.577,140.875,140.616,141.319,142.97,142.761,143.513,143.131,144.081,143.304,143.205,143.074,143.332,143.512,144.54,144.684,146.422,147.305,147.989,147.083
"59","51","Retail trade industries","PK443",94.3,94.523,94.49,94.295,94.049,93.857,93.797,93.881,94.035,94.007,93.775,93.667,93.476,93.154,92.767,92.758,92.768,92.672,92.904,92.952,92.705,92.758,92.697,92.661,92.785,92.551,92.612,93.577,93.505,93.595,94.074,94.375,94.722,94.652,94.594,94.892,95.075,95.511,96.322,95.98,95.907,96.406,96.41,95.882,96.568,96.502,96.581,96.684,96.784,96.776,96.533,96.634,97.169,97.192,96.608,96.276,96.53,95.955,95.216,94.717,94.767,94.71,95.22,95.874,95.692,95.585,95.715,95.857,95.804,95.98,95.886,95.707,96.135,96.738,96.674,95.816,94.828,94.878,95.281,95.72,96.216,95.661,95.702,95.889,96.448,96.836,97.117,97.151,97.749,98.006,97.732,97.584,97.848,98.519,98.941,98.741,98.558,98.855,99.097,99.534,99.017,98.945,99.614,100.381,102.302,102.075,100.9,100.72,101.361,101.188,101.197,101.709,101.829,101.753,102.186,102.573,101.613,100.658,100.604,101.149,101.097,101.539,102.264,102.474,102.881,102.936,103.061,102.752,103.18,103.454,104.659,104.967,105.232,105.347,105.633,105.787,106.279,107.35,108.386,107.988,108.013,106.171,102.061,99.867,100.182,101.077,100.627,100.765,101.111,103.055,102.835,103.352,103.608,103.826,104.321,104.427,104.809,104.665,104.603,104.45,104.099,103.872,104.09,104.329,104.534,105.044,105.169,105.885,106.37,107.034,107.873,108.422,108.709,108.758,109.067,109.413,109.617,109.34,109.246,109.035,109.313,109.925,110.218,109.858,109.127,108.867,108.828,109.652,110.297,110.31
"60","52","  Motor vehicle and parts dealers","PK4413",97.845,98.221,98.486,98.055,97.875,97.659,97.773,97.721,97.846,98.171,97.751,97.587,97.686,97.508,97.281,97.398,96.954,96.825,97.375,97.559,97.659,97.642,97.995,97.998,98.012,97.9,97.884,97.901,97.962,98.178,98.534,98.784,98.983,98.946,99.037,98.745,98.805,98.788,99.15,99.245,99.511,99.592,99.379,98.999,99.267,99.384,99.693,100.218,100.343,100.23,100.229,100.203,100.282,100.272,100.548,100.461,99.389,100.296,100.447,100.516,100.313,99.968,99.999,100.145,100.222,99.97,100.274,100.393,100.437,100.538,100.32,100.076,99.383,99.123,99.197,99.012,98.812,98.575,98.579,98.085,97.897,97.1,97.169,97.213,97.443,97.845,98.07,98.282,98.531,98.712,98.276,97.787,98.314,98.438,99.127,99.399,99.532,99.738,99.747,99.896,100.206,100.222,99.839,99.506,99.818,100.351,100.51,100.674,100.812,100.823,100.915,101.02,100.951,100.855,101.16,101.259,101.016,101.106,100.887,100.713,100.803,100.671,100.877,100.878,100.86,100.818,100.959,101.047,101.201,101.292,101.657,101.582,101.319,101.057,100.912,100.64,100.561,100.435,100.535,100.452,100.269,99.742,99.419,98.93,98.972,99.134,99.327,99.649,100.057,100.649,100.561,101.044,101.831,102.832,103.737,104.333,104.689,105.101,105.36,105.682,105.893,106.18,106.489,106.807,106.892,106.84,106.953,107.001,107.211,107.7,108.164,108.787,109.695,110.335,110.484,110.626,110.628,110.447,110.48,110.493,110.374,110.536,110.894,111.306,111.661,111.661,111.576,111.42,111.33,111.247
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.597,145.799,145.502,144.452,144.534,144.448,143.523,142.746,142.673,142.28,141.608,141.481,140.797,140.33,140.511,140.741,139.542,139.108,139.034,137.965,137.314,136.839,135.811,135.278,135.12,134.528,133.945,134.051,132.897,132.43,132.146,131.249,130.794,130.022,129.181,128.95,128.849,128.489,128.749,128.174,128.266,127.594,127.499,126.703,127.103,126.46,125.843,125.168,124.684,124.228,123.175,122.975,121.904,121.434,121.057,120.1,119.619,119.14,118.717,118.071,117.61,116.873,116.398,116.223,116.12,115.617,115.001,114.504,113.883,113.516,112.72,112.139,111.619,111.063,110.554,110.253,109.043,108.421,108.102,107.435,106.864,106.783,106.342,105.863,105.781,105.696,105.366,105.127,104.546,104.479,103.741,103.152,102.925,102.891,102.244,101.699,101.718,101.143,101.202,101.186,100.978,100.227,99.946,99.353,99.065,98.716,98.442,98.442,98.106,97.703,97.405,96.996,96.351,95.782,95.486,95.37,94.622,94.422,93.873,93.396,92.749,92.76,92.394,91.861,91.328,91.024,90.392,89.727,89.379,88.94,88.289,87.885,87.815,87.561,87.428,86.411,86.103,85.956,85.919,86.008,85.863,85.736,85.2,84.736,84.434,84.227,83.921,83.688,83.299,82.828,81.951,81.104,80.766,80.258,80.033,79.588,79.237,78.489,78.291,77.78,77.504,76.943,76.412,76.036,75.817,75.616,75.073,74.392,74.273,74.148,73.904,73.747,73.562,73.447,73.097,72.691,72.221,71.976,71.613,71.472,71.127,70.854,70.438,69.823,69.732,69.224,68.909,68.484,68.09,67.816
