"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","13","Services","DSERRG3",16.977,17.208,17.438,17.68,17.919,18.168,18.394,18.665,18.917,19.167,19.436,19.619,19.834,19.998,20.196,20.384,20.554,20.878,21.241,21.64,22.086,22.608,23.134,23.643,24.183,24.585,25.041,25.535,25.958,26.293,26.76,27.22,27.758,28.307,28.854,29.32,29.886,30.486,31.057,31.689,32.135,32.968,33.749,34.559,35.418,36.292,37.228,38.281,39.312,40.107,40.98,41.831,42.584,43.238,44.101,44.924,45.602,46,46.822,47.307,47.911,48.637,49.215,49.636,50.318,50.787,51.316,51.79,52.555,53.145,53.639,54.175,54.619,55.058,55.688,56.288,57.041,57.762,58.525,59.18,59.946,60.573,61.112,61.747,62.551,63.508,64.265,64.924,65.625,66.187,66.924,67.608,68.405,68.987,69.497,70.073,70.533,71.13,71.572,71.961,72.456,72.921,73.471,73.972,74.554,75.15,75.637,76.142,76.553,77.143,77.784,78.434,79.018,79.594,80.071,80.586,80.998,81.474,81.913,82.394,82.85,83.251,83.7,84.258,85.058,85.417,86.063,86.756,87.709,88.277,88.555,89.173,89.719,90.468,91.186,91.856,92.558,93.392,94.063,94.754,95.513,96.314,97.175,97.748,98.704,99.52,100.306,101.47,102.171,102.998,103.844,104.63,105.754,106.51,107.33,108.298,109.191,110.412,111.234,111.428,111.579,111.894,112.355,113.102,113.62,114.116,114.314
"22","14","  Household consumption expenditures (for services)","DHCERG3",16.272,16.492,16.71,16.943,17.176,17.419,17.638,17.897,18.136,18.377,18.634,18.811,19.018,19.177,19.364,19.541,19.713,20.012,20.345,20.727,21.138,21.617,22.124,22.613,23.126,23.515,23.939,24.424,24.822,25.156,25.615,26.051,26.555,27.1,27.612,28.062,28.609,29.19,29.726,30.344,30.761,31.558,32.286,33.06,33.887,34.709,35.649,36.672,37.673,38.414,39.293,40.149,40.929,41.607,42.478,43.329,44.055,44.453,45.304,45.822,46.433,47.162,47.763,48.21,48.898,49.381,49.906,50.356,51.154,51.79,52.304,52.853,53.302,53.755,54.38,54.986,55.746,56.484,57.27,57.947,58.751,59.431,60.032,60.739,61.569,62.597,63.426,64.129,64.904,65.487,66.291,67.038,67.932,68.588,69.149,69.805,70.315,70.927,71.412,71.81,72.329,72.805,73.359,73.852,74.491,75.098,75.588,76.116,76.537,77.115,77.764,78.412,78.981,79.572,80.018,80.489,80.865,81.301,81.728,82.223,82.688,83.062,83.477,83.998,84.812,85.098,85.759,86.423,87.341,87.901,88.171,88.843,89.377,90.117,90.898,91.629,92.359,93.274,93.962,94.692,95.525,96.319,97.184,97.8,98.726,99.554,100.282,101.437,102.177,103.028,103.916,104.731,105.847,106.637,107.46,108.503,109.411,110.657,111.498,111.765,112.013,112.379,112.85,113.631,114.205,114.703,114.873
"23","15","    Housing and utilities","DHUTRG3",17.923,18.077,18.273,18.461,18.653,18.843,19.064,19.341,19.601,19.85,20.092,20.245,20.441,20.591,20.792,20.987,21.282,21.512,21.728,22.007,22.325,22.625,22.965,23.401,24.019,24.394,24.778,25.304,25.742,26.118,26.577,27.188,27.91,28.466,29.042,29.565,30.003,30.532,30.974,31.59,32.125,32.723,33.608,34.596,35.318,36.207,37.213,38.245,39.21,40.207,41.368,42.417,43.341,44.061,44.909,45.94,46.621,47.238,47.667,48.258,48.773,49.509,50.311,50.847,51.457,52.184,52.836,53.467,54.182,54.836,55.291,55.624,56.118,56.716,57.205,57.8,58.391,58.856,59.492,60.121,60.638,61.233,61.903,62.629,63.218,63.935,64.766,65.189,65.837,66.163,66.507,67.131,67.625,68.056,68.407,68.963,69.46,70.092,70.496,70.895,71.435,71.877,72.236,72.649,73.225,73.716,74.228,74.823,75.404,75.958,76.458,76.929,77.57,77.936,78.495,79.05,79.326,79.88,80.366,80.858,81.303,81.724,82.238,82.79,83.551,84.237,85.175,86.169,87.702,88.469,89.08,89.621,90.322,90.99,91.565,92.312,93.272,93.988,94.454,94.944,95.548,96.299,97.109,97.685,98.445,99.278,100.271,102.005,102.942,103.663,104.806,105.719,106.863,107.63,108.191,109.148,110.131,111.57,112.807,112.977,113.34,113.199,113.144,113.277,113.389,113.396,113.542
"24","16","    Health care","DHLCRG3",10.61,10.826,11.003,11.215,11.433,11.667,11.845,12.008,12.125,12.278,12.419,12.55,12.687,12.781,12.946,13.055,13.188,13.365,13.553,13.794,14.09,14.491,14.986,15.452,15.832,16.178,16.588,17.059,17.453,17.814,18.181,18.537,18.919,19.362,19.692,20.012,20.475,20.847,21.333,21.911,22.488,22.867,23.4,24.055,24.913,25.603,26.355,27.175,28.014,28.615,29.568,30.557,31.382,32,32.879,33.633,34.469,35.013,35.778,36.518,37.216,37.829,38.371,38.974,39.565,40.173,40.689,41.204,41.855,42.496,43.085,43.804,44.44,45.211,45.952,46.654,47.583,48.63,49.628,50.624,51.769,52.856,53.993,55.12,56.148,57.351,58.635,59.846,60.942,61.913,62.965,64.083,65.287,66.362,67.372,68.45,69.319,70.099,70.875,71.475,72.262,72.931,73.677,74.348,75.28,75.756,76.144,76.731,77.091,77.55,77.963,78.461,78.773,79.261,79.556,79.706,80.149,80.659,81.01,81.462,81.956,82.331,82.783,83.305,83.978,84.386,85.352,85.962,86.811,87.512,88.086,88.665,88.936,89.56,90.469,91.295,92,93.103,93.932,94.889,95.857,96.658,97.287,97.929,98.885,99.594,100.264,101.257,101.742,102.626,103.58,104.209,105.734,106.348,107.099,108.187,108.745,109.394,110.12,110.661,111.497,112.267,113.041,113.966,114.582,115.286,115.903
"25","17","    Transportation services","DTRSRG3",19.772,20.152,20.419,20.715,21.35,21.599,21.978,22.397,22.707,23.202,23.707,23.84,24.054,24.137,24.294,24.53,24.817,25.153,25.464,25.87,26.311,27.021,27.866,28.79,29.604,30.243,30.838,31.462,32.042,32.547,33.091,33.578,34.195,34.843,35.403,35.926,36.61,37.037,37.69,38.319,38.878,39.886,41.138,43.062,44.847,46.395,48.135,49.78,51.587,52.432,53.714,54.432,54.826,55.765,56.678,56.647,56.445,57.729,58.822,59.418,60.348,60.507,60.012,60.723,61.355,61.383,61.671,61.946,61.735,62.052,62.048,62.987,63.786,64.203,65.196,66.184,66.698,67.523,68.354,68.917,70.484,70.857,70.819,71.267,72.37,73.387,73.757,74.747,74.643,74.996,76.161,76.537,77.627,77.265,77.011,79.025,80.171,80.203,80.553,80.819,81.07,81.488,81.628,81.482,81.776,83.184,83.895,84.003,83.123,83.886,84.563,85.482,85.278,85.997,86.234,87.013,87.347,87.309,87.911,88.024,88.2,88.843,89.112,89.671,90.334,91.208,92.023,92.934,92.944,92.768,92.471,92.39,92.384,93.253,93.119,93.532,94.04,94.73,95.516,95.993,96.089,95.796,96.603,97.347,98.314,99.207,100.334,102.145,103.31,104.184,104.668,104.697,105.462,105.913,106.949,108.199,109.736,111.89,113.469,114.528,115.223,114.919,115.659,116.73,117.501,118.269,117.918
"26","18","    Recreation services","DRCARG3",22.096,22.361,22.604,22.844,23.089,23.364,23.642,23.959,24.252,24.468,24.682,24.788,24.984,25.091,25.238,25.396,25.565,25.929,26.204,26.586,26.961,27.566,28.164,28.824,29.451,29.732,30.065,30.49,30.885,31.189,31.592,31.999,32.368,32.728,33.08,33.499,34.02,34.599,35.149,35.781,36.298,37.01,37.532,37.926,38.64,39.766,40.543,41.065,41.912,42.233,42.677,43.391,44.003,44.494,45.228,45.768,46.209,46.734,46.837,47.506,47.991,48.586,49.153,49.65,50.25,50.775,51.162,51.625,52.368,52.704,53.09,53.528,54.111,54.719,55.27,55.794,56.223,56.746,57.195,58.166,59.025,59.547,60.307,60.804,61.821,62.678,63.783,64.486,65.339,66.257,66.935,67.38,67.546,68.426,68.925,69.265,69.787,70.472,71.021,71.664,72.127,72.069,72.195,72.594,73.056,73.623,74.016,74.66,75.258,75.964,76.642,77.33,77.948,78.603,79.125,79.387,79.966,80.446,80.912,81.539,82.214,82.976,83.621,84.433,85.348,85.949,87.131,87.716,88.389,89.222,89.635,90.242,90.767,91.69,92.29,93.026,93.938,94.429,95.098,95.578,96.34,96.958,97.557,98.226,98.822,99.346,100.344,101.489,102.13,103.055,103.949,104.346,105.105,106.044,106.313,107.488,108.43,109.269,110.399,110.069,110.288,110.233,111.318,111.42,111.325,111.904,112.386
"27","19","    Food services and accommodations","DFSARG3",17.677,17.933,18.245,18.628,18.951,19.384,19.635,19.872,20.195,20.386,20.627,20.786,20.928,21.16,21.361,21.579,21.808,22.333,22.905,23.793,24.289,24.942,25.723,26.392,26.995,27.376,27.776,28.329,28.761,29.213,29.704,30.108,30.604,31.367,31.925,32.419,33.007,33.879,34.828,35.646,36.591,37.644,38.504,39.447,40.43,41.311,42.119,43.07,44.25,45.128,45.918,46.542,47.128,47.728,48.434,48.946,49.417,49.913,50.273,50.934,51.589,52.187,52.685,53.122,53.679,54.408,54.959,55.549,55.982,56.617,57.181,57.773,58.409,58.9,59.513,59.989,60.734,61.463,62.1,62.695,63.424,64.183,64.938,65.632,66.433,67.191,67.898,68.473,69.352,69.991,70.55,70.881,71.083,71.492,71.943,72.218,72.431,73.011,73.313,73.607,73.8,74.273,74.498,74.922,75.269,75.983,76.436,76.823,77.181,77.888,78.475,79.173,79.703,80.209,80.681,81.394,81.835,82.358,82.834,83.589,83.956,84.51,85.09,85.602,86.28,86.813,87.513,88.033,88.702,89.385,90.042,90.447,91.115,91.513,92.055,92.589,92.91,93.381,94.026,94.776,95.5,96.511,97.403,98.14,99.058,99.7,100.128,101.114,102.058,103.021,103.763,104.557,105.657,106.831,108.154,108.933,109.961,110.915,112.392,113.308,113.846,114.282,114.436,114.935,115.001,115.794,116.327
"28","20","    Financial services and insurance","DIFSRG3",17.309,17.637,17.906,18.208,18.39,18.555,18.739,19.025,19.265,19.611,20.008,20.303,20.725,20.932,21.142,21.241,21.038,21.343,21.647,21.996,22.521,22.974,23.469,23.953,24.379,24.83,25.049,25.534,25.722,25.546,26.102,26.45,26.613,27.445,28.487,29.25,30.497,31.547,31.881,32.626,31.412,33.705,34.153,34.174,34.493,35.211,36.146,37.918,38.996,38.868,38.465,38.304,39.116,39.917,41.523,43.003,44.224,43.055,46.243,45.804,45.75,47.48,48.723,48.711,50.344,49.574,49.639,49.243,51.392,52.119,52.833,53.574,53.698,53.143,54.065,54.585,55.881,56.63,58.001,58.075,59.031,59.367,58.926,59.262,60.3,62.311,62.729,63.068,63.532,63.82,65.546,66.448,68.676,69.626,70.12,70.479,70.215,70.551,70.724,70.523,70.668,71.091,72.163,72.735,73.524,74.112,74.851,75.569,76.122,76.752,78.101,79.118,80.583,81.814,82.518,83.552,84.005,83.797,84.094,84.388,84.899,84.815,84.843,85.083,86.689,85.47,85.141,85.339,85.932,85.849,83.749,85.178,85.833,87.179,87.992,89.072,89.482,91.222,92.154,93.063,94.644,95.969,97.398,97.941,99.095,99.956,100.181,100.768,101.027,101.882,102.378,103.927,105.275,106.001,107.328,108.795,109.477,110.904,110.051,109.626,108.29,108.98,109.436,111.427,113.396,113.758,112.67
"29","21","    Other services","DOTSRG3",18.048,18.268,18.489,18.685,18.864,19.139,19.361,19.67,19.961,20.225,20.556,20.836,21.103,21.34,21.528,21.783,21.909,22.354,23.032,23.501,24.185,24.985,25.56,25.884,26.232,26.634,27.323,27.64,28.013,28.421,28.942,29.191,29.67,29.987,30.281,30.515,30.865,31.417,32.031,32.461,33.004,33.657,34.351,34.963,35.931,36.524,37.54,38.332,39.287,40.313,41.376,42.537,43.177,43.811,44.27,44.983,45.742,46.285,46.81,47.351,48.488,48.894,49.031,49.249,49.619,50.348,51.106,51.72,52.442,53.172,53.697,54.118,54.07,54.422,54.788,55.302,55.9,56.729,57.201,57.903,58.364,58.903,59.322,59.734,60.412,61.278,61.772,62.49,63.419,64.041,64.734,65.511,66.315,66.887,67.551,67.879,68.491,69.212,69.811,70.443,71.164,71.668,72.453,73.085,73.651,74.401,74.772,75.092,75.63,76.189,76.966,77.771,78.131,78.8,79.056,79.158,79.449,80.208,80.622,81.299,81.819,82.112,82.46,83.037,83.528,83.711,83.985,84.543,85.275,85.892,87.055,87.934,88.566,89.189,90.707,91.186,92.059,92.884,93.569,94.423,95.188,95.91,96.884,97.451,98.578,99.796,100.486,101.14,102.105,103.043,103.911,104.632,105.094,106.075,106.896,107.679,108.924,110.693,111.731,111.927,112.069,112.787,113.667,114.795,115.541,116.488,116.819
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",57.313,58.35,59.248,59.973,60.463,60.881,61.331,62.395,63.523,64.216,65.151,65.62,66.28,66.664,67.575,68.571,68.195,70.397,73.221,74.567,77.746,81.834,83.258,84.882,87.181,88.206,91.097,91.579,93.793,93.536,93.793,95.907,98.963,98.814,101.928,103.167,104.545,105.952,109.08,109.902,112.539,115.428,120.364,123.377,125.909,130.428,129.019,131.167,133.384,138.088,136.852,135.636,132.685,130.2,129.27,126.647,122.535,122.522,120.091,117.637,117.162,117.103,115.547,113.872,113.605,112.761,113.212,114.943,112.915,110.173,109.199,108.669,108.604,107.985,108.58,108.578,108.502,107.999,107.248,106.426,104.944,102.582,99.883,96.951,96.454,94.085,91.722,90.508,88.274,87.941,86.103,84.406,81.752,79.853,78.709,76.758,75.657,75.754,74.878,74.99,74.764,74.874,75.325,76.044,74.971,75.221,75.631,75.44,75.604,76.527,76.943,77.599,78.631,78.708,80.118,81.978,83.474,85.091,85.901,85.949,86.152,87.314,88.735,90.315,90.699,93.124,93.32,94.797,96.66,97.428,97.91,97.13,97.964,98.922,98.087,97.289,97.32,96.239,96.474,96.235,95.225,96.181,96.94,96.446,98.14,98.633,100.936,102.291,101.99,102.217,102.057,102.152,103.463,103.416,104.146,103.397,103.946,104.608,105.004,103.634,101.654,100.788,101.003,100.977,100.254,100.713,101.502
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",14.669,14.939,15.19,15.45,15.714,15.945,16.145,16.374,16.538,16.714,16.921,17.086,17.297,17.436,17.742,17.956,18.028,18.442,19.07,19.402,20.022,20.791,21.317,21.82,22.326,22.729,23.484,23.855,24.327,24.647,25.094,25.502,26.129,26.518,27.024,27.335,27.901,28.404,29.118,29.717,30.515,31.141,32.048,32.993,34.081,35.051,35.809,36.898,37.97,38.853,39.744,40.765,41.475,41.909,42.793,43.4,43.887,44.418,44.941,45.466,46.075,46.676,47.086,47.508,47.975,48.469,48.918,49.496,49.897,50.107,50.536,51.122,51.65,52.249,52.969,53.636,54.452,55.33,56.151,56.975,57.803,58.494,59.138,59.721,60.487,61.135,61.888,62.774,63.383,64.179,64.764,65.392,65.909,66.469,67.091,67.601,68.072,68.642,69.048,69.528,69.951,70.424,71.112,71.717,72.116,72.573,73.013,73.536,74.003,74.617,75.038,75.572,76.037,76.436,76.93,77.488,78.133,78.889,79.363,79.692,80.159,80.789,81.483,82.287,82.96,83.977,84.864,85.709,86.605,87.42,88.075,88.344,89.061,89.914,90.624,91.212,92.085,92.645,93.45,94.25,94.874,95.906,96.754,97.18,98.462,99.2,100.502,101.837,102.403,103.301,104.074,104.693,105.79,106.395,107.162,107.979,108.646,109.462,110.147,110.12,110.247,110.641,111.438,112.221,112.553,113.322,113.967
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.558,9.735,9.904,10.093,10.302,10.487,10.64,10.778,10.851,10.965,11.092,11.211,11.36,11.461,11.679,11.808,11.899,12.129,12.514,12.727,13.083,13.516,13.899,14.249,14.558,14.855,15.351,15.651,15.935,16.237,16.619,16.854,17.226,17.578,17.84,18.042,18.46,18.821,19.267,19.748,20.297,20.678,21.187,21.844,22.654,23.243,24.002,24.843,25.665,26.161,27.035,28.036,28.885,29.459,30.349,31.115,31.901,32.408,33.112,33.838,34.478,35.076,35.635,36.227,36.724,37.307,37.713,38.116,38.733,39.25,39.806,40.477,41.035,41.731,42.411,43.109,43.978,44.974,45.949,46.947,48.046,49.136,50.254,51.367,52.31,53.443,54.731,55.986,57.127,58.123,59.179,60.274,61.466,62.579,63.613,64.727,65.588,66.271,66.999,67.572,68.167,68.736,69.488,70.055,70.863,71.375,71.822,72.548,73.105,73.624,74.044,74.537,74.839,75.319,75.562,75.766,76.172,76.683,77.058,77.466,78.01,78.481,78.958,79.527,80.281,80.864,81.959,82.602,83.188,84.016,84.726,85.333,86.01,86.824,88.047,89.109,90.271,91.404,92.407,93.568,94.759,95.815,96.69,97.424,98.569,99.385,100.361,101.685,102.532,103.655,104.759,105.568,106.588,107.423,108.204,109.603,110.317,111.19,111.982,112.487,113.428,114.277,115.28,116.359,117.088,117.972,118.563
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",22.988,23.265,23.535,23.813,24.072,24.344,24.615,24.961,25.277,25.566,25.807,25.955,26.205,26.383,26.582,26.75,26.936,27.307,27.67,28.056,28.538,29.248,30.085,30.821,31.425,31.907,32.388,32.915,33.415,33.815,34.344,34.88,35.461,36.004,36.605,37.142,37.734,38.388,39.05,39.751,40.291,41.174,41.931,42.803,43.845,44.825,45.82,46.934,47.975,48.876,49.772,50.65,51.382,52.072,52.904,53.645,54.375,54.797,55.631,56.078,56.642,57.305,57.845,58.261,58.972,59.436,59.937,60.436,61.099,61.641,62.22,62.818,63.404,63.955,64.593,65.249,65.929,66.721,67.492,68.21,68.999,69.606,70.087,70.733,71.604,72.548,73.288,73.91,74.665,75.29,76.04,76.699,77.426,77.998,78.477,78.973,79.41,79.915,80.283,80.663,81.064,81.586,82.136,82.56,83.042,83.536,83.947,84.361,84.722,85.107,85.527,86.026,86.439,86.906,87.128,87.452,87.748,88.071,88.41,88.738,89.081,89.391,89.692,90.054,90.606,90.885,91.256,91.696,92.251,92.606,92.815,93.285,93.604,94.157,94.644,94.976,95.204,95.569,95.985,96.379,96.957,97.592,98.078,98.527,99.229,99.768,100.172,100.831,101.325,102.057,102.63,103.154,103.905,104.344,104.901,105.633,106.301,106.998,107.569,107.735,107.973,108.583,108.99,109.551,109.887,110.171,110.318
"35","26","  Energy goods and services \5\","DNRGRG3",13.671,13.878,13.899,13.936,13.941,14.148,14.158,14.456,14.558,14.483,14.752,14.918,14.873,14.862,15.117,15.381,15.628,16.044,16.294,17.461,19.931,21.473,21.935,21.966,22.425,22.862,23.911,24.516,24.565,24.601,25.038,25.796,26.579,26.965,27.179,27.727,27.925,28.241,28.673,29.719,30.872,33.828,37.816,40.334,44.565,46.715,47.299,48.053,51.854,52.873,53.121,53.88,53.862,52.607,54.259,54.699,53.311,54.4,54.941,54.788,55.024,55.248,54.845,55.065,55.082,56.011,55.631,55.78,53.936,48.466,46.838,45.722,48.221,48.792,50.11,49.997,49.362,49.394,49.967,49.905,50.643,54.187,53.028,52.506,54.788,54.221,56.872,62.27,58.714,56.725,56.504,57.216,56.638,57.118,57.888,58.584,58.517,58.121,57.497,58.188,57.799,57.302,58.921,59.207,59.071,59.005,58.692,58.296,60.036,62.032,61.289,62.711,63.899,61.252,61.617,61.882,58.363,56.976,56.556,55.73,54.95,58.209,60.861,62.926,67.372,69.084,71.25,72.763,74.243,75.659,71.913,65.347,63.558,67.558,68.463,70.75,78.093,73.219,76.566,76.84,81.217,82.64,85.089,91.139,91.036,92.339,105.897,110.728,110.141,112.635,116.288,106.587,111.346,119.096,119.765,127.225,133.941,142.998,153.125,115.734,103.394,104.612,114.091,118.904,123.495,117.714,119.271
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.554,64.193,64.812,65.374,65.911,66.625,67.39,68.09,68.933,69.945,70.453,71.089,72.198,72.92,73.959,75.021,75.561,76.053,76.594,77.207,77.734,78.265,78.77,79.349,79.787,80.252,80.568,81.005,81.271,81.723,82.279,82.587,83.058,83.514,83.835,84.168,84.595,85.147,85.422,85.917,86.284,86.445,86.634,86.816,86.806,86.91,87.174,87.404,87.607,88.117,88.512,88.988,89.746,90.093,90.679,91.165,91.754,92.194,92.358,92.251,92.375,92.974,93.412,93.868,94.616,94.569,95.182,95.565,96.321,96.941,97.439,98.285,98.773,99.329,100.505,101.393,101.845,102.612,103.387,103.202,104.152,105.093,105.605,106.769,107.854,109.036,110.438,108.736,108.431,108.951,109.752,110.356,110.824,110.763,111.127
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.511,65.173,65.766,66.45,67.131,67.936,68.641,69.441,70.27,70.972,71.633,72.402,73.306,74.227,75.091,75.778,76.665,77.375,78.122,78.814,79.483,80.066,80.543,81.173,81.7,82.242,82.675,83.061,83.418,83.99,84.402,84.741,85.27,85.744,86.138,86.533,86.804,87.176,87.471,87.85,88.175,88.601,88.758,88.931,89.209,89.435,89.752,90.046,90.316,90.613,90.813,91.146,91.621,91.826,92.253,92.669,93.158,93.505,93.922,94.276,94.51,94.896,95.351,95.684,95.926,96.2,96.583,96.901,97.403,97.918,98.268,98.724,99.33,99.779,100.131,100.76,101.295,102.024,102.599,103.018,103.652,104.06,104.505,105.243,105.907,106.455,107.18,107.568,108.086,108.708,109.066,109.445,109.626,109.903,110.214
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
