"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","13","Services","DSERRA3",29.717,30.082,30.321,30.696,31.022,31.217,31.57,31.73,31.947,32.268,32.573,33.086,33.652,34.063,34.525,35.143,35.596,35.894,36.134,36.271,36.216,36.57,36.75,37.119,37.466,37.931,38.114,38.65,39.101,39.36,39.839,40.39,40.871,41.03,41.474,41.873,42.542,43.183,43.492,43.719,44.164,44.439,44.616,45.001,45.052,44.748,45.244,45.92,45.836,46.139,46.1,46.136,46.306,46.61,47.049,47.836,48.464,49.083,49.786,50.294,50.542,50.968,51.632,52.221,53.164,53.647,54.369,54.806,54.996,55.307,55.753,56.354,57.018,57.56,58.051,58.643,59.351,59.865,60.66,61.212,61.528,61.756,62.234,62.876,63.15,63.937,64.429,64.252,64.296,64.864,65.025,65.41,66.326,66.751,67.493,68.276,68.56,68.963,69.732,70.198,70.745,71.209,71.727,72.051,72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.34,104.756,105.11,105.512,106.014,106.007,105.655,105.803,105.37,104.919,104.797,104.936,104.952,105.366,105.775
"22","14","  Household consumption expenditures (for services)","DHCERA3",31.127,31.516,31.76,32.148,32.486,32.684,33.038,33.224,33.447,33.773,34.075,34.586,35.201,35.633,36.144,36.744,37.26,37.574,37.878,38.019,37.961,38.349,38.56,38.953,39.344,39.839,40.02,40.571,41.023,41.301,41.821,42.414,42.94,43.111,43.581,43.955,44.675,45.352,45.691,45.904,46.339,46.641,46.897,47.273,47.303,46.968,47.433,48.124,48.022,48.358,48.252,48.207,48.32,48.591,49.009,49.795,50.397,51.042,51.719,52.176,52.405,52.792,53.435,53.979,55.009,55.487,56.23,56.689,56.796,57.011,57.452,58.069,58.754,59.304,59.776,60.373,61.019,61.482,62.239,62.76,63.076,63.213,63.615,64.199,64.432,65.113,65.472,65.224,65.227,65.788,65.874,66.195,67.005,67.326,68.002,68.729,69.033,69.446,70.188,70.644,71.154,71.576,72.051,72.362,72.707,73.363,73.893,74.274,74.939,75.422,75.819,76.351,77.141,77.7,78.656,79.447,80.275,81.201,82.119,82.611,83.313,84.266,85.291,86.337,87.589,88.632,89.36,90.073,90.495,90.82,91.013,91.356,91.903,92.318,92.503,92.782,93.185,93.619,94.298,94.888,95.792,96.431,97.137,98.222,98.95,99.696,100.422,100.931,101.577,102.19,102.538,103.345,104.026,104.516,104.726,104.97,105.41,105.379,104.901,104.929,104.746,104.474,104.257,104.315,104.32,104.713,105.124
"23","15","    Housing and utilities","DHUTRA3",34.448,34.788,35.339,35.766,35.979,36.195,36.615,36.937,37.343,37.763,38.149,38.749,39.2,39.762,40.187,40.982,41.137,41.649,42.259,42.574,42.881,43.694,44.248,44.719,44.714,45.3,45.575,45.576,45.897,46.189,46.725,47.482,47.583,47.344,48.113,48.439,49.381,49.932,50.337,50.94,51.611,51.777,51.89,52.436,52.981,53.348,53.823,54.293,53.805,54.672,54.631,54.884,55.119,54.723,54.704,54.898,54.968,55.605,56.55,57.199,57.171,57.963,58.265,58.87,59.88,59.575,60.416,61.191,60.842,61.259,61.772,62.335,62.525,63.17,63.74,64.255,64.927,65.163,65.851,66.288,66.696,66.787,67.2,68.27,67.487,68.405,68.88,69.005,69.068,70.081,70.333,70.415,70.55,71.2,71.53,72.214,72.498,72.639,73.661,74.261,75.134,75.94,76.249,76.586,76.912,77.839,78.614,78.699,79.499,79.654,79.488,80.2,80.468,81.178,81.675,82.776,82.908,83.935,84.614,84.587,85.557,86.439,87.348,87.317,87.699,88.845,89.625,91.081,91.575,91.503,91.895,91.836,91.843,92.241,92.406,92.973,93.219,93.404,93.408,94.031,94.54,95.05,95.569,97.132,98.342,99.677,100.721,101.26,101.017,102.211,102.825,102.509,102.713,102.651,102.89,102.742,103.379,103.457,103.033,104.226,104.251,104.367,104.835,105.275,105.147,105.437,106.326
"24","16","    Health care","DHLCRA3",28.843,29.207,29.385,29.703,30.233,30.397,30.979,31.816,32.134,32.74,33.437,33.994,34.519,35.108,35.598,36.141,37.14,37.806,38.166,38.419,38.763,39.137,39.272,39.568,40.587,41.216,41.025,41.985,42.388,42.812,43.209,43.619,44.082,45.069,45.54,45.679,46.495,47.223,47.309,47.609,47.879,48.557,49.055,49.496,49.575,49.202,50.39,51.431,51.934,52.859,52.988,52.488,52.158,52.515,52.773,53.331,53.71,54.304,54.431,54.628,54.966,54.97,55.205,55.448,55.897,56.326,57.178,57.922,58.212,58.272,58.674,59.263,59.961,60.686,61.522,62,62.726,63.209,63.821,64.01,64.166,63.953,63.968,64.582,65.391,66.182,66.791,66.945,66.889,67.283,67.755,68.465,69.042,69.603,69.99,69.921,70.027,69.918,69.992,70.029,70.156,70.383,70.622,70.997,71.452,71.782,72.214,72.555,72.587,73.301,73.574,74.496,74.897,75.301,76.082,76.805,77.763,78.133,78.491,78.543,78.712,79.024,79.665,80.419,80.888,81.957,82.514,83.384,84.587,85.546,86.807,88.194,89.932,91.213,91.918,92.398,92.828,93.077,93.638,94.154,94.792,95.816,97.085,97.927,99.126,99.63,100.408,100.836,101.624,101.77,101.506,102.412,103.57,103.973,104.326,105.038,106.501,107.223,107.156,107.712,108.669,109.583,109.547,110.028,109.932,110.766,111.09
"25","17","    Transportation services","DTRSRA3",30.337,30.801,31.266,31.818,31.815,31.944,32.409,32.399,32.676,33.275,33.748,34.307,34.922,35.229,35.607,35.946,36.046,36.043,36.019,35.952,36.369,36.339,36.178,35.979,35.993,36.35,36.999,37.474,38.097,38.403,38.524,39.128,40.35,41.002,41.817,41.873,41.775,42.492,42.532,42.225,43.314,43.777,43.626,43.41,42.243,40.559,40.69,40.315,40.19,39.239,39.389,38.892,38.3,38.21,38.511,39.259,40.279,40.681,41.849,43.096,44.493,45.768,46.835,48.259,49.801,51.077,51.64,52.261,52.906,53.014,53.801,53.967,54.568,55.47,56.046,56.369,57.374,58.351,59.322,60.254,60.104,60.134,60.25,60.104,60.244,60.403,60.158,59.534,57.58,57.254,56.889,57.201,58.266,59.225,61.482,61.532,61.841,62.849,63.965,65.466,67.11,68.717,70.352,72.029,72.993,73.81,75.379,77,78.916,80.154,81.499,83.133,85.499,86.54,87.858,88.222,89.022,90.122,91.146,92.318,93.606,94.738,96.612,97.681,98.952,100,100.608,100.892,100.921,100.425,98.544,96.874,97.143,96.309,96.206,96.27,96.479,96.015,97.138,97.545,98.233,99.046,99.218,99.764,99.755,100.074,100.457,99.714,99.044,99.585,99.522,100.57,101.146,101.131,100.677,100.001,98.702,96.962,94.903,91.477,88.98,87.892,87.192,86.966,87.71,88.602,89.452
"26","18","    Recreation services","DRCARA3",17.543,17.848,17.653,17.843,18.255,18.287,18.411,18.454,18.554,18.805,18.969,19.588,19.563,19.79,20.089,20.51,21.209,21.641,21.764,22.142,22.405,22.841,23.402,23.978,24.134,24.009,24.399,24.863,25.125,25.594,26.445,26.956,26.838,27.337,27.979,28.55,28.689,28.756,29.274,29.356,29.946,30.27,30.618,30.894,31.162,30.928,31.369,32.383,32.882,33.992,34.814,34.832,35.282,35.534,35.946,36.377,37.334,38.521,39.433,40.077,40.591,41.02,41.699,42.377,43.238,44.092,44.741,45.596,45.839,46.028,46.489,47.531,47.835,48.171,48.708,49.616,51.076,52.662,54.026,55.026,55.885,56.396,56.847,56.935,58.028,59.028,59.243,59.565,58.479,58.194,58.385,59.12,61.199,61.878,62.633,63.954,64.863,65.804,67.28,67.46,68.124,69.26,70.54,71.053,72.76,74.659,75.794,76.986,77.194,78.008,79.203,79.364,80.135,80.703,81.029,81.863,82.87,82.944,83.977,84.725,85.476,86.85,88.742,89.768,89.72,90.513,90.665,90.469,91.197,90.267,89.781,89.716,90.323,90.466,90.708,91.726,91.513,92.77,94.144,95.487,97.09,98.093,98.595,98.783,99.764,99.813,99.917,100.506,101.721,102.221,103.467,105.647,106.141,107.174,108.305,108.317,108.226,107.887,106.654,105.697,105.83,105.065,103.883,103.61,103.584,103.498,104.59
"27","19","    Food services and accommodations","DFSARA3",38.805,39.647,39.367,39.594,40.467,40.915,40.974,40.511,40.091,40.38,40.775,41.445,42.783,43.412,44.21,44.71,46.033,45.608,46.151,46.057,45.34,45.584,45.448,45.794,46.23,47.321,47.278,48.912,49.72,50.027,50.824,50.615,52.729,51.926,51.064,50.845,52.061,53.52,54.694,55.044,55.72,54.888,55.091,56.295,55.78,55.06,55.19,56.064,56.623,56.455,55.787,55.447,55.394,56.256,56.833,57.309,57.828,57.964,58.725,58.699,59.641,59.348,60.349,60.332,60.482,61.078,60.742,60.561,61.674,62.296,62.534,63.38,64.569,65.353,65.621,67.327,67.374,68.915,70.626,71.592,71.293,71.128,71.765,72.017,73.644,74.249,74.768,73.732,73.139,74.552,74.423,74.464,76.344,74.72,75.216,77.854,77.141,77.639,78.353,77.957,77.937,78.919,79.531,79.639,79.083,79.215,79.324,79.171,79.185,79.582,79.697,80.418,81.213,81.188,82.051,81.483,82.392,83.41,83.726,84.897,84.612,85.124,85.468,87.476,88.902,89.685,90.002,89.712,90.381,89.504,89.021,88.894,90.197,90.899,91.071,91.222,91.875,93.263,95.028,95.661,96.338,96.355,96.893,97.805,98.326,99.84,100.36,101.474,103.684,102.548,102.542,103.632,103.585,104.535,105.294,106.305,104.881,105.256,104.33,102.471,101.319,100.368,100.009,100.15,101.838,102.476,103.175
"28","20","    Financial services and insurance","DIFSRA3",22.608,22.89,23.024,23.449,23.375,23.642,24.002,24.35,24.752,24.719,24.684,24.7,25.575,25.791,26.447,26.792,27.325,27.556,27.722,28.011,27.375,27.78,28.661,29.468,30.625,30.919,31.033,31.539,32.04,32.399,32.896,33.546,33.995,34.353,34.971,35.718,35.948,36.798,36.681,36.668,36.562,37.967,38.182,37.861,38.215,37.307,38.037,38.921,38.263,37.915,37.343,37.731,38.421,39.479,41.169,44.016,45.877,46.422,47.281,46.955,46.168,46.569,47.606,47.943,50.674,51.671,52.859,53.042,53.293,53.529,53.644,54.365,54.434,54.014,53.633,53.727,53.693,53.776,53.74,54.3,55.035,55.462,56.279,56.947,56.77,57.126,57.368,57.607,60.46,61.328,60.884,61.448,62.294,61.819,62.805,64.058,66.115,67.632,68.353,69.399,69.376,68.19,68.059,67.751,67.645,68.43,69.09,69.552,70.708,71.375,71.083,71.844,72.571,72.728,74.559,74.957,75.823,77.605,79.22,80.918,81.792,83.908,85.661,88.581,92.952,93.204,93.528,93.8,92.494,92.456,92.132,93.792,92.942,92.32,92.527,91.739,90.914,91.66,92.735,93.917,95.863,96.364,96.915,99.158,98.678,99.738,100.642,100.942,101.882,102.623,103.229,105.073,106.067,107.442,108.025,108.646,108.74,108.351,108.444,107.197,105.795,104.715,103.758,102.793,102.074,102.364,101.14
"29","21","    Other services","DOTSRA3",34.12,34.408,34.665,35.125,35.598,35.668,35.905,35.601,35.671,35.763,35.708,36.212,36.811,37.013,37.524,38.243,38.476,38.671,38.491,38.187,37.64,37.468,36.8,36.978,37.052,37.322,37.624,38.106,38.562,38.465,38.907,39.894,40.239,40.481,40.946,41.808,42.648,43.036,43.357,43.086,43.168,43.106,43.567,43.813,43.337,43.007,42.792,43.544,43.242,43.041,42.801,42.736,42.958,43.57,43.964,44.901,45.523,46.585,46.868,47.856,48.177,48.297,49.38,50.349,51.176,52.306,53.222,53.111,52.783,52.524,53.151,53.679,55.757,56.506,57.103,57.678,58.716,58.497,59.306,59.752,60.146,60.753,61.278,61.5,62.018,62.487,62.534,60.895,60.006,59.734,59.631,59.623,60.757,61.724,62.735,63.067,62.554,62.851,63.738,64.363,65.115,65.368,66.233,66.442,66.849,67.187,66.888,67.38,68.537,68.739,70.599,69.476,71.413,72.519,74.052,75.799,77.66,78.727,80.739,81.022,82.342,83.481,84.486,85.787,87.637,89.465,91.338,91.925,92.285,94.387,94.371,93.886,94.326,94.619,94.048,94.197,96.133,96.451,97.161,96.996,98.154,98.729,99.396,99.552,99.922,99.526,99.881,100.671,101.819,103.157,103.767,104.922,106.098,106.714,105.766,105.589,106.346,105.649,105.058,105.946,105.924,104.555,103.974,103.65,103.334,103.132,103.565
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",7.901,7.943,8.048,8.191,8.304,8.398,8.606,8.51,8.602,8.763,8.975,9.304,9.286,9.394,9.314,9.823,9.643,9.706,9.388,9.441,9.427,9.401,9.294,9.354,9.255,9.321,9.443,9.658,9.921,9.941,9.943,9.98,9.951,9.963,10.051,10.463,10.501,10.633,10.612,10.845,11.179,11.156,10.709,11.002,11.171,11.215,11.723,12.033,12.102,12.047,12.52,13.157,13.712,14.184,14.655,15.202,15.869,16.066,16.808,17.682,18.054,18.759,19.484,20.415,20.185,20.62,20.949,21.033,22.135,23.531,23.949,24.23,24.53,24.869,25.514,25.945,27.354,28.459,29.638,30.543,30.819,32.365,33.944,35.427,36.345,38.862,41.635,42.782,43.63,44.346,45.984,47.641,50.749,53.451,55.692,57.779,57.637,57.828,59.281,59.986,61.451,62.96,64.551,65.221,65.528,66.143,66.439,67.766,70.047,70.897,71.44,69.626,65.803,65.332,65.273,66.223,68.377,70.549,73.097,75.585,76.119,76.68,77.273,78.216,80.715,81.074,84.048,86.461,86.921,88.665,90.106,91.95,93.592,95.758,99.397,101.86,101.654,103,102.778,102.413,102.788,101.869,101.356,101.905,99.699,99.807,99.391,101.103,104.068,108.42,113.574,113.778,112.512,110.942,115.149,119.786,121.963,122.584,125.723,129.239,121.783,116.293,118.919,121.393,121.755,122.788,123.106
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",25.809,26.167,26.412,26.816,27.187,27.27,27.784,28.089,28.57,29.253,29.844,30.36,30.82,31.162,31.294,31.798,32.092,32.417,31.89,32.259,32.231,32.64,32.542,32.762,33.187,33.689,33.578,34.636,35.259,35.316,35.673,35.949,36.321,36.87,36.828,37.545,38.162,39.054,39.174,39.494,39.808,40.174,39.878,40.46,40.662,40.506,41.66,42.199,42.371,42.846,43.102,43.502,43.858,44.596,44.964,45.582,45.977,46.269,46.445,46.961,47.311,47.749,48.157,48.794,48.917,49.243,49.975,50.625,51.424,52.185,52.36,52.72,53.257,53.92,54.684,55.133,56.115,56.85,57.813,58.179,58.389,58.927,59.54,60.347,61.169,62.448,63.691,63.892,64.011,64.653,65.415,66.432,67.42,68.33,69.195,69.589,69.878,70.061,70.627,70.724,71.031,71.55,72.126,72.533,72.33,72.577,72.824,73.334,73.657,74.49,74.95,75.733,75.211,75.418,76.09,76.859,78.312,79.113,80.195,81.018,81.558,81.998,82.64,83.527,84.258,85.082,86.048,87.152,88.141,89.083,90.301,91.622,93.215,94.666,95.856,96.359,96.254,96.422,96.547,96.775,97.355,97.91,98.797,99.522,99.655,99.72,99.98,100.645,101.926,102.788,103.328,104.023,105.084,105.095,105.361,106.379,107.513,107.903,108.203,109.388,108.938,108.733,108.648,109.087,108.846,109.744,110.064
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",37.094,37.739,38.034,38.576,39.111,39.099,39.746,40.538,41.336,42.409,43.2,43.616,44.576,45.063,45.48,45.54,46.467,47.002,46.54,47.186,47.154,48.035,48.043,48.373,49.426,50.316,49.857,51.586,52.347,52.423,53.139,53.623,54.423,55.501,55.254,55.931,57.098,58.641,58.918,59.132,59.153,59.925,60.147,60.774,60.871,60.481,61.865,62.389,62.603,63.627,63.341,63.101,62.949,63.665,63.696,64.107,63.972,64.257,63.682,63.598,63.805,63.812,63.761,63.916,64.374,64.512,65.452,66.486,66.79,66.787,66.706,67.069,67.713,68.532,69.26,69.646,70.118,70.444,71.102,71.018,71.156,70.94,70.858,71.175,71.879,72.359,72.696,72.401,72.166,72.766,73.095,73.793,73.818,73.958,74.259,73.998,74.467,74.659,74.907,74.783,74.67,74.836,75.055,75.372,74.994,75.119,75.351,75.585,75.25,76.079,76.513,78.176,78.772,79.213,80.142,80.858,82.077,82.397,82.957,83.182,83.722,84.118,84.778,85.647,85.734,86.734,86.959,87.58,88.77,89.41,90.545,91.671,93.245,94.434,94.735,94.545,94.486,94.257,94.507,94.938,95.589,96.625,97.97,98.754,99.64,99.692,100.172,100.497,101.231,100.974,100.05,100.902,102.695,103.201,102.239,102.137,102.95,103.271,102.71,103.199,104.825,106.152,105.3,105.166,104.756,105.613,105.933
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",25.999,26.234,26.37,26.539,26.646,26.809,27.032,26.883,27.477,27.786,28.136,28.689,29.194,29.673,30.194,30.924,31.745,31.852,31.962,31.978,31.902,31.987,31.959,31.39,31.778,32.206,32.767,33.347,33.966,34.185,34.544,34.926,35.476,35.843,36.185,36.777,37.021,38.126,38.343,38.658,38.805,38.91,39.416,39.487,39.375,38.365,39.008,39.723,40.092,39.927,40.188,39.702,39.961,40.165,40.591,41.431,41.935,42.863,43.61,44.421,45.038,45.607,46.06,46.763,47.593,48.185,49.17,49.178,49.655,50.252,51.331,51.601,51.596,52.304,53.06,53.191,54.057,54.43,54.893,55.623,55.811,56.205,56.838,56.919,57.727,57.745,57.952,57.556,57.41,57.739,58.004,58.128,59.287,59.62,60.394,61.147,61.438,62.13,62.754,63.385,64.117,64.568,65.224,65.984,66.054,66.614,67.254,67.815,68.384,69.268,69.858,70.441,71.246,71.56,72.927,73.779,74.687,75.982,77.058,78.478,79.211,80.472,81.481,82.775,84.404,85.04,85.948,86.625,87.098,87.603,88.015,89.595,89.969,90.364,91,91.227,91.665,92.694,94.056,94.594,95.458,96.042,97.027,98.091,98.785,99.85,100.535,100.83,102.337,102.732,103.336,104.492,105.156,105.697,106.149,106.619,106.44,106.582,105.94,104.824,104.654,104.112,104.548,104.657,105.176,105.85,106.343
"35","26","  Energy goods and services \5\","DNRGRA3",56.139,56.195,57.003,58.097,58.909,58.6,59.604,59.394,60.505,61.351,60.917,61.265,62.164,63.235,64.099,67.116,66.913,66.971,67.907,66.776,60.935,63.436,64.713,66.441,65.232,66.95,66.629,65.52,67.078,67.847,69.389,72.386,71.243,69.69,71.938,71.956,73.324,73.534,72.784,72.859,75.05,72.174,70.564,70.272,69.567,68.181,68.03,68.457,66.803,68.062,67.546,67.835,69.075,68.34,67.233,67.095,67.595,68.825,70.705,71.267,69.729,71.507,70.853,71.263,73.296,71.172,72.233,73.058,72.365,73.706,74.4,75.468,74.45,77.09,75.923,76.357,78.282,78.553,79.301,79.566,80.115,78.982,79.261,83.129,77.394,79.45,80.443,78.481,77.823,81.037,80.694,79.187,79.179,81.366,81.384,82.781,82.937,82.767,85.513,85.265,85.952,86.507,85.113,83.758,84.451,86.726,87.849,86.915,89.551,89.168,87.132,88.272,87.59,88.808,88.749,91.198,89.948,92.792,93.526,90.597,92.148,94.278,95.069,92.992,90.618,93.91,94.627,96.941,95.937,92.454,93.501,93.003,93.188,95.624,96.213,97.692,97.526,97.786,97.59,99.428,99.772,99.619,98.018,99.81,100.332,100.353,100.098,99.217,95.722,97.702,99.002,97.493,98.143,97.77,98.151,96.4,95.957,94.624,90.687,94.55,94.658,94.204,95.079,95.882,95.243,96.051,98.292
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.825,55.617,56.321,56.435,57.365,57.814,58.293,58.989,59.193,59.426,59.991,60.228,60.692,60.808,60.961,60.452,60.013,60.505,60.755,60.671,61.741,62.055,62.667,63.351,63.518,64.053,64.692,65.228,65.942,66.493,67.042,67.799,67.848,68.432,69.161,69.647,70.198,71.043,71.359,72.195,72.897,73.191,74.482,75.344,75.993,77.333,78.257,79.437,80.324,81.555,82.518,83.681,84.753,85.595,86.347,87.18,87.593,87.731,88.139,89.59,89.902,90.463,91.161,91.466,91.879,92.849,94.145,94.67,95.497,95.908,96.747,97.916,98.724,99.865,100.632,100.779,101.787,102.253,102.749,103.738,104.452,104.824,105.284,105.603,105.279,105.391,104.304,103.153,103.24,103.094,103.711,104.024,104.604,105.239,105.835
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.778,52.555,53.434,53.542,54.396,54.806,55.304,56.06,56.232,56.612,57.195,57.184,58.03,57.926,58.042,57.613,57.159,57.513,57.805,57.885,59.09,59.359,60.06,60.718,60.91,61.524,62.071,62.66,63.372,63.885,64.574,65.452,65.486,66.075,66.85,67.419,67.879,68.831,69.316,70.189,70.977,71.291,72.729,73.59,74.407,75.737,76.703,78.13,78.971,80.193,81.184,82.496,83.948,84.608,85.425,86.163,86.73,87.037,87.475,89.16,89.547,90.05,90.786,90.976,91.338,92.525,93.896,94.442,95.213,95.684,96.714,97.831,98.606,99.91,100.659,100.826,102.275,102.548,102.987,104.114,104.913,105.444,105.911,106.343,106.027,106.294,105.525,104.04,104.133,103.898,104.456,104.627,105.268,106.038,106.477
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
