"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"75","68","    Transportation services","DTRSRA3",31.055,32.142,33.502,35.426,36.015,36.216,36.704,38.538,41.26,42.256,43.532,40.952,39.427,38.57,41.476,46.339,51.195,53.422,55.613,58.825,60.148,60.085,57.231,60.126,63.53,69.552,74.795,80.925,87.03,90.652,95.659,100.113,99.191,96.482,96.794,99.065,100,99.68,100.739,95.511,87.758
"76","69","      Motor vehicle services","DMVSRA3",28.851,30.559,32.186,33.641,33.534,32.632,33.83,35.266,38.088,39.129,40.156,38.52,38.586,37.223,40.34,45.885,52.236,53.395,55.958,59.644,61.104,60.518,56.372,60.355,64.534,70.789,76.918,83.411,90.6,93.427,98.419,102.013,101.626,97.467,96.851,98.08,100,99.972,100.739,95.741,87.222
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",37.408,39.439,41.327,43.014,42.809,41.603,43.035,44.809,48.428,49.788,51.202,48.586,48.344,46.707,50.893,56.762,64.351,65.835,69.438,74.085,75.609,74.244,66.871,68.561,71.265,76.12,80.445,84.02,86.958,90.052,93.175,95.976,97.427,96.089,97.933,98.995,100,97.193,97.292,91.255,84.744
"78","71","        Other motor vehicle services (61)","DOVSRA3",9.476,10.388,11.369,12.268,12.372,12.163,12.828,13.501,14.501,14.803,14.916,15.664,16.523,15.761,16.393,21.419,25.03,25.454,25.684,27.212,28.519,29.668,32.762,42.039,49.694,59.23,69.516,82.746,100.009,102.211,111.832,117.424,112.393,100.97,93.802,95.488,100,108.011,110.755,108.912,94.425
"79","72","      Public transportation","DPUBRA3",35.185,34.929,35.709,38.578,40.627,43.21,42.109,44.781,47.206,48.07,49.881,45.295,40.66,40.792,43.239,46.674,48.45,52.925,54.264,56.401,57.413,58.474,58.482,58.91,60.547,65.97,69.072,74.275,77.726,83.195,88.197,94.692,92.438,93.671,96.597,101.786,100,98.896,100.733,94.9,89.224
"80","73","        Ground transportation (63)","DGRDRA3",88.141,86.757,86.631,88.179,89.374,92.972,90.478,91.127,91.384,88.724,88.826,80.494,73.562,70.499,69.922,70.487,71.029,67.021,65.811,71.103,72.741,76.106,78.649,79.624,82.204,85.154,87.047,84.703,86.299,93.208,97.248,99.827,102.136,101.171,96.472,99.344,100,102.779,101.816,101.556,95.439
"81","74","        Air transportation (64)","DAITRA3",19.88,19.951,21.012,24.338,26.681,28.99,28.286,31.568,34.647,36.566,38.903,35.358,31.395,32.379,35.646,39.822,41.801,49.179,51.463,52.408,53.314,53.842,53.216,53.609,54.656,60.646,63.564,71.388,75.3,80.305,85.729,93.5,88.523,90.715,97.193,103.488,100,96.518,99.61,90.371,84.737
"82","75","        Water transportation (65)","DWATRA3",0.452,0.485,0.511,0.588,0.691,0.762,0.758,0.851,0.954,0.995,1.16,1.275,1.356,1.498,2.934,5.712,9.34,12.806,13.924,15.899,14.708,11.042,6.612,4.373,8.926,18.202,29.54,40.654,47.904,50.513,54.333,64.644,74.13,77.116,87.982,96.123,100,103.472,110.272,113.863,112.539
"83","76","    Recreation services","DRCARA3",17.722,18.352,18.979,19.988,21.689,23.157,24.351,26.03,27.676,29.019,30.432,31.461,34.13,35.785,38.841,41.422,44.417,46.472,48.583,53.197,56.516,58.966,58.544,62.416,66.352,69.744,75.05,78.442,80.933,83.629,87.709,90.342,90.24,90.806,93.478,98.141,100,103.264,107.484,107.116,104.597
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",31.394,32.106,32.621,33.693,35.191,37.678,39.232,40.399,43.269,45.036,46.537,48.033,51.011,52.639,55.349,57.119,59.451,60.144,60.887,65.641,70.49,73.503,73.305,78.68,81.679,82.842,87.664,90.846,93.239,95.958,96.089,96.67,95.529,96.146,96.858,98.932,100,102.88,105.488,106.499,103.018
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",14.855,15.988,16.92,17.547,20.034,22.083,23.817,26.917,28.325,29.113,30.911,32.082,34.877,36.734,42.086,46.167,51.017,54.821,58.469,64.286,68.134,70.102,68.376,70.978,73.261,73.84,78.023,79.213,79.521,83.05,88.684,92.34,93.227,90.486,92.985,98.856,100,102.009,108.45,110.153,109.298
"86","79","      Gambling (91)","DGAMRA3",7.666,7.951,8.551,9.645,11.061,11.409,11.864,12.78,13.474,14.816,15.332,15.803,18.18,19.724,21.637,23.629,25.93,27.718,29.287,32.825,33.994,36.027,36.228,40.192,46.429,54.099,60.557,65.29,69.295,69.993,76.391,80.108,80.723,84.061,89.81,97.047,100,105.211,109.045,106.047,103.954
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRA3",12.619,12.352,12.502,14.242,15.153,15.06,15.794,17.431,18.646,20.026,22.791,23.636,25.558,26.86,28.41,31.23,33.431,35.968,40.03,44.082,47.583,50.567,50.912,52.759,56.875,61.757,67.883,73.609,77.616,84.117,90.071,93.569,92.171,93.262,94.051,96.76,100,102.237,107.17,104.509,99.784
"88","81","    Food services and accommodations","DFSARA3",39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.93,104.234,100.461
"89","82","      Food services","DFSERA3",40.765,42.174,42.226,44.959,47.119,46.577,48.494,51.314,52.675,55.026,56.704,56.844,57.227,57.851,59.715,61.028,61.611,63.452,66.567,70.702,72.691,75.418,75.417,76.931,79.055,80.094,80.205,80.33,81.468,83.764,85.849,89.615,90.329,91.647,94.66,97.316,100,103.142,104.917,103.695,100.252
"90","83","        Purchased meals and beverages (102)","DPMBRA3",39.381,40.985,41.235,44.099,46.314,45.525,47.344,50.075,51.562,53.852,55.471,55.547,55.87,56.486,58.576,60.055,60.815,62.897,66.272,70.484,72.491,75.286,75.304,76.851,79.002,80.04,80.125,80.246,81.414,83.759,85.874,89.712,90.415,91.743,94.769,97.436,100,102.954,104.736,103.543,100.018
"91","84","        Food furnished to employees (including military) (103)","DFOORA3",90.72,84.939,77.776,75.603,75.726,84.149,89.599,95.605,92.43,96.941,100.762,103.143,105.667,106.58,100.402,95.833,90.093,83.356,77.128,78.509,79.875,80.12,79.447,79.773,80.939,82.002,83.05,83.31,83.399,83.891,84.854,85.99,87.099,88.024,90.577,92.8,100,110.193,111.745,109.379,109.055
"92","85","      Accommodations (104)","DACCRA3",28.161,29.165,28.267,34.826,37.315,38.022,39.789,43.22,44.481,45.243,46.9,45.91,47.962,46.221,48.049,52.089,54.572,55.684,59.962,62.23,63.689,64.944,65.336,69.934,68.93,71.54,72.297,75.542,81.506,82.481,84.404,89.2,83.666,85.585,89.336,93.792,100,102.841,105.005,107.699,101.698
"93","86","    Financial services and insurance","DIFSRA3",22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,107.545,108.183,104.265
"94","87","      Financial services","DFNLRA3",13.799,14.345,15.553,16.457,17.26,17.598,20.341,21.726,23.39,24.249,24.596,24.505,24.108,27.194,35.25,35.528,40.824,43.093,43.397,41.582,43.039,43.887,46.655,48.601,54.546,57.056,58.948,65.063,68.802,74.813,84.388,94.796,93.513,93.466,92.032,97.042,100,104.88,111.898,113.811,110.03
"95","88","        Financial services furnished without payment (107)","DIMPRA3",19.424,21.84,23.999,25.75,28.139,29.156,34.61,36.649,39.881,41.429,41.398,39.814,38.822,43.756,58.165,57.668,66.422,66.88,67.307,65.124,65.892,67.042,69.976,70.466,78.359,81.019,81.756,88.635,90.809,91.68,95.442,98.55,99.239,97.29,91.942,99.046,100,101.009,108.131,115.476,110.965
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRA3",9.18,8.081,8.49,8.703,8.21,7.942,8.289,9.142,9.469,9.745,10.45,11.656,11.741,13.276,16.207,17.03,19.452,22.945,23.139,21.694,23.553,24.119,26.551,29.476,33.631,35.869,38.53,43.732,48.503,58.575,73.208,90.684,87.348,89.333,92.162,94.905,100,108.949,115.861,112.005,109.03
"97","90","      Insurance","DINSRA3",45.834,47.411,47.005,49.743,53.02,54.544,56.168,58.312,61.004,65.081,68.327,70.536,70.636,72.379,70.253,71.061,74.47,74.085,74.092,79.422,82.809,85.077,91.131,92.09,94.886,90.82,87.856,83.272,83.192,85.288,86.23,90.943,91.39,90.561,92.736,97.124,100,100.695,101.069,99.816,95.703
"98","91","        Life insurance (110)","DLIFRA3",65.673,68.161,65.735,67.593,71.75,72.09,74.529,81.809,83.869,89.031,91.608,95.322,96.198,101.069,96.801,96.997,100.34,93.802,85.465,96.101,106.038,109.911,129.428,126.777,134.984,120.963,116.029,104.527,105.173,101.101,97.995,104.231,99.018,87.292,85.18,95.96,100,102.863,103.103,101.518,93.719
"99","92","        Net household insurance (111)","DFINRA3",56.871,61.116,62.961,69.209,78.212,98.667,105.024,100.304,108.539,128.434,138.271,135.053,128.047,122.295,118.732,122.326,121.256,120.002,129.707,138.816,138.965,131.971,125.738,114.273,106.796,107.406,101.045,102.531,92.849,105.887,106.558,106.154,105.68,96.654,89.654,98.121,100,97.186,112.254,113.709,108.608
"100","93","        Net health insurance (112)","DHINRA3",30.5,32.112,32.41,34.505,36.4,38.163,40.201,42.631,44.843,47.285,51.546,53.812,52.942,52.628,50.81,52.141,56.278,58.631,62.932,65.866,66.524,68.331,69.971,73.779,75.041,74.146,70.658,67.45,66.49,71.323,74.255,80.012,83.169,88.631,94.509,96.294,100,100.094,100.16,99.641,97.411
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRA3",54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.986,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.46,96.477,92.332
"102","95","    Other services","DOTSRA3",34.58,35.693,35.839,37.398,38.456,37.221,37.526,38.957,40.869,43.032,43.413,43.17,42.955,43.849,46.708,49.051,52.454,53.034,56.761,59.068,60.919,61.983,59.749,62.071,63.377,65.789,67.076,69.338,73.446,79.537,84.024,90.091,93.733,94.298,96.685,98.958,100,103.416,106.042,105.75,104.526
"103","96","      Communication","DCOMRA3",11.438,12.238,12.649,13.458,14.769,15.345,16.775,17.804,19.068,20.721,22.338,23.589,24.002,24.774,25.675,26.088,27.646,28.753,30.997,32.592,34.596,36.08,37.247,40.842,42.911,45.744,48.244,52.637,58.053,63.555,71.734,82.602,88.124,90.421,92.57,96.866,100,107.698,117.289,120.345,119.855
"104","97","        Telecommunication services (71)","DTCSRA3",11.086,11.914,12.429,13.253,14.697,15.49,17.123,18.481,19.873,21.756,23.516,24.796,25.359,26.186,27.086,27.303,29.12,30.227,32.62,34.61,37.053,38.809,40.591,45,47.311,50.228,52.833,57.448,63.571,69.301,76.627,85.815,92.189,93.207,93.842,97.299,100,107.345,109.546,111.328,109.396
"105","98","        Postal and delivery services (68)","DPSSRA3",91.1,94.689,92.012,96.443,98.438,92.186,92.455,85.923,89.134,91.303,96.442,103.033,100.813,103.712,109.111,117.93,118.88,125.542,134.241,131.414,130.252,130.415,119.368,117.489,120.816,126.986,125.415,129.474,131.303,132.334,129.117,128.247,119.847,111.312,101.262,100.705,100,96.837,96.65,91.587,81.853
"106","99","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.736,5.75,9.281,11.937,17.315,32.371,54.635,59.53,70.953,83.828,93.585,100,113.009,169.006,183.889,197.117
"107","100","      Education services","DTEDRA3",60.631,64.492,67.41,69.834,72.092,69.723,71.626,73.592,74.266,77.808,78.105,78.11,77.51,76.337,77.765,78.204,79.297,79.856,81.357,84.635,88.307,90.025,89.27,89.422,88.217,88.565,89.768,92.349,94.915,97.697,99.966,103.466,105.378,103.004,102.231,100.182,100,100.668,102.236,103.753,104.224
"108","101","        Higher education (97)","DHEDRA3",57.676,62.74,67.024,69.965,72.657,71.878,71.585,72.636,74.135,74.772,77.001,79.263,80.972,82.186,82.314,81.528,81.007,81.252,81.71,82.829,84.981,86.678,86.975,86.574,84.971,84.965,85.562,87.9,90.921,94.02,96.945,100.988,103.785,101.922,102.007,99.961,100,100.4,101.286,103.034,104.669
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRA3",103.874,106.339,110.387,115.789,115.603,111.55,112.79,110.428,108.038,122.229,120.102,118.499,112.297,103.4,105.654,106.587,107.48,105.525,106.782,107.109,113.721,115.515,112.788,112.306,109.197,108.072,107.72,107.572,105.473,102.862,102.82,102.242,102.594,100.739,100.212,100.234,100,100.652,102.19,102.416,101.739
"110","103","        Commercial and vocational schools (99)","DVEDRA3",32.851,34.493,33.738,33.183,35.583,31.561,37.507,43.467,44.458,46.293,44.631,41.806,40.673,40.061,43.246,45.782,50.405,53.49,57.614,68.429,73.446,75.113,73.176,75.583,77.537,80.595,85.569,91.905,97.775,105.254,107.657,113.695,114.194,109.42,105.274,100.937,100,101.672,105.814,107.851,105.081
"111","104","      Professional and other services (121)","DPRSRA3",54.121,56.185,56.852,58.145,60.606,61.217,60.551,63.366,65.871,69.839,68.517,67.74,68.148,66.623,64.996,67.119,71.683,74.005,76.283,82.07,84.542,86.483,84.951,87.015,87.114,86.631,85.49,86.979,88.373,91.075,93.214,93.767,95.678,95.566,99.299,99.835,100,100.361,102.036,101.14,96.285
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRA3",50.677,49.614,46.92,47.951,47.968,44.994,43.824,43.836,45.883,46.266,44.321,42.04,39.821,37.739,43.489,44.1,46.735,49.698,53.221,59.088,61.777,64.294,59.157,63.881,64.842,67.016,70.628,72.663,76.211,80.504,84.203,88.229,87.644,89.334,92.19,98.087,100,102.411,104.201,103.565,99.922
"113","106","      Social services and religious activities (120)","DSOCRA3",16.571,17.163,18.491,20.354,20.823,19.578,19.946,21.737,23.427,25.588,27.636,28.818,30.37,32.333,34.454,37.113,41.659,45.351,49.071,50.052,54.403,55.674,56.448,59.608,62.36,64.524,66.828,68.263,70.284,74.157,78.499,83.186,89.458,93.167,96.235,99.185,100,102.631,106.056,108.98,110.391
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRA3",64.141,61.354,59.643,60.497,60.922,56.447,53.037,55.598,58.326,60.068,59.534,57.484,56.046,53.731,55.314,61.864,62.971,65.178,65.077,66.285,70.827,72.544,67.039,69.552,72.322,78.185,83.461,84.038,89.027,97.015,96.256,98.737,93.667,90.075,92.449,97.591,100,102.048,106.148,106.185,96.707
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRA3",20.807,23.533,23.255,25.561,25.046,22.96,22.501,23.629,24.432,25.312,24.689,24.193,25.201,28.93,33.355,49.197,54.213,49.071,61.199,63.455,64.635,67.678,62.118,65.466,69.107,73.305,73.021,76.03,83.008,93.383,96.513,107.048,101.267,94.861,91.985,98.803,100,104.355,102.515,99.722,95.569
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRA3",14.386,15.522,16.511,17.888,20.315,21.877,23.581,26.594,26.7,28.48,30.17,33.047,36.342,33.711,30.142,40.74,40.538,46.222,49.622,57.163,66.902,74.881,78.73,86.68,90.194,91.33,96.85,102.79,105.517,102.886,105.202,109.637,98.569,93.952,89.625,96.859,100,100.218,107.767,115.773,106.602
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.597,124.877,119.597
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERA3",26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.48,108.252,108.852
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRA3",37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.568,103.033,105.361
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
