"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"38","19","    Food services and accommodations","DFSARC1","36,030.0","37,345.0","37,727.0","38,742.0","40,284.0","41,662.0","42,262.0","42,287.0","42,529.0","43,237.0","44,176.0","45,246.0","47,025.0","48,245.0","49,599.0","50,674.0","52,731.0","53,504.0","55,530.0","57,566.0","57,850.0","59,723.0","61,404.0","63,477.0","65,539.0","68,028.0","68,957.0","72,760.0","75,095.0","76,754.0","79,297.0","80,061.0","84,800.0","85,598.0","85,665.0","86,595.0","90,232.0","95,187.0","99,992.0","103,005.0","107,068.0","108,528.0","111,431.0","116,658.0","118,460.0","119,475.0","122,103.0","126,847.0","131,637.0","133,861.0","134,590.0","135,573.0","137,129.0","141,017.0","144,565.0","147,322.0","150,098.0","151,971.0","155,080.0","157,049.0","161,618.0","162,685.0","167,010.0","168,351.0","170,546.0","174,569.0","175,366.0","176,715.0","181,356.0","185,258.0","187,811.0","192,323.0","198,093.0","202,182.0","205,120.0","212,123.0","214,895.0","222,439.0","230,327.0","235,726.0","237,496.0","239,795.0","244,803.0","248,292.0","257,001.0","262,063.0","266,674.0","265,200.0","266,442.0","274,091.0","275,802.0","277,246.0","285,075.0","280,624.0","284,253.0","295,298.0","293,385.0","297,584.0","301,511.0","301,143.0","301,817.0","307,551.0","310,838.0","312,987.0","312,186.0","315,632.0","317,901.0","318,826.0","320,303.0","324,800.0","327,649.0","333,479.0","338,964.0","340,957.0","346,583.0","347,205.0","353,008.0","359,662.0","363,117.0","371,558.0","371,913.0","376,626.0","380,738.0","392,047.0","401,612.0","407,657.0","412,382.0","413,472.0","419,703.0","418,761.0","419,490.0","420,702.0","429,964.0","435,132.0","438,466.0","441,679.0","446,400.0","456,898.0","467,897.0","476,395.0","485,245.0","491,059.0","500,268.0","509,123.0","516,877.0","527,770.0","533,612.0","544,307.0","557,791.0","559,909.0","567,216.0","580,093.0","583,668.0","591,125.0","598,925.0","608,817.0","607,007.0","614,733.0","616,138.0","611,990.0","604,198.0","599,230.0","597,557.0","600,350.0","607,093.0","614,721.0","620,601.0","628,430.0","637,779.0","645,204.0","654,714.0","660,320.0","672,838.0","680,668.0","687,924.0","698,438.0","707,087.0","710,452.0","713,626.0","727,539.0","730,815.0","747,717.0","759,849.0"
"39","20","    Financial services and insurance","DIFSRC1","27,296.0","28,164.0","28,763.0","29,788.0","29,989.0","30,603.0","31,378.0","32,323.0","33,273.0","33,828.0","34,463.0","34,993.0","36,980.0","37,664.0","39,008.0","39,704.0","40,112.0","41,035.0","41,869.0","42,981.0","42,996.0","44,503.0","46,903.0","49,224.0","52,080.0","53,561.0","54,239.0","56,193.0","57,504.0","57,748.0","59,902.0","61,891.0","63,092.0","65,743.0","69,469.0","72,862.0","76,480.0","80,993.0","81,595.0","83,467.0","80,113.0","89,248.0","90,939.0","90,226.0","91,923.0","91,620.0","95,911.0","102,979.0","104,146.0","102,859.0","100,229.0","100,787.0","104,711.0","109,740.0","119,035.0","131,855.0","141,459.0","139,436.0","152,576.0","150,084.0","147,348.0","154,224.0","161,789.0","162,920.0","181,330.0","185,181.0","194,414.0","191,453.0","200,073.0","199,710.0","198,149.0","201,284.0","204,046.0","204,476.0","205,408.0","207,273.0","212,741.0","216,392.0","223,595.0","226,503.0","234,002.0","238,593.0","239,560.0","241,350.0","243,832.0","245,870.0","248,520.0","251,335.0","258,535.0","263,946.0","270,193.0","274,479.0","287,353.0","291,349.0","296,022.0","305,640.0","318,025.0","328,974.0","338,347.0","344,999.0","346,711.0","346,432.0","345,001.0","349,356.0","355,378.0","363,867.0","370,204.0","376,065.0","384,393.0","389,545.0","393,829.0","401,629.0","412,731.0","422,498.0","436,850.0","444,908.0","452,611.0","463,154.0","473,569.0","479,776.0","490,561.0","500,541.0","512,050.0","533,345.0","567,342.0","561,594.0","565,945.0","570,258.0","562,857.0","556,568.0","539,002.0","552,857.0","549,886.0","558,161.0","567,808.0","574,487.0","572,530.0","584,482.0","594,304.0","602,576.0","618,007.0","625,871.0","640,228.0","657,283.0","668,717.0","685,357.0","698,306.0","706,150.0","716,513.0","720,700.0","722,063.0","737,560.0","754,272.0","762,414.0","775,366.0","781,915.0","782,870.0","781,482.0","772,883.0","748,697.0","719,556.0","714,946.0","715,878.0","725,442.0","740,544.0","764,684.0","768,137.0","779,587.0","786,672.0","793,083.0","804,634.0","798,804.0","794,686.0","788,502.0","781,062.0","789,518.0","801,902.0","819,905.0","833,044.0","852,036.0","860,984.0","875,502.0","891,707.0"
"40","21","    Other services","DOTSRC1","48,904.0","49,917.0","50,900.0","52,123.0","53,331.0","54,216.0","55,213.0","55,620.0","56,549.0","57,446.0","58,294.0","59,917.0","61,687.0","62,721.0","64,148.0","66,154.0","66,948.0","68,661.0","70,418.0","71,291.0","72,319.0","74,370.0","74,720.0","76,029.0","77,187.0","78,932.0","81,627.0","83,628.0","85,774.0","86,809.0","89,420.0","92,479.0","94,807.0","96,397.0","98,464.0","101,316.0","104,537.0","107,376.0","110,292.0","111,070.0","113,141.0","115,207.0","118,845.0","121,652.0","123,668.0","124,755.0","127,585.0","132,559.0","132,755.0","135,577.0","138,360.0","142,014.0","144,880.0","149,089.0","152,002.0","157,743.0","162,637.0","168,417.0","171,372.0","177,015.0","182,497.0","184,489.0","189,154.0","193,720.0","198,434.0","205,796.0","212,552.0","214,662.0","216,318.0","218,259.0","223,048.0","227,035.0","235,620.0","240,342.0","244,504.0","249,257.0","256,477.0","259,285.0","265,020.0","270,259.0","274,184.0","279,490.0","283,892.0","286,881.0","292,495.0","298,872.0","301,482.0","296,999.0","297,067.0","298,663.0","301,423.0","305,039.0","314,720.0","322,522.0","331,117.0","334,565.0","334,875.0","340,085.0","347,932.0","354,598.0","362,497.0","366,554.0","375,543.0","380,085.0","385,402.0","391,379.0","391,665.0","396,347.0","406,161.0","410,414.0","425,766.0","423,273.0","436,856.0","447,026.0","457,380.0","467,931.0","480,122.0","490,131.0","504,304.0","509,595.0","514,388.0","518,674.0","522,824.0","538,924.0","553,247.0","567,542.0","579,253.0","586,010.0","596,588.0","612,763.0","622,429.0","629,224.0","633,277.0","637,214.0","642,789.0","655,576.0","671,749.0","679,267.0","690,411.0","697,303.0","708,084.0","718,540.0","731,252.0","737,158.0","745,901.0","754,760.0","763,044.0","772,694.0","787,694.0","803,668.0","811,481.0","828,953.0","836,766.0","848,058.0","851,856.0","855,305.0","869,209.0","875,552.0","886,000.0","889,585.0","881,524.0","871,797.0","876,797.0","886,488.0","893,772.0","904,136.0","910,278.0","913,475.0","926,177.0","934,825.0","945,778.0","950,369.0","969,220.0","973,300.0","977,807.0","989,215.0","995,422.0","1,007,436.0","1,014,195.0","1,026,437.0","1,032,826.0","1,035,126.0","1,038,104.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,061.0","9,279.0","9,562.0","9,873.0","10,117.0","10,331.0","10,692.0","10,754.0","11,086.0","11,429.0","11,886.0","12,414.0","12,412.0","12,607.0","12,655.0","13,583.0","13,226.0","13,765.0","13,844.0","14,182.0","14,790.0","15,552.0","15,623.0","16,021.0","16,262.0","16,567.0","17,364.0","17,857.0","18,838.0","18,824.0","18,876.0","19,393.0","19,977.0","19,938.0","20,757.0","21,868.0","22,168.0","22,688.0","23,276.0","23,943.0","25,333.0","25,922.0","25,904.0","27,321.0","28,324.0","29,481.0","30,497.0","31,831.0","32,508.0","33,498.0","34,513.0","36,043.0","36,834.0","37,414.0","38,465.0","39,141.0","39,543.0","40,082.0","41,030.0","42,370.0","43,134.0","44,891.0","45,994.0","47,517.0","46,831.0","47,450.0","48,270.0","49,079.0","50,782.0","52,746.0","53,250.0","53,662.0","54,322.0","54,747.0","56,418.0","57,305.0","60,342.0","62,380.0","64,501.0","65,950.0","65,672.0","67,463.0","69,020.0","69,993.0","71,425.0","74,681.0","78,124.0","79,210.0","78,596.0","79,486.0","80,613.0","81,812.0","84,516.0","87,078.0","89,539.0","90,605.0","88,831.0","89,207.0","90,482.0","91,741.0","93,786.0","96,342.0","99,458.0","101,462.0","100,453.0","101,737.0","102,729.0","104,391.0","108,067.0","110,606.0","111,862.0","109,642.0","104,486.0","103,517.0","105,167.0","109,182.0","114,995.0","121,215.0","127,125.0","131,892.0","133,225.0","136,186.0","139,565.0","143,941.0","149,378.0","154,251.0","160,485.0","168,047.0","172,516.0","177,720.0","181,835.0","184,260.0","189,461.0","196,115.0","202,175.0","205,620.0","204,759.0","205,461.0","206,032.0","205,793.0","206,098.0","206,786.0","206,916.0","205,686.0","200,910.0","207,319.0","210,474.0","222,367.0","231,622.0","240,022.0","243,230.0","241,862.0","246,074.0","242,962.0","248,355.0","257,729.0","266,752.0","278,786.0","288,185.0","294,851.0","281,005.0","273,313.0","273,365.0","276,382.0","275,879.0","277,329.0","274,707.0","273,484.0","271,837.0","273,033.0","279,726.0","275,404.0","278,286.0","287,599.0","286,777.0","301,141.0","295,915.0","303,279.0","307,895.0","315,477.0","319,406.0","324,297.0","330,993.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERC1","32,473.0","33,540.0","34,437.0","35,587.0","36,727.0","37,409.0","38,620.0","39,608.0","40,707.0","42,139.0","43,529.0","44,706.0","45,857.0","46,719.0","47,738.0","49,099.0","49,748.0","51,420.0","52,311.0","53,847.0","55,532.0","58,426.0","59,717.0","61,535.0","63,777.0","65,922.0","67,900.0","71,171.0","73,925.0","75,037.0","77,199.0","79,081.0","81,895.0","84,371.0","85,861.0","88,513.0","91,775.0","95,571.0","98,237.0","101,055.0","104,624.0","107,755.0","110,061.0","114,985.0","119,378.0","122,297.0","128,544.0","134,181.0","138,626.0","143,449.0","147,629.0","152,898.0","156,927.0","161,278.0","166,131.0","170,884.0","174,343.0","177,649.0","180,332.0","184,540.0","188,458.0","192,743.0","196,075.0","200,454.0","202,968.0","206,400.0","211,291.0","216,454.0","221,659.0","225,905.0","228,648.0","232,979.0","237,837.0","243,621.0","250,408.0","255,587.0","263,994.0","271,623.0","280,288.0","286,172.0","291,498.0","297,716.0","304,241.0","311,498.0","319,785.0","330,110.0","340,919.0","346,932.0","350,875.0","358,814.0","366,301.0","375,576.0","384,206.0","392,791.0","401,576.0","406,989.0","411,452.0","416,024.0","421,985.0","425,525.0","429,999.0","436,114.0","443,951.0","450,240.0","451,493.0","455,900.0","460,201.0","466,582.0","471,402.0","480,545.0","486,047.0","494,547.0","493,947.0","497,673.0","505,173.0","513,705.0","527,569.0","537,874.0","548,373.0","556,269.0","563,186.0","570,602.0","579,822.0","591,666.0","601,506.0","614,673.0","628,050.0","642,332.0","656,376.0","669,617.0","683,893.0","695,880.0","713,693.0","731,810.0","746,964.0","755,775.0","763,022.0","769,970.0","778,323.0","787,256.0","797,822.0","811,653.0","827,336.0","839,164.0","844,467.0","858,749.0","876,435.0","894,171.0","910,389.0","926,707.0","940,454.0","951,352.0","968,549.0","974,449.0","986,507.0","1,003,059.0","1,020,651.0","1,034,844.0","1,049,530.0","1,058,623.0","1,061,501.0","1,067,543.0","1,077,555.0","1,083,655.0","1,085,432.0","1,101,048.0","1,113,050.0","1,124,042.0","1,126,296.0","1,136,450.0","1,140,173.0","1,155,335.0","1,177,245.0","1,187,023.0","1,205,196.0","1,214,899.0","1,217,021.0","1,235,440.0","1,245,857.0","1,273,224.0","1,267,348.0","1,289,200.0","1,304,659.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","23,412.0","24,261.0","24,875.0","25,714.0","26,610.0","27,078.0","27,928.0","28,854.0","29,621.0","30,710.0","31,643.0","32,292.0","33,445.0","34,112.0","35,083.0","35,516.0","36,522.0","37,655.0","38,467.0","39,665.0","40,742.0","42,874.0","44,094.0","45,514.0","47,515.0","49,355.0","50,536.0","53,314.0","55,087.0","56,213.0","58,323.0","59,688.0","61,918.0","64,433.0","65,104.0","66,645.0","69,607.0","72,883.0","74,961.0","77,112.0","79,291.0","81,833.0","84,157.0","87,664.0","91,054.0","92,816.0","98,047.0","102,350.0","106,118.0","109,951.0","113,116.0","116,855.0","120,093.0","123,864.0","127,666.0","131,743.0","134,800.0","137,567.0","139,302.0","142,170.0","145,324.0","147,852.0","150,081.0","152,937.0","156,137.0","158,950.0","163,021.0","167,375.0","170,877.0","173,159.0","175,398.0","179,317.0","183,515.0","188,874.0","193,990.0","198,282.0","203,652.0","209,243.0","215,787.0","220,222.0","225,826.0","230,253.0","235,221.0","241,505.0","248,360.0","255,429.0","262,795.0","267,722.0","272,279.0","279,328.0","285,688.0","293,764.0","299,690.0","305,713.0","312,037.0","316,384.0","322,621.0","326,817.0","331,503.0","333,784.0","336,213.0","339,772.0","344,493.0","348,778.0","351,040.0","354,163.0","357,472.0","362,191.0","363,335.0","369,939.0","374,185.0","384,905.0","389,461.0","394,156.0","400,006.0","404,523.0","412,574.0","416,659.0","421,248.0","424,377.0","429,961.0","434,416.0","440,257.0","447,725.0","452,128.0","460,422.0","467,565.0","474,285.0","483,860.0","491,897.0","502,058.0","511,620.0","524,232.0","535,695.0","544,789.0","550,155.0","558,263.0","564,509.0","572,291.0","581,463.0","591,724.0","604,867.0","620,420.0","633,478.0","643,557.0","651,430.0","665,961.0","671,804.0","678,767.0","686,685.0","697,224.0","709,490.0","722,475.0","731,487.0","738,152.0","745,330.0","753,899.0","756,058.0","761,345.0","763,772.0","780,496.0","794,230.0","804,190.0","807,273.0","809,553.0","823,719.0","838,343.0","850,558.0","854,459.0","863,417.0","860,447.0","879,931.0","898,959.0","899,424.0","918,419.0","913,758.0","921,106.0","932,161.0","937,962.0","957,747.0","947,942.0","964,903.0","973,666.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","  PCE excluding food and energy \4\","DPCCRC1","456,742.0","466,442.0","474,329.0","483,021.0","490,274.0","498,881.0","508,635.0","512,931.0","530,901.0","543,000.0","555,022.0","569,165.0","584,641.0","598,265.0","613,387.0","632,203.0","653,523.0","664,792.0","676,007.0","685,840.0","696,046.0","715,282.0","735,099.0","739,543.0","763,201.0","785,213.0","810,913.0","838,750.0","867,399.0","883,534.0","906,830.0","931,190.0","961,783.0","986,602.0","1,012,605.0","1,044,215.0","1,067,775.0","1,118,703.0","1,144,412.0","1,174,531.0","1,195,081.0","1,224,608.0","1,263,388.0","1,292,000.0","1,320,026.0","1,315,181.0","1,367,087.0","1,425,898.0","1,468,609.0","1,489,760.0","1,526,867.0","1,535,073.0","1,567,872.0","1,597,163.0","1,639,974.0","1,697,345.0","1,741,230.0","1,793,437.0","1,852,209.0","1,901,665.0","1,947,333.0","1,994,976.0","2,033,761.0","2,079,785.0","2,146,178.0","2,193,278.0","2,261,969.0","2,279,321.0","2,326,771.0","2,371,831.0","2,440,713.0","2,474,381.0","2,498,533.0","2,558,559.0","2,619,942.0","2,652,506.0","2,724,696.0","2,776,961.0","2,835,024.0","2,903,349.0","2,947,361.0","2,995,558.0","3,049,566.0","3,079,987.0","3,161,529.0","3,196,840.0","3,241,090.0","3,246,470.0","3,263,333.0","3,309,701.0","3,358,728.0","3,392,797.0","3,492,889.0","3,541,022.0","3,607,325.0","3,678,057.0","3,719,885.0","3,787,816.0","3,848,098.0","3,906,551.0","3,970,867.0","4,027,227.0","4,089,500.0","4,162,525.0","4,195,485.0","4,259,084.0","4,321,313.0","4,379,134.0","4,434,177.0","4,510,107.0","4,569,548.0","4,632,174.0","4,706,042.0","4,753,889.0","4,856,237.0","4,930,689.0","5,007,404.0","5,112,423.0","5,202,189.0","5,310,570.0","5,375,363.0","5,472,219.0","5,555,598.0","5,673,359.0","5,817,378.0","5,881,842.0","5,971,518.0","6,047,931.0","6,117,153.0","6,168,126.0","6,209,840.0","6,350,943.0","6,392,422.0","6,458,524.0","6,539,417.0","6,591,482.0","6,639,539.0","6,749,632.0","6,883,484.0","6,964,028.0","7,072,425.0","7,167,066.0","7,279,264.0","7,387,566.0","7,485,676.0","7,620,115.0","7,713,965.0","7,789,270.0","7,943,680.0","8,030,291.0","8,118,587.0","8,240,939.0","8,342,447.0","8,412,024.0","8,497,248.0","8,578,076.0","8,606,810.0","8,671,214.0","8,673,398.0","8,560,978.0","8,529,513.0","8,525,970.0","8,608,462.0","8,645,568.0","8,710,008.0","8,820,145.0","8,897,185.0","9,006,758.0","9,097,996.0","9,187,780.0","9,277,322.0","9,364,076.0","9,499,686.0","9,553,998.0","9,630,361.0","9,735,760.0","9,839,132.0","9,926,049.0","10,022,189.0","10,149,426.0","10,190,103.0","10,342,817.0","10,449,518.0"
"46","26","  Energy goods and services \5\","DNRGRC1","38,004.0","38,614.0","39,230.0","40,091.0","40,665.0","41,053.0","41,787.0","42,517.0","43,620.0","44,004.0","44,500.0","45,251.0","45,763.0","46,515.0","47,961.0","51,109.0","51,788.0","53,220.0","54,800.0","57,723.0","60,086.0","67,366.0","70,201.0","72,198.0","72,414.0","75,800.0","78,908.0","79,546.0","81,564.0","82,597.0","85,972.0","92,414.0","93,748.0","93,053.0","96,821.0","98,783.0","101,351.0","102,798.0","103,355.0","107,321.0","114,981.0","121,240.0","132,520.0","140,682.0","153,700.0","157,772.0","159,307.0","162,830.0","171,494.0","178,180.0","177,679.0","181,004.0","184,264.0","178,057.0","180,665.0","181,736.0","178,417.0","185,353.0","192,311.0","193,310.0","189,981.0","195,634.0","192,434.0","194,313.0","199,895.0","197,383.0","199,002.0","201,879.0","193,444.0","177,088.0","172,744.0","171,003.0","177,827.0","186,248.0","188,348.0","188,990.0","191,317.0","192,124.0","196,221.0","196,646.0","200,944.0","211,966.0","208,166.0","216,164.0","209,975.0","213,319.0","226,554.0","242,026.0","226,322.0","227,694.0","225,841.0","224,387.0","222,051.0","230,088.0","233,235.0","240,099.0","240,310.0","238,222.0","243,499.0","245,722.0","246,048.0","245,506.0","248,373.0","245,597.0","247,049.0","253,414.0","255,330.0","250,906.0","266,239.0","273,917.0","264,456.0","274,143.0","277,183.0","269,400.0","270,830.0","279,503.0","259,596.0","260,962.0","260,692.0","248,532.0","249,109.0","269,646.0","283,974.0","286,706.0","298,583.0","316,904.0","328,991.0","344,097.0","347,372.0","340,520.0","327,038.0","295,431.0","287,590.0","313,061.0","318,905.0","334,596.0","365,090.0","343,067.0","356,264.0","362,694.0","383,899.0","391,515.0","397,874.0","430,042.0","432,273.0","439,546.0","503,234.0","519,495.0","501,764.0","527,843.0","553,989.0","497,844.0","523,868.0","557,127.0","561,443.0","580,467.0","609,697.0","648,003.0","667,721.0","525,228.0","471,777.0","476,367.0","514,392.0","535,996.0","549,154.0","535,522.0","549,617.0","584,790.0","610,182.0","635,769.0","642,376.0","625,126.0","612,402.0","623,338.0","632,634.0","624,747.0","641,311.0","621,929.0","623,406.0","625,291.0","658,932.0","641,869.0","619,999.0"
"47","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,695,477.0","2,761,334.0","2,822,925.0","2,853,215.0","2,924,359.0","2,979,370.0","3,038,585.0","3,106,654.0","3,155,701.0","3,214,512.0","3,268,642.0","3,311,480.0","3,389,390.0","3,430,065.0","3,487,729.0","3,508,180.0","3,507,484.0","3,559,035.0","3,599,045.0","3,622,779.0","3,711,928.0","3,756,551.0","3,818,415.0","3,888,946.0","3,921,222.0","3,977,289.0","4,032,288.0","4,086,540.0","4,143,210.0","4,200,012.0","4,263,310.0","4,328,333.0","4,357,480.0","4,420,453.0","4,485,690.0","4,535,706.0","4,595,135.0","4,680,708.0","4,716,410.0","4,798,602.0","4,865,058.0","4,893,099.0","4,990,061.0","5,058,471.0","5,101,322.0","5,196,938.0","5,273,934.0","5,366,230.0","5,437,018.0","5,551,021.0","5,640,876.0","5,750,964.0","5,874,266.0","5,955,516.0","6,046,617.0","6,136,991.0","6,204,890.0","6,242,918.0","6,281,860.0","6,376,658.0","6,405,626.0","6,485,068.0","6,565,065.0","6,618,633.0","6,697,183.0","6,781,634.0","6,926,058.0","7,007,849.0","7,129,317.0","7,215,795.0","7,321,679.0","7,461,054.0","7,556,824.0","7,686,153.0","7,835,803.0","7,912,508.0","8,028,958.0","8,136,210.0","8,249,803.0","8,309,818.0","8,433,066.0","8,534,702.0","8,616,567.0","8,722,287.0","8,777,977.0","8,893,384.0","8,921,349.0","8,668,898.0","8,619,107.0","8,638,016.0","8,757,294.0","8,807,593.0","8,879,417.0","8,948,404.0","9,035,830.0","9,188,226.0","9,309,405.0","9,429,594.0","9,518,090.0","9,597,706.0","9,721,016.0","9,793,490.0","9,880,428.0","9,962,587.0","10,085,381.0","10,121,558.0","10,209,260.0","10,312,046.0","10,376,600.0","10,493,400.0","10,563,706.0"
"48","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,196,540.0","2,251,840.0","2,310,066.0","2,338,816.0","2,400,786.0","2,448,098.0","2,496,014.0","2,559,466.0","2,597,679.0","2,641,229.0","2,693,313.0","2,722,011.0","2,797,101.0","2,827,392.0","2,866,045.0","2,870,808.0","2,881,205.0","2,925,656.0","2,968,743.0","2,999,109.0","3,087,741.0","3,124,793.0","3,180,899.0","3,241,375.0","3,273,178.0","3,328,196.0","3,374,894.0","3,421,601.0","3,473,743.0","3,524,871.0","3,580,204.0","3,644,129.0","3,670,105.0","3,725,060.0","3,787,017.0","3,837,371.0","3,875,980.0","3,947,135.0","3,988,114.0","4,055,144.0","4,114,802.0","4,152,326.0","4,243,245.0","4,301,948.0","4,363,193.0","4,451,916.0","4,523,688.0","4,621,627.0","4,683,742.0","4,770,614.0","4,839,596.0","4,935,771.0","5,049,229.0","5,100,406.0","5,173,312.0","5,240,824.0","5,301,965.0","5,339,229.0","5,388,618.0","5,511,284.0","5,546,968.0","5,599,379.0","5,671,649.0","5,703,158.0","5,743,462.0","5,846,952.0","5,964,269.0","6,033,701.0","6,125,255.0","6,196,852.0","6,288,620.0","6,384,734.0","6,469,752.0","6,582,716.0","6,662,103.0","6,710,840.0","6,838,792.0","6,913,223.0","6,994,550.0","7,097,602.0","7,184,081.0","7,246,198.0","7,314,973.0","7,390,749.0","7,410,849.0","7,469,258.0","7,470,305.0","7,370,690.0","7,378,789.0","7,394,628.0","7,475,340.0","7,496,467.0","7,545,307.0","7,631,304.0","7,699,990.0","7,802,173.0","7,884,227.0","7,966,389.0","8,041,325.0","8,134,308.0","8,261,433.0","8,317,314.0","8,391,419.0","8,476,161.0","8,573,777.0","8,633,763.0","8,713,213.0","8,808,578.0","8,838,654.0","8,965,908.0","9,053,808.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
