"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"63","43","  Gross private saving","A126RC1","33,085.0","33,047.0","38,014.0","37,172.0","43,450.0","49,559.0","52,587.0","54,313.0","49,987.0","47,411.0","49,384.0","44,646.0","55,707.0","53,649.0","47,726.0","57,474.0","50,257.0","66,103.0","69,861.0","68,822.0","68,464.0","66,286.0","70,673.0","70,931.0","71,957.0","72,613.0","71,806.0","70,462.0","73,677.0","72,595.0","72,840.0","75,670.0","77,631.0","80,333.0","82,038.0","83,413.0","85,660.0","88,613.0","91,906.0","93,338.0","94,331.0","96,546.0","96,491.0","93,260.0","92,876.0","94,179.0","98,829.0","102,665.0","102,734.0","106,226.0","100,246.0","103,528.0","106,359.0","103,028.0","105,122.0","103,754.0","106,889.0","110,893.0","116,132.0","119,315.0","122,301.0","122,535.0","123,046.0","124,433.0","125,835.0","127,701.0","128,302.0","133,143.0","138,302.0","143,947.0","143,436.0","148,222.0","151,892.0","154,340.0","161,901.0","163,315.0","165,881.0","167,159.0","169,386.0","177,967.0","182,244.0","179,903.0","185,921.0","191,949.0","188,062.0","195,134.0","188,474.0","193,369.0","189,636.0","193,617.0"
"64","44","    Domestic business","W997RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","59,988.0","58,375.0","58,400.0","57,500.0","56,770.0","59,836.0","61,375.0","63,782.0","66,367.0","66,587.0","67,863.0","70,652.0","70,960.0","72,454.0","73,441.0","74,229.0","78,010.0","78,331.0","79,176.0","79,491.0","86,463.0","87,987.0","89,016.0","92,225.0","95,688.0","96,283.0","96,685.0","100,175.0","98,601.0","98,444.0","100,208.0","104,096.0","101,281.0","105,323.0","106,766.0","108,814.0","109,436.0","109,034.0"
"65","45","    Households and institutions","W998RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","46,372.0","44,652.0","46,722.0","46,253.0","50,120.0","51,059.0","54,757.0","55,532.0","55,934.0","55,947.0","55,184.0","53,781.0","54,875.0","55,247.0","54,862.0","58,915.0","60,291.0","65,616.0","64,259.0","68,731.0","65,428.0","66,353.0","72,886.0","71,090.0","70,192.0","70,876.0","72,701.0","77,792.0","83,643.0","81,459.0","85,712.0","87,851.0","86,781.0","89,810.0","81,709.0","84,555.0","80,199.0","84,584.0"
"66","46","  Gross government saving","A927RC1","14,372.0","13,730.0","10,934.0","16,639.0","15,541.0","13,175.0","9,416.0","8,048.0","4,757.0","1,160.0","718.0","189.0","-2,535.0","8,058.0","19,338.0","20,160.0","24,051.0","16,405.0","10,889.0","12,728.0","13,539.0","9,734.0","8,655.0","11,330.0","12,019.0","11,607.0","11,928.0","5,547.0","5,231.0","6,656.0","7,347.0","8,981.0","12,294.0","15,114.0","15,814.0","18,877.0","20,023.0","18,961.0","19,742.0","20,033.0","19,937.0","17,770.0","17,730.0","11,304.0","7,823.0","3,161.0","6,107.0","9,395.0","15,101.0","18,642.0","17,103.0","16,838.0","26,698.0","23,379.0","21,983.0","17,704.0","17,771.0","16,194.0","18,475.0","21,005.0","19,333.0","19,526.0","21,463.0","21,187.0","23,338.0","26,208.0","26,389.0","25,835.0","23,597.0","19,073.0","22,918.0","24,601.0","28,845.0","28,337.0","21,317.0","21,611.0","28,434.0","27,666.0","25,909.0","23,356.0","15,317.0","14,061.0","15,887.0","16,445.0","19,181.0","18,868.0","26,910.0","28,024.0","40,304.0","37,527.0"
"67","47","    Federal","A926RC1","12,493.0","11,681.0","8,987.0","14,735.0","13,830.0","11,002.0","7,188.0","5,390.0","1,992.0","-1,454.0","-2,075.0","-2,290.0","-4,610.0","6,228.0","16,393.0","17,039.0","19,854.0","12,308.0","6,879.0","8,365.0","9,048.0","5,673.0","3,648.0","6,241.0","7,443.0","5,913.0","6,710.0","251.0","-16.0","1,608.0","2,587.0","4,088.0","7,553.0","10,049.0","10,093.0","12,986.0","13,662.0","12,306.0","12,990.0","13,393.0","12,748.0","11,023.0","11,236.0","5,366.0","2,882.0","-1,711.0","1,078.0","3,223.0","9,408.0","12,316.0","10,140.0","9,679.0","19,549.0","16,326.0","14,870.0","10,550.0","10,997.0","9,493.0","11,241.0","13,493.0","11,333.0","11,240.0","12,440.0","12,210.0","14,522.0","17,157.0","16,791.0","16,319.0","13,358.0","8,933.0","12,567.0","14,391.0","18,717.0","17,852.0","10,720.0","10,715.0","16,474.0","15,233.0","13,344.0","11,199.0","2,549.0","1,725.0","3,807.0","3,626.0","6,563.0","5,269.0","14,239.0","15,432.0","27,411.0","24,079.0"
"68","48","    State and local","A925RC1","1,879.0","2,049.0","1,947.0","1,904.0","1,711.0","2,173.0","2,228.0","2,658.0","2,765.0","2,614.0","2,793.0","2,479.0","2,075.0","1,830.0","2,945.0","3,121.0","4,197.0","4,097.0","4,010.0","4,363.0","4,491.0","4,061.0","5,007.0","5,089.0","4,576.0","5,694.0","5,218.0","5,296.0","5,247.0","5,048.0","4,760.0","4,893.0","4,741.0","5,065.0","5,721.0","5,891.0","6,361.0","6,655.0","6,752.0","6,640.0","7,189.0","6,747.0","6,494.0","5,938.0","4,941.0","4,872.0","5,029.0","6,172.0","5,693.0","6,326.0","6,963.0","7,159.0","7,149.0","7,053.0","7,113.0","7,154.0","6,774.0","6,701.0","7,234.0","7,512.0","8,000.0","8,286.0","9,023.0","8,977.0","8,816.0","9,051.0","9,598.0","9,516.0","10,239.0","10,140.0","10,351.0","10,210.0","10,128.0","10,485.0","10,597.0","10,896.0","11,960.0","12,433.0","12,565.0","12,157.0","12,768.0","12,336.0","12,080.0","12,819.0","12,618.0","13,599.0","12,671.0","12,592.0","12,893.0","13,448.0"
"69","49","  Net domestic investment","W171RC1","13,062.0","10,866.0","11,188.0","19,331.0","23,963.0","27,426.0","29,626.0","28,746.0","21,090.0","15,223.0","19,148.0","16,816.0","24,962.0","30,579.0","36,772.0","45,888.0","43,185.0","48,210.0","44,794.0","42,088.0","42,658.0","37,053.0","41,052.0","44,327.0","45,705.0","46,017.0","44,643.0","37,985.0","37,154.0","35,685.0","37,404.0","39,662.0","45,407.0","49,245.0","49,683.0","52,581.0","51,741.0","50,090.0","51,188.0","49,758.0","50,184.0","49,226.0","50,442.0","41,438.0","36,940.0","35,083.0","41,994.0","50,557.0","54,915.0","60,400.0","53,954.0","55,076.0","64,598.0","54,730.0","55,004.0","43,991.0","48,491.0","52,423.0","59,817.0","62,768.0","67,314.0","65,046.0","66,708.0","62,834.0","66,430.0","67,696.0","71,952.0","72,800.0","75,640.0","75,277.0","76,243.0","77,490.0","87,160.0","86,833.0","91,349.0","92,760.0","103,821.0","101,123.0","101,104.0","103,790.0","100,458.0","91,728.0","96,166.0","99,004.0","101,204.0","106,545.0","100,690.0","102,873.0","113,448.0","108,972.0"
"70","50","    Private","A557RC1","19,565.0","17,200.0","16,667.0","24,145.0","27,313.0","29,759.0","31,348.0","29,671.0","21,077.0","13,807.0","16,770.0","14,369.0","23,363.0","28,408.0","34,064.0","42,954.0","37,989.0","39,879.0","33,778.0","28,392.0","29,153.0","23,682.0","27,504.0","30,575.0","30,992.0","30,976.0","29,851.0","24,450.0","23,338.0","22,687.0","25,817.0","28,590.0","34,771.0","38,157.0","39,465.0","42,672.0","40,991.0","38,666.0","38,935.0","36,903.0","36,633.0","36,005.0","36,678.0","27,676.0","22,696.0","20,411.0","26,778.0","34,263.0","36,954.0","42,737.0","36,572.0","39,140.0","48,778.0","39,069.0","38,000.0","27,223.0","29,253.0","34,568.0","40,923.0","42,458.0","47,089.0","45,189.0","46,105.0","42,358.0","46,504.0","47,847.0","50,141.0","52,006.0","54,526.0","53,738.0","54,937.0","56,306.0","66,805.0","66,161.0","69,093.0","70,250.0","79,240.0","77,076.0","75,286.0","76,459.0","71,910.0","65,021.0","68,723.0","71,832.0","74,692.0","79,432.0","74,126.0","77,013.0","86,320.0","84,378.0"
"71","51","      Domestic business","W790RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","29,186.0","21,474.0","21,355.0","10,833.0","13,203.0","18,575.0","24,055.0","25,017.0","29,383.0","26,948.0","28,104.0","24,703.0","28,293.0","28,206.0","30,453.0","31,510.0","32,909.0","33,103.0","34,587.0","35,755.0","45,785.0","44,729.0","47,505.0","48,544.0","57,432.0","56,646.0","56,040.0","59,421.0","55,579.0","46,156.0","48,686.0","50,114.0","52,902.0","57,432.0","52,149.0","53,897.0","62,023.0","60,459.0"
"72","52","      Households and institutions","W791RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","19,591.0","17,596.0","16,645.0","16,391.0","16,049.0","15,991.0","16,868.0","17,442.0","17,706.0","18,242.0","18,000.0","17,655.0","18,211.0","19,641.0","19,687.0","20,495.0","21,618.0","20,635.0","20,351.0","20,551.0","21,021.0","21,432.0","21,587.0","21,706.0","21,809.0","20,430.0","19,246.0","17,038.0","16,331.0","18,865.0","20,038.0","21,720.0","21,790.0","22,001.0","21,976.0","23,116.0","24,298.0","23,918.0"
"73","53","    Government","A889RC1","-6,503.0","-6,334.0","-5,479.0","-4,814.0","-3,350.0","-2,333.0","-1,722.0","-925.0","13.0","1,416.0","2,378.0","2,447.0","1,599.0","2,171.0","2,708.0","2,934.0","5,196.0","8,331.0","11,016.0","13,696.0","13,505.0","13,371.0","13,548.0","13,752.0","14,713.0","15,041.0","14,792.0","13,535.0","13,816.0","12,998.0","11,587.0","11,072.0","10,636.0","11,088.0","10,218.0","9,909.0","10,750.0","11,424.0","12,253.0","12,855.0","13,551.0","13,221.0","13,764.0","13,762.0","14,244.0","14,672.0","15,216.0","16,294.0","17,961.0","17,663.0","17,382.0","15,936.0","15,820.0","15,661.0","17,004.0","16,768.0","19,238.0","17,855.0","18,894.0","20,310.0","20,225.0","19,857.0","20,603.0","20,476.0","19,926.0","19,849.0","21,811.0","20,794.0","21,114.0","21,539.0","21,306.0","21,184.0","20,355.0","20,672.0","22,256.0","22,510.0","24,581.0","24,047.0","25,818.0","27,331.0","28,548.0","26,707.0","27,443.0","27,172.0","26,512.0","27,113.0","26,564.0","25,860.0","27,128.0","24,594.0"
"74","54","      Federal","A890RC1","-7,404.0","-7,232.0","-6,516.0","-6,040.0","-4,764.0","-4,160.0","-3,852.0","-3,280.0","-2,576.0","-1,776.0","-1,160.0","-1,120.0","-1,920.0","-1,468.0","-1,116.0","-1,068.0","1,120.0","3,804.0","6,416.0","9,228.0","8,856.0","8,792.0","9,052.0","9,064.0","9,812.0","10,212.0","9,692.0","7,952.0","7,716.0","6,756.0","5,072.0","4,580.0","3,820.0","4,040.0","3,188.0","2,852.0","3,160.0","3,616.0","4,456.0","5,020.0","4,932.0","4,552.0","5,140.0","4,828.0","5,044.0","5,432.0","5,488.0","6,176.0","7,612.0","7,580.0","7,752.0","7,060.0","6,740.0","6,224.0","7,144.0","6,908.0","8,592.0","8,132.0","8,736.0","9,084.0","9,416.0","9,120.0","9,584.0","9,296.0","8,084.0","8,064.0","9,264.0","8,004.0","8,276.0","7,996.0","7,732.0","7,760.0","6,864.0","6,376.0","6,860.0","6,812.0","8,676.0","8,004.0","9,632.0","9,968.0","10,244.0","8,672.0","10,052.0","9,116.0","7,836.0","7,392.0","6,788.0","5,956.0","7,308.0","4,680.0"
"75","55","      State and local","A893RC1","901.0","898.0","1,037.0","1,227.0","1,414.0","1,827.0","2,129.0","2,355.0","2,590.0","3,192.0","3,539.0","3,567.0","3,519.0","3,639.0","3,824.0","4,002.0","4,077.0","4,527.0","4,600.0","4,468.0","4,649.0","4,579.0","4,496.0","4,689.0","4,901.0","4,830.0","5,101.0","5,584.0","6,101.0","6,241.0","6,514.0","6,492.0","6,815.0","7,048.0","7,029.0","7,057.0","7,590.0","7,808.0","7,798.0","7,835.0","8,619.0","8,669.0","8,623.0","8,934.0","9,200.0","9,240.0","9,727.0","10,119.0","10,350.0","10,084.0","9,631.0","8,878.0","9,080.0","9,438.0","9,860.0","9,860.0","10,646.0","9,722.0","10,159.0","11,224.0","10,809.0","10,736.0","11,019.0","11,180.0","11,841.0","11,785.0","12,548.0","12,789.0","12,837.0","13,542.0","13,573.0","13,424.0","13,491.0","14,295.0","15,397.0","15,699.0","15,905.0","16,043.0","16,186.0","17,363.0","18,305.0","18,036.0","17,391.0","18,056.0","18,676.0","19,721.0","19,776.0","19,904.0","19,819.0","19,915.0"
"76","56","  Gross saving as a percentage of gross national income","W206RC1","19.7","19.1","19.6","20.9","22.1","22.8","22.1","22.0","19.8","17.8","18.4","16.7","19.0","21.2","21.7","24.2","22.2","24.1","23.1","22.9","22.9","21.1","21.5","21.6","21.7","21.5","21.5","19.8","20.5","20.5","20.5","21.2","21.8","22.6","22.7","23.3","23.8","23.8","24.4","24.3","24.1","23.9","23.7","21.9","21.3","20.5","21.5","22.4","22.9","23.6","22.3","22.6","24.4","23.1","23.1","22.2","22.6","22.6","23.5","23.9","23.7","23.5","23.6","23.4","23.7","24.1","23.8","24.1","24.0","23.8","23.9","24.4","24.9","24.7","24.3","23.9","24.4","24.1","23.8","24.1","23.4","22.8","23.2","23.5","22.7","22.9","22.5","22.7","23.1","22.8"
"77","57","  Net saving as a percentage of gross national income","W207RC1","8.2","7.4","7.7","9.0","10.6","11.5","10.8","10.7","8.1","6.0","6.5","4.6","7.4","9.9","10.8","13.3","11.4","13.2","12.2","11.9","11.8","9.9","10.4","10.7","10.7","10.5","10.2","8.3","8.8","8.7","8.7","9.4","10.3","11.2","11.2","11.8","12.1","12.0","12.4","12.3","12.0","11.7","11.3","9.2","8.4","7.4","8.6","9.6","10.4","11.3","9.8","10.1","12.1","10.8","10.7","9.6","10.0","10.1","11.1","11.7","11.5","11.3","11.4","11.3","11.5","11.9","11.7","12.0","12.1","11.9","12.0","12.5","13.1","12.9","12.6","12.2","12.8","12.4","12.1","12.3","11.5","10.7","11.2","11.4","10.7","10.9","10.5","10.6","11.0","10.6"
"78","58","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"79","59","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"80","60","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"81","61","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"82","62","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"83","63","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"84","64","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
