"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"63","44","    Nonfarm","A015RC1","9,736.0","7,844.0","11,360.0","7,680.0","216.0","4,704.0","6,932.0","-496.0","9,724.0","6,720.0","7,920.0","2,016.0","3,684.0","9,956.0","12,724.0","8,908.0","14,780.0","13,220.0","7,192.0","22,212.0","15,856.0","16,384.0","5,676.0","29,168.0","-17,124.0","-17,072.0","-2,156.0","-2,112.0","15,196.0","24,288.0","18,780.0","13,552.0","16,132.0","14,156.0","26,512.0","14,364.0","26,052.0","23,884.0","17,772.0","29,972.0","19,620.0","24,272.0","5,504.0","8,268.0","10,500.0","12,980.0","-21,360.0","-2,988.0","31,932.0","1,848.0","32,136.0","18,280.0","-26,520.0","-8,496.0","-3,220.0","-44,436.0","-27,752.0","5,280.0","28,180.0","32,708.0","67,480.0","63,748.0","64,516.0","42,964.0","8,332.0","17,432.0","9,740.0","28,776.0","27,808.0","19,132.0","-3,892.0","-10,964.0","35,628.0","27,232.0","4,988.0","66,420.0","21,404.0","31,864.0","29,416.0","38,753.0","40,950.0","33,168.0","15,478.0","21,232.0","12,122.0","35,255.0","17,861.0","-16,572.0","-15,570.0","-17,336.0","11,705.0","24,724.0","-7,775.0","13,786.0","15,381.0","18,871.0","41,550.0","28,969.0","19,108.0","18,331.0","28,800.0","64,273.0","42,465.0","71,467.0","66,987.0","47,386.0","31,664.0","22,844.0","5,784.0","18,620.0","34,002.0","30,169.0","50,349.0","87,628.0","59,648.0","73,051.0","99,478.0","42,246.0","51,891.0","56,197.0","79,285.0","35,308.0","49,617.0","89,974.0","33,897.0","84,500.0","58,361.0","47,012.0","-36,245.0","-8,565.0","-31,921.0","-76,551.0","-4,275.0","29,463.0","28,165.0","30,639.0","28,157.0","991.0","7,257.0","40,471.0","44,448.0","57,792.0","54,583.0","63,387.0","106,189.0","29,694.0","13,600.0","87,934.0","70,685.0","85,409.0","83,428.0","42,675.0","14,853.0","52,018.0","50,980.0","22,780.0","-13,267.0","-27,814.0","-25,428.0","-67,903.0","-145,325.0","-186,875.0","-200,891.0","-50,780.0","13,331.0","56,061.0","133,167.0","72,848.0","25,749.0","64,297.0","-18,731.0","87,377.0","78,261.0","96,705.0","96,467.0","22,624.0","34,287.0","40,251.0","94,017.0","78,171.0","36,977.0","91,815.0","60,015.0"
"64","45","Net exports of goods and services","A019RC1","171.0","1,244.0","976.0","3,333.0","3,396.0","5,385.0","3,843.0","3,169.0","4,422.0","-192.0","-89.0","-1,657.0","-3,534.0","-4,257.0","-2,638.0","-3,061.0","-1,401.0","2,454.0","6,438.0","8,951.0","6,395.0","-2,714.0","-6,972.0","33.0","16,481.0","21,582.0","12,043.0","13,801.0","4,650.0","-495.0","-4,073.0","-6,603.0","-21,079.0","-21,135.0","-20,578.0","-29,584.0","-38,683.0","-22,624.0","-23,760.0","-16,401.0","-18,158.0","-22,191.0","-23,029.0","-26,801.0","-35,804.0","-15,209.0","5,472.0","-6,683.0","-14,256.0","-13,509.0","-7,560.0","-14,753.0","-16,275.0","-4,387.0","-29,648.0","-29,585.0","-24,549.0","-45,435.0","-65,200.0","-71,383.0","-95,005.0","-104,298.0","-103,845.0","-107,756.0","-91,300.0","-114,445.0","-116,894.0","-133,434.0","-126,013.0","-128,871.0","-138,958.0","-133,626.0","-141,236.0","-146,978.0","-145,463.0","-145,406.0","-123,985.0","-106,626.0","-99,263.0","-107,695.0","-100,965.0","-88,160.0","-75,075.0","-82,765.0","-88,532.0","-68,833.0","-74,953.0","-79,096.0","-47,140.0","-23,188.0","-21,073.0","-23,054.0","-20,540.0","-32,788.0","-38,488.0","-47,139.0","-55,707.0","-63,187.0","-68,354.0","-73,449.0","-80,596.0","-90,572.0","-96,868.0","-101,910.0","-105,326.0","-109,492.0","-74,444.0","-69,779.0","-88,795.0","-93,705.0","-114,180.0","-88,823.0","-108,839.0","-85,201.0","-96,831.0","-117,010.0","-135,215.0","-162,327.0","-174,638.0","-178,660.0","-208,515.0","-245,428.0","-276,106.0","-296,475.0","-352,760.0","-359,587.0","-388,487.0","-402,351.0","-391,688.0","-359,331.0","-366,666.0","-357,048.0","-375,263.0","-415,978.0","-431,634.0","-482,967.0","-501,593.0","-501,364.0","-499,917.0","-511,744.0","-546,643.0","-608,021.0","-637,979.0","-684,036.0","-676,782.0","-689,086.0","-731,395.0","-787,480.0","-777,220.0","-781,568.0","-805,590.0","-719,401.0","-728,479.0","-732,975.0","-712,113.0","-700,597.0","-756,759.0","-759,427.0","-773,628.0","-602,442.0","-393,864.0","-341,722.0","-405,562.0","-440,601.0","-488,704.0","-523,229.0","-535,014.0","-503,682.0","-562,477.0","-586,949.0","-572,402.0","-598,149.0","-614,756.0","-588,519.0","-541,740.0","-528,216.0","-527,987.0","-532,029.0","-509,885.0","-462,859.0","-537,968.0","-549,219.0","-495,090.0"
"65","46","  Exports","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,669.0","220,906.0","234,278.0","253,665.0","268,508.0","277,389.0","284,673.0","292,517.0","305,468.0","308,454.0","302,337.0","304,694.0","293,202.0","294,728.0","279,634.0","265,275.0","270,701.0","272,515.0","278,181.0","286,588.0","292,973.0","302,201.0","305,745.0","308,605.0","306,008.0","304,126.0","297,273.0","305,434.0","313,405.0","315,119.0","320,476.0","335,000.0","336,450.0","355,360.0","371,855.0","392,107.0","418,728.0","439,472.0","453,586.0","466,619.0","485,189.0","507,229.0","509,352.0","515,387.0","538,235.0","545,926.0","555,149.0","568,186.0","573,177.0","590,733.0","600,596.0","615,216.0","625,283.0","626,163.0","639,365.0","641,397.0","643,603.0","653,094.0","650,897.0","671,600.0","681,231.0","706,988.0","736,883.0","758,649.0","781,573.0","798,851.0","831,399.0","839,422.0","847,940.0","859,046.0","859,577.0","903,797.0","918,374.0","954,450.0","974,057.0","968,334.0","963,021.0","947,295.0","935,263.0","966,340.0","961,573.0","972,753.0","1,002,420.0","1,031,175.0","1,054,005.0","1,092,723.0","1,125,202.0","1,115,402.0","1,096,683.0","1,054,592.0","998,510.0","957,053.0","973,326.0","1,007,493.0","1,021,602.0","1,007,614.0","1,011,490.0","1,012,331.0","1,042,523.0","1,094,772.0","1,141,286.0","1,172,310.0","1,185,987.0","1,226,443.0","1,268,200.0","1,300,133.0","1,310,884.0","1,356,376.0","1,417,188.0","1,463,415.0","1,480,136.0","1,544,523.0","1,580,470.0","1,625,070.0","1,687,522.0","1,765,432.0","1,814,612.0","1,920,458.0","1,923,587.0","1,709,112.0","1,519,493.0","1,522,743.0","1,596,440.0","1,712,284.0","1,753,227.0","1,814,026.0","1,869,845.0","1,972,239.0","2,033,325.0","2,108,323.0","2,142,856.0","2,140,977.0","2,162,372.0","2,192,543.0","2,203,226.0","2,218,464.0","2,219,424.0","2,236,412.0","2,268,403.0","2,324,627.0","2,284,709.0","2,344,327.0","2,384,536.0"
"66","47","    Goods","A253RC1","32,063.0","40,446.0","39,960.0","42,508.0","43,416.0","45,576.0","45,274.0","45,881.0","46,517.0","46,369.0","49,021.0","42,877.0","50,440.0","49,696.0","52,520.0","57,688.0","65,224.0","72,560.0","77,236.0","88,064.0","95,116.0","103,536.0","103,664.0","111,660.0","114,936.0","108,464.0","109,792.0","116,768.0","117,016.0","119,084.0","122,700.0","127,136.0","126,324.0","131,340.0","130,636.0","125,340.0","129,843.0","150,607.0","153,627.0","165,550.0","170,867.0","178,907.0","191,254.0","208,037.0","221,979.0","227,700.0","232,517.0","239,515.0","247,245.0","248,749.0","241,700.0","243,129.0","232,306.0","233,876.0","218,518.0","205,501.0","209,692.0","209,101.0","214,318.0","223,084.0","224,343.0","229,958.0","234,401.0","236,443.0","232,102.0","228,745.0","222,171.0","226,936.0","224,488.0","227,868.0","229,819.0","243,612.0","242,984.0","258,805.0","272,080.0","288,348.0","311,241.0","328,499.0","338,687.0","349,792.0","360,484.0","379,590.0","379,039.0","379,887.0","396,228.0","400,633.0","406,337.0","409,862.0","420,656.0","427,097.0","431,630.0","441,158.0","449,682.0","448,789.0","460,554.0","462,207.0","460,366.0","466,912.0","462,555.0","481,060.0","484,124.0","505,253.0","533,801.0","550,305.0","571,566.0","583,183.0","605,751.0","609,266.0","617,146.0","621,187.0","626,468.0","650,337.0","668,863.0","700,974.0","717,535.0","712,176.0","708,166.0","683,706.0","676,575.0","701,814.0","688,061.0","697,300.0","717,130.0","744,398.0","762,212.0","791,320.0","822,784.0","812,699.0","799,304.0","763,955.0","717,838.0","694,236.0","690,509.0","718,302.0","729,829.0","714,006.0","722,810.0","724,613.0","739,626.0","778,628.0","803,238.0","829,115.0","840,593.0","864,586.0","890,358.0","924,982.0","929,006.0","961,978.0","1,010,027.0","1,040,622.0","1,056,951.0","1,090,674.0","1,111,529.0","1,142,225.0","1,182,860.0","1,229,065.0","1,280,442.0","1,365,182.0","1,375,816.0","1,173,774.0","1,012,084.0","1,010,910.0","1,074,200.0","1,163,272.0","1,208,680.0","1,256,434.0","1,287,987.0","1,365,267.0","1,415,987.0","1,467,674.0","1,487,761.0","1,496,022.0","1,510,105.0","1,530,742.0","1,538,540.0","1,529,204.0","1,528,401.0","1,543,235.0","1,565,655.0","1,613,975.0","1,575,255.0","1,623,264.0","1,658,163.0"
"67","48","    Services","A646RC1","11,911.0","13,469.0","13,380.0","13,951.0","13,497.0","15,013.0","15,000.0","15,177.0","16,557.0","16,734.0","16,372.0","17,405.0","18,199.0","17,456.0","18,933.0","18,441.0","18,735.0","19,363.0","20,340.0","19,556.0","21,593.0","23,132.0","22,974.0","24,925.0","26,433.0","28,363.0","24,306.0","25,763.0","26,572.0","27,537.0","29,075.0","28,940.0","29,030.0","30,566.0","31,689.0","32,469.0","34,756.0","35,609.0","37,675.0","39,865.0","40,802.0","41,999.0","43,024.0","45,628.0","46,529.0","49,689.0","52,156.0","53,002.0","58,223.0","59,705.0","60,637.0","61,565.0","60,896.0","60,852.0","61,116.0","59,774.0","61,009.0","63,414.0","63,863.0","63,504.0","68,630.0","72,243.0","71,344.0","72,162.0","73,906.0","75,381.0","75,102.0","78,498.0","88,917.0","87,251.0","90,657.0","91,388.0","93,466.0","96,555.0","99,775.0","103,759.0","107,487.0","110,973.0","114,899.0","116,827.0","124,705.0","127,639.0","130,313.0","135,500.0","142,007.0","145,293.0","148,812.0","158,324.0","152,521.0","163,636.0","168,966.0","174,058.0","175,601.0","177,374.0","178,811.0","179,190.0","183,237.0","186,182.0","188,342.0","190,540.0","197,107.0","201,735.0","203,082.0","208,344.0","210,007.0","215,668.0","225,648.0","230,156.0","230,794.0","237,859.0","233,109.0","253,460.0","249,511.0","253,476.0","256,522.0","256,158.0","254,855.0","263,589.0","258,688.0","264,526.0","273,512.0","275,453.0","285,290.0","286,777.0","291,793.0","301,403.0","302,418.0","302,703.0","297,379.0","290,637.0","280,672.0","262,817.0","282,817.0","289,191.0","291,773.0","293,608.0","288,680.0","287,718.0","302,897.0","316,144.0","338,048.0","343,195.0","345,394.0","361,857.0","377,842.0","375,151.0","381,878.0","394,398.0","407,161.0","422,793.0","423,185.0","453,849.0","468,941.0","482,845.0","504,662.0","536,367.0","534,170.0","555,276.0","547,771.0","535,338.0","507,409.0","511,833.0","522,240.0","549,012.0","544,547.0","557,592.0","581,858.0","606,972.0","617,338.0","640,649.0","655,095.0","644,955.0","652,267.0","661,801.0","664,686.0","689,260.0","691,023.0","693,177.0","702,748.0","710,652.0","709,454.0","721,063.0","726,373.0"
"68","49","  Imports","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,088.0","1,218,181.0","1,278,526.0","1,327,650.0","1,406,765.0","1,452,310.0","1,513,689.0","1,517,753.0","1,488,371.0","1,413,923.0","1,365,176.0","1,314,101.0","1,348,589.0","1,423,471.0","1,453,236.0","1,490,581.0","1,513,083.0","1,513,695.0","1,542,440.0","1,606,516.0","1,687,929.0","1,780,331.0","1,823,966.0","1,910,479.0","1,944,982.0","1,989,219.0","2,042,279.0","2,143,856.0","2,194,408.0","2,244,983.0","2,285,726.0","2,263,924.0","2,308,949.0","2,358,045.0","2,399,635.0","2,466,029.0","2,571,371.0","2,679,885.0","2,697,215.0","2,311,554.0","1,913,357.0","1,864,465.0","2,002,002.0","2,152,885.0","2,241,931.0","2,337,255.0","2,404,859.0","2,475,921.0","2,595,802.0","2,695,272.0","2,715,258.0","2,739,126.0","2,777,128.0","2,781,062.0","2,744,966.0","2,746,680.0","2,747,411.0","2,768,441.0","2,778,288.0","2,787,486.0","2,822,677.0","2,893,546.0","2,879,626.0"
"69","50","    Goods","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","978,495.0","1,024,545.0","1,078,344.0","1,123,452.0","1,194,187.0","1,232,376.0","1,284,123.0","1,295,208.0","1,265,200.0","1,189,600.0","1,145,838.0","1,106,132.0","1,123,573.0","1,197,710.0","1,225,338.0","1,250,715.0","1,275,085.0","1,278,603.0","1,288,030.0","1,343,051.0","1,409,992.0","1,493,470.0","1,533,097.0","1,609,694.0","1,641,999.0","1,682,209.0","1,729,122.0","1,824,160.0","1,855,935.0","1,900,192.0","1,941,560.0","1,900,937.0","1,942,452.0","1,981,866.0","2,015,108.0","2,075,651.0","2,165,223.0","2,264,918.0","2,273,738.0","1,893,629.0","1,524,334.0","1,478,731.0","1,609,001.0","1,749,109.0","1,838,571.0","1,928,650.0","1,984,152.0","2,047,881.0","2,172,471.0","2,251,745.0","2,263,593.0","2,291,113.0","2,327,179.0","2,326,150.0","2,287,710.0","2,283,112.0","2,288,586.0","2,302,170.0","2,308,572.0","2,309,706.0","2,341,479.0","2,405,622.0","2,389,638.0"
"70","51","    Services","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","191,593.0","193,636.0","200,182.0","204,198.0","212,578.0","219,934.0","229,566.0","222,545.0","223,171.0","224,323.0","219,338.0","207,969.0","225,016.0","225,761.0","227,898.0","239,866.0","237,998.0","235,092.0","254,410.0","263,465.0","277,937.0","286,861.0","290,869.0","300,785.0","302,983.0","307,010.0","313,157.0","319,696.0","338,473.0","344,791.0","344,166.0","362,987.0","366,497.0","376,179.0","384,527.0","390,378.0","406,148.0","414,967.0","423,477.0","417,925.0","389,023.0","385,734.0","393,001.0","403,776.0","403,360.0","408,605.0","420,707.0","428,040.0","423,331.0","443,527.0","451,665.0","448,013.0","449,949.0","454,912.0","457,256.0","463,568.0","458,825.0","466,271.0","469,716.0","477,780.0","481,198.0","487,924.0","489,988.0"
"71","52","Government consumption expenditures and gross investment","A822RC1","235,048.0","238,227.0","243,987.0","244,343.0","249,443.0","250,739.0","256,237.0","260,363.0","263,691.0","267,966.0","271,693.0","273,974.0","284,256.0","288,965.0","286,265.0","293,493.0","301,316.0","304,900.0","305,562.0","313,681.0","326,139.0","337,254.0","348,294.0","360,766.0","371,688.0","375,763.0","386,989.0","397,307.0","402,919.0","403,171.0","404,920.0","412,287.0","422,733.0","433,054.0","439,124.0","448,126.0","454,817.0","473,312.0","484,015.0","497,405.0","502,919.0","517,258.0","531,807.0","550,164.0","571,245.0","586,941.0","591,820.0","613,380.0","635,961.0","648,997.0","655,223.0","678,755.0","687,373.0","700,953.0","714,535.0","737,222.0","748,789.0","760,990.0","780,884.0","772,311.0","794,152.0","819,179.0","832,661.0","854,684.0","874,546.0","898,501.0","924,560.0","936,113.0","944,172.0","965,843.0","993,022.0","994,829.0","1,008,016.0","1,025,047.0","1,035,976.0","1,054,002.0","1,057,031.0","1,070,837.0","1,078,414.0","1,106,391.0","1,116,876.0","1,146,080.0","1,164,567.0","1,180,152.0","1,214,030.0","1,228,585.0","1,240,400.0","1,270,429.0","1,287,181.0","1,296,557.0","1,302,388.0","1,306,524.0","1,326,900.0","1,338,666.0","1,355,421.0","1,360,496.0","1,351,504.0","1,360,859.0","1,370,605.0","1,381,277.0","1,373,939.0","1,392,446.0","1,424,416.0","1,424,157.0","1,440,008.0","1,455,631.0","1,457,293.0","1,455,716.0","1,472,921.0","1,492,548.0","1,500,490.0","1,519,839.0","1,532,218.0","1,552,209.0","1,559,790.0","1,572,420.0","1,566,709.0","1,604,444.0","1,628,557.0","1,654,348.0","1,675,982.0","1,703,680.0","1,740,247.0","1,784,243.0","1,795,130.0","1,828,895.0","1,845,027.0","1,868,658.0","1,911,891.0","1,958,621.0","1,965,456.0","1,999,093.0","2,048,323.0","2,080,640.0","2,107,718.0","2,143,065.0","2,177,952.0","2,216,888.0","2,231,240.0","2,257,316.0","2,303,095.0","2,343,551.0","2,381,767.0","2,401,197.0","2,442,223.0","2,469,693.0","2,521,551.0","2,541,291.0","2,592,185.0","2,630,669.0","2,655,364.0","2,690,557.0","2,735,641.0","2,782,458.0","2,824,322.0","2,865,286.0","2,923,821.0","2,983,375.0","3,055,881.0","3,049,685.0","3,035,381.0","3,086,499.0","3,112,496.0","3,121,988.0","3,135,706.0","3,181,462.0","3,194,687.0","3,184,248.0","3,153,849.0","3,183,843.0","3,176,844.0","3,160,437.0","3,166,202.0","3,163,323.0","3,190,462.0","3,156,635.0","3,135,918.0","3,142,356.0","3,154,680.0","3,142,683.0","3,139,105.0","3,163,125.0","3,208,730.0"
"72","53","  Federal","A823RC1","129,576.0","129,720.0","133,344.0","131,944.0","133,504.0","131,700.0","132,320.0","133,472.0","133,264.0","134,172.0","135,540.0","134,660.0","141,360.0","144,584.0","138,480.0","141,660.0","145,884.0","146,488.0","143,404.0","146,484.0","151,872.0","154,736.0","159,508.0","166,396.0","167,560.0","168,976.0","174,872.0","179,680.0","180,472.0","181,956.0","183,580.0","189,004.0","192,944.0","197,732.0","199,980.0","204,524.0","207,728.0","214,772.0","218,576.0","225,752.0","229,132.0","234,896.0","238,824.0","248,080.0","259,656.0","271,028.0","271,980.0","286,792.0","296,516.0","309,392.0","312,536.0","328,472.0","332,500.0","339,468.0","347,632.0","362,856.0","370,096.0","378,824.0","391,728.0","380,116.0","391,104.0","406,932.0","409,456.0","422,988.0","432,208.0","443,816.0","458,680.0","462,400.0","459,744.0","474,516.0","492,852.0","486,396.0","489,604.0","499,188.0","502,236.0","509,848.0","504,024.0","505,444.0","505,792.0","520,016.0","517,544.0","531,820.0","538,488.0","537,668.0","552,620.0","559,508.0","557,992.0","569,956.0","582,864.0","585,504.0","580,912.0","573,672.0","578,612.0","582,184.0","592,668.0","592,956.0","577,048.0","575,564.0","578,932.0","581,988.0","564,420.0","569,032.0","583,956.0","573,352.0","577,568.0","579,708.0","576,912.0","567,252.0","577,156.0","582,516.0","576,904.0","576,264.0","572,080.0","585,688.0","585,364.0","586,472.0","571,452.0","586,624.0","584,728.0","593,580.0","594,488.0","601,052.0","614,604.0","631,564.0","618,124.0","639,328.0","636,176.0","636,104.0","652,456.0","666,368.0","674,856.0","683,264.0","714,376.0","733,060.0","746,164.0","768,816.0","789,276.0","831,412.0","830,484.0","848,060.0","872,540.0","886,748.0","906,884.0","903,344.0","931,224.0","938,160.0","963,112.0","952,784.0","995,316.0","998,720.0","1,000,388.0","1,013,532.0","1,018,312.0","1,040,768.0","1,063,860.0","1,076,148.0","1,110,740.0","1,140,468.0","1,179,992.0","1,191,224.0","1,182,236.0","1,214,628.0","1,233,220.0","1,240,656.0","1,269,188.0","1,304,568.0","1,321,636.0","1,320,064.0","1,298,088.0","1,314,856.0","1,305,936.0","1,294,924.0","1,291,372.0","1,290,012.0","1,314,304.0","1,269,868.0","1,241,908.0","1,234,072.0","1,233,944.0","1,216,180.0","1,208,132.0","1,210,488.0","1,241,596.0"
"73","54","    National defense","A824RC1","101,276.0","100,852.0","103,456.0","102,696.0","102,844.0","99,608.0","99,928.0","100,472.0","99,456.0","97,828.0","97,436.0","97,244.0","101,392.0","103,696.0","97,444.0","100,020.0","103,012.0","103,352.0","99,648.0","102,152.0","105,360.0","108,696.0","109,444.0","113,296.0","113,896.0","113,784.0","118,744.0","121,460.0","121,544.0","122,764.0","123,864.0","126,972.0","129,936.0","132,928.0","133,656.0","134,860.0","137,364.0","141,936.0","144,364.0","148,428.0","151,052.0","155,960.0","158,444.0","165,684.0","173,280.0","177,612.0","180,332.0","192,628.0","198,912.0","208,072.0","212,148.0","225,612.0","230,120.0","239,324.0","245,784.0","255,908.0","259,304.0","267,140.0","271,740.0","279,200.0","286,172.0","292,636.0","294,008.0","305,824.0","310,912.0","320,452.0","333,820.0","338,656.0","335,108.0","347,768.0","362,016.0","351,860.0","358,712.0","369,264.0","376,088.0","375,708.0","376,276.0","378,492.0","377,568.0","386,120.0","379,204.0","389,452.0","394,752.0","391,148.0","399,848.0","402,504.0","398,544.0","410,140.0","417,276.0","417,532.0","411,948.0","401,052.0","400,204.0","402,836.0","411,144.0","404,688.0","389,648.0","388,392.0","390,040.0","392,188.0","373,284.0","379,200.0","392,532.0","376,248.0","377,624.0","380,596.0","376,468.0","369,508.0","375,300.0","380,916.0","376,032.0","373,944.0","363,768.0","374,392.0","372,076.0","375,500.0","355,484.0","368,688.0","373,792.0","372,844.0","370,028.0","375,944.0","387,536.0","397,356.0","380,684.0","397,424.0","393,484.0","395,216.0","403,416.0","410,292.0","416,528.0","420,668.0","438,688.0","450,052.0","459,508.0","479,128.0","490,184.0","526,796.0","522,704.0","539,852.0","554,836.0","564,688.0","585,576.0","575,820.0","596,772.0","605,028.0","623,376.0","607,840.0","633,452.0","641,436.0","638,748.0","655,924.0","654,504.0","672,604.0","690,680.0","697,116.0","719,744.0","741,220.0","776,644.0","778,900.0","760,232.0","785,416.0","802,808.0","804,648.0","811,924.0","829,336.0","846,324.0","843,480.0","823,384.0","844,880.0","851,464.0","828,024.0","818,596.0","817,132.0","840,912.0","795,420.0","775,128.0","772,216.0","774,912.0","757,516.0","749,896.0","754,624.0","784,288.0"
