"","Table 1#16# Gross Product of Corporate Business in Current Dolla","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"45","36","    Gross product of nonfinancial corporate business \1\","B455RX",298,278.8,252.3,215.3,209,235.8,255.5,292,316.9,294.5,328,371.3,444.4,510.7,574.4,590.4,548.3,524.6,563,607,602.6,679.5,719.6,746.3,800.8,787.8,881.7,911,922.3,886.1,986.1,1018.7,1041.5,1128,1194.5,1278.5,1384.3,1480.9,1519.2,1615.8,1680.2,1663.3,1730,1865.8,1975.4,1941.2,1910.5,2062.3,2212.7,2360.3,2434.2,2400.4,2479.5,2426.6,2542,2782.4,2907.9,2978.9,3146.6,3322.1,3377.5,3409.2,3381.9,3468.4,3573.8,3801.5,3960.1,4159.5,4404.2,4658.1,4902.1,5148.3,5141.8,5307.5
"46","37","Consumption of fixed capital \2\","B456RX",41.5,42.5,42,41.1,38.9,38.5,37.9,38.2,39.3,40.4,40,40.8,42.8,43.6,41.9,41.1,42.1,45.2,47.1,50.6,53.6,56.4,59,61.1,63.6,66.3,69.5,72.6,75.7,77.5,79,81.5,83.8,86.6,90.1,94.2,100.1,107.8,115,122.2,130.2,137.3,143.7,153.3,161.6,171.7,179.7,187,196.7,208.8,222.9,234.3,245.9,257,267,280,296.3,310.1,320.7,330.6,344.5,352.8,364,379.3,393.2,417.8,435.8,462.7,494.1,533.8,574.5,616.7,671.9,720.8
"47","38","Net product \3\","A457RX",256.5,236.3,210.3,174.3,170.1,197.3,217.6,253.8,277.6,254.2,288,330.5,401.6,467.2,532.5,549.3,506.2,479.4,515.9,556.3,549,623.1,660.6,685.2,737.1,721.4,812.2,838.4,846.6,808.6,907.1,937.2,957.7,1041.4,1104.4,1184.3,1284.2,1373.2,1404.1,1493.6,1550,1526,1586.2,1712.5,1813.8,1769.5,1730.7,1875.2,2016,2151.5,2211.3,2166,2233.6,2169.6,2275,2502.5,2611.6,2668.8,2825.9,2991.5,3032.9,3056.5,3017.9,3089.1,3180.5,3383.7,3524.3,3696.9,3910.1,4124.3,4327.6,4531.5,4469.9,4586.7
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 1. Effective November 26, 2002, the estimates of chained-dollar gross product of nonfinancial corporate business beginning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","with 1999 have been revised to reflect the 2002 annual revision to the gross product price index for nonfinancial industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," 2. Chained-dollar consumption of fixed capital of nonfinancial corporate business is calculated as the product of the chain-type ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","quantity index and the 1996 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53"," 3. Chained-dollar net product of nonfinancial corporate business is the difference between the gross product and the consumption ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
