"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"93",NA,"Government consumption expenditures and gross investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","69","  Current dollars","A822RT",0.66,0.71,0.7,0.62,0.61,0.74,0.77,0.92,0.9,0.97,1.04,1.06,1.87,4.42,6.68,7.42,6.55,2.8,2.56,2.86,3.29,3.3,4.8,5.9,6.39,6.08,6.11,6.46,7.04,7.49,7.91,8,8.54,9.3,9.74,10.2,10.81,12.26,13.74,14.97,15.79,16.68,17.65,18.99,20.25,22.67,25.39,27.04,29.21,32.04,35.41,40.06,44.4,48.13,51.76,56.32,61.77,66.27,70.18,72.92,77.37,83.09,86.89,89.35,90.93,93.38,96.49,100,104.64,108.2,115.4,123.14,130.67,138.75
"95","70","  Chain-type quantity index","B822RA",7.75,8.53,8.9,8.61,8.3,9.35,9.63,11.18,10.77,11.58,12.64,12.83,21.31,50.01,74.54,84.08,73.21,25.29,21.6,23.13,25.83,25.84,35.16,42.56,45.54,42.4,40.82,40.85,42.67,44.04,46.52,46.51,48.75,51.69,52.91,53.95,55.64,60.63,65.2,67.27,66.99,65.48,64.26,64.34,63.87,65.04,66.28,66.34,67,69.07,70.4,71.8,72.44,73.56,76.02,78.65,83.72,88.28,90.89,91.95,94.48,97.56,98.69,99.16,98.37,98.46,98.91,100,102.35,104.32,108.34,111.29,115.36,120.46
"96","71","  Chain-type price index","B822RG",8.72,8.45,8.01,7.3,7.54,8.1,8.13,8.41,8.56,8.57,8.38,8.26,8.77,8.82,8.95,8.82,8.95,11.06,11.86,12.35,12.73,12.76,13.65,13.85,14.02,14.33,14.95,15.79,16.49,16.99,16.99,17.19,17.51,17.97,18.39,18.9,19.41,20.2,21.05,22.23,23.56,25.44,27.44,29.49,31.67,34.83,38.28,40.72,43.55,46.37,50.28,55.8,61.3,65.43,68.08,71.61,73.78,75.08,77.21,79.3,81.89,85.16,88.04,90.11,92.44,94.84,97.56,100,102.23,103.72,106.52,110.65,113.27,115.18
"97","72","  Implicit price deflator","A822RD",8.54,8.27,7.85,7.15,7.38,7.93,7.96,8.24,8.38,8.39,8.2,8.26,8.78,8.83,8.96,8.83,8.95,11.07,11.87,12.36,12.74,12.77,13.66,13.86,14.03,14.34,14.96,15.81,16.5,17,17,17.21,17.53,17.98,18.41,18.92,19.43,20.22,21.07,22.25,23.58,25.47,27.47,29.52,31.7,34.86,38.31,40.76,43.59,46.39,50.29,55.8,61.3,65.43,68.08,71.6,73.77,75.07,77.21,79.31,81.89,85.16,88.04,90.11,92.44,94.84,97.56,100,102.23,103.72,106.52,110.64,113.27,115.19
"98",NA,"  Federal:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","73","    Current dollars","A823RT",0.32,0.34,0.35,0.34,0.42,0.61,0.62,1.03,0.95,1.05,1.1,1.21,3.37,10.17,16.26,18.26,15.84,5.45,4.25,4.54,5.2,4.89,8.47,11.13,12.12,10.77,10.33,10.67,11.54,12.02,12.68,12.39,13.07,14.46,14.78,15.01,15.44,17.77,20.09,21.45,21.84,21.9,22.11,23.63,24.05,26,28.61,30.2,33.12,36.09,39.81,46.14,53.01,58.84,64.79,70.8,77.77,82.53,86.62,87.03,90.78,95.65,99.21,100.55,99.19,98.02,98.11,100,101.24,101.43,106.29,110.84,118.16,130.5
"100","74","    Chain-type quantity index","B823RA",3.55,3.94,4.08,4.16,5.11,6.88,7.03,10.72,9.74,10.74,11.57,12.51,33.22,102.01,161.79,185.15,158.67,42.88,31.88,34.3,37.49,35.34,58.41,76.67,82.7,71.75,65.1,63.99,66.27,66.23,70.91,68.81,71.46,77.38,77.16,75.85,76,84.59,92.84,93.69,90.57,84.21,78.24,76.53,72.77,72.47,72.47,71.63,72.89,74.82,76.63,80.31,84.08,87.13,92.61,95.5,102.79,108.45,112.45,110.41,111.88,114.16,113.8,111.95,107.6,103.71,100.92,100,99.62,98.84,101.16,102.42,107.33,115.37
"101","75","    Chain-type price index","B823RG",9.45,9.02,8.95,8.57,8.74,9.31,9.3,10.11,10.24,10.35,10.05,9.61,10.13,9.96,10.04,9.84,9.97,12.69,13.3,13.23,13.84,13.81,14.48,14.5,14.63,14.99,15.84,16.65,17.38,18.12,17.85,17.98,18.25,18.66,19.12,19.75,20.28,20.96,21.6,22.85,24.08,25.95,28.2,30.81,32.98,35.8,39.41,42.07,45.33,48.2,51.93,57.45,63.06,67.53,69.95,74.14,75.67,76.1,77.03,78.82,81.12,83.78,87.18,89.83,92.18,94.51,97.21,100,101.63,102.63,105.08,108.23,110.09,113.11
"102","76","    Implicit price deflator","A823RD",8.97,8.55,8.5,8.13,8.29,8.83,8.83,9.6,9.71,9.82,9.53,9.63,10.15,9.97,10.05,9.86,9.98,12.71,13.33,13.25,13.86,13.83,14.5,14.52,14.65,15.01,15.86,16.68,17.41,18.15,17.88,18.01,18.28,18.69,19.15,19.79,20.32,21,21.64,22.89,24.12,26,28.27,30.88,33.04,35.87,39.48,42.17,45.43,48.24,51.95,57.45,63.05,67.53,69.96,74.13,75.66,76.1,77.03,78.83,81.14,83.79,87.18,89.82,92.18,94.51,97.21,100,101.63,102.63,105.08,108.23,110.09,113.12
"103",NA,"    National defense:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","77","      Current dollars","A824RT",0.26,0.27,0.26,0.26,0.24,0.23,0.29,0.35,0.36,0.38,0.42,0.69,4.01,14.33,23.59,26.5,23,7.09,5.11,5.14,5.57,5.48,11,14.67,15.68,13.8,13.17,13.81,15.05,15.54,15.67,15.46,16.28,17.59,17.57,17.3,17.49,20.66,24.02,25.83,25.94,25.47,24.92,26.18,26.31,27.93,30.22,31.71,34.34,36.98,41.08,47.51,55.41,63.96,70.72,79.42,87.52,93.06,98.36,99.69,101.74,105,107.7,106.02,102.22,99.48,98.2,100,98.77,97.79,102.05,105.01,112.02,125.33
"105","78","      Chain-type quantity index","B824RA",2.78,2.98,3,3.01,2.91,2.59,3.15,3.75,3.77,3.93,4.3,7.44,40.37,147.3,240.74,275.58,236.74,57.01,38.4,38.6,40.33,39.65,76.03,102,108.29,92.61,83.51,82.92,86.44,86,88.19,86.49,90.02,95.29,92.88,88.86,87.28,99.9,112.64,114.65,109.24,100.03,89.85,85.39,79.86,77.91,76.96,75.35,75.92,76.51,78.69,81.99,86.98,93.46,99.79,104.57,113.32,120.44,126.1,125.15,124.18,124.15,122.8,116.83,110.57,105.28,101.37,100,97.4,95.67,97.71,97.66,102.51,112.04
"106","79","      Chain-type price index","B824RG",9.2,8.9,8.76,8.6,8.39,8.78,9.1,9.3,9.6,9.67,9.66,9.29,9.93,9.72,9.79,9.61,9.71,12.43,13.29,13.3,13.79,13.82,14.46,14.37,14.47,14.88,15.76,16.65,17.4,18.06,17.76,17.86,18.07,18.44,18.9,19.45,20.01,20.66,21.31,22.5,23.72,25.43,27.69,30.61,32.91,35.82,39.24,42.02,45.15,48.29,52.19,57.93,63.71,68.44,70.86,75.95,77.24,77.27,78.01,79.65,81.91,84.57,87.7,90.75,92.45,94.48,96.88,100,101.41,102.22,104.45,107.53,109.27,111.86
"107","80","      Implicit price deflator","A824RD",9.2,8.9,8.76,8.6,8.39,8.78,9.1,9.3,9.6,9.67,9.66,9.3,9.93,9.73,9.8,9.62,9.71,12.44,13.3,13.31,13.8,13.83,14.47,14.38,14.48,14.9,15.77,16.66,17.41,18.08,17.77,17.87,18.09,18.46,18.91,19.47,20.03,20.68,21.33,22.53,23.74,25.47,27.73,30.66,32.95,35.85,39.27,42.08,45.23,48.33,52.2,57.95,63.7,68.44,70.87,75.95,77.23,77.27,78,79.65,81.93,84.57,87.7,90.75,92.45,94.49,96.88,100,101.41,102.22,104.44,107.53,109.27,111.86
"108",NA,"    Nondefense:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","81","      Current dollars","A825RT",0.45,0.48,0.52,0.5,0.79,1.39,1.3,2.42,2.14,2.43,2.51,2.26,2.07,1.68,1.29,1.39,1.19,2.09,2.49,3.33,4.44,3.67,3.3,3.9,4.83,4.59,4.51,4.24,4.36,4.81,6.56,6.12,6.49,8.07,9.07,10.34,11.27,11.84,12.04,12.5,13.47,14.58,16.38,18.43,19.42,22.04,25.31,27.13,30.62,34.28,37.22,43.33,48.11,48.38,52.67,53.17,57.84,60.98,62.59,61.15,68.35,76.52,81.85,89.37,93,95.04,97.92,100,106.29,108.88,114.96,122.77,130.72,141.06
"110","82","      Chain-type quantity index","B825RA",4.99,5.78,6.18,6.4,9.55,15.61,14.9,24.9,21.88,24.59,26.35,23.08,20.58,16.09,12.27,13.86,10.83,15.78,19.47,26.82,33.34,28,23.8,26.68,32.24,30.67,28.88,26.63,26.38,27.19,37.04,34.05,34.98,42.21,46.3,50.33,53.82,54.54,53.98,52.6,53.92,53.09,55.19,58.89,58.7,61.78,63.71,64.45,67.14,71.83,72.89,77.39,78.6,74.35,78.03,76.81,80.97,83.47,83.93,79.57,86.22,93.38,95.1,101.89,101.55,100.52,100.02,100,104.15,105.29,108.15,112.06,117.1,122.18
"111","83","      Chain-type price index","B825RG",9.54,8.95,8.98,8.38,8.84,9.5,9.36,10.41,10.47,10.59,10.18,9.73,10,10.38,10.44,10.02,10.98,13.18,12.73,12.35,13.26,13.05,13.81,14.55,14.92,14.91,15.56,15.86,16.46,17.61,17.64,17.9,18.48,19.05,19.51,20.45,20.85,21.62,22.22,23.67,24.88,27.36,29.56,31.17,32.94,35.5,39.57,41.88,45.44,47.68,51.01,56.01,61.22,65.05,67.48,69.25,71.45,73.06,74.58,76.84,79.26,81.96,86.06,87.72,91.58,94.55,97.9,100,102.06,103.42,106.29,109.55,111.64,115.46
"112","84","      Implicit price deflator","A825RD",8.92,8.36,8.39,7.82,8.26,8.88,8.75,9.72,9.78,9.9,9.52,9.77,10.04,10.42,10.48,10.06,11.02,13.23,12.78,12.41,13.32,13.11,13.87,14.61,14.98,14.98,15.62,15.92,16.53,17.68,17.71,17.97,18.55,19.12,19.59,20.54,20.93,21.71,22.3,23.77,24.98,27.46,29.68,31.29,33.08,35.67,39.73,42.09,45.61,47.72,51.06,55.99,61.21,65.07,67.5,69.22,71.44,73.06,74.58,76.85,79.27,81.95,86.07,87.71,91.58,94.55,97.9,100,102.06,103.41,106.29,109.55,111.63,115.45
"113",NA,"  State and local:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","85","    Current dollars","A829RT",0.87,0.93,0.91,0.78,0.72,0.82,0.85,0.86,0.88,0.92,1,0.97,0.97,0.98,0.95,0.96,1.01,1.22,1.56,1.85,2.15,2.35,2.61,2.77,2.97,3.28,3.59,3.94,4.35,4.78,5.06,5.38,5.84,6.21,6.73,7.33,8.04,8.97,9.95,11.1,12.18,13.56,14.99,16.22,17.98,20.68,23.47,25.15,26.87,29.62,32.78,36.44,39.26,41.74,43.97,47.67,52.21,56.57,60.37,64.5,69.37,75.59,79.53,82.66,86,90.62,95.52,100,106.67,112.23,120.84,130.48,138.13,143.67
"115","86","    Chain-type quantity index","B829RA",13.18,14.5,15.15,14.46,12.96,13.62,14.08,14.02,14.07,14.87,16.37,15.88,14.91,13.59,12.4,11.97,12.29,13.52,15.41,16.39,18.88,20.45,20.61,20.94,21.97,23.88,25.63,26.43,27.98,30.34,31.42,32.79,34.81,35.87,38.04,40.61,43.34,46.08,48.37,51.22,52.71,54.21,55.96,57.18,58.84,60.96,62.99,63.62,63.9,66.08,67.12,67.08,65.75,65.66,66.24,68.73,72.44,76.34,78.13,81.02,84.18,87.73,89.73,91.56,92.88,95.34,97.71,100,103.98,107.56,112.59,116.52,120.11,123.51
"116","87","    Chain-type price index","B829RG",6.57,6.39,6,5.4,5.59,6.04,6.07,6.1,6.24,6.2,6.09,6.13,6.53,7.19,7.69,7.98,8.24,9.01,10.1,11.3,11.4,11.49,12.68,13.24,13.51,13.74,14,14.91,15.56,15.76,16.11,16.41,16.79,17.32,17.7,18.06,18.56,19.48,20.56,21.66,23.11,25.01,26.79,28.38,30.56,33.94,37.26,39.53,42.05,44.83,48.84,54.32,59.71,63.57,66.39,69.36,72.07,74.1,77.26,79.6,82.41,86.16,88.64,90.28,92.59,95.04,97.77,100,102.58,104.35,107.33,111.98,115.01,116.33
"117","88","    Implicit price deflator","A829RD",6.57,6.39,6,5.4,5.59,6.03,6.07,6.1,6.24,6.2,6.09,6.13,6.53,7.19,7.69,7.98,8.24,9.01,10.1,11.3,11.39,11.49,12.68,13.24,13.51,13.74,14,14.91,15.56,15.76,16.11,16.41,16.79,17.32,17.7,18.06,18.56,19.48,20.56,21.66,23.11,25.01,26.79,28.37,30.56,33.93,37.26,39.53,42.05,44.83,48.84,54.32,59.71,63.57,66.39,69.36,72.07,74.1,77.26,79.6,82.41,86.16,88.64,90.28,92.59,95.04,97.77,100,102.58,104.34,107.33,111.98,115.01,116.33
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","  Note. Chain-type quantity and price indexes are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120"," from weighted averages of the detailed output and prices used to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121"," prepare each aggregate and component.  Implicit price deflators are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122"," weighted averages of the detailed price indexes used to prepare each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123"," aggregate and component and are calculated as the ratio of current-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124"," to chained-dollar output multiplied by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","  Percent changes from preceding period for items in this table are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126"," shown in table 8.1.  Contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
