"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.201,84.491,88.428,95.64,94.595,99.818,104.619,110.164,116.13,113.599,118.681
"77","70","      Other delivery services (by non-USPS facilities)","DODSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666,2.956,2.948,3.393,3.912,4.139,4.801,5.228,5.264,7.037,9.862
"78","71","    Telecommunication services","DTCSRA3",1.061,1.069,1.022,0.888,0.807,0.832,0.891,0.97,1.043,1.043,1.11,1.183,1.33,1.497,1.71,1.839,1.997,2.164,2.276,2.469,2.612,2.723,2.98,3.206,3.432,3.625,4.023,4.336,4.645,4.812,5.055,5.369,5.722,6.057,6.545,7.042,7.792,8.605,9.294,10.104,11.098
"79","72","    Internet access","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","  Recreation","DRRLRA3",2.003,1.98,1.816,1.483,1.409,1.524,1.628,1.864,1.987,1.92,2.093,2.242,2.502,2.494,2.503,2.489,2.724,3.606,3.562,3.503,3.522,3.905,3.959,4.123,4.324,4.49,4.794,5.005,4.937,4.917,5.366,5.526,5.666,6.052,6.432,6.966,7.604,8.689,9.124,9.787,10.344
"81","74","    Video and audio equipment, computers, and related services","DVPIRA3",0.097,0.114,0.087,0.068,0.056,0.061,0.067,0.088,0.098,0.091,0.114,0.131,0.156,0.138,0.099,0.08,0.091,0.228,0.233,0.232,0.252,0.355,0.345,0.388,0.435,0.479,0.524,0.541,0.517,0.511,0.582,0.594,0.637,0.689,0.752,0.858,1.005,1.24,1.392,1.513,1.609
"82","75","      Video and audio equipment","DVAARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849,0.842,0.902,0.987,1.095,1.297,1.592,2.053,2.34,2.541,2.677
"83","76","      Information processing equipment","DIPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.007
"84","77","      Services related to video and audio goods and computers","DSVCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,6.459,6.91,7.269,7.639,7.902,8.196,8.769,9.431,10.235,11.199
"85","78","    Sports and recreational goods and related services","DODRRA3",1.441,1.251,1.167,1.008,0.907,0.956,1.012,1.256,1.284,1.362,1.601,1.649,1.975,1.699,1.579,1.592,1.822,2.804,2.902,2.891,2.908,3.332,3.496,3.606,3.811,3.944,4.357,4.702,4.876,4.926,5.512,5.61,5.75,6.158,6.634,7.465,8.407,9.846,10.395,11.435,11.973
"86","79","      Sports and recreational vehicles","DWHLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.684,5.943,5.429,6.04,6.903,8.695,10.336,12.772,14.085,18.407,21.894
"87","80","      Other sporting and recreational goods","DORIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.983,5.228,5.484,5.835,6.214,6.828,7.596,8.773,9.144,9.547,9.527
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.508,3.227,2.833,3.034,3.405,4.063,4.447,5.478,6.403,7.225,8.446
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRA3",18.226,18.08,17.753,14.211,13.758,14.827,15.62,17.18,18.154,17.257,17.721,19.025,20.022,22.174,23.932,22.71,23.846,27.547,25.899,24.993,24.269,23.541,23.071,22.837,22.412,22.686,23.584,24.543,22.613,21.849,23.156,24.033,24.766,25.495,26.033,26.31,26.762,27.764,27.89,29.212,30.132
"90","83","      Membership clubs and participant sports centers","DMDFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.033,24.718,26.267,26.796,26.938,26.617,26.755,27.329,27.405,26.946,26.312
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.942,15.203,16.551,18.042,19.42,20.789,20.716,22.205,23.258,25.324,27.991
"92","85","      Admissions to specified spectator amusements","DADMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.412,35.044,34.229,34.24,34.172,33.78,35.215,36.144,35.376,37.508,37.864
"93","86","        Motion picture theaters","DMOVRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.282,103.727,98.572,93.461,89.793,83.783,87.009,84.696,79.305,82.516,82.119
"94","87","        Live entertainment, excluding sports","DLIGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.902,19.122,17.365,17.773,17.379,17.34,16.422,17.019,17.454,15.978,15.217
"95","88","        Spectator sports","DSPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.176,13.842,15.38,17.192,18.804,20.58,22.749,25.422,26.072,30.54,32.261
"96","89","      Museums and libraries","DMUSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.172,10.999,11.97,12.771,13.439,13.879,13.313,13.922,14.006,14.724,16.215
"97","90","    Magazines, newspapers, books, and stationery","DNBSRA3",14.838,13.915,13.208,10.698,10.947,11.803,12.658,13.732,14.631,13.871,14.811,15.592,17.329,18.184,20.383,21.784,24.232,26.874,26.456,26.179,26.211,26.753,27.838,28.193,28.999,29.384,30.027,30.496,30.212,30.075,31.435,32.086,31.064,33.843,35.195,36.146,37.228,42.056,41.416,42.203,44.763
"98","91","    Gambling","DGAMRA3",0.725,0.699,0.636,0.49,0.492,0.795,0.944,1.093,1.292,1.248,1.282,1.64,1.689,1.639,1.745,2.45,2.734,3.372,3.046,2.658,2.519,2.58,2.809,3.178,3.397,3.329,3.463,3.69,3.783,3.862,4.204,4.508,4.779,5.405,5.786,6.417,6.66,6.903,7.242,7.554,7.888
"99","92","    Pets, pet products, and related services","DPETRA3",2.964,2.864,2.751,2.456,2.463,2.5,2.601,2.946,3.127,3.117,3.184,3.346,3.545,3.553,3.481,3.655,3.842,4.343,4.359,4.389,4.424,4.532,4.619,4.802,5.07,5.295,5.66,5.926,6.199,6.322,6.852,7.831,8.372,8.737,9.404,11.513,12.746,13.985,14.348,15.43,16.266
"100","93","    Photographic goods and services","DPHORA3",3.5,3.108,2.903,2.382,2.204,2.509,2.762,3.228,3.65,3.378,3.611,3.795,4.402,4.332,4.29,4.389,4.784,6.524,6.769,6.859,6.75,7.414,7.728,8.146,8.615,8.97,10.102,10.791,11.447,11.893,13.07,13.372,13.506,14.081,15.635,16.306,18.487,21.405,23.65,27.154,30.628
"101","94","    Package tours \14\","DXHLRA3",4.002,2.688,2.188,2.384,1.785,2.05,2.021,2.286,2.286,2.021,2.05,1.942,2.119,1.54,1.785,1.717,2.05,1.883,1.942,1.785,1.687,1.54,1.54,1.54,1.687,1.619,1.687,1.785,1.785,1.785,1.887,1.822,2.002,2.228,2.184,2.342,2.563,3.361,4.766,5.429,6.246
"102","95","  Education","DEDURA3",11.844,12.108,12.504,10.738,10.139,10.098,10.592,11.257,12.127,12.293,12.405,12.72,13.227,14.328,15.162,14.839,14.725,15.137,16.314,17.114,18.113,18.893,19.532,20.337,21.264,22.041,23.659,25.088,26.678,28.334,29.73,31.478,33.185,35.585,38.294,41.597,45.484,49.458,52.612,56.459,59.641
"103","96","    Educational books","DEBKRA3",14.359,12.71,12.781,8.05,8.431,9.243,10.249,11.54,13.27,11.882,12.04,12.508,13.461,15.312,17.913,21.424,23.847,26.056,21.735,21.854,22.007,23.324,26.231,25.071,25.327,24.342,25.692,27.831,26.835,26.225,27.467,28.588,30.412,32.964,36.205,41.341,40.337,42.953,41.802,43.202,46.87
"104","97","    Higher education","DHEDRA3",8.404,9.266,9.908,9.322,9.014,9.103,9.569,9.866,10.002,10.117,10.378,10.882,10.861,11.051,11.368,11.455,11.109,12.045,14.563,15.438,16.57,16.906,16.945,17.626,18.493,19.222,20.535,21.973,24.051,26.282,27.246,28.882,30.896,32.892,35.118,38.793,44.135,48.141,50.811,54.344,57.723
"105","98","    Nursery, elementary, and secondary schools","DNEHRA3",18.648,20.303,23.671,18.967,17.258,16.816,16.923,19.247,23.044,25.633,26.054,26.338,26.03,26.421,26.323,26.853,28.732,24.482,26.444,27.91,29.199,30.685,32.077,34.121,35.81,37.957,40.521,43.187,46.427,49.65,54.15,58.895,65,71.318,76.761,81.797,86.348,89.915,94.129,100.413,104.018
"106","99","    Commercial and vocational schools \15\","DVEDRA3",10.69,9.958,8.826,7.688,6.913,6.555,6.952,7.194,7.621,7.354,7.049,6.928,8.351,10.704,12.006,9.745,8.511,9.44,9.295,9.678,10.346,11.169,11.619,12.418,13.081,13.638,15.037,15.357,15.85,16.262,16.58,16.902,15.646,16.247,17.713,18.43,20.168,23.857,27.863,30.966,32.793
"107","100","  Food services and accommodations","DFSARA3",8.894,9.065,9.485,9.277,8.366,9.506,10.214,11.611,13.171,13.282,14.458,15.299,17.005,18.717,22.175,25.321,28.485,25.669,22.595,21.854,22.085,22.3,24.36,25.526,26.469,26.391,27.054,27.846,28.168,27.749,28.328,28.625,28.718,29.75,30.493,32.053,34.343,36.051,35.68,37.896,38.718
"108","101","    Food services","DFSERA3",9.329,9.549,10.07,9.911,8.879,10.083,10.832,12.348,14.075,14.206,15.517,16.415,18.288,20.239,24.011,27.468,30.927,27.694,24.022,23.311,23.628,23.863,26.129,27.397,28.415,28.287,28.982,29.8,30.066,29.626,30.18,30.391,30.443,31.427,32.061,33.677,36.009,37.762,37.147,39.429,40.239
"109","102","      Purchased meals and beverages \16\","DPMBRA3",8.901,9.129,9.695,9.558,8.486,9.677,10.405,11.906,13.599,13.759,15.069,15.916,17.457,18.55,20.812,22.73,25.792,25.676,22.824,22.263,22.593,22.839,24.554,25.68,26.756,26.729,27.529,28.397,28.668,28.269,28.961,29.225,29.205,30.178,30.859,32.515,34.792,36.291,35.547,37.979,38.86
"110","103","      Food furnished to employees (including military)","DFOORA3",28.386,28.439,27.53,26.542,26.542,28.689,30.493,33.154,36.816,35.986,37.83,40.939,54.748,82.787,130.367,177.802,194.918,100.651,69.593,63.902,63.942,63.956,82.456,88.201,88.174,85.012,82.429,81.493,81.532,79.582,74.98,73.218,75.934,77.324,76.173,76.244,80.592,91.725,95.93,92.568,90.738
"111","104","    Accommodations \17\","DACCRA3",4.936,4.76,4.512,4.073,3.997,4.577,4.936,5.364,5.619,5.581,5.745,6.106,6.513,6.373,7.298,7.908,8.676,9.377,11.686,10.547,9.99,10.044,10.421,10.758,11.098,11.435,11.846,12.439,13.201,12.939,13.718,14.694,15.116,16.545,18.204,19.331,21.334,22.718,24.427,26.153,27.117
"112","105","  Financial services and insurance","DIFSRA3",7.366,6.731,6.287,6.019,6.457,5.926,6.434,6.683,6.79,6.576,6.755,6.777,6.918,6.697,7.094,7.129,7.362,7.889,8.507,8.922,9.163,10.245,11.446,11.473,11.926,12.753,13.788,14.493,14.911,15.373,15.684,16.311,17.193,17.167,17.77,19.021,20.278,20.976,22.019,23.153,23.481
"113","106","    Financial services","DFNLRA3",6.928,5.703,4.756,4.047,4.556,3.755,3.982,4.403,4.398,3.948,3.935,3.865,3.857,3.799,4.304,4.244,4.701,5.333,5.131,5.335,5.252,5.989,6.102,6.152,6.442,7.22,7.774,7.783,7.874,8.451,8.963,9.081,9.918,9.519,9.77,10.527,11.413,11.978,13.171,13.815,13.898
"114","107","      Financial services furnished without payment","DIMPRA3",7.966,7.788,7.459,7.049,6.621,6.389,6.648,6.943,7.146,7.012,7.117,7.25,7.336,7.415,7.41,7.043,7.123,8.378,8.616,8.696,8.622,8.886,9.071,9.451,10.001,10.479,10.982,11.179,11.307,11.711,11.825,12.57,12.956,13.15,13.999,14.87,15.238,15.556,16.289,17.857,19.435
"115","108","      Financial service charges, fees, and commissions","DOFIRA3",5.159,3.506,2.427,1.777,2.458,1.717,1.865,2.216,2.131,1.684,1.633,1.509,1.467,1.37,1.975,2.07,2.633,2.823,2.392,2.64,2.563,3.503,3.557,3.38,3.46,4.485,5.093,4.925,4.985,5.731,6.608,6.167,7.417,6.518,6.321,6.961,8.223,8.981,10.566,10.452,9.312
"116","109","    Insurance","DINSRA3",9.82,10.278,10.775,11.351,11.74,11.603,12.782,12.734,13.092,13.323,13.93,14.151,14.629,14.028,14.282,14.525,14.325,14.719,17.283,18.233,19.267,21.254,25.269,25.238,26.111,27.028,29.313,32.007,33.36,33.371,33.015,35.078,35.9,37.054,38.625,41.123,43.228,44.174,44.452,46.85,47.878
"117","110","      Life insurance \18\","DLIFRA3",27.072,28.765,30.388,33.416,35.424,34.708,38.149,37.015,36.864,37.307,38.251,37.888,36.968,33.726,33.266,32.31,31.024,31.211,35.964,36.37,36.233,37.857,38.524,38.294,39.106,40.162,43.185,47.398,49.636,50.875,47.514,51.367,52.117,52.781,54.778,59.23,64.167,64.027,62.381,64.726,65.572
"118","111","      Net household insurance \19\","DFINRA3",17.446,17.612,17.575,15.603,14.413,14.893,15.621,17.169,18.091,19.106,19.853,20.083,21.632,23.735,26.372,29.738,32.569,32.839,32.698,33.612,32.908,34.905,36.491,37.347,39.475,39.879,42.207,44.413,45.905,46.908,52.605,62.092,68.386,72.824,72.245,68.776,60.763,54.056,53.961,54.926,56.872
"119","112","      Net health insurance","DHINRA3",2.724,2.725,2.868,2.551,2.2,2.238,2.447,2.639,2.975,3.086,3.383,3.656,4.458,4.904,5.488,6.038,5.975,6.117,7.56,8.575,10.189,11.846,14.794,14.929,15.722,15.777,17.32,18.939,20.386,20.123,20.901,21.746,22.459,23.759,24.87,26.613,27.939,29.296,29.418,31.912,33.378
"120","113","        Medical care and hospitalization \20\","DMINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.325,18.82,19.426,20.541,21.445,22.956,24.19,24.815,24.368,25.315,27.021
"121","114","        Income loss \21\","DIINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.163,33.073,34.12,36.047,37.66,40.32,42.533,43.579,42.831,50.996,52.493
"122","115","        Workers' compensation \22\","DPWCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.571,17.892,18.526,19.646,20.724,22.148,22.953,25.791,27.592,29.318,29.959
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRA3",4.614,4.638,4.599,4.341,4.526,4.601,5.235,5.66,6.379,6.519,7.179,7.696,8.351,7.93,7.649,8.129,8.991,10.342,12.131,13.155,14.056,17.022,28.09,27.994,29.088,31.445,34.246,37.114,37.295,36.041,37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939
"124","117","  Other goods and services","DOISRA3",12.228,11.436,10.879,9.662,9.124,10.047,10.648,11.361,12.172,12.156,12.641,13.125,14.132,14.936,16.327,16.174,16.868,18.21,17.895,18.162,18.171,18.71,19.158,20.107,20.545,20.944,21.836,22.717,23.692,24.518,25.773,26.455,27.79,28.847,29.772,30.912,32.743,35.259,36.618,37.887,38.097
"125","118","    Personal care \24\","DPCRRA3",7.697,7.229,6.884,6.04,5.043,6.004,6.359,6.806,7.201,6.976,7.401,7.716,8.382,8.902,9.827,10.247,10.775,10.398,9.913,9.827,10.021,10.702,10.732,11.545,12.28,13.115,14.045,15.201,16.143,16.718,17.467,18.475,20.208,21.697,22.46,23.79,25.341,27.702,29.173,30.257,29.934
"126","119","    Personal items \25\","DPEORA3",4.278,3.895,2.915,2.451,1.83,2.022,2.371,2.599,3.014,3.111,3.327,3.545,4.047,4.292,5.224,4.957,5.508,6.633,6.249,6.351,6.116,6.366,6.454,7.05,7.212,7.622,8.282,8.548,8.657,8.832,9.204,9.229,9.377,9.995,10.436,11.239,12.629,14.842,15.569,17.061,17.398
"127","120","    Social services and religious activities \26\","DSOCRA3",4.307,4.487,4.469,4.063,3.74,3.664,3.68,3.861,3.864,3.901,3.987,4.285,4.436,4.655,5.082,5.635,5.728,5.889,5.371,5.4,5.376,5.478,5.492,6.165,6.477,6.828,7.059,7.631,7.839,8.276,8.966,9.1,9.391,9.256,9.757,11.266,12.333,13.74,15.212,15.776,16.259
"128","121","    Professional and other services","DPRSRA3",23.151,22.189,22.466,20.696,21.017,23.145,23.832,24.775,26.652,26.501,27.357,28.009,28.775,28.715,30.166,28.891,28.215,29.236,29.035,29.51,29.87,30.046,31.43,30.908,31.506,32.023,32.699,32.565,34.318,35.763,37.667,38.537,40.458,42.024,43.98,44.787,46.526,49.926,50.892,52.77,54.429
"129","122","      Legal services","DGALRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.09,36.986,41.055,42.715,45.712,45.966,47.234,51.755,51.848,52.545,53.397
"130","123","      Accounting and other business services \27\","DPRORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.922,13.739,13.802,15.067,15.424,17.755,20.753,23.236,25.395,28.195,32.93
"131","124","      Labor organization dues","DUNSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.808,44.502,45.238,46.352,47.048,49.348,50.751,53.347,56.289,58.188,61.292
"132","125","      Professional association dues","DAXSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.256,10.433,10.504,11.52,12.228,13.714,17.155,19.769,23.741,27.742,30.228
"133","126","      Funeral and burial services","DFUNRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.887,81.298,80.775,83.305,85.761,85.486,87.734,90.367,90.8,95.478,95.558
"134","127","    Tobacco","DTOBRA3",59.225,53.733,54.189,48.111,50.596,54.278,57.496,61.954,65.783,66.298,67.951,69.934,75.931,82.84,87.138,85.054,88.66,100.255,104.059,107.277,107.598,109.209,113.001,117.142,115.953,111.592,113.013,116.375,120.913,124.785,131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.734,138.868
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRA3",4.677,4.886,4.267,3.878,2.922,2.982,3.131,3.66,4.186,3.59,2.94,1.519,1.701,1.162,1.279,1.478,1.812,2.913,3.957,4.509,5.135,5.611,5.765,6.604,6.935,7.197,8.364,9.092,9.699,10.524,11.29,12.623,12.672,13.612,14.606,15.063,16.216,16.856,20.006,18.942,20.808
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRA3",2.239,2.084,1.682,1.281,1.385,1.535,1.774,1.946,2.198,2.295,2.54,1.756,1.568,1.869,2.334,2.751,3.08,4.554,4.587,4.085,4.625,4.869,5.343,5.842,6.362,6.62,7.455,8.134,8.514,8.674,8.153,8.508,8.699,8.587,8.923,10.237,11.216,12.329,12.49,13.116,14.404
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRA3",2.741,2.871,2.935,2.71,2.474,2.329,2.297,2.331,2.257,2.375,2.403,2.564,2.582,2.695,2.945,3.174,3.193,3.296,3.043,3.084,3.105,3.138,3.095,3.441,3.546,3.7,3.779,4.062,4.144,4.367,4.831,5.382,5.519,5.684,5.881,6.532,6.827,7.097,7.469,7.983,8.108
"140","133","  Gross output of nonprofit institutions \29\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.921,15.534,16.213,17.066,18.034,19.448,20.555,21.937,23.287,24.995,26.311
"141","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.021,21.091,22.22,23.65,25.25,26.848,28.528,30.821,32.847,35.321,37.746
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","5. Includes clocks, lamps, lighting fixtures, and other household decorative items;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","also includes repair of furniture, furnishings, and floor coverings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","6. Consists of major household appliances, small electric household appliances, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","repair of household appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
