"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"74","67","        Nursing homes (52)","DNRSRC1",3.8,4.5,5.3,6,6.7,7.7,8.8,9.9,11.1,12.8,14.4,16.4,18.3,19.3,22.4,24.9,27,29.4,30.7,35.1,38.9,45.3,48.7,52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,104.4,109.2,115,118.8,127.1,133.9,139.4,144
"75","68","    Transportation services","DTRSRC1",18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.2,273.7,286,297.5,307,305.9,287.1,295.5
"76","69","      Motor vehicle services","DMVSRC1",11.5,13,14.6,15.8,16.6,17.7,20.6,23,26.6,29.5,33.2,35.1,38.4,39.8,45,53,62,65.8,71.8,79.5,84.8,87.2,84.4,93.1,102.6,115.9,129.1,142.8,157.2,165.2,177.7,189.3,194.8,191.8,194.2,199.9,209.6,217.3,224.3,221.9,209.6,211.6
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRC1",10.1,11.4,12.9,14,14.7,15.7,18.3,20.5,23.8,26.4,29.8,31.2,33.9,35.1,39.9,45.9,53.4,56.2,61.5,68.3,72.5,73.9,69.4,73.7,78.9,86.5,93.5,100.1,106.3,112.8,119.9,127.4,133.8,136.8,143.5,148.4,155.1,157.1,162.6,159.2,151.2,153
"78","71","        Other motor vehicle services (61)","DOVSRC1",1.4,1.5,1.7,1.9,2,2,2.3,2.5,2.9,3,3.4,3.9,4.5,4.7,5.2,7.1,8.7,9.6,10.3,11.3,12.3,13.3,15,19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,50.8,51.5,54.5,60.1,61.7,62.7,58.4,58.6
"79","72","      Public transportation","DPUBRC1",6.5,7.1,7.8,8.7,9.4,10.7,11.4,13.2,14.8,15.7,17.5,20.2,21.4,21.9,23.9,27,28.1,29.2,31.3,34.6,37.1,39.2,39.3,40.5,43.5,46,48.8,52.2,57.1,61.9,65.6,73,67.9,64.9,69,73.8,76.3,80.2,82.7,84,77.4,83.9
"80","73","        Ground transportation (63)","DGRDRC1",3.6,4,4.3,4.6,4.7,5.2,5.5,6,6.5,6.6,7.1,7.4,8,8.4,8.7,9.3,9.8,9.9,10,11.2,11.8,12.9,14,14.8,15.4,16.1,16.7,17.4,18.1,19.7,20.5,21.6,22.8,23.1,23.3,25.1,26.2,28.3,28.4,29.7,29.9,30.9
"81","74","        Air transportation (64)","DAITRC1",2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,15.1,17.6,18.1,19,20.9,23,24.8,25.9,25.1,25.6,27.7,29.2,31.1,33.3,37.2,40.3,43,49.2,42.9,39.5,43.3,46.2,47.7,49.4,51.6,51.6,45.1,50.5
"82","75","        Water transportation (65)","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.3,0.6,1.1,1.5,1.8,2,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.7,2.5,2.5
"83","76","    Recreation services","DRCARC1",12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,290.1,313.3,328.2,351.4,375.4,381.9,371.2,382.6
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1",6.9,7.6,8.1,8.6,9.4,10.8,12.1,13.2,15,16.6,18.3,20.1,22.6,24.6,27.2,29.4,32,33.9,35.8,40,45.3,49.7,52.1,57.4,61.2,64.2,69.5,74.6,79,83.3,87.3,91.9,94.3,97.5,102.7,108.6,115.2,123.1,131.8,135,131.6,136.3
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1",3.5,3.8,4.1,4.3,5,5.7,6.5,7.5,8.1,8.6,9.7,10.7,12.4,14,16.6,19,21.9,24.5,27.2,31.1,34.7,37.9,39.4,42.6,46,46.5,50,52.8,55.5,60,65.5,70.1,72.7,73.4,77.2,83.7,85.4,89.7,96.3,99.9,100.7,102.7
"86","79","      Gambling (91)","DGAMRC1",1.5,1.7,1.9,2.2,2.7,3,3.4,3.9,4.4,5.2,5.9,6.7,8.4,9.7,11.1,12.6,14.3,15.5,16.9,19.7,21.3,23.7,24.7,28.1,33.3,39.6,45.4,50.3,54.5,55.9,62.3,67.6,70,74.1,80.7,89,92.9,101.1,105.7,103.8,98,99.6
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRC1",0.9,1,1,1.2,1.3,1.4,1.6,1.9,2.1,2.4,2.9,3.3,3.7,4.1,4.6,5.2,5.8,6.5,7.4,8.4,9.4,10.5,11,11.7,12.9,14.3,16.1,17.9,19.3,21.4,23.7,25.9,26.6,27.8,29.5,32,34.7,37.6,41.6,43.1,41,44.1
"88","81","    Food services and accommodations","DFSARC1",37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.6,308.7,316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,464.2,499.1,533.9,570.2,600.5,618.3,610.3,638
"89","82","      Food services","DFSERC1",34.7,38.6,40.7,45,50.5,55.9,63.5,71.6,78.8,89.2,101.7,111.5,122,129.8,139.7,148.8,156.2,167.5,182.3,201.6,216.7,235.1,244.2,254.1,265.9,273.8,280.2,287.5,299.7,315.7,331.6,354.9,368.7,384.3,406.4,434.4,461.3,490.4,514.8,529.2,526.7,547.4
"90","83","        Purchased meals and beverages (102)","DPMBRC1",32.7,36.5,38.7,43,48.3,53.2,60.4,68,75,85,96.7,105.9,115.9,123.3,133.3,142.4,150,161.5,176.6,195.6,210.2,228.3,237.3,247.1,258.6,266.2,272.4,279.5,291.5,307.3,322.9,346,359.6,374.9,396.2,423.7,449.5,477,500.7,514.9,511.8,533.1
"91","84","        Food furnished to employees (including military) (103)","DFOORC1",2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.4,8.7,8.9,9.1,9.5,10.1,10.7,11.8,13.4,14.1,14.3,14.9,14.3
"92","85","      Accommodations (104)","DACCRC1",2.7,3,3.1,3.9,4.3,4.7,5.3,6.2,6.9,7.9,9.3,10.3,11.9,12.7,13.9,16.1,18.1,19.2,22,24.2,25.9,27.6,29.2,32.2,32.7,34.9,36.6,39.9,44.9,47.3,50,55.2,52.5,53.9,57.8,64.7,72.7,79.8,85.7,89.1,83.6,90.6
"93","86","    Financial services and insurance","DIFSRC1",28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,180.5,196.7,207.1,219.4,235.7,253.2,282,311.8,341,349,364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,602.5,651.7,698.4,732.6,790.3,807,747.8,780.2
"94","87","      Financial services","DFNLRC1",14.1,15.3,17.1,18.9,20.3,23.7,30.1,32.2,35.8,43.1,47.2,51.7,54.1,62.1,87.2,90,107.5,123.9,135,134,136,141.5,158.1,178.5,193.2,200.6,212.5,237.9,267,295.2,331.2,370,358.1,366.4,371.6,400.7,424,453.3,501.8,524.9,481.5,514.5
"95","88","        Financial services furnished without payment (107)","DIMPRC1",9.1,10.9,11.8,13.2,15.1,18.6,24.1,25,28.2,34.2,37,38.2,38.7,42.7,62.7,64.3,76.7,85.4,92.4,93.1,89.7,93,103.6,116.2,120.7,126.8,130.6,143.9,159.7,170.3,182.3,195.4,195,198.3,193.7,212.5,219.9,224.6,250.8,273.2,254.4,287.9
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRC1",5,4.4,5.3,5.8,5.2,5,6.1,7.2,7.6,9,10.2,13.5,15.5,19.4,24.4,25.8,30.7,38.5,42.7,40.9,46.3,48.5,54.5,62.3,72.4,73.8,81.9,94,107.4,125,148.9,174.6,163.1,168.2,177.9,188.3,204.1,228.7,250.9,251.7,227.1,226.6
"97","90","      Insurance","DINSRC1",14.4,15.7,17.1,19.4,21.2,22.2,23.9,27,32,37.5,40.4,43.9,47.9,54.3,58.7,66.5,73,72.8,72.1,85.4,99.8,111.7,123.8,133.3,147.9,148.5,152.2,155.7,164.3,174.4,183,199.9,204.7,209.7,230.8,251,274.4,279.3,288.5,282.1,266.3,265.8
"98","91","        Life insurance (110)","DLIFRC1",6.3,6.9,6.9,7.5,8.4,9.1,10,11.9,13.3,15.3,16.9,19.1,20.5,22.8,23.5,25,28.3,28.8,28.1,33.5,38.6,42.3,51.8,53.6,59.2,54.6,54.3,52,55.2,56,56.9,65,61.9,58.8,60.3,70.8,76.6,81.1,83.8,82.4,77.3,78.1
"99","92","        Net household insurance (111)","DFINRC1",0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.6,2.5,2.4,2.3,2.3,2.5,2.6,2.9,2.9,3.4,3.6,3.8,4.2,4.3,4.9,5.8,6.2,6.1,7.4,8,7.2,7.7
"100","93","        Net health insurance (112)","DHINRC1",4.1,4.4,5.2,6.3,6.7,6.9,7.3,8.1,10.5,12.9,13,13.6,15.5,18.9,21.5,26.5,28.4,25.6,23.6,29.1,36.6,43.4,45.2,50.1,56,58.6,60.7,64.1,68.4,74.7,79.2,88.1,94.1,101,116.6,120.9,134,135.2,135.6,130,122.2,119.9
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRC1",3.7,4.1,4.6,5.1,5.6,5.7,5.9,6.4,7.3,8.3,9.3,10,10.5,11.2,12.2,13.4,14.7,16.6,18.3,20.4,22.1,23.5,24.4,27.3,30.4,32.8,34.5,36.7,37.8,40.4,43.2,43.1,44.4,45.7,49.1,53.5,57.6,57,61.8,61.7,59.7,60.1
"102","95","    Other services","DOTSRC1",50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.8,187.4,207.9,221.2,242.4,262.8,281.3,297.9,300.9,325.8,344.2,370.7,390.5,415.3,452.3,499.8,540.9,591.1,634,662.7,702.8,740.4,777.1,824.7,867.4,892.6,896.2,921.4
"103","96","      Communication","DCOMRC1",10.7,11.6,12.7,14.3,16.1,17.7,19.9,22.4,24.3,26.9,29,31.1,35,39.9,43.6,47.2,51.9,55.6,58.7,61.7,65.7,68.3,72,79.1,83.5,90.6,95.9,104.9,116.4,126.4,139.9,156.6,165.5,171.2,175.3,180.4,184.4,195.2,207.1,216.6,215.9,223.4
"104","97","        Telecommunication services (71)","DTCSRC1",9.3,10.1,11,12.4,14.2,15.5,17.7,19.8,21.6,23.9,25.7,27.6,30.9,35.1,38.6,41.8,46,49.3,51.9,54.4,58.1,60.7,64,71,75,81.3,85.2,92.8,103.1,111.1,120,130.2,137.6,139.8,140.2,143.1,145.9,154.3,159.4,164.4,159.1,161.1
"105","98","        Postal and delivery services (68)","DPSSRC1",1.4,1.5,1.7,1.9,2,2.1,2.2,2.6,2.7,3,3.3,3.6,4.1,4.7,5,5.4,5.9,6.3,6.8,7.3,7.5,7.5,7.8,7.8,8,8.5,9.2,9.5,9.6,9.8,9.9,9.9,9.7,9.5,9,8.8,8.6,8.9,9.2,9.3,8.8,8.4
"106","99","        Internet access (72)","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.2,0.3,0.4,0.8,1.6,2.7,3.6,5.5,10.1,16.4,18.2,21.9,26.1,28.5,29.9,32.1,38.4,42.9,48,53.8
"107","100","      Education services","DTEDRC1",8.1,9.2,10.1,11,12.2,13.4,14.9,16.5,17.7,19.5,21.3,23.7,26.3,28.8,31.8,34.8,37.9,40.8,44.5,49.8,55.6,60.7,65.2,70.8,75,79.9,85.5,92.6,99.8,107.4,115.4,125.2,134.4,139.8,149.5,158.9,170.3,182.4,195.7,209.3,221.7,236
"108","101","        Higher education (97)","DHEDRC1",4.5,5.2,5.9,6.5,7.1,7.6,8.2,8.9,9.6,10.3,11.4,12.9,14.8,17,18.8,20.5,22.3,24.1,26.1,28.5,31.5,34.7,38.4,42.3,45.4,48.6,51.9,56.4,61.3,66,70.8,76.8,82.9,87,94.4,101.2,108.7,116.6,125,134.3,144.3,154.9
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRC1",2.2,2.4,2.7,2.9,3.3,3.9,4.4,4.6,4.8,5.6,6,6.7,7,7.2,7.9,8.7,9.5,10,10.9,11.9,13.6,14.8,15.6,16.7,17.3,18.1,19.2,20.1,20.7,21.5,22.8,24.1,25.7,26.9,28.3,29.9,31.7,33.7,36,38,39.9,41.4
"110","103","        Commercial and vocational schools (99)","DVEDRC1",1.4,1.5,1.6,1.6,1.8,1.9,2.4,3,3.3,3.7,3.9,4.2,4.5,4.6,5.1,5.5,6.2,6.7,7.5,9.5,10.6,11.1,11.1,11.8,12.3,13.1,14.4,16.2,17.8,19.9,21.8,24.3,25.8,26,26.8,27.8,29.9,32.1,34.7,37,37.5,39.6
"111","104","      Professional and other services (121)","DPRSRC1",8.6,9.7,10.4,11.4,12.7,14,14.9,16.5,18.3,20.7,22.1,24.8,28.2,30.8,33.6,37.5,42.4,46.4,51.2,57.3,62.2,67.7,70.2,75.3,78.4,80.9,82.8,87.6,92.8,100.1,107.2,113,120.9,126.6,136.6,142,148.6,155.1,163.8,168.5,163,163.3
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1",10.3,10.6,10.3,10.8,11.3,11.7,12.3,13.1,14.6,16,17,17.9,18.7,18.8,22.7,24.1,26.7,29.4,32.7,37.8,41.5,44.9,42.8,47.5,49.6,52.5,56.5,59.4,64.3,69,74.1,80.2,82.9,86.5,90.3,96.8,102.5,107.4,111.1,113.9,111.2,112.2
"113","106","      Social services and religious activities (120)","DSOCRC1",3.6,3.9,4.4,5.1,5.5,5.9,6.5,7.5,8.6,10,11.9,14,16.1,17.9,19.6,21.8,25.1,28,31.4,33.9,38.6,41.2,43.5,47.5,51.1,54.4,58.1,61.1,64.6,70.3,76.7,85,93.9,100.8,107.3,113.9,121,128.5,137.8,144,147.6,154.1
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1",6.8,7,7.2,7.6,8.1,8.3,8.4,9.7,10.9,12.1,13.2,13.8,14.6,14.9,15.8,18.3,19.3,20.5,21,22,24.2,25.4,24.7,26.6,28.4,31.3,34.5,35.8,38.9,43.6,44.6,47.7,47.2,46.9,49.1,52.9,55.3,57.7,61.2,63,57.6,55.2
"115","108","      Net foreign travel","DFORRC1",2.4,2.8,2.9,3.5,3.4,3.5,3.4,2.9,3.3,3,2.7,1.7,-1.6,-0.2,2.7,3.7,4.6,0.3,3,0.3,-6.4,-10.3,-17.6,-20.9,-21.8,-18.8,-23,-26.2,-24.5,-17,-16.9,-16.5,-10.8,-9.2,-5.3,-4.4,-5,-1.5,-9.2,-22.7,-20.8,-22.8
"116","109","        Foreign travel by U.S. residents (129)","DFTRRC1",4.7,5.4,5.9,6.8,7.3,8.1,8.8,9.4,10.3,11.1,12.1,13.3,15,16.5,18.4,26.1,27.9,27.8,33.9,37.3,38.4,42.7,41.7,46,48.8,53.3,54.7,58.4,64.6,71,75.4,84.3,80.6,78.1,80.5,92.3,99.8,108.5,113.9,119.8,106.1,115.4
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1",2.3,2.7,2.9,3.3,4,4.6,5.4,6.5,7,8.1,9.4,11.6,16.6,16.7,15.7,22.4,23.3,27.5,30.9,37.1,44.8,53,59.2,66.9,70.6,72.2,77.7,84.7,89,88,92.3,100.8,91.4,87.3,85.7,96.7,104.7,110.1,123.1,142.5,126.9,138.2
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",10.1,11.1,12.3,13.6,14.6,16.4,18.1,20.1,21.8,24.5,27.8,31.9,36.3,40.1,42.9,47.6,50.3,55.4,58.5,66.8,71.7,79.6,84.2,92.3,94.6,102.4,107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.3,209.4,211.7,240,253.9,284.6,280.3,280.2
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1",34.6,38.7,43.4,48.2,52.7,59.7,68.2,77.4,86.3,98.1,111,128,147.8,165.9,181.4,196.6,211.7,230.1,249.7,279,304.9,338.2,367,400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.9,827.6,874.3,935.2,989.4,1046.5,1078.2,1118.9
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1",24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574.7,618.2,662.6,695.2,735.5,761.9,797.9,838.6
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
